Hungarian	﻿English
gyár	factory
lakás	flat
kórház	hospital
szálloda	hotel
műsortár	library
park	park
börtön	prison
étterem	restaurant
útvonal	road
iskola	school
állomás	station
utca	street
építés	structure
földalatti	subway
szupermarket	supermarket
színház	theater
város	town
egyetem	university
falu	village
baleset	accident
csónak	boat
busz	bus
autó	car
gyorsvonat	express
repülés	flight
út	journey
utas	passenger
repülőgép	plane
hajó	ship
sín	track
vonat	train
színész	actor
színésznő	actress
tábornok	general
újságíró	journalist
bíró	judge
vezér	leader
miniszter	minister
zenész	musician
fényképész	photographer
pilóta	pilot
rendőr	policeman
politikus	politician
elnök	president
hivatásos	professional
megbízott	representative
tengerész	sailor
titkár	secretary
inas	servant
katona	soldier
író	writer
part	bank
strand	beach
áram	current
irány	direction
Föld	Earth
kelet	east
magasság	height
domb	hill
sziget	island
tó	lake
föld	land
térkép	map
hold	Moon
észak	north
síkság	plain
vidék	region
folyó	river
tenger	sea
dél	south
tér	space
csillag	star
nap	sun
nyugat	west
felhő	cloud
harmat	dew
köd	fog
fagy	frost
eso	rain
szivárvány	rainbow
hó	snow
vihar	storm
mennydörgés	thunder
szél	wind
sav	acid
kémiai anyag	chemical
element elem	chemical
szén	coal
pamut	cotton
por	dust
föld	earth
zsír	fat
üveg	glass
ragasztó	glue
jég	ice
vas	iron
bőr	leather
folyadék	liquid
anyag	matter
element fém	metallic
kőolaj	oil
méreg	poison
por	powder
homok	sand
selyem	silk
szappan	soap
acél	steel
fa	wood
gyapjú	wool
táska	bag
kosár	basket
üveg	bottle
doboz	box
kanna	can
csésze	cup
fiók	drawer
boríték	envelope
pohár	glass
tányér	plate
harang	bell
gomb	button
puska	gun
kalapács	hammer
kampó	hook
kulcs	key
zár	lock
gyufa	match
szeg	nail
mutató	needle
szivattyú	pump
kötél	rope
olló	scissors
rugó	spring
bélyeg	stamp
ostor	whip
összeadás	addition
szög	angle
terület	area
kör	circle
görbület	curve
fok	degree
szint	degree
különbség	difference
távolság	distance
szétválasztás	division
szegély	edge
elem	element
rendeltetés	function
fél	half
határ	limit
vonal	line
háló	net
hányad	percent
pont	point
cél	purpose
következmény	result
szabály	rule
halmaz	set
oldal	side
négyzet	square
négyzet	square
csere	substitution
felület	surface
összeg	total
képesség	ability
tett	act
cselekvés	action
élénkség	activity
gyarapodás	addition
mennyiség	amount
támadás	attack
kísérlet	attempt
állásfoglalás	attitude
hátulja	back
magatartás	behavior
darab	bit
ütés	blow
megszakítás	break
hadjárat	campaign
ügy	case
esély	chance
változás	change
választás	choice
állapot	condition
összekötő	connection
repedés	crack
vágás	cut
kár	damage
veszély	danger
halál	death
dekoráció	decoration
pusztulás	destruction
irányítás	dominance
kötelesség	duty
fáradozás	effort
bukás	fall
jellemvonás	feature
küzdelem	fight
homlokzat	front
csapás	hit
lyuk	hole
növekedés	increase
növekedés	increase
internet	internet
rázkódás	jolt
rúgás	kick
forma	kind
csomó	knot
lista	list
többség	majority
ügy	matter
értelem	mind
teljesítmény	operation
ellentét	opposite
kitörés	outburst
rész	part
rész	part
személyiség	personality
darab	piece
helyszín	place
hely	position
energia	power
gyakorlat	practice
feladat	project
tulajdonság	property
minőség	quality
csend	quiet
kötelesség	responsibility
pihenés	rest
visszatérés	return
megmászás	rise
kockázat	risk
tér	seat
készlet	set
nyugalom	silence
helyzet	situation
darab	slice
állapot	state
lépés	step
megállás	stop
ízlelés	taste
dolog	thing
tetõpont	top
érintés	touch
bánásmód	treatment
remegés	tremble
trükk	trick
jelleg	type
használat	use
mód	way
elhasználódás	wear
egység	whole
akarat	will
szükséglet	wish
művészet	art
mûvész	artist
zenekar	band
kefe	brush
hangverseny	concert
terv	design
változatosság	diversity
szórakozás	entertainment
siker	hit
összkép	image
tinta	ink
mód	manner
hártya	movie
múzeum	museum
zene	music
hang	note
zenekar	orchestra
festék	paint
festmény	painting
papír	paper
toll	pen
ceruza	pencil
tükörkép	picture
vers	poem
költészet	poetry
ütem	rhythm
fajta	shape
énekes	singer
dal	song
színpad	stage
stílus	style
divat	vogue
számla	account
előny	advantage
hirdetés	advertisement
tanács	advice
megállapodás	agreement
figyelem	attention
hatalom	authority
bankjegy	banknote
alku	bargain
védjegy	brand
üzlet	business
tőke	capital
aprópénz	change
csekk	cheque
bizottság	committee
vállalat	company
verseny	competition
vád	complaint
megegyezés	contract
másolat	copy
költség	cost
tanács	council
kurzus	course
ügyfél	customer
igényel	demand
tagozat	department
nehézség	difficulty
menedzser	director
gazdasági rendszer	economy
környezet	environment
tapasztalat	experience
cég	firm
űrlap	form
csoport	group
segítség	help
szabadság	holiday
jövedelem	income
ipar	industry
biztosítás	insurance
érdek	interest
elszámolás	invoice
állás	job
jog	law
szabadság	leave
kár	loss
vezetés	management
megjelölt pont	mark
piac	market
anyag	material
átlag	mean
találkozás	meeting
pénz	money
foglalkozás	occupation
ajánlat	offer
iroda	office
tiszt	officer
művelet	operation
tulajdonos	owner
csomag	package
fizetség	payment
terv	plan
ár	price
probléma	problem
termék	product
haszon	profit
tulajdon	property
tarifa	rate
maradék	rest
ellenszolgáltatás	reward
jog	right
eladás	sale
részleg	section
keresztszelvény	section
kiszolgálás	service
részvény	share
üzlet	shop
kiállítás	show
ügyesség	skill
személyzet	staff
siker	success
támogatás	support
táblázat	table
adó	tax
csapat	team
kereskedelem	trade
érték	value
munka	work
munkás	worker
közlemény	announcement
válasz	answer
jóváhagyás	approval
argumentum	argument
könyv	book
hívás	call
graféma	character
vita	controversy
kiáltás	cry
adat	data
döntés	decision
szótár	dictionary
megbeszélés	discussion
kétkedés	doubt
élmény	experience
érzés	feeling
humor	humor
gondolat	idea
információ	information
hobbi	interest
beszélgetés	interview
beszéd	language
nyelv	language
karakter	letter
levél	letter
hazugság	lie
pillantás	look
magazin	magazine
posta	mail
emlékezet	memory
emlék	memory
hiba	mistake
név	name
újság	newspaper
megjegyzés	note
szám	number
vélemény	opinion
oldal	page
kiejtés	pronunciation
javaslat	proposal
tiltakozás	protest
kérdés	question
reagálás	reaction
ok	reason
kapcsolat	relation
kérés	request
titok	secret
mondat	sentence
jel	sign
beszéd	speech
helyesírás	spelling
színvonal	standard
bejelentés	statement
téma	subject
javaslat	suggestion
hang	voice
szó	word
írás	writing
day jó napot	good
luck sok szerencsét, jó szerencsét	good
szia	hello
are you hogy vagy? (informal), hogy van? (formal)	how
thanks nagyon köszönöm	many
nem	no
you very much köszönöm szépen, nagyon szépen köszönöm	thank
igen	yes
Britannia	Britain
Kína	China
Republic Cseh Köztársaság	Czech
Francia Köztársaság	France
Német Szövetségi Köztársaság	Germany
Indiai Köztársaság	India
Olaszország	Italy
Japán	Japan
Spanyol Királyság	Spain
States of America Amerikai Egyesült Államok	United
kamera	camera
fényképezőgép	camera
phone mobiltelefon	cellular
óra	clock
számítógép	computer
lift	elevator
motor	engine
hangszer	instrument
gép	machine
kemence	oven
óra	watch
osztály	class
oktatás	education
oktatás	education
nevelés	education
vizsga	examination
tengerparti	grade
tudomás	knowledge
diák	student
tanár	teacher
gyakorlat	training
félelem	fear
szeretet	love
öröm	pleasure
remény	promise
sokk	shock
kezelés	care
nátha	cold
köhögés	cough
betegség	disease
doktor	doctor
egészség	health
operáció	operation
fájdalom	pain
beteg	patient
öltés	stitch
penge	blade
tábla	board
lánc	chain
bunkósbot	club
fedél	cover
toll	feather
zászló	flag
keret	frame
fogantyú	handle
étlap	menu
csővezeték	pipe
postaköltség	postage
ajándék	present
vitorla	sail
tekercs	scroll
mag	seed
bot	stick
szikla	stone
jegy	ticket
kerék	wheel
drót	wire
hidegvér	balance
tömeg	bulk
töltés	charge
energia	energy
fény	light
tömeg	mass
megmérés	measurement
tükör	mirror
mozgás	movement
stressz	pressure
folyamat	process
nagyság	size
hang	sound
gõz	steam
erő	strength
idő	time
egyes	unit
súly	weight
megbeszélés	date
vendég	guest
kedves	honey
csók	kiss
társaság	party
mosoly	smile
meglepetés	surprise
látogatás	visit
választás	alternative
biológia	biology
ok	cause
kémia	chemistry
összehasonlítás	comparison
következmény	consequence
megfékezés	control
fegyelmezés	discipline
felfedezés	discovery
eset	event
bizonyíték	evidence
példa	example
tény	fact
kérdés	issue
kivonat	kernel
módszer	method
típus	model
szakasz	phase
eljárás	procedure
termelés	production
program	program
projekt	project
kiterjedés	range
kutatás	research
nyomozás	research
tudomány	science
társadalom	society
rendszer	system
technológia	technology
elmélet	theory
hajlam	trend
baj	trouble
felhasználó	user
hadsereg	army
alap	base
egyesület	club
társaság	company
verseny	contest
ország	country
bíróság	court
bűntény	crime
kultúra	culture
köztársaság	democracy
uralom	dominion
választás	election
létezés	existence
rendszer	government
történet	history
egyén	individual
intézmény	institution
király	king
hím	male
végtag	member
nemzet	nation
híradó	news
lárma	noise
parancs	order
szervezet	organization
igazolvány	pass
útlevél	passport
béke	peace
az emberek	people
rendőrség	police
politika	policy
lakosság	population
a lakosság	public
büntetés	punishment
hit	religion
vallás	religion
állam	state
cím	title
egyesítés	union
háború	war
akarat	will
végrendelet	will
kitüntetés	award
labda	ball
baseball	baseball
kerékpár	bike
bajnokság	championship
rivális	competitor
kupa	cup
futball	football
játék	game
gól	goal
célállomás	goal
arany	gold
golf	golf
ugrás	jump
játék	match
játékos	player
rekord	record
ezüst	silver
tenisz	tennis
