Bosnian	﻿English
čokolada	chocolate
jaje	egg
hrana	food
voće	fruit
ručak	lunch
obrok	meal
meso	meat
ulje	oil
riža	rice
salata	salad
so, sol	salt
sendvič	sandwich
sos	sauce
supa	soup
šećer	sugar
slatko	sweet
jabuka	apple
kajsija	apricot
banana	banana
kupina	blackberry
trešnja (sweet cherry), višnja (sour cherry)	cherry
limun	lemon
orah	nut
narandža	orange
breskva	peach
kruška	pear
ananas	pineapple
šljiva	plum
malina	raspberry
jagoda	strawberry
grah, pasulj	bean
kupus	cabbage
mrkva	carrot
krastavac	cucumber
bijeli luk	garlic
maslina	olive
luk, crni luk	onion
paškanat, pastrnak	parsnip
grašak	pea
krompir	potato
rotkvica	radish
paradajz	tomato
adresa	address
kupatilo	bathroom
spavaća soba	bedroom
cigla	brick
vrata	door
pod, patos	floor
sprat	floor
garaža	garage
bašta	garden
kqpijq	gate
hodnik, predsoblje	hall
dom, kuća	home
kuća	house
kuhinja	kitchen
krov	roof
prostorija	room
tuš	shower
stepenica	step
toalet, WC	toilet
zid	wall
bunar	well
prozor	window
krevet	bed
tepih	carpet
stolica	chair
ormar	cupboard
zavjesa	curtain
biro, pisaći sto	desk
namještaj	furniture
sjedište	seat
polica	shelf
lavabo, sudoper	sink
sto	table
torba, džepna knjiga	bag
čizma	boot
tkanina, materijal	cloth
odjeća	clothing
kaput	coat
ogrlica	collar
šešir	hat
jakna	jacket
nakit, dragulj	jewel
prsten	ring
košulja, majica	shirt
cipela	shoe
suknja, suknja	skirt
čarapa	sock
kofer, torba	suitcase
kravata	tie
glumac	actor
glumica	actress
biznismen	businessman
ekspert	expert
general	general
novinar	journalist
sudija	judge
vođa	leader
ministar	minister
muzičar	musician
fotograf	photographer
pilot	pilot
policajac	policeman
političar	politician
predsjenik	president
prefesionalac	professional
predstavnik	representative
mornar	sailor
naučnik	scientist
sekretar, sekretarica	secretary
službenik	servant
vojnik	soldier
pisac	writer
aerodrom	airport
banka	bank
most	bridge
zgrada, građevina	building
glavni grad	capital
dvorac	castle
crkva	church
kino	cinema
grad, metropola	city
fabrika, mlin	factory
stan	flat
bolnica, ambulanta	hospital
hotel	hotel
biblioteka	library
park	park
zatvor	prison
restoran	restaurant
put, cesta	road
škola	school
ulica	street
struktura, izgradnja	structure
metro	subway
supremarket	supermarket
pozorište	theater
grad	town
univerzitet	university
selo, gradić	village
nesreća, udes	accident
čamac	boat
autobus	bus
automobil	car
okuka	curve
ekspresni voz, brzi voz	express
let	flight
putovanje	journey
putnik	passenger
avion	plane
brod	ship
kilzanje, kliženje na krilo	skid
traka, šina	track
voz	train
saobraćaj	transport
zrak	air
životinje	animal
grana	branch
evolucija, razvoj	evolution
farma	farm
polje	field
vatra	fire
cvijet	flower
šuma	forest
trava	grass
list, liska	leaf
život	life
munja	lightning
vlaga	moisture
priroda	nature
biljka	plant
korijen	root
spol	sex
nebo	sky
spavanje	sleep
miris	smell
dim	smoke
izvor, prirodni izvor	spring
stabljika	stem
potok, tok	stream
drvo, stablo	tree
val, talas	wave
vrijeme, vremenski uslovi	weather
svijet	world
nagib, obala rijeke	bank
plaža	beach
potok, tok	current
pravac	direction
Zemlja, zemlja	Earth
istok	east
brdo	hill
ostrvo	island
jezero	lake
zemlja, zemljište	land
karta	map
mjesec	Moon
sjever, sjeverno	north
ravnica	plain
regija	region
rijeka	river
more	sea
jug	south
svemir, kosmos	space
zvijezda	star
sunce	sun
zapad	west
kiselina	acid
hemijsko, hemijska supstanca	chemical
element hemijski element, element	chemical
ugalj	coal
vata	cotton
prašina	dust
zemlja	earth
masnoća	fat
staklo	glass
ljepilo	glue
zrno	grain
led	ice
željezo	iron
koža	leather
tekućina	liquid
stvar	matter
element metalni element, metal	metallic
nafta	oil
otrov	poison
puder	powder
pjesak	sand
svila	silk
sapun	soap
čelik	steel
drvo	wood
vuna	wool
torba	bag
korpa	basket
flaša	bottle
kutija	box
limenka	can
šolja	cup
komoda	drawer
koverta	envelope
čaša	glass
tanjir	plate
video kamera, kameskop	camera
foto aparat	camera
phone mobilni, mobilni telefon	cellular
sat, sahat	clock
kompjuter, računar	computer
lift	elevator
motor	engine
instrument, aparat	instrument
aparat, mašina	machine
rerna	oven
televizor	television
sat	watch
sabiranje	addition
ugao	angle
zona, oblast	area
centar	center
krug	circle
krivina, okuka	curve
stepen	degree
stepen, nivo	degree
razlika	difference
distanca	distance
divizija, segmentacija	division
ivica, granica	edge
sastojak	element
funkcija	function
pola	half
limit, granica	limit
linija, crta	line
mreža	net
red	order
napolje	outside
procenat, postotak	percent
tačka	point
funkcija, korist	purpose
rezultat	result
korijen	root
pravilo, propis	rule
skup	set
strana	side
kvadrat	square
kvadrat	square
zamjena	substitution
površina	surface
suma	total
ponašanje	behavior
internet	internet
čvor	knot
moć	power
stvar (f)	thing
poslijepodne	afternoon
starost	age
April	April
August	August
jesen	autumn
početak	beginning
vijek	century
datum	date
dan, dvadeset četiri sata	day
Decembar	December
kraj, terminal	end
veče, večer	evening
Februar	February
Petak	Friday
budućnost	future
sat, sahat	hour
Januar	January
Juli	July
Juni	June
Maj	May
ponoć	midnight
minuta	minute
momenat, minut	moment
trenutak, minut	moment
Ponedjeljak	Monday
mjesec	month
jutro, sabah	morning
noć	night
Novembar	November
sada	now
Oktobar	October
prošlost	past
pauza, prekid	pause
period , vremenski period	period
sadašnjost, u sanašnje vrijeme	present
subota	Saturday
godišnje doba	season
sekunda	second
Septembar	September
proljeće	spring
ljeto	summer
Nedjelja	Sunday
Četvrtak	Thursday
danas	today
sutra	tomorrow
Utorak	Tuesday
Srijeda	Wednesday
sedmica, hefta	week
vikend	weekend
neko vrijeme	while
zima	winter
godina	year
umjetnost	art
umjetnik	artist
grupa, orkestar	band
četka	brush
boja	color
koncert	concert
dizajn, modeliranje	design
raznovrsnost	diversity
zabava	entertainment
hit	hit
imidž	image
mastilo	ink
pronalazak, izum	invention
film	movie
muzej	museum
muzika	music
nota, muzička nota	note
orkestar	orchestra
farba	paint
slikanje, slikarstvo	painting
papir	paper
olovka	pen
olovka	pencil
slika, ikona	picture
pjesma, oblik stiha	poem
poezija, stih	poetry
ritam	rhythm
oblik, izgled	shape
pjevač	singer
pjesma, vokalan	song
scena	stage
stil	style
moda, trend	vogue
račun, poslovni odnosi	account
prednost	advantage
reklama, oglas	advertisement
savjet	advice
sporazum	agreement
pažnja	attention
autoritet, ovlaštenje	authority
novčanica	banknote
pogodba	bargain
marka, izrada	brand
firma, preduzeće	business
poslovna žena	businesswoman
kapital	capital
sitne pare, sitnih	change
ček, bankovni ček	cheque
komitet, komisija	committee
firma, preduzeće	company
konkurencija	competition
žalba, tužba	complaint
ugovor	contract
kopija	copy
cijena	cost
vijeće	council
kurs, razred	course
mušterija, klijent	customer
potreba	demand
odjeljenje, sekcija	department
teškoća, prepreka	difficulty
direktor, menadžer	director
ekonomija	economy
okolina	environment
iskustvo	experience
firma, kuća	firm
formular	form
grupa	group
pomoć	help
odmor	holiday
prihod	income
industrija, fabrika	industry
osiguranje	insurance
kamata	interest
račun	invoice
posao, zadatak	job
zakon	law
odsustvo, dopuštenje	leave
gubitak	loss
menadžment, upravljanje	management
oznaka	mark
tržište	market
materijal, stvari	material
srednja vrijednost	mean
sastanak	meeting
novac	money
zanimanje	occupation
ponuda	offer
ured, poslovni ured	office
službenik	officer
operacija	operation
vlasnik	owner
paket, pakovanje	package
plačanje	payment
plan, program	plan
cijena	price
problem	problem
proizvod	product
profit, neto prohod	profit
imanje	property
kurs	rate
ostatak	rest
plata, nagrada	reward
pravo	right
prodaja	sale
dio, odjel	section
sekcija, odjeljak	section
servis	service
dionica	share
prodavnica	shop
predstava	show
vještina, znanost	skill
osoblje	staff
struktura	structure
uspjeh	success
podrška	support
tabela	table
taksa, taksiranje	tax
tim, ekipa	team
trgovina	trade
vrijednost	value
rad, posao	work
radnik	worker
saopštenje, proklamacija	announcement
odgovor	answer
odobrenje, blagoslov	approval
argument, izjava	argument
knjiga	book
poziv, telefonski poziv	call
znak, grafički simbol	character
rasprava, polemika	controversy
plač, call	cry
podaci, informacije	data
odluka, određivanje	decision
rječnik	dictionary
diskusija, rasprava	discussion
sumnja, nesigurnost	doubt
iskustvo	experience
osjećaj	feeling
humor	humor
ideja, misao	idea
informacija, info	information
interes, uključivanje	interest
intervju	interview
jezik	language
jezik, prirodni jezik	language
pismo, slovo	letter
pismo, službeno pismo	letter
laž	lie
izraz, izgled	look
magazin	magazine
pošta, poštanska služba	mail
memorija	memory
sjećanje, pamćenje	memory
greška	mistake
ime	name
časopis, list	newspaper
nota, bilješka	note
broj	number
mišljenje, ubjeđivanje	opinion
stranica	page
izgovor	pronunciation
prijedlog	proposal
protest	protest
pitanje	question
reakcija	reaction
razlog	reason
veza	relation
pitati	request
tajna	secret
rečenica	sentence
znak	sign
govor, izgovorena komunikacija	speech
pravopis	spelling
standard, kriterij	standard
izjava	statement
tema	subject
prijedlog, ponuda	suggestion
glas, avaz	voice
riječ	word
pisanje	writing
regards srdačan pozdrav	best
you speak English da li govorite engleski	do
day dobar dan	good
luck sa srećom	good
morning dobro jutro	good
birthday sretan rođendan	happy
pozdrav, ćao	hello
are you kako ste	how
thanks hvala mnogo	many
ne	no
oprostite	sorry
oprostite	sorry
you very much hvala najljepša	thank
is your name kako se zovete	what
da	yes
welcome nema na čemu	you're
Ujedinjeno Kraljevstvo	Britain
Kina	China
Republic Češka Republika, Češka	Czech
Francuska	France
Njemačka	Germany
Indija	India
Italija	Italy
Japan	Japan
Španija	Spain
States of America Sjedinjene Američke Države	United
razred	class
obrazovanje	education
obrazovanje	education
obrazovanje, učenje	education
ispit, test	examination
ocjena	grade
spoznavanje	knowledge
student	student
učitelj	teacher
obuka	training
strah	fear
mržnja	hate
ljubav	love
zadovoljstvo	pleasure
obećanje, nada	promise
šok	shock
njega	care
prehlada	cold
kašalj	cough
bolest	disease
ljekar, doktor	doctor
zdravlje	health
menstruacija	menstruation
sestra, medicinska sestra	nurse
operacija, hirurška operacija	operation
bol	pain
pacijent	patient
šav, bod	stitch
oštrica, sječivo	blade
daska	board
karta	card
lanac	chain
batina	club
poklopac, ekran	cover
perje	feather
zastava	flag
okvir	frame
drška	handle
meni	menu
šaraf	nut
igla	pin
cijev	pipe
poštanska marka	postage
poklon	present
jedro	sail
spirala	scroll
sjeme	seed
štap	stick
kamen, stijena	stone
tiket, karta	ticket
točak	wheel
žica	wire
ravnoteža	balance
masa, volumen	bulk
električni naboj	charge
energija	energy
svjetlost	light
masa	mass
mjerenje	measurement
ogledalo	mirror
pokret	movement
pritisak	pressure
proces, fizički proces	process
veličina	size
zvuk	sound
para	steam
sila	strength
vrijeme, četvrta dimenzija	time
jedinica	unit
težina	weight
momak	boyfriend
randevu, sastanak	date
djevojka	girlfriend
gost	guest
drag, omiljen	honey
poljubac	kiss
zabava	party
seks	sex
osmjeh	smile
iznenađenje	surprise
posjeta	visit
biologija	biology
uzrok, razlog	cause
hemija	chemistry
uporešenje	comparison
posljedica, konsekvenca	consequence
predmet, predmetno područje	discipline
otkriće	discovery
otkriće	discovery
dokaz	evidence
primjer	example
činjenica	fact
tema	issue
način, metod	method
faza	phase
program	program
projekat	project
istraživanje	research
istraživanje	research
nauke	science
društvo	society
sistem	system
tehnologija	technology
teorija	theory
trend, tendencija	trend
problem	trouble
korisnik	user
kopnena vojska	army
baza, baza operacija	base
klub, društveni klub	club
društvo, druženje	company
takmičenje	contest
zemlja, država	country
sud	court
zločin, kazneno djelo	crime
kultura	culture
republika	democracy
vlast, vladavina	dominion
izbori	election
egzistencija	existence
žensko	female
državna vlada, režim	government
historija	history
pojedinac, individua	individual
institucija	institution
kralj	king
muškarac	male
član	member
nacija, zemlja	nation
vijesti , novosti, obavještenje	news
buka	noise
naredba	order
organizacija	organization
propusnica, laissez passer	pass
pasoš	passport
mir	peace
ljudi	people
policija, zakon	police
politika	policy
stanovništvo	population
javnost, stanovništvo	public
kazna, sankcija	punishment
vjera	religion
religija	religion
država	state
naslov	title
savez	union
rat, ratno stanje	war
volja	will
testament	will
lopta	ball
bejzbol	baseball
bicikl	bike
prvenstvo, naslov	championship
takmičar, rival	competitor
kup	cup
fudbal, nogomet	football
igra	game
gol	goal
kraj, cilj	goal
zlato	gold
golf	golf
utakmica, meč	match
igrač	player
rekord	record
srebro	silver
tenis	tennis
bacanje	throw
pobjeda	win
zvono	bell
dugme, tipka	button
pištolj	gun
čekić	hammer
kuka, kandža	hook
ključ	key
brava	lock
šibica	match
ekser	nail
igla, iglica	needle
pumpa	pump
uže	rope
makaze	scissors
proljeće	spring
pečat	stamp
bič	whip
oblak	cloud
rosa	dew
magla	fog
mraz	frost
kiša	rain
duga	rainbow
snijeg	snow
oluja	storm
grom, grmljavina	thunder
