English	Asturian
Isle of Man	Islla de Man
Isle of Wight	Islla de Wight
Isotope	Isótopu
Israel	Israel
Israel	Categoría:Israel
Istanbul	Estambul
Isthmus	Istmu
Italy	Italia
Italy	Categoría:Italia
J	J
Jack Lemmon	Jack Lemmon
Jackson	Jackson, Mississippi
Jacques Cartier	Jacques Cartier
Jacques Derrida	Jacques Derrida
Jacques Offenbach	Jacques Offenbach
Jainism	Xainismu
Jalalabad	Jalalabad
Jamaica	Xamaica
Jamaica	Categoría:Xamaica
James Cook	James Cook
James Watt	James Watt
Janissary	Xenízaros
January	Xineru
January 1	1 de xineru
January 19	19 de xineru
January 20	20 de xineru
January 6	6 de xineru
Japan	Xapón
Japan	Categoría:Xapón
Jazz	Jazz
Jehovah	Xehová
Jehovah's Witnesses	Testigos de Xehová
Jersey	Jersey
Jerusalem	Xerusalén
Jesus	Xesús
Joan of Arc	Xuana d'Arcu
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
John Calvin	Xuan Calvín
John Dalton	John Dalton
John Maynard Keynes	John Maynard Keynes
John von Neumann	John von Neumann
Jordan	Xordania
Jordan	Categoría:Xordania
Joseph Goebbels	Joseph Goebbels
Joseph Stalin	Yósif Stalin
Joule	Xuliu (unidá)
Journalism	Categoría:Periodismu
Judaism	Categoría:Xudaismu
Judo	Yudu
Jules Verne	Jules Verne
Julius Caesar	Xuliu César
July	Xunetu
July 1	1 de xunetu
July 4	4 de xunetu
June	Xunu
June 14	14 de xunu
June 21	21 de xunu
June 23	23 de xunu
June 24	24 de xunu
June 29	29 de xunu
June 3	3 de xunu
Juneau	Juneau, Alaska
Jupiter	Xúpiter (planeta)
Jupiter (disambiguation)	Xúpiter
Jurassic	Xurásicu
K	K
Kabul	Kabul (ciudá)
Kandahar	Kandahar (ciudá)
Karachi	Karachi
Karate	Kárate
Karl Marx	Karl Marx
Karma	Karma
Katowice	Katowice
Kazakhstan	Kazakhistán
Kazakhstan	Categoría:Kazakhistán
Kelvin	Kelvin
Kenya	Keña
Kenya	Categoría:Keña
Kernel (computer science)	Kernel
Khan	Kan (títulu)
Khmer Rouge	Khmeres Roxos
Kilometre	Quilómetru
Kilometres per hour	Quilómetru por hora
Kiribati	Kiribati
Kiss	Pucu
Knesset	Kneset
Knife	Cuchiellu
Knot (speed)	Nuedu (unidá)
Korea	Corea
Kosovo	Kosovo
Kosovo	Categoría:Kosovo
Kublai Khan	Cublai Kan
Kuwait	Kuwait
Kuwait	Categoría:Kuwait
Kyoto	Kyoto
Kyrgyzstan	Kirguistán
L	L
Laboratory	Llaboratoriu
Lake	Llagu
Lambda	Lambda
Lammergeier	Frangüesu
Language	Idioma
Lanthanide	Lantánidu
Laos	Laos
Las Vegas	Las Vegas, Nevada
Latin	Llatín
Latin America	América Llatina
Latin alphabet	Alfabetu llatín
Latitude	Llatitú
Latvia	Letonia
Latvia	Categoría:Letonia
Laurasia	Laurasia
Law	Drechu
Law	Categoría:Derechu
League of Nations	Sociedá de Naciones
Leap year	Añu bisiestu
Lebanon	Líbano
Lemon	Citrus limon
Lena River	Ríu Lena
Leo (constellation)	Lleo
Leon Trotsky	León Trotsky
Leonardo da Vinci	Leonardo da Vinci
Lesotho	Lesotho
Letter (alphabet)	Lletra
Lever	Lleva
Leviticus	Llevíticu
Lexicology	Lexicoloxía
Liberia	Liberia
Libra (constellation)	Llibra (constelación)
Libya	Libia
Libya	Categoría:Libia
Liechtenstein	Liechtenstein
Liechtenstein	Categoría:Liechtenstein
Light	Lluz
Light-year	Añu lluz
Lighthouse	Faru
Lincoln	Lincoln
Line (mathematics)	Reuta
Linguistics	Llingüística
Linguistics	Categoría:Llingüística
Linux	Linux
Lisbon	Lisboa
Literature	Lliteratura
Literature	Categoría:Lliteratura
Lithium	Litiu
Lithuania	Lituania
Lithuania	Categoría:Lituania
Litre	Llitru
Logic	Categoría:Lóxica
London	Londres
Los Angeles	Los Ángeles
Lower Saxony	Baxa Saxonia
Luanda	Luanda
Ludwig van Beethoven	Ludwig van Beethoven
Luxembourg	Luxemburgu
Luxembourg	Categoría:Luxemburgu
M	M
Macedon	Macedonia Antigua
Macedonia	Macedonia (dixebra)
Macedonia (Greece)	Macedonia (Grecia)
Mach number	Númberu Mach
Machu Picchu	Machu Picchu
Macroeconomics	Macroeconomía
Madagascar	Madagascar
Madagascar	Categoría:Madagascar
Madeira	Madeira
Madrid	Madrid
Madrid (autonomous community)	Comunidá de Madrid
Magma	Magma
Magna Carta	Carta Magna
Magnesium	Magnesiu
Magnoliopsida	Categoría:Magnoliopsida
Magpie	Pega
Mahatma Gandhi	Mohandas Gandhi
Maine	Maine
Maize	Zea mais
Majorca	Mallorca
Malaysia	Malasia
