English	Hindi
Cat	बिल्ली
Cauliflower	फूल गोभी
Cayman Islands	केमन द्वीप-समूह
Cell (biology)	कोशिका
Celsius	सेल्सियस
Central African Republic	केन्द्रीय अफ्रीकी गणराज्य
Ceres (mythology)	सिरीस
Cetacea	व्हेल
Chair	कुर्सी
Charlemagne	चार्लेमन
Charles Darwin	चार्ल्स डार्विन
Charles de Gaulle	शार्ल डु गोल
Charlie Chaplin	चार्ली चैपलिन
Che Guevara	चे ग्वेरा
Cheese	पनीर
Chemical element	रासायनिक तत्व
Chemical engineering	रासायनिक अभियान्त्रिकी
Chemistry	रसायन शास्त्र
Chemistry	श्रेणी:रसायन शास्त्र
Chennai	चेन्नई
Chiang Kai-shek	चेंग कै शेक
Chicago	शिकागो, इलिनॉय
Chickpea	चना
Chile	चिले
Chimborazo (volcano)	चिम्बरोजी
China	श्रेणी:चीन
China	चीन
Chlorine	क्लोरीन
Chloroform	क्लोरोफ़ॉर्म
Cholera	विसूचिका
Chordate	कशेरुकी जीव
Christchurch	क्राइस्टचर्च
Christiaan Huygens	क्रिस्टियन हुगेन्स
Christianity	ईसाई धर्म
Christianity	श्रेणी:ईसाई धर्म
Christmas	क्रिसमस
Christopher Columbus	क्रिस्टोफ़र कोलम्बस
Chromium	क्रोमियम
Church	गिरजाघर
Cinnamon	दालचीनी
Circumcision	ख़तना
Classical music	शास्त्रीय संगीत
Claude Monet	क्लाद मोने
Climate	श्रेणी:जलवायु
Cloud	बादल
Cobalt	कोबाल्ट
Coconut	नारियल
Cocos (Keeling) Islands	कोकोज (कीलिंग) द्वीप समूह
Coffee	कॉफ़ी
Cold War	शीतयुद्ध
Colombo	कोलंबो
Color	रंग
Colorado	कोलोरैडो
Colorado River	कोलोरेडो नदी
Comet	धूमकेतु
Common cold	सर्दी
Commonwealth of Nations	राष्ट्रों का राष्ट्रमंडल
Communism	साम्यवाद
Comoros	कोमोरोस
Compass	दिक्सूचक
Computer	कंप्यूटर
Computer hardware	हार्डवेयर
Computer programming	प्रोग्रामिंग
Computer software	सॉफ्टवेयर
Computer virus	कम्प्यूटर वायरस
Condom	शिश्वावेष्टन गर्भ निरोधक्
Confucianism	कुन्फ़्यूशियसी धर्म
Confucius	कुन्फ़्यूशियस
Conic section	शांकव
Connecticut	कनाटीकट
Conservation of energy	उर्जा संरक्षण का नियम
Consonant	व्यंजन वर्ण
Constantine I	कोन्स्टान्टिन प्रथम
Continent	महाद्वीप
Continental shelf	कॉण्टीनेण्टल शैल्फ
Coordinated Universal Time	समन्वयित विश्वव्यापी समय
Copenhagen	कोपेनहेगन
Copper	ताम्र
Cornea	स्वच्छमण्डल
Cornwall	कॉर्नवल
Costa Rica	कोस्टा रीका
Cotton	कपास
Coulomb	कूलम्ब
Cricket	क्रिकेट
Crimean War	क्रीमिया का युद्ध
Croatia	क्रोएशिया
Cronus	क्रोनोस
Cryptography	बीज-लेखन
Crystal	क्रिस्टल
Cuba	क्यूबा
Cucumber	खीरा
Cultural Revolution	संवर्धन आमूल परिवर्त
Culture	संस्कृति
Culture	श्रेणी:संस्कृति
Cumbria	कम्ब्रिया
Cupressaceae	मोरपंखी
Curitiba	Curitiba
Cyan	क्यान (रंग)
Cyprus	साइप्रस
Czech Republic	चेक गणराज्य
Czechoslovakia	चेकोस्लोवाकिया
Dakar	डकार
Dalai Lama	दलाईलामा
Dallas	डालास
Dance	नृत्य
Dance	श्रेणी:नृत्य
Dante Alighieri	दान्ते ऐलिगिरी
Dardanelles	डार्डेनलीज जलसन्धि
Darjeeling	दार्जीलिंग
Database	डेटाबेस
David Hilbert	डेविड हिल्बर्ट
Davis Cup	डेविस कप
Death	मृत्यु
December 31	31 दिसंबर
December 8	8 दिसंबर
Deer	हिरण
Delaware	डेलावर
Delhi	दिल्ली
Demeter	डिमीटर
Democracy	लोकतंत्र
Dengue fever	डेंगू
Denmark	डेनमार्क
Density	घनत्व
Desert	मरुस्थल
Design	डिजाइन
Desmond Tutu	डेसमंड टूटू
Detroit	डेट्राइट, मिशिगन
Devon	डेवन
Dhaka	ढाका
Diabetes mellitus	मधुमेह
Diamond	हीरा
Diana	राजकुमारी डायना
Diana (mythology)	डायना
Dictatorship	तानाशाही
Dictionary	शब्दकोश
Diesel	डीजल
Dijon	दीजों
Dinosaur	डायनोसोर
Dionysus	डायोनाइसस
Diplomacy	राजनय
Disambiguation	श्रेणी:बहुविकल्पी शब्द
Disease	रोग
Dodo	डोडो
Dome	गुम्बज
Dominica	डोमिनिका
Dominican Republic	डोमिनिकन गणराज्य
Donald Duck	डोनाल्ड डक
Doppler effect	डॉप्लर प्रभाव
Doris Lessing	डोरिस लेसिंग
Drama	नाटक
Dromedary	ऊँट
Dubai	दुबई
Dune	बालुका स्तूप
Dunkirk	दैंकर्क
Durban	डर्बन
Dwight D. Eisenhower	ड्वैट ऐज़नहौवर
E-mail	ईमेल
Ear	कान
Earth	पृथ्वी
Earth	श्रेणी:पृथ्वी
Earthquake	भूकंप
East Sussex	ईस्ट ससेक्स
East Timor	पूर्वी तिमोर
Easter	ईस्टर
Eclipse	ग्रहण
Ecology	पारिस्थितिकी
Ecology	श्रेणी:पर्यावरण
Economics	अर्थशास्त्र
Edgar Degas	एद्गर देगास
Edinburgh	एडिनबरा
Edmund Hillary	एडमंड हिलारी
Education	शिक्षा
Edvard Munch	एडवर्ड मुंख
Edward Gibbon	एडवार्ड गिबन
Edward Jenner	एडवार्ड जेनर
Eggplant	बैंगन
Egypt	मिस्र
Egypt	श्रेणी:मिस्र
El Salvador	एल-साल्वाडोर
Electric current	विद्युत धारा
Electric motor	विद्युत मोटर
Electrical engineering	वैद्युत अभियांत्रिकी
Electrical resistance	विद्युत प्रतिरोध
Electricity	विद्युत
Electricity	श्रेणी:विद्युत
Electrocardiogram	इ॰ सी॰ जी॰
Electrolyte	विद्युत अपघट्य
Electromagnetic radiation	विद्युतचुंबकीय विकिरण
Electromagnetic spectrum	विद्युतचुंबकीय वर्णक्रम
Electromagnetism	विद्युतचुम्बकत्व
Electron	विद्युद्णु
Electronics	इलेक्ट्रॉनिक्स
Elephant	हाथी
Elias Canetti	एलायस कनेटी
Ellipse	दीर्घवृत्त
Elvis Presley	एल्विस प्रेस्ली
Emir	अमीर
Emma Goldman	एमा गोल्डमन
Empedocles	एंपेडोक्लीज़
Empire State Building	एम्पायर स्टेट भवन
Encyclopedia	विश्वज्ञानकोष
Energy	ऊर्जा
Energy (society)	ऊर्जा
Engine	इंजन
Engineer	अभियन्ता
Engineering	अभियान्त्रिकी
Engineering	श्रेणी:अभियाँत्रिकी
England	इंग्लैंड
England	श्रेणी:इंग्लैंड
English Civil War	अंग्रेज़ी गृहयुद्ध
English language	अंग्रेज़ी भाषा
English people	श्रेणी:अंग्रेज़ी
Enrico Fermi	एन्रीको फर्मी
Entomology	कीटविज्ञान
Entropy	उत्क्रम
Environment	पर्यावरण
Equation	समीकरण
Equator	भूमध्य रेखा
Equatorial Guinea	ईक्वीटोरियल गीनी
Eratosthenes	इरैटोस्थनिज़
Erik Axel Karlfeldt	एरिक एक्सेल कार्लफेल्ट
Ernest Hemingway	अर्नेस्ट हेमिंगवे
Ernest Rutherford	अर्नेस्ट रदरफोर्ड
Eros (mythology)	ईरोस
Esfahan	इस्फ़हान
Esperanto	एस्पेरान्तो
Essay	निबंध
Essex	एसेक्स
Ethics	नैतिकता
Etymology	व्युत्पत्ति
Eugene O'Neill	यूजीन ओ'नील
Eukaryote	यूकैरियोट
Eurasia	यूरेशिया
Euro	यूरो
Europe	यूरोप
Europe	श्रेणी:यूरोप
European Union	यूरोपीय संघ
European Union	श्रेणी:यूरोपीय संघ
Exchange rate	विनिमय दर
Eye	आंख
Fahrenheit	फॉरेन्हाइट
Fallacy	मिथ्या तर्क
Fascism	फ़ासी वाद
Fatah	फ़तह
February 12	12 फरवरी
February 14	14 फरवरी
February 2	2 फरवरी
February 22	22 फरवरी
February 29	29 फरवरी
Federal Reserve System	फैडरल रिसर्व बैंक
Feminism	नारीवाद
Ferdinand Magellan	फ़र्दिनान्द मैगलन
Fermion	फर्मियान
Fetus	भ्रूण
Fever	ज्वर
Fibonacci number	हेमचन्द्र श्रेणी
Fidel Castro	फिदेल कास्ट्रो
Field hockey	फील्ड हॉकी
Fiji	फ़िजी
Film	श्रेणी:फ़िल्म
Film	फ़िल्म
Film director	फ़िल्म निर्देशक
Finger	उंगली
Finland	फ़िनलैंड
First aid	प्राथमिक चिकित्सा
First language	मातृभाषा
Fish	मछली
Flood	बाढ़
Florence	फ्लोरेन्स
Florence Nightingale	फ्लोरेन्स नैटिन्गेल
Food	भोजन
Foot (unit of length)	फुट (लम्बाई की इकाई)
Football (soccer)	फ़ुटबॉल
Fourier series	फुरिअर श्रेणी
France	फ़्राँस
Francis Drake	फ़्रांसिस ड्रेक
Francisco Goya	फ्रांसिस्को डि गोया
Francisco Pizarro	पिज़ारो
Free will	मुक्त कर्म
Freedom (philosophy)	आज़ादी
French Revolution	फ़्रांसीसी क्रांति
Frequency	आवृत्ति
Friday	शुक्रवार
Friedrich Engels	फ्रेडरिक एंजेल्स
Fruit	फल
Full moon	पूर्णिमा
Function (mathematics)	फलन
Fungus	कवक
Funicular	रज्जुरेल
Gaborone	गोबोर्नी
Gabriel Lippmann	गाब्रियल लिपमन
Galileo Galilei	गालीलेओ गालीलेई
Gallium	गैलिअम
Game	खेल
Gamma ray	गामा किरण
Ganesha	गणेश
Ganges	गंगा नदी
Gansu	गांसू
Gautama Buddha	गौतम बुद्ध
Gaza	गज़ा
Gemini (constellation)	मिथुन
Genetics	आनुवंशिकी
Geneva	जनीवा
Genoa	जेनोआ
Geography	भूगोल
Geography	श्रेणी:भूगोल
Geography	प्रवेशद्वार:भूगोल
Geometry	ज्यामिति
Geometry	श्रेणी:रेखागणित
Geopolitics	भूराजनीति
Georg Wilhelm Friedrich Hegel	जार्ज विल्हेम फ्रेडरिच हेगेल
George Bernard Shaw	जार्ज बर्नार्ड शा
George Boole	जॉर्ज बूल
George Harrison	जार्ज हरिसन
George Lucas	ज्योर्ज लुकास
George Orwell	जॉर्ज ऑरवेल
George Paget Thomson	जार्ज पेजेट थामसन
George W. Bush	जॉर्ज वॉकर बुश
George Washington	जार्ज वाशिंगटन
Georgia (U.S. state)	जार्जिया (अमरीकी राज्य)
Georgia (country)	जोर्जिया
Gerald Ford	जेरल्ड फोर्ड
German language	जर्मन भाषा
Germanium	जर्मेनियम
Germany	जर्मनी
Geyser	उष्णोत्स
Ghana	घाना
Glacier	हिमनद
Glasgow	ग्लासगो
Global warming	भूमंडलीय ऊष्मीकरण
Gloucestershire	ग्लॉस्टरशायर
Goa	गोआ
God	ईश्वर
Gold	सोना
Golda Meir	गोल्डा मेयर
Good Friday	गुड फ़्राइडे
Google	गूगल
Google	श्रेणी:गूगल
Government	सरकार
Gram	ग्राम
Grammar	व्याकरण
Grammar	श्रेणी:व्याकरण
Grand Canyon	ग्रैन्ड कैन्यन
Great Lakes	महान संयुक्त झीलें
Great Wall of China	चीन की महान दीवार
Greater London	ग्रेटर लंदन
Greece	ग्रीस
Greek mythology	यूनानी धर्म
Greek mythology	श्रेणी:यूनानी धर्म
Green	हरा
Greenhouse effect	ग्रीन हाउस प्रभाव
Greenpeace	ग्रीनपीस
Greenwich	ग्रेनिच बरो
Greenwich Mean Time	जी एम टी
Gregorian calendar	ग्रेगोरी कैलंडर
Grenoble	ग्रेनोब्ल
Greylag Goose	ग्रेलैग हंस
Gross domestic product	सकल घरेलू उत्पाद
Guadeloupe	गुआदेलूप
Guangdong	ग्वांगदूंग
Guglielmo Marconi	गुल्येल्मो मार्कोनी
Guillotine	गिलोटिन
Guinea	गिनी
Guinea-Bissau	गिनी-बिसाऊ
Guitar	गिटार
Gujarat	गुजरात
Gulf Stream	गल्फ स्ट्रीम
Gunpowder	बारूद
HIV	एचआईवी
HTML	एच.टी.एम.एल.
Hades	हेडीस
Haiku	हाइकु
Haiti	हैती
Hammer	हथौड़ा
Hammurabi	हाम्मुरबी
Hampshire	हैम्पशायर
Hannibal	हान्निबल
Hanoi	हनोई
Hans Bethe	हांस अल्ब्रेक्त बेटू
Hanukkah	हनुका
Hanuman	हनुमान
Harare	हरारे
Harriet Tubman	हेरिएट टबमान
Hawaii	हवाई
Health	स्वास्थ्य
Heart	हृदय
Heat	ऊष्मा
Heavy water	भारी जल
Hebei	होबेइ
Helen Keller	हेलेन केलर
Helium	हीलियम
Henri Becquerel	ऑँरी बेकेरेल
Henri Bergson	आन्रि बर्गसां
Henrik Ibsen	हेनरिक इबसन
Henry (unit)	हेनरी (इकाई)
Henry Ford	हेनरी फ़ोर्ड
Hephaestus	हैफ़ीस्टस
Hera	हीरा (देवी)
Herat	हेरात
Herbert Hoover	हर्बर्ट हूवर
Hermann Hesse	हर्मान हेस्से
Hermes	हरमीस
Herod the Great	हेरोद महान
Herodotus	हिरोडोटस
Hertfordshire	हर्टफ़र्डशायर
Hertz	हर्ट्ज़
Hestia	हेस्टिया
Himalayas	हिमालय
Hindu Kush	हिन्दु कुश
Hinduism	हिन्दू धर्म
Hinduism	श्रेणी:हिन्दू धर्म
Hippocrates	हिप्पोक्रेटस
Hirohito	हिरोहितो
Hiroshima	हिरोशिमा
History	इतिहास
History	श्रेणी:इतिहास
Ho Chi Minh	हो चि मिन्ह्
Hollywood	हॉलीवुड
Homeopathy	होम्योपैथी
Homer	होमर
Homosexuality	समलैंगिकता
Honduras	हॉण्डुरास
Hong Kong	हांग कांग
Hookah	हुक्का
Hooke's law	हुक का नियम
Horn (anatomy)	सींग
Horoscope	कुण्डली
Horus	होरस
Hotel	होटल
Hour	घंटा
House (TV series)	हाउस
House Sparrow	घरेलू गौरैया
Houston	ह्युस्टन
Howard Carter (archaeologist)	हावर्ड कार्टर
Hudson River	हडसन नदी
Humidity	आर्द्रता
Hunan	हूनान
Hungary	हंगरी
Hyderabad	हैदराबाद
Hydrocarbon	हाइड्रोकार्बन
Hydrogen	हाइड्रोजन
Hydrosphere	जलमण्डल
Hyperbola	अति परवलय
Ice	बर्फ
Iceland	आइसलैंड
Iliad	इलियाड
Illinois	इलिनॉय
Immanuel Kant	इमानुएल कांट
Independence	स्वतन्त्रता
India	भारत
India	श्रेणी:भारत
Indian Ocean	हिन्द महासागर
Indiana	इंडियाना
Indiana	श्रेणी:इंडियाना
Indira Gandhi	इन्दिरा गांधी
Indium	इण्डियम
Indochina	हिन्दचीन
Indonesia	इंडोनेशिया
Indra	इन्द्र
Indus River	सिन्धु नदी
Industrial Revolution	औद्योगिक क्रांति
Infectious disease	औपसर्गिक रोग
Inflation	मुद्रा स्फीति
Information technology	सूचना प्रौद्योगिकी
Infrared	अधोरक्त
Ingmar Bergman	इंगमार बर्गमान
Inner Mongolia	आंतरिक मंगोलिया
Innovation	नवाचार
Integer	पूर्ण संख्या
Intellectual property	बौद्धिक सम्पदा
International Atomic Energy Agency	अंतर्राष्ट्रीय परमाणु ऊर्जा अधिकरण
International Court of Justice	अंतर्राष्ट्रीय न्यायालय
International System of Units	अन्तर्राष्ट्रीय इकाई प्रणाली
Internet	अंतरजाल
Internet	श्रेणी:अंतरजाल
Iran	ईरान
Iran	श्रेणी:ईरान
Iraq	इराक़
Iron	लोहम्
Iron Age	लौह युग
Isaac Newton	सर आइज़क न्यूटन
Isis	ईसिस
Islam	इस्लाम
Islam	श्रेणी:इस्लाम धर्म
Islamabad	इस्लामाबाद
Islamic calendar	हिजरी
Island	द्वीप
Isle of Man	आइल ऑफ मान
Isle of Wight	आइल ऑफ़ वाइट
Israel	इस्राइल
Istanbul	इस्तांबुल
Italy	इटली
Ivan Turgenev	इवान तुर्गेन्येव
Jack London	जैक लंडन
Jacques Cartier	ज़ाक कार्तिए
Jacques Derrida	डेरिडा
Jade	हरिताश्म
Jainism	जैन धर्म
Jakarta	जकार्ता
James Bond	जेम्स बॉन्ड
James Clerk Maxwell	जेम्स क्लर्क माक्सवेल
James Monroe	जेम्स मनरो
Jammu and Kashmir	जम्मू और कश्मीर
January 1	1 जनवरी
January 19	19 जनवरी
January 20	20 जनवरी
January 6	6 जनवरी
Japan	जापान
Japan	श्रेणी:जापान
Java	जावा द्वीप
Jawaharlal Nehru	जवाहरलाल नेहरू
Jazz	जैज़
Jean-Jacques Rousseau	रूसो
Jean-Paul Sartre	ज्यां-पाल सार्त्र
Jerusalem	येरुशलम
Jesus	ईसा मसीह
Jew	यहूदी
Jihad	जेहाद
Jimmy Carter	जिमी कार्टर
Johann Sebastian Bach	योहान सेबास्तियन बाख़
Johann Wolfgang von Goethe	योहान वुल्फगांग फान गेटे
Johannes Gutenberg	जोहान गुटेनबर्ग
Johannes Kepler	योहानेस केप्लर
Johannes Vilhelm Jensen	योहानेस विल्हेल्म जेन्सेन
John Adams	जाह्न एडम्स
John Bardeen	जॉन बर्दीन
John Galsworthy	जाह्न गाल्सवर्दी
John Keats	जान कीट्स
John Major	जॉन मेजर
John Maynard Keynes	जोन मेनार्ड केन्स
John Steinbeck	जाह्न स्टैनबेक
Johnny Cash	जॉनी कैश
Jordan	यार्दन
Joseph Stalin	जोसेफ़ स्टालिन
Journalism	पत्रकारिता
Judaism	यहूदी धर्म
Judaism	श्रेणी:यहूदी धर्म
Julian calendar	जूलियन कैलंडर
Julius Caesar	जुलियस सीसर
July 1	1 जुलाई
June	जून
June 14	14 जून
June 21	21 जून
June 23	23 जून
June 24	24 जून
June 29	29 जून
June 3	3 जून
Juno (mythology)	जूनो
Jupiter	बृहस्पति
Jupiter (mythology)	जुपिटर
Kabul	काबुल
Kandahar	कांधार
Kangaroo	कंगारू
Kansas	कैंसस
Karachi	कराची
Karl Marx	कार्ल मार्क्स
Karma	कर्म
Karnataka	कर्नाटक
Kathmandu	काठमांडू
Kazakhstan	क़ाज़ाक़्स्तान
Kelvin	कैल्विन
Kent	केंट
Kenya	कीनिया
Kiev	कीव
Kilogram	किलोग्राम
Kinshasa	किन्शासा
Knot (speed)	नॉट (इकाई)
Knowledge	ज्ञान
Knut Hamsun	क्नूट हामसन
Kobe	कोबे
Kolkata	कोलकाता
Korean War	कोरिया युद्ध
Kosovo	कोसोवो गणराज्य
Krakatoa	एनैक क्राकाटाओ
Krishna	श्रीकृष्ण
Krypton	क्रिप्टन
Kuala Lumpur	क्वाला लमपुर
Kuomintang	गुओमिंदांग
Kurdistan	क़ुर्दिस्तान
Kuwait	कुवैत
Lagos	लागोस
Lahore	लाहौर
Lake	झील
Lake Erie	ईरी
Lake Huron	ह्यूरॉन
Lake Michigan	मिशिगन झील
Lake Ontario	ओन्टारियो झील
Lake Superior	सुपीरियर झील
Lakshmi	लक्ष्मी
