English	Persian
Albany	آلبانی (شهر)
Albatross	آلباتروس
Albert Abraham Michelson	آلبرت آبراهام مایکلسون
Albert Camus	آلبر کامو
Albert Einstein	آلبرت اینشتین
Albert Schweitzer	آلبرت شوایتزر
Alberta	آلبرتا
Alberta	رده:آلبرتا
Albuquerque	آلبوکرکی
Alchemy	کیمیاگری
Alcohol	الکل
Alcoholic beverage	نوشیدنی‌های الکلی
Alcoholism	الکلیسم
Aldebaran	دبران
Aldehyde	آلدهید
Aldous Huxley	آلدوس هاکسلی
Aleppo	حلب
Alexander Fleming	الکساندر فلمینگ
Alexander Graham Bell	الکساندر گراهام بل
Alexander Pushkin	الکساندر پوشکین
Alexander the Great	اسکندر مقدونی
Alexandre Dumas	الکساندر دوما (پدر)
Alexandre Dumas	الکساندر دوما (پسر)
Alexandria	اسکندریه
Alexis de Tocqueville	الکسی دو توکویل
Alfred Hitchcock	آلفرد هیچکاک
Alfred Nobel	آلفرد نوبل
Alfred the Great	آلفرد کبیر
Algebra	جبر
Algebra	رده:جبر
Algebraic number	عدد جبری
Algeria	الجزایر
Algeria	رده:الجزایر
Algiers	الجزیره
Algorithm	الگوریتم
Alhambra	الحمرا
Ali	علی
Alkali metal	فلز قلیایی
Alkane	آلکان
Alkyne	آلکین
Allah	الله
Allergy	آلرژی
Allotropy	دگرشکلی
Alloy	آلیاژ
Almaty	آلماآتی
Almond	بادام
Alpha Centauri	رجل قنطورس
Alpha particle	ذرات آلفا
Alps	آلپ
Alsace	آلزاس
Altair	کرکس پرنده
Aluminium	آلومینیم
Aluminium oxide	آلومینا
Alzheimer's disease	آلزایمر
Amaterasu	اماتراسو
Amazon River	رودخانه آمازون
Amber	کهربا
Amedeo Avogadro	آمادئو آووگادرو
American Civil War	جنگ داخلی آمریکا
American Revolutionary War	انقلاب آمریکا
American Samoa	ساموآی آمریکا
American Standard Code for Information Interchange	اسکی (استاندارد)
American football	فوتبال آمریکایی
Americium	امریسیوم
Amerigo Vespucci	آمریگو وسپوچی
Amharic	زبان امهاری
Amide	آمید
Amino acid	اسیدهای آمینه
Amish	آمیش
Amman	عمان (شهر)
Ammeter	آمپرسنج
Ammonia	آمونیاک
Ampere	آمپر (یکا)
Amphibian	دوزیستان
Amsterdam	آمستردام
Amun	آمون
Amur	آمور
Anagram	آناگرام
Anaheim	آناهایم
Anal sex	آمیزش جنسی مقعدی
Anarchism	دولت‌زدائی
Anatidae	مرغابی‌سانان
Anatole France	آناتول فرانس
Anatomy	کالبدشناسی
Anaxagoras	انکساغورث
Anaximander	آناکسیماندر ملطی
Anchor	لنگر
Anchorage	انکوریج
Andalusia	اندلس
Andaman Sea	دریای آندامان
Anders Celsius	آندرس سلسیوس
Andes	آند
Andhra Pradesh	آندرا پرادش
Andorra	آندورا
Andorra	رده:آندورا
Andrei Sakharov	آندره ساخاروف
Andrei Tarkovsky	آندری تارکوفسکی
Andrew Jackson	اندرو جکسون
Andrew Johnson	اندرو جانسون
Andromeda (constellation)	زن برزنجیر
Andromeda (mythology)	آندرومده
Andy Warhol	اندی وارهول
Anemia	کم‌خونی
Anemometer	بادسنج
Angel	فرشته
Angle	زاویه
Angola	آنگولا
Angola	رده:آنگولا
Animal	جانوران
Animation	پویانمایی
Anime	انیمه
Anime	رده:انیمه
Ankara	استان آنکارا
Annapolis	آناپولیس
Anne Boleyn	آن بولین
Antalya	آنتالیا
Antananarivo	آنتاناناریوو
Antarctica	جنوبگان
Antares	قلب عقرب
Anthony Hopkins	آنتونی هاپکینز
Anthropology	مردم‌شناسی
Anthroposophy	حکمت انسانی
Antibiotic	آنتی‌بیوتیک
Antibody	پادتن
Anticyclone	واچرخند
Antigone	آنتیگونه
Antigua and Barbuda	آنتیگوا و باربودا
Antimatter	ضدماده
Antimony	آنتیموان
Antioxidant	آنتی اکسیدانت
Antisemitism	یهودستیزی
Antlia	تلمبه (صورت فلکی)
Antoine Lavoisier	آنتوان لاووازیه
Anton Chekhov	آنتون چخوف
Antonio Vivaldi	آنتونیو ویوالدی
Antwerp	آنتورپ
Anubis	آنوبیس
Anus	مقعد
Apache	آپاچی (قبیله)
Ape	میمون
Aphasia	زبان‌پریشی
Aphrodite	آفرودیته
Apia	آپیا
Apiaceae	چتریان
Apocrypha	ابوکریفا
Apodiformes	پرستوسانان
Apollo	آپولو (اساطیر یونان)
Apollo program	برنامه فضایی آپولو
Apoptosis	آپوپتوز
Appalachian Mountains	رشته‌کوه آپالیشین
Appendicitis	آپاندیسیت
Apple	سیب
Applied mathematics	ریاضیات کاربردی
Apricot	زردآلو
April	آوریل
April 14	۱۴ آوریل
Apus	مرغ بهشتی (صورت فلکی)
Aqaba	عقبه
Aquarium	آکواریوم
Aquitaine	ناحیه آکیتن
Ara (constellation)	آتشدان (صورت فلکی)
Arab	عرب
Arabian Sea	دریای عرب
Arabic alphabet	خط عربی
Arabic language	عربی
Arachnid	عنکبوتیان
Aragon	آراگون
Aral Sea	دریاچه آرال
Archaeology	باستان‌شناسی
Archetype	کهن‌الگو
Archimedes	ارشمیدس
Architect	معمار
Architecture	معماری
Archosaur	شاه‌مولکان
Arctic	شمالگان
Arctic Ocean	اقیانوس منجمد شمالی
Arctic fox	روباه قطبی
Area	مساحت
Ares	آرس
Argentina	آرژانتین
Argentina	رده:آرژانتین
Argon	آرگون
Ariadne	آریادنه
Aristarchus of Samos	آریستارخوس ساموسی
Aristocracy	آریستوکراسی
Aristophanes	آریستوفان
Aristotle	ارسطو
Arithmetic	حساب
Arithmetic progression	تصاعد حسابی
Arius	آریوس
Arizona	آریزونا
Ark of the Covenant	تابوت عهد
Arkansas	آرکانزاس
Armadillo	آرمادیلو
Armenia	ارمنستان
Armenia	رده:ارمنستان
Armenian language	زبان ارمنی
Arminius	آرمینیوس
Arrow	تیر
Arsenic	آرسنیک
Art	هنر
Art Deco	آرت دکو
Art Nouveau	آرت نوو
Artemisia (plant)	درمنه‌ها
Artery	سرخرگ
Arthritis	نقرس
Arthropod	بندپایان
Arthur Compton	آرتور هالی کامپتون
Arthur Conan Doyle	آرتور کانن دویل
Arthur Miller	آرتور میلر
Arthur Rimbaud	آرتور رمبو
Arthur Schopenhauer	آرتور شوپنهاور
Artificial intelligence	هوش مصنوعی
Artificial intelligence	رده:هوش مصنوعی
Arts	رده:هنر
Aruba	آروبا
Asbestos	آزبست
Asclepius	آسکلپیوس
Asgard	آسگارد
Ashurbanipal	آشور بانیپال
Asia	آسیا
Asia	رده:آسیا
Asmara	اسمره
Asphalt	آسفالت
Aspirin	استیل سالیسیلیک اسید
Assam	آسام
Assassination	ترور
Assyria	آشور
Astana	آستانه (قزاقستان)
Astatine	استاتین
Asteraceae	گل‌ستاره‌ای‌ها
Asteraceae	رده:گل‌ستاره‌ای‌ها
Asteroid	سیارک
Asthma	آسم
Astrakhan	آستراخان
Astrobiology	اخترزیست‌شناسی
Astrolabe	اسطرلاب
Astrology	ستاره‌بینی
Astrometry	اخترسنجی
Astronaut	فضانورد
Astronomical unit	واحد نجومی
Astronomy	اخترشناسی
Astronomy	رده:ستاره‌شناسی
Astronomy	درگاه:ستاره‌شناسی
Astrophysics	اخترفیزیک
Astrophysics	رده:اخترفیزیک
Asynchronous Transfer Mode	حالت انتقال ناهمگام
Atacama Desert	آتاکاما
Athena	آتنا
Athens	آتن
Athletics (track and field)	دو و میدانی
Atlanta	آتلانتا
Atlantic Ocean	اقیانوس اطلس
Atlantis	آتلانتیس
Atlas (mythology)	اطلس (شخصیت افسانه‌ای)
Atmosphere	جو (هواشناسی)
Atmosphere (unit)	اتمسفر (واحد)
Atoll	آب‌سنگ
Atom	اتم
Atomic mass	جرم اتمی
Atomic number	عدد اتمی
Atomic physics	فیزیک اتمی
Atreus	آترئوس
Attila the Hun	آتیلا
Auction	مزایده
August	اوت
August 1	۱ اوت
August 15	۱۵ اوت
August 6	۶ اوت
August Strindberg	اگوست استریندبرگ
Augusta	آگوستا
Auguste Comte	اگوست کنت
Auguste Rodin	آگوست رودن
Augustine of Hippo	آگوستین قدیس
Auriga (constellation)	ارابه‌ران
Aurora (astronomy)	شفق قطبی
Austin	آستین
Australasia	استرالزی
Australia	استرالیا
Australia	رده:استرالیا
Australian dollar	دلار استرالیا
Austria	اتریش
Austria	رده:اتریش
Author	نویسنده
Autism	اوتیسم
Auto racing	اتومبیل‌رانی
Automated teller machine	خودپرداز
Automobile	خودرو
Autonomic nervous system	سامانه عصبی خودگردان
Autotroph	خودپروردگی
Autumn	پاییز
Avalanche	بهمن (برف)
Avant-garde	آوانگارد
Averroes	ابن رشد
Avesta	اوستا
Aviation	هوانوردی
Avicenna	ابن سینا
Avignon	آوینیون
Axiom	اصل موضوع
Axon	آکسون
Ayatollah	آیت‌الله
Azerbaijan	جمهوری آذربایجان
Azerbaijan	رده:جمهوری آذربایجان
Aztec	آزتک‌ها
Azurite	لاجورد
B	B
BASIC	بیسیک
Baal	بعل
Babylonia	تمدن بابل
Backgammon	تخته نرد
Bacteria	باکتری
Bacteriophage	باکتریوفاژ
Badminton	بدمینتون
Baghdad	بغداد
Bahrain	بحرین
Baklava	باقلوا
Baku	باکو
Balalaika	بالالایکا
Balance sheet	ترازنامه
Baldr	بالدر
Balearic Islands	جزایر بالئارس
Bali	بالی
Balkans	بالکان
Ball	توپ (ورزش)
Ballet	رقص باله
Ballistic missile	موشک بالیستیک
Baltic Sea	دریای بالتیک
Baltimore	بالتیمور
Bamako	باماکو
Bamboo	خیزران
Banana	موز
Bangalore	بنگالورو
Bangkok	بانکوک
Bangladesh	بنگلادش
Bangladesh	رده:بنگلادش
Bangui	بانگوئی
Banjul	بانجول
Bank	بانک
Banknote	اسکناس
Banks	رده:بانک‌ها
Baptist	باپتیست
Barbados	باربادوس
Barcelona	بارسلون
Barents Sea	دریای بارنتز
Bari	باری (شهر)
Barium	باریوم
Barley	جو (گیاه)
Baron	بارون
Baryon	باریون
Baseball	بیسبال
Basel	بازل
Basil	ریحان
Basketball	بسکتبال
Basra	بصره
Bass guitar	گیتار بیس
Basseterre	باسه‌تر
Bassoon	فاگوت
Bastille	قلعه باستیل
Bat	خفاش
Bath	باث
Batman	بت‌من
Baton Rouge	باتون‌روژ
Battalion	گردان
Battle of Britain	نبرد بریتانیا
Battle of Thermopylae	جنگ ترموپیل
Battle of Trafalgar	نبرد ترافالگار
Battleship	رزم‌ناو
Bauhaus	باوهاوس
Bavaria	بایرن
Bay of Bengal	خلیج بنگال
Bay of Biscay	بیسکای (خلیج)
Bayer	بایر (شرکت)
Beach	ساحل
Bear	خرس
Bebop	بیباپ
Beer	آبجو
Beer	رده:آبجو
Beetle	قاب‌بالان
Beijing	پکن
Beirut	بیروت
Belarus	بلاروس
Belarus	رده:بلاروس
Belfast	بلفاست
Belgium	بلژیک
Belgium	رده:بلژیک
Belgrade	بلگراد
Belize	بلیز
Bellerophon	بلروفون
Belly dance	رقص عربی
Belo Horizonte	بلو هوریزونته
Beluga	بلوگا
Benelux	بنلوکس
Benghazi	بنغازی
Benin	بنین
Benin	رده:بنین
Benito Mussolini	بنیتو موسولینی
Benjamin Franklin	بنیامین فرانکلین
Benjamin Harrison	بنیامین هریسون
Benny Goodman	بنی گودمن
Beowulf	بئوولف
Bering Sea	دریای برینگ
Bering Strait	تنگه برینگ
Berkelium	برکلیوم
Berlin	برلین
Bermuda	برمودا
Bermuda Triangle	مثلث برمودا
Bernardo Bertolucci	برناردو برتولوچی
Berne	برن
Bernhard Riemann	‫برنهارت ‫ریمان
Bertolt Brecht	برتولت برشت
Bertrand Russell	برتراند راسل
Beryllium	بریلیوم
Beta decay	واپاشی بتا
Betelgeuse	ابط‌الجوزا
Bethlehem	بیت‌لحم
Beverly Hills	بورلی هیلز
Bhutan	بوتان
Bhutan	رده:بوتان
Bible	کتاب مقدس
Bicycle	دوچرخه
Big Bang	مهبانگ
Bihar	بیهار
Bill Clinton	بیل کلینتون
Bill Gates	بیل گیتس
Billy Wilder	بیلی وایلدر
Binary star	ستاره دوتایی
Binoculars	دوربین شکاری
Biochemistry	زیست‌شیمی
Biochemistry	رده:زیست‌شیمی
Biodiversity	میراث طبیعی
Biography	زندگی‌نامه
Biological warfare	جنگ بیولوژیک
Biology	زیست‌شناسی
Biology	رده:زیست‌شناسی
Biophysics	زیست‌فیزیک
Biopsy	بافت‌بردارى
Biotechnology	زیست‌فناوری
Bipolar disorder	اختلال دوقطبی
Bird	پرنده
Birmingham	برمینگهم، آلاباما
Birth control	پیشگیری از بارداری
Bisexuality	دوجنس‌گرایی
Bishkek	بیشکک
Bismarck	بیسمارک، داکوتای شمالی
Bismuth	بیسموت
Bissau	بیسائو
Bit	بیت (رایانه)
Bivalvia	دوکفه‌ای‌ها
Black	سیاه
Black Forest	جنگل سیاه
Black Sea	دریای سیاه
Black body	جسم سیاه
Black hole	سیاه‌چاله فضایی
Blaise Pascal	بلز پاسکال
Bloemfontein	بلومفونتن
Blog	وبلاگ
Blood	خون
Blood plasma	پلاسما
Blood vessel	رگ
Blue	آبی
Blues	بلوز
Boar	گراز
Boat	قایق
Bob Dylan	باب دیلان
Bob Marley	باب مارلی
Bobby Fischer	بابی فیشر
Bodhisattva	بوداسف
Bohemia	بوهم
Bohrium	بوهریوم
Boise	بویزی
Bolivia	بولیوی
Bolivia	رده:بولیوی
Bollywood	بالیوود
Bologna	بولونیا
Bolshevik	بلشویک
Bomb	بمب
Bomber	بمب‌افکن
Bombyx mori	کرم ابریشم
Bone	استخوان
Bonn	بن
Bonsai	بونسای
Book	کتاب
Book of Esther	کتاب استر
Book of Joshua	کتاب یوشع
Book of Judges	کتاب داوران
Book of Numbers	سفر اعداد
Book of Revelation	مکاشفه یوحنا
Boolean algebra (structure)	جبر بولی
Boomerang	بومرنگ
Bordeaux	بردو
Boris Pasternak	بوریس پاسترناک
Boris Spassky	بوریس اسپاسکی
Borneo	جزیره بورنئو
Boron	بور
Bosnia and Herzegovina	بوسنی و هرزگووین
Bosnia and Herzegovina	رده:بوسنی هرزگووین
Boson	بوزون
Bosporus	تنگه بسفر
Boston	بوستون
Boston Tea Party	مهمانی چای بوستون
Bot	الگو:ربات
Botany	گیاه‌شناسی
Botswana	بوتسوانا
Botswana	رده:بوتسوانا
Bottle	بطری
Bourgeoisie	بورژوازی
Bourgogne	بورگونی
Bouvet Island	جزیره بووه
Boxing	مشت‌زنی
Braga	براگا
Braille	بریل
Brain	مغز
Bram Stoker	برام استوکر
Brandenburg	براندنبورگ
Brandy	براندی
Brass	برنج (آلیاژ)
Brassicaceae	شب‌بوها
Brassiere	سینه‌بند
Bratislava	براتیسلاوا
Brazil	برزیل
Brazil	رده:برزیل
Brazzaville	برازاویل
Bread	نان
Breast cancer	سرطان سینه
Bremen (state)	برمن
Bridge	پل
Bridgetown	بریج‌تاون
Brisbane	بریزبن
Bristol	بریستول
British Columbia	بریتیش کلمبیا
British Isles	جزایر بریتانیا
Broadway (New York City)	خیابان برادوی
Bromine	برم
Bronze Age	عصر برنز
Brooklyn	بروکلین
Brooklyn Bridge	پل بروکلین
Brown	قهوه‌ای
Bruce Lee	بروس لی
Bruges	بروژ
Brunei	برونئی
Brussels	بروکسل
Bubonic plague	طاعون
Bucharest	بخارست
Buckingham Palace	کاخ باکینگهام
Budapest	بوداپست
Buddha	بودا
Buddhism	آئین بودایی
Buddy Holly	بادی هالی
Buenos Aires	بوئنوس آیرس
Buffalo	بوفالو (شهر)
Bujumbura	بوجومبورا
Bulgaria	بلغارستان
Bulgaria	رده:بلغارستان
Bureaucracy	دیوانسالاری
Burkina Faso	بورکینافاسو
Burkina Faso	رده:بورکینافاسو
Burma	میانمار
Burqa	برقع
Bursa	بورسا
Burundi	رده:بوروندی
Bus	اتوبوس
Butter	کره (لبنیات)
Butterfly	پروانه
Butterfly effect	اثر پروانه‌ای
Byte	بایت
C	C
C. S. Lewis	سی اس لوئیس
CN Tower	برج ملی کانادا
Cabaret	کاباره
Cactus	کاکتوس
Cadmium	کادمیوم
Caesium	سزیم
Cairo	قاهره
Cake	کیک
Calcite	کلسیت
Calcium	کلسیم
Calcium carbonate	کلسیم کربنات
Calculator	ماشین حساب
Calculus	حسابان
Calendar	گاهشماری در ایران باستان
Caliber	کالیبر
California	کالیفرنیا
Californium	کالیفرنیوم
Caligula	کالیگولا
Caliph	خلیفه
Calligraphy	خوشنویسی
Calorie	کالری
Calvin Coolidge	جان کالوین کولیج
Calvinism	کالونیسم
Cambodia	کامبوج
Cambrian	کامبرین
Cambridge	کمبریج
Cambridge	کمبریج (ماساچوست)
Camel	شتر
Cameroon	کامرون
Cameroon	رده:کامرون
Canada	کانادا
Canada	رده:کانادا
Canary Islands	جزایر قناری
Canberra	کانبرا
Cancer	سرطان
Cancer (constellation)	خرچنگ (صورت فلکی)
Candela	کاندلا
Canidae	سگسانان
Canis Major	سگ بزرگ
Cannabis	شاهدانه
Cannes	کن (فرانسه)
Cannibalism	آدم‌خواری
Canon (company)	کانن (کمپانی)
Canopus	سهیل
Cantonese (linguistics)	کانتونی
Capacitor	خازن
Cape Town	کیپ‌تاون
Cape Verde	کیپ ورد
Capital	پایتخت
Capitalism	سرمایه‌داری
Cappadocia	کاپادوکیه
Capricornus	بزغاله (صورت فلکی)
Caracas	کاراکاس
Carambola	اختری
Carbohydrate	کربوهیدرات
Carbon	کربن
Carbon dioxide	کربن دی اکسید
Carbon monoxide	منو اکسید کربن
Carbonic acid	اسید کربنیک
Carboniferous	کربونیفر
Carboxylic acid	کربوکسیلیک اسید
Cardinal Richelieu	ریشلیو
Caribbean	کارائیب
Caribbean Sea	دریای کارائیب
Caricature	کاریکاتور
Carina (constellation)	شاه‌تخته
Carl David Anderson	کارل ديويد آندرسون
Carl Jung	کارل گوستاو یونگ
Carl Lewis	کارل لوئیس
Carl Maria von Weber	کارل ماریا فون وبر
Carl Orff	کارل ارف
Carnival	کارناوال
Carolingian dynasty	کارولنژی‌ها
Carolus Linnaeus	کارل لینه
Carson City	کارسون‌سیتی
Cartesian coordinate system	دستگاه مختصات دکارتی
Carthage	کارتاژ
Cartography	نقشه‌نگاری
Casablanca	کازابلانکا (شهر)
Caspian Sea	دریای خزر
Cassiopeia (constellation)	ذات‌الکرسی
Cast iron	چدن
Caste	کاست
Cat	گربه
Catalonia	کاتالونیا
Catalysis	کاتالیزور
Cataphract	کاتافراکت
Cataract	آب مروارید
Catfish	گربه‌ماهی
Cathedral	کلیسای جامع
Catherine Parr	کاترین پار
Catherine of Aragon	کاترین آراگن
Catholicism	کاتولیک
Cattle	گاو
Cattle Egret	گاوچرانک
Caucasus	قفقاز
Caucasus	رده:قفقاز
Caucasus Mountains	رشته‌کوه قفقاز
Causality	علیت
Cave	غار
Caviar	خاویار
Celery	کرفس
Celestial sphere	کره آسمان
Cell (biology)	یاخته
Cell membrane	غشاء سلولی
Cell nucleus	هسته یاخته
Cellulose	سلولز
Celsius	سلسیوس
Cement	سیمان
Cenozoic	نوزیستی
Centaur	سانتور
Centaurus	قنطورس
Central Africa	مرکز آفریقا
Central African Republic	آفریقای مرکزی
Central African Republic	رده:آفریقای مرکزی
Central America	آمریکای مرکزی
Central Intelligence Agency	سیا
Central Park	پارک مرکزی نیویورک
Central bank	بانک مرکزی
Central processing unit	واحد پردازش مرکزی
Centriole	میانک
Century	قرن
Cephalopod	سرپایان
Ceramic	سرامیک
Cereal	غلات
Ceres (dwarf planet)	سرس
Cetacea	آب‌بازان
Chad	چاد
Chad	رده:چاد
Chaffinch	سهره جنگلی
Chair	صندلی
Chamaeleon	آفتاب‌پرست (صورت فلکی)
Champagne (wine)	شامپاین
Charlemagne	شارلمانی
Charles	چارلز، شاهزاده ولز
Charles Baudelaire	شارل بودلر
Charles Darwin	چارلز داروین
Charles Dickens	چارلز دیکنز
Charles de Gaulle	شارل دوگل
Charles the Bald	شارل تاس
Charleston	چارلستون (ویرجینیای غربی)
Charlie Chaplin	چارلی چاپلین
Charlie Parker	چارلی پارکر
Charlotte	شارلوت
Charon (mythology)	خارون
Che Guevara	چه گوارا
Chechnya	چچنستان
Cheese	پنیر
Cheetah	یوزپلنگ
Chemical bond	پیوند شیمیایی
Chemical element	عنصر شیمیایی
Chemical reaction	واکنش شیمیایی
Chemical warfare	جنگ‌افزار شیمیایی
Chemistry	شیمی
Chemnitz	کمنیتز
Chemotherapy	شیمی‌درمانی
Chennai	چنائی
Cheque	چک
Cherry	گیلاس
Chess	شطرنج
Chess	رده:شطرنج
Chess opening	گشایش (شطرنج)
Chester A. Arthur	چستر آلن آرتور
Cheyenne	شاین
Chiang Kai-shek	چیانگ کای‌شک
Chicago	شیکاگو
Chicken	مرغ
Chickenpox	آبله مرغان
Child	کودک
Chile	شیلی
Chile	رده:شیلی
Chimera (mythology)	شیمر
China	جمهوری خلق چین
Chlorine	کلر
Chlorophyll	سبزینه
Chloroplast	سبزدیسه
Chocolate	شکلات
Cholera	وبا
Cholesterol	کلسترول
Chongqing	چونگ‌کینگ
Chordate	طنابداران
Christchurch	کرایست‌چرچ
Christiaan Huygens	کریستین هویگنس
Christianity	مسیحیت
Christianity	رده:مسیحیت
Christmas	کریسمس
Christmas tree	درخت کریسمس
Christopher Columbus	کریستف کلمب
Chromatin	کروماتین
Chromatography	کروماتوگرافی
Chromium	کروم
Chromosome	رنگین‌تن
Church	کلیسا
Cicero	سیسرون
Ciconiiformes	لک‌لک‌سانان
Cigarette	سیگار
Cinderella	سیندرلا
Cinnamon	دارچین
Circinus	دوپرگار
Circle	دایره
Circumcision	ختنه
Cirrhosis	سیروز
Citizenship	شهروندی
Citric acid	اسید سیتریک
Civilization	تمدن
Civilization (computer game)	تمدن (بازی رایانه‌ای)
Clarinet	کلارینت
Clark Gable	کلارک گیبل
Class (computer science)	کلاس (برنامه‌نویسی)
Classical mechanics	مکانیک کلاسیک
Classical music	موسیقی کلاسیک
Claude Monet	کلود مونه
Claude Shannon	کلود شانون
Claudius	کلودیوس
Clay	رس
Cleveland	کلیولند
Client-server	مشتری-خدمتگذار
Climate change	تغییرات آب و هوا
Clitoris	چوچوله
Clock Tower	ساعت بیگ بن
Cloning	همتاسازی
Cloud	ابر
Clovis I	کلوویس یکم
Cnidaria	کنیداریا
Coal	زغال‌سنگ
Cobalt	کبالت
Cocaine	کوکائین
Cockroach	سوسک
Coconut	نارگیل
Cocos (Keeling) Islands	جزایر (کیلینگ) کوکو
Coffee	قهوه
Cognac (drink)	کنیاک (نوشیدنی)
Coin	سکه
Cold War	جنگ سرد
Colin Powell	کالین پاول
Collage	کلاژ
Colloid	کلوئید
Cologne	کلن
Colombia	کلمبیا
Colombia	رده:کلمبیا
Colombo	کلمبو
Color	رنگ
Colorado	کلرادو
Colorado River	رودخانه کلرادو
Colosseum	کولوسئوم
Colossus of Rhodes	غول رودس
Columba (constellation)	کبوتر (صورت فلکی)
Columbia	کلمبیا (شهر)
Columbia River	رودخانه کلمبیا
Columbia University	دانشگاه کلمبیا
Columbidae	کبوتر
Columbus	کلمبوس
Columbus	کلمبوس (ابهام‌زدایی)
Coma Berenices	گیسو (صورت فلکی)
Comedy	کمدی
Comet	ستاره دنباله‌دار
Commonwealth of Independent States	کشورهای مستقل همسود
