Dutch	English
Aeolus (mythologie)	Aeolus
Aerodynamica	Aerodynamics
Aerosol	Aerosol
Aischylos	Aeschylus
Aisopos	Aesop
Esthetica	Aesthetics
Affix	Affix
Afghanistan	Afghanistan
Categorie:Afghanistan	Afghanistan
Afrika	Africa
Categorie:Afrika	Africa
Afro-Amerikanen	African American
Afrikaans	Afrikaans
Agamemnon	Agamemnon
Agar-agar	Agar
Agaat	Agate
Agatha Christie	Agatha Christie
Agressie	Aggression
Kaakloze vissen	Agnatha
Agnosticisme	Agnosticism
Agora	Agora
Agorafobie	Agoraphobia
Agra (India)	Agra
Landbouw	Agriculture
Categorie:Landbouw	Agriculture
Agrigento (stad)	Agrigento
Aikido	Aikido
Ain (departement)	Ain
Luchtmacht	Air force
Airbus	Airbus
Vliegtuig	Aircraft
Categorie:Vliegtuig	Aircraft
Vliegdekschip	Aircraft carrier
Luchtvaartmaatschappij	Airline
Vliegveld	Airport
Ajax	Ajax
Ajax (mythologie)	Ajax (mythology)
Asynchronous JavaScript and XML	Ajax (programming)
Achnaton	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al Qaida	Al-Qaeda
Alabama	Alabama
Categorie:Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alanine
Alaska	Alaska
Categorie:Alaska	Alaska
Alban Berg	Alban Berg
Albanië	Albania
Categorie:Albanië	Albania
Albany (New York)	Albany
Albatrossen	Albatross
Weerkaatsingsvermogen	Albedo
Albert Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Categorie:Alberta	Alberta
Albinisme	Albinism
Albiet	Albite
Album (muziek)	Album
Albuquerque	Albuquerque
Alchemie	Alchemy
Categorie:Alchemie	Alchemy
Alcohol (stofklasse)	Alcohol
Alcoholische drank	Alcoholic beverage
Alcoholisme	Alcoholism
Aldebaran	Aldebaran
Aldehyde	Aldehyde
Els (boom)	Alder
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzjenitsyn	Aleksandr Solzhenitsyn
Aleppo	Aleppo
Aleoeten	Aleutian Islands
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Aleksandr Poesjkin	Alexander Pushkin
Alexander de Grote	Alexander the Great
Alexandre Dumas père	Alexandre Dumas
Alexandre Dumas fils	Alexandre Dumas
Alexandrië	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred de Grote	Alfred the Great
Algen	Algae
Algebra	Algebra
Categorie:Algebra	Algebra
Algebraïsch getal	Algebraic number
Algerije	Algeria
Categorie:Algerije	Algeria
Algiers	Algiers
Algoritme	Algorithm
Alhambra	Alhambra
Ali ibn Abu Talib	Ali
Alkalimetaal	Alkali metal
Alkaloïde	Alkaloid
Alkaan	Alkane
Alkeen	Alkene
Alkyn	Alkyne
Allah	Allah
Allegorie (letterkunde)	Allegory
Allel	Allele
Allen Ginsberg	Allen Ginsberg
Allergie	Allergy
Beginrijm	Alliteration
Allofoon	Allophone
Allosaurus	Allosaurus
Allotropie	Allotropy
Legering	Alloy
Almanak	Almanac
Alma-Ata	Almaty
Amandel	Almond
Aloë	Aloe
Alfa (letter)	Alpha (letter)
Alpha Centauri	Alpha Centauri
Alfadeeltje	Alpha particle
Alfabet	Alphabet
Alpen	Alps
Categorie:Alpen	Alps
Elzas	Alsace
Altair	Altair
Altaar (religie)	Altar
Altaj (gebergte)	Altay Mountains
Wisselstroom	Alternating current
Categorie:Alternatieve geneeswijze	Alternative medicine
Alternatieve geneeswijzen	Alternative medicine
Altruïsme	Altruism
Aluminium	Aluminium
Aluminiumoxide	Aluminium oxide
Alvar Aalto	Alvar Aalto
Ziekte van Alzheimer	Alzheimer's disease
Vliegenzwam	Amanita muscaria
Groene knolamaniet	Amanita phalloides
Narcisfamilie	Amaryllidaceae
Amaterasu	Amaterasu
Amazone (rivier)	Amazon River
Ambassadeur	Ambassador
Barnsteen	Amber
Ambrosius van Milaan	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Amerikaanse bizon	American Bison
Amerikaanse zwarte beer	American Black Bear
Amerikaanse Burgeroorlog	American Civil War
Amerikaanse Onafhankelijkheidsoorlog	American Revolutionary War
Amerikaans-Samoa	American Samoa
ASCII (tekenset)	American Standard Code for Information Interchange
American football	American football
Categorie:American football	American football
Americium	Americium
Amerigo Vespucci (persoon)	Amerigo Vespucci
Amethist	Amethyst
Amhaars	Amharic
Amide	Amide
Amine	Amine
Aminozuur	Amino acid
Amish	Amish
Amman (stad)	Amman
Ampèremeter	Ammeter
Ammoniak	Ammonia
Geheugenverlies	Amnesia
Amnestie	Amnesty
Ampère	Ampere
Amfetamine	Amphetamine
Amfibieën	Amphibian
Amfitheater	Amphitheatre
Amfora	Amphora
Amplitude	Amplitude
Amsterdam	Amsterdam
Categorie:Amsterdam	Amsterdam
Amon (mythologie)	Amun
Amoer (rivier)	Amur
Anabaptisme	Anabaptist
Anagram	Anagram
Anaheim	Anaheim
Anale seks	Anal sex
Analytische meetkunde	Analytic geometry
Anarchisme	Anarchism
Categorie:Anarchisme	Anarchism
Regeringsloosheid	Anarchy
Anatidae	Anatidae
Anatole France	Anatole France
Categorie:Anatomie	Anatomy
Anatomie	Anatomy
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anker (schip)	Anchor
Anchorage (Alaska)	Anchorage
Oudgrieks	Ancient Greek
Categorie:Oudheid	Ancient history
Andalusië	Andalusia
Andamanse Zee	Andaman Sea
Anders Celsius	Anders Celsius
Andes	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Categorie:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrej Sacharov	Andrei Sakharov
Andrej Tarkovski	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Androïde	Android
Andromeda	Andromeda
Andromeda (sterrenbeeld)	Andromeda (constellation)
Andromeda (mythologie)	Andromeda (mythology)
Andromedanevel	Andromeda Galaxy
Andy Warhol	Andy Warhol
Bloedarmoede	Anemia
Anemometer	Anemometer
Anesthesie	Anesthesia
Angara	Angara River
Engel	Angel
Ángelwaterval	Angel Falls
Hoek (meetkunde)	Angle
Anglicanisme	Anglicanism
Angola	Angola
Categorie:Angola	Angola
Anguilla (eiland)	Anguilla
Impulsmoment	Angular momentum
Hoeksnelheid	Angular velocity
Boëthius	Anicius Manlius Severinus Boethius
Aniline	Aniline
Dieren (rijk)	Animal
Veeteelt	Animal husbandry
Animatie	Animation
Anime	Anime
Animisme (religie)	Animism
Anijs	Anise
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anna Boleyn	Anne Boleyn
Ringwormen	Annelid
Anno Domini	Anno Domini
Annunciatie	Annunciation
Anode	Anode
Eendvogels	Anseriformes
Categorie:Anseriformes	Anseriformes
Mieren	Ant
Antiochië	Antakya
Antalya (stad)	Antalya
Antananarivo (stad)	Antananarivo
Antarctica	Antarctica
Categorie:Antarctica	Antarctica
Antares (ster)	Antares
Antenne (straling)	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Miltvuur	Anthrax
Antropologie	Anthropology
Categorie:Antropologie	Anthropology
Antroposofie	Anthroposophy
Antibioticum	Antibiotic
Immunoglobuline	Antibody
Antichrist	Antichrist
Hogedrukgebied	Anticyclone
Antigeen	Antigen
Antigone (dochter van Oedipus)	Antigone
Antigua en Barbuda	Antigua and Barbuda
Categorie:Antigua en Barbuda	Antigua and Barbuda
Antimaterie	Antimatter
Antimoon	Antimony
Antioxidant	Antioxidant
Tegenpaus	Antipope
Antisemitisme	Antisemitism
Categorie:Antisemitisme	Antisemitism
Luchtpomp (sterrenbeeld)	Antlia
Antofagasta (stad)	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Tsjechov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi (componist)	Antonio Vivaldi
Antoniem	Antonym
Antwerpen (stad)	Antwerp
Antwerpen (provincie)	Antwerp (province)
Anubis (god)	Anubis
Anus (anatomie)	Anus
Aorta	Aorta
Apache (volk)	Apache
Apatiet	Apatite
Hominoidea	Ape
Afasie	Aphasia
Aforisme	Aphorism
Aphrodite	Aphrodite
Apia	Apia
Schermbloemenfamilie	Apiaceae
Apocrief	Apocrypha
Gierzwaluwachtigen	Apodiformes
Apollon	Apollo
Apollo	Apollo (disambiguation)
Project Apollo	Apollo program
Categorie:Apollo (ruimtevaartuig)	Apollo program
Apoptose	Apoptosis
Appalachen	Appalachian Mountains
Blindedarmontsteking	Appendicitis
Appel (vrucht)	Apple
Toegepaste wiskunde	Applied mathematics
Abrikoos	Apricot
April	April
14 april	April 14
1 aprilgrap	April Fools' Day
Apsis (architectuur)	Apse
Apulië	Apulia
Paradijsvogel (sterrenbeeld)	Apus
Akaba	Aqaba
Koningswater	Aqua regia
Aquamarijn	Aquamarine
Aquarium	Aquarium
Waterman (astronomie)	Aquarius (constellation)
Aquaduct (waterbouwkunde)	Aqueduct
Arend (sterrenbeeld)	Aquila (constellation)
Aquitanië	Aquitaine
Altaar (sterrenbeeld)	Ara (constellation)
Arabieren	Arab
Arabische Liga	Arab League
Arabisch Schiereiland	Arabian Peninsula
Arabische Zee	Arabian Sea
Arabisch alfabet	Arabic alphabet
Arabisch	Arabic language
Aronskelkfamilie	Araceae
Spinachtigen	Arachnid
Arafurazee	Arafura Sea
Aragón	Aragon
Aralmeer	Aral Sea
Aram Chatsjatoerjan	Aram Khachaturian
Arcadië	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Boog (bouwkunde)	Arch
Archeologie	Archaeology
Categorie:Archeologie	Archaeology
Archaeopteryx	Archaeopteryx
Aartsengel	Archangel
Aartsbisschop	Archbishop
Archeïcum	Archean
Archetype (model)	Archetype
Archimedes	Archimedes
Archipel	Archipelago
Architect	Architect
Architectuur	Architecture
Categorie:Architectuur	Architecture
Archief	Archive
Archosauria	Archosaur
Arctis	Arctic
Noordpoolcirkel	Arctic Circle
Noordelijke IJszee	Arctic Ocean
Poolvos	Arctic fox
Ardennen	Ardennes
Ardennes	Ardennes (department)
Are	Are
Oppervlakte	Area
Palmenfamilie	Arecaceae
Ares (mythologie)	Ares
Argentinië	Argentina
Categorie:Argentinië	Argentina
Argon	Argon
Argos (stad)	Argos
Aria (compositie)	Aria
Ariadne	Ariadne
Arianisme	Arianism
Ram (sterrenbeeld)	Aries (constellation)
Aristarchus	Aristarchus of Samos
Aristocratie	Aristocracy
Aristophanes/ Aristofanes (blijspeldichter)	Aristophanes
Aristoteles	Aristotle
Rekenen	Arithmetic
Categorie:Rekenen	Arithmetic
Rekenkundige rij	Arithmetic progression
Arius (theoloog)	Arius
Arizona (staat)	Arizona
Categorie:Arizona	Arizona
Ark van het Verbond	Ark of the Covenant
Arkansas (staat)	Arkansas
Categorie:Arkansas	Arkansas
Arles	Arles
Gordeldieren	Armadillo
Armenië	Armenia
Categorie:Armenië	Armenia
Armeens	Armenian language
Arminius (veldheer)	Arminius
Harnas	Armour
Landmacht (algemeen)	Army
Arnhem	Arnhem
Arno (rivier)	Arno River
Arnold Schönberg	Arnold Schoenberg
Aromatische verbinding	Aromatic hydrocarbon
Haakbus	Arquebus
Arras	Arras
Pijl (wapen)	Arrow
Arseen	Arsenic
Kunst	Art
Art deco	Art Deco
Jugendstil	Art Nouveau
Categorie:Kunstgeschiedenis	Art history
Kunstgeschiedenis	Art history
Artemis (mythologie)	Artemis
Alsem	Artemisia (plant)
Absintalsem	Artemisia absinthium
Slagader	Artery
Artritis	Arthritis
Geleedpotigen	Arthropod
Arthur Holly Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley
Kunstmatige intelligentie	Artificial intelligence
Categorie:Kunstmatige intelligentie	Artificial intelligence
Artillerie	Artillery
Categorie:Artillerie	Artillery
Artiest	Artist
Categorie:Kunst	Arts
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Categorie:Aruba	Aruba
Asbest	Asbestos
Asclepius	Asclepius
Aseksualiteit	Asexuality
Asgaard (mythologie)	Asgard
Aswoensdag	Ash Wednesday
Assurbanipal	Ashurbanipal
Azië	Asia
Categorie:Azië	Asia
Asmara	Asmara
Aspartaam	Aspartame
Asfalt	Asphalt
Acetylsalicylzuur	Aspirin
Assam	Assam
Aanslag (misdrijf)	Assassination
Association of Southeast Asian Nations	Association of Southeast Asian Nations
Assyrische Rijk	Assyria
Categorie:Assyrische oudheid	Assyria
Astana (stad)	Astana
Astatium	Astatine
Composietenfamilie	Asteraceae
Categorie:Asteraceae	Asteraceae
Planetoïde	Asteroid
Planetoïdengordel	Asteroid belt
Asthenosfeer	Asthenosphere
Astma	Asthma
Astigmatisme (aandoening)	Astigmatism (eye)
Astrachan	Astrakhan
Astrobiologie	Astrobiology
Astrolabium	Astrolabe
Astrologie	Astrology
Categorie:Astrologie	Astrology
Astrometrie	Astrometry
Ruimtevaarder	Astronaut
Astronoom	Astronomer
Astronomische eenheid	Astronomical unit
Astronomie	Astronomy
Categorie:Astronomie	Astronomy
Portaal:Astronomie	Astronomy
Astrofysica	Astrophysics
Categorie:Astrofysica	Astrophysics
Aswan	Aswan
Asymptoot	Asymptote
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atacama (woestijn)	Atacama Desert
Aton	Aten
Categorie:Atheïsme	Atheism
Pallas Athena	Athena
Athene	Athens
Categorie:Atletiek	Athletics
Atletiek	Athletics (track and field)
Atlanta	Atlanta
Atlantische Oceaan	Atlantic Ocean
Categorie:Atlantische Oceaan	Atlantic Ocean
Atlantis (eiland)	Atlantis
Atlas	Atlas (disambiguation)
Atlas (maan)	Atlas (moon)
Atlas (mythologie)	Atlas (mythology)
Atlasgebergte	Atlas Mountains
Atmosfeer (astronomie)	Atmosphere
Atmosfeer (eenheid)	Atmosphere (unit)
Luchtdruk	Atmospheric pressure
Atol	Atoll
Atoom	Atom
Atoomklok	Atomic clock
Atoommassa	Atomic mass
Atomaire massa-eenheid	Atomic mass unit
Atoomnummer	Atomic number
Categorie:Atoomfysica	Atomic physics
Atoomfysica	Atomic physics
Atreus	Atreus
Atropine	Atropine
Attika	Attica
Attila de Hun	Attila the Hun
Au	Au
Auckland	Auckland
Veiling	Auction
Augustus (maand)	August
1 augustus	August 1
15 augustus	August 15
6 augustus	August 6
August Strindberg	August Strindberg
Augusta (Maine)	Augusta
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustinus van Hippo	Augustine of Hippo
Imperator Caesar Augustus	Augustus
Voerman	Auriga (constellation)
Aurora	Aurora
Poollicht	Aurora (astronomy)
Austin (Texas)	Austin
Australazië	Australasia
Australië (land)	Australia
Categorie:Australië	Australia
Australische dollar	Australian dollar
Australopithecus	Australopithecus
Oostenrijk	Austria
Categorie:Oostenrijk	Austria
Oostenrijk-Hongarije	Austria-Hungary
Auteur	Author
Autoriteit	Authority
Autisme	Autism
Autosport	Auto racing
Autobiografie	Autobiography
Geldautomaat	Automated teller machine
Auto	Automobile
Autonoom zenuwstelsel	Autonomic nervous system
Autotroof	Autotroph
Herfst	Autumn
Auvergne	Auvergne (region)
Lawine	Avalanche
Avant-garde	Avant-garde
Avatar (hindoeïsme)	Avatar
Averroes	Averroes
Avesta (literatuur)	Avesta
Categorie:Luchtvaart	Aviation
Luchtvaart	Aviation
Avicenna	Avicenna
Avignon	Avignon
Avocado	Avocado
Wet van Avogadro	Avogadro's law
Bijl	Axe
Axioma	Axiom
Axon	Axon
Ayatollah	Ayatollah
Ayn Rand	Ayn Rand
Azerbeidzjan	Azerbaijan
Categorie:Azerbeidzjan	Azerbaijan
Azimut	Azimuth
Azoren	Azores
Azteken	Aztec
Azuriet	Azurite
B (letter)	B
BASIC	BASIC
Baäl	Baal
Bavianen	Baboon
Babylon (stad)	Babylon
Babylonië	Babylonia
Backgammon	Backgammon
Bacterie	Bacteria
Categorie:Bacterie	Bacteria
Bacteriofaag	Bacteriophage
Kameel	Bactrian Camel
Badminton	Badminton
Baffinbaai	Baffin Bay
Baffineiland	Baffin Island
Bagdad	Baghdad
Categorie:Bahama's	Bahamas
Bahrein	Bahrain
Categorie:Bahrein	Bahrain
Baja California (staat)	Baja California
Baklava	Baklava
Bakoe	Baku
Balalaika	Balalaika
Balans (boekhouden)	Balance sheet
Baldr	Baldr
Balearen	Balearic Islands
Baleinwalvissen	Baleen whale
Bali (eiland)	Bali
Balkan (gebergte)	Balkan Mountains
Balkanoorlogen	Balkan Wars
Balkan (schiereiland)	Balkans
Bal (voorwerp)	Ball
Ballet	Ballet
Categorie:Ballet	Ballet
Ballistische raket	Ballistic missile
Balpen	Ballpoint pen
Oostzee	Baltic Sea
Baltimore (Maryland)	Baltimore
Bamako	Bamako
Bamboe	Bamboo
Banaan (fruit)	Banana
Bananenrepubliek	Banana republic
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Categorie:Bangladesh	Bangladesh
Bangui (stad)	Bangui
Banjul	Banjul
Bank (financiële instelling)	Bank
Bankbiljet	Banknote
Categorie:Bank	Banks
Doop (sacrament)	Baptism
Baptisme	Baptist
Bar (druk)	Bar (unit)
Barbados	Barbados
Categorie:Barbados	Barbados
Barbaar	Barbarian
Barbra Streisand	Barbra Streisand
Barcelona (stad)	Barcelona
Categorie:Barcelona (stad)	Barcelona
Barentszzee	Barents Sea
Bari (stad)	Bari
Barium	Barium
Gerst	Barley
Kerkuil	Barn Owl
Boerenzwaluw	Barn Swallow
Barometer	Barometer
Baron (titel)	Baron
Barok (stijlperiode)	Baroque
Barranquilla	Barranquilla
Vat (eenheid)	Barrel (unit)
Baryon	Baryon
Basalt (gesteente)	Basalt
Base (scheikunde)	Base (chemistry)
Honkbal	Baseball
Categorie:Honkbal	Baseball
Bazel (Zwitserland)	Basel
Bash	Bash
Basidiomycota	Basidiomycota
Basilicum	Basil
Basilius de Grote	Basil of Caesarea
Basiliek	Basilica
Basilicata	Basilicata
Basiliscus	Basiliscus
Basilisk (fabeldier)	Basilisk
Basketbal	Basketball
Categorie:Basketbal	Basketball
Basra	Basra
Basgitaar	Bass guitar
Basse-Normandie	Basse-Normandie
Basseterre	Basseterre
Fagot	Bassoon
Bastet	Bast (mythology)
Bastille Saint-Antoine	Bastille
Vleermuizen	Bat
Bath (Engeland)	Bath
Batman (fictief personage)	Batman
Baton Rouge	Baton Rouge
Categorie:Vleermuis	Bats
Bataljon	Battalion
Batterij (elektrisch)	Battery (electricity)
Slag bij Austerlitz	Battle of Austerlitz
Slag om Engeland	Battle of Britain
Slag bij Hastings	Battle of Hastings
Slag bij Lepanto	Battle of Lepanto (1571)
Slag bij Marathon	Battle of Marathon
Slag bij Midway	Battle of Midway
Slag bij Thermopylae	Battle of Thermopylae
Zeeslag bij Trafalgar	Battle of Trafalgar
Slag om Verdun	Battle of Verdun
Slag bij Waterloo	Battle of Waterloo
Slag om de Ardennen	Battle of the Bulge
Slag aan de Somme	Battle of the Somme
Slagschip	Battleship
Bauhaus	Bauhaus
Bauxiet	Bauxite
Beieren	Bavaria
Categorie:Beieren	Bavaria
Laurier	Bay Laurel
Golf van Bengalen	Bay of Bengal
Golf van Biskaje	Bay of Biscay
Bayer	Bayer
Bajonet	Bayonet
Bayonne (Frankrijk)	Bayonne
Strand (kust)	Beach
Beagle (hond)	Beagle
Snavel	Beak
Beren	Bear
Beaufortzee	Beaufort Sea
Schaal van Beaufort	Beaufort scale
Bevers	Beaver
Bop	Bebop
Becquerel	Becquerel
Bed	Bed
Beda	Bede
Bedoeïenen	Bedouin
Bijen	Bee
Fagus	Beech
Categorie:Bijenhouderij	Beekeeping
Bier	Beer
Categorie:Bier	Beer
Kevers	Beetle
Behaviorisme	Behaviorism
Peking	Beijing
Beiroet	Beirut
Wit-Rusland	Belarus
Categorie:Wit-Rusland	Belarus
Belfast	Belfast
België	Belgium
Categorie:België	Belgium
Belgrado	Belgrade
Belisarius	Belisarius
Belize (land)	Belize
Categorie:Belize	Belize
Klok (bel)	Bell (instrument)
Bellerophon	Bellerophon
Buikdans	Belly dance
Belo Horizonte	Belo Horizonte
Witte dolfijn	Beluga
Benelux	Benelux
Bengalen (gebied)	Bengal
Benghazi	Benghazi
Benin	Benin
Categorie:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf (gedicht)	Beowulf
Bergen (Noorwegen)	Bergen
Beringzee	Bering Sea
Beringstraat	Bering Strait
Berkelium	Berkelium
Berkshire	Berkshire
Berlijn	Berlin
Categorie:Berlijn	Berlin
Bermuda	Bermuda
