English	Slovak
Abstraction	Abstrakcia
Abu Dhabi	Abú Zabí (mesto)
Abu Dhabi (emirate)	Abú Zabí (mesto)
Abuja	Abuja
Academy Award	Oscar
Acceleration	Zrýchlenie
Accipitridae	Jastrabovité
Accountancy	Účtovníctvo
Accountancy	Kategória:Účtovníctvo
Accra	Akkra
Accusative case	Akuzatív
Acetaldehyde	Acetaldehyd
Acetic acid	Kyselina octová
Acetone	Acetón
Acetylcholine	Acetylcholín
Acetylene	Acetylén
Achillea millefolium	Rebríček obyčajný
Achilles	Achilles
Acid	Kyselina
Acid rain	Kyslý dážď
Acne vulgaris	Akné
Aconcagua	Aconcagua
Acoustics	Akustika
Acoustics	Kategória:Akustika
Acre	Aker (jednotka)
Acre	Akko
Acropolis	Akropola
Actinide	Aktinoid
Actinium	Aktínium
Actor	Herec
Acupuncture	Akupunktúra
Ad hominem	Argumentum ad hominem
Ada (programming language)	Ada (programovací jazyk)
Adam Smith	Adam Smith
Addis Ababa	Addis Abeba
Adelaide	Adelaide
Adenine	Adenín
Adenosine triphosphate	Adenozíntrifosfát
Adiabatic process	Adiabatický dej
Adjective	Prídavné meno
Admiral	Admirál
Adolescence	Adolescencia
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adoption	Adopcia
Adriatic Sea	Jadranské more
Adsorption	Adsorpcia
Advent	Advent
Adverb	Príslovka
Advertising	Reklama
Aegean Sea	Egejské more
Aeneas	Aineias
Aerodynamics	Aerodynamika
Aerosol	Aerosól
Aeschylus	Aischylos
Aesop	Ezop
Aesthetics	Estetika
Afghanistan	Afganistan
Afghanistan	Kategória:Afganistan
Africa	Afrika
Africa	Kategória:Afrika
Afrikaans	Afrikánčina
Agamemnon	Agamemnón
Agate	Achát
Agatha Christie	Agatha Christie
Aggression	Agresia (psychológia)
Agnatha	Kruhoústnice
Agnosticism	Agnosticizmus
Agoraphobia	Agorafóbia
Agriculture	Kategória:Poľnohospodárstvo
Aikido	Aikido
Ain	Ain
Airbus	Airbus
Aircraft	Lietadlo
Aircraft	Kategória:Lietadlá
Aircraft carrier	Lietadlová loď
Airport	Letisko
Akhenaten	Achnaton
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Ká’ida
Alabama	Alabama
Alabama	Kategória:Alabama
Alan Shepard	Alan Bartlett Shepard
Alan Turing	Alan Mathison Turing
Alanine	Alanín
Alaska	Aljaška
Alaska	Kategória:Aljaška
Alban Berg	Alban Berg
Albania	Albánsko
Albania	Kategória:Albánsko
Albany	Albany
Albatross	Albatrosovité
Albedo	Albedo
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta
Alberta	Kategória:Alberta
Albite	Albit
Album	Hudobný album
Albuquerque	Albuquerque
Alchemy	Alchýmia
Alchemy	Kategória:Alchýmia
Alcohol	Alkohol (hydroxyderivát)
Alcoholic beverage	Alkoholický nápoj
Alcoholism	Alkoholizmus
Aldebaran	Aldebaran
Aldehyde	Aldehyd
Alder	Jelša
Aldous Huxley	Aldous Huxley
Aleksandr Solzhenitsyn	Alexandr Isajevič Solženicyn
Aleutian Islands	Aleuty
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexander Pushkin	Alexandr Sergejevič Puškin
Alexander the Great	Alexander Veľký
Alexandre Dumas	Alexandre Dumas starší
Alexandre Dumas	Alexandre Dumas mladší
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfréd Veľký
Algae	Riasa
Algebra	Algebra
Algebra	Kategória:Algebra
Algebraic number	Algebrické číslo
Algeria	Alžírsko
Algeria	Kategória:Alžírsko
Algiers	Alžír
Algorithm	Algoritmus
Alkali metal	Alkalické kovy
Alkaloid	Alkaloid
Alkane	Alkán
Alkene	Alkén
Alkyne	Alkín
Allah	Alah
Allegory	Inotaj
Allele	Alela
Allen Ginsberg	Allen Ginsberg
Allergy	Alergia
Alliteration	Aliterácia
Allosaurus	Allosaurus
Allotropy	Alotropia
Almaty	Alma-Ata
Almond	Mandľa obyčajná
Alpha (letter)	Alfa (grécke písmeno)
Alpha Centauri	Alfa Centauri
Alpha particle	Častica alfa
Alphabet	Abeceda
Alps	Alpy
Alps	Kategória:Alpy
Alsace	Alsasko
Altair	Altair
Altar	Oltár
Alternating current	Striedavý prúd
Alternative medicine	Kategória:Alternatívna medicína
Altruism	Altruizmus
Aluminium	Hliník
Aluminium oxide	Oxid hlinitý
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimerova choroba
Amanita muscaria	Muchotrávka červená
Amanita phalloides	Muchotrávka zelená
Amaryllidaceae	Amarylkovité
Amazon River	Amazon
Ambassador	Veľvyslanec
Amber	Jantár
Ambrose	Ambrosius Milánsky
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhartová
American Bison	Zubor americký
American Civil War	Americká občianska vojna
American Revolutionary War	Americká vojna za nezávislosť
American Samoa	Americká Samoa
American Standard Code for Information Interchange	ASCII
American football	Americký futbal
American football	Kategória:Americký futbal
Americium	Amerícium
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametyst
Amharic	Amharčina
Amine	Amín
Amino acid	Aminokyselina
Amman	Ammán
Ammonia	Amoniak
Amnesia	Amnézia
Ampere	Ampér
Amphibian	Obojživelníky
Amplitude	Amplitúda
Amsterdam	Amsterdam
Amsterdam	Kategória:Amsterdam
Amun	Amón
Amur	Amur (rieka)
Anabaptist	Anabaptizmus
Anagram	Anagram
Anal sex	Análny sex
Analytic geometry	Analytická geometria
Anarchism	Anarchizmus
Anarchism	Kategória:Anarchizmus
Anatole France	Anatole France
Anatomy	Kategória:Anatómia
Anatomy	Anatómia
Anaxagoras	Anaxagoras
Anaximander	Anaximandros
Anchorage	Anchorage
Ancient Greek	Starogréčtina
Andalusia	Andalúzia
Andaman Sea	Andamanské more
Anders Celsius	Anders Celsius
Andes	Andy
Andhra Pradesh	Ándhrapradéš
Andorra	Andorra (štát)
Andorra	Kategória:Andorra (štát)
Andrei Sakharov	Andrej Dmitrijevič Sacharov
Andrei Tarkovsky	Andrej Tarkovskij
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Android	Android
Andromeda	Andromeda
Andromeda (constellation)	Súhvezdie Androméda
Andromeda (mythology)	Andromeda (mytológia)
Andromeda Galaxy	Galaxia Androméda
Andy Warhol	Andy Warhol
Anemia	Anémia
Anemometer	Anemometer
Angel	Anjel
Angle	Uhol
Anglicanism	Anglikánstvo
Angola	Angola
Angola	Kategória:Angola
Anguilla	Anguilla
Angular momentum	Moment hybnosti
Angular velocity	Uhlová rýchlosť
Anicius Manlius Severinus Boethius	Boethius
Aniline	Anilín
Animal	Živočíchy
Anime	Anime
Anime	Kategória:Anime
Animism	Animizmus
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anna Boleynová
Annelid	Obrúčkavce
Anode	Anóda
Anseriformes	Husotvaré
Anseriformes	Kategória:Husotvaré
Ant	Mravcovité
Antalya	Antalya
Antananarivo	Antananarivo
Antarctica	Antarktída
Antarctica	Kategória:Antarktída
Antares	Antares
Antenna (radio)	Anténa
Anthrax	Slezinová sneť
Anthropology	Antropológia
Anthropology	Kategória:Antropológia
Anthroposophy	Antropozofia
Antibiotic	Antibiotikum
Antibody	Protilátka
Anticyclone	Tlaková výš
Antigen	Antigén
Antigone	Antigona (mytológia)
Antigua and Barbuda	Antigua a Barbuda
Antigua and Barbuda	Kategória:Antigua a Barbuda
Antimatter	Antihmota
Antimony	Antimón
Antioxidant	Antioxidant
Antipope	Protipápež
Antisemitism	Antisemitizmus
Antisemitism	Kategória:Antisemitizmus
Antlia	Súhvezdie Výveva
Antoine Lavoisier	Antoine Laurent Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Pavlovič Čechov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonymum
Antwerp	Antverpy
Anubis	Anup
Anus	Ritný otvor
Aorta	Srdcovnica
Apatite	Apatit
Ape	Hominoidovce
Aphasia	Afázia
Aphorism	Aforizmus
Aphrodite	Afrodita
Apia	Apia
Apocrypha	Apokryf
Apodiformes	Dážďovníkotvaré
Apollo	Apolón
Apollo (disambiguation)	Apollo
Apollo program	Program Apollo
Apollo program	Kategória:Program Apollo
Apoptosis	Apoptóza
Appalachian Mountains	Apalačské vrchy
Apple	Jablko
April	Apríl
April 14	14. apríl
Apse	Apsida (architektúra)
Apus	Súhvezdie Rajka
Aqua regia	Lúčavka kráľovská
Aquarium	Akvárium
Aquarius (constellation)	Súhvezdie Vodnár
Aqueduct	Akvadukt
Aquila (constellation)	Súhvezdie Orol
Aquitaine	Akvitánsko
Ara (constellation)	Súhvezdie Oltár
Arab	Arabi
Arab League	Liga arabských štátov
Arabian Peninsula	Arabský polostrov
Arabian Sea	Arabské more
Arabic alphabet	Arabské písmo
Arabic language	Arabčina
Arachnid	Pavúkovce
Arafura Sea	Arafurské more
Aragon	Aragónsko
Aral Sea	Aralské jazero
Aram Khachaturian	Aram Iľjič Chačaturjan
Arcadia	Arkádia
Arcangelo Corelli	Arcangelo Corelli
Archaeology	Archeológia
Archaeology	Kategória:Archeológia
Archaeopteryx	Archaeopteryx
Archangel	Archanjel
Archbishop	Arcibiskup
Archean	Archaikum
Archetype	Archetyp
Archimedes	Archimedes
Archipelago	Súostrovie
Architect	Architekt
Architecture	Architektúra
Architecture	Kategória:Architektúra
Archosaur	Archosauria
Arctic	Arktída
Arctic Ocean	Severný ľadový oceán
Ardennes (department)	Ardennes (departement)
Are	Ár
Arecaceae	Arekotvaré
Ares	Ares (boh)
Argentina	Argentína
Argentina	Kategória:Argentína
Argon	Argón
Argos	Argos
Aria	Ária
Arianism	Arianizmus
Aries (constellation)	Súhvezdie Baran
Aristarchus of Samos	Aristarchos zo Samu
Aristophanes	Aristofanes
Aristotle	Aristoteles
Arithmetic	Aritmetika
Arithmetic	Kategória:Aritmetika
Arithmetic progression	Aritmetická postupnosť
Arius	Areios
Arizona	Arizona
Arizona	Kategória:Arizona
Arkansas	Arkansas
Arkansas	Kategória:Arkansas
Armenia	Arménsko
Armenia	Kategória:Arménsko
Armenian language	Arménčina
Arminius	Arminius
Arnhem	Arnhem
Arno River	Arno
Arnold Schoenberg	Arnold Schönberg
Aromatic hydrocarbon	Arén
Arsenic	Arzén
Art	Umenie
Art Deco	Art deco
Art Nouveau	Secesia
Artemis	Artemis
Artemisia absinthium	Palina pravá
Artery	Tepna
Arthritis	Dna
Arthropod	Článkonožce
Arthur Compton	Arthur Holly Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Jean Nicolas Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley, 1. vojvoda z Wellingtonu
Artificial intelligence	Umelá inteligencia
Artificial intelligence	Kategória:Umelá inteligencia
Artillery	Delostrelectvo
Artillery	Kategória:Delostrelectvo
Artist	Artista
Arts	Kategória:Umenie
Aruba	Aruba
Aruba	Kategória:Aruba
Asbestos	Azbest
Asclepius	Asklepios
Asexuality	Asexualita
Ash Wednesday	Popolcová streda
Ashurbanipal	Aššurbanipal
Asia	Ázia
Asia	Kategória:Ázia
Asmara	Asmara
Aspartame	Aspartam
Asphalt	Asfalt
Aspirin	Acylpyrin
Assyria	Asýria
Assyria	Kategória:Asýria
Astana	Astana
Astatine	Astát
Asteraceae	Kategória:Astrovité
Asteroid	Asteroid
Asteroid belt	Pásmo planétok
Asthenosphere	Astenosféra
Asthma	Astma
Astigmatism (eye)	Astigmatizmus (optika)
Astrobiology	Astrobiológia
Astrolabe	Astroláb
Astrology	Astrológia
Astrology	Kategória:Astrológia
Astrometry	Astrometria
Astronaut	Kozmonaut
Astronomer	Astronóm
Astronomical unit	Astronomická jednotka
Astronomy	Astronómia
Astronomy	Kategória:Astronómia
Astronomy	Portál:Astronómia
Astrophysics	Astrofyzika
Astrophysics	Kategória:Astrofyzika
Atacama Desert	Atacama
Aten	Aton
Athena	Pallas Aténa
Athens	Atény
Athletics	Kategória:Atletika
Athletics (track and field)	Atletika
Atlanta	Atlanta
Atlantic Ocean	Atlantický oceán
Atlantic Ocean	Kategória:Atlantický oceán
Atlas (disambiguation)	Atlas
Atlas (moon)	Atlas (mesiac)
Atlas (mythology)	Atlas (mytológia)
Atlas Mountains	Atlas (pohorie)
Atmosphere	Atmosféra (kozmického telesa)
Atmosphere (unit)	Atmosféra (jednotka)
Atmospheric pressure	Atmosférický tlak
Atoll	Atol
Atom	Atóm
Atomic clock	Atómové hodiny
Atomic mass	Atómová hmotnosť
Atomic mass unit	Atómová hmotnostná jednotka
Atomic number	Protónové číslo
Atropine	Atropín
Attica	Atika (polostrov)
Au	Au
Auckland	Auckland
August	August
August 1	1. august
August 15	15. august
August 6	6. august
August Strindberg	August Strindberg
Augusta	Augusta (Maine)
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Augustín z Hippa
Augustus	Octavianus Augustus
Auriga (constellation)	Súhvezdie Povozník
Aurora	Aurora
Austin	Austin (Texas)
Australasia	Australázia (geografia)
Australia	Austrália (štát)
Australia	Kategória:Austrália (štát)
Australian dollar	Austrálsky dolár
Australopithecus	Australopitek
Austria	Rakúsko
Austria	Kategória:Rakúsko
Austria-Hungary	Rakúsko-Uhorsko
Author	Autor
Authority	Autorita (sociológia)
Autism	Autizmus (uzavretosť)
Autobiography	Autobiografia
Automobile	Automobil
Autotroph	Autotrofia
Autumn	Jeseň
Auvergne (region)	Auvergne (región)
Avalanche	Lavína
Avatar	Avatára
Averroes	Ibn Rušd
Avesta	Avesta
Aviation	Kategória:Letectvo
Aviation	Letectvo
Avicenna	Ibn Síná
Avignon	Avignon
Avogadro's law	Avogadrov zákon
Axe	Sekera
Axiom	Axióma
Ayatollah	Ajatolláh
Ayn Rand	Ayn Randová
Azerbaijan	Azerbajdžan
Azerbaijan	Kategória:Azerbajdžan
Azores	Azory
Aztec	Aztékovia
Azurite	Azurit
B	B
BASIC	BASIC (programovací jazyk)
Babylonia	Babylónia
Backgammon	Backgammon
Bacteria	Baktérie
Bacteria	Kategória:Baktérie
Bacteriophage	Bakteriofág
Badminton	Bedminton
Baffin Bay	Baffinov záliv
Baffin Island	Baffinov ostrov
Baghdad	Bagdad
Bahamas	Kategória:Bahamy
Bahrain	Bahrajn
Bahrain	Kategória:Bahrajn
Baja California	Baja California
Baku	Baku
Balearic Islands	Baleáry
Baleen whale	Kosticovce
Balkans	Balkánsky polostrov
Ballet	Balet
Ballet	Kategória:Balet
Ballistic missile	Balistická raketa
Baltic Sea	Baltské more
Baltimore	Baltimore (Maryland)
Bamako	Bamako
Bamboo	Bambus
Banana	Banán
Banana republic	Banánová republika
Bangalore	Bangalúr
Bangkok	Bangkok
Bangladesh	Bangladéš
Bangladesh	Kategória:Bangladéš
Bangui	Bangui
Banjul	Banjul
Bank	Banka (inštitúcia)
Banknote	Bankovka
Banks	Kategória:Banky
Baptism	Sviatosť krstu
Baptist	Baptizmus
Bar (unit)	Bar (tlak)
Barbados	Barbados
Barbados	Kategória:Barbados
Barbarian	Barbar
Barcelona	Barcelona
Barents Sea	Barentsovo more
Bari	Bari (mesto v Taliansku)
Barium	Bárium
Barley	Jačmeň
Barn Owl	Plamienka driemavá
Barn Swallow	Lastovička obyčajná
Barometer	Barometer (fyzika)
Baron	Barón
Baroque	Barok
Barranquilla	Barranquilla
Barrel (unit)	Barel
Baryon	Baryón
Basalt	Bazalt
Baseball	Bejzbal
Baseball	Kategória:Bejzbal
Basel	Bazilej
Bash	Bash
Basil	Bazalka pravá
Basil of Caesarea	Bazil Veľký
Basilica	Bazilika
Basiliscus	Basiliskos
Basketball	Basketbal
Basketball	Kategória:Basketbal
Bass guitar	Basová gitara
Basse-Normandie	Dolná Normandia
Basseterre	Basseterre
Bast (mythology)	Bast
Bat	Netopiere
Baton Rouge	Baton Rouge
Bats	Kategória:Netopiere
Battle of Austerlitz	Bitka pri Slavkove
Battle of Britain	Bitka o Britániu (druhá svetová vojna)
Battle of Hastings	Bitka pri Hastingse
Battle of Marathon	Bitka pri Maratóne
Battle of Midway	Bitka o Midway
Battle of Thermopylae	Bitka pri Termopylách
Battle of Trafalgar	Bitka pri Trafalgare
Battle of Verdun	Bitka o Verdun
Battle of Waterloo	Bitka pri Waterloo
Battle of the Bulge	Bitka o Ardeny
Battleship	Bojová loď
Bauhaus	Staatliches Bauhaus
Bauxite	Bauxit
Bavaria	Bavorsko
Bavaria	Kategória:Bavorsko
Bay Laurel	Vavrín pravý
Bay of Biscay	Biskajský záliv
Bayer	Bayer AG
Beagle	Bígl
Beak	Zobák
Beaufort Sea	Beaufortovo more
Beaufort scale	Beaufortova stupnica sily vetra
Bebop	Bebop
Becquerel	Becquerel (jednotka)
Bede	Beda Venerabilis
Beekeeping	Kategória:Včelárstvo
Beer	Pivo
Beer	Kategória:Pivo
Beetle	Chrobáky
Behaviorism	Behaviorizmus
Beijing	Peking
Beirut	Bejrút
Belarus	Bielorusko
Belarus	Kategória:Bielorusko
Belfast	Belfast
Belgium	Belgicko
Belgium	Kategória:Belgicko
Belgrade	Belehrad
Belisarius	Belisar
Belize	Belize
Belize	Kategória:Belize
Bell (instrument)	Zvon
Bellerophon	Bellerofontes
Benelux	Benelux
Benin	Benin
Benin	Kategória:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Franklin	Benjamin Franklin
Bergen	Bergen
Bering Sea	Beringovo more
Bering Strait	Beringov prieliv
Berkelium	Berkélium
Berkshire	Berkshire (grófstvo)
Berlin	Berlín
Berlin	Kategória:Berlín
Bermuda	Bermudy
Bermuda	Kategória:Bermudy
Bermuda Triangle	Bermudský trojuholník
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Bern (mesto)
Bernhard Riemann	Georg Friedrich Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Beryl
Beryllium	Berýlium
Beta (letter)	Beta (grécke písmeno)
Beta decay	Beta rozpad
Betelgeuse	Betelgeuze
Bethlehem	Betlehem (sídlo)
Bhutan	Bhután
Bhutan	Kategória:Bhután
Bible	Biblia
Bible	Kategória:Biblia
Bibliography	Bibliografia
Bicycle	Bicykel
Big Bang	Veľký tresk
Bile	Žlč
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Binary star	Dvojhviezda
Binoculars	Binokulár
Biochemistry	Biochémia
Biochemistry	Kategória:Biochémia
Biogeography	Biogeografia
Biography	Biografia
Biography	Portál:Ľudia
Biological warfare	Bakteriologická zbraň
Biology	Biológia
Biology	Kategória:Biológia
Biology	Portál:Biológia
Biome	Bióm
Biophysics	Biofyzika
Biopsy	Biopsia
Biosphere	Biosféra
Biotin	Biotín
Bird	Vtáky
Birmingham	Birmingham (Alabama)
Birth control	Antikoncepcia
Bisexuality	Bisexualita
Bishkek	Biškek
Bishop	Biskup
Bishop (chess)	Strelec (šach)
Bismarck	Bismarck (Severná Dakota)
Bismarck (disambiguation)	Bismarck
Bismuth	Bizmut
Bissau	Bissau
Bit	Bit
Bivalvia	Lastúrniky
Black	Čierna
Black Death	Čierna smrť
Black Forest	Schwarzwald
Black Kite	Haja tmavá
Black Sea	Čierne more
Black Stork	Bocian čierny
Black body	Absolútne čierne teleso
Black hole	Čierna diera
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Weblog
Blood	Krv
Blood plasma	Krvná plazma
Blood pressure	Krvný tlak
Blood vessel	Cieva (anatómia)
Blue	Modrá
Blues	Blues
Boar	Diviak lesný
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Robert Fischer
Bobsleigh	Boby
Bodhisattva	Bódhisattva
Body mass index	Index telesnej hmotnosti
Bodybuilding	Kulturistika
Bohemia	Čechy
Bohrium	Bohrium
Boiling point	Teplota varu
Boise	Boise
Boletus edulis	Hríb smrekový
Bolivia	Bolívia
Bolivia	Kategória:Bolívia
Bologna	Boloňa
Bolshevik	Boľševik
Bolzano	Bolzano
Bomber	Bombardovacie lietadlo
Bond (finance)	Dlhopis (cenný papier)
Bone	Kosť
Bone marrow	Kostná dreň
Bonn	Bonn
Book	Kniha
Book of Judges	Sudcovia
Book of Mormon	Kniha Mormónova
Book of Numbers	Numeri
Book of Revelation	Zjavenie svätého Jána
Book of Ruth	Kniha Rút
Bordeaux	Bordeaux
Boris Godunov	Boris Fiodorovič Godunov
Boris Pasternak	Boris Leonidovič Pasternak
Boris Spassky	Boris Vasilievič Spasskij
Borneo	Borneo
Boron	Bór
Bosnia and Herzegovina	Bosna a Hercegovina
Bosnia and Herzegovina	Kategória:Bosna a Hercegovina
Boson	Bozón
Boston	Boston (Massachusetts)
Boston Tea Party	Bostonské pitie čaju
Bot	Šablóna:Bot
Botanical garden	Botanická záhrada
Botany	Botanika
Botany	Kategória:Botanika
Botswana	Botswana
Botswana	Kategória:Botswana
Bottlenose Dolphin	Delfín skákavý
Bourgeoisie	Buržoázia
Bourgogne	Burgundsko (región)
Bouvet Island	Bouvetov ostrov
Bow (weapon)	Luk
Bowling	Bowling
Boxer (dog)	Boxer (pes)
Boxing	Kategória:Box
Boyle's law	Boyleov-Mariottov zákon
Bracket	Zátvorka (interpunkčné znamienko)
Brahma	Brahma (hinduistický boh)
Brahmaputra River	Brahmaputra
Braille	Braillovo písmo
Brain	Mozog
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandenburg	Brandenbursko
Brass	Mosadz
Brassiere	Podprsenka
Bratislava	Bratislava
Brazil	Brazília
Brazil	Kategória:Brazília
Brazzaville	Brazzaville
Bread	Chlieb
Breast	Prsník
Breast cancer	Karcinóm prsníka
Bremen	Brémy
Bremen (state)	Brémy (krajina)
Brescia	Brescia (mesto)
Brest	Brest (Bielorusko)
Brest	Brest
Bretagne	Bretónsko (región)
Brick	Tehla (stavebníctvo)
Bridge	Most
Bridges	Kategória:Mosty
Bridgetown	Bridgetown
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol (mesto v Anglicku)
British Columbia	Britská Kolumbia
British Empire	Britské impérium
British Isles	Britské ostrovy
British Virgin Islands	Britské Panenské ostrovy
British people	Kategória:Britské osobnosti
Brno	Brno
Broadway (New York City)	Broadway
Bromine	Bróm
Bronze	Bronz
Bronze Age	Bronzová doba
Brooklyn	Brooklyn
Brooklyn Bridge	Brooklynský most
Brown Bear	Medveď hnedý
Brownian motion	Brownov pohyb
Brunei	Brunej
Brunei	Kategória:Brunej
Brussels	Brusel
Bucharest	Bukurešť
Buckingham Palace	Buckinghamský palác
Buckminster Fuller	Buckminster Fuller
Buckwheat	Pohánka jedlá
Budapest	Budapešť
Buddha	Budha
Buddhism	Budhizmus
Buddhism	Kategória:Budhizmus
Buenos Aires	Buenos Aires
Buffalo	Buffalo (New York)
Building	Stavba
Bujumbura	Bujumbura
Bulgaria	Bulharsko
Bulgaria	Kategória:Bulharsko
Bumblebee	Čmeľ
Buoyancy	Archimedov zákon
Bureaucracy	Byrokracia
Burgomaster	Starosta
Burkina Faso	Burkina
Burkina Faso	Kategória:Burkina
Burma	Mjanmarsko
Burma	Kategória:Mjanmarsko
Bursa	Bursa
Burundi	Kategória:Burundi
Bus	Autobus
Businesspeople	Kategória:Podnikatelia
Butter	Maslo
Bydgoszcz	Bydgoszcz
Byte	Bajt
Byzantine Empire	Kategória:Byzantská ríša
C	C
C (programming language)	C (programovací jazyk)
C. S. Lewis	Clive Staples Lewis
CHAOS (Linux distribution)	CHAOS
CN Tower	CN Tower
COBOL	COBOL
Cabaret	Kabaret
Cache	Rýchla vyrovnávacia pamäť
Cadmium	Kadmium
