English	Georgian
Agnatha	უყბოები
Agnosticism	აგნოსტიციზმი
Agoraphobia	აგორაფობია
Agriculture	სოფლის მეურნეობა
Agriculture	კატეგორია:სოფლის მეურნეობა
Agrigento	აგრიგენტო
Aikido	აიკიდო
Air force	სამხედრო-საჰაერო ძალები
Airbus	აერობუსი
Aircraft	კატეგორია:თვითმფრინავები
Ajax (programming)	Ajax
Akhenaten	ამენჰოტეპ IV
Akira Kurosawa	აკირა კუროსავა
Al Gore	ალბერტ გორი
Al-Qaeda	ალ-ყაიდა
Alabama	ალაბამა (შტატი)
Alan Shepard	ალან შეპარდი
Alaska	ალასკა (შტატი)
Albania	ალბანეთი
Albania	კატეგორია:ალბანეთი
Albatross	ალბატროსისებრნი
Albert Camus	ალბერ კამიუ
Albert Einstein	ალბერტ აინშტაინი
Albert Speer	ალბერტ შპეერი
Alberta	ალბერტა
Albuquerque	ალბუკერკე
Alcoholic beverage	ალკოჰოლური სასმელი
Alder	მურყანი
Aldous Huxley	ოლდოს ჰაქსლი
Alec Guinness	ალეკ გინესი
Aleksandr Solzhenitsyn	ალექსანდრე სოლჟენიცინი
Alexander Fleming	ალექსანდერ ფლემინგი
Alexander Hamilton	ალექსანდრე ჰამილტონი
Alexander Pushkin	ალექსანდრე პუშკინი
Alexander the Great	ალექსანდრე მაკედონელი
Alexandre Dumas	ალექსანდრ დიუმა (უფროსი)
Alexandria	ალექსანდრია (ეგვიპტე)
Alfred Dreyfus	ალფრედ დრეიფუსი
Alfred Hitchcock	ალფრედ ჰიჩკოკი
Alfred Nobel	ალფრედ ნობელი
Alfred the Great	ალფრედ დიდი
Algae	წყალმცენარეები
Algebra	ალგებრა
Algeria	ალჟირი
Algeria	კატეგორია:ალჟირი
Algiers	ალჟირი (ქალაქი)
Algorithm	ალგორითმი
Alkane	ალკანი
Allah	ალაჰი
Allegory	ალეგორია
Allen Ginsberg	ალენ გინზბერგი
Almanac	ალმანახი
Almaty	ალმა-ატა
Almond	ნუში
Aloe	ალოე
Alpha (letter)	ალფა (ასო)
Alphabet	ანბანი
Alps	ალპები
Alsace	ელზასი
Altar	საკურთხეველი
Alternative medicine	კატეგორია:ალტერნატიული მედიცინა
Alvar Aalto	ალვარ აალტო
Amaryllidaceae	ამარილისისებრნი
Amazon River	ამაზონი
Amedeo Avogadro	ამედეო ავოგადრო
American Bison	ბიზონი
American Black Bear	ბარიბალი
American football	კატეგორია:ამერიკული ფეხბურთი
Amerigo Vespucci	ამერიგო ვესპუჩი
Amethyst	ამეთვისტო
Amharic	ამჰარული ენა
Amine	ამინები
Amino acid	ამინომჟავა
Amman	ამანი
Amphibian	ამფიბიები
Amsterdam	ამსტერდამი
Amun	ამონი
Amur	ამური (მდინარე)
Anarchism	ანარქიზმი
Anarchism	კატეგორია:ანარქიზმი
Anarchy	ანარქია
Anatidae	იხვისებრნი
Anatole France	ანატოლ ფრანსი
Anatomy	კატეგორია:ანატომია
Anatomy	ანატომია
Anaxagoras	ანაქსაგორა
Anchorage	ანკორიჯი
Ancient Greek	ძველი ბერძნული ენა
Ancient history	კატეგორია:ანტიკური ისტორია
Andalusia	ანდალუსია
Andhra Pradesh	ანდჰრა-პრადეში
Andorra	ანდორა
Andrei Sakharov	ანდრეი სახაროვი
Andrei Tarkovsky	ანდრეი ტარკოვსკი
Andrew Jackson	ენდრუ ჯექსონი
Andrew Johnson	ენდრიუ ჯონსონი
Andy Warhol	ენდი უორჰოლი
Angola	ანგოლა
Animal	ცხოველები
Animal husbandry	მეცხოველეობა
Animation	ანიმაცია
Anime	ანიმე
Animism	ანიმიზმი
Ankara	ანკარა (თურქეთი)
Anne Boleyn	ანა ბოლეინი
Annunciation	ხარება
Anseriformes	ბატისნაირნი
Anseriformes	კატეგორია:ბატისნაირნი
Antalya	ანთალია
Antananarivo	ანტანანარივო
Antarctica	ანტარქტიდა
Anthropology	ანთროპოლოგია
Anthropology	კატეგორია:ანთროპოლოგია
Antichrist	ანტიქრისტე
Antisemitism	ანტისემიტიზმი
Antisemitism	კატეგორია:ანტისემიტიზმი
Antoine Lavoisier	ანტუან ლავუაზიე
Anton Chekhov	ანტონ ჩეხოვი
Antonio Vivaldi	ანტონიო ვივალდი
Antonym	ანტონიმი
Antwerp	ანტვერპენი
Anubis	ანუბისი
Anus	ანუსი
Aphorism	აფორიზმი
Aphrodite	აფროდიტე
Apodiformes	ნამგალასნაირნი
Apollo	აპოლონი
Apollo (disambiguation)	აპოლონი (მრავალმნიშვნელოვანი)
Apollo program	აპოლო (კოსმოსური პროგრამა)
Apollo program	კატეგორია:აპოლოს კოსმოსური პროგრამა
Applied mathematics	გამოყენებითი მათემატიკა
Apricot	გარგარი
April	აპრილი
April 14	14 აპრილი
Apse	აფსიდა
Apulia	აპულია
Aquarius (constellation)	მერწყული (თანავარსკვლავედი)
Aqueduct	აკვედუკი
Aquitaine	აკვიტანია
Arab	არაბები
Arabic alphabet	არაბული დამწერლობა
Arabic language	არაბული ენა
Arachnid	ობობასნაირნი
Aragon	არაგონი
Aram Khachaturian	არამ ხაჩატურიანი
Arcangelo Corelli	არქანჯელო კორელი
Archaeology	არქეოლოგია
Archaeology	კატეგორია:არქეოლოგია
Archaeopteryx	არქეოპტერიქსი
Archangel	მთავარანგელოზი
Archbishop	არქიეპისკოპოსი
Archimedes	არქიმედე
Architecture	არქიტექტურა
Architecture	კატეგორია:არქიტექტურა
Archosaur	არქოზავრები
Arctic	არქტიკა
Arctic Ocean	ჩრდილოეთის ყინულოვანი ოკეანე
Area	ფართობი
Ares	არესი
Argentina	არგენტინა
Argentina	კატეგორია:არგენტინა
Aria	არია
Aries (constellation)	ვერძი (თანავარსკვლავედი)
Aristocracy	არისტოკრატია
Aristophanes	არისტოფანე
Aristotle	არისტოტელე
Arithmetic	არითმეტიკა
Arithmetic progression	არითმეტიკული პროგრესია
Arizona	არიზონა
Arizona	კატეგორია:არიზონა
Arkansas	არკანზასი
Armenia	სომხეთი
Armenia	კატეგორია:სომხეთი
Armenian language	სომხური ენა
Army	სახმელეთო ჯარები
Arnhem	არნემი
Arno River	არნო (მდინარე)
Arrow	ისარი (იარაღი)
Art	ხელოვნება
Art Deco	არტ-დეკო
Art Nouveau	არტ-ნუვო
Art history	ხელოვნებათმცოდნეობა
Artemis	არტემიდა
Artemisia (plant)	ავშანი
Arthritis	ართრიტი
Arthropod	ფეხსახსრიანები
Arthur Conan Doyle	ართურ კონან დოილი
Arthur Miller	ართურ მილერი
Arthur Rimbaud	არტურ რემბო
Arthur Wellesley	ართურ უელესლი, I ჰერცოგი უელინგტონი
Arts	კატეგორია:ხელოვნება
Asclepius	ასკლეპიოსი
Ashurbanipal	ასურბანიფალი
Asia	აზია
Asia	კატეგორია:აზია
Assam	ასამი (შტატი)
Assyria	ასურეთი
Assyria	კატეგორია:ასურეთი
Astana	ასტანა
Asteraceae	კატეგორია:რთულყვავილოვანნი
Asteroid	მცირე ცთომილები
Asteroid belt	ასტეროიდთა სარტყელი
Astrology	კატეგორია:ასტროლოგია
Astronaut	კოსმონავტი
Astronomy	ასტრონომია
Astronomy	კატეგორია:ასტრონომია
Astrophysics	ასტროფიზიკა
Astrophysics	კატეგორია:ასტროფიზიკა
Aten	ატონი
Atheism	კატეგორია:ათეიზმი
Athena	ათენა
Athens	ათენი
Atlanta	ატლანტა
Atlantic Ocean	ატლანტის ოკეანე
Atlantic Ocean	კატეგორია:ატლანტის ოკეანე
Atlas (mythology)	ატლანტი (მითოლოგია)
Atmospheric pressure	ატმოსფერული წნევა
Atom	ატომი
Atomic physics	კატეგორია:ატომური ფიზიკა
Atomic physics	ატომური ფიზიკა
Atreus	ატრევსი
Attila the Hun	ატილა (ჰუნები)
Auction	აუქციონი
August	აგვისტო
August 1	1 აგვისტო
August 15	15 აგვისტო
August 6	6 აგვისტო
Auguste Rodin	ფრანსუა ოგიუსტ რენე როდენი
Augustus	ოქტავიან ავგუსტუსი
Aurora	ავრორა
Austin	ოსტინი
Australia	ავსტრალია
Australia	კატეგორია:ავსტრალია
Austria	ავსტრია
Austria	კატეგორია:ავსტრია
Austria-Hungary	ავსტრო-უნგრეთის იმპერია
Autism	აუტიზმი
Autobiography	ავტობიოგრაფია
Automobile	ავტომობილი
Autumn	შემოდგომა
Auvergne (region)	ოვერნი
Avalanche	ზვავი
Avant-garde	ავანგარდიზმი
Avatar	ავატარა
Averroes	იბნ რუშდი
Aviation	კატეგორია:ავიაცია
Axiom	აქსიომა
Ayatollah	აიათოლა
Azerbaijan	აზერბაიჯანი
Azerbaijan	კატეგორია:აზერბაიჯანი
Aztec	აცტეკები
B	B
Babylon	ბაბილონი
Babylonia	ბაბილონეთი
Backgammon	ნარდი
Bacteria	ბაქტერიები
Bacteriophage	ბაქტერიოფაგები
Badminton	ბადმინტონი
Baghdad	ბაღდადი
Bahrain	ბაჰრეინი
Bahrain	კატეგორია:ბაჰრეინი
Baku	ბაქო
Balalaika	ბალალაიკა
Baldr	ბალდრი
Balearic Islands	ბალეარის კუნძულები
Ballet	ბალეტი
Ballet	კატეგორია:ბალეტი
Ballistic missile	ბალისტიკური რაკეტა
Ballpoint pen	ბურთულიანი კალამი
Baltic Sea	ბალტიის ზღვა
Baltimore	ბალტიმორი
Bamboo	ბამბუკი (გვარი)
Banana	ბანანი
Bangkok	ბანგკოკი
Bangladesh	ბანგლადეში
Bangladesh	კატეგორია:ბანგლადეში
Banjul	ბანჯული
Bank	ბანკი
Banknote	ბანკნოტი
Banks	კატეგორია:ბანკები
Baptist	ბაპტისტები
Bar (unit)	ბარი (ერთეული)
Barbados	ბარბადოსი
Barbarian	ბარბაროსი
Barbra Streisand	ბარბრა სტრეიზანდი
Barcelona	ბარსელონა
Barcelona	კატეგორია:ბარსელონა
Barents Sea	ბარენცის ზღვა
Barley	ქერი
Barn Owl	ბუხრინწა
Baron	ბარონი
Baroque	ბაროკო
Barrel (unit)	ბარელი
Baseball	ბეისბოლი
Basel	ბაზელი
Basidiomycota	ბაზიდიუმიანი სოკოები
Basil of Caesarea	ბასილი დიდი
Basilica	ბაზილიკა
Basilicata	ბაზილიკატა
Basketball	კალათბურთი
Basketball	კატეგორია:კალათბურთი
Basse-Normandie	ქვემო ნორმანდია
Bastille	ბასტილია
Bat	ღამურები
Bats	კატეგორია:ხელფრთიანები
Battalion	ბატალიონი
Battle of Austerlitz	აუსტერლიცის ბრძოლა
Battle of Waterloo	ვატერლოოს ბრძოლა
Battle of the Bulge	არდენის ოპერაცია
Battle of the Somme	სომის ბრძოლა
Bauhaus	ბაუჰაუზი
Bavaria	ბავარია
Bavaria	კატეგორია:ბავარია
Beak	ნისკარტი
Bear	დათვისებრნი
Bebop	ბებოპი
Bee	ფუტკარი
Beekeeping	კატეგორია:მეფუტკრეობა
Beer	კატეგორია:ლუდი
Beijing	პეკინი
Beirut	ბეირუთი
Belarus	ბელარუსი
Belarus	კატეგორია:ბელარუსი
Belfast	ბელფასტი
Belgium	ბელგია
Belgium	კატეგორია:ბელგია
Belgrade	ბელგრადი
Benin	ბენინი
Benito Mussolini	ბენიტო მუსოლინი
Benjamin Franklin	ბენჯამინ ფრანკლინი
Benjamin Harrison	ბენჯამინ ჰარისონი
Benny Goodman	ბენი გუდმანი
Berlin	ბერლინი
Berlin	კატეგორია:ბერლინი
Berne	ბერნი
Berry	კენკრა
Bertolt Brecht	ბერტოლტ ბრეხტი
Bertrand Russell	ბერტრან რასელი
Beryllium	ბერილიუმი
Beta (letter)	ბეტა (ასო)
Betelgeuse	ბეთელჰეიზე
Bethlehem	ბეით-ლაჰმი
Bette Davis	ბეტ დევისი
Beverly Hills	ბევერლი ჰილსი
Bey	ბაი (სოციალური ფენა)
Bhutan	ბჰუტანი
Bible	ბიბლია
Bible	კატეგორია:ბიბლია
Big Bang	დიდი აფეთქების თეორია
Bihar	ბიჰარი
Bill Clinton	ბილ კლინტონი
Biochemistry	კატეგორია:ბიოქიმია
Biogeography	ბიოგეოგრაფია
Biography	ბიოგრაფია
Biography	პორტალი:ბიოგრაფიები
Biology	ბიოლოგია
Biology	კატეგორია:ბიოლოგია
Biology	პორტალი:ბიოლოგია
Birch	არყი
Bird	ფრინველები
Bisexuality	ბისექსუალობა
Bishkek	ბიშკეკი
Bishop	ეპისკოპოსი
Black Forest	შვარცვალდი
Black Sea	შავი ზღვა
Black hole	შავი ხვრელი
Blaise Pascal	ბლეზ პასკალი
Blitzkrieg	ბლიცკრიგი
Bloemfontein	ბლუმფონტეინი
Blog	ბლოგი
Blood	სისხლი
Blue Whale	ლურჯი ვეშაპი
Blues	ბლუზი
Boar	გარეული ღორი
Bob Dylan	ბობ დილანი
Bob Marley	ბობ მარლი
Bobby Fischer	ბობი ფიშერი
Bodhisattva	ბოდჰისატვა
Bohemia	ბოჰემია
Bolivia	ბოლივია
Bolivia	კატეგორია:ბოლივია
Bollywood	ბოლივუდი
Bologna	ბოლონია
Bolshevik	ბოლშევიკი
Bomb	ბომბი
Bombyx mori	თუთის აბრეშუმხვევია
Bonn	ბონი
Bordeaux	ბორდო
Boris Godunov	ბორის გოდუნოვი
Boris Spassky	ბორის სპასკი
Bosnia and Herzegovina	ბოსნია და ჰერცეგოვინა
Bosporus	ბოსფორი
Boston	ბოსტონი
Botany	ბოტანიკა
Botany	კატეგორია:ბოტანიკა
Botswana	ბოტსვანა
Bottlenose Dolphin	აფალინა
Bourgogne	ბურგუნდია
Bowling	ბოულინგი
Boxers	კატეგორია:მოკრივეები
Boxing	კრივი
Boxing	კატეგორია:კრივი
Brahma	ბრაჰმა
Braille	ბრაილის შრიფტი
Brain	თავის ტვინი
Brandenburg	ბრანდენბურგი (მხარე)
Brass	თითბერი
Bratislava	ბრატისლავა
Braunschweig	ბრაუნშვაიგი
Brazil	ბრაზილია
Brazil	კატეგორია:ბრაზილია
Brazzaville	ბრაზავილი
Bread	პური
Breast cancer	მკერდის კიბო
Bremen (state)	ბრემენი (მხარე)
Bretagne	ბრეტანი
Bridge	ხიდი
Bridges	კატეგორია:ხიდები
Brisbane	ბრიზბენი
British Columbia	ბრიტანეთის კოლუმბია
British Empire	ბრიტანეთის იმპერია
British Isles	ბრიტანეთის კუნძულები
British people	კატეგორია:ბრიტანელები
Broadway (New York City)	ბროდვეი (ნიუ-იორკი)
Bronze	ბრინჯაო (მეტალი)
Bronze Age	ბრინჯაოს ხანა
Brooklyn	ბრუკლინი
Brooklyn Bridge	ბრუკლინის ხიდი
Brown Bear	მურა დათვი
Bruges	ბრიუგე
Brunei	ბრუნეი
Brussels	ბრიუსელი
Bucharest	ბუქარესტი
Buckingham Palace	ბაკინგემის სასახლე
Budapest	ბუდაპეშტი
Buddha	ბუდა
Buddhism	ბუდიზმი
Buddhism	კატეგორია:ბუდიზმი
Buenos Aires	ბუენოს-აირესი
Bulgaria	ბულგარეთი
Bulgaria	კატეგორია:ბულგარეთი
Bumblebee	ბაზი (გვარი)
Buoyancy	არქიმედეს კანონი
Bureaucracy	ბიუროკრატია
Burkina Faso	ბურკინა ფასო
Burma	მიანმარი
Businesspeople	კატეგორია:მეწარმეები
Butter	კარაქი
Byzantine Empire	კატეგორია:ბიზანტიის იმპერია
C	C
CN Tower	ტორონტოს ტელეანძა
COBOL	კობოლი
Cactus	კაქტუსისებრნი
Cairo	კაირო
Calabria	კალაბრია
Caldera	კალდერა
Calendar	კალენდარი
California	კალიფორნია
California	კატეგორია:კალიფორნია
Caligula	კალიგულა
Callisto (moon)	კალისტო (თანამგზავრი)
Calvary	გოლგოთა
Calvin Coolidge	კალვინ კულიჯი
Calvinism	კალვინიზმი
Calypso (mythology)	კალიფსო
Cambodia	კამბოჯა
Cambodia	კატეგორია:კამბოჯა
Cambrian	კამბრიული სისტემა
Cambridge	კემბრიჯი
Camel	აქლემი
Cameroon	კამერუნი
Campania	კამპანია
Canada	კანადა
Canada	კატეგორია:კანადა
Canary Islands	კანარის კუნძულები
Canberra	კანბერა
Cancer (constellation)	კირჩხიბი (თანავარსკვლავედი)
Canidae	ძაღლისებრნი
Canute the Great	კნუდ დიდი
Capacitor	ელექტრული კონდენსატორი
Cape Town	კეიპტაუნი
Cape Verde	კაბო-ვერდე
Cape of Good Hope	კეთილი იმედის კონცხი
Capital	დედაქალაქი
Capitalism	კაპიტალიზმი
Capricornus	თხის რქა (თანავარსკვლავედი)
Caracal	კარაკალი
Caracas	კარაკასი
Carat (mass)	კარატი
Carat (purity)	კარატი
Carbohydrate	ნახშირწყლები
Carbon cycle	ნახშირბადის წრებრუნვა
Cardamom	ილი (მცენარე)
Caribbean	კარიბები
Caribbean Sea	კარიბის ზღვა
Carl Jung	კარლ იუნგი
Carnivora	მტაცებლები
Carpathian Mountains	კარპატები
Carrot	სტაფილო
Cartesian product	დეკარტული ნამრავლი
Carthage	კართაგენი
Cartography	კარტოგრაფია
Casablanca	კასაბლანკა
Cashew	აკაჟუ
Caspian Sea	კასპიის ზღვა
Castile (historical region)	კასტილია
Cat	კატა
Catalonia	კატალონია
Cathedral	საკათედრო ტაძარი
Catholicism	კათოლიციზმი
Caucasus	კავკასია
Caucasus	კატეგორია:კავკასია
Caucasus Mountains	კავკასიონი
Cave	მღვიმე
Cedar	კედარი
Cell (biology)	უჯრედი
Census	ცენზი
Centaur	კენტავრი
Centimetre	სანტიმეტრი
Central African Republic	ცენტრალური აფრიკის რესპუბლიკა
Central America	ცენტრალური ამერიკა
Central America	კატეგორია:ცენტრალური ამერიკა
Central Park	ცენტრალ პარკი (ნიუ-იორკი)
Centre	ცენტრი (საფრანგეთი)
Century	საუკუნე
Cephalopod	თავფეხიანები
Cestoda	თასმისებური ჭიები
Cetacea	ვეშაპისნაირნი
Cetus	ვეშაპი (თანავარსკვლავედი)
Chad	ჩადი
Chaffinch	ნიბლია
Chamois	არჩვი
Champagne (wine)	შამპანური
Champagne-Ardenne	შამპან-არდენი
Chaos (mythology)	ქაოსი
Charadriiformes	მეჭვავიასნაირნი
Charlemagne	კარლოს დიდი
Charles	ჩარლზ მაუნტბატენ-უინძორი
Charles Baudelaire	შარლ ბოდლერი
Charles Darwin	ჩარლზ დარვინი
Charles Dickens	ჩარლზ დიკენსი
Charles de Gaulle	შარლ დე გოლი
Charlie Chaplin	ჩარლზ ჩაპლინი
Charlie Parker	ჩარლზ პარკერი
Charlotte	შარლოტი
Charmed	მოჯადოებული
Charon (moon)	ქარონი
Chartres	შარტრი
Chauvinism	შოვინიზმი
Che Guevara	ერნესტო ჩე გევარა
Chechnya	კატეგორია:ჩეჩნეთი
Cheese	ყველი
Cheetah	ავაზა
Chemical element	ქიმიური ელემენტი
Chemistry	ქიმია
Chemistry	კატეგორია:ქიმია
Cherry	ალუბალი
Chess	ჭადრაკი
Chess	კატეგორია:ჭადრაკი
Chester A. Arthur	ჩესტერ ართური
Chi (letter)	ხი (ასო)
Chicago	ჩიკაგო
Chicken	ქათამი
Chile	ჩილე
Chile	კატეგორია:ჩილე
China	კატეგორია:ჩინეთი
Chlorophyll	ქლოროფილი
Chocolate	შოკოლადი
Chordate	ქორდიანები
Christian Dior	კრისტიან დიორი
Christianity	ქრისტიანობა
Christianity	კატეგორია:ქრისტიანობა
Christmas	შობა
Christmas	კატეგორია:შობა
Christmas tree	საშობაო ნაძვის ხე
Christopher Columbus	ქრისტეფორე კოლუმბი
Chromosome	ქრომოსომა
Chronology	კატეგორია:ქრონოლოგია
Cicero	ციცერონი
Ciconiiformes	ლაკლაკისნაირნი
Circe	კირკე
Circle	წრე
Civilization	ცივილიზაცია
Clark Gable	კლარკ გეიბლი
Class (biology)	კლასი (ბიოლოგია)
Classical music	კატეგორია:კლასიკური მუსიკა
Classicism	კლასიციზმი
Claude Monet	კლოდ მონე
Claudius	კლავდიუსი
Cleopatra (disambiguation)	კლეოპატრა
Cleveland	კლივლენდი
Climatology	კლიმატოლოგია
Climatology	კატეგორია:კლიმატოლოგია
Clock	საათი
Clove	მიხაკის ხე
Clovis I	ხლოდვიგ I
Coat of arms	გერბი
Cockatoo	კაკადუ
Cocktail	კოქტეილი
Cocos (Keeling) Islands	ქოქოსის კუნძულები
Coffee	ყავა
Coffee	კატეგორია:ყავა
Cognac (drink)	კონიაკი
Coin	მონეტა
Colchis	კოლხეთის სამეფო
Cold War	ცივი ომი
Cold War	კატეგორია:ცივი ომი
Colin Powell	კოლინ პაუელი
Collage	კოლაჟი
Cologne	კელნი
Colombia	კოლუმბია
Colombia	კატეგორია:კოლუმბია
Colorado	კოლორადო (შტატი)
Colosseum	კოლოსეუმი
Colossus of Rhodes	როდოსის კოლოსი
Colubrid	ანკარასებრნი
Columbia University	კოლუმბიის უნივერსიტეტი
Columbiformes	კატეგორია:მტრედისნაირნი
Columbiformes	მტრედისნაირნი
Columbus	კოლუმბუსი (ოჰაიო)
Columbus	კოლუმბუსი
Coma	კომა
Coma Berenices	ბერენიკეს თმები
Comedy	კომედია
Comet	კომეტა
Commedia dell'arte	კომედია დელ არტე
Common Fig	ლეღვი
Commonwealth of Independent States	დამოუკიდებელ სახელმწიფოთა თანამეგობრობა
Communication	კომუნიკაცია
Communism	კომუნიზმი
Communism	კატეგორია:კომუნიზმი
Comoros	კომორის კუნძულები
Compact Disc	კომპაქტ-დისკი
Complex number	კომპლექსური რიცხვი
Composer	კომპოზიტორი
Computer	კომპიუტერი
Computer display	მონიტორი
Computer graphics	კატეგორია:კომპიუტერული გრაფიკა
Computing	კატეგორია:კომპიუტერი
Concrete	ბეტონი
Congo	კონგო
Connecticut	კონექტიკუტი
Consonant	თანხმოვანი
Constantine I	კონსტანტინე დიდი
Constantinople	კონსტანტინოპოლი
Constellation	თანავარსკვლავედები
Constitution (political)	კონსტიტუცია
Consul	კონსული
Consumption (economics)	მოხმარება
Continent	კონტინენტი
Coordinated Universal Time	მსოფლიო კოორდინირებული დრო
Copenhagen	კოპენჰაგენი
Copper	სპილენძი
Coraciiformes	ყაპყაპისნაირნი
Coriander	ქინძი
Cornell University	კორნელის უნივერსიტეტი
Corsica	კორსიკა
Cosmology	კოსმოლოგია
Cosmology	კატეგორია:კოსმოლოგია
Costa Rica	კოსტა-რიკა
Cougar	პუმა
Country music	ქანთრი
Coyote	კოიოტი
Crimea	ყირიმი
Crimean War	ყირიმის ომი
Criminal law	კატეგორია:სისხლის სამართალი
Criminology	კატეგორია:კრიმინოლოგია
Croatia	ხორვატია
Croatia	კატეგორია:ხორვატია
Crossword	კროსვორდი
Crucifixion	ჯვარცმა
Cryptography	კრიპტოგრაფია
Cryptography	კატეგორია:კრიპტოგრაფია
Cuba	კუბა
Cuba	კატეგორია:კუბა
Cubism	კუბიზმი
Cuculiformes	გუგულისნაირნი
Cucurbitaceae	გოგრისებრნი
Culture	კულტურა
Culture	კატეგორია:კულტურა
Cupressaceae	კვიპაროზისებრნი
Curitiba	კურიტიბა
Currency	კატეგორია:ფულის ერთეულები
Currency	ვალუტა
Cyanobacteria	ლურჯ-მწვანე წყალმცენარეები
Cyclops	ციკლოპები
Cygnus (constellation)	გედი (თანავარსკვლავედი)
Cyperaceae	ისლისებრნი
Cyprinid	კობრისებრნი
Cyprus	კვიპროსი
Cyprus	კატეგორია:კვიპროსი
Cyrillic alphabet	კირილიცა
Cyrus the Great	კირუშ დიდი
Czech Republic	ჩეხეთი
Czech Republic	კატეგორია:ჩეხეთი
Czechoslovakia	ჩეხოსლოვაკია
D	D
DNA	დეზოქსირიბონუკლეინის მჟავა
DVD	დვდ
Dada	დადაიზმი
Dahlia	გეორგინა
Dakar	დაკარი
Dallas	დალასი
Damascus	დამასკო
Dance	ცეკვა
Dance	კატეგორია:ცეკვა
Dandelion	ბაბუაწვერა
Dante Alighieri	დანტე ალიგიერი
Dardanelles	დარდანელის სრუტე
Database	მონაცემთა ბაზა
David Hilbert	დავიდ ჰილბერტი
David Ricardo	დეივიდ რიკარდო
Day	დღე
Days	კატეგორია:დღეები
Death	სიკვდილი
Death	კატეგორია:სიკვდილი
Decade	ათწლეული
December	დეკემბერი
December 31	31 დეკემბერი
December 8	8 დეკემბერი
Deimos (moon)	დეიმოსი (თანამგზავრი)
