Thai	English
อเมริกันซามัว	American Samoa
แอสกี	American Standard Code for Information Interchange
อเมริกันฟุตบอล	American football
หมวดหมู่:อเมริกันฟุตบอล	American football
อะเมริเซียม	Americium
อเมริโก เวสปุชชี	Amerigo Vespucci
เขี้ยวหนุมาน	Amethyst
กรดอะมิโน	Amino acid
อัมมาน	Amman
แอมโมเนีย	Ammonia
แอมแปร์	Ampere
สัตว์สะเทินน้ำสะเทินบก	Amphibian
อัมสเตอร์ดัม	Amsterdam
คำสลับอักษร	Anagram
ลัทธิอนาธิปไตย	Anarchism
นกกาน้ำ	Anatidae
หมวดหมู่:กายวิภาคศาสตร์	Anatomy
กายวิภาคศาสตร์	Anatomy
แคว้นอันดาลูเซีย	Andalusia
ทะเลอันดามัน	Andaman Sea
แอนเดอร์ เซลเซียส	Anders Celsius
เทือกเขาแอนดีส	Andes
รัฐอานธรประเทศ	Andhra Pradesh
ประเทศอันดอร์รา	Andorra
อันเดรอา ปัลลาดีโอ	Andrea Palladio
แอนดรูว์ แจ็กสัน	Andrew Jackson
แอนดรอยด์	Android
กลุ่มดาวแอนดรอเมดา	Andromeda (constellation)
ดาราจักรแอนดรอเมดา	Andromeda Galaxy
แอนดี วอร์ฮอล	Andy Warhol
เทวดา	Angel
น้ำตกเอนเจล	Angel Falls
มุม	Angle
อังกลิคัน	Anglicanism
ประเทศแองโกลา	Angola
แองกวิลลา	Anguilla
สัตว์	Animal
แอนิเมชัน	Animation
อะนิเมะ	Anime
หมวดหมู่:อะนิเมะ	Anime
ยอดเขาอันนะปุรณะ	Annapurna
แอนน์ โบลีน สมเด็จพระราชินีแห่งอังกฤษ	Anne Boleyn
คริสต์ศักราช	Anno Domini
การประกาศของเทพ	Annunciation
แอโนด	Anode
มด	Ant
อันตานานาริโว	Antananarivo
ทวีปแอนตาร์กติกา	Antarctica
สายอากาศ	Antenna (radio)
แอนโธนี ฮ็อปกินส์	Anthony Hopkins
มานุษยวิทยา	Anthropology
หมวดหมู่:มานุษยวิทยา	Anthropology
ยาปฏิชีวนะ	Antibiotic
แอนติบอดี	Antibody
ประเทศแอนติกาและบาร์บูดา	Antigua and Barbuda
พลวง	Antimony
สารต้านอนุมูลอิสระ	Antioxidant
กลุ่มดาวเครื่องสูบลม	Antlia
อองตวน ลาวัวซิเยร์	Antoine Lavoisier
อันโตนีโอ วีวัลดี	Antonio Vivaldi
เทพอานูบิส	Anubis
ทวารหนัก	Anus
หลอดเลือดแดงใหญ่เอออร์ตา	Aorta
อะแพชี	Apache
อะพาไทต์	Apatite
อโฟรไดท์	Aphrodite
อพอลโล	Apollo
โครงการอะพอลโล	Apollo program
แอปเปิล	Apple
คณิตศาสตร์ประยุกต์	Applied mathematics
เมษายน	April
14 เมษายน	April 14
วันเอพริลฟูลส์	April Fools' Day
กลุ่มดาวนกการเวก	Apus
กลุ่มดาวคนแบกหม้อน้ำ	Aquarius (constellation)
กลุ่มดาวนกอินทรี	Aquila (constellation)
แคว้นอากีแตน	Aquitaine
กลุ่มดาวแท่นบูชา	Ara (constellation)
สันนิบาตอาหรับ	Arab League
คาบสมุทรอาหรับ	Arabian Peninsula
ทะเลอาหรับ	Arabian Sea
อักษรอาหรับ	Arabic alphabet
ภาษาอาหรับ	Arabic language
แมง	Arachnid
แคว้นอารากอน	Aragon
อาร์ช	Arch
โบราณคดี	Archaeology
อาร์คิมิดีส	Archimedes
สถาปนิก	Architect
สถาปัตยกรรม	Architecture
หมวดหมู่:สถาปัตยกรรม	Architecture
อาร์โคซอร์	Archosaur
อาร์กติก	Arctic
มหาสมุทรอาร์กติก	Arctic Ocean
อาร์ (หน่วยวัด)	Are
พื้นที่	Area
ปาล์ม	Arecaceae
เอรีส	Ares
ประเทศอาร์เจนตินา	Argentina
หมวดหมู่:ประเทศอาร์เจนตินา	Argentina
อาร์กอน	Argon
กลุ่มดาวแกะ	Aries (constellation)
อภิชนาธิปไตย	Aristocracy
อริสโตเติล	Aristotle
เลขคณิต	Arithmetic
หมวดหมู่:เลขคณิต	Arithmetic
การก้าวหน้าเลขคณิต	Arithmetic progression
มลรัฐแอริโซนา	Arizona
มลรัฐอาร์คันซอ	Arkansas
อาร์มาดิลโล	Armadillo
ประเทศอาร์เมเนีย	Armenia
หมวดหมู่:ประเทศอาร์เมเนีย	Armenia
ภาษาอาร์เมเนีย	Armenian language
กองทัพบก	Army
ปืนไฟ	Arquebus
ลูกศร	Arrow
อาร์ซีนิก	Arsenic
ศิลปะ	Art
อาร์ทนูโว	Art Nouveau
โรคข้ออักเสบ	Arthritis
สัตว์ขาปล้อง	Arthropod
อาร์เธอร์ โคนัน ดอยล์	Arthur Conan Doyle
ปัญญาประดิษฐ์	Artificial intelligence
หมวดหมู่:ปัญญาประดิษฐ์	Artificial intelligence
ทหารปืนใหญ่	Artillery
ศิลปิน	Artist
หมวดหมู่:ศิลปะ	Arts
อารูบา	Aruba
ทวีปเอเชีย	Asia
หมวดหมู่:ทวีปเอเชีย	Asia
แอสปาร์แตม	Aspartame
ยางมะตอย	Asphalt
แอสไพริน	Aspirin
รัฐอัสสัม	Assam
ภาษาแอสเซมบลี	Assembly language
สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้	Association of Southeast Asian Nations
อัสตานา	Astana
แอสทาทีน	Astatine
ดาวเคราะห์น้อย	Asteroid
แถบดาวเคราะห์น้อย	Asteroid belt
สายตาเอียง	Astigmatism (eye)
โหราศาสตร์	Astrology
นักบินอวกาศ	Astronaut
นักดาราศาสตร์	Astronomer
หน่วยดาราศาสตร์	Astronomical unit
ดาราศาสตร์	Astronomy
หมวดหมู่:ดาราศาสตร์	Astronomy
สถานีย่อย:ดาราศาสตร์	Astronomy
ฟิสิกส์ดาราศาสตร์	Astrophysics
หมวดหมู่:ฟิสิกส์ดาราศาสตร์	Astrophysics
Asynchronous Transfer Mode	Asynchronous Transfer Mode
ทะเลทรายอาตากามา	Atacama Desert
เทพอาเตน	Aten
อะธีนา	Athena
เอเธนส์	Athens
กรีฑา	Athletics (track and field)
แอตแลนตา	Atlanta
มหาสมุทรแอตแลนติก	Atlantic Ocean
หมวดหมู่:มหาสมุทรแอตแลนติก	Atlantic Ocean
แอตแลนติส	Atlantis
บรรยากาศ	Atmosphere
ความกดอากาศ	Atmospheric pressure
อะตอม	Atom
นาฬิกาอะตอม	Atomic clock
มวลอะตอม	Atomic mass
หน่วยมวลอะตอม	Atomic mass unit
เลขอะตอม	Atomic number
AU	Au
สิงหาคม	August
1 สิงหาคม	August 1
15 สิงหาคม	August 15
6 สิงหาคม	August 6
ออกุสต์ โรแดง	Auguste Rodin
ออกัสตินแห่งฮิปโป	Augustine of Hippo
ออกุสตุส ซีซาร์	Augustus
กลุ่มดาวสารถี	Auriga (constellation)
ออโรรา (แก้ความกำกวม)	Aurora
ออโรรา	Aurora (astronomy)
ออสตราเลเซีย	Australasia
ประเทศออสเตรเลีย	Australia
หมวดหมู่:ประเทศออสเตรเลีย	Australia
ประเทศออสเตรีย	Austria
หมวดหมู่:ประเทศออสเตรีย	Austria
จักรวรรดิออสเตรีย-ฮังการี	Austria-Hungary
นักเขียน	Author
อำนาจหน้าที่	Authority
อัตชีวประวัติ	Autobiography
บัตรเอทีเอ็ม	Automated teller machine
รถยนต์	Automobile
ออโตทรอพ	Autotroph
ฤดูใบไม้ร่วง	Autumn
แคว้นโอแวร์ญ	Auvergne (region)
หิมะถล่ม	Avalanche
อาวองการ์ด	Avant-garde
อวตาร	Avatar
อิบุน รัชด์	Averroes
คัมภีร์อเวสตะ	Avesta
หมวดหมู่:การบิน	Aviation
ขวาน	Axe
แอกซอน	Axon
อายะตุลลอหฺ	Ayatollah
ประเทศอาเซอร์ไบจาน	Azerbaijan
หมวดหมู่:ประเทศอาเซอร์ไบจาน	Azerbaijan
B	B
ภาษาเบสิก	BASIC
แบคทีเรีย	Bacteria
หมวดหมู่:แบคทีเรีย	Bacteria
แบดมินตัน	Badminton
แบกแดด	Baghdad
ประเทศบาห์เรน	Bahrain
บากู	Baku
งบดุล	Balance sheet
หมู่เกาะแบลีแอริก	Balearic Islands
อันดับวาฬและโลมา	Baleen whale
จังหวัดบาหลี	Bali
คาบสมุทรบอลข่าน	Balkans
ทะเลบอลติก	Baltic Sea
บามาโก	Bamako
ไผ่	Bamboo
กล้วย	Banana
กรุงเทพมหานคร	Bangkok
ประเทศบังกลาเทศ	Bangladesh
หมวดหมู่:ประเทศบังกลาเทศ	Bangladesh
ธนาคาร	Bank
ธนบัตร	Banknote
ประเทศบาร์เบโดส	Barbados
บาร์เซโลนา	Barcelona
แบเรียม	Barium
ข้าวบาร์เลย์	Barley
บารอมิเตอร์	Barometer
ศิลปะบาโรก	Baroque
หินบะซอลต์	Basalt
เบส (เคมี)	Base (chemistry)
เบสบอล	Baseball
หมวดหมู่:เบสบอล	Baseball
Bash	Bash
บาซิลิสก์	Basilisk
บาสเกตบอล	Basketball
หมวดหมู่:บาสเกตบอล	Basketball
กีตาร์เบส	Bass guitar
แคว้นบาส-นอร์มองดี	Basse-Normandie
ค้างคาว	Bat
แบทแมน	Batman
หมวดหมู่:ค้างคาว	Bats
แบตเตอรี่	Battery (electricity)
ยุทธภูมิบริเตน	Battle of Britain
ยุทธการแห่งเธอร์มอพิวไล	Battle of Thermopylae
เรือประจัญบาน	Battleship
อ่าวเบงกอล	Bay of Bengal
อ่าวบิสเคย์	Bay of Biscay
ไบเออร์	Bayer
บีเกิ้ล	Beagle
หมี	Bear
ผึ้ง	Bee
เบียร์	Beer
หมวดหมู่:เบียร์	Beer
ด้วง	Beetle
ปักกิ่ง	Beijing
เบรุต	Beirut
ประเทศเบลารุส	Belarus
เบลฟัสต์	Belfast
ประเทศเบลเยียม	Belgium
หมวดหมู่:ประเทศเบลเยียม	Belgium
เบลเกรด	Belgrade
ประเทศเบลีซ	Belize
เบเนลักซ์	Benelux
ประเทศเบนิน	Benin
เบนิโต มุสโสลินี	Benito Mussolini
เบนจามิน แฟรงคลิน	Benjamin Franklin
เบวูล์ฟ	Beowulf
เบอร์คีเลียม	Berkelium
เบอร์ลิน	Berlin
หมวดหมู่:เบอร์ลิน	Berlin
เบอร์มิวดา	Bermuda
สามเหลี่ยมเบอร์มิวดา	Bermuda Triangle
แบร์นฮาร์ด รีมันน์	Bernhard Riemann
เบอร์ทรานด์ รัสเซิลล์	Bertrand Russell
เบริลเลียม	Beryllium
บีตา	Beta (letter)
ประเทศภูฏาน	Bhutan
หมวดหมู่:ประเทศภูฏาน	Bhutan
คัมภีร์ไบเบิล	Bible
บรรณานุกรม	Bibliography
จักรยาน	Bicycle
บิกแบง	Big Bang
รัฐพิหาร	Bihar
น้ำดี	Bile
บิล คลินตัน	Bill Clinton
บิลล์ เกตส์	Bill Gates
กล้องสองตา	Binoculars
ชีวเคมี	Biochemistry
หมวดหมู่:ชีวเคมี	Biochemistry
ชีวประวัติ	Biography
ชีววิทยา	Biology
หมวดหมู่:ชีววิทยา	Biology
มวลชีวภาพ	Biomass
เทคโนโลยีชีวภาพ	Biotechnology
นก	Bird
การคุมกำเนิด	Birth control
บิชอป (หมากรุก)	Bishop (chess)
บิสมาร์ก	Bismarck (disambiguation)
บิสมัท	Bismuth
บิต	Bit
สีดำ	Black
กาฬโรคระบาดในยุโรป	Black Death
ทะเลดำ	Black Sea
วัตถุดำ	Black body
หลุมดำ	Black hole
พริกไท	Black pepper
นกแบล็กเบิร์ด	Blackbird
แบลส ปาสกาล	Blaise Pascal
เบลนเดอร์	Blender (software)
ตาบอด	Blindness
การโจมตีสายฟ้าแลบ	Blitzkrieg
บลูมฟอนเทน	Bloemfontein
บล็อก	Blog
เลือด	Blood
น้ำเลือด	Blood plasma
ความดันโลหิต	Blood pressure
หมู่โลหิต	Blood type
หลอดเลือด	Blood vessel
สีน้ำเงิน	Blue
บลูส์	Blues
หมูป่า	Boar
เรือ	Boat
บ็อบ มาร์เลย์	Bob Marley
บอบบี ฟิชเชอร์	Bobby Fischer
พระโพธิสัตว์สิ่ส่าสเอ่	Bodhisattva
ดัชนีมวลกาย	Body mass index
เพาะกาย	Bodybuilding
โบห์เรียม	Bohrium
จุดเดือด	Boiling point
ประเทศโบลิเวีย	Bolivia
พรรคบอลเชวิค	Bolshevik
ระเบิด	Bomb
เครื่องบินทิ้งระเบิด	Bomber
พันธบัตร	Bond (finance)
กระดูก	Bone
บอนน์	Bonn
หนังสือ	Book
พระธรรมเอสเธอร์	Book of Esther
พระธรรมโยชูวา	Book of Joshua
พระธรรมกันดารวิถี	Book of Numbers
พระธรรมนางรูธ	Book of Ruth
พีชคณิตแบบบูล	Boolean algebra (structure)
บอร์โดซ์	Bordeaux
เกาะบอร์เนียว	Borneo
โบรอน	Boron
ประเทศบอสเนียและเฮอร์เซโกวีนา	Bosnia and Herzegovina
บอสตัน	Boston
กรณีชาที่บอสตัน (พ.ศ. 2316)	Boston Tea Party
แม่แบบ:Bot	Bot
สวนพฤกษศาสตร์	Botanical garden
พฤกษศาสตร์	Botany
หมวดหมู่:พฤกษศาสตร์	Botany
ประเทศบอตสวานา	Botswana
ขวด	Bottle
โลมาปากขวด	Bottlenose Dolphin
กระฎุมพี	Bourgeoisie
แคว้นบูร์กอญ	Bourgogne
หมวดหมู่:นักมวย	Boxers
มวยสากล	Boxing
นขลิขิต	Bracket
พระพรหม	Brahma
แม่น้ำพรหมบุตร	Brahmaputra River
อักษรเบรลล์	Braille
สมอง	Brain
บรานเดนบวร์ก	Brandenburg
บรั่นดี	Brandy
ทองเหลือง	Brass
ยกทรง	Brassiere
บราติสลาวา	Bratislava
ประเทศบราซิล	Brazil
หมวดหมู่:ประเทศบราซิล	Brazil
ขนมปัง	Bread
เต้านม	Breast
มะเร็งเต้านม	Breast cancer
เบรเมิน	Bremen
แคว้นเบรอตาญ	Bretagne
อิฐ	Brick
สะพาน	Bridge
หมวดหมู่:สะพาน	Bridges
บริสเบน	Brisbane
รัฐบริติชโคลัมเบีย	British Columbia
จักรวรรดิอังกฤษ	British Empire
หมู่เกาะบริติชเวอร์จิน	British Virgin Islands
บรอดเวย์ (ถนน)	Broadway (New York City)
โบรมีน	Bromine
สำริด	Bronze
ยุคสำริด	Bronze Age
สะพานบรูคลิน	Brooklyn Bridge
หมีสีน้ำตาล	Brown Bear
บรู๊ซ ลี	Bruce Lee
ประเทศบรูไนดารุสซาลาม	Brunei
หมวดหมู่:ประเทศบรูไนดารุสซาลาม	Brunei
บรัสเซลส์	Brussels
พระราชวังบัคคิงแฮม	Buckingham Palace
บักมินสเตอร์ ฟุลเลอร์	Buckminster Fuller
บูดาเปสต์	Budapest
พระพุทธเจ้า	Buddha
พระพุทธศาสนา	Buddhism
บัวโนสไอเรส	Buenos Aires
บัฟฟาโล	Buffalo
อาคาร	Building
ประเทศบัลแกเรีย	Bulgaria
หมวดหมู่:ประเทศบัลแกเรีย	Bulgaria
ประเทศบูร์กินาฟาโซ	Burkina Faso
ประเทศพม่า	Burma
หมวดหมู่:ประเทศพม่า	Burma
รถโดยสารประจำทาง	Bus
ธุรกิจ	Business
ผีเสื้อ	Butterfly
ไบต์	Byte
C	C
ภาษาซี	C (programming language)
ซี. เอส. ลิวอิส	C. S. Lewis
ภาษาโคบอล	COBOL
แคช	Cache
กระบองเพชร	Cactus
แคดเมียม	Cadmium
กลุ่มดาวสิ่ว	Caelum
ซีเซียม	Caesium
คาเฟอีน	Caffeine
ไคโร	Cairo
เค้ก	Cake
แคลเซียม	Calcium
แคลเซียมคาร์บอเนต	Calcium carbonate
เครื่องคิดเลข	Calculator
แคลคูลัส	Calculus
ปฏิทิน	Calendar
มลรัฐแคลิฟอร์เนีย	California
หมวดหมู่:มลรัฐแคลิฟอร์เนีย	California
แคลิฟอร์เนียม	Californium
กาหลิบ	Caliph
แคลอรี	Calorie
คาลวิน คูลิดจ์	Calvin Coolidge
ประเทศกัมพูชา	Cambodia
หมวดหมู่:ประเทศกัมพูชา	Cambodia
เคมบริดจ์ (เคมบริดจ์เชียร์)	Cambridge
เคมบริดจ์ (มลรัฐแมสซาชูเซตส์)	Cambridge
เคมบริดจ์	Cambridge (disambiguation)
อูฐ	Camel
กล้องถ่ายภาพ	Camera
ประเทศแคเมอรูน	Cameroon
ประเทศแคนาดา	Canada
หมวดหมู่:ประเทศแคนาดา	Canada
คลอง	Canal
หมู่เกาะคะเนรี	Canary Islands
แคนเบอร์รา	Canberra
มะเร็ง	Cancer
กลุ่มดาวปู	Cancer (constellation)
กลุ่มดาวสุนัขใหญ่	Canis Major
กลุ่มดาวสุนัขเล็ก	Canis Minor
แคนนอน	Canon (company)
ดาวคาโนปัส	Canopus
แคนตาตา	Cantata
ภาษาจีนกวางตุ้ง	Cantonese (linguistics)
สมเด็จพระเจ้าคานูทมหาราช	Canute the Great
ตัวเก็บประจุ	Capacitor
แหลมคานาเวอรัล	Cape Canaveral
แหลมฮอร์น	Cape Horn
เคปทาวน์	Cape Town
ประเทศเคปเวิร์ด	Cape Verde
เมืองหลวง	Capital
โทษประหารชีวิต	Capital punishment
ทุนนิยม	Capitalism
กลุ่มดาวแพะทะเล	Capricornus
การากัส	Caracas
มะเฟือง	Carambola
กะรัต	Carat (mass)
กะรัต	Carat (purity)
คาราวัจจิโอ	Caravaggio
คาร์โบไฮเดรต	Carbohydrate
คาร์บอน	Carbon
วัฏจักรคาร์บอน	Carbon cycle
คาร์บอนไดออกไซด์	Carbon dioxide
กรดคาร์บอนิก	Carbonic acid
กรดคาร์บอกซิลิก	Carboxylic acid
เกมไพ่	Card game
พระคาร์ดินัล	Cardinal (Catholicism)
หมวดหมู่:ระบบไหลเวียนโลหิต	Cardiovascular system
แคริบเบียน	Caribbean
ทะเลแคริบเบียน	Caribbean Sea
กลุ่มดาวกระดูกงูเรือ	Carina (constellation)
คาร์ล ออร์ฟ	Carl Orff
คาร์นิวอรา	Carnivora
สัตว์กินเนื้อ	Carnivore
