Vietnamese	English
Điôxít cacbon	Carbon dioxide
Mônôxít cacbon	Carbon monoxide
Kỷ Than đá	Carboniferous
Axít cacboxylic	Carboxylic acid
Bộ chế hòa khí	Carburetor
Cardiff	Cardiff
Hồng y	Cardinal (Catholicism)
Thể loại:Hệ tim mạch	Cardiovascular system
Thuyền Để	Carina (constellation)
Bộ Ăn thịt	Carnivora
Carl von Linné	Carolus Linnaeus
Hệ tọa độ Descartes	Cartesian coordinate system
Bản đồ học	Cartography
Thể loại:Bản đồ học	Cartography
Bộ Cẩm chướng	Caryophyllales
Casablanca	Casablanca
Điều	Cashew
Sòng bạc	Casino
Biển Caspi	Caspian Sea
Tiên Hậu	Cassiopeia (constellation)
Gang	Cast iron
Nhập thành	Castling
Castries	Castries
Mèo	Cat
Cataphract	Cataphract
Cườm thủy tinh thể mắt	Cataract
Bộ Cá da trơn	Catfish
Nhà thờ chính tòa	Cathedral
Công giáo	Catholicism
Catullus	Catullus
Súp lơ	Cauliflower
Hiệu ứng vật lý	Causality
Kỵ binh	Cavalry
Hang	Cave
Trứng cá muối	Caviar
Cayenne	Cayenne
Quần đảo Cayman	Cayman Islands
Cần tây	Celery
Thể loại:Cơ học thiên thể	Celestial mechanics
Cơ học thiên thể	Celestial mechanics
Thiên cầu	Celestial sphere
Tế bào	Cell (biology)
Màng tế bào	Cell membrane
Hồ cầm	Cello
Cellulose	Cellulose
Độ Celsius	Celsius
Đại Tân sinh	Cenozoic
Điều tra dân số	Census
Nhân mã	Centaur
Bán Nhân Mã	Centaurus
Khối tâm	Center of mass
Xentimét	Centimetre
Trung Phi	Central Africa
Cộng hoà Trung Phi	Central African Republic
Cơ quan Tình báo Trung ương Hoa Kỳ	Central Intelligence Agency
Liên minh Trung tâm	Central Powers
Ngân hàng trung ương	Central bank
Hệ thần kinh trung ương	Central nervous system
CPU	Central processing unit
Centre	Centre
Trung tử	Centriole
Thế kỷ	Century
Tiên Vương	Cepheus (constellation)
Ceres (hành tinh lùn)	Ceres (dwarf planet)
Xeri	Cerium
Cesare Borgia	Cesare Borgia
Bộ Cá voi	Cetacea
Kình Ngư	Cetus
Tchad	Chad
Yển Diên	Chamaeleon
Sâm panh	Champagne (wine)
Champagne-Ardenne	Champagne-Ardenne
Đường hầm eo biển Manche	Channel Tunnel
Charlemagne	Charlemagne
Thái tử Charles, Hoàng tử xứ Wales	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles de Gaulle	Charles de Gaulle
Charles II le Chauve	Charles the Bald
Charlie Chaplin	Charlie Chaplin
Phép thuật (phim truyền hình)	Charmed
Chartres	Chartres
Chủ nghĩa Sôvanh	Chauvinism
Che Guevara	Che Guevara
Chechnya	Chechnya
Pho mát	Cheese
Báo săn	Cheetah
Liên kết hóa học	Chemical bond
Hợp chất	Chemical compound
Nguyên tố hóa học	Chemical element
Phản ứng hóa học	Chemical reaction
Vũ khí hóa học	Chemical warfare
Hóa học	Chemistry
Thể loại:Hóa học	Chemistry
Wikipedia:Trang chính Hóa học	Chemistry
Chemnitz	Chemnitz
Chennai	Chennai
Chernobyl	Chernobyl
Đá lửa (lịch sử)	Chert
Cờ vua	Chess
Thể loại:Cờ vua	Chess
Chester A. Arthur	Chester A. Arthur
Kẹo cao su	Chewing gum
Tưởng Giới Thạch	Chiang Kai-shek
Chicago	Chicago
Bệnh thủy đậu	Chickenpox
Trẻ em	Child
Chile	Chile
Chimera (thần thoại)	Chimera (mythology)
Tinh tinh	Chimpanzee
Thể loại:Trung Quốc	China
Trung Quốc	China
Clo	Chlorine
Clorofom	Chloroform
Diệp lục	Chlorophyll
Lục lạp	Chloroplast
Sô-cô-la	Chocolate
Hợp xướng	Choir
Bệnh tả	Cholera
Cholesterol	Cholesterol
Trùng Khánh	Chongqing
Động vật có dây sống	Chordate
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Kitô giáo	Christianity
Thể loại:Kitô giáo	Christianity
Giáng sinh	Christmas
Thể loại:Giáng sinh	Christmas
Cây Giáng sinh	Christmas tree
Cristoforo Colombo	Christopher Columbus
Sắc kí	Chromatography
Crom	Chromium
Nhiễm sắc thể	Chromosome
Nhà thờ	Church (building)
Giáo hội Anh	Church of England
Bộ Hạc	Ciconiiformes
Thuốc lá	Cigarette
Chu sa	Cinnabar
Viên Quy	Circinus
Hệ tuần hoàn	Circulatory system
Chu trình Krebs	Citric acid cycle
Chi Cam chanh	Citrus
Nội chiến	Civil war
Văn minh	Civilization
Kèn dăm đơn	Clarinet
Lớp	Class
Lớp (sinh học)	Class (biology)
Lớp (khoa học máy tính)	Class (computer science)
Cơ học cổ điển	Classical mechanics
Âm nhạc cổ điển	Classical music
Claude Monet	Claude Monet
Claudius	Claudius
Đất sét	Clay
Cleveland, Ohio	Cleveland
Client-server	Client-server
Thể loại:Khí hậu	Climate
Khí hậu học	Climatology
Thể loại:Khí hậu học	Climatology
Trầm cảm	Clinical depression
Âm vật	Clitoris
Đồng hồ	Clock
Big Ben	Clock Tower
Mây	Cloud
Đinh hương (gia vị)	Clove
Cỏ ba lá (Trifolium)	Clover
Clovis I	Clovis I
Than đá	Coal
Coban	Cobalt
Cocain	Cocaine
Bọ rùa	Coccinellidae
Gián	Cockroach
Cocktail	Cocktail
Dừa	Coconut
Quần đảo Cocos (Keeling)	Cocos (Keeling) Islands
Cà phê (thực vật)	Coffea
Cà phê	Coffee
Thể loại:Cà phê	Coffee
Cô nhắc	Cognac (drink)
Khoa học nhận thức	Cognitive science
Chiến tranh Lạnh	Cold War
Thể loại:Chiến tranh Lạnh	Cold War
Colin Powell	Colin Powell
Hệ keo	Colloid
Köln	Cologne
Colombia	Colombia
Thể loại:Colombia	Colombia
Colombo	Colombo
Đại tá	Colonel
