Serbian	English
Ал Капоне	Al Capone
Ал Гор	Al Gore
Ал-Каида	Al-Qaeda
Алабама	Alabama
Алан Тјуринг	Alan Turing
Аланин	Alanine
Аљаска	Alaska
Категорија:Аљаска	Alaska
Албанија	Albania
Категорија:Албанија	Albania
Олбани	Albany
Албедо	Albedo
Алберт Абрахам Мајкелсон	Albert Abraham Michelson
Албер Ками	Albert Camus
Алберт Ајнштајн	Albert Einstein
Алберт Шпер	Albert Speer
Алберта	Alberta
Албинизам	Albinism
Албит	Albite
Албум	Album
Албукерки	Albuquerque
Алхемија	Alchemy
Категорија:Алхемија	Alchemy
Алкохол	Alcohol
Алкохолно пиће	Alcoholic beverage
Алкохолизам	Alcoholism
Алдехид	Aldehyde
Јова	Alder
Олдус Хаксли	Aldous Huxley
Алек Гинис	Alec Guinness
Александар Солжењицин	Aleksandr Solzhenitsyn
Aleutska ostrva	Aleutian Islands
Александар Флеминг	Alexander Fleming
Александар Грејам Бел	Alexander Graham Bell
Александар Сергејевич Пушкин	Alexander Pushkin
Александар Велики	Alexander the Great
Александар Дима Отац	Alexandre Dumas
Александрија	Alexandria
Алексис де Токвил	Alexis de Tocqueville
Алфред Драјфус	Alfred Dreyfus
Алфред Хичкок	Alfred Hitchcock
Алфред Нобел	Alfred Nobel
Алфред Норт Вајтхед	Alfred North Whitehead
Alfred Veliki	Alfred the Great
Алге	Algae
Алгебра	Algebra
Категорија:Алгебра	Algebra
Алгебарски број	Algebraic number
Алжир	Algeria
Категорија:Алжир	Algeria
Алжир (град)	Algiers
Алгоритам	Algorithm
Алија	Ali
Алкални метали	Alkali metal
Алкалоид	Alkaloid
Алкан	Alkane
Алкен	Alkene
Алкин	Alkyne
Алах	Allah
Алегорија	Allegory
Алел	Allele
Алергија	Allergy
Алосаур	Allosaurus
Легура	Alloy
Алмати	Almaty
Бадем	Almond
Алоје	Aloe
Алфа	Alpha (letter)
Алфа Кентаури	Alpha Centauri
Алфабет	Alphabet
Алпи	Alps
Категорија:Алпи	Alps
Алзас	Alsace
Олтарски простор у хришћанској цркви	Altar
Алтај (планина)	Altay Mountains
Наизменична струја	Alternating current
Категорија:Алтернативна медицина	Alternative medicine
Алтернативна медицина	Alternative medicine
Алтруизам	Altruism
Алуминијум	Aluminium
Алуминијум оксид	Aluminium oxide
Алвар Алто	Alvar Aalto
Алцхајмерова болест	Alzheimer's disease
Зелена пупавка	Amanita phalloides
Амазон	Amazon River
Ћилибар	Amber
Амброзије Милански	Ambrose
Амелија Ерхарт	Amelia Earhart
Амерички грађански рат	American Civil War
Амерички рат за независност	American Revolutionary War
Америчка Самоа	American Samoa
ASCII	American Standard Code for Information Interchange
Амерички фудбал	American football
Категорија:Амерички фудбал	American football
Америцијум	Americium
Америго Веспучи	Amerigo Vespucci
Аметист	Amethyst
Аминокиселина	Amino acid
Амиш	Amish
Аман	Amman
Амонијак	Ammonia
Амнезија	Amnesia
Амнестија	Amnesty
Ампер	Ampere
Амфетамин	Amphetamine
Водоземци	Amphibian
Амфитеатар	Amphitheatre
Амфора	Amphora
Амстердам	Amsterdam
Категорија:Амстердам	Amsterdam
Амур	Amur
Анабаптисти	Anabaptist
Анахајм	Anaheim
Анални секс	Anal sex
Аналитичка геометрија	Analytic geometry
Анархизам	Anarchism
Категорија:Анархизам	Anarchism
Анархија	Anarchy
Anatol Frans	Anatole France
Категорија:Анатомија	Anatomy
Анатомија	Anatomy
Анаксагора	Anaxagoras
Анаксимандар	Anaximander
Енкориџ	Anchorage
Старогрчки језик	Ancient Greek
Андалузија	Andalusia
Андаманско море	Andaman Sea
Андерс Целзијус	Anders Celsius
Анди	Andes
Андра Прадеш	Andhra Pradesh
Андора	Andorra
Категорија:Андора	Andorra
Андреј Тарковски	Andrei Tarkovsky
Ендру Џексон	Andrew Jackson
Ендру Џонсон	Andrew Johnson
Андроид	Android
Андромеда	Andromeda
Сазвежђе Андромеда	Andromeda (constellation)
Андромеда (галаксија)	Andromeda Galaxy
Енди Ворхол	Andy Warhol
Анемија	Anemia
Анестезиологија	Anesthesia
Ангара	Angara River
Анђео	Angel
Угао	Angle
Англиканизам	Anglicanism
Ангола	Angola
Категорија:Ангола	Angola
Ангвила	Anguilla
Момент импулса	Angular momentum
Угаона брзина	Angular velocity
Боеције	Anicius Manlius Severinus Boethius
Животиње	Animal
Сточарство	Animal husbandry
Анимација	Animation
Аниме	Anime
Категорија:Аниме	Anime
Анимизам	Animism
Анис	Anise
Анкара	Ankara
Ана Болен	Anne Boleyn
Чланковити црви	Annelid
Благовести	Annunciation
Анода	Anode
Мрав	Ant
Антиохија	Antakya
Анталија	Antalya
Тананариво	Antananarivo
Антарктик	Antarctica
Категорија:Антарктик	Antarctica
Антена	Antenna (radio)
Ентони Хопкинс	Anthony Hopkins
Антропологија	Anthropology
Категорија:Антропологија	Anthropology
Антибиотик	Antibiotic
Антитело	Antibody
Антихрист	Antichrist
Антиген	Antigen
Антигона	Antigone
Антигва и Барбуда	Antigua and Barbuda
Категорија:Антигва и Барбуда	Antigua and Barbuda
Антиматерија	Antimatter
Антимон	Antimony
Антисемитизам	Antisemitism
Категорија:Антисемитизам	Antisemitism
Антофагаста	Antofagasta
Антоан Лавоазје	Antoine Lavoisier
Антон Брукнер	Anton Bruckner
Антон Павлович Чехов	Anton Chekhov
Антонио Страдивари	Antonio Stradivari
Антонио Вивалди	Antonio Vivaldi
Антверпен	Antwerp
Анубис	Anubis
Аорта	Aorta
Апачи	Apache
Апатит	Apatite
Афазија	Aphasia
Афоризам	Aphorism
Афродита	Aphrodite
Апија	Apia
Аполон	Apollo
Пројекат Аполо	Apollo program
Апоптоза	Apoptosis
Апалачи	Appalachian Mountains
Јабука	Apple
Кајсија	Apricot
Април	April
14. април	April 14
Апсида	Apse
Апулија	Apulia
Царска вода	Aqua regia
Аквамарин	Aquamarine
Аквадукт	Aqueduct
Аквитанија	Aquitaine
Арапи	Arab
Арапска лига	Arab League
Арабијско полуострво	Arabian Peninsula
Арапско море	Arabian Sea
Арапски језик	Arabic language
Araceae	Araceae
Арахнида	Arachnid
Арафурско море	Arafura Sea
Арагон	Aragon
Аралско језеро	Aral Sea
Префектура Аркадија	Arcadia
Археологија	Archaeology
Категорија:Археологија	Archaeology
Арханђел	Archangel
Архиепископ	Archbishop
Архетип	Archetype
Архимед	Archimedes
Архипелаг	Archipelago
Архитекта	Architect
Архитектура	Architecture
Категорија:Архитектура	Architecture
Северни ледени океан	Arctic Ocean
Поларна лисица	Arctic fox
Ардени (департман)	Ardennes (department)
Ар (јединица)	Are
Palme	Arecaceae
Ареј	Ares
Аргентина	Argentina
Категорија:Аргентина	Argentina
Аргон	Argon
Аријанство	Arianism
Аристократија	Aristocracy
Аристофан	Aristophanes
Аристотел	Aristotle
Аритметика	Arithmetic
Категорија:Аритметика	Arithmetic
Арије	Arius
Аризона	Arizona
Ковчег Завета	Ark of the Covenant
Арканзас	Arkansas
Арл (град)	Arles
Јерменија	Armenia
Категорија:Јерменија	Armenia
Јерменски језик	Armenian language
Арнем	Arnhem
Река Арно	Arno River
Арнолд Шенберг	Arnold Schoenberg
Аркебуза	Arquebus
Арас	Arras
Арсен	Arsenic
Уметност	Art
Арт деко	Art Deco
Арт Нуво	Art Nouveau
Категорија:Историја уметности	Art history
Историја уметности	Art history
Артемида	Artemis
Пелен	Artemisia absinthium
Гихт	Arthritis
Зглавкари	Arthropod
Артур Комптон	Arthur Compton
Артур Конан Дојл	Arthur Conan Doyle
Артур Рембо	Arthur Rimbaud
Артур Шопенхауер	Arthur Schopenhauer
Артур Велсли, војвода од Велингтона	Arthur Wellesley
Вјештачка интелигенција	Artificial intelligence
Артиљерија	Artillery
Артуро Тосканини	Arturo Toscanini
Аруба	Aruba
Категорија:Аруба	Aruba
Азбест	Asbestos
Асклепије	Asclepius
Асурбанипал	Ashurbanipal
Азија	Asia
Категорија:Азија	Asia
Асмара	Asmara
Аспирин	Aspirin
Асам	Assam
Atentat	Assassination
Асемблер	Assembly language
АСЕАН	Association of Southeast Asian Nations
Асирско царство	Assyria
Категорија:Асирско царство	Assyria
Астана	Astana
Астат	Astatine
Астероид	Asteroid
Појас астероида	Asteroid belt
Астма	Asthma
Астрахан	Astrakhan
Астробиологија	Astrobiology
Астролаб	Astrolabe
Астрологија	Astrology
Категорија:Астрологија	Astrology
Астрометрија	Astrometry
Астроном	Astronomer
Астрономска јединица	Astronomical unit
Астрономија	Astronomy
Категорија:Астрономија	Astronomy
Портал:Астрономија	Astronomy
Астрофизика	Astrophysics
Категорија:Астрофизика	Astrophysics
Асимптота	Asymptote
Атакама	Atacama Desert
Атина (митологија)	Athena
Атина	Athens
Категорија:Атлетика	Athletics
Атлетика	Athletics (track and field)
Атланта	Atlanta
Атлантски океан	Atlantic Ocean
Атлантида	Atlantis
Атлас	Atlas (disambiguation)
Atlas (mesec)	Atlas (moon)
Атлас (митологија)	Atlas (mythology)
Атмосферски притисак	Atmospheric pressure
Атол	Atoll
Атом	Atom
Атомски сат	Atomic clock
Релативна атомска маса	Atomic mass
Јединица атомске масе	Atomic mass unit
Атомски број	Atomic number
Категорија:Атомска физика	Atomic physics
Атропин	Atropine
Периферија Атика	Attica
Атила	Attila the Hun
Окланд	Auckland
Аукција	Auction
Август	August
1. август	August 1
15. август	August 15
6. август	August 6
August Strindberg	August Strindberg
Огист Конт	Auguste Comte
Огист Роден	Auguste Rodin
Свети Августин	Augustine of Hippo
Октавијан Август	Augustus
Поларна светлост	Aurora (astronomy)
Остин	Austin
Аустралазија	Australasia
Аустралија	Australia
Категорија:Аустралија	Australia
Аустралијски долар	Australian dollar
Аустралопитекус	Australopithecus
Аустрија	Austria
Категорија:Аустрија	Austria
Аустро-Угарска	Austria-Hungary
Писац	Author
Ауторитет	Authority
Аутобиографија	Autobiography
Аутомобил	Automobile
Аутономни нервни систем	Autonomic nervous system
Аутотрофи	Autotroph
Јесен	Autumn
Оверња	Auvergne (region)
Снежна лавина	Avalanche
Авангарда	Avant-garde
Аватар	Avatar
Ибн Рушд	Averroes
Авеста	Avesta
Категорија:Ваздухопловство	Aviation
Ибн Сина	Avicenna
Авињон	Avignon
Авокадо	Avocado
Авогадров закон	Avogadro's law
Секира	Axe
Аксиома	Axiom
Ајатолах	Ayatollah
Азербејџан	Azerbaijan
Категорија:Азербејџан	Azerbaijan
Азимут	Azimuth
Азорска острва	Azores
Астеци	Aztec
Азурит	Azurite
B (слово латинице)	B
Бејсик	BASIC
Вавилон	Babylon
Tavla	Backgammon
Бактерија	Bacteria
Категорија:Бактерије	Bacteria
Бадминтон	Badminton
Бафинов залив	Baffin Bay
Бафинова земља	Baffin Island
Багдад	Baghdad
Категорија:Бахами	Bahamas
Бахреин	Bahrain
Категорија:Бахреин	Bahrain
Доња Калифорнија	Baja California
Баклава	Baklava
Баку	Baku
Балалајка	Balalaika
Балдер	Baldr
Балеарска острва	Balearic Islands
Стара планина	Balkan Mountains
Балкански ратови	Balkan Wars
Балкан	Balkans
Балет	Ballet
Категорија:Балет	Ballet
Балистичка ракета	Ballistic missile
Балтичко море	Baltic Sea
Балтимор	Baltimore
Бамако	Bamako
Бамбус	Bamboo
Банана	Banana
Бангалор	Bangalore
Бангкок	Bangkok
Бангладеш	Bangladesh
Категорија:Бангладеш	Bangladesh
Банги	Bangui
Банџул	Banjul
Банка	Bank
Категорија:Банке	Banks
Крштење	Baptism
Баптисти	Baptist
Барбадос	Barbados
Категорија:Барбадос	Barbados
Варвари	Barbarian
Барбра Страјсенд	Barbra Streisand
Барселона	Barcelona
Категорија:Барселона	Barcelona
Баренцово море	Barents Sea
Бари	Bari
Баријум	Barium
Јечам	Barley
Kukuvija	Barn Owl
Барометар	Barometer
Барок	Baroque
Баранкиља	Barranquilla
Барел	Barrel (unit)
Базалт	Basalt
База (хемија)	Base (chemistry)
Бејзбол	Baseball
Базел	Basel
Баш	Bash
Босиљак	Basil
Василије Велики	Basil of Caesarea
Базилика	Basilica
Базиликата	Basilicata
Василиск	Basiliscus
Базилиск	Basilisk
Кошарка	Basketball
Категорија:Кошарка	Basketball
Бас гитара	Bass guitar
Доња Нормандија	Basse-Normandie
Бастер	Basseterre
Фагот	Bassoon
Слепи мишеви	Bat
Бат (Сомерсет)	Bath
Бетмен	Batman
Батон Руж	Baton Rouge
Батаљон	Battalion
Батерија	Battery (electricity)
Битка код Аустерлица	Battle of Austerlitz
Битка за Британију	Battle of Britain
Битка код Хејстингса	Battle of Hastings
Битка код Лепанта	Battle of Lepanto (1571)
Маратонска битка	Battle of Marathon
Битка код Мидвеја	Battle of Midway
Термопилска битка	Battle of Thermopylae
Битка код Трафалгара	Battle of Trafalgar
Верденска битка	Battle of Verdun
Битка код Ватерлоа	Battle of Waterloo
Арденска битка	Battle of the Bulge
Битка на Соми	Battle of the Somme
Бојни брод	Battleship
Баухаус	Bauhaus
Боксит	Bauxite
Баварска	Bavaria
Категорија:Баварска	Bavaria
Ловор	Bay Laurel
Бенгалски залив	Bay of Bengal
Бискајски залив	Bay of Biscay
Бајер АГ	Bayer
Бајон	Bayonne
Plaža	Beach
Медвед	Bear
Бофортово море	Beaufort Sea
Бофорова скала	Beaufort scale
Би-бап	Bebop
Бекерел	Becquerel
Кревет	Bed
Беда Поштовани	Bede
Пчела	Bee
Буква	Beech
Категорија:Пчеларство	Beekeeping
Пиво	Beer
Тврдокрилци	Beetle
Бихевиоризам	Behaviorism
Пекинг	Beijing
Бејрут	Beirut
Белорусија	Belarus
Категорија:Белорусија	Belarus
Белфаст	Belfast
Белгија	Belgium
Категорија:Белгија	Belgium
Београд	Belgrade
Велизар	Belisarius
Белизе	Belize
Категорија:Белизе	Belize
Звоно	Bell (instrument)
Белерофонт	Bellerophon
Бело Хоризонте	Belo Horizonte
Белуга	Beluga
Бенелукс	Benelux
Бенин	Benin
Категорија:Бенин	Benin
Бенито Мусолини	Benito Mussolini
Едвард Бенџамин Бритн	Benjamin Britten
Бенџамин Дизраели	Benjamin Disraeli
Бенџамин Френклин	Benjamin Franklin
Бени Гудман	Benny Goodman
Беовулф	Beowulf
Берген	Bergen
Берингово море	Bering Sea
Берингов мореуз	Bering Strait
Берклијум	Berkelium
Берлин	Berlin
Категорија:Берлин	Berlin
Бермуди	Bermuda
Категорија:Бермуди	Bermuda
Бермудски троугао	Bermuda Triangle
Берн	Berne
Bernhard Riman	Bernhard Riemann
Бертолт Брехт	Bertolt Brecht
Бертранд Расел	Bertrand Russell
Берил	Beryl
Берилијум	Beryllium
Бетелгез	Betelgeuse
Бети Дејвис	Bette Davis
Бег	Bey
Бутан	Bhutan
Категорија:Бутан	Bhutan
Библија	Bible
Категорија:Библија	Bible
Библиографија	Bibliography
Бицикл	Bicycle
Велики прасак	Big Bang
Бихар	Bihar
Бикини	Bikini
Жуч	Bile
Бил Клинтон	Bill Clinton
Бил Гејтс	Bill Gates
Били Вајлдер	Billy Wilder
Dvojne i višestruke zvezde	Binary star
Биохемија	Biochemistry
Категорија:Биохемија	Biochemistry
Биолошка разноврсност	Biodiversity
Биогеографија	Biogeography
Биографија	Biography
Портал:Биографија	Biography
Биолошко ратовање	Biological warfare
Биологија	Biology
Категорија:Биологија	Biology
Портал:Биологија	Biology
Биометрија	Biometrics
Биофизика	Biophysics
Биопсија	Biopsy
Биосфера	Biosphere
Биотехнологија	Biotechnology
Витамин Х	Biotin
Манично-депресивна психоза	Bipolar disorder
Бреза	Birch
Птице	Bird
Бермингам (Алабама)	Birmingham
Контрола рађања	Birth control
Бисексуалност	Bisexuality
Бишкек	Bishkek
Епископ	Bishop
Ловац (шах)	Bishop (chess)
Бизмут	Bismuth
Бисао	Bissau
Бит (рачунарство)	Bit
Шкољке	Bivalvia
Црно	Black
Црна смрт	Black Death
Шварцвалд	Black Forest
Црно море	Black Sea
Црна рода	Black Stork
Црна рупа	Black hole
Бибер	Black pepper
Блез Паскал	Blaise Pascal
Блицкриг	Blitzkrieg
Блог	Blog
Крв	Blood
Крвна плазма	Blood plasma
Крвни притисак	Blood pressure
Крвне групе	Blood type
Крвни судови	Blood vessel
Плава боја	Blue
Плави кит	Blue Whale
Bluz	Blues
Divlja svinja	Boar
Игре на табли	Board game
Чамац	Boat
Боб Дилан	Bob Dylan
Боб Марли	Bob Marley
Роберт Фишер	Bobby Fischer
Боб	Bobsleigh
Бодисатва	Bodhisattva
Индекс телесне масе	Body mass index
Чешка (Бохемија)	Bohemia
Боријум	Bohrium
Тачка кључања	Boiling point
Боливија	Bolivia
Категорија:Боливија	Bolivia
Болоња	Bologna
Болцано	Bolzano
Обвезница	Bond (finance)
Кост	Bone
Коштана срж	Bone marrow
Бон	Bonn
Бонсаи	Bonsai
Књига	Book
Четврта књига Мојсијева	Book of Numbers
Булова алгебра	Boolean algebra (structure)
Бордо	Bordeaux
Борис Годунов	Boris Godunov
Борис Пастернак	Boris Pasternak
Борис Спаски	Boris Spassky
Борнео	Borneo
Бор (хемијски елемент)	Boron
Босна и Херцеговина	Bosnia and Herzegovina
Категорија:Босна и Херцеговина	Bosnia and Herzegovina
Бозони	Boson
Босфор	Bosporus
Бостон	Boston
Бостонска чајанка	Boston Tea Party
Ботаничка башта	Botanical garden
Ботаника	Botany
Категорија:Ботаника	Botany
Боцвана	Botswana
Категорија:Боцвана	Botswana
Кљунасти делфин	Bottlenose Dolphin
Бургоња	Bourgogne
Буве (острво)	Bouvet Island
Ратни лук (оружје)	Bow (weapon)
Категорија:Боксери	Boxers
Бокс	Boxing
Категорија:Бокс	Boxing
Бојл-Мариотов закон	Boyle's law
Брага	Braga
Брахма	Brahma
Брајева азбука	Braille
Мозак	Brain
Мозгалице	Brainstorming
Абрахам Стокер	Bram Stoker
Бранденбург	Brandenburg
Вињак	Brandy
Месинг	Brass
Братислава	Bratislava
Брауншвајг	Braunschweig
Бразил	Brazil
Категорија:Бразил	Brazil
Бразавил	Brazzaville
Хлеб	Bread
Бремен	Bremen
Бремен (покрајина)	Bremen (state)
Бремерхафен	Bremerhaven
Бреша	Brescia
Брест (град)	Brest
Брест (вишезначна одредница)	Brest
Бретања	Bretagne
Опека	Brick
Мост	Bridge
Категорија:Мостови	Bridges
Бриџтаун	Bridgetown
Брајтон	Brighton
Бриндизи	Brindisi
Бризбејн	Brisbane
Бристол	Bristol
Британска Колумбија	British Columbia
Британска империја	British Empire
Британска острва	British Isles
Британска Девичанска острва	British Virgin Islands
Брно	Brno
Бродвеј	Broadway (New York City)
Броколи	Broccoli
Бром	Bromine
Бронза	Bronze
Бронзано доба	Bronze Age
Бруклин	Brooklyn
Бруклински мост	Brooklyn Bridge
Мрки медвед	Brown Bear
Брауново кретање	Brownian motion
Брус Ли	Bruce Lee
Бриж	Bruges
Брунеј	Brunei
Категорија:Брунеј	Brunei
Брисел	Brussels
Куга	Bubonic plague
Букурешт	Bucharest
Бакингемска палата	Buckingham Palace
Бакминстер Фулер	Buckminster Fuller
Будимпешта	Budapest
Буда	Buddha
Будизам	Buddhism
Категорија:Будизам	Buddhism
Бади Холи	Buddy Holly
Буенос Ајрес	Buenos Aires
Бафало (Њујорк)	Buffalo
Грађевина	Building
Буџумбура	Bujumbura
Бугарска	Bulgaria
Категорија:Бугарска	Bulgaria
Бумбар	Bumblebee
Архимедов закон	Buoyancy
Бирократија	Bureaucracy
Буркина Фасо	Burkina Faso
Категорија:Буркина Фасо	Burkina Faso
Мјанмар	Burma
Категорија:Мијанмар	Burma
Бурса	Bursa
Категорија:Бурунди	Burundi
Аутобус	Bus
Магистрала (рачунарство)	Bus (computing)
Бастер Китон	Buster Keaton
Бутан (једињење)	Butane
Лептир	Butterfly
Бидгошч	Bydgoszcz
Бајт	Byte
Категорија:Византијско царство	Byzantine Empire
C (слово латинице)	C
C (програмски језик)	C (programming language)
Какаовац	Cacao
Кактус	Cactus
Кадмијум	Cadmium
Кадмо	Cadmus
Цезијум	Caesium
Кофеин	Caffeine
Каиро	Cairo
Калабрија	Calabria
Кале	Calais
Калцијум	Calcium
Калцијум карбонат	Calcium carbonate
Калкулатор	Calculator
Калкулус	Calculus
Калдера	Caldera
Календар	Calendar
Калифорнија	California
Категорија:Калифорнија	California
Калифорнијум	Californium
Калигула	Caligula
Калиф	Caliph
Kaligrafija	Calligraphy
Калиопа	Calliope
Калисто	Callisto (moon)
Калиста	Callisto (mythology)
Калорија	Calorie
Калвадос	Calvados
Голгота	Calvary
Калвин Кулиџ	Calvin Coolidge
Калвинизам	Calvinism
Калипсо	Calypso (mythology)
Камбоџа	Cambodia
Категорија:Камбоџа	Cambodia
Кембриџ	Cambridge
Кембриџ (вишезначна одредница)	Cambridge (disambiguation)
Камила	Camel
Камерун	Cameroon
Категорија:Камерун	Cameroon
Кампанија	Campania
Канада	Canada
Категорија:Канада	Canada
Канадски долар	Canadian dollar
Канарска острва	Canary Islands
Канбера	Canberra
Рак (болест)	Cancer
Кандела	Candela
Свећа	Candle
Конопља	Cannabis
Уживалачка употреба конопље	Cannabis (drug)
Кан (Азурна обала)	Cannes
Канибализам	Cannibalism
Кенон	Canon (company)
Кнут Велики	Canute the Great
Капацитивност	Capacitance
Кондензатор	Capacitor
Кејптаун	Cape Town
Зеленортска Острва	Cape Verde
Категорија:Зеленортска острва	Cape Verde
Рт добре наде	Cape of Good Hope
Главни град	Capital
Смртна казна	Capital punishment
Капитализам	Capitalism
Кападокија	Cappadocia
Каракал	Caracal
Каракас	Caracas
Угљени хидрати	Carbohydrate
Угљеник	Carbon
Угљен-диоксид	Carbon dioxide
Карбон (период)	Carboniferous
Карбоксилна киселина	Carboxylic acid
Кардиф	Cardiff
Кардинал	Cardinal (Catholicism)
Арман Жан ди Плеси де Ришеље	Cardinal Richelieu
Кардиологија	Cardiology
Категорија:Кардиологија	Cardiology
Кариби	Caribbean
Категорија:Кариби	Caribbean
Карикатура	Caricature
Карл Дејвид Андерсон	Carl David Anderson
Карл Густав Јунг	Carl Jung
Карл Луис	Carl Lewis
Карл Марија фон Вебер	Carl Maria von Weber
Карл Орф	Carl Orff
Звери	Carnivora
Месождери	Carnivore
Биљке месождерке	Carnivorous plant
Каролинзи	Carolingian dynasty
Карл фон Лине	Carolus Linnaeus
Карпати	Carpathian Mountains
Шаргарепа	Carrot
Картахена	Cartagena
Декартов координатни систем	Cartesian coordinate system
Картагина	Carthage
Картографија	Cartography
Категорија:Картографија	Cartography
Кери Грант	Cary Grant
Казабланка	Casablanca
Каспијско језеро	Caspian Sea
Касандра (митологија)	Cassandra
Ливено гвожђе	Cast iron
Каста	Caste
Кастиља	Castile (historical region)
Замак	Castle
Рокада (шах)	Castling
Кастри	Castries
Мачка	Cat
Каталонија	Catalonia
Категорија:Каталонија	Catalonia
Катализатор	Catalysis
Катаракта	Cataract
Катари	Catharism
