English	Tamil
Continental shelf	கண்டத் திட்டு
Contract	ஒப்பந்தம்
Cooking	சமையல்
Coordinate system	பகுமுறை வடிவவியல்
Coordinated Universal Time	ஒருங்கிணைக்கப்பட்ட சர்வதேச நேரம்
Copenhagen	கோப்பென்ஹாகென்
Copper	செப்பு
Coral reef	பவளப் பாறைகள்
Cosmology	அண்டவியல்
Costa Rica	கோஸ்ட்டா ரிக்கா
Cotton	பருத்தி
Coyote	கோயோட்டி கோநாய்
Crab	நண்டு
Crane (bird)	கொக்கு
Cricket	துடுப்பாட்டம்
Croatia	குரோவாட்ஸ்க்கா
Crocodile	முதலை
Cross	சிலுவை
Crow	காகம்
Crystal	படிகம்
Crystallography	படிகவுருவியல்
Cuba	கூபா
Cuba	பகுப்பு:கியூபா
Cubism	கியூபிசம்
Culture	பண்பாடு
Cyprus	சைப்பிரஸ்
Czech Republic	செக் குடியரசு
DNA	ஆக்சிஜனற்ற ரைபோ கரு அமிலம்
DOS	டாஸ்
Dallas	டாலஸ்
Dam	அணை
Damascus	தமஸ்கஸ்
Dance	நடனம்
Daniel Defoe	டானியல் டீஃபோ
Daniel Ortega	டானியல் ஒர்ட்டேகா
Danube	தன்யூப் ஆறு
Dar es Salaam	டார் எஸ் சலாம்
Darwin	டார்வின் (ஆஸ்திரேலியா)
Darwin	டார்வின்
Das Kapital	மூலதனம் (நூல்)
Data	தரவு
Database	தரவுத்தளம்
Day	நாள்
Dead Sea	சாக் கடல்
Decade	பத்தாண்டு
December	டிசம்பர்
December 31	டிசம்பர் 31
December 8	டிசம்பர் 8
Deer	மான்
Definition	வரைவிலக்கணம்
Degree (angle)	பாகை (அலகு)
Delaware	டெலவெயர்
Delhi	தில்லி
Deluge (mythology)	ஊழிவெள்ளம்
Demeter	டெமட்டர்
Democracy	மக்களாட்சி
Democratic Party (United States)	மக்களாட்சிக் கட்சி (ஐக்கிய அமெரிக்கா)
Democratic Republic of the Congo	காங்கோ மக்களாட்சிக் குடியரசு
Dengue fever	டெங்கு காய்ச்சல்
Denmark	டென்மார்க்
Denmark	பகுப்பு:டென்மார்க்
Denver	டென்வர்
Des Moines	டி மொயின்
Desert	பாலைவனம்
Deserts	பகுப்பு:பாலைவனங்கள்
Design	வடிவமைப்பு
Detroit	டிட்ராயிட்
Dhaka	டாக்கா
Dhaulagiri	தௌளகிரி
Diabetes mellitus	நீரிழிவு நோய்
Diameter	விட்டம்
Diamond	வைரம்
Diana	டயானா
Dictionary	அகராதி
Differential equation	வகையீட்டுச் சமன்பாடு
Dingo	டிங்கோ நாய்
Dinosaur	தொன்மா
Diode	இருமுனையம்
Direct current	நேர் மின்னோட்டம்
Disease	நோய்
Distillation	வடித்திறக்கல்
Divergence	விரிதல் (திசையன் நுண்கணிதம்)
Division (mathematics)	வகுத்தல் (கணிதம்)
Division (military)	டிவிசன்
Dmitri Mendeleev	திமீத்ரி மென்டெலீவ்
Dodecahedron	பன்னிரண்டுமுக ஐங்கோணகம்
Dodo	டோடோ
Dog	நாய்
Dolmen	கல்திட்டை
Dome	குவிமாடம்
Dominica	டொமினிக்கா
Dominican Republic	டொமினிக்கன் குடியரசு
Donkey	கழுதை
Door	கதவு
Doric order	டோரிக் ஒழுங்கு
Doris Lessing	டோரிஸ் லெஸ்சிங்
Dover	டோவர்
Dubai	துபாய்
Dublin	டப்லின்
Duke University	டியுக் பல்கலைக்கழகம்
Durban	டர்பன்
Dwight D. Eisenhower	டுவைட் டி. ஐசனாவர்
Dynamics (physics)	இயக்க விசையியல்
Dysprosium	டிஸ்ப்ரோசியம்
E (mathematical constant)	E (கணித மாறிலி)
E-mail	மின்னஞ்சல்
Earth	பூமி
Earthquake	நிலநடுக்கம்
East	கிழக்கு
East Africa	கிழக்கு ஆபிரிக்கா
East China Sea	கிழக்கு சீனக்கடல்
East Germany	ஜெர்மன் சனநாயகக் குடியரசு
East Timor	கிழக்குத் திமோர்
Easter	உயிர்த்த ஞாயிறு
Eastern Orthodox Church	கிழக்கு மரபுவழி திருச்சபை
Eccentricity (mathematics)	வட்டவிலகல்
Economics	பொருளியல்
Ecosystem	சூழ்நிலைமண்டலம்
Ecuador	எக்குவடோர்
Edmonton	எட்மன்டன்
Edmund Hillary	எட்மண்ட் ஹில்லரி
Eduard Buchner	எடுவர்டு பூக்னர்
Edvard Munch	எட்வர்ட் மண்ச்'
Edward Jenner	எட்வர்ட் ஜென்னர்
Edward Teller	எட்வர்ட் டெல்லர்
Edwin Hubble	எட்வின் ஹபிள்
Egg (biology)	முட்டை
Eggplant	கத்தரி
Egypt	எகிப்து
Egypt	பகுப்பு:எகிப்து
Eiffel Tower	ஈபெல் கோபுரம்
Ejaculation	விந்து தள்ளல்
El Salvador	எல் சல்வடோர்
Electric charge	மின்மம்
Electric field	மின்புலம்
Electricity	மின்சாரம்
Electrochemistry	மின்வேதியியல்
Electromagnetic radiation	மின்காந்த அலைகள்
Electromagnetic spectrum	மின்காந்த நிழற்பட்டை
Electromagnetism	மின்காந்தவியல்
Electron	எதிர்மின்னி
Electron microscope	இலத்திரன் நுண்நோக்கி
Electronics	இலத்திரனியல்
Elephant	யானை
Elevator	உயர்த்தி
Ellipse	நீள்வட்டம்
Emotion	உணர்ச்சி
Empire State Building	எம்பயர் ஸ்டேட் கட்டிடம்
Empiricism	அனுபவவாதம்
Encyclopedia	கலைக்களஞ்சியம்
Endocrine system	அகச்சுரப்பித் தொகுதி
Energy	ஆற்றல்
Energy	பகுப்பு:ஆற்றல்
Energy (society)	ஆற்றல்
Engineering	பொறியியல்
Engineering	பகுப்பு:பொறியியல்
England	இங்கிலாந்து
English Channel	ஆங்கிலக் கால்வாய்
English language	ஆங்கிலம்
Enrico Fermi	என்ரிக்கோ பெர்மி
Enzyme	நொதியம்
Epidemiology	நோய்ப் பரவல் இயல்
Epistemology	அறிவாய்வியல்
Epistle to the Romans	உரோமருக்கு எழுதிய நிருபம்
Equation	சமன்பாடு
Equator	நிலநடுக் கோடு
Equatorial Guinea	எக்குவடோரியல் கினி
Equidae	குதிரைப் பேரினம்
Eris (dwarf planet)	ஏரிஸ் (குறுங்கோள்)
Ernest Hemingway	ஏர்னெஸ்ட் ஹெமிங்வே
Ernest Rutherford	எர்ணஸ்ட் ரதர்ஃவோர்டு
Erosion	மண்ணரிப்பு
Escape velocity	விடுபடு திசைவேகம்
Espoo	யெஸ்ப்பூ
Essay	கட்டுரை
Ethane	எத்தேன்
Ethanol	எத்தனால்
Ethernet	ஈதர்நெட்
Ethiopia	எதியோப்பியா
Etymology	சொற்பிறப்பியல்
Euclid	யூக்ளிட்
Eurasia	யூரேசியா
Euro	ஐரோ
Europe	ஐரோப்பா
Europe	பகுப்பு:ஐரோப்பா
European Union	ஐரோப்பிய ஒன்றியம்
European Union	பகுப்பு:ஐரோப்பிய ஒன்றியம்
Europium	யூரோப்பியம்
Extinction	இனஅழிவு
Eye	கண்
Face	முகம்
Fahrenheit	ஃபேரென்ஹைட்
Falconiformes	கழுகு வரிசை
Falkland Islands	போக்லாந்து தீவுகள்
Fallopian tube	பாலோப்பியன் குழாய்
Fascism	பாசிசம்
Fashion	ஒய்யாரம்
Fasting	நோன்பு
Feather	இறகு
February	பெப்ரவரி
February 12	பெப்ரவரி 12
February 14	பெப்ரவரி 14
February 2	பெப்ரவரி 2
February 22	பெப்ரவரி 22
February 29	பெப்ரவரி 29
Feces	மலம்
Federated States of Micronesia	மைக்குரேனேசிய கூட்டாட்சி நாடுகள்
Federation	கூட்டாட்சி
Fedora (Linux distribution)	பெடோரா
Felidae	பூனைப் பேரினம்
Feminism	பெண்ணியம்
Feng shui	பெங் சுயி
Ferdinand Magellan	பெர்டினென்ட் மகலன்
Fern	பன்னம்
Fertilizer	உரம்
Feudalism	நிலபிரபுத்துவம்
Fever	காய்ச்சல்
Fibonacci number	ஃபிபனாச்சி எண்கள்
Fidel Castro	பிடல் காஸ்ட்ரோ
Fiji	பிஜி
Film	திரைப்படம்
Finland	பின்லாந்து
Finland	பகுப்பு:பின்லாந்து
Fire	நெருப்பு
First Epistle to the Corinthians	கொரிந்தியருக்கு எழுதிய முதலாவது நிருபம்
First aid	முதல் உதவி
First language	தாய்மொழி
Fish	மீன்
Fish	பகுப்பு:மீன்கள்
Flag	கொடி
Florence Nightingale	புளோரன்ஸ் நைட்டிங்கேல்
Florida	புளோரிடா
Flower	மலர்
Flowering plant	பூக்கும் தாவரம்
Fluid mechanics	பாய்ம இயக்கவியல்
Folklore	நாட்டார் பாடல்
Food	உணவு
Food and Agriculture Organization	ஐக்கிய நாடுகளின் உணவு மற்றும் வேளாண்மை அமைப்பு
Food chain	உணவுச் சங்கிலி
Foot (unit of length)	அடி
Football (soccer)	காற்பந்தாட்டம்
Force	விசை
Forest	காடு
Fortification	கோட்டை
Fossil	தொல்லுயிர் எச்சம்
Fossil fuel	புதைபடிவ எரிபொருள்
Fountain	நீர்த்தாரைகள்
Fox	நரி
Fractal	பகுவல்
France	பிரான்ஸ்
France	பகுப்பு:பிரான்ஸ்
Francis Crick	பிரான்சிஸ் கிரிக்
Frank Lloyd Wright	பிராங்க் லாய்டு ரைட்
Frankfort	பிராங்போர்ட் (கென்டக்கி)
Frankfurt	ஃபிராங்க்ஃபுர்ட்
Fredericton	ஃபிரெடெரிக்டன்
Freedom of speech	கருத்து வெளிப்பாட்டுச் சுதந்திரம்
Freemasonry	விடுதலைக் கட்டுநர் (இரகசிய சமூகம்)
French Polynesia	பிரெஞ்சு பொலினீசியா
French Revolution	பிரெஞ்சுப் புரட்சி
Frequency	அதிர்வெண்
Freshwater	நன்னீர்
Friction	உராய்வு
Friedrich Engels	பிரெட்ரிக் ஏங்கல்ஸ்
Fruit	பழம்
Fuel	எரிபொருள்
Full moon	பூரணை
Function (mathematics)	சார்பு
Fundamental interaction	அடிப்படை விசைகள்
Fungus	பூஞ்சைகள்
Fuzzy logic	இடைநிலை தருக்கம்
GNOME	குநோம்
Gabon	காபோன்
Gadolinium	கடோலினியம்
Galaxy	நாள்மீன்பேரடை
Galileo Galilei	கலீலியோ கலிலி
Gallium	காலியம்
Gamma ray	காம்மா கதிர்
Ganesha	விநாயகர்
Ganges	கங்கை ஆறு
Gardening	தோட்டக்கலை
Gas	வளிமம்
Gastrointestinal tract	செரித்தல்
Gautama Buddha	கௌதம புத்தர்
Gaza Strip	காசா கரை
Gear	பற்சக்கரம்
Gene	மரபணு
Genesis	ஆதியாகமம்
Genetics	மரபியல்
Genus	பேரினம் (உயிரியல்)
Geography	புவியியல்
Geography	பகுப்பு:புவியியல்
Geology	நிலவியல்
Geometry	வடிவவியல்
