Tamil	English
ஆந்திரப் பிரதேசம்	Andhra Pradesh
ஆன்ட்ரூ ஜாக்சன்	Andrew Jackson
கோணம்	Angle
அங்கோலா	Angola
அங்கியுலா	Anguilla
வளைவுந்தம்	Angular momentum
விலங்கு	Animal
இயங்குபடம்	Animation
அங்காரா	Ankara
அனாபொலிஸ்	Annapolis
அனோ டொமினி	Anno Domini
எறும்பு	Ant
அண்டனானரீவோ	Antananarivo
அண்டார்டிக்கா	Antarctica
அலைக்கம்பம்	Antenna (radio)
ஆந்த்ராக்ஸ்	Anthrax
மானிடவியல்	Anthropology
பகுப்பு:மானிடவியல்	Anthropology
அன்டிகுவா பர்புடா	Antigua and Barbuda
ஆண்ட்டிமனி	Antimony
அப்ரடைட்டி	Aphrodite
அப்போலோ	Apollo
அப்பல்லோ திட்டம்	Apollo program
ஆப்பலேச்சிய மலைத்தொடர்	Appalachian Mountains
ஆப்பிள்	Apple
செயல்முறைக் கணிதம்	Applied mathematics
ஏப்ரல்	April
ஏப்ரல் 14	April 14
ஏப்ரல் முட்டாள்கள் நாள்	April Fools' Day
நீர்வாழ் உயிரினங்கள் காட்சிச்சாலை	Aquarium
அரபிக்கடல்	Arabian Sea
அரபு மொழி	Arabic language
ஏரல் கடல்	Aral Sea
தொல்பொருளியல்	Archaeology
கட்டடக் கலைஞர்	Architect
கட்டிடக்கலை	Architecture
பகுப்பு:கட்டிடக்கலை	Architecture
ஆவணக் காப்பகம்	Archive
ஆர்க்டிக் பெருங்கடல்	Arctic Ocean
பரப்பளவு	Area
ஏரிஸ்	Ares
அர்ஜென்டினா	Argentina
பகுப்பு:அர்ஜென்டினா	Argentina
அரிஸ்டாட்டில்	Aristotle
எண்கணிதம்	Arithmetic
அரிசோனா	Arizona
ஆர்கன்சா	Arkansas
ஆர்மீனியா	Armenia
அரோமாட்டிக் ஹைடிரோகார்பன்	Aromatic hydrocarbon
ஆர்சனிக்	Arsenic
கலை	Art
ஆர்ட் நூவோ	Art Nouveau
கலை வரலாறு	Art history
ஆர்ட்டெமிஸ்	Artemis
தமனி	Artery
கணுக்காலி	Arthropod
ஆர்தர் கொனன் டொயில்	Arthur Conan Doyle
பீரங்கி	Artillery
அருபா	Aruba
ஆசியா	Asia
பகுப்பு:ஆசியா	Asia
ஆஸ்பிரின்	Aspirin
அஸ்ஸாம்	Assam
சிறுகோள்	Asteroid
சோதிடம்	Astrology
விண்ணோடி	Astronaut
வானியல் அலகு	Astronomical unit
வானியல்	Astronomy
வானியற்பியல்	Astrophysics
அத்தீனா	Athena
ஏதென்ஸ்	Athens
தட கள விளையாட்டுக்கள்	Athletics (track and field)
அட்லான்டா	Atlanta
அட்லாண்டிக் பெருங்கடல்	Atlantic Ocean
அணு	Atom
அணு எண்	Atomic number
அணுவியல்	Atomic physics
அற்றிலா த ஹன்	Attila the Hun
ஆகஸ்டு	August
ஆகஸ்டு 1	August 1
ஆகஸ்டு 15	August 15
ஆகஸ்டு 6	August 6
அகஸ்தா (மேய்ன்)	Augusta
ஆஸ்டின்	Austin
ஆஸ்திரேலியா	Australia
பகுப்பு:ஆஸ்திரேலியா	Australia
அவுஸ்திரேலிய டொலர்	Australian dollar
ஆஸ்திரியா	Austria
மதியிறுக்கம்	Autism
தானுந்து	Automobile
பனிச்சரிவு	Avalanche
அவதாரம்	Avatar
கோடரி	Axe
அசர்பைஜான்	Azerbaijan
அஸ்டெக் நாகரிகம்	Aztec
பாபேல்	Babylon
கோலுரு நுண்ணுயிர்	Bacteria
இரட்டைத்திமில் ஒட்டகம்	Bactrian Camel
பூப்பந்தாட்டம்	Badminton
பாக்தாத்	Baghdad
பஹ்ரேய்ன்	Bahrain
ஐந்தொகை (கணக்கியல்)	Balance sheet
பாலி	Bali
பந்து	Ball
பால்டிக் கடல்	Baltic Sea
பால்ட்டிமோர்	Baltimore
மூங்கில்	Bamboo
வாழை	Banana
பெங்களூரு	Bangalore
பேங்காக்	Bangkok
வங்காளதேசம்	Bangladesh
வங்கி	Bank
பார் (அளவை)	Bar (unit)
பார்படோசு	Barbados
பார்செலோனா	Barcelona
பேரியம்	Barium
பார்லி	Barley
அடிப்பந்தாட்டம்	Baseball
கூடைப்பந்தாட்டம்	Basketball
வௌவால்	Bat
பாடன் ரூஜ்	Baton Rouge
பட்டாலியன்	Battalion
பவேரியா	Bavaria
வங்காள விரிகுடா	Bay of Bengal
கரடி	Bear
பீவர்	Beaver
கட்டில்	Bed
தேனீ	Bee
வண்டு	Beetle
பெய்ஜிங்	Beijing
பெய்ரூட்	Beirut
பெலருஸ்	Belarus
பெல்ஜியம்	Belgium
பெல்கிறேட்	Belgrade
பெலீசு	Belize
பெனின்	Benin
பெனிற்ரோ முசோலினி	Benito Mussolini
பெஞ்சமின் பிராங்கிளின்	Benjamin Franklin
பெரிங் நீரிணை	Bering Strait
பெர்லின்	Berlin
பீட்டா சிதைவு	Beta decay
திருவாதிரை (நட்சத்திரம்)	Betelgeuse
பூட்டான்	Bhutan
பகுப்பு:பூட்டான்	Bhutan
விவிலியம்	Bible
மிதிவண்டி	Bicycle
பெரு வெடிப்புக் கோட்பாடு	Big Bang
பீகார்	Bihar
பில் கிளின்டன்	Bill Clinton
பில் கேட்ஸ்	Bill Gates
உயிரியற் பல்வகைமை	Biodiversity
உயிர்ப்புவியியல்	Biogeography
உயிரியல் போர்	Biological warfare
உயிரியல்	Biology
பகுப்பு:உயிரியல்	Biology
உயிரித் தொழில்நுட்பம்	Biotechnology
பறவை	Bird
கருத்தடை	Birth control
இருபால்சேர்க்கை	Bisexuality
பிஸ்மார்க்	Bismarck
இருமம்	Bit
கருப்பு	Black
கருங்கடல்	Black Sea
கருங்குழி	Black hole
பிலைய்சு பாஸ்கல்	Blaise Pascal
வலைப்பதிவு	Blog
குருதி	Blood
நீலம்	Blue
படகு	Boat
பாப் மார்லி	Bob Marley
பாபி ஃபிஷர்	Bobby Fischer
போதிசத்துவர்	Bodhisattva
கொதிநிலை	Boiling point
பொய்சி	Boise
பொலிவியா	Bolivia
பகுப்பு:பொலிவியா	Bolivia
எலும்பு	Bone
எலும்பு மச்சை	Bone marrow
பொன்சாய்	Bonsai
போரிஸ் பாஸ்ரர்நாக்	Boris Pasternak
போர்ணியோ	Borneo
போரான்	Boron
பொசுனியா எர்செகோவினா	Bosnia and Herzegovina
பாஸ்டன்	Boston
வார்ப்புரு:தானியங்கி	Bot
தாவரவியல் பூங்கா	Botanical garden
தாவரவியல்	Botany
போட்ஸ்வானா	Botswana
வில்	Bow (weapon)
குத்துச்சண்டை	Boxing
பிரம்மா	Brahma
மனித மூளை	Brain
பித்தளை	Brass
பிரேசில்	Brazil
பகுப்பு:பிரேசில்	Brazil
ரொட்டி	Bread
செங்கல்	Brick
பாலம்	Bridge
பிரிஜ்டவுண்	Bridgetown
பிரிகேட்	Brigade
பிறிஸ்பேன்	Brisbane
பிரிட்டிஷ் கொலம்பியா	British Columbia
பிரித்தானிய கன்னித் தீவுகள்	British Virgin Islands
புரோமின்	Bromine
வெண்கலம்	Bronze
வெண்கலக் காலம்	Bronze Age
புரூக்ளின் பாலம்	Brooklyn Bridge
பிரௌனியன் இயக்கம்	Brownian motion
புரூஸ் லீ	Bruce Lee
புரூணை	Brunei
பிரசல்ஸ்	Brussels
புக்கரெஸ்ட்	Bucharest
பக்கிங்ஹாம் அரண்மனை	Buckingham Palace
புடாபெஸ்ட்	Budapest
பௌத்தம்	Buddhism
புவெனஸ் ஐரிஸ்	Buenos Aires
பஃபலோ (நியூ யோர்க்)	Buffalo
கட்டிடம்	Building
புசும்புரா	Bujumbura
பல்கேரியா	Bulgaria
புர்கினா பாசோ	Burkina Faso
மியான்மார்	Burma
பகுப்பு:புருண்டி	Burundi
பேருந்து	Bus
வெண்ணெய்	Butter
பட்டாம்பூச்சி	Butterfly
பட்டாம்பூச்சி விளைவு	Butterfly effect
சி நிரலாக்கல் மொழி	C (programming language)
சி. என். கோபுரம்	CN Tower
கோபால் நிரலாக்க மொழி	COBOL
காட்மியம்	Cadmium
சீசியம்	Caesium
காஃவீன்	Caffeine
கெய்ரோ	Cairo
கால்சைட்	Calcite
கல்சியம்	Calcium
நுண்கணிதம்	Calculus
கலிபோர்னியா	California
கால்வின் கூலிஜ்	Calvin Coolidge
கம்போடியா	Cambodia
ஒட்டகம்	Camel
படம்பிடிகருவி	Camera
கமரூன்	Cameroon
கனடா	Canada
பகுப்பு:கனடா	Canada
கனடா டொலர்	Canadian dollar
கான்பரா	Canberra
புற்றுநோய்	Cancer
நாய்ப் பேரினம்	Canidae
மின்தேக்கி	Capacitor
கேப் வேர்ட்	Cape Verde
தலைநகரம்	Capital
முதலாளித்துவம்	Capitalism
கரிமம்	Carbon
காபனீரொட்சைட்டு	Carbon dioxide
ஏலக்காய்	Cardamom
கரிபியன்	Caribbean
கரிபியக் கடல்	Caribbean Sea
ஊனுண்ணி	Carnivore
ஊனுண்ணித் தாவரம்	Carnivorous plant
கரோலஸ் லின்னேயஸ்	Carolus Linnaeus
மஞ்சள் முள்ளங்கி	Carrot
கார்சன் நகரம்	Carson City
காட்டீசியன் ஆள்கூற்று முறைமை	Cartesian coordinate system
நிலப்படவரைவியல்	Cartography
சூதாட்டரங்கம்	Casino
கஸ்பியன் கடல்	Caspian Sea
சாதி	Caste
பூனை	Cat
வினைவேக மாற்றி	Catalysis
வானக்கோளம்	Celestial sphere
கலம்	Cell (biology)
மாவியம்	Cellulose
செல்சியஸ்	Celsius
சிமெந்து	Cement
சதம மீட்டர்	Centimetre
மத்திய ஆபிரிக்கக் குடியரசு	Central African Republic
நடு அமெரிக்கா	Central America
நூற்றாண்டு	Century
தானியங்கள்	Cereal
சீரியம்	Cerium
சாட்	Chad
கதிரை	Chair
கால்வாய் சுரங்கம்	Channel Tunnel
சார்லஸ் டார்வின்	Charles Darwin
சார்லஸ் டிக்கின்ஸ்	Charles Dickens
சார்ல்ஸ்டன் (மேற்கு வேர்ஜினியா)	Charleston
சார்லி சாப்ளின்	Charlie Chaplin
ஷார்லட்	Charlotte
சே குவேரா	Che Guevara
செச்சினியா	Chechnya
பாலாடைக் கட்டி	Cheese
வேதியியற் பிணைப்பு	Chemical bond
சேர்மம்	Chemical compound
தனிமம்	Chemical element
வேதிப் பொறியியல்	Chemical engineering
வேதியியற் தாக்கம்	Chemical reaction
வேதியியல் யுத்தம்	Chemical warfare
வேதியியல்	Chemistry
சென்னை	Chennai
சதுரங்கம்	Chess
செயென்	Cheyenne
சிகாகோ	Chicago
கோழி	Chicken
சிலி	Chile
சிம்ப்பன்சி	Chimpanzee
பகுப்பு:சீனா	China
சீனா	China
குளோரின்	Chlorine
பச்சையம்	Chlorophyll
சாக்கலேட்	Chocolate
முதுகுநாணி	Chordate
கிறிஸ்டியான் ஹைஜன்ஸ்	Christiaan Huygens
கிறிஸ்தவம்	Christianity
கிறிஸ்துமஸ்	Christmas
கிறிஸ்துமஸ் மரம்	Christmas tree
கொலம்பஸ்	Christopher Columbus
குரோமியம்	Chromium
கருவா	Cinnamon
வட்டம்	Circle
நாகரிகம்	Civilization
கிளாரினெட்	Clarinet
வகுப்பு (கணினியியல்)	Class (computer science)
கிளாடு மோனெ	Claude Monet
காறை எலும்பு	Clavicle
கிளீவ்லன்ட்	Cleveland
படியெடுப்பு	Cloning
உடை	Clothing
கிராம்பு	Clove
நிலக்கரி	Coal
கரப்பான்	Cockroach
காக்டெய்ல்கள்	Cocktail
தேங்காய்	Coconut
கொகோசு (கீலிங்) தீவுகள்	Cocos (Keeling) Islands
காப்பி	Coffee
கூழ்மம்	Colloid
கொலொம்பியா	Colombia
கொழும்பு	Colombo
நிறம்	Color
நிறக்குருடு	Color blindness
கொலராடோ	Colorado
கொலோசியம், ரோம்	Colosseum
ரோடொஸின் கொலோசஸ்	Colossus of Rhodes
கொலம்பியா (தென் கரொலைனா)	Columbia
கொலம்பியா பல்கலைக்கழகம்	Columbia University
கொலம்பஸ் (ஒகைய்யோ)	Columbus
வால்வெள்ளி	Comet
பொதுநலவாய நாடுகள்	Commonwealth of Nations
தொடர்பாடல்	Communication
பொதுவுடமை	Communism
கொமொரோசு	Comoros
நிரல்மொழிமாற்றி	Compiler
சிக்கலெண்	Complex number
கணிக்கப்பட்ட குறுக்குவெட்டு வரைவி வரிக் கண்ணோட்டம்	Computed tomography
கணினி	Computer
கணினி கட்டுமானம்	Computer architecture
கணினி வலையமைப்பு	Computer network
கணினியியல்	Computer science
கணினி நச்சுநிரல்	Computer virus
கணினி உதவு வடிவமைப்பும் வரைதலும்	Computer-aided design
காங்கர்ட் (நியூ ஹாம்சயர்)	Concord
காங்கிறீற்று	Concrete
ஆணுறை	Condom
கூம்பு	Cone (geometry)
அமெரிக்க மாநிலங்களின் கூட்டமைப்பு	Confederate States of America
கொங்கோ	Congo
காங்கோ ஆறு	Congo River
கூம்பு வெட்டு	Conic section
கொனெக்ரிகட்	Connecticut
நுகர்வு	Consumption (economics)
கண்டம்	Continent
கண்டப்பெயர்ச்சி	Continental drift
கண்டத் திட்டு	Continental shelf
ஒப்பந்தம்	Contract
சமையல்	Cooking
பகுமுறை வடிவவியல்	Coordinate system
ஒருங்கிணைக்கப்பட்ட சர்வதேச நேரம்	Coordinated Universal Time
கோப்பென்ஹாகென்	Copenhagen
செப்பு	Copper
பவளப் பாறைகள்	Coral reef
அண்டவியல்	Cosmology
கோஸ்ட்டா ரிக்கா	Costa Rica
பருத்தி	Cotton
கோயோட்டி கோநாய்	Coyote
நண்டு	Crab
கொக்கு	Crane (bird)
துடுப்பாட்டம்	Cricket
குரோவாட்ஸ்க்கா	Croatia
முதலை	Crocodile
சிலுவை	Cross
காகம்	Crow
படிகம்	Crystal
படிகவுருவியல்	Crystallography
கூபா	Cuba
பகுப்பு:கியூபா	Cuba
கியூபிசம்	Cubism
பண்பாடு	Culture
சைப்பிரஸ்	Cyprus
செக் குடியரசு	Czech Republic
ஆக்சிஜனற்ற ரைபோ கரு அமிலம்	DNA
டாஸ்	DOS
டாலஸ்	Dallas
அணை	Dam
தமஸ்கஸ்	Damascus
நடனம்	Dance
டானியல் டீஃபோ	Daniel Defoe
டானியல் ஒர்ட்டேகா	Daniel Ortega
தன்யூப் ஆறு	Danube
டார் எஸ் சலாம்	Dar es Salaam
டார்வின் (ஆஸ்திரேலியா)	Darwin
டார்வின்	Darwin
மூலதனம் (நூல்)	Das Kapital
தரவு	Data
தரவுத்தளம்	Database
நாள்	Day
சாக் கடல்	Dead Sea
பத்தாண்டு	Decade
டிசம்பர்	December
டிசம்பர் 31	December 31
டிசம்பர் 8	December 8
மான்	Deer
வரைவிலக்கணம்	Definition
பாகை (அலகு)	Degree (angle)
டெலவெயர்	Delaware
தில்லி	Delhi
ஊழிவெள்ளம்	Deluge (mythology)
டெமட்டர்	Demeter
மக்களாட்சி	Democracy
மக்களாட்சிக் கட்சி (ஐக்கிய அமெரிக்கா)	Democratic Party (United States)
காங்கோ மக்களாட்சிக் குடியரசு	Democratic Republic of the Congo
டெங்கு காய்ச்சல்	Dengue fever
டென்மார்க்	Denmark
பகுப்பு:டென்மார்க்	Denmark
டென்வர்	Denver
டி மொயின்	Des Moines
பாலைவனம்	Desert
பகுப்பு:பாலைவனங்கள்	Deserts
வடிவமைப்பு	Design
டிட்ராயிட்	Detroit
டாக்கா	Dhaka
தௌளகிரி	Dhaulagiri
நீரிழிவு நோய்	Diabetes mellitus
விட்டம்	Diameter
வைரம்	Diamond
டயானா	Diana
அகராதி	Dictionary
வகையீட்டுச் சமன்பாடு	Differential equation
டிங்கோ நாய்	Dingo
தொன்மா	Dinosaur
இருமுனையம்	Diode
நேர் மின்னோட்டம்	Direct current
நோய்	Disease
வடித்திறக்கல்	Distillation
விரிதல் (திசையன் நுண்கணிதம்)	Divergence
வகுத்தல் (கணிதம்)	Division (mathematics)
டிவிசன்	Division (military)
திமீத்ரி மென்டெலீவ்	Dmitri Mendeleev
பன்னிரண்டுமுக ஐங்கோணகம்	Dodecahedron
டோடோ	Dodo
நாய்	Dog
கல்திட்டை	Dolmen
குவிமாடம்	Dome
டொமினிக்கா	Dominica
டொமினிக்கன் குடியரசு	Dominican Republic
கழுதை	Donkey
கதவு	Door
டோரிக் ஒழுங்கு	Doric order
டோரிஸ் லெஸ்சிங்	Doris Lessing
டோவர்	Dover
துபாய்	Dubai
டப்லின்	Dublin
டியுக் பல்கலைக்கழகம்	Duke University
டர்பன்	Durban
டுவைட் டி. ஐசனாவர்	Dwight D. Eisenhower
இயக்க விசையியல்	Dynamics (physics)
டிஸ்ப்ரோசியம்	Dysprosium
E (கணித மாறிலி)	E (mathematical constant)
மின்னஞ்சல்	E-mail
பூமி	Earth
நிலநடுக்கம்	Earthquake
கிழக்கு	East
கிழக்கு ஆபிரிக்கா	East Africa
கிழக்கு சீனக்கடல்	East China Sea
ஜெர்மன் சனநாயகக் குடியரசு	East Germany
கிழக்குத் திமோர்	East Timor
உயிர்த்த ஞாயிறு	Easter
கிழக்கு மரபுவழி திருச்சபை	Eastern Orthodox Church
வட்டவிலகல்	Eccentricity (mathematics)
பொருளியல்	Economics
சூழ்நிலைமண்டலம்	Ecosystem
எக்குவடோர்	Ecuador
எட்மன்டன்	Edmonton
எட்மண்ட் ஹில்லரி	Edmund Hillary
எடுவர்டு பூக்னர்	Eduard Buchner
எட்வர்ட் மண்ச்'	Edvard Munch
எட்வர்ட் ஜென்னர்	Edward Jenner
எட்வர்ட் டெல்லர்	Edward Teller
எட்வின் ஹபிள்	Edwin Hubble
முட்டை	Egg (biology)
கத்தரி	Eggplant
எகிப்து	Egypt
பகுப்பு:எகிப்து	Egypt
ஈபெல் கோபுரம்	Eiffel Tower
விந்து தள்ளல்	Ejaculation
எல் சல்வடோர்	El Salvador
மின்மம்	Electric charge
மின்புலம்	Electric field
மின்சாரம்	Electricity
மின்வேதியியல்	Electrochemistry
மின்காந்த அலைகள்	Electromagnetic radiation
மின்காந்த நிழற்பட்டை	Electromagnetic spectrum
மின்காந்தவியல்	Electromagnetism
எதிர்மின்னி	Electron
இலத்திரன் நுண்நோக்கி	Electron microscope
இலத்திரனியல்	Electronics
யானை	Elephant
உயர்த்தி	Elevator
நீள்வட்டம்	Ellipse
உணர்ச்சி	Emotion
எம்பயர் ஸ்டேட் கட்டிடம்	Empire State Building
அனுபவவாதம்	Empiricism
கலைக்களஞ்சியம்	Encyclopedia
அகச்சுரப்பித் தொகுதி	Endocrine system
ஆற்றல்	Energy
பகுப்பு:ஆற்றல்	Energy
ஆற்றல்	Energy (society)
பொறியியல்	Engineering
பகுப்பு:பொறியியல்	Engineering
இங்கிலாந்து	England
ஆங்கிலக் கால்வாய்	English Channel
ஆங்கிலம்	English language
என்ரிக்கோ பெர்மி	Enrico Fermi
நொதியம்	Enzyme
நோய்ப் பரவல் இயல்	Epidemiology
அறிவாய்வியல்	Epistemology
உரோமருக்கு எழுதிய நிருபம்	Epistle to the Romans
சமன்பாடு	Equation
நிலநடுக் கோடு	Equator
எக்குவடோரியல் கினி	Equatorial Guinea
குதிரைப் பேரினம்	Equidae
ஏரிஸ் (குறுங்கோள்)	Eris (dwarf planet)
ஏர்னெஸ்ட் ஹெமிங்வே	Ernest Hemingway
எர்ணஸ்ட் ரதர்ஃவோர்டு	Ernest Rutherford
மண்ணரிப்பு	Erosion
விடுபடு திசைவேகம்	Escape velocity
யெஸ்ப்பூ	Espoo
கட்டுரை	Essay
எத்தேன்	Ethane
எத்தனால்	Ethanol
ஈதர்நெட்	Ethernet
எதியோப்பியா	Ethiopia
சொற்பிறப்பியல்	Etymology
யூக்ளிட்	Euclid
யூரேசியா	Eurasia
ஐரோ	Euro
ஐரோப்பா	Europe
பகுப்பு:ஐரோப்பா	Europe
ஐரோப்பிய ஒன்றியம்	European Union
பகுப்பு:ஐரோப்பிய ஒன்றியம்	European Union
யூரோப்பியம்	Europium
இனஅழிவு	Extinction
கண்	Eye
முகம்	Face
ஃபேரென்ஹைட்	Fahrenheit
கழுகு வரிசை	Falconiformes
போக்லாந்து தீவுகள்	Falkland Islands
பாலோப்பியன் குழாய்	Fallopian tube
பாசிசம்	Fascism
ஒய்யாரம்	Fashion
நோன்பு	Fasting
இறகு	Feather
பெப்ரவரி	February
பெப்ரவரி 12	February 12
பெப்ரவரி 14	February 14
பெப்ரவரி 2	February 2
பெப்ரவரி 22	February 22
பெப்ரவரி 29	February 29
மலம்	Feces
மைக்குரேனேசிய கூட்டாட்சி நாடுகள்	Federated States of Micronesia
கூட்டாட்சி	Federation
பெடோரா	Fedora (Linux distribution)
பூனைப் பேரினம்	Felidae
பெண்ணியம்	Feminism
பெங் சுயி	Feng shui
பெர்டினென்ட் மகலன்	Ferdinand Magellan
பன்னம்	Fern
உரம்	Fertilizer
நிலபிரபுத்துவம்	Feudalism
காய்ச்சல்	Fever
ஃபிபனாச்சி எண்கள்	Fibonacci number
பிடல் காஸ்ட்ரோ	Fidel Castro
பிஜி	Fiji
திரைப்படம்	Film
பின்லாந்து	Finland
பகுப்பு:பின்லாந்து	Finland
நெருப்பு	Fire
கொரிந்தியருக்கு எழுதிய முதலாவது நிருபம்	First Epistle to the Corinthians
முதல் உதவி	First aid
தாய்மொழி	First language
மீன்	Fish
பகுப்பு:மீன்கள்	Fish
கொடி	Flag
புளோரன்ஸ் நைட்டிங்கேல்	Florence Nightingale
புளோரிடா	Florida
மலர்	Flower
பூக்கும் தாவரம்	Flowering plant
பாய்ம இயக்கவியல்	Fluid mechanics
நாட்டார் பாடல்	Folklore
உணவு	Food
ஐக்கிய நாடுகளின் உணவு மற்றும் வேளாண்மை அமைப்பு	Food and Agriculture Organization
உணவுச் சங்கிலி	Food chain
அடி	Foot (unit of length)
காற்பந்தாட்டம்	Football (soccer)
விசை	Force
காடு	Forest
கோட்டை	Fortification
தொல்லுயிர் எச்சம்	Fossil
புதைபடிவ எரிபொருள்	Fossil fuel
நீர்த்தாரைகள்	Fountain
நரி	Fox
பகுவல்	Fractal
பிரான்ஸ்	France
பகுப்பு:பிரான்ஸ்	France
பிரான்சிஸ் கிரிக்	Francis Crick
பிராங்க் லாய்டு ரைட்	Frank Lloyd Wright
பிராங்போர்ட் (கென்டக்கி)	Frankfort
ஃபிராங்க்ஃபுர்ட்	Frankfurt
ஃபிரெடெரிக்டன்	Fredericton
கருத்து வெளிப்பாட்டுச் சுதந்திரம்	Freedom of speech
விடுதலைக் கட்டுநர் (இரகசிய சமூகம்)	Freemasonry
பிரெஞ்சு பொலினீசியா	French Polynesia
பிரெஞ்சுப் புரட்சி	French Revolution
அதிர்வெண்	Frequency
நன்னீர்	Freshwater
உராய்வு	Friction
பிரெட்ரிக் ஏங்கல்ஸ்	Friedrich Engels
பழம்	Fruit
எரிபொருள்	Fuel
பூரணை	Full moon
சார்பு	Function (mathematics)
அடிப்படை விசைகள்	Fundamental interaction
பூஞ்சைகள்	Fungus
இடைநிலை தருக்கம்	Fuzzy logic
குநோம்	GNOME
காபோன்	Gabon
கடோலினியம்	Gadolinium
நாள்மீன்பேரடை	Galaxy
கலீலியோ கலிலி	Galileo Galilei
காலியம்	Gallium
காம்மா கதிர்	Gamma ray
விநாயகர்	Ganesha
கங்கை ஆறு	Ganges
தோட்டக்கலை	Gardening
வளிமம்	Gas
செரித்தல்	Gastrointestinal tract
கௌதம புத்தர்	Gautama Buddha
காசா கரை	Gaza Strip
பற்சக்கரம்	Gear
மரபணு	Gene
ஆதியாகமம்	Genesis
மரபியல்	Genetics
பேரினம் (உயிரியல்)	Genus
புவியியல்	Geography
பகுப்பு:புவியியல்	Geography
நிலவியல்	Geology
வடிவவியல்	Geometry
