Yiddish	English
ביבליאגראפיע	Bibliography
ביציקל	Bicycle
ביג בענג	Big Bang
ביקיני	Bikini
ביל קלינטאן	Bill Clinton
ביל גייטס	Bill Gates
ביאכעמיע	Biochemistry
ביאגראפיע	Biography
ביאלאגיע	Biology
קאַטעגאָריע:ביאלאגיע	Biology
פויגל	Bird
בייסעקסואלוטעט	Bisexuality
בישקעק	Bishkek
ביט	Bit
שווארץ	Black
שווארצער ים	Black Sea
שווארצע לאך	Black hole
שווארצע פעפער	Black pepper
בלינדקייט	Blindness
בלאג	Blog
בלוט	Blood
בלוט דרוק	Blood pressure
אדערן	Blood vessel
בלוי	Blue
בעהמען	Bohemia
באמבע	Bomb
מארך ביין	Bone marrow
באן, דייטשלאנד	Bonn
ספר	Book
מגילת אסתר	Book of Esther
ספר יהושע	Book of Joshua
ספר שופטים	Book of Judges
במדבר	Book of Numbers
מגילת רות	Book of Ruth
באסטאן	Boston
באטאנישער גארטן	Botanical garden
באטאניק	Botany
קאַטעגאָריע:באטאניק	Botany
מוח	Brain
בראטיסלאווא	Bratislava
בראזיל	Brazil
קאַטעגאָריע:בראזיל	Brazil
ברויט	Bread
בריסק	Brest
קאַטעגאָריע:בריקן	Bridges
בריטיש קאלאמביע	British Columbia
בריטישע אימפעריע	British Empire
בראנזע	Bronze
ברוקלין	Brooklyn
ברוקלין בריק	Brooklyn Bridge
בריסל	Brussels
בוקארעשט	Bucharest
בודאפעסט	Budapest
בודהיזם	Buddhism
בוענאס איירעס	Buenos Aires
בולגאריע	Bulgaria
קאַטעגאָריע:בולגאריע	Bulgaria
בוס	Bus
ביזנעס	Business
C	C
C (פראגראם שפראך)	C (programming language)
קאקטוס	Cactus
קאפין	Caffeine
קוכן	Cake
קאלענדאר	Calendar
קאליפארניע	California
קאלערי	Calorie
זשאן קעלווין קולידזש	Calvin Coolidge
קאמעמבערט	Camembert (cheese)
קאמערא	Camera
קאמערון	Cameroon
קאַטעגאָריע:קאמערון	Cameroon
קאנאדע	Canada
קאַטעגאָריע:קאנאדע	Canada
קאנבערא	Canberra
קענסער	Cancer
קאניבאליזם	Cannibalism
הויפטשטאט	Capital
קאפיטאליזם	Capitalism
קוילנשטאף	Carbon
קוילן זייערס	Carbon dioxide
קארל מאריע פאן וועבער	Carl Maria von Weber
קארל פאן לינע	Carolus Linnaeus
קאסינא	Casino
קאטאליציזם	Catholicism
אקס	Cattle
הייל	Cave
סעלערי	Celery
צעל	Cell (biology)
בית החיים	Cemetery
צענזוס	Census
סי. איי. עי.	Central Intelligence Agency
פראצעסאר	Central processing unit
שטול	Chair
קארל דער גרויסער	Charlemagne
טשארלס דארווין	Charles Darwin
טשארלי טשאפלין	Charlie Chaplin
קעז	Cheese
כעמישער בונד	Chemical bond
כעמישער עלעמענט	Chemical element
כעמיע	Chemistry
קאַטעגאָריע:כעמיע	Chemistry
טשערנאבל	Chernobyl
שאך (שפיל)	Chess
טשעסטער עלען ארטור	Chester A. Arthur
האן	Chicken
קינד	Child
געבורט	Childbirth
טשילע	Chile
קאַטעגאָריע:טשילע	Chile
שאקאלאד	Chocolate
קריסטנטום	Christianity
קאַטעגאָריע:קריסטנטום	Christianity
קריסטאפער קאלאמבוס	Christopher Columbus
כראמאזאם	Chromosome
קלויסטער	Church (building)
פאפיראס	Cigarette
צימערינג	Cinnamon
בלוט צירקולאציע	Circulatory system
בירגערשאפט	Citizenship
שטאטס שטאַט	City-state
בירגער קריג	Civil war
ציוויליזאציע	Civilization
קלאסישע מוזיק	Classical music
קאַטעגאָריע:קלאסישע מוזיק	Classical music
קליוולאנד	Cleveland
קלימאטאלאגיע	Climatology
קאַטעגאָריע:קלימאטאלאגיע	Climatology
קלינישע דעפרעסיע	Clinical depression
זייגער	Clock
קאַטעגאָריע:קליידונג	Clothing
קליידונג	Clothing
וואלקן	Cloud
נעגעלע	Clove
ברעג ים	Coast
קאקעין	Cocaine
קאקאס	Coconut
קאווע	Coffee
קאלטער קריג	Cold War
קעלן	Cologne
קאלאמביע	Colombia
קאליר	Color
קאלאראדא	Colorado
קאלעסיאום	Colosseum
קאלומביע אוניווערסיטעט	Columbia University
קאמעדיע	Comedy
קאמעט	Comet
פייג	Common Fig
ראטן פארבאנד לענדער	Commonwealth of Independent States
קאַטעגאָריע:קאמוניקאציע	Communication
קאמוניקאציע	Communication
קאמוניזם	Communism
סידי	Compact Disc
קאמפאס	Compass
קאנקורענט	Competition
קאמפיילער	Compiler
קאמפאזיטאר	Composer
צוזאמענגעזעצטע צאל	Composite number
קאמפיוטער	Computer
עקראן	Computer display
קאמפיוטער טעקע	Computer file
קאַטעגאָריע:הארטווארג	Computer hardware
קאמפיוטער פראגראם	Computer program
קאמפיוטער פראגראמירונג	Computer programming
קאַטעגאָריע:קאמפיוטער פראגראמירונג	Computer programming
ווייכווארג	Computer software
קאמפיוטער ווירוס	Computer virus
קאנדאקטער	Conducting
געפעכט	Conflict
קאנעטיקעט	Connecticut
קאַטעגאָריע:קאנעטיקעט	Connecticut
קאנסענסוס	Consensus
קאנסערוואטיזם	Conservatism
קאנסטיטוציע	Constitution (political)
קאנטינענט	Continent
קאפנהאגן	Copenhagen
קופער	Copper
קאפירעכט	Copyright
קארניע	Cornea
קארפארעישאן	Corporation
קאסמאלאגיע	Cosmology
קאַטעגאָריע:קאסמאלאגיע	Cosmology
לאנד	Country
געריכט	Court
פארברעכן	Crime
קראאטיע	Croatia
קאַטעגאָריע:קראאטיע	Croatia
קריסטאל	Crystal
קובא	Cuba
קאַטעגאָריע:קובא	Cuba
אוגערקע	Cucumber
קולטור	Culture
קאַטעגאָריע:קולטור	Culture
קוריטיבא	Curitiba
קאַטעגאָריע:געלט	Currency
וואלוטע	Currency
כורש	Cyrus the Great
טשעכיי	Czech Republic
קאַטעגאָריע:טשעכיי	Czech Republic
טשעכאסלאוואקיי	Czechoslovakia
די ען איי	DNA
דאם	Dam
טאנץ	Dance
קאַטעגאָריע:טאנץ	Dance
דארדאנעלן	Dardanelles
דארפור	Darfur
טײטלבױם	Date Palm
דאטיוו	Dative case
דוד המלך	David
טאג	Day
ים המלח	Dead Sea
טויט	Death
קאַטעגאָריע:טויט	Death
דעצעמבער	December
דעצימאל	Decimal
דעפיניציע	Definition
גראד	Degree (angle)
דעלעווער	Delaware
דעלפי	Delphi
מבול וואסער	Deluge (mythology)
דעמאקראטיע	Democracy
דעמאקראטישע פארטיי	Democratic Party (United States)
דעמאגראפיע	Demography
קאַטעגאָריע:דעמאגראפיע	Demography
דענמארק	Denmark
קאַטעגאָריע:דענמארק	Denmark
מדבר	Desert
קאַטעגאָריע:מדבריות	Deserts
דעטרויט	Detroit
ספר דברים	Deuteronomy
דיעביטיס	Diabetes mellitus
אקצענט	Dialect
בריליאנט	Diamond
גלות	Diaspora
ווערטערבוך	Dictionary
פארדייאונג	Digestion
קאַטעגאָריע:פארדייאונג סיסטעם	Digestive system
דימענסיע	Dimension
דיינעסאר	Dinosaur
קאַטעגאָריע:באדייטן	Disambiguation
דידזשיי	Disc jockey
דיסקרימינאציע	Discrimination
קראנקייט	Disease
ווייטקייט	Distance
גט	Divorce
הונט	Dog
דאלאר	Dollar
דעלפין	Dolphin
דאמיניקאנישע רעפובליק	Dominican Republic
דראמא	Drama
חלום	Dream
דרעזדן	Dresden
דובלין	Dublin
דושאנבע	Dushanbe
דווייט דעיוויד אייזנהאוער	Dwight D. Eisenhower
דינאמיק	Dynamics (physics)
בליצפאסט	E-mail
אדלער	Eagle
אויער	Ear
ערד-פלאנעט	Earth
קאַטעגאָריע:ערד	Earth
ערד וויסנשאפט	Earth science
ערדציטערניש	Earthquake
מיזרח	East
קוהלת	Ecclesiastes
ווירטשאפט	Economics
קאַטעגאָריע:עקאנאמיקס	Economics
עקאנאמיע	Economy
עקוואדאר	Ecuador
עדמונד הילארי	Edmund Hillary
חינוך	Education
קאַטעגאָריע:חינוך	Education
מצרים	Egypt
קאַטעגאָריע:עגיפטן	Egypt
אייפעל טאוער	Eiffel Tower
וואלן	Election
עלעקטריציטעט	Electricity
קאַטעגאָריע:עלעקטריק	Electricity
עלעקטראניק	Electronics
קאַטעגאָריע:עלעקטראניק	Electronics
העלפאנד	Elephant
עלעוועיטאר	Elevator
אליהו הנביא	Elijah
עליזעבעט טעילער	Elizabeth Taylor
עלוויס פרעסלי	Elvis Presley
געפיל	Emotion
קאַטעגאָריע:געפילן	Emotion
עמפייער סטעיט בילדינג	Empire State Building
ענציקלאפעדיע	Encyclopedia
ענערגיע	Energy
ענערגיע	Energy (society)
מאטאר	Engine
אינזשעניריע	Engineering
קאַטעגאָריע:אינזשעניריע	Engineering
ענגלאנד	England
קאַטעגאָריע:ענגלאנד	England
ענגליש	English language
קאַטעגאָריע:פארוויילונג	Entertainment
קאַטעגאָריע:ענטאמאלאגיע	Entomology
ענזיים	Enzyme
גלייכונג	Equation
ערעקטייל דיספאנקשען	Erectile dysfunction
ערעקשאן	Erection
וושט	Esophagus
עספעראנטא	Esperanto
מידות	Ethics
קאַטעגאָריע:מידות	Ethics
עטיאפיע	Ethiopia
קאַטעגאָריע:עטיאפיע	Ethiopia
עטנישע גרופע	Ethnic group
אוקלידוס	Euclid
יורא	Euro
אייראפע	Europe
קאַטעגאָריע:אייראפע	Europe
אייראפעאישער פארבאנד	European Union
קאַטעגאָריע:אייראפעישער פארבאנד	European Union
עוועלאציע	Evolution
עקסטשעינדזש ראטעס	Exchange rate
ספר שמות	Exodus
מדריגה (מאטעמאטיק)	Exponentiation
אויג	Eye
קאַטעגאָריע:אויג	Eye
קטניות	Fabaceae
משל	Fable
געזיכט	Face
פארענהייט	Fahrenheit
קאַטעגאָריע:משפחה	Family
ייחוס	Family history
פאנטאזיע	Fantasy
פאשיזם	Fascism
קאַטעגאָריע:מאדע	Fashion
מאדע	Fashion
פאטאך	Fatah
שרעק	Fear
פעברואר	February
צואה	Feces
FBI	Federal Bureau of Investigation
פעדעראלע רעזערוו	Federal Reserve System
באקסהארן	Fenugreek
פיווער	Fever
פידעל קאסטרא	Fidel Castro
קאַטעגאָריע:פילם	Film
פילם	Film
קאַטעגאָריע:פינאנץ	Finance
פינאנץ	Finance
פינלאנד	Finland
פייער	Fire
פייערלעשער	Firefighter
פיש	Fish
קאַטעגאָריע:פיש	Fish
פאן	Flag
פלארידע	Florida
מעהל	Flour
בלום	Flower
עסנווארג	Food
פוס	Foot
פוטבאל	Football (soccer)
קאַטעגאָריע:פוסבאל	Football (soccer)
קאַטעגאָריע:פוסבאלערס	Football (soccer) players
קראפט	Force
וואלד	Forest
פאסיל	Fossil
בראכטייל	Fraction (mathematics)
פראנקרייך	France
קאַטעגאָריע:פראנקרייך	France
פראנקפורט	Frankfurt
פראנקפורט אן דער אדער	Frankfurt (Oder)
פרענקלין פירס	Franklin Pierce
פראנז שובערט	Franz Schubert
בחירה	Free will
פריי	Freedom (philosophy)
פרייהייט פון ווארט	Freedom of speech
פראנצויזישע רעוואלוציע	French Revolution
פרייטיק	Friday
זשאבע	Frog
פרוכט	Fruit
קאַטעגאָריע:פרוכט	Fruit
פונקציע	Function (mathematics)
קאַטעגאָריע:הויפט קאטעגאריעס	Fundamental
פאנדעמענטאליזם	Fundamentalism
קאַטעגאָריע:פאנגי	Fungi
פאנגוס	Fungus
קאַטעגאָריע:מעבל	Furniture
GNU	GNU
גאבאן	Gabon
קאַטעגאָריע:גאבאן	Gabon
גאליציע	Galicia (Central Europe)
גאלילעא גאליליי	Galileo Galilei
גאמאל אבדול נאסער	Gamal Abdel Nasser
געמבלינג	Gambling
גארטן	Garden
גארטענונג	Gardening
קנאבל	Garlic
גאז	Gas
גאזאלין	Gasoline
פארדייאונג סיסטעם	Gastrointestinal tract
עזה	Gaza
עזה פאס	Gaza Strip
גען	Gene
ייחוס	Genealogy
אלגעמיינע רעלאטיוויטעט	General relativity
ספר בראשית	Genesis
מין (ביאלאגיע)	Genus
געאגראפיע	Geography
קאַטעגאָריע:געאגראפיע	Geography
קאַטעגאָריע:געאלאגיע	Geology
געאלאגיע	Geology
געאמעטריע	Geometry
קאַטעגאָריע:געאמעטריע	Geometry
דזשארדזש וואקער בוש	George W. Bush
דזשארזש וואשינגטאן	George Washington
דזשארזשיע (שטאט)	Georgia (U.S. state)
גרוזיע	Georgia (country)
דזשעראלד פארד	Gerald Ford
דייטשיש	German language
דייטשלאנד	Germany
קאַטעגאָריע:דייטשלאנד	Germany
געשטאפא	Gestapo
געטא	Ghetto
זשיראף	Giraffe
גלעטשער	Glacier
גלענד	Gland
גלאז	Glass
ברילן	Glasses
GPS	Global Positioning System
גלאבאלע אנווארימונג	Global warming
גלאבאליזאציע	Globalization
ציג	Goat
גאט	God
רמת הגולן	Golan Heights
גאלד	Gold
גאלף	Golf
גוגעל	Google
קאַטעגאָריע:גוגעל	Google
גוגאל	Googol
רעגירונג	Government
גראם (מאס)	Gram
גראמאטיק	Grammar
קאַטעגאָריע:גראמאטיק	Grammar
וויינטרויבן	Grape
גראוויטאציע	Gravitation
גרויסבריטאניע	Great Britain
וועלט ווירטשאפט קריזיס	Great Depression
כינעזער וואנט	Great Wall of China
גרעסטער געמיינזאמער טיילער	Greatest common divisor
גריכנלאנד	Greece
קאַטעגאָריע:גריכנלאנד	Greece
גריכישער אלפאבעט	Greek alphabet
גריכישע מיטאלאגיע	Greek mythology
קאַטעגאָריע:גריכישע מיטאלאגיע	Greek mythology
גרין	Green
גרעגאריאנישער קאלענדאר	Gregorian calendar
סטיווען גראווער קליוולאנד	Grover Cleveland
גאלף פון אקאבא	Gulf of Aqaba
שיספולווער	Gunpowder
HTML	HTML
העקער	Hacker
חיפה	Haifa
האיטי	Haiti
כאמאס	Hamas
האמבורג	Hamburg
האמער	Hammer
האמסטער	Hamster
האנט	Hand
האנט גראנאט	Hand grenade
הענגען	Hanging
חנוכה	Hanukkah
פרייליכקייט	Happiness
הארטקייט	Hardness
האס	Hatred
האוואי	Hawaii
קאפ	Head
געזונטהייט	Health
קאַטעגאָריע:געזונטהייט	Health
הארץ	Heart
היץ	Heat
אלף בית	Hebrew alphabet
אידישער קאלענדאר	Hebrew calendar
היינריך הימלער	Heinrich Himmler
העלענע	Helen
העלסינקי	Helsinki
הענריק איבסן	Henrik Ibsen
הענרי פארד	Henry Ford
הערבערט קלארק האווער	Herbert Hoover
הורדוס	Herod the Great
העטראסעקסואליטעט	Heterosexuality
העקס	Hexadecimal
כעזבאלא	Hezbollah
הינדואיזם	Hinduism
היספאניאלא	Hispaniola
היסטאריע	History
קאַטעגאָריע:היסטאריע	History
האליוואד	Hollywood
האמאסעקסואלוטעט	Homosexuality
האניג	Honey
נארגילע	Hookah
הארמאן	Hormone
פערד	Horse
מוכמאד כוסעיני מובאראק	Hosni Mubarak
שפיטאל	Hospital
האטעל	Hotel
הויז	House
מענטש	Human
קאַטעגאָריע:גייסט וויסנשאפט	Humanities
קאַטעגאָריע:הומאר	Humor
הומאר	Humour
אונגארן	Hungary
היידרא-קראפט	Hydroelectricity
הידראגען	Hydrogen
קאַטעגאָריע:ריינקייט	Hygiene
היפנאזיע	Hypnosis
IPod	IPod
אייז	Ice
אייז קריעם	Ice cream
אייזבארג	Iceberg
איסלאנד	Iceland
קאַטעגאָריע:איסלאנד	Iceland
איידעהא	Idaho
נאטוראלע עלעמענט	Identity element
אידעאלאגיע	Ideology
אילינויס	Illinois
אימיון סיסטעם	Immune system
גילוי עריות	Incest
אינדיע	India
קאַטעגאָריע:אינדיע	India
אינדיאנא	Indiana
אינדאנעזיע	Indonesia
אינדוסטריע	Industry
קאַטעגאָריע:אינדוסטריע	Industry
אומגלייכהייט	Inequality
פוס מיליטער	Infantry
שם פועל	Infinitive
אנצינדונג	Inflammation
אינפלאציע	Inflation
פלו	Influenza
אינפארמאציע	Information
אינסעקט	Insect
אינסולין	Insulin
אינשורענס	Insurance
גאנצע צאל	Integer
אינטעלעקט	Intelligence
איי-קיו	Intelligence quotient
קו התאריך	International Date Line
אינטערנעט	Internet
קאַטעגאָריע:אינטערנעט	Internet
אינטערנעט עקספלארער	Internet Explorer
קאנצענטראציע לאגער	Internment
געדערעם	Intestine
אייאויווע	Iowa
איראן	Iran
קאַטעגאָריע:איראן	Iran
איראק	Iraq
קאַטעגאָריע:איראק	Iraq
אירלאנד (אינזל)	Ireland
קאַטעגאָריע:אירלאנד	Ireland
אייזן	Iron
אייזערנעם פארהאנג	Iron Curtain
יצחק אבינו	Isaac
אייזיק אסימאוו	Isaac Asimov
יצחק באשעוויס זינגער	Isaac Bashevis Singer
אייזיק ניוטאן	Isaac Newton
איסלאם	Islam
קאַטעגאָריע:איסלאם	Islam
אינזל	Island
ישראל	Israel
קאַטעגאָריע:ישראל	Israel
איסטאנבול	Istanbul
איטאליע	Italy
קאַטעגאָריע:איטאליע	Italy
יעקב אבינו	Jacob
זשעימס עברעם גארפיעלד	James A. Garfield
זשעימס ביוקענען	James Buchanan
זשעימס נאקס פאלק	James K. Polk
זשעימס מעדיסאן	James Madison
זשעימס מאנראו	James Monroe
יאנואר	January
19 יאנואר	January 19
20 יאנואר	January 20
יאפאן	Japan
ירושלים	Jerusalem
קאַטעגאָריע:ירושלים	Jerusalem
יוזל	Jesus
איד	Jew
זשימי קארטער	Jimmy Carter
יאהאן גאטענבערג	Johannes Gutenberg
זשאן עדעמס	John Adams
זשאן קווינסי עדעמס	John Quincy Adams
דזשאן טעילאר	John Tyler
געלענק	Joint
ירדן	Jordan
ירדן טייך	Jordan River
כארכע לויס בארכעס	Jorge Luis Borges
דזשאזעף גאבעלס	Joseph Goebbels
יאזעף היידן	Joseph Haydn
זשאזעף סטאלין	Joseph Stalin
קאַטעגאָריע:זשורנאליזם	Journalism
זשורנאליזם	Journalism
זשורנאליסט	Journalist
אידישקייט	Judaism
קאַטעגאָריע:אידישקייט	Judaism
ארץ יהודה	Judea
יולי	July
יוני	June
יופיטער	Jupiter
קעי.דזשי.בי.	KGB
קבלה	Kabbalah
קענגערו	Kangaroo
קענזעס	Kansas
קאראטע	Karate
קארל מארקס	Karl Marx
קאזאקסטאן	Kazakhstan
קאַטעגאָריע:קאזאקסטאן	Kazakhstan
קענטאקי	Kentucky
קלאוויאטור	Keyboard (computing)
קיבוץ	Kibbutz
ניער	Kidney
קיעוו	Kiev
קילאגראם	Kilogram
קינעמאטיק	Kinematics
קוש	Kiss
קיווי	Kiwi
כנסת	Knesset
וויסן	Knowledge
קארעע	Korea
קו קלוקס קלען	Ku Klux Klan
קירגיזסטאן	Kyrgyzstan
לאגאס	Lagos
אזערע	Lake
שפראך	Language
שויס קאמפיוטער	Laptop
שטימע קעסטל	Larynx
לאס וועגאס	Las Vegas
לאטיין	Latin
לעטלאנד	Latvia
לאכן	Laughter
געזעץ	Law
קאַטעגאָריע:געזעץ	Law
אדוואקאט	Lawyer
בליי	Lead
לערנען	Learning
לבנון	Lebanon
קאַטעגאָריע:לבנון	Lebanon
לידז	Leeds
לעגענדע	Legend
לענג	Length
לינזן	Lentil
לייב טראצקי	Leon Trotsky
לעסביען	Lesbian
אות	Letter (alphabet)
לאקימיע	Leukemia
ספר ויקרא	Leviticus
ליבעראליזם	Liberalism
ביבליאטעק	Library
ליביע	Libya
ליגנט	Lie
ליכטנשטיין	Liechtenstein
לעבן	Life
קאַטעגאָריע:לעבן	Life
ליכטיגקייט	Light
ליכט יאר	Light-year
בליץ	Lightning
שטריך	Line (mathematics)
ליניארע אלגעברע	Linear algebra
לינגוויסטיק	Linguistics
קאַטעגאָריע:לינגוויסטיק	Linguistics
לינוקס	Linux
לייב	Lion
ליסבאן	Lisbon
ליטעראט	Literacy
ליטעראטור	Literature
קאַטעגאָריע:ליטעראטור	Literature
פארטאל:ליטעראטור	Literature
ליטיום	Lithium
ליטע	Lithuania
לאקאלער נעצווערק	Local area network
לאגיק	Logic
קאַטעגאָריע:לאגיק	Logic
לאנדאן	London
קאַטעגאָריע:לאנדאן	London
לאס אנזשעלעס	Los Angeles
לואיזיענא	Louisiana
ליבע	Love
לודוויג וואן בעטהאווען	Ludwig van Beethoven
לונג	Lung
לונגען קענסער	Lung cancer
לוקסעמבורג	Luxembourg
קאַטעגאָריע:לוקסעמבורג	Luxembourg
לימפעטיק סיסטעם	Lymphatic system
MS-DOS	MS-DOS
מאקבעט	Macbeth
מעדאנע	Madonna (entertainer)
מאדריד	Madrid
מאפיא	Mafia
מאגאזינע	Magazine
מאגנעט	Magnet
שפאקטיוו	Magnifying glass
רמב"ם	Maimonides
מעין	Maine
מאמאל	Mammal
אנפירען	Management
מאנטשעסטער	Manchester
מאנגראווע	Mangrove
מאנהעטן	Manhattan
מאפע	Map
מארק שאגאל	Marc Chagall
מערץ	March
מארגארעט טאטשער	Margaret Thatcher
מארלין מאנרא	Marilyn Monroe
מארקעטינג	Marketing
מארלין דיטריך	Marlene Dietrich
אישית	Marriage
מארטין לוטער קינג	Martin Luther King
מארטין וואן ביורען	Martin Van Buren
מארקס די ברידער	Marx Brothers
מארקסיזם	Marxism
