Bulgarian	English
Ацеталдехид	Acetaldehyde
Оцетна киселина	Acetic acid
Ацетилен	Acetylene
Ахерон	Acheron
Бял равнец	Achillea millefolium
Ахил	Achilles
Киселина	Acid
Акне	Acne vulgaris
Аконкагуа	Aconcagua
Акустика	Acoustics
Категория:Акустика	Acoustics
Акър	Acre
Акра (Израел)	Acre
Акри	Acre (state)
Акропол	Acropolis
Актьор	Actor
Акупунктура	Acupuncture
Ada	Ada (programming language)
Адам	Adam
Адам Смит	Adam Smith
Адана	Adana
Пристрастяване	Addiction
Адис Абеба	Addis Ababa
Аделаида	Adelaide
Аденин	Adenine
Аденозинтрифосфат	Adenosine triphosphate
Адиабатен процес	Adiabatic process
Прилагателно име	Adjective
Адмирал	Admiral
Юношество	Adolescence
Адолф Айхман	Adolf Eichmann
Адолф Хитлер	Adolf Hitler
Адонис	Adonis
Осиновяване	Adoption
Надбъбречна жлеза	Adrenal gland
Адриатическо море	Adriatic Sea
Адсорбция	Adsorption
Наречие	Adverb
Реклама	Advertising
Егейско море	Aegean Sea
Еней	Aeneas
Енеида	Aeneid
Еол	Aeolus
Аеродинамика	Aerodynamics
Аерозол	Aerosol
Есхил	Aeschylus
Езоп	Aesop
Естетика	Aesthetics
Афганистан	Afghanistan
Категория:Афганистан	Afghanistan
Африка	Africa
Категория:Африка	Africa
Африкаанс	Afrikaans
Агамемнон	Agamemnon
Ахат	Agate
Агата Кристи	Agatha Christie
Агресия (психология)	Aggression
Агностицизъм	Agnosticism
Агорафобия	Agoraphobia
Агра (град Индия)	Agra
Земеделие	Agriculture
Категория:Земеделие	Agriculture
Агридженто	Agrigento
Айкидо	Aikido
Военновъздушни сили	Air force
Еърбъс	Airbus
Летателен апарат	Aircraft
Категория:Самолети	Aircraft
Авиокомпания	Airline
Летище	Airport
Аякс	Ajax
Аякс Теламонид	Ajax (mythology)
AJAX	Ajax (programming)
Ехнатон	Akhenaten
Акира Куросава	Akira Kurosawa
Ал Капоне	Al Capone
Ал Гор	Al Gore
Ал-Каида	Al-Qaeda
Алабама	Alabama
Категория:Алабама	Alabama
Алън Шепърд	Alan Shepard
Алън Тюринг	Alan Turing
Аляска	Alaska
Категория:Аляска	Alaska
Албания	Albania
Категория:Албания	Albania
Олбани	Albany
Албатрос	Albatross
Албедо	Albedo
Албърт Майкелсън	Albert Abraham Michelson
Албер Камю	Albert Camus
Алберт Айнщайн	Albert Einstein
Алберт Швайцер	Albert Schweitzer
Алберт Шпеер	Albert Speer
Алберта	Alberta
Албинизъм	Albinism
Албакърки	Albuquerque
Алхимия	Alchemy
Категория:Алхимия	Alchemy
Алкохол	Alcohol
Алкохолизъм	Alcoholism
Алдехид	Aldehyde
Олдъс Хъксли	Aldous Huxley
Александър Солженицин	Aleksandr Solzhenitsyn
Халеб	Aleppo
Алеутски острови	Aleutian Islands
Александър	Alexander
Александър Флеминг	Alexander Fleming
Александър Бел	Alexander Graham Bell
Александър Поуп	Alexander Pope
Александър Пушкин	Alexander Pushkin
Александър Македонски	Alexander the Great
Александър Дюма - баща	Alexandre Dumas
Александър Дюма син	Alexandre Dumas
Александрия	Alexandria
Алексис дьо Токвил	Alexis de Tocqueville
Алфред Хичкок	Alfred Hitchcock
Алфред Нобел	Alfred Nobel
Алфред Велики	Alfred the Great
Водорасли	Algae
Алгебра	Algebra
Категория:Алгебра	Algebra
Алгебрично число	Algebraic number
Алжир	Algeria
Категория:Алжир	Algeria
Алжир (град)	Algiers
Алгоритъм	Algorithm
Алхамбра	Alhambra
Али ибн Абу Талиб	Ali
Група 1А на периодичната система	Alkali metal
Алкалоид	Alkaloid
Алкан	Alkane
Алкен	Alkene
Алкин	Alkyne
Аллах	Allah
Алегория	Allegory
Алел	Allele
Алън Гинсбърг	Allen Ginsberg
Алергия	Allergy
Алитерация	Alliteration
Алозаври	Allosaurus
Алотропия	Allotropy
Сплав	Alloy
Алманах	Almanac
Алмати	Almaty
Бадем	Almond
Алое	Aloe
Алфа (буква)	Alpha (letter)
Алфа Центавър	Alpha Centauri
Азбука	Alphabet
Алпи	Alps
Категория:Алпи	Alps
Елзас	Alsace
Алтаир	Altair
Олтар	Altar
Алтай	Altay Mountains
Променлив ток	Alternating current
Категория:Алтернативна медицина	Alternative medicine
Алтернативна медицина	Alternative medicine
Алтруизъм	Altruism
Алуминий	Aluminium
Алвар Аалто	Alvar Aalto
Болест на Алцхаймер	Alzheimer's disease
Червена мухоморка	Amanita muscaria
Зелена мухоморка	Amanita phalloides
Кокичеви	Amaryllidaceae
Амазонка (река)	Amazon River
Посланик	Ambassador
Амелия Ерхарт	Amelia Earhart
Бизон	American Bison
Черна мечка	American Black Bear
Американска гражданска война	American Civil War
Американска война за независимост	American Revolutionary War
Американска Самоа	American Samoa
ASCII	American Standard Code for Information Interchange
Американски футбол	American football
Категория:Американски футбол	American football
Америго Веспучи	Amerigo Vespucci
Аметист	Amethyst
Амхарски език	Amharic
Амид	Amide
Аминокиселина	Amino acid
Амиши	Amish
Аман	Amman
Амперметър	Ammeter
Амоняк	Ammonia
Амнистия	Amnesty
Ампер	Ampere
Амфетамин	Amphetamine
Земноводни	Amphibian
Амфитеатър	Amphitheatre
Амплитуда	Amplitude
Амстердам	Amsterdam
Категория:Амстердам	Amsterdam
Амон	Amun
Анабаптизъм	Anabaptist
Анаграма	Anagram
Анахайм	Anaheim
Анален секс	Anal sex
Аналитична геометрия	Analytic geometry
Анархизъм	Anarchism
Категория:Анархизъм	Anarchism
Патицови	Anatidae
Анатол Франс	Anatole France
Категория:Анатомия	Anatomy
Анаксагор	Anaxagoras
Анаксимандър	Anaximander
Котва	Anchor
Анкоридж	Anchorage
Старогръцки език	Ancient Greek
Категория:Античност	Ancient history
Андалусия	Andalusia
Андаманско море	Andaman Sea
Анди	Andes
Андхра Прадеш	Andhra Pradesh
Андора	Andorra
Категория:Андора	Andorra
Андреа Паладио	Andrea Palladio
Андрей Сахаров	Andrei Sakharov
Андрей Тарковски	Andrei Tarkovsky
Андрю Джаксън	Andrew Jackson
Андрю Джонсън	Andrew Johnson
Андрю Лойд Уебър	Andrew Lloyd Webber
Андроид	Android
Андромеда	Andromeda
Андромеда (съзвездие)	Andromeda (constellation)
Андромеда (галактика)	Andromeda Galaxy
Анди Уорхол	Andy Warhol
Анемия	Anemia
Анемометър	Anemometer
Ангара	Angara River
Ангел	Angel
Анхел	Angel Falls
Ъгъл	Angle
Ангола	Angola
Категория:Ангола	Angola
Ангуила	Anguilla
Момент на импулса	Angular momentum
Боеций	Anicius Manlius Severinus Boethius
Анилин	Aniline
Животни	Animal
Анимация	Animation
Аниме	Anime
Категория:Аниме	Anime
Анимизъм	Animism
Анасон	Anise
Анкара	Ankara
Анаполис (Мериленд)	Annapolis
Анапурна	Annapurna
Ана Болейн	Anne Boleyn
Прешленести червеи	Annelid
Благовещение	Annunciation
Анод	Anode
Анорексия нервоза	Anorexia nervosa
Гъскоподобни	Anseriformes
Категория:Гъскоподобни	Anseriformes
Мравки	Ant
Антакия	Antakya
Анталия	Antalya
Антананариво	Antananarivo
Антарктида	Antarctica
Категория:Антарктида	Antarctica
Антарес	Antares
Антена	Antenna (radio)
Антъни Хопкинс	Anthony Hopkins
Антракс	Anthrax
Антропология	Anthropology
Категория:Антропология	Anthropology
Антропософия	Anthroposophy
Антибиотик	Antibiotic
Антитяло	Antibody
Антихрист	Antichrist
Антиген	Antigen
Антигона	Antigone
Антигуа и Барбуда	Antigua and Barbuda
Категория:Антигуа и Барбуда	Antigua and Barbuda
Антиматерия	Antimatter
Антимон	Antimony
Антипапа	Antipope
Антисемитизъм	Antisemitism
Категория:Антисемитизъм	Antisemitism
Помпа (съзвездие)	Antlia
Антофагаста	Antofagasta
Антоан Лавоазие	Antoine Lavoisier
Антон Брукнер	Anton Bruckner
Антон Чехов	Anton Chekhov
Антонио Вивалди	Antonio Vivaldi
Антоним	Antonym
Антверпен	Antwerp
Антверпен (провинция)	Antwerp (province)
Анубис	Anubis
Анус	Anus
Аорта	Aorta
Апачи	Apache
Апатит	Apatite
Афазия	Aphasia
Афоризъм	Aphorism
Афродита	Aphrodite
Апия	Apia
Сенникоцветни	Apiaceae
Апокриф	Apocrypha
Бързолетоподобни	Apodiformes
Аполон	Apollo
Аполо	Apollo program
Категория:Програма Аполо	Apollo program
Апоптоза	Apoptosis
Апалачи	Appalachian Mountains
Апендицит	Appendicitis
Ябълка	Apple
Кайсия	Apricot
Април	April
14 април	April 14
Апсида (архитектура)	Apse
Пулия	Apulia
Акаба	Aqaba
Царска вода	Aqua regia
Аквамарин	Aquamarine
Аквариум	Aquarium
Водолей (съзвездие)	Aquarius (constellation)
Акведукт	Aqueduct
Орел (съзвездие)	Aquila (constellation)
Аквитания (регион)	Aquitaine
Жертвеник (съзвездие)	Ara (constellation)
Араби	Arab
Лига на арабските държави	Arab League
Арабски полуостров	Arabian Peninsula
Арабско море	Arabian Sea
Арабска азбука	Arabic alphabet
Арабски език	Arabic language
Паякообразни	Arachnid
Арафурско море	Arafura Sea
Арагон	Aragon
Аралско море	Aral Sea
Арам Хачатурян	Aram Khachaturian
Аркадия (ном)	Arcadia
Арканджело Корели	Arcangelo Corelli
Арка	Arch
Археология	Archaeology
Категория:Археология	Archaeology
Археоптерикс	Archaeopteryx
Архангел	Archangel
Архиепископ	Archbishop
Архетип	Archetype
Архимед	Archimedes
Архипелаг	Archipelago
Архитектура	Architecture
Категория:Архитектура	Architecture
Архив	Archive
Арктика	Arctic
Северен полярен кръг	Arctic Circle
Северен ледовит океан	Arctic Ocean
Полярна лисица	Arctic fox
Ардени	Ardennes
Ар	Are
Площ	Area
Палмови	Arecaceae
Арес	Ares
Аржентина	Argentina
Категория:Аржентина	Argentina
Аргон	Argon
Аргос	Argos
Ария	Aria
Ариадна	Ariadne
Арианство	Arianism
Овен (съзвездие)	Aries (constellation)
Аристарх Самоски	Aristarchus of Samos
Аристокрация	Aristocracy
Аристофан	Aristophanes
Аристотел	Aristotle
Аритметика	Arithmetic
Аритметична прогресия	Arithmetic progression
Арий	Arius
Аризона	Arizona
Категория:Аризона	Arizona
Кивот	Ark of the Covenant
Арканзас	Arkansas
Категория:Арканзас	Arkansas
Арл	Arles
Броненосци	Armadillo
Армения	Armenia
Категория:Армения	Armenia
Арменски език	Armenian language
Арнем	Arnhem
Арно	Arno River
Арнолд Шьонберг	Arnold Schoenberg
Арени	Aromatic hydrocarbon
Аркебуз	Arquebus
Арсен	Arsenic
Изкуство	Art
Ар деко	Art Deco
Ар нуво	Art Nouveau
Категория:История на изкуството	Art history
Артемида	Artemis
Пелин	Artemisia (plant)
Обикновен пелин	Artemisia absinthium
Артерия	Artery
Членестоноги	Arthropod
Артър Холи Комптън	Arthur Compton
Артър Конан Дойл	Arthur Conan Doyle
Артър Милър	Arthur Miller
Артюр Рембо	Arthur Rimbaud
Артур Шопенхауер	Arthur Schopenhauer
Артър Уелсли	Arthur Wellesley
Изкуствен интелект	Artificial intelligence
Артилерия	Artillery
Категория:Артилерия	Artillery
Категория:Изкуство	Arts
Аруба	Aruba
Категория:Аруба	Aruba
Азбест	Asbestos
Асклепий	Asclepius
Асексуалност	Asexuality
Азия	Asia
Категория:Азия	Asia
Асмара	Asmara
Аспартам	Aspartame
Асфалт	Asphalt
Ацетилсалицилова киселина	Aspirin
Асам	Assam
Атентат	Assassination
Асемблер	Assembly language
Асоциация на страните от Югоизточна Азия	Association of Southeast Asian Nations
Асирия	Assyria
Астана	Astana
Астатий	Astatine
Сложноцветни	Asteraceae
Астероид	Asteroid
Астероиден пояс	Asteroid belt
Астеносфера	Asthenosphere
Астма	Asthma
Астигматизъм	Astigmatism (eye)
Астрахан	Astrakhan
Астробиология	Astrobiology
Астролабия	Astrolabe
Астрология	Astrology
Категория:Астрология	Astrology
Космонавт	Astronaut
Астроном	Astronomer
Астрономическа единица	Astronomical unit
Астрономия	Astronomy
Категория:Астрономия	Astronomy
Портал:Астрономия	Astronomy
Астрофизика	Astrophysics
Категория:Астрофизика	Astrophysics
Асуан	Aswan
Асимптота	Asymptote
Атакама (пустиня)	Atacama Desert
Атон (бог)	Aten
Атина (митология)	Athena
Атина	Athens
Категория:Лека атлетика	Athletics
Лека атлетика	Athletics (track and field)
Атланта	Atlanta
Атлантически океан	Atlantic Ocean
Категория:Атлантически океан	Atlantic Ocean
Атлантида	Atlantis
Атлас	Atlas (disambiguation)
Атлас (спътник)	Atlas (moon)
Атлас (митология)	Atlas (mythology)
Атласки планини	Atlas Mountains
Атмосфера (единица)	Atmosphere (unit)
Атмосферно налягане	Atmospheric pressure
Атол	Atoll
Атом	Atom
Атомен часовник	Atomic clock
Атомна маса	Atomic mass
Единица за атомна маса	Atomic mass unit
Атомен номер	Atomic number
Категория:Атомна физика	Atomic physics
Атрей	Atreus
Атропин	Atropine
Атика	Attica
Атила	Attila the Hun
Окланд	Auckland
Август	August
1 август	August 1
15 август	August 15
6 август	August 6
Аугуст Стриндберг	August Strindberg
Огюст Конт	Auguste Comte
Огюст Роден	Auguste Rodin
Августин	Augustine of Hippo
Октавиан Август	Augustus
Колар (съзвездие)	Auriga (constellation)
Полярно сияние	Aurora (astronomy)
Остин	Austin
Австралазия и Океания	Australasia
Австралия	Australia
Категория:Австралия	Australia
Австралопитек	Australopithecus
Австрия	Austria
Категория:Австрия	Austria
Австро-Унгария	Austria-Hungary
Аутизъм	Autism
Автомобилни спортове	Auto racing
Автобиография	Autobiography
Автомобил	Automobile
Автотроф	Autotroph
Есен (сезон)	Autumn
Оверн	Auvergne (region)
Лавина	Avalanche
Аватар	Avatar
Овес	Avena
Авероес	Averroes
Авеста	Avesta
Категория:Авиация	Aviation
Авиация	Aviation
Авицена	Avicenna
Авиньон	Avignon
Авокадо	Avocado
Брадва	Axe
Аксиома	Axiom
Аксон	Axon
Аятолах	Ayatollah
Айн Ранд	Ayn Rand
Азербайджан	Azerbaijan
Категория:Азербайджан	Azerbaijan
Азорски острови	Azores
Ацтеки	Aztec
BASIC	BASIC
Павиан	Baboon
Вавилон	Babylon
Вавилония	Babylonia
Табла	Backgammon
Бактерии	Bacteria
Категория:Бактерии	Bacteria
Бактериофаг	Bacteriophage
Двугърба камила	Bactrian Camel
Бадминтон	Badminton
Бафиново море	Baffin Bay
Багдад	Baghdad
Категория:Бахамски острови	Bahamas
Бахрейн	Bahrain
Категория:Бахрейн	Bahrain
Долна Калифорния	Baja California
Баклава	Baklava
Баку	Baku
Балдур	Baldr
Балеарски острови	Balearic Islands
Бали	Bali
Стара планина	Balkan Mountains
Балканска война	Balkan Wars
Балкански полуостров	Balkans
Топка	Ball
Балет	Ballet
Категория:Балет	Ballet
Балистична ракета	Ballistic missile
Химикалка	Ballpoint pen
Балтийско море	Baltic Sea
Балтимор	Baltimore
Бамако	Bamako
Бамбук	Bamboo
Банан	Banana
Бананова република	Banana republic
Бангалор	Bangalore
Банкок	Bangkok
Бангладеш	Bangladesh
Категория:Бангладеш	Bangladesh
Банги	Bangui
Банджул	Banjul
Банка	Bank
Банкнота	Banknote
Категория:Банки	Banks
Кръщение	Baptism
Баптизъм	Baptist
Бар (единица)	Bar (unit)
Барбадос	Barbados
Категория:Барбадос	Barbados
Варвари	Barbarian
Барбара Стрейзънд	Barbra Streisand
Барселона	Barcelona
Категория:Барселона	Barcelona
Баренцово море	Barents Sea
Бари	Bari
Барий	Barium
Ечемик	Barley
Забулена сова	Barn Owl
Селска лястовица	Barn Swallow
Барометър	Barometer
Барон	Baron
Барок	Baroque
Баранкиля	Barranquilla
Барел	Barrel (unit)
Барион	Baryon
Бейзбол	Baseball
Категория:Бейзбол	Baseball
Базел	Basel
Bash	Bash
Базидиеви гъби	Basidiomycota
Босилек	Basil
Базилика	Basilica
Базиликата	Basilicata
Флавий Василиск	Basiliscus
Василиск (митология)	Basilisk
Баскетбол	Basketball
Категория:Баскетбол	Basketball
Басра	Basra
Бас китара	Bass guitar
Бастер	Basseterre
Фагот	Bassoon
Бастет	Bast (mythology)
Бастилия	Bastille
Прилепи	Bat
Батман	Batman
Батън Руж	Baton Rouge
Категория:Прилепи	Bats
Батальон	Battalion
Батерия	Battery (electricity)
Битка при Аустерлиц	Battle of Austerlitz
Битка за Британия	Battle of Britain
Битка при Хейстингс	Battle of Hastings
Битка при Лепанто	Battle of Lepanto (1571)
Битка при Мидуей	Battle of Midway
Битка при Термопилите	Battle of Thermopylae
Битка при Трафалгар	Battle of Trafalgar
Битка при Вердюн	Battle of Verdun
Битка при Ватерлоо	Battle of Waterloo
Арденска офанзива	Battle of the Bulge
Битка при Сома	Battle of the Somme
Боксит	Bauxite
Бавария	Bavaria
Категория:Бавария	Bavaria
Лавър	Bay Laurel
Бенгалски залив	Bay of Bengal
Бискайски залив	Bay of Biscay
Байер	Bayer
Байон	Bayonne
Плаж	Beach
Бигъл	Beagle
Мечкови	Bear
Скала на Бофорт	Beaufort scale
Бобри	Beaver
Бекерел	Becquerel
Беда Достопочтени	Bede
Бедуини	Bedouin
Пчела	Bee
Бук	Beech
Категория:Пчеларство	Beekeeping
Бира	Beer
Категория:Бира	Beer
Твърдокрили	Beetle
Бихевиоризъм	Behaviorism
Пекин	Beijing
Бейрут	Beirut
Беларус	Belarus
Категория:Беларус	Belarus
Белфаст	Belfast
Белгия	Belgium
Категория:Белгия	Belgium
Белград	Belgrade
Велизарий	Belisarius
Белиз	Belize
Категория:Белиз	Belize
Камбана	Bell (instrument)
Белерофонт	Bellerophon
Кючек	Belly dance
Бело Оризонте	Belo Horizonte
Бенелюкс	Benelux
Бенгази	Benghazi
Бенин	Benin
Категория:Бенин	Benin
Бенито Мусолини	Benito Mussolini
Бенджамин Дизраели	Benjamin Disraeli
Бенджамин Франклин	Benjamin Franklin
Бенджамин Харисън	Benjamin Harrison
Беоулф	Beowulf
Берген	Bergen
Берингово море	Bering Sea
Берингов проток	Bering Strait
Берлин	Berlin
Категория:Берлин	Berlin
Бермудски острови	Bermuda
Категория:Бермудски острови	Bermuda
Бермудски триъгълник	Bermuda Triangle
Бернардо Бертолучи	Bernardo Bertolucci
Берн	Berne
Бернхард Риман	Bernhard Riemann
Бертолт Брехт	Bertolt Brecht
Бъртранд Ръсел	Bertrand Russell
Берил	Beryl
Берилий	Beryllium
Бетелгейзе	Betelgeuse
Витлеем	Bethlehem
Бевърли Хилс	Beverly Hills
Бей	Bey
Бутан	Bhutan
Категория:Бутан	Bhutan
Библия	Bible
Категория:Библия	Bible
Библиография	Bibliography
Велосипед	Bicycle
Теория на Големия взрив	Big Bang
Бихар	Bihar
Бикини	Bikini
Бил Клинтън	Bill Clinton
Бил Гейтс	Bill Gates
Двойна звезда	Binary star
Бинокъл	Binoculars
Биохимия	Biochemistry
Категория:Биохимия	Biochemistry
Биоразнообразие	Biodiversity
Биогеография	Biogeography
Биография	Biography
Портал:Биографии	Biography
Биологично оръжие	Biological warfare
Биология	Biology
Категория:Биология	Biology
Портал:Биология	Biology
Биофизика	Biophysics
Биопсия	Biopsy
Биосфера	Biosphere
Биотехнология	Biotechnology
Биполярно разстройство	Bipolar disorder
Бреза	Birch
Птици	Bird
Бирмингам (Алабама)	Birmingham
Бисексуалност	Bisexuality
Бишкек	Bishkek
Епископ	Bishop
Офицер (шахмат)	Bishop (chess)
Бисмарк (Северна Дакота)	Bismarck
Бисмарк (пояснение)	Bismarck (disambiguation)
Бисмут	Bismuth
Бисау	Bissau
Бит (информатика)	Bit
Витиния	Bithynia
Миди	Bivalvia
Черна смърт	Black Death
Шварцвалд	Black Forest
Черна каня	Black Kite
Черно море	Black Sea
Черен щъркел	Black Stork
Абсолютно черно тяло	Black body
Черна дупка	Black hole
Черен пипер	Black pepper
Кос	Blackbird
Блез Паскал	Blaise Pascal
Светкавична война	Blitzkrieg
Блумфонтейн	Bloemfontein
Блог	Blog
Кръв	Blood
Кръвна група	Blood type
Син цвят	Blue
Син кит	Blue Whale
Блус	Blues
Лодка	Boat
Боб Дилън	Bob Dylan
Боб Марли	Bob Marley
Боби Фишер	Bobby Fischer
Бобслей	Bobsleigh
Културизъм	Bodybuilding
Бохемия	Bohemia
Температура на кипене	Boiling point
Бойзи (Айдахо)	Boise
Обикновена манатарка	Boletus edulis
Боливия	Bolivia
Категория:Боливия	Bolivia
Боливуд	Bollywood
Болоня	Bologna
Болцано	Bolzano
Бомбардировач	Bomber
Копринена буба	Bombyx mori
Облигация	Bond (finance)
Кост	Bone
Костен мозък	Bone marrow
Бон (Германия)	Bonn
Бонсай	Bonsai
Книга	Book
Книга Естир	Book of Esther
Книга на Исус Навиев	Book of Joshua
Книга на съдиите	Book of Judges
Книга на Мормон	Book of Mormon
Числа (Библия)	Book of Numbers
Откровение на Йоан	Book of Revelation
Булева алгебра	Boolean algebra (structure)
Бумеранг	Boomerang
Бордо	Bordeaux
Борис Годунов	Boris Godunov
Борис Пастернак	Boris Pasternak
Борис Спаски	Boris Spassky
Борнео	Borneo
Бор (елемент)	Boron
Босна и Херцеговина	Bosnia and Herzegovina
Категория:Босна и Херцеговина	Bosnia and Herzegovina
Бозон	Boson
Босфор	Bosporus
Бостън	Boston
Бостънско чаено парти	Boston Tea Party
Ботаническа градина	Botanical garden
Ботаника	Botany
Категория:Ботаника	Botany
Ботсвана	Botswana
Категория:Ботсвана	Botswana
Бутилка	Bottle
Афала	Bottlenose Dolphin
Бургундия (регион)	Bourgogne
Буве	Bouvet Island
Кухороги	Bovid
Лък	Bow (weapon)
Боулинг	Bowling
Боксер	Boxer (dog)
Категория:Боксьори	Boxers
Бокс (спорт)	Boxing
Категория:Бокс	Boxing
Брахма	Brahma
Главен мозък	Brain
Брам Стокър	Bram Stoker
Бранденбург (провинция)	Brandenburg
Месинг	Brass
Кръстоцветни	Brassicaceae
Сутиен	Brassiere
Братислава	Bratislava
Брауншвайг	Braunschweig
Бразилия	Brazil
Категория:Бразилия	Brazil
Бразавил	Brazzaville
Хляб	Bread
Гърда	Breast
Рак на гърдата	Breast cancer
Бремен	Bremen
Бремен (провинция)	Bremen (state)
Бремерхафен	Bremerhaven
Бреша	Brescia
Брест (Франция)	Brest
Брест (Беларус)	Brest
Брест	Brest
Бретан (регион)	Bretagne
Тухла	Brick
Мост	Bridge
Категория:Мостове	Bridges
Бриджтаун	Bridgetown
Бригада	Brigade
Брайтън (Англия)	Brighton
Бризбейн	Brisbane
Бристол	Bristol
Британска Колумбия	British Columbia
Британска империя	British Empire
Британски острови	British Isles
Британски Вирджински острови	British Virgin Islands
Категория:Британци	British people
Бърно	Brno
Бродуей	Broadway (New York City)
Бром	Bromine
Бронз	Bronze
Бронзова епоха	Bronze Age
Бруклин	Brooklyn
Бруклински мост	Brooklyn Bridge
Кафяв цвят	Brown
Кафява мечка	Brown Bear
Брауново движение	Brownian motion
Брус Лий	Bruce Lee
Брюж	Bruges
Бруней	Brunei
Категория:Бруней	Brunei
Брюксел	Brussels
Чума	Bubonic plague
Букурещ	Bucharest
Бъкингамски дворец	Buckingham Palace
Обикновена елда	Buckwheat
Будапеща	Budapest
Буда	Buddha
Будизъм	Buddhism
Категория:Будизъм	Buddhism
Буенос Айрес	Buenos Aires
Бъфало	Buffalo
Сграда	Building
Бужумбура	Bujumbura
България	Bulgaria
Категория:България	Bulgaria
Земни пчели	Bumblebee
Плаваемост	Buoyancy
Бюрокрация	Bureaucracy
Кмет	Burgomaster
Буркина Фасо	Burkina Faso
Категория:Буркина Фасо	Burkina Faso
Мианмар	Burma
Категория:Мианмар	Burma
Бурса	Bursa
Категория:Бурунди	Burundi
Автобус	Bus
Категория:Бизнесмени	Businesspeople
Бъстър Кийтън	Buster Keaton
Краве масло	Butter
Бидгошч	Bydgoszcz
Байт	Byte
Категория:Византийска империя	Byzantine Empire
C	C
C (език за програмиране)	C (programming language)
Клайв Стейпълс Луис	C. S. Lewis
CHAOS	CHAOS (Linux distribution)
Си Ен Тауър	CN Tower
COBOL	COBOL
Кеш-памет	Cache
Кактусови	Cactus
Кадъм	Cadmus
Длето (съзвездие)	Caelum
Цезий	Caesium
Кофеин	Caffeine
Кайро	Cairo
Калабрия	Calabria
Калцит	Calcite
Калций	Calcium
Калциев карбонат	Calcium carbonate
Негасена вар	Calcium oxide
Калкулатор	Calculator
Математически анализ	Calculus
Калдера	Caldera
Календар	Calendar
Калибър	Caliber
Калифорния	California
Категория:Калифорния	California
Калигула	Caligula
Арабски халифат	Caliphate
Калиопа	Calliope
Калисто (спътник)	Callisto (moon)
Калисто (митология)	Callisto (mythology)
Калория	Calorie
Калвадос (департамент)	Calvados
Калвин Кулидж	Calvin Coolidge
Калвинизъм	Calvinism
Калипсо	Calypso (mythology)
Камбоджа	Cambodia
Категория:Камбоджа	Cambodia
Кеймбридж	Cambridge
Кеймбридж (Масачузетс)	Cambridge
Кеймбридж (пояснение)	Cambridge (disambiguation)
Камамбер	Camembert (cheese)
Фотоапарат	Camera
Камерун	Cameroon
Категория:Камерун	Cameroon
Кампания	Campania
Канада	Canada
Категория:Канада	Canada
Канадски долар	Canadian dollar
Канал	Canal
Канарски острови	Canary Islands
Канбера	Canberra
Рак (болест)	Cancer
Рак (съзвездие)	Cancer (constellation)
Кандела	Candela
Свещ	Candle
Кучета	Canidae
Голямо куче (съзвездие)	Canis Major
Коноп	Cannabis
Марихуана	Cannabis (drug)
Кан (Южна Франция)	Cannes
Канибализъм	Cannibalism
Топ (оръдие)	Cannon
Кану	Canoe
Кантата	Cantata
Кентърбъри	Canterbury
Кантонски език	Cantonese (linguistics)
Кнут Велики	Canute the Great
Електрически капацитет	Capacitance
