French	English
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (nombre)	6 (number)
60	60
60 (nombre)	60 (number)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (nombre)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (nombre)	8 (number)
80	80
80 (nombre)	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (nombre)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A (lettre)	A
A (cyrillique)	A (Cyrillic)
A cappella	A cappella
ABC	ABC
Syndrome d'immunodéficience acquise	AIDS
Algol (langage)	ALGOL
ATP	ATP
AZ Alkmaar	AZ (football club)
Aix-la-Chapelle	Aachen
Aalborg	Aalborg
Aar	Aar
Oryctérope du Cap	Aardvark
Århus	Aarhus
Aaron (Bible)	Aaron
Boulier	Abacus
Abadan	Abadan
Abbé	Abbot
Abréviation	Abbreviation
Abdomen	Abdomen
Abel Tasman	Abel Tasman
Groupe abélien	Abelian group
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhazie	Abkhazia
Catégorie:Abkhazie	Abkhazia
Abolition de l'esclavage	Abolitionism
Avortement	Abortion
Abraham	Abraham
Abraham Lincoln	Abraham Lincoln
Spiritueux aux plantes d'absinthe	Absinthe
Magnitude absolue	Absolute magnitude
Valeur absolue	Absolute value
Zéro absolu	Absolute zero
Absolutisme	Absolutism (European history)
Art abstrait	Abstract art
Expressionnisme abstrait	Abstract expressionism
Abstraction (philosophie)	Abstraction
Abou Dabi	Abu Dhabi
Abu Dhabi	Abu Dhabi (emirate)
Abuja	Abuja
Acacia	Acacia
Oscar du cinéma	Academy Award
Acapulco	Acapulco
Accélération	Acceleration
Accipitridae	Accipitridae
Accordéon	Accordion
Comptabilité	Accountancy
Catégorie:Comptabilité	Accountancy
Accra	Accra
Accusatif	Accusative case
Éthanal	Acetaldehyde
Acide acétique	Acetic acid
Acétone	Acetone
Acétylcholine	Acetylcholine
Acétylène	Acetylene
Achéron	Acheron
Achillée millefeuille	Achillea millefolium
Achille	Achilles
Acide	Acid
Pluie acide	Acid rain
Acné	Acne vulgaris
Aconcagua	Aconcagua
Gland (fruit)	Acorn
Acoustique	Acoustics
Catégorie:Acoustique	Acoustics
Acre (unité)	Acre
Acre (Israël)	Acre
Acre (Brésil)	Acre (state)
Acropole	Acropolis
Actinide	Actinide
Actinium	Actinium
Acteur	Actor
Actes des Apôtres	Acts of the Apostles
Acupuncture	Acupuncture
Argumentum ad hominem	Ad hominem
Ada (langage)	Ada (programming language)
Adam	Adam
Adam Smith	Adam Smith
Adana	Adana
Adansonia	Adansonia
Addiction	Addiction
Addis-Abeba	Addis Ababa
Addition	Addition
Adélaïde (Australie)	Adelaide
Aden	Aden
Adénine	Adenine
Adénosine triphosphate	Adenosine triphosphate
Adiabaticité	Adiabatic process
Adige	Adige
Adjectif	Adjective
Amiral	Admiral
Adolescence	Adolescence
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis (mythologie)	Adonis
Adoption	Adoption
Glande surrénale	Adrenal gland
Mer Adriatique	Adriatic Sea
Adsorption	Adsorption
Adulte	Adult
Avent	Advent
Adverbe	Adverb
Publicité	Advertising
Mer Égée	Aegean Sea
Énée	Aeneas
Énéide	Aeneid
Éole (dieu)	Aeolus
Aérodynamique	Aerodynamics
Aérosol	Aerosol
Eschyle	Aeschylus
Ésope	Aesop
Esthétique	Aesthetics
Affixe	Affix
Afghanistan	Afghanistan
Catégorie:Afghanistan	Afghanistan
Afrique	Africa
Catégorie:Afrique	Africa
Afro-Américains	African American
Afrikaans	Afrikaans
Agamemnon	Agamemnon
Agar-agar	Agar
Agate	Agate
Agatha Christie	Agatha Christie
Agression	Aggression
Agnathe	Agnatha
Agnosticisme	Agnosticism
Agora	Agora
Agoraphobie	Agoraphobia
Âgrâ	Agra
Agriculture	Agriculture
Catégorie:Agriculture	Agriculture
Agrigente	Agrigento
Aïkido	Aikido
Ain (département)	Ain
Armée de l'air	Air force
Airbus	Airbus
Aéronef	Aircraft
Catégorie:Avion	Aircraft
Porte-avions et porte-aéronefs	Aircraft carrier
Compagnie aérienne	Airline
Aéroport	Airport
Ajax	Ajax
Ajax fils de Télamon	Ajax (mythology)
Asynchronous JavaScript and XML	Ajax (programming)
Akhénaton	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaida	Al-Qaeda
Alabama	Alabama
Catégorie:Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alanine
Alaska	Alaska
Catégorie:Alaska	Alaska
Alban Berg	Alban Berg
Albanie	Albania
Catégorie:Albanie	Albania
Albany (New York)	Albany
Diomedeinae	Albatross
Albédo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer (senior)	Albert Speer
Alberta	Alberta
Catégorie:Alberta	Alberta
Albinisme	Albinism
Albite	Albite
Album (musique)	Album
Albuquerque	Albuquerque
Alchimie	Alchemy
Catégorie:Alchimie	Alchemy
Alcool (chimie)	Alcohol
Boisson alcoolisée	Alcoholic beverage
Alcoolisme	Alcoholism
Alpha Tauri	Aldebaran
Aldéhyde	Aldehyde
Aulne	Alder
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Alexandre Soljenitsyne	Aleksandr Solzhenitsyn
Alep	Aleppo
Îles Aléoutiennes	Aleutian Islands
Alexandre (prénom)	Alexander
Alexander Fleming	Alexander Fleming
Alexandre Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Alexandre Pouchkine	Alexander Pushkin
Alexandre le Grand	Alexander the Great
Alexandre Dumas	Alexandre Dumas
Alexandre Dumas fils	Alexandre Dumas
Alexandrie	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred le Grand	Alfred the Great
Algue	Algae
Algèbre	Algebra
Catégorie:Algèbre	Algebra
Nombre algébrique	Algebraic number
Algérie	Algeria
Catégorie:Algérie	Algeria
Alger	Algiers
Algorithmique	Algorithm
Alhambra (Grenade)	Alhambra
Ali ibn Abi Talib	Ali
Métal alcalin	Alkali metal
Alcaloïde	Alkaloid
Alcane	Alkane
Alcène	Alkene
Alcyne	Alkyne
Allah	Allah
Allégorie	Allegory
Allèle	Allele
Allen Ginsberg	Allen Ginsberg
Allergie	Allergy
Allitération	Alliteration
Allophone	Allophone
Allosaurus	Allosaurus
Allotropie	Allotropy
Alliage	Alloy
Almanach	Almanac
Almaty	Almaty
Amandier	Almond
Aloès	Aloe
Alpha	Alpha (letter)
Alpha Centauri	Alpha Centauri
Particule α	Alpha particle
Alphabet	Alphabet
Alpes	Alps
Catégorie:Alpes	Alps
Alsace	Alsace
Alpha Aquilae	Altair
Autel (religion)	Altar
Altaï	Altay Mountains
Courant alternatif	Alternating current
Catégorie:Médecine non conventionnelle	Alternative medicine
Médecine non conventionnelle	Alternative medicine
Altruisme	Altruism
Aluminium	Aluminium
Alumine	Aluminium oxide
Alvar Aalto	Alvar Aalto
Maladie d'Alzheimer	Alzheimer's disease
Amanite tue-mouches	Amanita muscaria
Amanite phalloïde	Amanita phalloides
Amaryllidaceae	Amaryllidaceae
Amaterasu	Amaterasu
Fleuve Amazone	Amazon River
Ambassadeur	Ambassador
Ambre	Amber
Ambroise de Milan	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Bison d'Amérique du Nord	American Bison
Ours noir	American Black Bear
Guerre de Sécession	American Civil War
Guerre d'indépendance des États-Unis d'Amérique	American Revolutionary War
Samoa américaines	American Samoa
American Standard Code for Information Interchange	American Standard Code for Information Interchange
Football américain	American football
Catégorie:Football américain	American football
Américium	Americium
Amerigo Vespucci	Amerigo Vespucci
Améthyste	Amethyst
Amharique	Amharic
Amide	Amide
Amine (chimie)	Amine
Acide aminé	Amino acid
Amish	Amish
Amman	Amman
Ampèremètre	Ammeter
Ammoniac	Ammonia
Amnésie	Amnesia
Amnistie	Amnesty
Ampère (unité)	Ampere
Amphétamine	Amphetamine
Amphibia	Amphibian
Amphithéâtre	Amphitheatre
Amphore	Amphora
Amplitude	Amplitude
Amsterdam	Amsterdam
Catégorie:Amsterdam	Amsterdam
Amon	Amun
Amour (fleuve)	Amur
Anabaptisme	Anabaptist
Anagramme	Anagram
Anaheim (Californie)	Anaheim
Sodomie	Anal sex
Géométrie analytique	Analytic geometry
Anarchisme	Anarchism
Catégorie:Anarchisme	Anarchism
Anarchie	Anarchy
Anatidae	Anatidae
Anatole France	Anatole France
Catégorie:Anatomie	Anatomy
Anatomie	Anatomy
Anaxagore de Clazomènes	Anaxagoras
Anaximandre	Anaximander
Ancre (mouillage)	Anchor
Anchorage	Anchorage
Grec ancien	Ancient Greek
Catégorie:Antiquité	Ancient history
Andalousie	Andalusia
Mer d'Andaman	Andaman Sea
Anders Celsius	Anders Celsius
Cordillère des Andes	Andes
Andhra Pradesh	Andhra Pradesh
Andorre	Andorra
Catégorie:Andorre	Andorra
Andrea Palladio	Andrea Palladio
Andreï Sakharov	Andrei Sakharov
Andreï Tarkovski	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Androïde	Android
Andromède	Andromeda
Andromède (constellation)	Andromeda (constellation)
Andromède (mythologie)	Andromeda (mythology)
Galaxie d'Andromède	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anémie	Anemia
Anémomètre	Anemometer
Anesthésie	Anesthesia
Angara	Angara River
Ange	Angel
Salto Angel	Angel Falls
Angle	Angle
Anglicanisme	Anglicanism
Angola	Angola
Catégorie:Angola	Angola
Anguilla	Anguilla
Moment angulaire	Angular momentum
Vitesse angulaire	Angular velocity
Boèce	Anicius Manlius Severinus Boethius
Aniline	Aniline
Animal	Animal
Élevage	Animal husbandry
Animation	Animation
Anime	Anime
Catégorie:Anime	Anime
Animisme	Animism
Anis vert	Anise
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anne Boleyn
Annelida	Annelid
Anno Domini	Anno Domini
Annonciation	Annunciation
Anode	Anode
Anorexie mentale	Anorexia nervosa
Anseriformes	Anseriformes
Catégorie:Ansériforme	Anseriformes
Formicidae	Ant
Antioche	Antakya
Antalya	Antalya
Tananarive	Antananarivo
Antarctique	Antarctica
Catégorie:Antarctique	Antarctica
Alpha Scorpii	Antares
Antenne radioélectrique	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Charbon (maladie)	Anthrax
Anthropologie	Anthropology
Catégorie:Anthropologie	Anthropology
Anthroposophie	Anthroposophy
Antibiotique	Antibiotic
Anticorps	Antibody
Antéchrist	Antichrist
Anticyclone	Anticyclone
Antigène	Antigen
Antigone (Thèbes)	Antigone
Antigua-et-Barbuda	Antigua and Barbuda
Catégorie:Antigua-et-Barbuda	Antigua and Barbuda
Antimatière	Antimatter
Antimoine	Antimony
Antioxydant	Antioxidant
Antipape	Antipope
Antisémitisme	Antisemitism
Catégorie:Antisémitisme	Antisemitism
Machine pneumatique	Antlia
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Tchekhov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonymie	Antonym
Anvers	Antwerp
Province d'Anvers	Antwerp (province)
Anubis	Anubis
Anus	Anus
Aorte	Aorta
Apaches (Amérique)	Apache
Apatite	Apatite
Hominoidea	Ape
Aphasie	Aphasia
Aphorisme	Aphorism
Aphrodite	Aphrodite
Apia	Apia
Apiaceae	Apiaceae
Apocryphes (Bible)	Apocrypha
Apodiformes	Apodiformes
Apollon	Apollo
Apollo	Apollo (disambiguation)
Programme Apollo	Apollo program
Catégorie:Programme Apollo	Apollo program
Apoptose	Apoptosis
Appalaches	Appalachian Mountains
Appendicite	Appendicitis
Pomme	Apple
Mathématiques appliquées	Applied mathematics
Abricot	Apricot
Avril	April
14 avril	April 14
Poisson d'avril	April Fools' Day
Abside	Apse
Pouilles	Apulia
Oiseau de paradis (constellation)	Apus
Aqaba	Aqaba
Eau régale	Aqua regia
Aigue-marine	Aquamarine
Aquarium	Aquarium
Verseau	Aquarius (constellation)
Aqueduc	Aqueduct
Aigle (constellation)	Aquila (constellation)
Aquitaine	Aquitaine
Autel (constellation)	Ara (constellation)
Arabes	Arab
Ligue arabe	Arab League
Arabie	Arabian Peninsula
Mer d'Oman	Arabian Sea
Alphabet arabe	Arabic alphabet
Arabe	Arabic language
Araceae	Araceae
Arachnida	Arachnid
Mer d'Arafura	Arafura Sea
Communauté autonome d'Aragon	Aragon
Mer d'Aral	Aral Sea
Aram Khatchatourian	Aram Khachaturian
Arcadie	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Arc (architecture)	Arch
Archéologie	Archaeology
Catégorie:Archéologie	Archaeology
Archaeopteryx	Archaeopteryx
Archange	Archangel
Archevêque	Archbishop
Archéen	Archean
Archétype	Archetype
Archimède	Archimedes
Archipel	Archipelago
Architecte	Architect
Architecture	Architecture
Catégorie:Architecture	Architecture
Archives	Archive
Archosauria	Archosaur
Arctique	Arctic
Cercle Arctique	Arctic Circle
Océan Arctique	Arctic Ocean
Renard polaire	Arctic fox
Ardenne	Ardennes
Ardennes (département)	Ardennes (department)
Are	Are
Superficie	Area
Arecaceae	Arecaceae
Arès	Ares
Argentine	Argentina
Catégorie:Argentine	Argentina
Argon	Argon
Argos (ville)	Argos
Aria	Aria
Ariane (mythologie)	Ariadne
Arianisme	Arianism
Bélier (constellation)	Aries (constellation)
Aristarque de Samos	Aristarchus of Samos
Aristocratie	Aristocracy
Aristophane	Aristophanes
Aristote	Aristotle
Arithmétique	Arithmetic
Catégorie:Arithmétique	Arithmetic
Suite arithmétique	Arithmetic progression
Arius (prêtre)	Arius
Arizona	Arizona
Catégorie:Arizona	Arizona
Arche d'alliance	Ark of the Covenant
Arkansas	Arkansas
Catégorie:Arkansas	Arkansas
Arles	Arles
Tatou	Armadillo
Arménie	Armenia
Catégorie:Arménie	Armenia
Arménien	Armenian language
Arminius	Arminius
Armure (équipement)	Armour
Armée de terre	Army
Arnhem	Arnhem
Arno (fleuve)	Arno River
Arnold Schönberg	Arnold Schoenberg
Hydrocarbure aromatique	Aromatic hydrocarbon
Arquebuse	Arquebus
Arras	Arras
Flèche (arme)	Arrow
Arsenic	Arsenic
Art	Art
Art déco	Art Deco
Art nouveau	Art Nouveau
Catégorie:Histoire de l'art	Art history
Histoire de l'art	Art history
Artémis	Artemis
Armoise	Artemisia (plant)
Absinthe (plante)	Artemisia absinthium
Artère	Artery
Arthrite	Arthritis
Arthropode	Arthropod
Arthur Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley de Wellington	Arthur Wellesley
Intelligence artificielle	Artificial intelligence
Catégorie:Intelligence artificielle	Artificial intelligence
Artillerie	Artillery
Catégorie:Artillerie	Artillery
Artiste	Artist
Catégorie:Art	Arts
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Catégorie:Aruba	Aruba
Amiante	Asbestos
Asclépios	Asclepius
Asexualité	Asexuality
Ásgard	Asgard
Mercredi des Cendres	Ash Wednesday
Assurbanipal	Ashurbanipal
Asie	Asia
Catégorie:Asie	Asia
Asmara	Asmara
Aspartame	Aspartame
Asphalte (matériau)	Asphalt
Acide acétylsalicylique	Aspirin
Assam	Assam
Attentat	Assassination
Assembleur	Assembly language
Association des nations de l'Asie du Sud-Est	Association of Southeast Asian Nations
Assyrie	Assyria
Catégorie:Empire assyrien	Assyria
Astana	Astana
Astate	Astatine
Asteraceae	Asteraceae
Catégorie:Asteraceae	Asteraceae
Astéroïde	Asteroid
Ceinture d'astéroïdes	Asteroid belt
Asthénosphère	Asthenosphere
Asthme	Asthma
Astigmatisme	Astigmatism (eye)
Astrakhan	Astrakhan
Exobiologie	Astrobiology
Astrolabe	Astrolabe
Astrologie	Astrology
Catégorie:Astrologie	Astrology
Astrométrie	Astrometry
Spationaute	Astronaut
Astronome	Astronomer
Unité astronomique	Astronomical unit
Astronomie	Astronomy
Catégorie:Astronomie	Astronomy
Portail:Astronomie	Astronomy
Astrophysique	Astrophysics
Catégorie:Astrophysique	Astrophysics
Assouan	Aswan
Asymptote	Asymptote
Asynchronous transfer mode	Asynchronous Transfer Mode
Désert d'Atacama	Atacama Desert
Aton	Aten
Catégorie:Athéisme	Atheism
Athéna	Athena
Athènes	Athens
Catégorie:Athlétisme	Athletics
Athlétisme	Athletics (track and field)
Atlanta	Atlanta
Océan Atlantique	Atlantic Ocean
Catégorie:Océan Atlantique	Atlantic Ocean
Atlantide	Atlantis
Atlas	Atlas (disambiguation)
Atlas (lune)	Atlas (moon)
Atlas (mythologie)	Atlas (mythology)
Atlas (massif)	Atlas Mountains
Atmosphère (astronomie)	Atmosphere
Atmosphère (unité)	Atmosphere (unit)
Pression atmosphérique	Atmospheric pressure
Atoll	Atoll
Atome	Atom
Horloge atomique	Atomic clock
Masse atomique	Atomic mass
Unité de masse atomique	Atomic mass unit
Numéro atomique	Atomic number
Catégorie:Physique atomique	Atomic physics
Physique atomique	Atomic physics
Atrée	Atreus
Atropine	Atropine
Attique	Attica
Attila	Attila the Hun
AU	Au
Auckland	Auckland
Enchère	Auction
Août	August
1er août	August 1
15 août	August 15
6 août	August 6
August Strindberg	August Strindberg
Augusta (Maine)	Augusta
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustin d'Hippone	Augustine of Hippo
Auguste	Augustus
Cocher (constellation)	Auriga (constellation)
Aurora	Aurora
Aurore polaire	Aurora (astronomy)
Austin (Texas)	Austin
Australasie	Australasia
Australie	Australia
Catégorie:Australie	Australia
Dollar australien	Australian dollar
Australopithèque	Australopithecus
Autriche	Austria
Catégorie:Autriche	Austria
Autriche-Hongrie	Austria-Hungary
Écrivain	Author
Autorité	Authority
Autisme	Autism
Compétition automobile	Auto racing
Autobiographie	Autobiography
Guichet automatique bancaire	Automated teller machine
Automobile	Automobile
Système nerveux autonome	Autonomic nervous system
Autotrophie	Autotroph
Automne	Autumn
Auvergne	Auvergne (region)
Avalanche	Avalanche
Avant-garde (art)	Avant-garde
Avatar (hindouisme)	Avatar
Avena	Avena
Averroès	Averroes
Avesta	Avesta
Catégorie:Transport aérien	Aviation
Aviation	Aviation
Avicenne	Avicenna
Avignon	Avignon
Avocatier	Avocado
Loi d'Avogadro	Avogadro's law
Hache	Axe
Axiome	Axiom
Axone	Axon
Ayatollah	Ayatollah
Ayn Rand	Ayn Rand
Azerbaïdjan	Azerbaijan
Catégorie:Azerbaïdjan	Azerbaijan
Azimut	Azimuth
Açores	Azores
Aztèques	Aztec
Azurite (minéral)	Azurite
B (lettre)	B
BASIC	BASIC
Baal	Baal
Babouin	Baboon
Babylone	Babylon
Babylone (royaume)	Babylonia
Backgammon	Backgammon
Bacteria	Bacteria
Catégorie:Bactérie	Bacteria
Bactériophage	Bacteriophage
Chameau de Bactriane	Bactrian Camel
Badminton	Badminton
Mer de Baffin	Baffin Bay
Île de Baffin	Baffin Island
Bagdad	Baghdad
Catégorie:Bahamas	Bahamas
Bahreïn	Bahrain
Catégorie:Bahreïn	Bahrain
Basse-Californie	Baja California
Baklava	Baklava
Bakou	Baku
Balalaïka	Balalaika
Bilan	Balance sheet
Baldr	Baldr
Îles Baléares	Balearic Islands
Mysticeti	Baleen whale
Bali	Bali
Grand Balkan	Balkan Mountains
Guerres des Balkans	Balkan Wars
Balkans	Balkans
Ballon (sport)	Ball
Ballet	Ballet
Catégorie:Ballet	Ballet
Missile balistique	Ballistic missile
Stylo à bille	Ballpoint pen
Mer Baltique	Baltic Sea
Baltimore	Baltimore
Bamako	Bamako
Bambou	Bamboo
Banane	Banana
République bananière	Banana republic
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Catégorie:Bangladesh	Bangladesh
Bangui	Bangui
Banjul	Banjul
Banque	Bank
Billet de banque	Banknote
Catégorie:Banque	Banks
Baptême	Baptism
Baptisme	Baptist
Bar (unité)	Bar (unit)
Barbade	Barbados
Catégorie:Barbade	Barbados
Barbare	Barbarian
Barbra Streisand	Barbra Streisand
Barcelone	Barcelona
Catégorie:Barcelone	Barcelona
Mer de Barents	Barents Sea
Bari	Bari
Baryum	Barium
Orge commune	Barley
Chouette effraie	Barn Owl
Hirondelle rustique	Barn Swallow
Baromètre	Barometer
Baron (noblesse)	Baron
Baroque	Baroque
Barranquilla	Barranquilla
Baril	Barrel (unit)
Baryon	Baryon
Basalte	Basalt
Base (chimie)	Base (chemistry)
Baseball	Baseball
Catégorie:Baseball	Baseball
Bâle	Basel
Bourne-Again shell	Bash
Basidiomycota	Basidiomycota
Basilic (plante)	Basil
Basile de Césarée	Basil of Caesarea
Basilique	Basilica
Basilicate	Basilicata
Basiliscus	Basiliscus
Basilic (mythologie)	Basilisk
Basket-ball	Basketball
Catégorie:Basket-ball	Basketball
Bassorah	Basra
Guitare basse	Bass guitar
Basse-Normandie	Basse-Normandie
Basseterre	Basseterre
Basson	Bassoon
Bastet	Bast (mythology)
Bastille (Paris)	Bastille
Chiroptera	Bat
Bath	Bath
Batman	Batman
Bâton-Rouge	Baton Rouge
Catégorie:Chiroptère	Bats
Bataillon	Battalion
Pile électrique	Battery (electricity)
Bataille d'Austerlitz	Battle of Austerlitz
Bataille d'Angleterre	Battle of Britain
Bataille d'Hastings	Battle of Hastings
Bataille de Lépante	Battle of Lepanto (1571)
Bataille de Marathon	Battle of Marathon
Bataille de Midway	Battle of Midway
Bataille des Thermopyles (-480)	Battle of Thermopylae
Bataille de Trafalgar	Battle of Trafalgar
Bataille de Verdun	Battle of Verdun
Bataille de Waterloo	Battle of Waterloo
Bataille des Ardennes	Battle of the Bulge
Bataille de la Somme	Battle of the Somme
Cuirassé	Battleship
Bauhaus	Bauhaus
Bauxite	Bauxite
Bavière	Bavaria
Catégorie:Bavière	Bavaria
Laurier sauce	Bay Laurel
Golfe du Bengale	Bay of Bengal
Golfe de Gascogne	Bay of Biscay
Bayer AG	Bayer
Baïonnette (arme)	Bayonet
Bayonne	Bayonne
Plage	Beach
Beagle	Beagle
Bec	Beak
Ursidae	Bear
Mer de Beaufort	Beaufort Sea
Échelle de Beaufort	Beaufort scale
Castor (genre)	Beaver
Bebop	Bebop
Becquerel	Becquerel
Lit (mobilier)	Bed
Bède le Vénérable	Bede
Bédouins	Bedouin
Abeille	Bee
Fagus	Beech
Catégorie:Apiculture	Beekeeping
Bière	Beer
Catégorie:Bière	Beer
Coleoptera	Beetle
Béhaviorisme	Behaviorism
Pékin	Beijing
Beyrouth	Beirut
Biélorussie	Belarus
Catégorie:Biélorussie	Belarus
Belfast	Belfast
Belgique	Belgium
Catégorie:Belgique	Belgium
Belgrade	Belgrade
Bélisaire	Belisarius
Belize	Belize
Catégorie:Belize	Belize
Cloche	Bell (instrument)
Bellérophon	Bellerophon
Danse orientale	Belly dance
Belo Horizonte	Belo Horizonte
Béluga (baleine)	Beluga
Benelux	Benelux
Bengale	Bengal
Benghazi	Benghazi
Bénin	Benin
Catégorie:Bénin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen (Norvège)	Bergen
Mer de Béring	Bering Sea
Détroit de Béring	Bering Strait
Berkélium	Berkelium
Berkshire	Berkshire
Berlin	Berlin
Catégorie:Berlin	Berlin
Bermudes	Bermuda
Catégorie:Bermudes	Bermuda
Triangle des Bermudes	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Berne
Bernhard Riemann	Bernhard Riemann
Baie (botanique)	Berry
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Béryl	Beryl
Béryllium	Beryllium
Bêta	Beta (letter)
Radioactivité β	Beta decay
Alpha Orionis	Betelgeuse
Bethléem	Bethlehem
Bette Davis	Bette Davis
Beverly Hills (Californie)	Beverly Hills
Bey (titre)	Bey
Bhoutan	Bhutan
Catégorie:Bhoutan	Bhutan
Bible	Bible
Catégorie:Bible	Bible
