English	Bulgarian
Aquamarine	Аквамарин
Aquarium	Аквариум
Aquarius (constellation)	Водолей (съзвездие)
Aqueduct	Акведукт
Aquila (constellation)	Орел (съзвездие)
Aquitaine	Аквитания (регион)
Ara (constellation)	Жертвеник (съзвездие)
Arab	Араби
Arab League	Лига на арабските държави
Arabian Peninsula	Арабски полуостров
Arabian Sea	Арабско море
Arabic alphabet	Арабска азбука
Arabic language	Арабски език
Arachnid	Паякообразни
Arafura Sea	Арафурско море
Aragon	Арагон
Aral Sea	Аралско море
Aram Khachaturian	Арам Хачатурян
Arcadia	Аркадия (ном)
Arcangelo Corelli	Арканджело Корели
Arch	Арка
Archaeology	Археология
Archaeology	Категория:Археология
Archaeopteryx	Археоптерикс
Archangel	Архангел
Archbishop	Архиепископ
Archetype	Архетип
Archimedes	Архимед
Archipelago	Архипелаг
Architecture	Архитектура
Architecture	Категория:Архитектура
Archive	Архив
Arctic	Арктика
Arctic Circle	Северен полярен кръг
Arctic Ocean	Северен ледовит океан
Arctic fox	Полярна лисица
Ardennes	Ардени
Are	Ар
Area	Площ
Arecaceae	Палмови
Ares	Арес
Argentina	Аржентина
Argentina	Категория:Аржентина
Argon	Аргон
Argos	Аргос
Aria	Ария
Ariadne	Ариадна
Arianism	Арианство
Aries (constellation)	Овен (съзвездие)
Aristarchus of Samos	Аристарх Самоски
Aristocracy	Аристокрация
Aristophanes	Аристофан
Aristotle	Аристотел
Arithmetic	Аритметика
Arithmetic progression	Аритметична прогресия
Arius	Арий
Arizona	Аризона
Arizona	Категория:Аризона
Ark of the Covenant	Кивот
Arkansas	Арканзас
Arkansas	Категория:Арканзас
Arles	Арл
Armadillo	Броненосци
Armenia	Армения
Armenia	Категория:Армения
Armenian language	Арменски език
Arnhem	Арнем
Arno River	Арно
Arnold Schoenberg	Арнолд Шьонберг
Aromatic hydrocarbon	Арени
Arquebus	Аркебуз
Arsenic	Арсен
Art	Изкуство
Art Deco	Ар деко
Art Nouveau	Ар нуво
Art history	Категория:История на изкуството
Artemis	Артемида
Artemisia (plant)	Пелин
Artemisia absinthium	Обикновен пелин
Artery	Артерия
Arthropod	Членестоноги
Arthur Compton	Артър Холи Комптън
Arthur Conan Doyle	Артър Конан Дойл
Arthur Miller	Артър Милър
Arthur Rimbaud	Артюр Рембо
Arthur Schopenhauer	Артур Шопенхауер
Arthur Wellesley	Артър Уелсли
Artificial intelligence	Изкуствен интелект
Artillery	Артилерия
Artillery	Категория:Артилерия
Arts	Категория:Изкуство
Aruba	Аруба
Aruba	Категория:Аруба
Asbestos	Азбест
Asclepius	Асклепий
Asexuality	Асексуалност
Asia	Азия
Asia	Категория:Азия
Asmara	Асмара
Aspartame	Аспартам
Asphalt	Асфалт
Aspirin	Ацетилсалицилова киселина
Assam	Асам
Assassination	Атентат
Assembly language	Асемблер
Association of Southeast Asian Nations	Асоциация на страните от Югоизточна Азия
Assyria	Асирия
Astana	Астана
Astatine	Астатий
Asteraceae	Сложноцветни
Asteroid	Астероид
Asteroid belt	Астероиден пояс
Asthenosphere	Астеносфера
Asthma	Астма
Astigmatism (eye)	Астигматизъм
Astrakhan	Астрахан
Astrobiology	Астробиология
Astrolabe	Астролабия
Astrology	Астрология
Astrology	Категория:Астрология
Astronaut	Космонавт
Astronomer	Астроном
Astronomical unit	Астрономическа единица
Astronomy	Астрономия
Astronomy	Категория:Астрономия
Astronomy	Портал:Астрономия
Astrophysics	Астрофизика
Astrophysics	Категория:Астрофизика
Aswan	Асуан
Asymptote	Асимптота
Atacama Desert	Атакама (пустиня)
Aten	Атон (бог)
Athena	Атина (митология)
Athens	Атина
Athletics	Категория:Лека атлетика
Athletics (track and field)	Лека атлетика
Atlanta	Атланта
Atlantic Ocean	Атлантически океан
Atlantic Ocean	Категория:Атлантически океан
Atlantis	Атлантида
Atlas (disambiguation)	Атлас
Atlas (moon)	Атлас (спътник)
Atlas (mythology)	Атлас (митология)
Atlas Mountains	Атласки планини
Atmosphere (unit)	Атмосфера (единица)
Atmospheric pressure	Атмосферно налягане
Atoll	Атол
Atom	Атом
Atomic clock	Атомен часовник
Atomic mass	Атомна маса
Atomic mass unit	Единица за атомна маса
Atomic number	Атомен номер
Atomic physics	Категория:Атомна физика
Atreus	Атрей
Atropine	Атропин
Attica	Атика
Attila the Hun	Атила
Auckland	Окланд
August	Август
August 1	1 август
August 15	15 август
August 6	6 август
August Strindberg	Аугуст Стриндберг
Auguste Comte	Огюст Конт
Auguste Rodin	Огюст Роден
Augustine of Hippo	Августин
Augustus	Октавиан Август
Auriga (constellation)	Колар (съзвездие)
Aurora (astronomy)	Полярно сияние
Austin	Остин
Australasia	Австралазия и Океания
Australia	Австралия
Australia	Категория:Австралия
Australopithecus	Австралопитек
Austria	Австрия
Austria	Категория:Австрия
Austria-Hungary	Австро-Унгария
Autism	Аутизъм
Auto racing	Автомобилни спортове
Autobiography	Автобиография
Automobile	Автомобил
Autotroph	Автотроф
Autumn	Есен (сезон)
Auvergne (region)	Оверн
Avalanche	Лавина
Avatar	Аватар
Avena	Овес
Averroes	Авероес
Avesta	Авеста
Aviation	Категория:Авиация
Aviation	Авиация
Avicenna	Авицена
Avignon	Авиньон
Avocado	Авокадо
Axe	Брадва
Axiom	Аксиома
Axon	Аксон
Ayatollah	Аятолах
Ayn Rand	Айн Ранд
Azerbaijan	Азербайджан
Azerbaijan	Категория:Азербайджан
Azores	Азорски острови
Aztec	Ацтеки
BASIC	BASIC
Baboon	Павиан
Babylon	Вавилон
Babylonia	Вавилония
Backgammon	Табла
Bacteria	Бактерии
Bacteria	Категория:Бактерии
Bacteriophage	Бактериофаг
Bactrian Camel	Двугърба камила
Badminton	Бадминтон
Baffin Bay	Бафиново море
Baghdad	Багдад
Bahamas	Категория:Бахамски острови
Bahrain	Бахрейн
Bahrain	Категория:Бахрейн
Baja California	Долна Калифорния
Baklava	Баклава
Baku	Баку
Baldr	Балдур
Balearic Islands	Балеарски острови
Bali	Бали
Balkan Mountains	Стара планина
Balkan Wars	Балканска война
Balkans	Балкански полуостров
Ball	Топка
Ballet	Балет
Ballet	Категория:Балет
Ballistic missile	Балистична ракета
Ballpoint pen	Химикалка
Baltic Sea	Балтийско море
Baltimore	Балтимор
Bamako	Бамако
Bamboo	Бамбук
Banana	Банан
Banana republic	Бананова република
Bangalore	Бангалор
Bangkok	Банкок
Bangladesh	Бангладеш
Bangladesh	Категория:Бангладеш
Bangui	Банги
Banjul	Банджул
Bank	Банка
Banknote	Банкнота
Banks	Категория:Банки
Baptism	Кръщение
Baptist	Баптизъм
Bar (unit)	Бар (единица)
Barbados	Барбадос
Barbados	Категория:Барбадос
Barbarian	Варвари
Barbra Streisand	Барбара Стрейзънд
Barcelona	Барселона
Barcelona	Категория:Барселона
Barents Sea	Баренцово море
Bari	Бари
Barium	Барий
Barley	Ечемик
Barn Owl	Забулена сова
Barn Swallow	Селска лястовица
Barometer	Барометър
Baron	Барон
Baroque	Барок
Barranquilla	Баранкиля
Barrel (unit)	Барел
Baryon	Барион
Baseball	Бейзбол
Baseball	Категория:Бейзбол
Basel	Базел
Bash	Bash
Basidiomycota	Базидиеви гъби
Basil	Босилек
Basilica	Базилика
Basilicata	Базиликата
Basiliscus	Флавий Василиск
Basilisk	Василиск (митология)
Basketball	Баскетбол
Basketball	Категория:Баскетбол
Basra	Басра
Bass guitar	Бас китара
Basseterre	Бастер
Bassoon	Фагот
Bast (mythology)	Бастет
Bastille	Бастилия
Bat	Прилепи
Batman	Батман
Baton Rouge	Батън Руж
Bats	Категория:Прилепи
Battalion	Батальон
Battery (electricity)	Батерия
Battle of Austerlitz	Битка при Аустерлиц
Battle of Britain	Битка за Британия
Battle of Hastings	Битка при Хейстингс
Battle of Lepanto (1571)	Битка при Лепанто
Battle of Midway	Битка при Мидуей
Battle of Thermopylae	Битка при Термопилите
Battle of Trafalgar	Битка при Трафалгар
Battle of Verdun	Битка при Вердюн
Battle of Waterloo	Битка при Ватерлоо
Battle of the Bulge	Арденска офанзива
Battle of the Somme	Битка при Сома
Bauxite	Боксит
Bavaria	Бавария
Bavaria	Категория:Бавария
Bay Laurel	Лавър
Bay of Bengal	Бенгалски залив
Bay of Biscay	Бискайски залив
Bayer	Байер
Bayonne	Байон
Beach	Плаж
Beagle	Бигъл
Bear	Мечкови
Beaufort scale	Скала на Бофорт
Beaver	Бобри
Becquerel	Бекерел
Bede	Беда Достопочтени
Bedouin	Бедуини
Bee	Пчела
Beech	Бук
Beekeeping	Категория:Пчеларство
Beer	Бира
Beer	Категория:Бира
Beetle	Твърдокрили
Behaviorism	Бихевиоризъм
Beijing	Пекин
Beirut	Бейрут
Belarus	Беларус
Belarus	Категория:Беларус
Belfast	Белфаст
Belgium	Белгия
Belgium	Категория:Белгия
Belgrade	Белград
Belisarius	Велизарий
Belize	Белиз
Belize	Категория:Белиз
Bell (instrument)	Камбана
Bellerophon	Белерофонт
Belly dance	Кючек
Belo Horizonte	Бело Оризонте
Benelux	Бенелюкс
Benghazi	Бенгази
Benin	Бенин
Benin	Категория:Бенин
Benito Mussolini	Бенито Мусолини
Benjamin Disraeli	Бенджамин Дизраели
Benjamin Franklin	Бенджамин Франклин
Benjamin Harrison	Бенджамин Харисън
Beowulf	Беоулф
Bergen	Берген
Bering Sea	Берингово море
Bering Strait	Берингов проток
Berlin	Берлин
Berlin	Категория:Берлин
Bermuda	Бермудски острови
Bermuda	Категория:Бермудски острови
Bermuda Triangle	Бермудски триъгълник
Bernardo Bertolucci	Бернардо Бертолучи
Berne	Берн
Bernhard Riemann	Бернхард Риман
Bertolt Brecht	Бертолт Брехт
Bertrand Russell	Бъртранд Ръсел
Beryl	Берил
Beryllium	Берилий
Betelgeuse	Бетелгейзе
Bethlehem	Витлеем
Beverly Hills	Бевърли Хилс
Bey	Бей
Bhutan	Бутан
Bhutan	Категория:Бутан
Bible	Библия
Bible	Категория:Библия
Bibliography	Библиография
Bicycle	Велосипед
Big Bang	Теория на Големия взрив
Bihar	Бихар
Bikini	Бикини
Bill Clinton	Бил Клинтън
Bill Gates	Бил Гейтс
Binary star	Двойна звезда
Binoculars	Бинокъл
Biochemistry	Биохимия
Biochemistry	Категория:Биохимия
Biodiversity	Биоразнообразие
Biogeography	Биогеография
Biography	Биография
Biography	Портал:Биографии
Biological warfare	Биологично оръжие
Biology	Биология
Biology	Категория:Биология
Biology	Портал:Биология
Biophysics	Биофизика
Biopsy	Биопсия
Biosphere	Биосфера
Biotechnology	Биотехнология
Bipolar disorder	Биполярно разстройство
Birch	Бреза
Bird	Птици
Birmingham	Бирмингам (Алабама)
Bisexuality	Бисексуалност
Bishkek	Бишкек
Bishop	Епископ
Bishop (chess)	Офицер (шахмат)
Bismarck	Бисмарк (Северна Дакота)
Bismarck (disambiguation)	Бисмарк (пояснение)
Bismuth	Бисмут
Bissau	Бисау
Bit	Бит (информатика)
Bithynia	Витиния
Bivalvia	Миди
Black Death	Черна смърт
Black Forest	Шварцвалд
Black Kite	Черна каня
Black Sea	Черно море
Black Stork	Черен щъркел
Black body	Абсолютно черно тяло
Black hole	Черна дупка
Black pepper	Черен пипер
Blackbird	Кос
Blaise Pascal	Блез Паскал
Blitzkrieg	Светкавична война
Bloemfontein	Блумфонтейн
Blog	Блог
Blood	Кръв
Blood type	Кръвна група
Blue	Син цвят
Blue Whale	Син кит
Blues	Блус
Boat	Лодка
Bob Dylan	Боб Дилън
Bob Marley	Боб Марли
Bobby Fischer	Боби Фишер
Bobsleigh	Бобслей
Bodybuilding	Културизъм
Bohemia	Бохемия
Boiling point	Температура на кипене
Boise	Бойзи (Айдахо)
Boletus edulis	Обикновена манатарка
Bolivia	Боливия
Bolivia	Категория:Боливия
Bollywood	Боливуд
Bologna	Болоня
Bolzano	Болцано
Bomber	Бомбардировач
Bombyx mori	Копринена буба
Bond (finance)	Облигация
Bone	Кост
Bone marrow	Костен мозък
Bonn	Бон (Германия)
Bonsai	Бонсай
Book	Книга
Book of Esther	Книга Естир
Book of Joshua	Книга на Исус Навиев
Book of Judges	Книга на съдиите
Book of Mormon	Книга на Мормон
Book of Numbers	Числа (Библия)
Book of Revelation	Откровение на Йоан
Boolean algebra (structure)	Булева алгебра
Boomerang	Бумеранг
Bordeaux	Бордо
Boris Godunov	Борис Годунов
Boris Pasternak	Борис Пастернак
Boris Spassky	Борис Спаски
Borneo	Борнео
Boron	Бор (елемент)
Bosnia and Herzegovina	Босна и Херцеговина
Bosnia and Herzegovina	Категория:Босна и Херцеговина
Boson	Бозон
Bosporus	Босфор
Boston	Бостън
Boston Tea Party	Бостънско чаено парти
Botanical garden	Ботаническа градина
Botany	Ботаника
Botany	Категория:Ботаника
Botswana	Ботсвана
Botswana	Категория:Ботсвана
Bottle	Бутилка
Bottlenose Dolphin	Афала
Bourgogne	Бургундия (регион)
Bouvet Island	Буве
Bovid	Кухороги
Bow (weapon)	Лък
Bowling	Боулинг
Boxer (dog)	Боксер
Boxers	Категория:Боксьори
Boxing	Бокс (спорт)
Boxing	Категория:Бокс
Brahma	Брахма
Brain	Главен мозък
Bram Stoker	Брам Стокър
Brandenburg	Бранденбург (провинция)
Brass	Месинг
Brassicaceae	Кръстоцветни
Brassiere	Сутиен
Bratislava	Братислава
Braunschweig	Брауншвайг
Brazil	Бразилия
Brazil	Категория:Бразилия
Brazzaville	Бразавил
Bread	Хляб
Breast	Гърда
Breast cancer	Рак на гърдата
Bremen	Бремен
Bremen (state)	Бремен (провинция)
Bremerhaven	Бремерхафен
Brescia	Бреша
Brest	Брест (Франция)
Brest	Брест (Беларус)
Brest	Брест
Bretagne	Бретан (регион)
Brick	Тухла
Bridge	Мост
Bridges	Категория:Мостове
Bridgetown	Бриджтаун
Brigade	Бригада
Brighton	Брайтън (Англия)
Brisbane	Бризбейн
Bristol	Бристол
British Columbia	Британска Колумбия
British Empire	Британска империя
British Isles	Британски острови
British Virgin Islands	Британски Вирджински острови
British people	Категория:Британци
Brno	Бърно
Broadway (New York City)	Бродуей
Bromine	Бром
Bronze	Бронз
Bronze Age	Бронзова епоха
Brooklyn	Бруклин
Brooklyn Bridge	Бруклински мост
Brown	Кафяв цвят
Brown Bear	Кафява мечка
Brownian motion	Брауново движение
Bruce Lee	Брус Лий
Bruges	Брюж
Brunei	Бруней
Brunei	Категория:Бруней
Brussels	Брюксел
Bubonic plague	Чума
Bucharest	Букурещ
Buckingham Palace	Бъкингамски дворец
Buckwheat	Обикновена елда
Budapest	Будапеща
Buddha	Буда
Buddhism	Будизъм
Buddhism	Категория:Будизъм
Buenos Aires	Буенос Айрес
Buffalo	Бъфало
Building	Сграда
Bujumbura	Бужумбура
Bulgaria	България
Bulgaria	Категория:България
Bumblebee	Земни пчели
Buoyancy	Плаваемост
Bureaucracy	Бюрокрация
Burgomaster	Кмет
Burkina Faso	Буркина Фасо
Burkina Faso	Категория:Буркина Фасо
Burma	Мианмар
Burma	Категория:Мианмар
Bursa	Бурса
Burundi	Категория:Бурунди
Bus	Автобус
Businesspeople	Категория:Бизнесмени
Buster Keaton	Бъстър Кийтън
Butter	Краве масло
Bydgoszcz	Бидгошч
Byte	Байт
Byzantine Empire	Категория:Византийска империя
C	C
C (programming language)	C (език за програмиране)
C. S. Lewis	Клайв Стейпълс Луис
CHAOS (Linux distribution)	CHAOS
CN Tower	Си Ен Тауър
COBOL	COBOL
Cache	Кеш-памет
Cactus	Кактусови
Cadmus	Кадъм
Caelum	Длето (съзвездие)
Caesium	Цезий
Caffeine	Кофеин
Cairo	Кайро
Calabria	Калабрия
Calcite	Калцит
Calcium	Калций
Calcium carbonate	Калциев карбонат
Calcium oxide	Негасена вар
Calculator	Калкулатор
Calculus	Математически анализ
Caldera	Калдера
Calendar	Календар
Caliber	Калибър
California	Калифорния
California	Категория:Калифорния
Caligula	Калигула
Caliphate	Арабски халифат
Calliope	Калиопа
Callisto (moon)	Калисто (спътник)
Callisto (mythology)	Калисто (митология)
Calorie	Калория
Calvados	Калвадос (департамент)
Calvin Coolidge	Калвин Кулидж
Calvinism	Калвинизъм
Calypso (mythology)	Калипсо
Cambodia	Камбоджа
Cambodia	Категория:Камбоджа
Cambridge	Кеймбридж
Cambridge	Кеймбридж (Масачузетс)
Cambridge (disambiguation)	Кеймбридж (пояснение)
Camembert (cheese)	Камамбер
Camera	Фотоапарат
Cameroon	Камерун
Cameroon	Категория:Камерун
Campania	Кампания
Canada	Канада
Canada	Категория:Канада
Canadian dollar	Канадски долар
Canal	Канал
Canary Islands	Канарски острови
Canberra	Канбера
Cancer	Рак (болест)
Cancer (constellation)	Рак (съзвездие)
Candela	Кандела
Candle	Свещ
Canidae	Кучета
Canis Major	Голямо куче (съзвездие)
Cannabis	Коноп
Cannabis (drug)	Марихуана
Cannes	Кан (Южна Франция)
Cannibalism	Канибализъм
Cannon	Топ (оръдие)
Canoe	Кану
Cantata	Кантата
Canterbury	Кентърбъри
Cantonese (linguistics)	Кантонски език
Canute the Great	Кнут Велики
Capacitance	Електрически капацитет
