English	Frisian
Capital	Haadstêd
Caribbean Sea	Karibyske See
Carolingian dynasty	Karolingen
Carolus Linnaeus	Carolus Linnaeus
Carpathian Mountains	Karpaten
Carthage	Kartago
Caspian Sea	Kaspyske See
Catalonia	Kataloanje
Catharism	Kataren
Cello	Sello
Central African Republic	Sintraal-Afrikaanske Republyk
Century	Ieu
Chad	Tsjaad
Champagne-Ardenne	Champagne-Ardennen
Charadriiformes	Wilstereftigen
Charlemagne	Karel de Grutte
Charles Darwin	Charles Darwin
Charles de Gaulle	Charles de Gaulle
Chemical element	Elemint
Chemistry	Skiekunde
Chile	Sily
Chordate	Rêchstringdier
Christiaan Huygens	Christiaan Huygens
Christianity	Kristendom
Christmas	Krysttiid
Christopher Columbus	Kristoffel Kolumbus
Church (building)	Tsjerke
Cinnamon	Kaniel
Clarinet	Klarinet
Class (biology)	Klasse
Classical music	Klassike muzyk
Claude Monet	Claude Monet
Clovis I	Klovis
Cold War	Kâlde Kriich
Cologne	Keulen
Colombia	Kolombia
Colorado	Kolorado
Compact Disc	Kompaktskiif
Complex number	Kompleks getal
Composer	Komponist
Computer	Kompjûter
Computer file	Triem
Computer science	Ynformatika
Congo	Kongo
Connecticut	Konnetikut
Conquistador	Konkwistadore
Constantine I	Konstantyn de Grutte
Continent	Wrâlddiel
Coordinated Universal Time	Koördinearre Wrâldtiid
Copenhagen	Kopenhagen
Cor anglais	Althobo
Corsica	Korsika
Costa Rica	Kosta Rika
Council of Chalcedon	Konsily fan Kalsedon
Country music	Country
Court	Rjochtbank
Crane (bird)	Kraanfûgels
Cricket	Krikket
Criminal law	Strafrjocht
Croatia	Kroaasje
Crux	Suderkrús
Cuba	Kuba
Culture	Kultuer
Culture	Kategory:Kultuer
Curitiba	Curitiba
Currency	Munt
Cyprus	Syprus
Czech Republic	Tsjechje
Czech Republic	Kategory:Tsjechje
DVD	DVD
Dalai Lama	Dalai Lama
Dalmatia	Dalmaasje (regio)
Dance	Dûns
Daniel Defoe	Daniel Defoe
Danish krone	Deenske kroan
Danube	Donau
Dar es Salaam	Dar es Salaam
Dark matter	Tsjustere matearje
David Hume	David Hume
Day	Dei
Days	Kategory:Datum
Death	Dea
Decade	Desennium
December	Desimber
December 31	31 desimber
December 8	8 desimber
Decius (emperor)	Desius
Deism	Deisme
Delaware	Delaware
Delft	Delft
Democracy	Demokrasy
Democratic Party (United States)	Demokratyske Partij
Democratic Republic of the Congo	Demokratyske Republyk Kongo
Denmark	Denemark
Denmark	Kategory:Denemark
Denver	Denver
Dermatology	Dermatology
Desert	Woastyn
Desiderius Erasmus	Erasmus
Dialect	Dialekt
Diocletian	Diokletianus
Disambiguation	Kategory:Trochferwiisside
Disease	Sykte
Dogma	Dogma
Dolly (sheep)	Dolly
Domain name	Domeinnamme
Dominica	Dominika
Dominican Republic	Dominikaanske Republyk
Donald Duck	Donald Duck
Drama	Toaniel
Drum	Tromme
Dualism	Dualisme
Dualism (philosophy of mind)	Dualisme
Duke	Hartoch
Dutch people	Kategory:Nederlânsk persoan
ETA	Euskadi Ta Askatasuna
Earth	Ierde
Earth science	Ierdwittenskip
Earthquake	Ierdskodding
East Timor	East Timor
Easter	Peaske
Eclipse	Sinnefertsjustering
Economics	Ekonomy
Economics	Kategory:Ekonomy
Economy	Ekonomy
Ecuador	Ekwador
Ecumenical council	Konsily
Edgar Degas	Edgar Degas
Edinburgh	Edinboarch
Edmund Burke	Edmund Burke
Egypt	Egypte
Eiffel Tower	Eiffeltoer
El Salvador	El Salvador
Elbe	Elbe
Electrical engineering	Elektrotechnyk
Electronics	Elektroanika
Elephant	Oaljefanten
Elijah	Elia
Ella Fitzgerald	Ella Fitzgerald
Elvis Presley	Elvis Presley
Emilia-Romagna	Emilia-Romagna
Encyclopedia	Ensyklopedy
Engineering	Technyk
England	Ingelân
English Channel	It Kanaal
English language	Ingelsk
English people	Kategory:Ingelsk persoan
Equator	Evener
Erection	Ereksje
Erwin Rommel	Erwin Rommel
Esperanto	Esperanto
Etching	Ets
Ethiopia	Etioopje
Ethology	Gedrachsbiology
Euphemism	Eufemisme
Euphrates	Eufraat
Eurasia	Jeraazje
Euro	Euro
Europe	Jeropa
Europe	Kategory:Jeropa
European Central Bank	Jeropeeske Sintrale Bank
European Magpie	Ekster
European Union	Jeropeeske Uny
Executive (government)	Utfierende macht
Expo (exhibition)	Wrâldútstalling
Eye	Each
Face	Antlit
Falconiformes	Rôffûgels
Family (biology)	Famylje
February	Febrewaris
February 12	12 febrewaris
February 14	14 febrewaris
February 2	2 febrewaris
February 22	22 febrewaris
February 29	29 febrewaris
Fencing	Skermjen
Ferdinand Magellan	Ferdinand Magellaan
Ferry	Fear
Fiji	Fidzjy
Film	Filmkeunst
Finland	Finlân
First Council of Nicaea	Konsily fan Nicea
First language	Memmetaal
Flag	Flagge
Flamingo	Flamingofûgels
Florence	Florâns
Florida	Florida
Flute	Fluit
Football (soccer)	Fuotbal
Football (soccer)	Kategory:Fuotbal
Football (soccer) clubs	Kategory:Fuotbalklub
Fossil	Fossyl
France	Frankryk
France	Kategory:Frankryk
Francis of Assisi	Fransiskus fan Assisy
Frank Lloyd Wright	Frank Lloyd Wright
Frankfurt	Frankfurt
Frankfurt	Kategory:Frankfurt
French Revolution	Frânske revolúsje
French people	Kategory:Frânsk persoan
Freyja	Frija
Friday	Freed
Friedrich Engels	Friedrich Engels
Friesland	Fryslân
Friuli-Venezia Giulia	Friuly-Fenezje Giulje
Fundamental	Kategory:Haadkategory
Funk	Funk
Gabon	Gabon
Gaborone	Gaborone
Galaxy	Stjerrestelsel
Galicia (Spain)	Galysje
Gamal Abdel Nasser	Gamal Abdel Nasser
Gaul	Galje
Genetics	Erflikheidslear
Genoa	Genua (stêd)
Genus	Skaai
Geography	Geografy
Geography	Kategory:Geografy
Geology	Geology
George Orwell	George Orwell
George W. Bush	George W. Bush
Georgia (U.S. state)	Georgia
Georgia (country)	Geörgje
Georgia (country)	Kategory:Geörgje
German language	Dútsk
Germany	Dútslân
Germany	Kategory:Dútslân
Gestapo	Gestapo
Ghent	Gint
Giant Panda	Bamboebear
Glasgow	Glasgow
Gnosticism	Gnostisisme
God	God
Golden Eagle	Keningsearn
Great Crested Grebe	Hjerringslynder
Great Wall of China	Sineeske Muorre
Greater Antilles	Grutte Antillen
Greece	Grikelân
Greece	Kategory:Grikelân
Greenland	Grienlân
Greenwich Mean Time	Greenwich Mean Time
Gregorian calendar	Gregoriaanske kalinder
Greylag Goose	Skiere Goes
Gruiformes	Kraaneftigen
Guernsey	Guernsey
Guitar	Gitaar
Gull	Seefûgels
HTML	HTML
Hadith	Hadith
Hadrian	Hadrianus
Hadrian's Wall	Muorre fan Hadrianus
Haiti	Haiti
Hamburg	Hamboarch
Hamlet	Hamlet
Hannibal	Hannibal Barkas
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Hânze
Harp	Harp
Harpsichord	Klavesimbel
Haute-Normandie	Heech-Normandje
Head	Holle
Hebrew calendar	Joadske jiertelling
Hectare	Hektare
Heinrich Himmler	Heinrich Himmler
Helsinki	Helsinky
Henri Matisse	Henri Matisse
Herodotus	Herodotus
Herring Gull	Sulvermiuw
Hesse	Hessen
History	Skiednis
History	Kategory:Skiednis
Hobby	Leafhawwerij
Holy Roman Empire	Kategory:Hillige Roomske Ryk
Holy Spirit	Hillige Geast
Honduras	Hondûras
Horn of Africa	Hoarn fan Afrika
Hour	Oere
House Sparrow	Mosk
Hovercraft	Luchtkessenreau
Human	Minske
Hundred Years' War	Hûndertjierrige oarloch
Hungary	Hongarije
Iceland	Yslân
Idaho	Idaho
Ido	Ido
Illinois	Illinois
Impressionism	Ympresjonisme
India	Yndia
Indiana	Indiana
Indonesia	Yndoneezje
Industrial Revolution	Yndustriële Revolúsje
Insect	Ynsekten
Internet	Ynternet
Internet	Kategory:Ynternet
Interval (music)	Ynterval
Ionian Sea	Ionyske See
Iowa	Iowa
Iran	Iran
Iraq	Irak
Irenaeus	Irenaeus
Irish people	Kategory:Iersk persoan
Iron Age	Izertiid
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Islam	Islam
Islamic calendar	Islamityske kalinder
Island	Eilân
Isle of Man	Man
Israel	Israel
Istanbul	Istanbûl
Italy	Itaalje
Italy	Kategory:Itaalje
Jack London	Jack London
Jacques Offenbach	Jacques Offenbach
Jamaica	Jamaika
James Bond	James Bond
January	Jannewaris
January 1	1 jannewaris
January 19	19 jannewaris
January 20	20 jannewaris
January 6	6 jannewaris
Japan	Japan
Japan	Kategory:Japan
Jazz	Jazz
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jeddah
Jesus	Jezus Kristus
Johann Sebastian Bach	Johann Sebastian Bach
John Calvin	Jehannes Kalvyn
Jordan	Jordaanje
Joseph Haydn	Joseph Haydn
Joseph Smith	Joseph Smith
Joseph Stalin	Stalin
Jovian	Jovianus
Judaism	Joadendom
Julian the Apostate	Julianus Apostata
July	July
July 1	1 july
July 4	4 july
June	Juny
June 14	14 juny
June 21	21 juny
June 23	23 juny
June 24	24 juny
June 29	29 juny
June 3	3 juny
Juneau	Juneau
Jupiter	Jupiter
KGB	KGB
Kansas	Kansas
Karl Marx	Karl Marx
Katharine Hepburn	Katharine Hepburn
Katowice	Katowice
Kazakhstan	Kazakstan
Kentucky	Kentucky
Kenya	Kenya
Keyboard (computing)	Toetseboerd
King (chess)	Kening (skaken)
King Arthur	Kening Arthur
King Lear	Kening Lear
Kiss	Tút
Krakatoa	Krakatau
Kuwait	Koeweit
Kyrgyzstan	Kirgyzje
L'Aquila	L'Akwila (stêd)
Lake	Mar
Language	Taal
Languedoc-Roussillon	Languedok-Roussillon
Laos	Laos
Laser	Laser
Latin	Latynsk
Latin America	Latynsk-Amearika
Latin alphabet	Latynske alfabet
Latvia	Letlân
Law	Rjocht
Lazio	Lazio
Leaning Tower of Pisa	Toer fan Pisa
Leap year	Skrikkeljier
Lebanon	Libanon
Leiden	Leien
Leon Trotsky	Leon Trotski
Leonardo da Vinci	Leonardo da Vinci
Lepidoptera	Flinters
Lesser Antilles	Lytse Antillen
Lewis Carroll	Lewis Carroll
Liberia	Libearia
Library	Bibleteek
Libya	Lybje
Liechtenstein	Lychtenstein
Lightning	Bliksem
Liguria	Ligurje
Limousin (region)	Limousin
Linguistics	Taalkunde
Linguistics	Kategory:Taalkunde
Lisbon	Lissabon
Literature	Literatuer
Literature	Kategory:Literatuer
Lithuania	Litouwen
Lithuania	Kategory:Litouwen
Loch Ness	Loch Ness
Logic	Logika
Lombardy	Lombardije
London	Londen
Long-eared Owl	Hoarnûle
Lorraine (region)	Lotaringen
Los Angeles	Los Angeles
Louis the Pious	Loadewyk de Fromme
Louisiana	Louisiana
Low German	Nederdútsk
Lower Saxony	Nedersaksen
Luanda	Luanda
Lucretius	Lukretius
Ludwig van Beethoven	Ludwig van Beethoven
Luxembourg	Lúksemboarch
Lyon	Lyon
MS-DOS	MS-DOS
Macbeth	Macbeth
Macedonia	Masedoanje
Madrid (autonomous community)	Madrid (regio)
Maghreb	Magrib
Maine	Maine
Maize	Stynske weet
Malaysia	Maleizje
Maldives	Maldiven
Mallard	Wylde Ein
Malta	Malta
Mammal	Sûchdieren
Manama	Manama
Manatee	Lamantinen
Marathon	Maraton
March	Maart
March 17	17 maart
March 19	19 maart
March 2	2 maart
March 25	25 maart
Marche	Marké
Marco Polo	Marko Polo
Marcus Aurelius	Markus Aurelius
Margaret Mead	Margaret Mead
Marie Curie	Maria Curie-Skłodowska
Mariehamn	Mariehamn
Markup language	Markeartaal
Martin Luther	Maarten Luther
Martin Luther King	Martin Luther King
Maryland	Marylân
Massachusetts	Massachusetts
Mata Hari	Mata Hari
Mathematics	Wiskunde
Mathematics	Kategory:Wiskunde
Mauritania	Mauritaanje
Mauritius	Mauritsius
Maximian	Maksimianus
May	Maaie
May 1	1 maaie
May 24	24 maaie
Mayor	Boargemaster
Medicine	Genêskunde
Medicine	Kategory:Genêskunde
Meditation	Meditaasje
Mediterranean Sea	Middellânske See
Meister Eckhart	Master Eckhart
Meridian (geography)	Meridiaan
Merovingian	Merovingen
Mesopotamia	Mesopotaamje
Metaphysics	Metafysika
Meteorology	Waarkunde
Mexico	Meksiko
Michael (archangel)	Aartsingel Michaël
Michel Ney	Michel Ney
Michigan	Michigan
Mickey Mouse	Mickey Mouse
Middle Ages	Midsieuwen
Middle Ages	Kategory:Midsieuwen
Milan	Milaan
Millennium	Milennium
Minnesota	Minnesota
Minute	Minút
Missouri	Missoury
Moldova	Moldaavje
Molecular biology	Molekulêre biology
Molise	Molise (regio)
Monaco	Monako
Monday	Moandei
Mongolia	Mongoalje
Mongolia	Kategory:Mongoalje
Monotheism	Monoteisme
Mont Blanc	Mont Blanc
Montana	Montana
Montenegro	Montenegro
Montgomery	Montgomery (Alabama)
Month	Moanne (tiid)
Montreal	Montreal
Moon	Moanne (himellichem)
Morocco	Marokko
Morse code	Morsekoade
Moscow	Moskou
Moscow	Kategory:Moskou
Mosque	Moskee
Mother Teresa	Mem Teresa
Motto	Biedwurd
Mount Rushmore	Mount Rusmore
Mountain	Berch
Muhammad	Mohammed
Municipality	Gemeente
Muscle	Spier
Music	Muzyk
Music	Kategory:Muzyk
Musical instrument	Muzykynstrumint
Musicology	Muzikology
Mute Swan	Knobbelswan
Mythology	Mytology
NATO	Noard-Atlantyske Ferdrachsorganisaasje
Namibia	Namybje
Naples	Napels (stêd)
National anthem	Folksliet
National park	Nasjonaal park
Nauru	Naurû
Nebraska	Nebraska
Nelson Mandela	Nelson Mandela
Neon	Neon
Nepal	Nepal
Netherlands	Nederlân
Netherlands	Kategory:Nederlân
Nevada	Nevada
Neville Chamberlain	Neville Chamberlain
New Hampshire	Nij Hampshire
New Jersey	Nij Jersey
New Mexico	Nij Meksiko
New Testament	Nije Testamint
New World	Nije Wrâld
Nicaragua	Nikaragûa
Nicolaus Copernicus	Nicolaus Copernicus
Nigeria	Nigearia
Nijmegen	Nymwegen
Nobel Prize	Nobelpriis
Nobel Prize	Kategory:Nobelpriis
Nobility	Eallju
Normandy	Normandje
North America	Noard-Amearika
North America	Kategory:Noard-Amearika
North Carolina	Noard Karolina
North Dakota	Noard Dakota
North Korea	Noard-Korea
North Pole	Noardpoal
North Sea	Noardsee
Northern Europe	Noard-Jeropa
Norway	Noarwegen
November	Novimber
November 1	1 novimber
November 11	11 novimber
November 2	2 novimber
November 5	5 novimber
Novial	Novial
Nuclear power	Kearnenerzjy
Number	Getal
Oboe	Hobo
Ocean	Oseaan
Oceania	Oseaanje
Octave	Oktaaf
October	Oktober
October 12	12 oktober
October 24	24 oktober
Oder River	Oder
Odin	Weda
Ohio	Ohio
Old Testament	Alde Testamint
Olympic Games	Olympyske Spullen
Oman	Oman
Order (biology)	Skift
Oregon	Oregon
Origen	Origenes
Ornithology	Ornitology
Osama bin Laden	Osama bin Laden
Osprey	Fiskearn
Ottawa	Ottawa
Ottoman Empire	Osmaanske Ryk
Oviedo	Oviedo (stêd)
Owl	Uleëftigen
Oxygen	Soerstof
Pacific Ocean	Stille Oseaan
Paganism	Heidendom
Pakistan	Pakistan
Paleontology	Paleontology
Palermo	Palermo (stêd)
Panama	Panama
Paraguay	Paraguay
Paramaribo	Paramaribo (stêd)
Paris	Parys
Passerine	Moskeftigen
Patagonia	Patagoanje
Paul Gauguin	Paul Gauguin
Paul the Apostle	Paulus (apostel)
Pays de la Loire	Pays de la Loire
Penguin	Pinguins
Peninsula	Skiereilân
Pennsylvania	Pennsylvania
Pentecost	Pinkster
Pentecostalism	Pinksterbeweging
People	Kategory:Persoan
People's Republic of China	Sina
Pepin the Short	Pippyn de Koarte
Percussion instrument	Slachynstrumint
Periodic table	Periodyk systeem fan 'e eleminten
Persian Empire	Perzyske Ryk
Persian Gulf	Perzyske Golf
Peru	Perû
Philip II of Macedon	Filippus II
Philippines	Filipinen
Philosophy	Filosofy
Philosophy	Kategory:Filosofy
Phoenicia	Foenysjers
Phoenix	Phoeniks
Physics	Natuerkunde
Physics	Kategory:Natuerkunde
Physiology	Fysiology
Piano	Piano
Picardie	Pikardje
Piciformes	Spjochteftigen
Piedmont	Piëmont
Planet	Planeet
Platelet	Bloedplaatsjes
Plato	Plato
Pleistocene	Pleistoseen
Poaceae	Gerzen
Poetry	Poëzy
Poitou-Charentes	Poitou-Charentes
Poland	Poalen
Politics	Polityk
Politics	Kategory:Polityk
Polymer	Polymear
Polynomial	Mearterm
Polytheism	Polyteisme
Pop music	Popmuzyk
Pope	Paus
Population	Befolking
Portugal	Portegal
Portugal	Kategory:Portegal
Postal code	Postkoade
Prehistory	Prehistoarje
President	Presidint
Prime Meridian	Nulmeridiaan
Protestant Reformation	Reformaasje
Psychology	Psychology
Ptolemy	Ptolemaeus
Punk	Kategory:Punk
Punk rock	Punk rock
Pyrenees	Pyreneeën
Qatar	Katar
Quebec	Quebec (provinsje)
Quebec City	Quebec (stêd)
Reggae	Reggee
Reincarnation	Reynkarnaasje
Religion	Religy
Religion	Kategory:Religy
Rembrandt	Rembrandt van Rijn
Renaissance	Renêssânse
Republic	Republyk
Republic of Ireland	Ierlân
Republic of the Congo	Republyk Kongo
Republican Party (United States)	Republikeinske Partij
Resistor	Wjerstân
Rhine	Ryn
Rhode Island	Rhode Island
Richard Wagner	Richard Wagner
Riyadh	Riyad
Road	Wei
Roald Amundsen	Roald Amundsen
Robert De Niro	Robert de Niro
Rock and roll	Rock and roll
Rocky Mountains	Rocky Mountains
Roman Empire	Romeinske ryk
Roman mythology	Romeinske mytology
Romania	Roemeenje
Rome	Rome (stêd)
Rotterdam	Rotterdam
Russia	Ruslân
Russia	Kategory:Ruslân
Saint Kitts and Nevis	Sint Kits en Nevis
Saint Nicholas	Niklaas fan Myra
Saint Peter	Petrus
Saint Vincent and the Grenadines	Sint Vincent en de Grenadinen
Samuel Beckett	Samuel Beckett
San Marino	San Marino
Sardinia	Sardynje
Saturday	Sneon
Saudi Arabia	Saûdy-Araabje
Saxony	Saksen (dielsteat)
Saxophone	Saksofoan
Scandinavia	Skandinaavje
Scandinavia	Kategory:Skandinaavje
Scandinavian Peninsula	Skandinavysk Skiereilân
Scheldt	Skelde
Scholasticism	Skolastyk
Science	Kategory:Wittenskip
Scipio Africanus	Skipio Afrikanus
Scotland	Skotlân
Scouting	Skouting
Sea of Japan	Japanske See
Second	Sekonde
Senegal	Senegal
September	Septimber
September 11	11 septimber
September 17	17 septimber
September 29	29 septimber
Serbia	Servje
Serbia and Montenegro	Servje en Montenegro
Seychelles	Seysjellen
Shamanism	Sjamanisme
Shanghai	Shanghai
Sherlock Holmes	Sherlock Holmes
Shinto	Sjintoisme
Siberia	Sibearje
Sicily	Sisylje
Sierra Leone	Sierra Leöane
Silesia	Sileezje
Singapore	Singapore
Sirenia	Seekij
Skopje	Skopje
Slovakia	Slowakije
Slovenia	Sloveenje
Snow	Snie
Society of Jesus	Jezuïten
Sociology	Sosjology
Socrates	Sokrates
Solar System	Sinnestelsel
Solar eclipse	Sinnefertsjustering
Somalia	Somaalje
Soul	Siel (geast)
South Africa	Kategory:Súd-Afrika
South America	Súd-Amearika
South America	Kategory:Súd-Amearika
South Carolina	Súd Karolina
South Dakota	Súd Dakota
South Korea	Súd-Korea
South Pole	Súdpoal
Soviet Union	Sowjetuny
Space station	Romtestasjon
Spain	Spanje
Spain	Kategory:Spanje
Species	Soarte
Split	Split
Sport	Sport
Sri Lanka	Sry Lanka
Standard Generalized Markup Language	SGML
State	Steat
Statistics	Statistyk
Stockholm	Stokholm
Stone Age	Stientiid
Strait of Gibraltar	Strjitte fan Gibraltar
Stuttgart	Stuttgart
Subculture	Subkultuer
Sudan	Sûdan
Sudoku	Sudoku
Sumo	Sumo
Sun	Sinne
Sunday	Snein
Suriname	Suriname
Svalbard	Spitsbergen
Swan	Swannen
Swaziland	Swazilân
Sweden	Sweden
Switzerland	Switserlân
Taboo	Taboe
Tacitus	Publius Kornelius Tasitus
Taiwan	Taiwan
Taj Mahal	Taj Mahal
Tajikistan	Tadzjikistan
Tallinn	Tallin
Tanzania	Tanzania
Taxonomy	Taksonomy
Tbilisi	Tbilisi
Television	Televyzje
Temple	Timpel
Tenerife	Teneryf
Tennessee	Tennessee
Tennis	Tennis
Texas	Teksas
Thailand	Tailân
The Gambia	Gambia
The Hague	De Haach
Theatre	Teater
Theodor Mommsen	Christian Matthias Theodor Mommsen
Theodosius I	Teodosius de Grutte
Thomas Aquinas	Tomas fan Akwino
Thor	Tonger (god)
Thuringia	Türingen
Thursday	Tongersdei
Tigris	Tigris
Time	Tiid
Time zone	Tiidsône
Titus	Titus
Tokyo	Tokio
Toronto	Toronto
Tour de France	Omgong fan Frankryk
Town	Stêd
Tradition	Tradysjes
Trajan	Trajanus
Trinidad and Tobago	Trinidad en Tobago
Triskelion	Triskel
Trombone	Tromboane
Trumpet	Trompet
Tsunami	Tsûnamy
Tuesday	Tiisdei
Turin	Turyn (stêd)
Turkey	Turkije
Turkmenistan	Turkmenistan
Tuscany	Toskane
Tyrrhenian Sea	Tyrreenske See
UNESCO	UNESCO
Uganda	Uganda
Ukraine	Oekraïne
Umbria	Umbrje
Unidentified flying object	Unbekend fleanend objekt
United Arab Emirates	Feriene Arabyske Emiraten
United Kingdom	Grut-Brittanje
United Kingdom	Kategory:Feriene Keninkryk
United Nations	Feriene Naasjes
United States	Feriene Steaten
United States	Kategory:Feriene Steaten
United States Air Force	United States Air Force
United States Congress	Amerikaansk Kongres
United States Senate	Amerikaanske Senaat
United States dollar	Amerikaanske Dollar
Universe	Hielal
University	Universiteit
Uranus	Uranus
Uruguay	Urûguay
Utah	Utah
Utrecht (city)	Utert (stêd)
Utrecht (province)	Utert (provinsje)
Uzbekistan	Oezbekistan
Vatican City	Fatikaanstêd
Veneto	Feneto
Venezuela	Fenezuëla
Venice	Feneesje (stêd)
Venus	Fenus
Vermont	Fermont
Verona	Ferona
Vertebrate	Wringedier
Vietnam	Fietnam
Viking	Wytsingen
Village	Doarp
Vilnius	Vilnjûs
Vincent van Gogh	Vincent van Gogh
Viola	Altfioel
Violin	Fioele
Virginia	Firginia
Vistula	Wisla
Vladimir Lenin	Vladimir Lenin
Volcano	Fulkaan
Volleyball	Follybal
Volleyball	Kategory:Folleybal
Walt Disney	Walt Disney
Warsaw	Warsjau
Washington	Washington, D.C.
Washington	Washington (steat)
Web page	Webstee
Wednesday	Woansdei
Week	Wike
Weser River	Weser
West Virginia	West Firginia
Western Sahara	Westlike Sahara
Wiesbaden	Wiesbaden
William Shakespeare	William Shakespeare
Wind instrument	Blaasynstrumint
Windmill	Wynmûne
Winston Churchill	Winston Churchill
Wisconsin	Wiskonsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woodrow Wilson	Woodrow Wilson
Woodwind instrument	Houtblaasynstrumint
World War I	Earste Wrâldkriich
World War I	Kategory:Earste Wrâldkriich
World War II	Twadde Wrâldkriich
