English	Greek
Arthropod	Αρθρόποδα
Arthur Rimbaud	Αρθούρος Ρεμπώ
Arthur Schopenhauer	Αρθούρος Σοπενχάουερ
Artificial intelligence	Τεχνητή νοημοσύνη
Artificial intelligence	Κατηγορία:Τεχνητή νοημοσύνη
Artillery	Πυροβολικό
Arts	Κατηγορία:Τέχνες
Aruba	Αρούμπα
Aruba	Κατηγορία:Αρούμπα
Asbestos	Αμίαντος
Asclepius	Ασκληπιός
Asgard	Άσγκαρντ
Asia	Ασία
Asia	Κατηγορία:Ασία
Asmara	Ασμάρα
Asphalt	Άσφαλτος
Aspirin	Ασπιρίνη
Assembly language	Assembly (γλώσσα προγραμματισμού)
Association of Southeast Asian Nations	Ένωση Χωρών της Νοτιοανατολικής Ασίας
Assyria	Ασσυρία
Assyria	Κατηγορία:Ασσυρία
Astatine	Άστατο
Asteroid	Αστεροειδής
Asthenosphere	Ασθενόσφαιρα
Asthma	Άσθμα
Astrakhan	Άστραχαν
Astrobiology	Βιοαστρονομία
Astrolabe	Αστρολάβος
Astrology	Αστρολογία
Astrometry	Αστρομετρία
Astronomical unit	Αστρονομική μονάδα
Astronomy	Αστρονομία
Astronomy	Κατηγορία:Αστρονομία
Astrophysics	Αστροφυσική
Astrophysics	Κατηγορία:Αστροφυσική
Aswan	Ασσουάν
Atacama Desert	Ατακάμα
Aten	Ατέν
Athena	Αθηνά
Athens	Αθήνα
Athletics (track and field)	Στίβος
Atlanta	Ατλάντα
Atlantic Ocean	Ατλαντικός Ωκεανός
Atlantic Ocean	Κατηγορία:Ατλαντικός Ωκεανός
Atlantis	Ατλαντίδα
Atlas (disambiguation)	Άτλας
Atlas (moon)	Άτλας (δορυφόρος)
Atlas (mythology)	Άτλας (μυθολογία)
Atmosphere (unit)	Ατμόσφαιρα (μονάδα)
Atmospheric pressure	Ατμοσφαιρική πίεση
Atoll	Ατόλη
Atom	Άτομο
Atomic mass	Ατομικό βάρος
Atomic number	Ατομικός αριθμός
Atomic physics	Ατομική Φυσική
Atreus	Ατρέας
Attica	Αττική
Attila the Hun	Αττίλας
Au	AU
Auckland	Ώκλαντ
August	Αύγουστος
August 1	1 Αυγούστου
August 15	15 Αυγούστου
August 6	6 Αυγούστου
Auguste Comte	Αύγουστος Κοντ
Auguste Rodin	Αύγουστος Ροντέν
Augustine of Hippo	Αυγουστίνος Ιππώνος
Auriga (constellation)	Ηνίοχος (αστερισμός)
Aurora (astronomy)	Σέλας
Austin	Ώστιν
Australasia	Αυστραλασία
Australia	Αυστραλία
Australia	Κατηγορία:Αυστραλία
Austria	Αυστρία
Austria	Κατηγορία:Αυστρία
Austria-Hungary	Αυστροουγγαρία
Author	Συγγραφέας
Autism	Αυτισμός
Automobile	Αυτοκίνητο
Autumn	Φθινόπωρο
Avatar	Αβατάρ
Averroes	Αβερρόης
Avesta	Αβέστα
Aviation	Κατηγορία:Αεροπορία
Avicenna	Αβικέννας
Avignon	Αβινιόν
Avocado	Αβοκάντο
Avogadro's law	Υπόθεση Αβογκάντρο
Azerbaijan	Αζερμπαϊτζάν
Azerbaijan	Κατηγορία:Αζερμπαϊτζάν
Azimuth	Αζιμούθιο
Azores	Αζόρες
Aztec	Αζτέκοι
Azurite	Αζουρίτης
B	B
BASIC	BASIC
Babylon	Βαβυλώνα
Backgammon	Τάβλι
Bacteria	Βακτήριο
Bacteriophage	Φάγος
Badminton	Αντιπτέριση
Baghdad	Βαγδάτη
Bahamas	Κατηγορία:Μπαχάμες
Bahrain	Μπαχρέιν
Bahrain	Κατηγορία:Μπαχρέιν
Baklava	Μπακλαβάς
Baku	Μπακού
Balalaika	Μπαλαλάικα
Baldr	Μπαλντρ
Balearic Islands	Βαλεαρίδες Νήσοι
Bali	Μπαλί
Balkan Wars	Βαλκανικοί πόλεμοι
Balkans	Βαλκάνια
Ball	Μπάλα
Baltic Sea	Βαλτική Θάλασσα
Baltimore	Βαλτιμόρη
Bamboo	Μπαμπού
Banana	Μπανάνα
Banana republic	Μπανανία
Bangkok	Μπανγκόκ
Bangladesh	Μπανγκλαντές
Bangladesh	Κατηγορία:Μπανγκλαντές
Bank	Τράπεζα
Banknote	Χαρτονόμισμα
Baptism	Βάπτισμα (Χριστιανισμός)
Bar (unit)	Βαρομετρική μονάδα
Barbados	Μπαρμπάντος
Barbados	Κατηγορία:Μπαρμπάντος
Barbarian	Βάρβαροι
Barcelona	Βαρκελώνη
Barcelona	Κατηγορία:Βαρκελώνη
Barents Sea	Θάλασσα Μπάρεντς
Bari	Μπάρι
Barium	Βάριο
Barometer	Βαρόμετρο
Baroque	Μπαρόκ
Baryon	Βαρυόνιο
Base (chemistry)	Βάση
Baseball	Κατηγορία:Μπέιζμπολ
Basel	Βασιλεία (Ελβετία)
Basil	Βασιλικός
Basil of Caesarea	Βασίλειος Καισαρείας
Basilica	Ρυθμός της Βασιλικής
Basiliscus	Φλάβιος Βασιλίσκος
Basketball	Καλαθοσφαίριση
Basketball	Κατηγορία:Καλαθοσφαίριση
Bassoon	Φαγκότο
Bastille	Βαστίλη
Batman	Μπάτμαν
Battery (electricity)	Μπαταρία
Battle of Lepanto (1571)	Ναυμαχία της Ναυπάκτου
Battle of Marathon	Μάχη του Μαραθώνα
Battle of Thermopylae	Μάχη των Θερμοπυλών
Battle of Trafalgar	Ναυμαχία του Τραφάλγκαρ
Battle of Verdun	Μάχη του Βερντέν
Battle of the Bulge	Μάχη των Αρδεννών
Battle of the Somme	Μάχη του Σομμ
Bauhaus	Μπάουχαους
Bauxite	Βωξίτης
Bavaria	Βαυαρία
Bavaria	Κατηγορία:Βαυαρία
Bay Laurel	Δάφνη (φυτό)
Bay of Biscay	Βισκαϊκός κόλπος
Beach	Παραλία
Bear	Αρκούδα
Beaufort Sea	Θάλασσα Μποφόρ
Beaufort scale	Κλίμακα Μποφόρ
Bebop	Μπίμποπ
Bed	Κρεβάτι
Bedouin	Βεδουίνοι
Bee	Μέλισσα
Beech	Οξιά
Beer	Μπίρα
Beetle	Κολεόπτερα
Beijing	Πεκίνο
Beirut	Βηρυτός
Belarus	Λευκορωσία
Belarus	Κατηγορία:Λευκορωσία
Belfast	Μπέλφαστ
Belgium	Βέλγιο
Belgium	Κατηγορία:Βέλγιο
Belgrade	Βελιγράδι
Belize	Μπελίζε
Belize	Κατηγορία:Μπελίζε
Bellerophon	Βελλεροφόντης
Belly dance	Χορός οριεντάλ
Benelux	Μπενελούξ
Benghazi	Βεγγάζη
Benin	Μπενίν
Benin	Κατηγορία:Μπενίν
Benito Mussolini	Μπενίτο Μουσολίνι
Benjamin Franklin	Βενιαμίν Φραγκλίνος
Beowulf	Μπέογουλφ (έπος)
Bering Strait	Βερίγγειος Πορθμός
Berkelium	Μπερκέλιο
Berkshire	Μπέρκσαϊρ
Berlin	Βερολίνο
Berlin	Κατηγορία:Βερολίνο
Bermuda	Βερμούδες
Bermuda	Κατηγορία:Βερμούδες
Berne	Βέρνη
Bernhard Riemann	Μπέρναρντ Ρίμαν
Berry	Μούρο
Bertolt Brecht	Μπέρτολτ Μπρεχτ
Bertrand Russell	Μπέρτραντ Ράσελ
Beryllium	Βηρύλλιο
Beta (letter)	Βήτα
Beta decay	Διάσπαση βήτα
Bethlehem	Βηθλεέμ
Bette Davis	Μπέτι Ντέιβις
Bey	Μπέης
Bhutan	Μπουτάν
Bible	Αγία Γραφή
Bible	Κατηγορία:Βίβλος
Bicycle	Ποδήλατο
Big Bang	Μεγάλη έκρηξη
Bile	Χολή
Bill Clinton	Μπιλ Κλίντον
Bill Gates	Μπιλ Γκέιτς
Biochemistry	Βιοχημεία
Biochemistry	Κατηγορία:Βιοχημεία
Biodiversity	Βιοποικιλότητα
Biogeography	Βιογεωγραφία
Biology	Βιολογία
Biology	Κατηγορία:Βιολογία
Biomass	Βιομάζα
Biophysics	Βιοφυσική
Biosphere	Βιόσφαιρα
Biotechnology	Βιοτεχνολογία
Bipolar disorder	Διπολική διαταραχή
Birch	Σημύδα
Bisexuality	Αμφιφυλοφιλία
Bishop	Επίσκοπος
Bishop (chess)	Αξιωματικός (σκάκι)
Bismuth	Βισμούθιο
Bissau	Μπισσάου
Bit	Bit
Bithynia	Βιθυνία
Black	Μαύρο
Black Death	Μαύρη Πανώλη
Black Forest	Μέλανας Δρυμός
Black Sea	Μαύρη Θάλασσα
Black Stork	Μαυροπελαργός
Black body	Μέλαν σώμα
Black hole	Μαύρη τρύπα
Bloemfontein	Μπλουμφοντέιν
Blog	Ιστολόγιο
Blood	Αίμα
Blue	Μπλε
Blues	Μπλουζ
Boar	Αγριόχοιρος
Board game	Επιτραπέζιο
Boat	Λέμβος
Bob Dylan	Μπομπ Ντίλαν
Bobby Fischer	Μπόμπι Φίσερ
Bodybuilding	Σωματοδόμηση
Bohemia	Βοημία
Bohrium	Μπόριο
Bolivia	Βολιβία
Bolivia	Κατηγορία:Βολιβία
Bologna	Μπολόνια
Bolzano	Μπολτζάνο
Bomb	Βόμβα
Bond (finance)	Ομόλογο
Bone	Οστό
Bonn	Βόννη
Book	Βιβλίο
Book of Mormon	Το Βιβλίο του Μόρμον
Book of Revelation	Αποκάλυψη του Ιωάννη
Bordeaux	Μπορντό
Boris Godunov	Μπαρίς Γκοντουνόβ
Boris Pasternak	Μπορίς Παστερνάκ
Boris Spassky	Μπόρις Σπάσκυ
Boron	Βόριο
Bosnia and Herzegovina	Βοσνία και Ερζεγοβίνη
Bosnia and Herzegovina	Κατηγορία:Βοσνία και Ερζεγοβίνη
Boson	Μποζόνιο
Bosporus	Βόσπορος
Boston	Βοστώνη
Botanical garden	Βοτανικός Κήπος
Botany	Βοτανική
Botany	Κατηγορία:Βοτανική
Botswana	Μποτσουάνα
Botswana	Κατηγορία:Μποτσουάνα
Bottle	Φιάλη (δοχείο)
Bourgogne	Βουργουνδία
Bouvet Island	Μπουβέ
Bow (weapon)	Τόξο (όπλο)
Bowling	Μπόουλινγκ
Boxers	Κατηγορία:Πυγμάχοι
Boxing	Πυγμαχία
Boyle's law	Νόμος του Μπόιλ
Braga	Μπράγκα
Braille	Σύστημα Μπράιγ
Brain	εγκέφαλος
Bram Stoker	Μπραμ Στόκερ
Brandenburg	Βραδεμβούργο
Brass	Ορείχαλκος
Bratislava	Μπρατισλάβα
Brazil	Βραζιλία
Brazil	Κατηγορία:Βραζιλία
Bread	Ψωμί
Bremen	Βρέμη
Brest	Βρέστη
Brick	Τούβλο
Bridge	Γέφυρα
Bridges	Κατηγορία:Γέφυρες
Bridgetown	Μπριτζτάουν
Brindisi	Μπρίντιζι
British Columbia	Βρετανική Κολομβία
British Isles	Βρετανικά Νησιά
British Virgin Islands	Βρετανικές Παρθένοι Νήσοι
British people	Κατηγορία:Βρετανοί
Brno	Μπρνο
Broccoli	Μπρόκολο
Bromine	Βρώμιο
Bronze	Κρατέρωμα
Bronze Age	Εποχή του Χαλκού
Brown Bear	Καφέ αρκούδα
Brownian motion	Κίνηση Μπράουν
Bruce Lee	Μπρους Λη
Bruges	Μπριζ
Brunei	Μπρουνέι
Brunei	Κατηγορία:Μπρουνέι
Brussels	Βρυξέλλες
Bucharest	Βουκουρέστι
Buckingham Palace	Ανάκτορα του Μπάκιγχαμ
Buckminster Fuller	Ρίτσαρτ Μπάκμινστερ Φύλλερ
Budapest	Βουδαπέστη
Buddha	Βούδας
Buddhism	Βουδισμός
Buenos Aires	Μπουένος Άιρες
Building	Κτίριο
Bulgaria	Βουλγαρία
Bulgaria	Κατηγορία:Βουλγαρία
Buoyancy	Αρχή του Αρχιμήδη
Burgomaster	Δήμαρχος
Burkina Faso	Μπουρκίνα Φάσο
Burkina Faso	Κατηγορία:Μπουρκίνα Φάσο
Burma	Μιανμάρ
Bursa	Προύσα
Burundi	Κατηγορία:Μπουρούντι
Bus	Λεωφορείο
Business	Επιχείρηση
Businesspeople	Κατηγορία:Επιχειρηματίες
Butane	Βουτάνιο
Butterfly effect	Φαινόμενο της πεταλούδας
Bydgoszcz	Μπιντγκός
Byte	Byte
Byzantine Empire	Κατηγορία:Βυζαντινή Αυτοκρατορία
C	C
C (programming language)	C (γλώσσα προγραμματισμού)
COBOL	COBOL
Cache	Κρυφή μνήμη ΚΜΕ
Cadmium	Κάδμιο
Cadmus	Κάδμος
Caelum	Γλυφείον (αστερισμός)
Caesium	Καίσιο
Cairo	Κάιρο
Calabria	Καλαβρία
Calais	Καλαί
Calcium	Ασβέστιο
Calculator	Αριθμομηχανή
Calculus	Απειροστικός λογισμός
Caldera	Καλδέρα
Calendar	Ημερολόγιο
California	Καλιφόρνια
California	Κατηγορία:Καλιφόρνια
Californium	Καλιφόρνιο
Caliph	Χαλίφης
Calliope	Καλλιόπη (μυθολογία)
Callisto (moon)	Καλλιστώ (δορυφόρος)
Callisto (mythology)	Καλλιστώ (μυθολογία)
Calorie	Θερμίδα
Calvary	Γολγοθάς
Calypso (mythology)	Καλυψώ
Cambodia	Καμπότζη
Cambodia	Κατηγορία:Καμπότζη
Cambrian	Κάμβρια περίοδος
Cambridge	Κέμπριτζ
Camel	Καμήλα
Camera	Φωτογραφική μηχανή
Cameroon	Καμερούν
Cameroon	Κατηγορία:Καμερούν
Campania	Καμπανία Ιταλίας
Canada	Καναδάς
Canada	Κατηγορία:Καναδάς
Canary Islands	Κανάριες Νήσοι
Canary Islands	Κατηγορία:Κανάριες νήσοι
Canberra	Καμπέρα
Cancer	Καρκίνος
Cancer (constellation)	Καρκίνος (αστερισμός)
Canis Major	Κύων Μέγας
Canis Minor	Κύων Μικρός
Cannabis	Κάνναβις
Cannes	Κάννες
Canopus	Κάνωπος (αστέρας)
Cantata	Καντάτα
Canute the Great	Κνούτος
Capacitor	Πυκνωτής
Cape Town	Κέιπ Τάουν
Cape Verde	Πράσινο Ακρωτήριο
Cape Verde	Κατηγορία:Πράσινο Ακρωτήριο
Capital	Πρωτεύουσα
Capital punishment	Θανατική ποινή
Capitalism	Καπιταλισμός
Cappadocia	Καππαδοκία
Capricornus	Αιγόκερως
Capsicum	Πιπεριά
Caracas	Καράκας
Caravaggio	Καραβάτζιο
Carbohydrate	Υδατάνθρακες
Carbon	Άνθρακας
Carbon dioxide	Διοξείδιο του άνθρακα
Carburetor	Εξαερωτήρας
Cardiff	Κάρντιφ
Cardinal (Catholicism)	Καρδινάλιος
Caribbean Sea	Καραϊβική Θάλασσα
Caricature	Γελοιογραφία
Carina (constellation)	Τρόπις (αστερισμός)
Carl Jung	Καρλ Γκούσταβ Γιουνγκ
Carnival	Απόκριες
Carnivore	Σαρκοφάγα
Carolus Linnaeus	Κάρολος Λινναίος
Carpathian Mountains	Καρπάθια Όρη
Carrot	Καρότο
Cartesian coordinate system	Καρτεσιανό σύστημα συντεταγμένων
Carthage	Καρχηδόνα
Cartography	Χαρτογραφία
Cartography	Κατηγορία:Χαρτογραφία
Casablanca	Καζαμπλάνκα
Casino	Καζίνο
Caspian Sea	Κασπία Θάλασσα
Cassandra	Κασσάνδρα
Cassiopeia (constellation)	Κασσιόπη (αστερισμός)
Cast iron	Χυτοσίδηρος
Castling	Ροκέ
Casus belli	Αφορμή πολέμου
Cat	Γάτα
Catalonia	Καταλωνία
Catalonia	Κατηγορία:Καταλωνία
Catalysis	Καταλύτης
Cataphract	Κατάφρακτος
Caucasus	Καύκασος
Cauliflower	Κουνουπίδι
