Persian	English
آبخاز	Abkhazia
سقط جنین	Abortion
ابراهیم	Abraham
آبراهام لینکلن	Abraham Lincoln
قدر مطلق (ریاضی)	Absolute value
صفر مطلق	Absolute zero
هنر انتزاعی	Abstract art
اکپرسیونیسم انتزاعی	Abstract expressionism
تجرید	Abstraction
آبوجا	Abuja
جایزه اسکار	Academy Award
شتاب	Acceleration
آکوردئون	Accordion
حسابداری	Accountancy
استالدهید	Acetaldehyde
استون	Acetone
استیلن	Acetylene
آخرون	Acheron
بومادران	Achillea millefolium
آشیل	Achilles
اسید	Acid
آکتینید	Actinide
آکتینیوم	Actinium
هنرپیشه	Actor
اعمال رسولان	Acts of the Apostles
طب سوزنی	Acupuncture
مغالطه توسل به شخص	Ad hominem
ایدا	Ada (programming language)
آدم	Adam
آدام اسمیت	Adam Smith
آدانا	Adana
اعتیاد	Addiction
آدیس آبابا	Addis Ababa
جمع (ریاضی)	Addition
آدلاید	Adelaide
فرآیند بی‌دررو	Adiabatic process
صفت (دستور زبان)	Adjective
دریادار	Admiral
آدولف هیتلر	Adolf Hitler
آدونیس	Adonis
فرزندخواندگی	Adoption
دریای آدریاتیک	Adriatic Sea
تبلیغات	Advertising
دریای اژه	Aegean Sea
آینیاس	Aeneas
انه‌اید	Aeneid
آیولوس	Aeolus
آیرودینامیک	Aerodynamics
آشیلوس	Aeschylus
ازوپ	Aesop
زیبایی‌شناسی	Aesthetics
افغانستان	Afghanistan
رده:افغانستان	Afghanistan
آفریقا	Africa
رده:آفریقا	Africa
آمریکائیان آفریقایی‌تبار	African American
آفریکانس	Afrikaans
آگاممنون	Agamemnon
عقیق	Agate
آگاتا کریستی	Agatha Christie
پرخاشگری	Aggression
اگرا	Agra
کشاورزی	Agriculture
آیکیدو	Aikido
ایرباس	Airbus
هواگرد	Aircraft
ناو هواپیمابر	Aircraft carrier
فرودگاه	Airport
آژاکس	Ajax
آیاس	Ajax (mythology)
آژاکس (برنامه‌نویسی)	Ajax (programming)
آخناتون	Akhenaten
آکیرا کوروساوا	Akira Kurosawa
آل کاپون	Al Capone
ال گور	Al Gore
القاعده	Al-Qaeda
آلاباما	Alabama
آلن تورینگ	Alan Turing
آلاسکا	Alaska
آلبانی	Albania
رده:آلبانی	Albania
آلبانی (شهر)	Albany
آلباتروس	Albatross
آلبرت آبراهام مایکلسون	Albert Abraham Michelson
آلبر کامو	Albert Camus
آلبرت اینشتین	Albert Einstein
آلبرت شوایتزر	Albert Schweitzer
آلبرتا	Alberta
رده:آلبرتا	Alberta
آلبوکرکی	Albuquerque
کیمیاگری	Alchemy
الکل	Alcohol
نوشیدنی‌های الکلی	Alcoholic beverage
الکلیسم	Alcoholism
دبران	Aldebaran
آلدهید	Aldehyde
آلدوس هاکسلی	Aldous Huxley
حلب	Aleppo
الکساندر فلمینگ	Alexander Fleming
الکساندر گراهام بل	Alexander Graham Bell
الکساندر پوشکین	Alexander Pushkin
اسکندر مقدونی	Alexander the Great
الکساندر دوما (پدر)	Alexandre Dumas
الکساندر دوما (پسر)	Alexandre Dumas
اسکندریه	Alexandria
الکسی دو توکویل	Alexis de Tocqueville
آلفرد هیچکاک	Alfred Hitchcock
آلفرد نوبل	Alfred Nobel
آلفرد کبیر	Alfred the Great
جبر	Algebra
رده:جبر	Algebra
عدد جبری	Algebraic number
الجزایر	Algeria
رده:الجزایر	Algeria
الجزیره	Algiers
الگوریتم	Algorithm
الحمرا	Alhambra
علی	Ali
فلز قلیایی	Alkali metal
آلکان	Alkane
آلکین	Alkyne
الله	Allah
آلرژی	Allergy
دگرشکلی	Allotropy
آلیاژ	Alloy
آلماآتی	Almaty
بادام	Almond
رجل قنطورس	Alpha Centauri
ذرات آلفا	Alpha particle
آلپ	Alps
آلزاس	Alsace
کرکس پرنده	Altair
آلومینیم	Aluminium
آلومینا	Aluminium oxide
آلزایمر	Alzheimer's disease
اماتراسو	Amaterasu
رودخانه آمازون	Amazon River
کهربا	Amber
آمادئو آووگادرو	Amedeo Avogadro
جنگ داخلی آمریکا	American Civil War
انقلاب آمریکا	American Revolutionary War
ساموآی آمریکا	American Samoa
اسکی (استاندارد)	American Standard Code for Information Interchange
فوتبال آمریکایی	American football
امریسیوم	Americium
آمریگو وسپوچی	Amerigo Vespucci
زبان امهاری	Amharic
آمید	Amide
اسیدهای آمینه	Amino acid
آمیش	Amish
عمان (شهر)	Amman
آمپرسنج	Ammeter
آمونیاک	Ammonia
آمپر (یکا)	Ampere
دوزیستان	Amphibian
آمستردام	Amsterdam
آمون	Amun
آمور	Amur
آناگرام	Anagram
آناهایم	Anaheim
آمیزش جنسی مقعدی	Anal sex
دولت‌زدائی	Anarchism
مرغابی‌سانان	Anatidae
آناتول فرانس	Anatole France
کالبدشناسی	Anatomy
انکساغورث	Anaxagoras
آناکسیماندر ملطی	Anaximander
لنگر	Anchor
انکوریج	Anchorage
اندلس	Andalusia
دریای آندامان	Andaman Sea
آندرس سلسیوس	Anders Celsius
آند	Andes
آندرا پرادش	Andhra Pradesh
آندورا	Andorra
رده:آندورا	Andorra
آندره ساخاروف	Andrei Sakharov
آندری تارکوفسکی	Andrei Tarkovsky
اندرو جکسون	Andrew Jackson
اندرو جانسون	Andrew Johnson
زن برزنجیر	Andromeda (constellation)
آندرومده	Andromeda (mythology)
اندی وارهول	Andy Warhol
کم‌خونی	Anemia
بادسنج	Anemometer
فرشته	Angel
زاویه	Angle
آنگولا	Angola
رده:آنگولا	Angola
جانوران	Animal
پویانمایی	Animation
انیمه	Anime
رده:انیمه	Anime
استان آنکارا	Ankara
آناپولیس	Annapolis
آن بولین	Anne Boleyn
آنتالیا	Antalya
آنتاناناریوو	Antananarivo
جنوبگان	Antarctica
قلب عقرب	Antares
آنتونی هاپکینز	Anthony Hopkins
مردم‌شناسی	Anthropology
حکمت انسانی	Anthroposophy
آنتی‌بیوتیک	Antibiotic
پادتن	Antibody
واچرخند	Anticyclone
آنتیگونه	Antigone
آنتیگوا و باربودا	Antigua and Barbuda
ضدماده	Antimatter
آنتیموان	Antimony
آنتی اکسیدانت	Antioxidant
یهودستیزی	Antisemitism
تلمبه (صورت فلکی)	Antlia
آنتوان لاووازیه	Antoine Lavoisier
آنتون چخوف	Anton Chekhov
آنتونیو ویوالدی	Antonio Vivaldi
آنتورپ	Antwerp
آنوبیس	Anubis
مقعد	Anus
آپاچی (قبیله)	Apache
میمون	Ape
زبان‌پریشی	Aphasia
آفرودیته	Aphrodite
آپیا	Apia
چتریان	Apiaceae
ابوکریفا	Apocrypha
پرستوسانان	Apodiformes
آپولو (اساطیر یونان)	Apollo
برنامه فضایی آپولو	Apollo program
آپوپتوز	Apoptosis
رشته‌کوه آپالیشین	Appalachian Mountains
آپاندیسیت	Appendicitis
سیب	Apple
ریاضیات کاربردی	Applied mathematics
زردآلو	Apricot
آوریل	April
۱۴ آوریل	April 14
مرغ بهشتی (صورت فلکی)	Apus
عقبه	Aqaba
آکواریوم	Aquarium
ناحیه آکیتن	Aquitaine
آتشدان (صورت فلکی)	Ara (constellation)
عرب	Arab
دریای عرب	Arabian Sea
خط عربی	Arabic alphabet
عربی	Arabic language
عنکبوتیان	Arachnid
آراگون	Aragon
دریاچه آرال	Aral Sea
باستان‌شناسی	Archaeology
کهن‌الگو	Archetype
ارشمیدس	Archimedes
معمار	Architect
معماری	Architecture
شاه‌مولکان	Archosaur
شمالگان	Arctic
اقیانوس منجمد شمالی	Arctic Ocean
روباه قطبی	Arctic fox
مساحت	Area
آرس	Ares
آرژانتین	Argentina
رده:آرژانتین	Argentina
آرگون	Argon
آریادنه	Ariadne
آریستارخوس ساموسی	Aristarchus of Samos
آریستوکراسی	Aristocracy
آریستوفان	Aristophanes
ارسطو	Aristotle
حساب	Arithmetic
تصاعد حسابی	Arithmetic progression
آریوس	Arius
آریزونا	Arizona
تابوت عهد	Ark of the Covenant
آرکانزاس	Arkansas
آرمادیلو	Armadillo
ارمنستان	Armenia
رده:ارمنستان	Armenia
زبان ارمنی	Armenian language
آرمینیوس	Arminius
تیر	Arrow
آرسنیک	Arsenic
هنر	Art
آرت دکو	Art Deco
آرت نوو	Art Nouveau
درمنه‌ها	Artemisia (plant)
سرخرگ	Artery
نقرس	Arthritis
بندپایان	Arthropod
آرتور هالی کامپتون	Arthur Compton
آرتور کانن دویل	Arthur Conan Doyle
آرتور میلر	Arthur Miller
آرتور رمبو	Arthur Rimbaud
آرتور شوپنهاور	Arthur Schopenhauer
هوش مصنوعی	Artificial intelligence
رده:هوش مصنوعی	Artificial intelligence
رده:هنر	Arts
آروبا	Aruba
آزبست	Asbestos
آسکلپیوس	Asclepius
آسگارد	Asgard
آشور بانیپال	Ashurbanipal
آسیا	Asia
رده:آسیا	Asia
اسمره	Asmara
آسفالت	Asphalt
استیل سالیسیلیک اسید	Aspirin
آسام	Assam
ترور	Assassination
آشور	Assyria
آستانه (قزاقستان)	Astana
استاتین	Astatine
گل‌ستاره‌ای‌ها	Asteraceae
رده:گل‌ستاره‌ای‌ها	Asteraceae
سیارک	Asteroid
آسم	Asthma
آستراخان	Astrakhan
اخترزیست‌شناسی	Astrobiology
اسطرلاب	Astrolabe
ستاره‌بینی	Astrology
اخترسنجی	Astrometry
فضانورد	Astronaut
واحد نجومی	Astronomical unit
اخترشناسی	Astronomy
رده:ستاره‌شناسی	Astronomy
درگاه:ستاره‌شناسی	Astronomy
اخترفیزیک	Astrophysics
رده:اخترفیزیک	Astrophysics
حالت انتقال ناهمگام	Asynchronous Transfer Mode
آتاکاما	Atacama Desert
آتنا	Athena
آتن	Athens
دو و میدانی	Athletics (track and field)
آتلانتا	Atlanta
اقیانوس اطلس	Atlantic Ocean
آتلانتیس	Atlantis
اطلس (شخصیت افسانه‌ای)	Atlas (mythology)
جو (هواشناسی)	Atmosphere
اتمسفر (واحد)	Atmosphere (unit)
آب‌سنگ	Atoll
اتم	Atom
جرم اتمی	Atomic mass
عدد اتمی	Atomic number
فیزیک اتمی	Atomic physics
آترئوس	Atreus
آتیلا	Attila the Hun
مزایده	Auction
اوت	August
۱ اوت	August 1
۱۵ اوت	August 15
۶ اوت	August 6
اگوست استریندبرگ	August Strindberg
آگوستا	Augusta
اگوست کنت	Auguste Comte
آگوست رودن	Auguste Rodin
آگوستین قدیس	Augustine of Hippo
ارابه‌ران	Auriga (constellation)
شفق قطبی	Aurora (astronomy)
آستین	Austin
استرالزی	Australasia
استرالیا	Australia
رده:استرالیا	Australia
دلار استرالیا	Australian dollar
اتریش	Austria
رده:اتریش	Austria
نویسنده	Author
اوتیسم	Autism
اتومبیل‌رانی	Auto racing
خودپرداز	Automated teller machine
خودرو	Automobile
سامانه عصبی خودگردان	Autonomic nervous system
خودپروردگی	Autotroph
پاییز	Autumn
بهمن (برف)	Avalanche
آوانگارد	Avant-garde
ابن رشد	Averroes
اوستا	Avesta
هوانوردی	Aviation
ابن سینا	Avicenna
آوینیون	Avignon
اصل موضوع	Axiom
آکسون	Axon
آیت‌الله	Ayatollah
جمهوری آذربایجان	Azerbaijan
رده:جمهوری آذربایجان	Azerbaijan
آزتک‌ها	Aztec
لاجورد	Azurite
B	B
بیسیک	BASIC
بعل	Baal
تمدن بابل	Babylonia
تخته نرد	Backgammon
باکتری	Bacteria
باکتریوفاژ	Bacteriophage
بدمینتون	Badminton
بغداد	Baghdad
بحرین	Bahrain
باقلوا	Baklava
باکو	Baku
بالالایکا	Balalaika
ترازنامه	Balance sheet
بالدر	Baldr
جزایر بالئارس	Balearic Islands
بالی	Bali
بالکان	Balkans
توپ (ورزش)	Ball
رقص باله	Ballet
موشک بالیستیک	Ballistic missile
دریای بالتیک	Baltic Sea
بالتیمور	Baltimore
باماکو	Bamako
خیزران	Bamboo
موز	Banana
بنگالورو	Bangalore
بانکوک	Bangkok
بنگلادش	Bangladesh
رده:بنگلادش	Bangladesh
بانگوئی	Bangui
بانجول	Banjul
بانک	Bank
اسکناس	Banknote
رده:بانک‌ها	Banks
باپتیست	Baptist
باربادوس	Barbados
بارسلون	Barcelona
دریای بارنتز	Barents Sea
باری (شهر)	Bari
باریوم	Barium
جو (گیاه)	Barley
بارون	Baron
باریون	Baryon
بیسبال	Baseball
بازل	Basel
ریحان	Basil
بسکتبال	Basketball
بصره	Basra
گیتار بیس	Bass guitar
باسه‌تر	Basseterre
فاگوت	Bassoon
قلعه باستیل	Bastille
خفاش	Bat
باث	Bath
بت‌من	Batman
باتون‌روژ	Baton Rouge
گردان	Battalion
نبرد بریتانیا	Battle of Britain
جنگ ترموپیل	Battle of Thermopylae
نبرد ترافالگار	Battle of Trafalgar
رزم‌ناو	Battleship
باوهاوس	Bauhaus
بایرن	Bavaria
خلیج بنگال	Bay of Bengal
بیسکای (خلیج)	Bay of Biscay
بایر (شرکت)	Bayer
ساحل	Beach
خرس	Bear
بیباپ	Bebop
آبجو	Beer
رده:آبجو	Beer
قاب‌بالان	Beetle
پکن	Beijing
بیروت	Beirut
بلاروس	Belarus
رده:بلاروس	Belarus
بلفاست	Belfast
بلژیک	Belgium
رده:بلژیک	Belgium
بلگراد	Belgrade
بلیز	Belize
بلروفون	Bellerophon
رقص عربی	Belly dance
بلو هوریزونته	Belo Horizonte
بلوگا	Beluga
بنلوکس	Benelux
بنغازی	Benghazi
بنین	Benin
رده:بنین	Benin
بنیتو موسولینی	Benito Mussolini
بنیامین فرانکلین	Benjamin Franklin
بنیامین هریسون	Benjamin Harrison
بنی گودمن	Benny Goodman
بئوولف	Beowulf
دریای برینگ	Bering Sea
تنگه برینگ	Bering Strait
برکلیوم	Berkelium
برلین	Berlin
برمودا	Bermuda
مثلث برمودا	Bermuda Triangle
برناردو برتولوچی	Bernardo Bertolucci
برن	Berne
‫برنهارت ‫ریمان	Bernhard Riemann
برتولت برشت	Bertolt Brecht
برتراند راسل	Bertrand Russell
بریلیوم	Beryllium
واپاشی بتا	Beta decay
ابط‌الجوزا	Betelgeuse
بیت‌لحم	Bethlehem
بورلی هیلز	Beverly Hills
بوتان	Bhutan
رده:بوتان	Bhutan
کتاب مقدس	Bible
دوچرخه	Bicycle
مهبانگ	Big Bang
بیهار	Bihar
بیل کلینتون	Bill Clinton
بیل گیتس	Bill Gates
بیلی وایلدر	Billy Wilder
ستاره دوتایی	Binary star
دوربین شکاری	Binoculars
زیست‌شیمی	Biochemistry
رده:زیست‌شیمی	Biochemistry
میراث طبیعی	Biodiversity
زندگی‌نامه	Biography
جنگ بیولوژیک	Biological warfare
زیست‌شناسی	Biology
رده:زیست‌شناسی	Biology
زیست‌فیزیک	Biophysics
بافت‌بردارى	Biopsy
زیست‌فناوری	Biotechnology
اختلال دوقطبی	Bipolar disorder
پرنده	Bird
برمینگهم، آلاباما	Birmingham
پیشگیری از بارداری	Birth control
دوجنس‌گرایی	Bisexuality
بیشکک	Bishkek
بیسمارک، داکوتای شمالی	Bismarck
بیسموت	Bismuth
بیسائو	Bissau
بیت (رایانه)	Bit
دوکفه‌ای‌ها	Bivalvia
سیاه	Black
جنگل سیاه	Black Forest
دریای سیاه	Black Sea
جسم سیاه	Black body
سیاه‌چاله فضایی	Black hole
بلز پاسکال	Blaise Pascal
بلومفونتن	Bloemfontein
وبلاگ	Blog
خون	Blood
پلاسما	Blood plasma
رگ	Blood vessel
آبی	Blue
بلوز	Blues
گراز	Boar
قایق	Boat
باب دیلان	Bob Dylan
باب مارلی	Bob Marley
بابی فیشر	Bobby Fischer
بوداسف	Bodhisattva
بوهم	Bohemia
بوهریوم	Bohrium
بویزی	Boise
بولیوی	Bolivia
رده:بولیوی	Bolivia
بالیوود	Bollywood
بولونیا	Bologna
بلشویک	Bolshevik
بمب	Bomb
بمب‌افکن	Bomber
کرم ابریشم	Bombyx mori
استخوان	Bone
بن	Bonn
بونسای	Bonsai
کتاب	Book
کتاب استر	Book of Esther
کتاب یوشع	Book of Joshua
کتاب داوران	Book of Judges
سفر اعداد	Book of Numbers
مکاشفه یوحنا	Book of Revelation
جبر بولی	Boolean algebra (structure)
بومرنگ	Boomerang
بردو	Bordeaux
بوریس پاسترناک	Boris Pasternak
بوریس اسپاسکی	Boris Spassky
جزیره بورنئو	Borneo
بور	Boron
بوسنی و هرزگووین	Bosnia and Herzegovina
رده:بوسنی هرزگووین	Bosnia and Herzegovina
بوزون	Boson
تنگه بسفر	Bosporus
بوستون	Boston
مهمانی چای بوستون	Boston Tea Party
الگو:ربات	Bot
گیاه‌شناسی	Botany
بوتسوانا	Botswana
رده:بوتسوانا	Botswana
بطری	Bottle
بورژوازی	Bourgeoisie
بورگونی	Bourgogne
جزیره بووه	Bouvet Island
مشت‌زنی	Boxing
براگا	Braga
بریل	Braille
مغز	Brain
برام استوکر	Bram Stoker
براندنبورگ	Brandenburg
براندی	Brandy
برنج (آلیاژ)	Brass
شب‌بوها	Brassicaceae
سینه‌بند	Brassiere
براتیسلاوا	Bratislava
برزیل	Brazil
رده:برزیل	Brazil
برازاویل	Brazzaville
نان	Bread
سرطان سینه	Breast cancer
برمن	Bremen (state)
پل	Bridge
بریج‌تاون	Bridgetown
بریزبن	Brisbane
بریستول	Bristol
بریتیش کلمبیا	British Columbia
جزایر بریتانیا	British Isles
خیابان برادوی	Broadway (New York City)
برم	Bromine
عصر برنز	Bronze Age
بروکلین	Brooklyn
پل بروکلین	Brooklyn Bridge
قهوه‌ای	Brown
بروس لی	Bruce Lee
بروژ	Bruges
برونئی	Brunei
بروکسل	Brussels
طاعون	Bubonic plague
بخارست	Bucharest
کاخ باکینگهام	Buckingham Palace
بوداپست	Budapest
بودا	Buddha
آئین بودایی	Buddhism
بادی هالی	Buddy Holly
بوئنوس آیرس	Buenos Aires
بوفالو (شهر)	Buffalo
بوجومبورا	Bujumbura
بلغارستان	Bulgaria
رده:بلغارستان	Bulgaria
دیوانسالاری	Bureaucracy
بورکینافاسو	Burkina Faso
رده:بورکینافاسو	Burkina Faso
میانمار	Burma
برقع	Burqa
بورسا	Bursa
رده:بوروندی	Burundi
اتوبوس	Bus
کره (لبنیات)	Butter
پروانه	Butterfly
اثر پروانه‌ای	Butterfly effect
بایت	Byte
C	C
سی اس لوئیس	C. S. Lewis
برج ملی کانادا	CN Tower
کاباره	Cabaret
کاکتوس	Cactus
کادمیوم	Cadmium
سزیم	Caesium
قاهره	Cairo
کیک	Cake
کلسیت	Calcite
کلسیم	Calcium
کلسیم کربنات	Calcium carbonate
ماشین حساب	Calculator
حسابان	Calculus
گاهشماری در ایران باستان	Calendar
کالیبر	Caliber
کالیفرنیا	California
کالیفرنیوم	Californium
کالیگولا	Caligula
خلیفه	Caliph
خوشنویسی	Calligraphy
کالری	Calorie
جان کالوین کولیج	Calvin Coolidge
کالونیسم	Calvinism
کامبوج	Cambodia
کامبرین	Cambrian
کمبریج	Cambridge
کمبریج (ماساچوست)	Cambridge
شتر	Camel
کامرون	Cameroon
رده:کامرون	Cameroon
کانادا	Canada
رده:کانادا	Canada
جزایر قناری	Canary Islands
کانبرا	Canberra
سرطان	Cancer
خرچنگ (صورت فلکی)	Cancer (constellation)
کاندلا	Candela
سگسانان	Canidae
سگ بزرگ	Canis Major
شاهدانه	Cannabis
کن (فرانسه)	Cannes
آدم‌خواری	Cannibalism
کانن (کمپانی)	Canon (company)
سهیل	Canopus
کانتونی	Cantonese (linguistics)
خازن	Capacitor
کیپ‌تاون	Cape Town
کیپ ورد	Cape Verde
پایتخت	Capital
سرمایه‌داری	Capitalism
کاپادوکیه	Cappadocia
بزغاله (صورت فلکی)	Capricornus
کاراکاس	Caracas
اختری	Carambola
کربوهیدرات	Carbohydrate
کربن	Carbon
کربن دی اکسید	Carbon dioxide
منو اکسید کربن	Carbon monoxide
اسید کربنیک	Carbonic acid
کربونیفر	Carboniferous
کربوکسیلیک اسید	Carboxylic acid
ریشلیو	Cardinal Richelieu
کارائیب	Caribbean
دریای کارائیب	Caribbean Sea
کاریکاتور	Caricature
شاه‌تخته	Carina (constellation)
کارل ديويد آندرسون	Carl David Anderson
کارل گوستاو یونگ	Carl Jung
کارل لوئیس	Carl Lewis
کارل ماریا فون وبر	Carl Maria von Weber
کارل ارف	Carl Orff
کارناوال	Carnival
کارولنژی‌ها	Carolingian dynasty
کارل لینه	Carolus Linnaeus
کارسون‌سیتی	Carson City
دستگاه مختصات دکارتی	Cartesian coordinate system
کارتاژ	Carthage
نقشه‌نگاری	Cartography
کازابلانکا (شهر)	Casablanca
دریای خزر	Caspian Sea
ذات‌الکرسی	Cassiopeia (constellation)
چدن	Cast iron
کاست	Caste
گربه	Cat
کاتالونیا	Catalonia
کاتالیزور	Catalysis
کاتافراکت	Cataphract
آب مروارید	Cataract
گربه‌ماهی	Catfish
کلیسای جامع	Cathedral
کاترین پار	Catherine Parr
کاترین آراگن	Catherine of Aragon
کاتولیک	Catholicism
گاو	Cattle
گاوچرانک	Cattle Egret
قفقاز	Caucasus
رده:قفقاز	Caucasus
رشته‌کوه قفقاز	Caucasus Mountains
علیت	Causality
غار	Cave
خاویار	Caviar
کرفس	Celery
کره آسمان	Celestial sphere
یاخته	Cell (biology)
غشاء سلولی	Cell membrane
هسته یاخته	Cell nucleus
سلولز	Cellulose
سلسیوس	Celsius
سیمان	Cement
نوزیستی	Cenozoic
سانتور	Centaur
قنطورس	Centaurus
مرکز آفریقا	Central Africa
آفریقای مرکزی	Central African Republic
رده:آفریقای مرکزی	Central African Republic
آمریکای مرکزی	Central America
سیا	Central Intelligence Agency
پارک مرکزی نیویورک	Central Park
بانک مرکزی	Central bank
واحد پردازش مرکزی	Central processing unit
میانک	Centriole
قرن	Century
سرپایان	Cephalopod
سرامیک	Ceramic
غلات	Cereal
سرس	Ceres (dwarf planet)
آب‌بازان	Cetacea
چاد	Chad
رده:چاد	Chad
سهره جنگلی	Chaffinch
صندلی	Chair
آفتاب‌پرست (صورت فلکی)	Chamaeleon
شامپاین	Champagne (wine)
شارلمانی	Charlemagne
چارلز، شاهزاده ولز	Charles
شارل بودلر	Charles Baudelaire
چارلز داروین	Charles Darwin
چارلز دیکنز	Charles Dickens
شارل دوگل	Charles de Gaulle
شارل تاس	Charles the Bald
چارلستون (ویرجینیای غربی)	Charleston
چارلی چاپلین	Charlie Chaplin
چارلی پارکر	Charlie Parker
شارلوت	Charlotte
خارون	Charon (mythology)
چه گوارا	Che Guevara
چچنستان	Chechnya
پنیر	Cheese
یوزپلنگ	Cheetah
پیوند شیمیایی	Chemical bond
عنصر شیمیایی	Chemical element
واکنش شیمیایی	Chemical reaction
جنگ‌افزار شیمیایی	Chemical warfare
شیمی	Chemistry
کمنیتز	Chemnitz
شیمی‌درمانی	Chemotherapy
چنائی	Chennai
چک	Cheque
گیلاس	Cherry
شطرنج	Chess
رده:شطرنج	Chess
گشایش (شطرنج)	Chess opening
چستر آلن آرتور	Chester A. Arthur
شاین	Cheyenne
چیانگ کای‌شک	Chiang Kai-shek
شیکاگو	Chicago
مرغ	Chicken
آبله مرغان	Chickenpox
کودک	Child
شیلی	Chile
رده:شیلی	Chile
شیمر	Chimera (mythology)
جمهوری خلق چین	China
کلر	Chlorine
سبزینه	Chlorophyll
سبزدیسه	Chloroplast
شکلات	Chocolate
وبا	Cholera
کلسترول	Cholesterol
چونگ‌کینگ	Chongqing
طنابداران	Chordate
کرایست‌چرچ	Christchurch
کریستین هویگنس	Christiaan Huygens
مسیحیت	Christianity
رده:مسیحیت	Christianity
کریسمس	Christmas
درخت کریسمس	Christmas tree
کریستف کلمب	Christopher Columbus
کروماتین	Chromatin
کروماتوگرافی	Chromatography
کروم	Chromium
رنگین‌تن	Chromosome
کلیسا	Church
سیسرون	Cicero
لک‌لک‌سانان	Ciconiiformes
سیگار	Cigarette
سیندرلا	Cinderella
دارچین	Cinnamon
دوپرگار	Circinus
دایره	Circle
ختنه	Circumcision
سیروز	Cirrhosis
شهروندی	Citizenship
اسید سیتریک	Citric acid
تمدن	Civilization
تمدن (بازی رایانه‌ای)	Civilization (computer game)
کلارینت	Clarinet
کلارک گیبل	Clark Gable
کلاس (برنامه‌نویسی)	Class (computer science)
مکانیک کلاسیک	Classical mechanics
موسیقی کلاسیک	Classical music
کلود مونه	Claude Monet
کلود شانون	Claude Shannon
کلودیوس	Claudius
رس	Clay
کلیولند	Cleveland
مشتری-خدمتگذار	Client-server
تغییرات آب و هوا	Climate change
چوچوله	Clitoris
ساعت بیگ بن	Clock Tower
همتاسازی	Cloning
ابر	Cloud
کلوویس یکم	Clovis I
کنیداریا	Cnidaria
زغال‌سنگ	Coal
کبالت	Cobalt
کوکائین	Cocaine
سوسک	Cockroach
نارگیل	Coconut
جزایر (کیلینگ) کوکو	Cocos (Keeling) Islands
قهوه	Coffee
کنیاک (نوشیدنی)	Cognac (drink)
سکه	Coin
جنگ سرد	Cold War
کالین پاول	Colin Powell
کلاژ	Collage
کلوئید	Colloid
کلن	Cologne
کلمبیا	Colombia
رده:کلمبیا	Colombia
کلمبو	Colombo
رنگ	Color
کلرادو	Colorado
رودخانه کلرادو	Colorado River
کولوسئوم	Colosseum
غول رودس	Colossus of Rhodes
کبوتر (صورت فلکی)	Columba (constellation)
کلمبیا (شهر)	Columbia
رودخانه کلمبیا	Columbia River
دانشگاه کلمبیا	Columbia University
کبوتر	Columbidae
کلمبوس	Columbus
کلمبوس (ابهام‌زدایی)	Columbus
گیسو (صورت فلکی)	Coma Berenices
کمدی	Comedy
ستاره دنباله‌دار	Comet
کشورهای مستقل همسود	Commonwealth of Independent States
