Hungarian	English
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Pavlovics Csehov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antwerpen	Antwerp
Antwerpen (tartomány)	Antwerp (province)
Anubisz	Anubis
Aorta	Aorta
Apacsok	Apache
Apatit	Apatite
Emberszabású majmok	Ape
Afázia	Aphasia
Aphrodité	Aphrodite
Ernyősök	Apiaceae
Apokrif iratok	Apocrypha
Sarlósfecske-alakúak	Apodiformes
Apollón	Apollo
Apollo-program	Apollo program
Kategória:Apollo-program	Apollo program
Apoptózis	Apoptosis
Appalache-hegység	Appalachian Mountains
Heveny féregnyúlvány-gyulladás	Appendicitis
Alma	Apple
Kajszibarack	Apricot
Április	April
Április 14	April 14
Április bolondja	April Fools' Day
Apszis	Apse
Puglia	Apulia
Paradicsommadár csillagkép	Apus
Királyvíz	Aqua regia
Sas csillagkép	Aquila (constellation)
Aquitania	Aquitaine
Oltár csillagkép	Ara (constellation)
Arabok	Arab
Arab Liga	Arab League
Arab-félsziget	Arabian Peninsula
Arab-tenger	Arabian Sea
Arab írás	Arabic alphabet
Arab nyelv	Arabic language
Kontyvirágfélék	Araceae
Pókszabásúak	Arachnid
Aragónia	Aragon
Aral-tó	Aral Sea
Arcangelo Corelli	Arcangelo Corelli
Boltív	Arch
Régészet	Archaeology
Kategória:Régészet	Archaeology
Archaeopteryx	Archaeopteryx
Arkangyal	Archangel
Érsek	Archbishop
Archaikum	Archean
Arkhimédész	Archimedes
Építész	Architect
Építészet	Architecture
Kategória:Építészet	Architecture
Archosauria	Archosaur
Arktisz	Arctic
Északi-sarkkör	Arctic Circle
Jeges-tenger	Arctic Ocean
Ardennek	Ardennes
Terület	Area
Arész	Ares
Argentína	Argentina
Kategória:Argentína	Argentina
Argon	Argon
Ariadné	Ariadne
Arianizmus	Arianism
Kos csillagkép	Aries (constellation)
Szamoszi Arisztarkhosz	Aristarchus of Samos
Arisztokrácia	Aristocracy
Arisztophanész	Aristophanes
Arisztotelész	Aristotle
Számtani sorozat	Arithmetic progression
Arius	Arius
Arizona	Arizona
Kategória:Arizona	Arizona
Frigyláda	Ark of the Covenant
Arkansas	Arkansas
Kategória:Arkansas	Arkansas
Arles	Arles
Övesállatok	Armadillo
Örményország	Armenia
Kategória:Örményország	Armenia
Örmény nyelv	Armenian language
Arminius	Arminius
Páncél	Armour
Hadsereg	Army
Arno	Arno River
Arnold Schönberg	Arnold Schoenberg
Nyíl	Arrow
Arzén	Arsenic
Művészet	Art
Art deco	Art Deco
Szecesszió	Art Nouveau
Kategória:Művészettörténet	Art history
Művészettörténet	Art history
Artemisz	Artemis
Fehér üröm	Artemisia absinthium
Artéria	Artery
Ízeltlábúak	Arthropod
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley
Mesterséges intelligencia	Artificial intelligence
Kategória:Mesterséges intelligencia	Artificial intelligence
Tüzérség	Artillery
Kategória:Művészet	Arts
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Kategória:Aruba	Aruba
Azbeszt	Asbestos
Aszklépiosz	Asclepius
Aszexualitás	Asexuality
Assur-bán-apli	Ashurbanipal
Ázsia	Asia
Kategória:Ázsia	Asia
Aszmara	Asmara
Aszpartám	Aspartame
Acetilszalicilsav	Aspirin
Asszám	Assam
Assembly	Assembly language
Délkelet-ázsiai Nemzetek Szövetsége	Association of Southeast Asian Nations
Asszíria	Assyria
Asztana	Astana
Asztácium	Astatine
Fészkesek	Asteraceae
Kisbolygó	Asteroid
Asztenoszféra	Asthenosphere
Asztma	Asthma
Asztigmatizmus	Astigmatism (eye)
Asztrahány	Astrakhan
Asztrobiológia	Astrobiology
Asztrolábium	Astrolabe
Asztrológia	Astrology
Kategória:Asztrológia	Astrology
Űrhajós	Astronaut
Csillagászok listája	Astronomer
Csillagászati egység	Astronomical unit
Csillagászat	Astronomy
Kategória:Csillagászat	Astronomy
Portál:Csillagászat	Astronomy
Asztrofizika	Astrophysics
Kategória:Asztrofizika	Astrophysics
Asszuán	Aswan
Atacama-sivatag	Atacama Desert
Aton	Aten
Kategória:Ateizmus	Atheism
Athéné	Athena
Athén	Athens
Kategória:Atlétika	Athletics
Atlétika	Athletics (track and field)
Atlanta	Atlanta
Atlanti-óceán	Atlantic Ocean
Atlantisz	Atlantis
Atlasz (egyértelműsítő lap)	Atlas (disambiguation)
Atlasz	Atlas (mythology)
Atlasz (hegység)	Atlas Mountains
Légkör	Atmosphere
Atmoszféra (mértékegység)	Atmosphere (unit)
Légnyomás	Atmospheric pressure
Atoll	Atoll
Atom	Atom
Atomóra	Atomic clock
Atomtömeg	Atomic mass
Atomi tömegegység	Atomic mass unit
Atropin	Atropine
Attika	Attica
Attila (hun uralkodó)	Attila the Hun
Au	Au
Árverés	Auction
Augusztus	August
Augusztus 1	August 1
Augusztus 15	August 15
Augusztus 6	August 6
August Strindberg	August Strindberg
Augusta (Maine)	Augusta
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Szent Ágoston	Augustine of Hippo
Augustus	Augustus
Szekeres csillagkép	Auriga (constellation)
Aurora	Aurora
Sarki fény	Aurora (astronomy)
Austin	Austin
Ausztrália	Australia
Ausztrál dollár	Australian dollar
Australopithecus	Australopithecus
Ausztria	Austria
Kategória:Ausztria	Austria
Osztrák–Magyar Monarchia	Austria-Hungary
Író	Author
Autizmus	Autism
Autó	Automobile
Autotrófia	Autotroph
Ősz	Autumn
Auvergne	Auvergne (region)
Lavina	Avalanche
Avantgárd	Avant-garde
Avatár	Avatar
Averroës	Averroes
Aveszta	Avesta
Légi közlekedés	Aviation
Avicenna	Avicenna
Avignon	Avignon
Avokádó	Avocado
Avogadro-törvény	Avogadro's law
Balta	Axe
Axióma	Axiom
Ajatollah	Ayatollah
Ayn Rand	Ayn Rand
Azerbajdzsán	Azerbaijan
Kategória:Azerbajdzsán	Azerbaijan
Azori-szigetek	Azores
Aztékok	Aztec
Azurit	Azurite
B	B
BASIC	BASIC
Baál	Baal
Pávián	Baboon
Babilon	Babylon
Babilónia	Babylonia
Baktériumok	Bacteria
Kétpúpú teve	Bactrian Camel
Tollaslabda	Badminton
Baffin-sziget	Baffin Island
Bagdad	Baghdad
Kategória:Bahama-szigetek	Bahamas
Bahrein	Bahrain
Baklava	Baklava
Baki	Baku
Balalajka	Balalaika
Mérleg (számvitel)	Balance sheet
Baleár-szigetek	Balearic Islands
Sziláscetek	Baleen whale
Bali	Bali
Balkán-hegység	Balkan Mountains
Balkán-háború	Balkan Wars
Délkelet-Európa	Balkans
Balett	Ballet
Ballisztikus rakéta	Ballistic missile
Golyóstoll	Ballpoint pen
Balti-tenger	Baltic Sea
Bamako	Bamako
Bambusz	Bamboo
Banán	Banana
Banánköztársaság	Banana republic
Bengaluru	Bangalore
Bangkok	Bangkok
Banglades	Bangladesh
Bangui	Bangui
Banjul	Banjul
Bank	Bank
Bankjegy	Banknote
Keresztség	Baptism
Baptizmus	Baptist
Bar (mértékegység)	Bar (unit)
Barbados	Barbados
Barbárok	Barbarian
Barcelona	Barcelona
Kategória:Barcelona	Barcelona
Barents-tenger	Barents Sea
Bari	Bari
Bárium	Barium
Takarmányárpa	Barley
Gyöngybagoly	Barn Owl
Füsti fecske	Barn Swallow
Báró	Baron
Barokk	Baroque
Hordó (mértékegység)	Barrel (unit)
Barion	Baryon
Bazalt	Basalt
Bázis	Base (chemistry)
Baseball	Baseball
Kategória:Baseball	Baseball
Bázel	Basel
Bash	Bash
Bazídiumos gombák	Basidiomycota
Bazsalikom	Basil
Nagy Szent Vazul	Basil of Caesarea
Bazilika	Basilica
Basilicata	Basilicata
Basiliscus	Basiliscus
Baziliszkusz	Basilisk
Kosárlabda	Basketball
Kategória:Kosárlabda	Basketball
Baszra	Basra
Basszusgitár	Bass guitar
Alsó-Normandia	Basse-Normandie
Basseterre	Basseterre
Fagott	Bassoon
Básztet	Bast (mythology)
Bastille	Bastille
Denevérek	Bat
Bath	Bath
Batman	Batman
Kategória:Denevérek	Bats
Zászlóalj	Battalion
Austerlitzi csata	Battle of Austerlitz
Lepantói csata	Battle of Lepanto (1571)
Marathóni csata	Battle of Marathon
Midwayi csata	Battle of Midway
Thermopülai csata	Battle of Thermopylae
Trafalgari csata	Battle of Trafalgar
Verduni csata	Battle of Verdun
Waterlooi csata	Battle of Waterloo
Ardenneki offenzíva	Battle of the Bulge
Csatahajó	Battleship
Bauhaus	Bauhaus
Bauxit	Bauxite
Bajorország	Bavaria
Kategória:Bajorország	Bavaria
Szurony	Bayonet
Bayonne	Bayonne
Strand	Beach
Beagle	Beagle
Csőr	Beak
Medvefélék	Bear
Beaufort-tenger	Beaufort Sea
Beaufort-skála	Beaufort scale
Ágy	Bed
Beda Venerabilis	Bede
Méhek	Bee
Sör	Beer
Kategória:Sörök	Beer
Bogarak	Beetle
Peking	Beijing
Bejrút	Beirut
Fehéroroszország	Belarus
Kategória:Fehéroroszország	Belarus
Belfast	Belfast
Belgium	Belgium
Kategória:Belgium	Belgium
Belgrád	Belgrade
Belize	Belize
Kategória:Belize	Belize
Campana	Bell (instrument)
Belo Horizonte	Belo Horizonte
Beluga	Beluga
Benelux államok	Benelux
Benin	Benin
Kategória:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Bering-tenger	Bering Sea
Bering-szoros	Bering Strait
Berkélium	Berkelium
Berlin	Berlin
Kategória:Berlin	Berlin
Bermuda	Bermuda
Bermuda-háromszög	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Bern	Berne
Georg Friedrich Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Berill	Beryl
Berillium	Beryllium
Béta	Beta (letter)
Béta-bomlás	Beta decay
Betelgeuse	Betelgeuse
Betlehem	Bethlehem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills
Bej	Bey
Bhután	Bhutan
Kategória:Bhután	Bhutan
Biblia	Bible
Kategória:Biblia	Bible
Bibliográfia	Bibliography
Kerékpár	Bicycle
Ősrobbanás	Big Bang
Bihár	Bihar
Bikini (fürdőruha)	Bikini
Epe	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Kettőscsillag	Binary star
Biokémia	Biochemistry
Kategória:Biokémia	Biochemistry
Biodiverzitás	Biodiversity
Biogeográfia	Biogeography
Életrajz	Biography
Biológiai fegyver	Biological warfare
Biológia	Biology
Kategória:Biológia	Biology
Portál:Biológia	Biology
Biomassza	Biomass
Biom	Biome
Biofizika	Biophysics
Biopszia	Biopsy
Bioszféra	Biosphere
Biotechnológia	Biotechnology
Bipoláris zavar	Bipolar disorder
Nyírfa	Birch
Madarak	Bird
Biszexualitás	Bisexuality
Biskek	Bishkek
Püspök	Bishop
Futó (sakk)	Bishop (chess)
Bismarck (Észak-Dakota)	Bismarck
Bismarck	Bismarck (disambiguation)
Bizmut	Bismuth
Bissau	Bissau
Bit	Bit
Bithünia	Bithynia
Kagylók	Bivalvia
Fekete	Black
Fekete-erdő	Black Forest
Barna kánya	Black Kite
Fekete-tenger	Black Sea
Fekete gólya	Black Stork
Feketetest-sugárzás	Black body
Fekete lyuk	Black hole
Fekete rigó	Blackbird
Blaise Pascal	Blaise Pascal
Blender (program)	Blender (software)
Vakság	Blindness
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Vér	Blood
Vércsoport	Blood type
Kék	Blue
Kék bálna	Blue Whale
Blues	Blues
Vaddisznó	Boar
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Robert James Fischer	Bobby Fischer
Testépítés	Bodybuilding
Bohémia	Bohemia
Borium	Bohrium
Forrás (átalakulás)	Boiling point
Boise (Idaho)	Boise
Ízletes vargánya	Boletus edulis
Bolívia	Bolivia
Kategória:Bolívia	Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolzano (város)	Bolzano
Bomba	Bomb
Bombázó	Bomber
Selyemlepke	Bombyx mori
Kötvény	Bond (finance)
Csont	Bone
Bonn	Bonn
Bonszai	Bonsai
Könyv	Book
A Mormon könyve	Book of Mormon
Jelenések könyve	Book of Revelation
Boole-algebra	Boolean algebra (structure)
Bumeráng	Boomerang
Bordeaux	Bordeaux
Borisz Godunov	Boris Godunov
Borisz Leonyidovics Paszternak	Boris Pasternak
Borneó	Borneo
Bór	Boron
Bosznia-Hercegovina	Bosnia and Herzegovina
Kategória:Bosznia-Hercegovina	Bosnia and Herzegovina
Bozon	Boson
Boszporusz	Bosporus
Boston	Boston
Bostoni teadélután	Boston Tea Party
Sablon:Bot	Bot
Botanika	Botany
Kategória:Botanika	Botany
Botswana	Botswana
Kategória:Botswana	Botswana
Palackorrú delfin	Bottlenose Dolphin
Polgárság	Bourgeoisie
Burgundia	Bourgogne
Bouvet-sziget	Bouvet Island
Tülkösszarvúak	Bovid
Íj	Bow (weapon)
Boxer	Boxer (dog)
Kategória:Ökölvívók	Boxers
Ökölvívás	Boxing
Kategória:Ökölvívás	Boxing
Boyle–Mariotte-törvény	Boyle's law
Zárójel	Bracket
Braga	Braga
Brahma	Brahma
Braille-írás	Braille
Agy	Brain
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Keresztesvirágúak	Brassicaceae
Pozsony	Bratislava
Braunschweig	Braunschweig
Brazília	Brazil
Kategória:Brazília	Brazil
Brazzaville	Brazzaville
Kenyér	Bread
Emlőrák	Breast cancer
Bréma (város)	Bremen
Bréma (tartomány)	Bremen (state)
Bremerhaven	Bremerhaven
Breszt	Brest
Bretagne	Bretagne
Híd	Bridge
Kategória:Hidak	Bridges
Bridgetown	Bridgetown
Dandár	Brigade
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
Brit Columbia	British Columbia
Brit Birodalom	British Empire
Brit-szigetek	British Isles
Brit Virgin-szigetek	British Virgin Islands
Kategória:Britek	British people
Brno	Brno
Brokkoli	Broccoli
Bróm	Bromine
Bronz	Bronze
Bronzkor	Bronze Age
Brooklyn	Brooklyn
Brooklyn híd	Brooklyn Bridge
Barna medve	Brown Bear
Brown-mozgás	Brownian motion
Bruce Lee	Bruce Lee
Brugge	Bruges
Brunei	Brunei
Kategória:Brunei	Brunei
Brüsszel	Brussels
Pestis	Bubonic plague
Bukarest	Bucharest
Buckminster Fuller	Buckminster Fuller
Hajdina	Buckwheat
Budapest	Budapest
Buddha	Buddha
Buddhizmus	Buddhism
Kategória:Buddhizmus	Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Épület	Building
Bujumbura	Bujumbura
Bulgária	Bulgaria
Kategória:Bulgária	Bulgaria
Arkhimédész törvénye	Buoyancy
Polgármester	Burgomaster
Burkina Faso	Burkina Faso
Kategória:Burkina Faso	Burkina Faso
Mianmar	Burma
Kategória:Mianmar	Burma
Burka	Burqa
Bursa (város)	Bursa
Kategória:Burundi	Burundi
Autóbusz	Bus
Kategória:Üzletemberek	Businesspeople
Buster Keaton	Buster Keaton
Bután	Butane
Vaj	Butter
Pillangóhatás (elmélet)	Butterfly effect
Bydgoszcz	Bydgoszcz
Byte	Byte
Kategória:Bizánci Birodalom	Byzantine Empire
C	C
C (programozási nyelv)	C (programming language)
C. S. Lewis	C. S. Lewis
COBOL	COBOL
Kaktuszfélék	Cactus
Kadmium	Cadmium
Kadmosz	Cadmus
Véső csillagkép	Caelum
Cézium	Caesium
Koffein	Caffeine
Kairó	Cairo
Calabria	Calabria
Kalcit	Calcite
Kalcium	Calcium
