Polish	English
Kategoria:Alpy	Alps
Alzacja	Alsace
Altair	Altair
Ołtarz	Altar
Ałtaj	Altay Mountains
Prąd przemienny	Alternating current
Kategoria:Medycyna niekonwencjonalna	Alternative medicine
Medycyna niekonwencjonalna	Alternative medicine
Altruizm	Altruism
Glin	Aluminium
Tlenek glinu	Aluminium oxide
Alvar Aalto	Alvar Aalto
Choroba Alzheimera	Alzheimer's disease
Muchomor czerwony	Amanita muscaria
Muchomor zielonawy	Amanita phalloides
Amarylkowate	Amaryllidaceae
Amaterasu	Amaterasu
Amazonka (rzeka)	Amazon River
Ambasador	Ambassador
Bursztyn	Amber
Święty Ambroży	Ambrose
Amadeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Bizon	American Bison
Baribal	American Black Bear
Wojna secesyjna	American Civil War
Wojna o niepodległość Stanów Zjednoczonych	American Revolutionary War
Samoa Amerykańskie	American Samoa
ASCII	American Standard Code for Information Interchange
Futbol amerykański	American football
Kategoria:Futbol amerykański	American football
Ameryk	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametyst	Amethyst
Język amharski	Amharic
Amidy	Amide
Aminy	Amine
Aminokwasy	Amino acid
Amisze	Amish
Amman	Amman
Amperomierz	Ammeter
Amoniak	Ammonia
Amnezja organiczna	Amnesia
Amnestia	Amnesty
Amper	Ampere
Amfetamina	Amphetamine
Płazy	Amphibian
Amfiteatr	Amphitheatre
Amfora	Amphora
Amplituda	Amplitude
Amsterdam	Amsterdam
Kategoria:Amsterdam	Amsterdam
Amon (bóg egipski)	Amun
Amur (rzeka)	Amur
Anabaptyzm	Anabaptist
Anagram	Anagram
Anaheim	Anaheim
Seks analny	Anal sex
Geometria analityczna	Analytic geometry
Anarchizm	Anarchism
Kategoria:Anarchizm	Anarchism
Anarchia	Anarchy
Kaczkowate	Anatidae
Anatole France	Anatole France
Kategoria:Anatomia	Anatomy
Anatomia	Anatomy
Anaksagoras	Anaxagoras
Anaksymander	Anaximander
Kotwica	Anchor
Anchorage (Alaska)	Anchorage
Język grecki klasyczny	Ancient Greek
Kategoria:Starożytność	Ancient history
Andaluzja	Andalusia
Morze Andamańskie	Andaman Sea
Anders Celsius	Anders Celsius
Andy	Andes
Andhra Pradesh	Andhra Pradesh
Andora	Andorra
Kategoria:Andora	Andorra
Andrea Palladio	Andrea Palladio
Andriej Sacharow	Andrei Sakharov
Andriej Tarkowski	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson (prezydent USA)	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda
Andromeda (gwiazdozbiór)	Andromeda (constellation)
Andromeda (mitologia)	Andromeda (mythology)
Galaktyka Andromedy	Andromeda Galaxy
Andy Warhol	Andy Warhol
Niedokrwistość	Anemia
Anemometr	Anemometer
Znieczulenie	Anesthesia
Angara	Angara River
Anioł	Angel
Salto del Angel	Angel Falls
Kąt płaski	Angle
Anglikanizm	Anglicanism
Angola	Angola
Kategoria:Angola	Angola
Anguilla	Anguilla
Moment pędu	Angular momentum
Prędkość kątowa	Angular velocity
Anicius Manlius Severinus Boethius	Anicius Manlius Severinus Boethius
Anilina	Aniline
Zwierzęta	Animal
Chów	Animal husbandry
Anime	Anime
Kategoria:Anime	Anime
Animizm	Animism
Biedrzeniec anyż	Anise
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anna Boleyn	Anne Boleyn
Pierścienice	Annelid
N.e.	Anno Domini
Zwiastowanie	Annunciation
Anoda	Anode
Blaszkodziobe	Anseriformes
Mrówkowate	Ant
Antiochia	Antakya
Antalya	Antalya
Antananarywa	Antananarivo
Antarktyda	Antarctica
Kategoria:Antarktyda	Antarctica
Antares	Antares
Antena	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Wąglik	Anthrax
Antropologia (nauka)	Anthropology
Kategoria:Antropologia	Anthropology
Antropozofia	Anthroposophy
Antybiotyki	Antibiotic
Przeciwciało	Antibody
Antychryst	Antichrist
Antycyklon	Anticyclone
Antygen	Antigen
Antygona (córka Edypa)	Antigone
Antigua i Barbuda	Antigua and Barbuda
Kategoria:Antigua i Barbuda	Antigua and Barbuda
Antymateria	Antimatter
Antymon	Antimony
Przeciwutleniacze	Antioxidant
Antypapież	Antipope
Antysemityzm	Antisemitism
Kategoria:Antysemityzm	Antisemitism
Pompa (gwiazdozbiór)	Antlia
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Czechow	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonim	Antonym
Antwerpia	Antwerp
Prowincja Antwerpia	Antwerp (province)
Anubis	Anubis
Odbyt	Anus
Aorta człowieka	Aorta
Apacze	Apache
Apatyt	Apatite
Małpy człekokształtne	Ape
Afazja	Aphasia
Aforyzm	Aphorism
Afrodyta	Aphrodite
Apia	Apia
Selerowate	Apiaceae
Apokryf	Apocrypha
Jerzykowe	Apodiformes
Apollo (mitologia)	Apollo
Apollo	Apollo (disambiguation)
Program Apollo	Apollo program
Kategoria:Program Apollo	Apollo program
Apoptoza	Apoptosis
Appalachy	Appalachian Mountains
Zapalenie wyrostka robaczkowego	Appendicitis
Matematyka stosowana	Applied mathematics
Morela	Apricot
Kwiecień	April
14 kwietnia	April 14
Prima aprilis	April Fools' Day
Apsyda (architektura)	Apse
Apulia	Apulia
Ptak Rajski (gwiazdozbiór)	Apus
Akaba	Aqaba
Woda królewska	Aqua regia
Akwamaryn	Aquamarine
Akwarium	Aquarium
Wodnik (gwiazdozbiór)	Aquarius (constellation)
Akwedukt	Aqueduct
Orzeł (gwiazdozbiór)	Aquila (constellation)
Akwitania	Aquitaine
Ołtarz (gwiazdozbiór)	Ara (constellation)
Arabowie	Arab
Liga Państw Arabskich	Arab League
Półwysep Arabski	Arabian Peninsula
Morze Arabskie	Arabian Sea
Alfabet arabski	Arabic alphabet
Język arabski	Arabic language
Obrazkowate	Araceae
Pajęczaki	Arachnid
Morze Arafura	Arafura Sea
Aragonia	Aragon
Jezioro Aralskie	Aral Sea
Aram Chaczaturian	Aram Khachaturian
Arkadia (kraina historyczna)	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Łuk (architektura)	Arch
Archeologia	Archaeology
Kategoria:Archeologia	Archaeology
Praptak	Archaeopteryx
Archanioł	Archangel
Arcybiskup	Archbishop
Archaik	Archean
Archetyp (psychologia)	Archetype
Archimedes	Archimedes
Archipelag	Archipelago
Architekt	Architect
Architektura	Architecture
Kategoria:Architektura i budownictwo	Architecture
Gady naczelne	Archosaur
Arktyka	Arctic
Koło podbiegunowe	Arctic Circle
Ocean Arktyczny	Arctic Ocean
Lis polarny	Arctic fox
Ardeny	Ardennes
Ardennes	Ardennes (department)
Ar (jednostka miary)	Are
Powierzchnia	Area
Arekowate	Arecaceae
Ares (bóg)	Ares
Argentyna	Argentina
Kategoria:Argentyna	Argentina
Argon	Argon
Argos	Argos
Aria	Aria
Ariadna	Ariadne
Arianizm	Arianism
Baran (gwiazdozbiór)	Aries (constellation)
Arystarch z Samos	Aristarchus of Samos
Arystokracja	Aristocracy
Arystofanes	Aristophanes
Arystoteles	Aristotle
Arytmetyka	Arithmetic
Kategoria:Arytmetyka	Arithmetic
Ciąg arytmetyczny	Arithmetic progression
Ariusz	Arius
Arizona	Arizona
Kategoria:Arizona	Arizona
Arka Przymierza	Ark of the Covenant
Arkansas	Arkansas
Kategoria:Arkansas	Arkansas
Arles	Arles
Pancerniki	Armadillo
Armenia	Armenia
Kategoria:Armenia	Armenia
Język ormiański	Armenian language
Arminius	Arminius
Zbroja	Armour
Armia	Army
Arnhem	Arnhem
Arno (rzeka)	Arno River
Arnold Schönberg	Arnold Schoenberg
Węglowodory aromatyczne	Aromatic hydrocarbon
Arkebuz	Arquebus
Arras (Pas-de-Calais)	Arras
Strzała	Arrow
Arsen	Arsenic
Sztuka	Art
Art déco	Art Deco
Secesja (sztuka)	Art Nouveau
Kategoria:Historia sztuki	Art history
Historia sztuki	Art history
Artemida	Artemis
Bylica	Artemisia (plant)
Bylica piołun	Artemisia absinthium
Tętnica	Artery
Zapalenie stawów	Arthritis
Stawonogi	Arthropod
Arthur Holly Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley, 1. książę Wellington	Arthur Wellesley
Sztuczna inteligencja	Artificial intelligence
Kategoria:Sztuczna inteligencja	Artificial intelligence
Artyleria	Artillery
Kategoria:Artyleria	Artillery
Artysta	Artist
Kategoria:Sztuka	Arts
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Kategoria:Aruba	Aruba
Azbest	Asbestos
Asklepios	Asclepius
Aseksualizm	Asexuality
Asgard	Asgard
Popielec	Ash Wednesday
Aszurbanipal	Ashurbanipal
Azja	Asia
Kategoria:Azja	Asia
Asmara	Asmara
Aspartam	Aspartame
Asfalt	Asphalt
Kwas acetylosalicylowy	Aspirin
Assam	Assam
Zamach	Assassination
Stowarzyszenie Narodów Azji Południowo-Wschodniej	Association of Southeast Asian Nations
Asyria	Assyria
Kategoria:Asyria	Assyria
Astana	Astana
Astat	Astatine
Astrowate	Asteraceae
Kategoria:Astrowate	Asteraceae
Planetoida	Asteroid
Pas planetoid	Asteroid belt
Astenosfera	Asthenosphere
Astma oskrzelowa	Asthma
Astygmatyzm (oko)	Astigmatism (eye)
Astrachań	Astrakhan
Astrobiologia	Astrobiology
Astrolabium	Astrolabe
Astrologia	Astrology
Kategoria:Astrologia	Astrology
Astrometria	Astrometry
Astronauta	Astronaut
Astronom	Astronomer
Jednostka astronomiczna	Astronomical unit
Astronomia	Astronomy
Kategoria:Astronomia	Astronomy
Portal:Astronomia	Astronomy
Astrofizyka	Astrophysics
Kategoria:Astrofizyka	Astrophysics
Asuan	Aswan
Asymptota	Asymptote
Asynchronous Transfer Mode	Asynchronous Transfer Mode
Atakama	Atacama Desert
Aton	Aten
Kategoria:Ateizm	Atheism
Atena	Athena
Ateny	Athens
Kategoria:Lekkoatletyka	Athletics
Lekkoatletyka	Athletics (track and field)
Atlanta	Atlanta
Ocean Atlantycki	Atlantic Ocean
Kategoria:Ocean Atlantycki	Atlantic Ocean
Atlantyda	Atlantis
Atlas	Atlas (disambiguation)
Atlas (księżyc)	Atlas (moon)
Atlas (mitologia)	Atlas (mythology)
Atlas (góry)	Atlas Mountains
Atmosfera fizyczna	Atmosphere (unit)
Ciśnienie atmosferyczne	Atmospheric pressure
Atol	Atoll
Atom	Atom
Zegar atomowy	Atomic clock
Masa atomowa	Atomic mass
Jednostka masy atomowej	Atomic mass unit
Liczba atomowa	Atomic number
Kategoria:Fizyka atomowa	Atomic physics
Fizyka atomowa	Atomic physics
Atreus	Atreus
Atropina	Atropine
Attyka (kraina historyczna)	Attica
Attyla	Attila the Hun
Au	Au
Auckland	Auckland
Aukcja (forma przetargu)	Auction
Sierpień	August
1 sierpnia	August 1
15 sierpnia	August 15
6 sierpnia	August 6
August Strindberg	August Strindberg
Augusta (Maine)	Augusta
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustyn z Hippony	Augustine of Hippo
Oktawian August	Augustus
Woźnica (gwiazdozbiór)	Auriga (constellation)
Aurora	Aurora
Zorza polarna	Aurora (astronomy)
Austin (Teksas)	Austin
Australazja	Australasia
Australia	Australia
Kategoria:Australia	Australia
Dolar australijski	Australian dollar
Australopiteki	Australopithecus
Austria	Austria
Kategoria:Austria	Austria
Austro-Węgry	Austria-Hungary
Autor	Author
Autorytet	Authority
Autyzm dziecięcy	Autism
Wyścig samochodowy	Auto racing
Autobiografia	Autobiography
Bankomat	Automated teller machine
Samochód	Automobile
Autonomiczny układ nerwowy	Autonomic nervous system
Samożywność	Autotroph
Jesień	Autumn
Owernia	Auvergne (region)
Lawina	Avalanche
Awangarda (sztuka)	Avant-garde
Awatara	Avatar
Owies	Avena
Awerroes	Averroes
Awesta	Avesta
Kategoria:Lotnictwo	Aviation
Lotnictwo	Aviation
Awicenna	Avicenna
Awinion	Avignon
Smaczliwka	Avocado
Prawo Avogadra	Avogadro's law
Topór	Axe
Aksjomat	Axiom
Neuryt	Axon
Ajatollah	Ayatollah
Ayn Rand	Ayn Rand
Azerbejdżan	Azerbaijan
Kategoria:Azerbejdżan	Azerbaijan
Azymut	Azimuth
Azory	Azores
Aztekowie	Aztec
Azuryt	Azurite
B	B
BASIC	BASIC
Baal	Baal
Pawian	Baboon
Babilon	Babylon
Babilonia	Babylonia
Tryktrak	Backgammon
Bakterie	Bacteria
Kategoria:Bakterie	Bacteria
Bakteriofag	Bacteriophage
Baktrian	Bactrian Camel
Badminton	Badminton
Morze Baffina	Baffin Bay
Ziemia Baffina	Baffin Island
Bagdad	Baghdad
Kategoria:Bahamy	Bahamas
Bahrajn	Bahrain
Kategoria:Bahrajn	Bahrain
Kalifornia Dolna	Baja California
Bakława	Baklava
Baku	Baku
Bałałajka	Balalaika
Bilans (rachunkowość)	Balance sheet
Baldur	Baldr
Baleary	Balearic Islands
Fiszbinowce	Baleen whale
Bali (wyspa)	Bali
Stara Płanina	Balkan Mountains
Wojny bałkańskie	Balkan Wars
Półwysep Bałkański	Balkans
Piłka	Ball
Balet	Ballet
Kategoria:Balet	Ballet
Rakietowy pocisk balistyczny	Ballistic missile
Długopis	Ballpoint pen
Morze Bałtyckie	Baltic Sea
Baltimore	Baltimore
Bamako	Bamako
Bambus	Bamboo
Banan	Banana
Republika bananowa	Banana republic
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesz	Bangladesh
Kategoria:Bangladesz	Bangladesh
Bangi	Bangui
Bandżul	Banjul
Bank	Bank
Banknot	Banknote
Kategoria:Banki	Banks
Chrzest	Baptism
Baptyzm	Baptist
Bar (jednostka)	Bar (unit)
Barbados	Barbados
Kategoria:Barbados	Barbados
Barbarzyńca	Barbarian
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Kategoria:Barcelona	Barcelona
Morze Barentsa	Barents Sea
Bari	Bari
Bar (pierwiastek)	Barium
Jęczmień	Barley
Płomykówka	Barn Owl
Jaskółka dymówka	Barn Swallow
Barometr	Barometer
Baron	Baron
Barok	Baroque
Barranquilla	Barranquilla
Baryłka	Barrel (unit)
Bariony	Baryon
Bazalt	Basalt
Zasady	Base (chemistry)
Baseball	Baseball
Kategoria:Baseball	Baseball
Bazylea	Basel
Bash	Bash
Grzyby podstawkowe	Basidiomycota
Bazylia pospolita	Basil
Bazyli Wielki	Basil of Caesarea
Bazylika	Basilica
Basilicata	Basilicata
Bazyliskus	Basiliscus
Bazyliszek (stworzenie mityczne)	Basilisk
Koszykówka	Basketball
Kategoria:Koszykówka	Basketball
Al-Basra (miasto)	Basra
Gitara basowa	Bass guitar
Dolna Normandia	Basse-Normandie
Basseterre	Basseterre
Fagot	Bassoon
Bastet	Bast (mythology)
Bastylia	Bastille
Nietoperze	Bat
Bath (Anglia)	Bath
Batman	Batman
Baton Rouge	Baton Rouge
Kategoria:Nietoperze	Bats
Batalion	Battalion
Bateria ogniw	Battery (electricity)
Bitwa pod Austerlitz	Battle of Austerlitz
Bitwa o Anglię	Battle of Britain
Bitwa pod Hastings	Battle of Hastings
Bitwa pod Lepanto (1571)	Battle of Lepanto (1571)
Bitwa pod Maratonem	Battle of Marathon
Bitwa o Midway	Battle of Midway
Bitwa pod Termopilami	Battle of Thermopylae
Bitwa pod Trafalgarem	Battle of Trafalgar
Bitwa pod Verdun	Battle of Verdun
Bitwa pod Waterloo	Battle of Waterloo
Ofensywa w Ardenach	Battle of the Bulge
Bitwa nad Sommą	Battle of the Somme
Pancernik	Battleship
Bauhaus	Bauhaus
Boksyt	Bauxite
Bawaria	Bavaria
Kategoria:Bawaria	Bavaria
Wawrzyn szlachetny	Bay Laurel
Zatoka Bengalska	Bay of Bengal
Zatoka Biskajska	Bay of Biscay
Bayer AG	Bayer
Bagnet	Bayonet
Bayonne	Bayonne
Plaża	Beach
Beagle (rasa psów)	Beagle
Dziób (zoologia)	Beak
Niedźwiedziowate	Bear
Morze Beauforta	Beaufort Sea
Skala Beauforta	Beaufort scale
Castor	Beaver
Bebop	Bebop
Bekerel	Becquerel
Łóżko	Bed
Beda Czcigodny	Bede
Beduin	Bedouin
Pszczoły	Bee
Buk	Beech
Kategoria:Pszczelarstwo	Beekeeping
Piwo	Beer
Kategoria:Piwo	Beer
Chrząszcze	Beetle
Behawioryzm	Behaviorism
Pekin	Beijing
Bejrut	Beirut
Białoruś	Belarus
Kategoria:Białoruś	Belarus
Belfast	Belfast
Belgia	Belgium
Kategoria:Belgia	Belgium
Belgrad	Belgrade
Belizariusz	Belisarius
Belize	Belize
Kategoria:Belize	Belize
Dzwon (instrument)	Bell (instrument)
Bellerofont	Bellerophon
Taniec brzucha	Belly dance
Belo Horizonte	Belo Horizonte
Białucha (waleń)	Beluga
Benelux	Benelux
Bengal	Bengal
Bengazi	Benghazi
Benin	Benin
Kategoria:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli, 1. hrabia Beaconsfield	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Morze Beringa	Bering Sea
Cieśnina Beringa	Bering Strait
Berkel	Berkelium
Berkshire (Anglia)	Berkshire
Berlin	Berlin
Kategoria:Berlin	Berlin
Bermudy	Bermuda
Kategoria:Bermudy	Bermuda
Trójkąt Bermudzki	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Berno	Berne
