Marathi	English
वर्ग:आर्मेनिया	Armenia
आर्सेनिक	Arsenic
आर्टेमिस	Artemis
आर्थर कोनन डॉयल	Arthur Conan Doyle
आर्थर मिलर	Arthur Miller
आर्थर वेलेस्ली, ड्युक ऑफ वेलिंग्टन	Arthur Wellesley
कृत्रिम बुद्धिमत्ता	Artificial intelligence
आशिया	Asia
अस्मारा	Asmara
आसाम	Assam
असिरिया	Assyria
अस्ताना	Astana
खगोलीय एकक	Astronomical unit
अथेना	Athena
अथेन्स	Athens
अटलांटा	Atlanta
अटलांटिक महासागर	Atlantic Ocean
अणू	Atom
अणुभार	Atomic mass
अणुक्रमांक	Atomic number
ऑगस्ट	August
ऑगस्ट १	August 1
ऑगस्ट १५	August 15
ऑगस्ट ६	August 6
ऑस्टिन, टेक्सास	Austin
ऑस्ट्रेलिया	Australia
वर्ग:ऑस्ट्रेलिया	Australia
ऑस्ट्रेलियन डॉलर	Australian dollar
ऑस्ट्रिया	Austria
वर्ग:ऑस्ट्रिया	Austria
आयन रँड	Ayn Rand
अझरबैजान	Azerbaijan
वर्ग:अझरबैजान	Azerbaijan
ऍझटेक	Aztec
जीवाणू	Bacteria
बगदाद	Baghdad
बाल्टिक समुद्र	Baltic Sea
बाल्टिमोर	Baltimore
बंगळूर	Bangalore
बँगकॉक	Bangkok
बांगलादेश	Bangladesh
वर्ग:बांगलादेश	Bangladesh
बार्सिलोना	Barcelona
बेसबॉल	Baseball
बासेल	Basel
बास्केटबॉल	Basketball
बॅस्टिल तुरुंग	Bastille
बॅटल ऑफ ब्रिटन	Battle of Britain
थर्मोपिलाईचे युद्ध	Battle of Thermopylae
ट्रफाल्गरची लढाई	Battle of Trafalgar
वॉटर्लूचे युद्ध	Battle of Waterloo
बंगालचा उपसागर	Bay of Bengal
बीजिंग	Beijing
बैरुत	Beirut
बेलारूस	Belarus
बेल्जियम	Belgium
वर्ग:बेल्जियम	Belgium
बेलग्रेड	Belgrade
बेंगाझी	Benghazi
बेंजामिन डिझरायेली	Benjamin Disraeli
बर्लिन	Berlin
बर्न	Berne
बर्ट्रांड रसेल	Bertrand Russell
वर्ग:भूतान	Bhutan
बायबल	Bible
बिहार	Bihar
विल्यम जेफरसन क्लिंटन	Bill Clinton
बिल गेट्स	Bill Gates
द्विनेत्री	Binoculars
जैविक विविधता	Biodiversity
बिस्मथ	Bismuth
श्वार्त्सवाल्ड	Black Forest
घार	Black Kite
ब्लेस पास्कल	Blaise Pascal
ब्लूमफाँटेन	Bloemfontein
रक्त	Blood
बोलिव्हिया	Bolivia
वर्ग:बॉलिव्हिया	Bolivia
बोलोन्या	Bologna
बोरिस पास्तरनाक	Boris Pasternak
वर्ग:बॉस्निया-हर्झगोव्हेना	Bosnia and Herzegovina
बॉस्टन	Boston
वर्ग:ब्राझिल	Brazil
ब्राझाव्हिल	Brazzaville
ब्रेमेन	Bremen
ब्रिटिश कोलंबिया	British Columbia
ब्रोकली	Broccoli
ब्रोमिन	Bromine
ब्रसेल्स	Brussels
बुडापेस्ट	Budapest
बौद्ध धर्म	Buddhism
बडी हॉली	Buddy Holly
बोयनोस एर्स	Buenos Aires
वर्ग:बल्गेरिया	Bulgaria
म्यानमार	Burma
वर्ग:म्यानमार	Burma
सिझियम	Caesium
कैरो	Cairo
कॅलिफोर्निया	California
वर्ग:कॅलिफोर्निया	California
कॅलिफोर्नियम	Californium
कालिगुला	Caligula
कॅलिस्टो उपग्रह	Callisto (moon)
कॅल्विन कूलिज	Calvin Coolidge
कंबोडिया	Cambodia
वर्ग:कंबोडिया	Cambodia
कामेरून	Cameroon
वर्ग:कामेरून	Cameroon
कॅनडा	Canada
वर्ग:कॅनडा	Canada
केनेडियन डॉलर	Canadian dollar
कॅनबेरा	Canberra
कान, फ्रांस	Cannes
तोफ	Cannon
केप व्हर्दे	Cape Verde
वर्ग:केप व्हर्दे	Cape Verde
भांडवलशाही	Capitalism
काराकास	Caracas
कार्बन	Carbon
कार्बन डायॉक्साइड	Carbon dioxide
कार्बन मोनॉक्साईड	Carbon monoxide
कार्ल गुस्टाफ युंग	Carl Jung
कार्टेशियन गुणक पद्धती	Cartesian coordinate system
कॅस्पियन समुद्र	Caspian Sea
मांजर	Cat
गाय बगळा	Cattle Egret
घोडदळ	Cavalry
सेल्सियस	Celsius
चाड	Chad
चार्ल्स डार्विन	Charles Darwin
चार्ल्स डिकन्स	Charles Dickens
चार्ल्स दि गॉल	Charles de Gaulle
टकल्या चार्ल्स	Charles the Bald
चार्ली चॅप्लिन	Charlie Chaplin
चित्ता	Cheetah
रासायनिक बंध	Chemical bond
चेन्नई	Chennai
बुद्धिबळ	Chess
वर्ग:बुद्धिबळ	Chess
चेस्टर ए. आर्थर	Chester A. Arthur
शिकागो	Chicago
कोंबडी	Chicken
शिवावा	Chihuahua
प्रसूती	Childbirth
चिली	Chile
वर्ग:चिली	Chile
वर्ग:चीन	China
क्राइस्टचर्च	Christchurch
ख्रिश्चन धर्म	Christianity
ख्रिस्तोफर कोलंबस	Christopher Columbus
अभिजात यामिक	Classical mechanics
क्लोद मोने	Claude Monet
क्लॉडियस	Claudius
क्लेमेंट ऍटली	Clement Attlee
क्लीव्हलँड	Cleveland
कोबाल्ट	Cobalt
कॉफी	Coffee
क्योल्न	Cologne
कोलंबो	Colombo
रंग	Color
कॉलोराडो	Colorado
वर्ग:कॉलोराडो	Colorado
कॉलोराडो नदी	Colorado River
कोलंबिया नदी	Columbia River
धूमकेतू	Comet
राष्ट्रकुल परिषद	Commonwealth of Nations
साम्यवाद	Communism
वर्ग:साम्यवाद	Communism
कोमोरोस	Comoros
वर्ग:कोमोरोस	Comoros
होकायंत्र	Compass
संगणक विज्ञान	Computer
काँगो नदी	Congo River
कनेक्टिकट	Connecticut
वर्ग:कनेक्टिकट	Connecticut
कोपनहेगन	Copenhagen
तांबे	Copper
क्रौंच	Crane (bird)
क्रिकेट	Cricket
वर्ग:क्रोएशिया	Croatia
कर्लिंग	Curling
वर्ग:सायप्रस	Cyprus
सायरस द ग्रेट	Cyrus the Great
चेक प्रजासत्ताक	Czech Republic
वर्ग:चेक प्रजासत्ताक	Czech Republic
डी.एच. लॉरेन्स	D. H. Lawrence
दलाई लामा	Dalai Lama
नृत्य	Dance
डॅनिश क्रोन	Danish krone
दार्जीलिंग	Darjeeling
डेव्हिस करंडक	Davis Cup
मृत्यू	Death
डिसेंबर	December
डिसेंबर ३१	December 31
डिसेंबर ८	December 8
डेको	Deco
सारंग हरीण	Deer
डेलावेर	Delaware
वर्ग:डेलावेर	Delaware
दिल्ली	Delhi
लोकशाही	Democracy
डेन्मार्क	Denmark
वर्ग:डेन्मार्क	Denmark
डेनिस गॅबॉर	Dennis Gabor
डेन्व्हर	Denver
वाळवंट	Desert
डेट्रॉईट	Detroit
ढाका	Dhaka
व्यास	Diameter
हिरा	Diamond
मिती	Dimension
डायर स्ट्रेट्स	Dire Straits
दिमित्री मेंडेलीव	Dmitri Mendeleev
ड्नाइपर नदी	Dnieper River
डोडोमा	Dodoma
कुत्रा	Dog
दोहा	Doha
डॉमिनिकन प्रजासत्ताक	Dominican Republic
वर्ग:डॉमिनिकन प्रजासत्ताक	Dominican Republic
डोमिशियन	Domitian
डॉर्टमुंड	Dortmund
ड्रेस्डेन	Dresden
दुबई	Dubai
डब्लिन	Dublin
डब्नियम	Dubnium
ड्वाइट डी. आयझेनहॉवर	Dwight D. Eisenhower
ईमेल	E-mail
कान	Ear
पृथ्वी	Earth
पूर्व जर्मनी	East Germany
पूर्व तिमोर	East Timor
वर्ग:पूर्व तिमोर	East Timor
ग्रहण	Eclipse
अर्थशास्त्र	Economics
इक्वेडोर	Ecuador
वर्ग:इक्वेडोर	Ecuador
एडगर ऍलन पो	Edgar Allan Poe
एदगा दगा	Edgar Degas
एडगर राइस बरोज	Edgar Rice Burroughs
एडिनबरा	Edinburgh
एडमंटन	Edmonton
एडमंड हिलरी	Edmund Hillary
एडुआर्ड बुखनेर	Eduard Buchner
शिक्षण	Education
एडवर्ड जेनर	Edward Jenner
इजिप्त	Egypt
वर्ग:इजिप्त	Egypt
एल साल्वाडोर	El Salvador
वर्ग:एल साल्वाडोर	El Salvador
विद्युत	Electricity
विजाणू	Electron
एलिझाबेथ टेलर	Elizabeth Taylor
ऊर्जा	Energy
अभियांत्रिकी	Engineering
इंग्लंड	England
इंग्लिश भाषा	English language
एन्रिको फर्मी	Enrico Fermi
समीकरण	Equation
विषुववृत्त	Equator
वर्ग:एरिट्रिया	Eritrea
अर्नेस्ट हेमिंग्वे	Ernest Hemingway
वर्ग:एस्टोनिया	Estonia
इथियोपिया	Ethiopia
निलगिरी, वनस्पती	Eucalyptus
युफ्रेटिस नदी	Euphrates
युरो	Euro
युरोपा उपग्रह	Europa (moon)
युरोप	Europe
युरोपियन संघ	European Union
फेब्रुवारी	February
फेब्रुवारी १२	February 12
फेब्रुवारी १४	February 14
फेब्रुवारी २	February 2
फेब्रुवारी २२	February 22
फेब्रुवारी २९	February 29
विष्ठा	Feces
मार्जार कुळ	Felidae
फर्मियम	Fermium
खते	Fertilizer
फिदेल कास्त्रो	Fidel Castro
हॉकी	Field hockey
फिनलंड	Finland
वर्ग:फिनलंड	Finland
रोहित (पक्षी)	Flamingo
पूर	Flood
फ्लोरेन्स	Florence
फ्लोरिडा	Florida
वर्ग:फ्लोरिडा	Florida
अन्न	Food
फुटबॉल	Football (soccer)
फ्रांस	France
वर्ग:फ्रान्स	France
फ्रांसिस्को गोया	Francisco Goya
फ्रांसिस्को पिझारो	Francisco Pizarro
फ्रांकफुर्ट	Frankfurt
फ्रांत्स काफ्का	Franz Kafka
फ्रेडरिक दुसरा, पवित्र रोमन सम्राट	Frederick II
फ्रेंच राज्यक्रांती	French Revolution
फ्रेंच फ्रँक	French franc
वर्ग:Categories	Fundamental
फ्योदर दस्तयेवस्की	Fyodor Dostoevsky
गॅलिलियो	Galileo Galilei
अब्दल गमाल नासर	Gamal Abdel Nasser
गंगा नदी	Ganges
गॅनिमीड उपग्रह	Ganymede (moon)
वैश्विक वायू एकक	Gas constant
गाझा	Gaza
जिनिव्हा	Geneva
जेफरी चॉसर	Geoffrey Chaucer
भूगोल	Geography
जॉर्ज बर्नार्ड शॉ	George Bernard Shaw
जॉर्ज हॅरिसन	George Harrison
जॉर्ज ओरवेल	George Orwell
जॉर्ज डब्ल्यू. बुश	George W. Bush
जॉर्ज वॉशिंग्टन	George Washington
जॉर्जिया	Georgia (U.S. state)
वर्ग:जॉर्जिया	Georgia (country)
जेराल्ड फोर्ड	Gerald Ford
जर्मन भाषा	German language
जर्मन मार्क	German mark
जर्मनी	Germany
वर्ग:जर्मनी	Germany
घाना	Ghana
वर्ग:घाना	Ghana
जिब्राल्टर	Gibraltar
गिरोलामो साव्होनारोला	Girolamo Savonarola
ग्लासगो	Glasgow
गोवा	Goa
सोने	Gold
गोल्डा मायर	Golda Meir
गूगल	Google
गोटलिब डाइमलर	Gottlieb Daimler
ग्रेस केली	Grace Kelly
मराठी व्याकरण	Grammar
ग्रीस	Greece
वर्ग:ग्रीस	Greece
हिरवा	Green
हरितगृह परिणाम	Greenhouse effect
ग्रेनोबल	Grenoble
गुआम	Guam
ग्वाटेमाला सिटी	Guatemala City
गुलियेल्मो मार्कोनी	Guglielmo Marconi
गुजरात	Gujarat
मेक्सिकोचे आखात	Gulf of Mexico
गुस्टाफ क्लिम्ट	Gustav Klimt
गुस्ताव लुडविग हेर्ट्झ	Gustav Ludwig Hertz
एच.जी. वेल्स	H. G. Wells
एच.आय.व्ही.	HIV
हादिथ	Hadith
हाफ्नियम	Hafnium
हैती	Haiti
वर्ग:हैती	Haiti
हांबुर्ग	Hamburg
हान राजवंश	Han Dynasty
हॅना अरेंट	Hannah Arendt
हॅनॉव्हर	Hanover
हॅन्सियाटिक लीग	Hanseatic League
हनुमान	Hanuman
हवाई	Hawaii
डोके	Head
आरोग्य	Health
हाइनरिक हेर्ट्झ	Heinrich Hertz
हेलियम	Helium
हेल्मुट श्मिट	Helmut Schmidt
हेलसिंकी	Helsinki
हेरत	Herat
हर्बर्ट हूवर	Herbert Hoover
हेर्मान हेस	Hermann Hesse
हेसेन	Hesse
हिमालय	Himalayas
हिंदुकुश	Hindu Kush
हिंदू धर्म	Hinduism
वर्ग:हिंदू धर्म	Hinduism
हिस्पॅनियोला	Hispaniola
इतिहास	History
हो चि मिन्ह सिटी	Ho Chi Minh City
हॉलिवूड	Hollywood
होल्मियम	Holmium
पवित्र रोमन साम्राज्य	Holy Roman Empire
होमर	Homer
आदिमानव	Homo erectus
होन्डुरास	Honduras
मध	Honey
हाँगकाँग	Hong Kong
होरेशियो नेल्सन	Horatio Nelson
घोडा	Horse
होस्नी मुबारक	Hosni Mubarak
ह्यूस्टन	Houston
मानव	Human
हंगेरी	Hungary
वर्ग:हंगेरी	Hungary
हायड्रोजन	Hydrogen
इयान फ्लेमिंग	Ian Fleming
इबेरिया द्वीपकल्प	Iberian Peninsula
आइस हॉकी	Ice hockey
हिमनग	Iceberg
आइसलँड	Iceland
आयडाहो	Idaho
वर्ग:आयडाहो	Idaho
ईग्‍लू	Igloo
इलियड	Iliad
इलिनॉय	Illinois
वर्ग:इलिनॉय	Illinois
इंचेवॉन	Incheon
भारत	India
वर्ग:भारत	India
हिंदी महासागर	Indian Ocean
इंडियाना	Indiana
वर्ग:इंडियाना	Indiana
इंदिरा गांधी	Indira Gandhi
इंडियम	Indium
इंडोनेशिया	Indonesia
वर्ग:इंडोनेशिया	Indonesia
इंद्र	Indra
सिंधु नदी	Indus River
पायदळ सैनिक	Infantry
अनंत	Infinity
इन्सब्रुक	Innsbruck
पूर्ण संख्या	Integer
आंतरराष्ट्रीय गणना पद्धती	International System of Units
इंटरनेट	Internet
आयो उपग्रह	Io (moon)
आयोडिन	Iodine
आयोनिया	Ionia
आयोवा	Iowa
वर्ग:आयोवा	Iowa
इराण	Iran
वर्ग:इराण	Iran
इराक	Iraq
वर्ग:इराक	Iraq
इरिडियम	Iridium
लोखंड	Iron
अपरिमेय संख्या	Irrational number
आयझॅक न्यूटन	Isaac Newton
इस्लाम धर्म	Islam
इस्लामाबाद	Islamabad
इस्रायल	Israel
वर्ग:इस्रायल	Israel
इस्तंबूल	Istanbul
इटली	Italy
वर्ग:इटली	Italy
इथाका	Ithaca
इव्हान लेंडल	Ivan Lendl
जॅक्सनविल	Jacksonville
जॉक कार्टिये	Jacques Cartier
जैन धर्म	Jainism
जकार्ता	Jakarta
जमैका	Jamaica
वर्ग:जमैका	Jamaica
जेम्स गारफील्ड	James A. Garfield
जेम्स बॉँड	James Bond
जेम्स जॉइस	James Joyce
जेम्स पोक	James K. Polk
जेम्स मॅडिसन	James Madison
जेम्स मन्रो	James Monroe
जेम्स प्रेस्कॉट जूल	James Prescott Joule
जेम्स वॅट	James Watt
जम्मू आणि काश्मीर	Jammu and Kashmir
जेन ऑस्टेन	Jane Austen
जेन फोंडा	Jane Fonda
जानेवारी	January
जानेवारी १	January 1
जानेवारी १९	January 19
जानेवारी २०	January 20
जानेवारी ६	January 6
जपान	Japan
वर्ग:जपान	Japan
जवाहरलाल नेहरू	Jawaharlal Nehru
ज्यॉँ-पॉल सार्त्र	Jean-Paul Sartre
ज्यू	Jew
जिमी हेंड्रिक्स	Jimi Hendrix
जिमी कार्टर	Jimmy Carter
जोन ऑफ आर्क	Joan of Arc
योहान बर्नोली	Johann Bernoulli
योहान वोल्फगांग फॉन ग्यॉटे	Johann Wolfgang von Goethe
योहान्स डिडरिक व्हान डेर वाल्स	Johannes Diderik van der Waals
योहानेस केप्लर	Johannes Kepler
जॉन ऍडम्स	John Adams
जॉन हर्षल	John Herschel
जॉन लेनन	John Lennon
जॉन मेजर	John Major
जॉन मिल्टन	John Milton
जॉन क्विन्सी ऍडम्स	John Quincy Adams
जॉन रस्किन	John Ruskin
जॉन स्टाइनबेक	John Steinbeck
जॉन टायलर	John Tyler
जॉन फोन न्यूमन	John von Neumann
जॉनी कॅश	Johnny Cash
जॉर्डन	Jordan
वर्ग:जॉर्डन	Jordan
जोसेफ मॅककार्थी	Joseph McCarthy
जोसेफ प्रिस्टली	Joseph Priestley
जोसेफ स्टालिन	Joseph Stalin
जुदेआ	Judea
जुल्स व्हर्न	Jules Verne
ज्युलियन, रोमन सम्राट	Julian the Apostate
जुलै	July
जुलै १	July 1
जुलै ४	July 4
जून	June
जून १४	June 14
जून २१	June 21
जून २३	June 23
जून २४	June 24
जून २९	June 29
जून ३	June 3
गुरू ग्रह	Jupiter
के२	K2
काबुल	Kabul
कंपाला	Kampala
कंदहार	Kandahar
कॅन्सस	Kansas
वर्ग:कॅन्सस	Kansas
कॅन्सस सिटी, मिसूरी	Kansas City
कराची	Karachi
कार्ल मार्क्स	Karl Marx
कर्नाटक	Karnataka
कॅथरीन हेपबर्न	Katharine Hepburn
काठमांडू	Kathmandu
केटोविच	Katowice
कझाकस्तान	Kazakhstan
वर्ग:कझाकस्तान	Kazakhstan
केंटकी	Kentucky
वर्ग:केंटकी	Kentucky
केन्या	Kenya
खार्कीव्ह	Kharkiv
क्यीव	Kiev
किलोग्रॅम	Kilogram
गतीज ऊर्जा	Kinetic energy
राजा (बुद्धिबळ)	King (chess)
किंग्स्टन	Kingston
किरिबाटी	Kiribati
वर्ग:किरिबाटी	Kiribati
क्नेसेट	Knesset
कोबे	Kobe
कोलकाता	Kolkata
वर्ग:कोसोव्हो	Kosovo
कृष्ण	Krishna
क्वालालंपूर	Kuala Lumpur
कुब्लाई खान	Kublai Khan
कुवैत	Kuwait
वर्ग:कुवैत	Kuwait
लक्ष्मी	Lakshmi
भाषा	Language
लॅपटॉप	Laptop
लॅटिन भाषा	Latin
अक्षांश	Latitude
लात्व्हिया	Latvia
वर्ग:लात्व्हिया	Latvia
शिसे	Lead
लीग ऑफ नेशन्स	League of Nations
वर्ग:लेबेनॉन	Lebanon
लिओनार्दो दा विंची	Leonardo da Vinci
लियोनिद ब्रेझनेव्ह	Leonid Brezhnev
बिबट्या	Leopard
वर्ग:लेसोथो	Lesotho
अक्षर	Letter (alphabet)
लायबेरिया	Liberia
वर्ग:लायबेरिया	Liberia
वर्ग:लिब्या	Libya
लिश्टनस्टाइन	Liechtenstein
प्रकाश	Light
लिमा	Lima
लिंकन, नेब्रास्का	Lincoln
लिनक्स	Linux
सिंह	Lion
लिस्बन	Lisbon
लिथोग्राफ	Lithography
लिथुएनिया	Lithuania
वर्ग:लिथुएनिया	Lithuania
लंडन	London
वर्ग:लंडन	London
लॉस एंजेल्स	Los Angeles
लुईझियाना	Louisiana
लुआंडा	Luanda
लुडविग बोल्ट्झमन	Ludwig Boltzmann
लक्झेंबर्ग	Luxembourg
ल्योन	Lyon
मॅडोना	Madonna (entertainer)
माद्रिद	Madrid
मॅग्ना कार्टा	Magna Carta
महाराष्ट्र	Maharashtra
महात्मा मोहनदास करमचंद गांधी	Mahatma Gandhi
माइन नदी	Main
मेन	Maine
वर्ग:मेन	Maine
वर्ग:मलावी	Malawi
मलेशिया	Malaysia
वर्ग:मलेशिया	Malaysia
मालदीव	Maldives
माली	Mali
मलार्ड बदक	Mallard
सस्तन प्राणी	Mammal
मँचेस्टर	Manchester
आंबा	Mango
मणिपूर	Manipur
मॅनिटोबा	Manitoba
मानहाइम	Mannheim
मार्च	March
मार्च १७	March 17
मार्च १९	March 19
मार्च २	March 2
मार्च २५	March 25
मार्गारेट थॅचर	Margaret Thatcher
मेरी क्युरी	Marie Curie
मार्क ट्वेन	Mark Twain
मार्सेल	Marseille
मार्टीना नवरातिलोव्हा	Martina Navratilova
मार्क्सिझम-लेनिनिझम	Marxism
मेरीलँड	Maryland
वर्ग:मेरीलँड	Maryland
मॅसेच्युसेट्स	Massachusetts
गणित	Mathematics
मॉरिशियस	Mauritius
वर्ग:मॉरिशियस	Mauritius
माक्स प्लांक	Max Planck
मे	May
मे १	May 1
मे २४	May 24
