Ukrainian	English
Американський футбол	American football
Категорія:Американський футбол	American football
Америцій	Americium
Веспуччі Амеріго	Amerigo Vespucci
Аметист	Amethyst
Амхарська мова	Amharic
Аміди	Amide
Аміни	Amine
Амінокислоти	Amino acid
Аміші	Amish
Амман	Amman
Амперметр	Ammeter
Аміак	Ammonia
Амнезія	Amnesia
Амністія	Amnesty
Ампер	Ampere
Амфетамін	Amphetamine
Земноводні	Amphibian
Амфітеатр	Amphitheatre
Амфора	Amphora
Амплітуда	Amplitude
Амстердам	Amsterdam
Категорія:Амстердам	Amsterdam
Амон	Amun
Амур (річка)	Amur
Анабаптисти	Anabaptist
Анаграма	Anagram
Анахайм	Anaheim
Анальний секс	Anal sex
Аналітична геометрія	Analytic geometry
Анархізм	Anarchism
Категорія:Анархізм	Anarchism
Качкові	Anatidae
Категорія:Анатомія	Anatomy
Анатомія	Anatomy
Анаксагор	Anaxagoras
Анаксімандр	Anaximander
Анкорідж	Anchorage
Давньогрецька мова	Ancient Greek
Категорія:Стародавній світ	Ancient history
Андалусія	Andalusia
Андаманське море	Andaman Sea
Цельсій Андерс	Anders Celsius
Анди	Andes
Андхра-Прадеш	Andhra Pradesh
Андорра	Andorra
Категорія:Андорра	Andorra
Палладіо Андреа	Andrea Palladio
Сахаров Андрій Дмитрович	Andrei Sakharov
Тарковський Андрій Арсенович	Andrei Tarkovsky
Джексон Ендрю	Andrew Jackson
Ендрю Джонсон	Andrew Johnson
Ендрю Ллойд Веббер	Andrew Lloyd Webber
Андроїд	Android
Андромеда	Andromeda
Андромеда (сузір'я)	Andromeda (constellation)
Андромеда (міфологія)	Andromeda (mythology)
Галактика Андромеди	Andromeda Galaxy
Воргол Енді	Andy Warhol
Анемія	Anemia
Анемометр	Anemometer
Анестезія	Anesthesia
Ангара	Angara River
Ангел	Angel
Анхель (водоспад)	Angel Falls
Кут	Angle
Ангола	Angola
Категорія:Ангола	Angola
Ангілья	Anguilla
Момент імпульсу	Angular momentum
Кутова швидкість	Angular velocity
Боецій	Anicius Manlius Severinus Boethius
Анілін	Aniline
Тварини	Animal
Анімація	Animation
Аніме	Anime
Категорія:Аніме	Anime
Анімізм	Animism
Аніс	Anise
Анкара	Ankara
Аннапурна	Annapurna
Анна Болейн	Anne Boleyn
Кільчасті черви	Annelid
Anno Domini	Anno Domini
Благовіщення	Annunciation
Анод	Anode
Анорексія	Anorexia nervosa
Гусеподібні	Anseriformes
Мурахи	Ant
Анталья	Antalya
Антананаріву	Antananarivo
Антарктида	Antarctica
Категорія:Антарктика	Antarctica
Антарес	Antares
Антена	Antenna (radio)
Сибірка	Anthrax
Антропологія	Anthropology
Категорія:Антропологія	Anthropology
Антропософія	Anthroposophy
Антибіотик	Antibiotic
Антитіло	Antibody
Антихрист	Antichrist
Антициклон	Anticyclone
Антиген	Antigen
Антігона	Antigone
Антигуа і Барбуда	Antigua and Barbuda
Антиматерія	Antimatter
Стибій (хімічний елемент)	Antimony
Антиоксиданти	Antioxidant
Антипапа	Antipope
Антисемітизм	Antisemitism
Насос (сузір'я)	Antlia
Антофаґаста (місто)	Antofagasta
Лавуазьє Антуан Лоран	Antoine Lavoisier
Брукнер Антон	Anton Bruckner
Чехов Антон Павлович	Anton Chekhov
Вівальді Антоніо	Antonio Vivaldi
Антоніми	Antonym
Антверпен	Antwerp
Антверпен (провінція)	Antwerp (province)
Анубіс	Anubis
Анус	Anus
Аорта	Aorta
Апачі	Apache
Апатит	Apatite
Мовні регресії	Aphasia
Афоризм	Aphorism
Афродіта	Aphrodite
Апіа	Apia
Апокрифи	Apocrypha
Аполлон	Apollo
Аполлон (значення)	Apollo (disambiguation)
Апоптоз	Apoptosis
Аппалачі	Appalachian Mountains
Апендицит	Appendicitis
Яблуня	Apple
Прикладна математика	Applied mathematics
Абрикос	Apricot
Квітень	April
14 квітня	April 14
День сміху	April Fools' Day
Абсида	Apse
Апулія	Apulia
Райський Птах (сузір'я)	Apus
Акаба (порт)	Aqaba
Царська вода	Aqua regia
Аквамарин	Aquamarine
Акваріум	Aquarium
Водолій (сузір'я)	Aquarius (constellation)
Акведук	Aqueduct
Орел (сузір'я)	Aquila (constellation)
Аквітанія	Aquitaine
Жертовник (сузір'я)	Ara (constellation)
Араби	Arab
Арабська ліга	Arab League
Аравійський півострів	Arabian Peninsula
Аравійське море	Arabian Sea
Арабська абетка	Arabic alphabet
Арабська мова	Arabic language
Ароїдні	Araceae
Павукоподібні	Arachnid
Арафурське море	Arafura Sea
Арагон	Aragon
Аральське море	Aral Sea
Хачатурян Арам Ілліч	Aram Khachaturian
Арка	Arch
Археологія	Archaeology
Категорія:Археологія	Archaeology
Археоптерикс	Archaeopteryx
Архангел	Archangel
Архієпископ	Archbishop
Архейський еон	Archean
Архетипи	Archetype
Архімед	Archimedes
Архіпелаг	Archipelago
Архітектор	Architect
Архітектура	Architecture
Категорія:Архітектура	Architecture
Архіви	Archive
Архозаври	Archosaur
Арктика	Arctic
Північний Льодовитий океан	Arctic Ocean
Арденни	Ardennes
Арденни (департамент)	Ardennes (department)
Ар	Are
Площа	Area
Пальмові	Arecaceae
Арес	Ares
Аргентина	Argentina
Категорія:Аргентина	Argentina
Аргон	Argon
Арія	Aria
Аріадна	Ariadne
Аріанство	Arianism
Овен (сузір'я)	Aries (constellation)
Аристократія	Aristocracy
Арістофан	Aristophanes
Аристотель	Aristotle
Арифметика	Arithmetic
Арифметична прогресія	Arithmetic progression
Арій	Arius
Аризона	Arizona
Категорія:Аризона	Arizona
Ковчег Заповіту	Ark of the Covenant
Арканзас	Arkansas
Арль	Arles
Броненосці	Armadillo
Вірменія	Armenia
Категорія:Вірменія	Armenia
Вірменська мова	Armenian language
Броня	Armour
Армія	Army
Арнем	Arnhem
Арно	Arno River
Шенберґ Арнольд	Arnold Schoenberg
Ароматичні сполуки	Aromatic hydrocarbon
Аркебуза	Arquebus
Миш'як	Arsenic
Мистецтво	Art
Арт Деко	Art Deco
Арт Нуво	Art Nouveau
Артеміда	Artemis
Полин	Artemisia absinthium
Артерії	Artery
Артрит	Arthritis
Членистоногі	Arthropod
Артур Комптон	Arthur Compton
Конан-Дойл Артур	Arthur Conan Doyle
Рембо Жан-Артур	Arthur Rimbaud
Шопенгауер Артур	Arthur Schopenhauer
Веллінгтон Артур	Arthur Wellesley
Штучний інтелект	Artificial intelligence
Категорія:Штучний інтелект	Artificial intelligence
Артилерія	Artillery
Категорія:Артилерія	Artillery
Художник	Artist
Категорія:Мистецтво	Arts
Тосканіні Артуро	Arturo Toscanini
Аруба	Aruba
Азбест	Asbestos
Асклепій	Asclepius
Ашшурбаніпал	Ashurbanipal
Азія	Asia
Категорія:Азія	Asia
Асмара	Asmara
Аспартам	Aspartame
Асфальт	Asphalt
Ацетилсаліцилова кислота	Aspirin
Ассам	Assam
Асоціація держав Південно-Східної Азії	Association of Southeast Asian Nations
Ассирія	Assyria
Категорія:Ассирія	Assyria
Астана	Astana
Астат	Astatine
Айстрові	Asteraceae
Категорія:Айстрові	Asteraceae
Астероїд	Asteroid
Пояс астероїдів	Asteroid belt
Астеносфера	Asthenosphere
Астма	Asthma
Астигматизм	Astigmatism (eye)
Астрахань	Astrakhan
Космічна біологія	Astrobiology
Астролябія	Astrolabe
Астрологія	Astrology
Категорія:Астрологія	Astrology
Астронавт	Astronaut
Астроном	Astronomer
Астрономічна одиниця довжини	Astronomical unit
Астрономія	Astronomy
Категорія:Астрономія	Astronomy
Портал:Астрономія	Astronomy
Астрофізика	Astrophysics
Категорія:Астрофізика	Astrophysics
Асуан	Aswan
Асимптота	Asymptote
Атакама	Atacama Desert
Атон	Aten
Категорія:Атеїзм	Atheism
Афіна	Athena
Афіни	Athens
Категорія:Легка атлетика	Athletics
Легка атлетика	Athletics (track and field)
Атланта (Джорджія)	Atlanta
Атлантичний океан	Atlantic Ocean
Категорія:Атлантичний океан	Atlantic Ocean
Атлантида	Atlantis
Атлас	Atlas (disambiguation)
Атлас (супутник)	Atlas (moon)
Атлант (міфологія)	Atlas (mythology)
Атлаські гори	Atlas Mountains
Атмосфера (одиниця)	Atmosphere (unit)
Атмосферний тиск	Atmospheric pressure
Атол	Atoll
Атом	Atom
Атомний годинник	Atomic clock
Атомна маса	Atomic mass
Атомна одиниця маси	Atomic mass unit
Атомний номер	Atomic number
Категорія:Атомна фізика	Atomic physics
Атомна фізика	Atomic physics
Атрей	Atreus
Атропін	Atropine
Аттика	Attica
Аттіла	Attila the Hun
Аукціон	Auction
Серпень	August
1 серпня	August 1
15 серпня	August 15
6 серпня	August 6
Конт Оґюст	Auguste Comte
Августин Аврелій	Augustine of Hippo
Октавіан Авґуст	Augustus
Візничий (сузір'я)	Auriga (constellation)
Аврора	Aurora
Полярне сяйво	Aurora (astronomy)
Остін (Техас)	Austin
Австралоазія	Australasia
Австралійський Союз	Australia
Категорія:Австралія	Australia
Австралійський долар	Australian dollar
Австралопітек	Australopithecus
Австрія	Austria
Категорія:Австрія	Austria
Австро-Угорщина	Austria-Hungary
Автор	Author
Авторитет	Authority
Аутизм	Autism
Автомобільні гонки	Auto racing
Автобіографія	Autobiography
Банкомат	Automated teller machine
Автомобіль	Automobile
Автономна нервова система	Autonomic nervous system
Автотрофи	Autotroph
Осінь	Autumn
Овернь	Auvergne (region)
Лавина	Avalanche
Авангардизм	Avant-garde
Аватар	Avatar
Овес	Avena
Аверроес	Averroes
Авеста	Avesta
Категорія:Авіація	Aviation
Авіація	Aviation
Авіценна	Avicenna
Авіньйон	Avignon
Авокадо	Avocado
Закон Авогадро	Avogadro's law
Аксіома	Axiom
Аятола	Ayatollah
Айн Рэнд	Ayn Rand
Азербайджан	Azerbaijan
Категорія:Азербайджан	Azerbaijan
Азимут	Azimuth
Азорські острови	Azores
Ацтеки	Aztec
Азурит	Azurite
B (латиниця)	B
BASIC	BASIC
Ваал	Baal
Бабуїн	Baboon
Вавилон	Babylon
Вавилонія	Babylonia
Нарди	Backgammon
Бактерії	Bacteria
Категорія:Бактерії	Bacteria
Бактеріофаги	Bacteriophage
Бадмінтон	Badminton
Море Баффіна	Baffin Bay
Баффінова Земля	Baffin Island
Багдад	Baghdad
Бахрейн	Bahrain
Категорія:Бахрейн	Bahrain
Баклава	Baklava
Баку	Baku
Балалайка	Balalaika
Баланс бухгалтерський	Balance sheet
Бальдр	Baldr
Балеарські острови	Balearic Islands
Балі (острів)	Bali
Стара Планина	Balkan Mountains
Балканські війни	Balkan Wars
Балканський півострів	Balkans
М'яч	Ball
Балет	Ballet
Категорія:Балет	Ballet
Кулькова ручка	Ballpoint pen
Балтійське море	Baltic Sea
Балтимор	Baltimore
Бамако	Bamako
Бамбук	Bamboo
Банан	Banana
Бананова республіка	Banana republic
Бангалор	Bangalore
Бангкок	Bangkok
Бангладеш	Bangladesh
Категорія:Бангладеш	Bangladesh
Бангі	Bangui
Банжул	Banjul
Банк	Bank
Банкнота	Banknote
Категорія:Банківська справа	Banks
Хрещення	Baptism
Баптизм	Baptist
Бар (одиниця)	Bar (unit)
Барбадос	Barbados
Категорія:Барбадос	Barbados
Варвари	Barbarian
Стрейзанд Барбра	Barbra Streisand
Барселона	Barcelona
Категорія:Барселона	Barcelona
Баренцове море	Barents Sea
Барі	Bari
Барій	Barium
Ячмінь	Barley
Барометр	Barometer
Барон	Baron
Бароко	Baroque
Барранкілья	Barranquilla
Барель	Barrel (unit)
Баріони	Baryon
Базальт	Basalt
Основа (хімія)	Base (chemistry)
Бейсбол	Baseball
Базель	Basel
Базидіоміцети	Basidiomycota
Васильки справжні	Basil
Василій Великий	Basil of Caesarea
Базиліка	Basilica
Базіліката	Basilicata
Баскетбол	Basketball
Басра	Basra
Бас-гітара	Bass guitar
Нижня Нормандія	Basse-Normandie
Бастер	Basseterre
Фагот	Bassoon
Бастилія	Bastille
Кажан	Bat
Бетмен	Batman
Батон-Руж	Baton Rouge
Батальйон	Battalion
Битва за Англію	Battle of Britain
Битва за Мідвей	Battle of Midway
Верденська битва	Battle of Verdun
Битва при Ватерлоо	Battle of Waterloo
Арденнська операція	Battle of the Bulge
Баугаус	Bauhaus
Боксити	Bauxite
Баварія	Bavaria
Категорія:Баварія	Bavaria
Лавр	Bay Laurel
Бенгальська затока	Bay of Bengal
Біскайська затока	Bay of Biscay
Bayer AG	Bayer
Багнет	Bayonet
Байонна	Bayonne
Дзьоб	Beak
Родина Ведмежі	Bear
Море Бофорта	Beaufort Sea
Шкала Бофорта	Beaufort scale
Бобер	Beaver
Бі-боп	Bebop
Бекерель	Becquerel
Ліжко	Bed
Беда Преподобний	Bede
Бедуїни	Bedouin
Бджоли	Bee
Бук	Beech
Категорія:Бджільництво	Beekeeping
Пиво	Beer
Категорія:Пиво	Beer
Твердокрилі	Beetle
Біхевіоризм	Behaviorism
Пекін	Beijing
Бейрут	Beirut
Білорусь	Belarus
Категорія:Білорусь	Belarus
Белфаст	Belfast
Бельгія	Belgium
Категорія:Бельгія	Belgium
Белград	Belgrade
Беліз	Belize
Категорія:Беліз	Belize
Дзвін	Bell (instrument)
Беллерофонт	Bellerophon
Танець живота	Belly dance
Белу-Оризонті	Belo Horizonte
Білуха	Beluga
Бенілюкс	Benelux
Бенгалія	Bengal
Бенгазі	Benghazi
Бенін	Benin
Муссоліні Беніто	Benito Mussolini
Дізраелі Бенджамін	Benjamin Disraeli
Франклін Бенджамін	Benjamin Franklin
Бенні Гудмен	Benny Goodman
Беовульф	Beowulf
Берген	Bergen
Берингове море	Bering Sea
Берингова протока	Bering Strait
Берклій	Berkelium
Берлін	Berlin
Категорія:Берлін	Berlin
Бермудські острови	Bermuda
Бермудський трикутник	Bermuda Triangle
Берн	Berne
Ріман Бернгард	Bernhard Riemann
Ягода	Berry
Брехт Бертольт	Bertolt Brecht
Рассел Бертран	Bertrand Russell
Берил	Beryl
Берилій	Beryllium
Бета (літера)	Beta (letter)
Бетельгейзе	Betelgeuse
Вифлеєм	Bethlehem
Беверлі-Хіллз	Beverly Hills
Бутан	Bhutan
Категорія:Бутан	Bhutan
Біблія	Bible
Категорія:Біблія	Bible
Бібліографія	Bibliography
Велосипед	Bicycle
Великий вибух	Big Bang
Біхар	Bihar
Жовч	Bile
Клінтон Білл	Bill Clinton
Білл Гейтс	Bill Gates
Біллі Вайлдер	Billy Wilder
Подвійна зірка	Binary star
Бінокль	Binoculars
Біохімія	Biochemistry
Категорія:Біохімія	Biochemistry
Біорізноманіття	Biodiversity
Біогеографія	Biogeography
Біографія	Biography
Портал:Біографії	Biography
Біологічна зброя	Biological warfare
Біологія	Biology
Категорія:Біологія	Biology
Портал:Біологія	Biology
Біомаса	Biomass
Біом	Biome
Біометрія	Biometrics
Біофізика	Biophysics
Біопсія	Biopsy
Біосфера	Biosphere
Біотехнологія	Biotechnology
Категорія:Біотехнології	Biotechnology
Біотин	Biotin
Береза	Birch
Птахи	Bird
Бірмінгем (Алабама)	Birmingham
Контрацептиви	Birth control
Бішкек	Bishkek
Єпископ	Bishop
Бісмут	Bismuth
Бісау	Bissau
Біт	Bit
Двостулкові	Bivalvia
Чорний колір	Black
Чорна смерть	Black Death
Чорний шуліка	Black Kite
Чорне море	Black Sea
Абсолютно чорне тіло	Black body
Чорна діра	Black hole
Чорний дрізд	Blackbird
Паскаль Блез	Blaise Pascal
Blender	Blender (software)
Сліпота	Blindness
Бліцкриг	Blitzkrieg
Блоґ	Blog
Кров	Blood
Плазма крові	Blood plasma
Кров'яний тиск	Blood pressure
Групи крові	Blood type
Кровоносні судини	Blood vessel
Синій колір	Blue
Синій кит	Blue Whale
Блюз	Blues
Дикий кабан	Boar
Настільна гра	Board game
Човен	Boat
Боб Ділан	Bob Dylan
Боб Марлі	Bob Marley
Фішер Роберт	Bobby Fischer
Бобслей	Bobsleigh
Бодхісаттва	Bodhisattva
Індекс маси тіла	Body mass index
Культуризм	Bodybuilding
Богемія	Bohemia
Борій	Bohrium
Температура кипіння	Boiling point
Білий гриб	Boletus edulis
Болівія	Bolivia
Категорія:Болівія	Bolivia
Боллівуд	Bollywood
Болонья	Bologna
Більшовики	Bolshevik
Больцано	Bolzano
Бомба	Bomb
Бомбардувальник	Bomber
Облігація	Bond (finance)
Кістка	Bone
Бонн	Bonn
Книга	Book
Книга Мормона	Book of Mormon
Числа (книга)	Book of Numbers
Апокаліпсис	Book of Revelation
Булева алгебра	Boolean algebra (structure)
Бордо	Bordeaux
Годунов Борис	Boris Godunov
Пастернак Борис Леонідович	Boris Pasternak
Борнео	Borneo
Боснія і Герцеґовина	Bosnia and Herzegovina
Категорія:Боснія і Герцеґовина	Bosnia and Herzegovina
Бозон	Boson
Босфор	Bosporus
Бостон	Boston
Ботанічні сади	Botanical garden
Ботаніка	Botany
Категорія:Ботаніка	Botany
Ботсвана	Botswana
Категорія:Ботсвана	Botswana
Буржуазія	Bourgeoisie
Бургундія	Bourgogne
Буве	Bouvet Island
Бичачі	Bovid
Лук	Bow (weapon)
Категорія:Боксери	Boxers
Бокс	Boxing
Категорія:Бокс	Boxing
Закон Бойля-Маріотта	Boyle's law
Брахма	Brahma
Брахмапутра (річка)	Brahmaputra River
Шрифт Брайля	Braille
Головний мозок	Brain
Мозковий штурм	Brainstorming
Брем Стокер	Bram Stoker
Бранденбург	Brandenburg
Бренді	Brandy
Латунь	Brass
Бюстгальтер	Brassiere
Братислава	Bratislava
Брауншвейг	Braunschweig
Бразилія	Brazil
Категорія:Бразилія	Brazil
Браззавіль	Brazzaville
Хліб	Bread
Груди	Breast
Бремен	Bremen
Бремен (земля)	Bremen (state)
Брешіа	Brescia
Брест (Франція)	Brest
Берестя	Brest
Брест	Brest
Бретань	Bretagne
Цегла	Brick
Міст (споруда)	Bridge
Категорія:Мости	Bridges
Бриджтаун	Bridgetown
Бригада	Brigade
Бріндізі	Brindisi
Брісбен	Brisbane
Брістоль	Bristol
Британська Колумбія	British Columbia
Британська імперія	British Empire
Британські острови	British Isles
Британські Віргінські острови	British Virgin Islands
Категорія:Персоналії:Великобританія	British people
Брно	Brno
Бродвей	Broadway (New York City)
Бром	Bromine
Бронза	Bronze
Бронзова доба	Bronze Age
Бруклін	Brooklyn
Бруклінський міст	Brooklyn Bridge
Коричневий колір	Brown
Бурий ведмідь	Brown Bear
Броунівський рух	Brownian motion
Брюс Лі	Bruce Lee
Брюгге	Bruges
Бруней	Brunei
Категорія:Бруней	Brunei
Брюссель	Brussels
Чума	Bubonic plague
Бухарест	Bucharest
Фуллер Річард Бакмінстер	Buckminster Fuller
Гречка	Buckwheat
Будапешт	Budapest
Буддизм	Buddhism
Категорія:Буддизм	Buddhism
Буенос-Айрес	Buenos Aires
Баффало	Buffalo
Будівлі	Building
Бужумбура	Bujumbura
Болгарія	Bulgaria
Категорія:Болгарія	Bulgaria
Закон Архімеда	Buoyancy
Бюрократія	Bureaucracy
Буркіна-Фасо	Burkina Faso
Категорія:Буркіна-Фасо	Burkina Faso
М'янма	Burma
Категорія:М'янма	Burma
Бурса (місто)	Bursa
Категорія:Бурунді	Burundi
Автобус	Bus
