Hebrew	English
קטגוריה:ארקנסו	Arkansas
ארל	Arles
ארמדיליים	Armadillo
ארמניה	Armenia
קטגוריה:ארמניה	Armenia
ארמנית	Armenian language
ארמיניוס	Arminius
שריון	Armour
צבא	Army
ארנהם	Arnhem
ארנו	Arno River
ארנולד שנברג	Arnold Schoenberg
ארומטיות	Aromatic hydrocarbon
אראס	Arras
חץ	Arrow
ארסן	Arsenic
אמנות	Art
אר דקו	Art Deco
אר נובו	Art Nouveau
תולדות האמנות	Art history
ארטמיס	Artemis
לענה	Artemisia (plant)
עורק	Artery
דלקת פרקים	Arthritis
פרוקי רגליים	Arthropod
ארתור קומפטון	Arthur Compton
ארתור קונאן דויל	Arthur Conan Doyle
ארתור מילר	Arthur Miller
ארתור רמבו	Arthur Rimbaud
ארתור שופנהאואר	Arthur Schopenhauer
ארתור ולסלי, הדוכס הראשון מוולינגטון	Arthur Wellesley
בינה מלאכותית	Artificial intelligence
ארטילריה	Artillery
קטגוריה:ארטילריה	Artillery
אמן (אמנות)	Artist
קטגוריה:אמנות	Arts
ארטורו טוסקניני	Arturo Toscanini
ארובה (טריטוריה)	Aruba
קטגוריה:ארובה	Aruba
אזבסט	Asbestos
אסקלפיוס	Asclepius
א-מיניות	Asexuality
אסגארד	Asgard
יום רביעי של האפר	Ash Wednesday
אשורבניפל	Ashurbanipal
אסיה	Asia
קטגוריה:אסיה	Asia
אסמרה	Asmara
אספרטם	Aspartame
אספלט	Asphalt
אספירין	Aspirin
אסאם	Assam
התנקשות	Assassination
שפת סף	Assembly language
איגוד מדינות דרום-מזרח אסיה	Association of Southeast Asian Nations
אשור	Assyria
קטגוריה:אשור	Assyria
אסטנה	Astana
אסטטין	Astatine
מורכבים	Asteraceae
קטגוריה:מורכבים	Asteraceae
אסטרואיד	Asteroid
חגורת האסטרואידים	Asteroid belt
אסתמה	Asthma
אסטיגמציה	Astigmatism (eye)
אסטרחן	Astrakhan
אסטרוביולוגיה	Astrobiology
אצטרולב	Astrolabe
אסטרולוגיה	Astrology
קטגוריה:אסטרולוגיה	Astrology
טייס חלל	Astronaut
אסטרונום	Astronomer
יחידה אסטרונומית	Astronomical unit
אסטרונומיה	Astronomy
קטגוריה:אסטרונומיה	Astronomy
פורטל:מדעי החלל	Astronomy
אסטרופיזיקה	Astrophysics
קטגוריה:אסטרופיזיקה	Astrophysics
אסואן	Aswan
אסימפטוטה	Asymptote
ATM	Asynchronous Transfer Mode
מדבר אטקמה	Atacama Desert
אתנה	Athena
אתונה	Athens
קטגוריה:אתלטיקה	Athletics
אתלטיקה	Athletics (track and field)
אטלנטה	Atlanta
האוקיינוס האטלנטי	Atlantic Ocean
קטגוריה:האוקיינוס האטלנטי	Atlantic Ocean
אטלנטיס	Atlantis
אטלס	Atlas (disambiguation)
אטלס (מיתולוגיה)	Atlas (mythology)
הרי האטלס	Atlas Mountains
אטמוספירה (מידה)	Atmosphere (unit)
לחץ אטמוספירי	Atmospheric pressure
אטול	Atoll
אטום	Atom
שעון אטומי	Atomic clock
משקל אטומי	Atomic mass
דלטון	Atomic mass unit
מספר אטומי	Atomic number
קטגוריה:פיזיקה אטומית	Atomic physics
פיזיקה אטומית	Atomic physics
אטראוס	Atreus
אטרופין	Atropine
אטיקה	Attica
אטילה ההוני	Attila the Hun
אוקלנד (ניו זילנד)	Auckland
מכירה פומבית	Auction
אוגוסט	August
1 באוגוסט	August 1
15 באוגוסט	August 15
6 באוגוסט	August 6
יוהן אוגוסט סטרינדברג	August Strindberg
אוגוסטה (מיין)	Augusta
אוגוסט קונט	Auguste Comte
אוגוסט רודן	Auguste Rodin
אוגוסטינוס	Augustine of Hippo
אוגוסטוס קיסר	Augustus
עגלון (קבוצת כוכבים)	Auriga (constellation)
אורורה	Aurora
זוהר הקוטב	Aurora (astronomy)
אוסטין	Austin
אוסטרליה	Australia
קטגוריה:אוסטרליה	Australia
דולר אוסטרלי	Australian dollar
אוסטרלופיתקוס	Australopithecus
אוסטריה	Austria
קטגוריה:אוסטריה	Austria
האימפריה האוסטרו-הונגרית	Austria-Hungary
סופר	Author
סמכות	Authority
אוטיזם	Autism
אוטוביוגרפיה	Autobiography
כספומט	Automated teller machine
מכונית	Automobile
מערכת העצבים האוטונומית	Autonomic nervous system
אוטוטרוף	Autotroph
סתיו	Autumn
אוברן	Auvergne (region)
מפולת שלגים	Avalanche
אוונגרד	Avant-garde
אוואטר	Avatar
שיבולת שועל	Avena
אבן רושד	Averroes
קטגוריה:תעופה	Aviation
תעופה	Aviation
אבן סינא	Avicenna
אביניון	Avignon
אבוקדו	Avocado
גרזן	Axe
אקסיומה	Axiom
אקסון (סיב עצבי)	Axon
אייתוללה	Ayatollah
איין ראנד	Ayn Rand
אזרבייג'ן	Azerbaijan
קטגוריה:אזרבייג'ן	Azerbaijan
אזימוט	Azimuth
האיים האזוריים	Azores
אצטקים	Aztec
אזוריט	Azurite
B	B
BASIC	BASIC
בעל (אל)	Baal
בבון	Baboon
בבל	Babylon
שש בש	Backgammon
חיידקים	Bacteria
קטגוריה:חיידקים אמיתיים	Bacteria
בקטריופאג'	Bacteriophage
גמל דו דבשתי	Bactrian Camel
בדמינטון	Badminton
מפרץ באפין	Baffin Bay
בגדאד	Baghdad
בחריין	Bahrain
קטגוריה:בחריין	Bahrain
באחה קליפורניה	Baja California
בקלווה	Baklava
באקו	Baku
בללייקה (כלי נגינה)	Balalaika
מאזן	Balance sheet
בלדר	Baldr
האיים הבלאריים	Balearic Islands
לווייתני מזיפות	Baleen whale
באלי	Bali
הרי הבלקן	Balkan Mountains
חבל הבלקן	Balkans
כדור משחק	Ball
בלט	Ballet
קטגוריה:בלט	Ballet
טיל בליסטי	Ballistic missile
הים הבלטי	Baltic Sea
בולטימור	Baltimore
במקו	Bamako
חזרן	Bamboo
בננה	Banana
רפובליקת בננות	Banana republic
בנגלור	Bangalore
בנגקוק	Bangkok
בנגלדש	Bangladesh
קטגוריה:בנגלדש	Bangladesh
בנגי	Bangui
בנג'ול	Banjul
בנק	Bank
שטר כסף	Banknote
קטגוריה:בנקים	Banks
טבילה לנצרות	Baptism
בפטיזם	Baptist
בר (מידה)	Bar (unit)
ברבדוס	Barbados
קטגוריה:ברבדוס	Barbados
ברברים (מונח)	Barbarian
ברברה סטרייסנד	Barbra Streisand
ברצלונה	Barcelona
קטגוריה:ברצלונה	Barcelona
ים ברנץ	Barents Sea
בארי (עיר)	Bari
בריום	Barium
שעורה	Barley
תנשמת לבנה	Barn Owl
סנונית הרפתות	Barn Swallow
ברומטר	Barometer
ברון	Baron
בארוק	Baroque
ברנקייה	Barranquilla
חבית (יחידת מידה)	Barrel (unit)
באריון	Baryon
בזלת	Basalt
בסיס (כימיה)	Base (chemistry)
כדור בסיס	Baseball
קטגוריה:בייסבול	Baseball
באזל	Basel
Bourne-again shell	Bash
פטריות בסיסה	Basidiomycota
ריחן (צמח)	Basil
בזיליוס הגדול	Basil of Caesarea
בזיליקה	Basilica
בזיליקטה	Basilicata
בסיליסק	Basilisk
כדורסל	Basketball
קטגוריה:כדורסל	Basketball
בצרה	Basra
גיטרה בס	Bass guitar
נורמנדי תחתית	Basse-Normandie
באסטר	Basseterre
בסון	Bassoon
בסטיליה	Bastille
עטלפים	Bat
באת'	Bath
באטמן	Batman
באטון רוז'	Baton Rouge
קטגוריה:עטלפים	Bats
גדוד	Battalion
סוללה חשמלית	Battery (electricity)
קרב אוסטרליץ	Battle of Austerlitz
הקרב על בריטניה	Battle of Britain
קרב הייסטינגס	Battle of Hastings
קרב לפנטו	Battle of Lepanto (1571)
קרב מרתון	Battle of Marathon
קרב מידוויי	Battle of Midway
קרב תרמופילאי	Battle of Thermopylae
קרב טרפלגר	Battle of Trafalgar
קרב ורדן	Battle of Verdun
קרב ווטרלו	Battle of Waterloo
קרב הארדנים	Battle of the Bulge
הקרב על הסום	Battle of the Somme
אוניית מערכה	Battleship
באוהאוס	Bauhaus
בוקסיט	Bauxite
בוואריה	Bavaria
קטגוריה:בוואריה	Bavaria
ער אציל	Bay Laurel
מפרץ בנגל	Bay of Bengal
מפרץ ביסקאיה	Bay of Biscay
כידון רובה	Bayonet
ביון (עיר)	Bayonne
חוף	Beach
ביגל	Beagle
מקור	Beak
דוביים	Bear
סולם בופור	Beaufort scale
בונה (בעל חיים)	Beaver
בי בופ	Bebop
בקרל	Becquerel
מיטה	Bed
בדה ונרביליס	Bede
בדואים	Bedouin
דבורה (חרק)	Bee
אשור (עץ)	Beech
בירה	Beer
קטגוריה:בירה	Beer
חיפושיות	Beetle
ביהביוריזם	Behaviorism
בייג'ינג	Beijing
ביירות	Beirut
בלארוס	Belarus
קטגוריה:בלארוס	Belarus
בלפאסט	Belfast
בלגיה	Belgium
קטגוריה:בלגיה	Belgium
בלגרד	Belgrade
בליזריוס	Belisarius
בליז	Belize
קטגוריה:בליז	Belize
פעמון	Bell (instrument)
בלרופון	Bellerophon
מחול מזרחי	Belly dance
בלו הוריזונטה	Belo Horizonte
לבנתן לבן	Beluga
בנלוקס	Benelux
בנגל	Bengal
בנגאזי	Benghazi
בנין	Benin
קטגוריה:בנין	Benin
בניטו מוסוליני	Benito Mussolini
בנג'מין בריטן	Benjamin Britten
בנימין ד'יזראלי	Benjamin Disraeli
בנג'מין פרנקלין	Benjamin Franklin
בנג'מין הריסון	Benjamin Harrison
בני גודמן	Benny Goodman
ביאוולף	Beowulf
ברגן	Bergen
ים ברינג	Bering Sea
מצר ברינג	Bering Strait
ברקליום	Berkelium
ברקשייר	Berkshire
ברלין	Berlin
קטגוריה:ברלין	Berlin
ברמודה	Bermuda
קטגוריה:ברמודה	Bermuda
משולש ברמודה	Bermuda Triangle
ברנרדו ברטולוצ'י	Bernardo Bertolucci
ברן	Berne
ברנרד רימן	Bernhard Riemann
פירות יער	Berry
ברטולט ברכט	Bertolt Brecht
ברטראנד ראסל	Bertrand Russell
בריל	Beryl
בריליום	Beryllium
בטא	Beta (letter)
קרינת בטא	Beta decay
ביטלג'וז	Betelgeuse
בית לחם	Bethlehem
בטי דייוויס	Bette Davis
בוורלי הילס	Beverly Hills
ביי	Bey
בהוטן	Bhutan
קטגוריה:בהוטן	Bhutan
ביבליה	Bible
ביבליוגרפיה	Bibliography
אופניים	Bicycle
המפץ הגדול	Big Bang
ביהר	Bihar
ביקיני	Bikini
ביל קלינטון	Bill Clinton
ביל גייטס	Bill Gates
בילי ויילדר	Billy Wilder
כוכב כפול	Binary star
משקפת	Binoculars
ביוכימיה	Biochemistry
קטגוריה:ביוכימיה	Biochemistry
מגוון ביולוגי	Biodiversity
ביוגרפיה	Biography
פורטל:אישים	Biography
לוחמה ביולוגית	Biological warfare
ביולוגיה	Biology
קטגוריה:ביולוגיה	Biology
פורטל:ביולוגיה	Biology
ביומסה	Biomass
ביומה	Biome
ביומטריה	Biometrics
ביופיזיקה	Biophysics
ביופסיה	Biopsy
אקולוגיה#.D7.94.D7.91.D7.99.D7.95.D7.A1.D7.A4.D7.A8.D7.94	Biosphere
ביוטכנולוגיה	Biotechnology
קטגוריה:ביוטכנולוגיה	Biotechnology
ביוטין	Biotin
הפרעה דו-קוטבית	Bipolar disorder
שדר	Birch
עופות	Bird
ברמינגהאם (אלבמה)	Birmingham
פיקוח ילודה	Birth control
ביסקסואליות	Bisexuality
