English	Hebrew
50 (number)	50 (מספר)
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (מספר)
60	60
60 (number)	60 (מספר)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (מספר)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (מספר)
80	80
80 (number)	80 (מספר)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (מספר)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A (Cyrillic)	А
A cappella	א-קפלה
AIDS	איידס
ALGOL	ALGOL
AZ (football club)	א.ז. אלקמאר
Aachen	אאכן
Aalborg	אלבורג
Aar	ארה (נהר)
Aardvark	שנבוב
Aarhus	אורהוס
Aaron	אהרן
Abacus	חשבונייה
Abadan	אבאדאן
Abdomen	בטן
Abel Tasman	אבל ינזון טסמן
Abelian group	חבורה אבלית
Aberdeen	אברדין (סקוטלנד)
Abidjan	אבידג'אן
Abkhazia	אבחזיה
Abkhazia	קטגוריה:אבחזיה
Abolitionism	התנועה לביטול העבדות
Abortion	הפלה מלאכותית
Abraham	אברהם
Abraham Lincoln	אברהם לינקולן
Absinthe	אבסינת
Absolute magnitude	בהירות מוחלטת
Absolute value	ערך מוחלט
Absolute zero	האפס המוחלט
Absolutism (European history)	אבסולוטיזם פוליטי
Abstract art	אמנות מופשטת
Abstract expressionism	אקספרסיוניזם מופשט
Abstraction	הפשטה
Abu Dhabi	אבו דאבי
Abu Dhabi (emirate)	אבו דאבי
Abuja	אבוג'ה
Acacia	שיטה
Academy Award	פרס אוסקר
Acceleration	תאוצה
Accipitridae	נציים
Accordion	אקורדיון
Accountancy	חשבונאות
Accountancy	קטגוריה:חשבונאות
Accra	אקרה
Acetic acid	חומצה אצטית
Acetone	אצטון
Acetylcholine	אצטילכולין
Achilles	אכילס
Acid	חומצה
Acid rain	גשם חומצי
Acne vulgaris	אקנה
Aconcagua	אקונקגואה
Acoustics	אקוסטיקה
Acoustics	קטגוריה:אקוסטיקה
Acre	אקר
Acre	עכו
Acre (state)	אקרי (ברזיל)
Acropolis	אקרופוליס
Actinide	אקטיניד
Actinium	אקטיניום
Actor	שחקן
Acts of the Apostles	מעשי השליחים
Acupuncture	דיקור סיני
Ad hominem	אד הומינם
Ada (programming language)	עדה (שפת תכנות)
Adam Smith	אדם סמית
Adana	אדנה
Addiction	התמכרות
Addis Ababa	אדיס אבבה
Adelaide	אדלייד
Aden	עדן
Adenine	אדנין
Adenosine triphosphate	ATP
Adige	אדיג'ה
Adjective	שם תואר
Admiral	אדמירל
Adolescence	התבגרות
Adolf Eichmann	אדולף אייכמן
Adolf Hitler	אדולף היטלר
Adonis	אדוניס
Adoption	אימוץ
Adrenal gland	בלוטת יותרת הכליה
Adriatic Sea	הים האדריאטי
Adult	בגרות
Advent	הציפייה
Advertising	פרסום
Aegean Sea	הים האגאי
Aeneas	איניאס
Aeneid	איניאידה
Aeolus	איולוס
Aerodynamics	אווירודינמיקה
Aerosol	תרסיס
Aeschylus	אייסכילוס
Aesop	איזופוס
Aesthetics	אסתטיקה
Affix	מוספית
Afghanistan	אפגניסטן
Afghanistan	קטגוריה:אפגניסטן
Africa	אפריקה
Africa	קטגוריה:אפריקה
African American	אמריקאים אפריקאים
Afrikaans	אפריקאנס
Agamemnon	אגממנון
Agar	אגר
Agate	אגט
Agatha Christie	אגאתה כריסטי
Agnatha	חסרי לסתות
Agnosticism	אגנוסטיות
Agora	אגורה (מקום כינוס)
Agoraphobia	אגורפוביה
Agra	אגרה (הודו)
Agriculture	חקלאות
Agriculture	קטגוריה:חקלאות
Agrigento	אגריג'נטו
Aikido	אייקידו
Air force	חיל אוויר
Airbus	איירבוס
Aircraft	כלי טיס
Aircraft	קטגוריה:כלי טיס
Aircraft carrier	נושאת מטוסים
Airline	חברת תעופה
Airport	שדה תעופה
Ajax	Ajax
Ajax (mythology)	איאס
Ajax (programming)	AJAX (תכנות)
Akhenaten	אחנתון
Akira Kurosawa	אקירה קורוסאווה
Al Capone	אל קפונה
Al Gore	אל גור
Al-Qaeda	אל-קאעידה
Alabama	אלבמה
Alabama	קטגוריה:אלבמה
Alan Shepard	אלן שפרד
Alan Turing	אלן טיורינג
Alanine	אלנין
Alaska	אלסקה
Alaska	קטגוריה:אלסקה
Alban Berg	אלבן ברג
Albania	אלבניה
Albania	קטגוריה:אלבניה
Albany	אולבני
Albatross	אלבטרוסיים
Albedo	אלבדו
Albert Abraham Michelson	אלברט אברהם מייקלסון
Albert Camus	אלבר קאמי
Albert Einstein	אלברט איינשטיין
Albert Schweitzer	אלברט שווייצר
Albert Speer	אלברט שפר
Alberta	אלברטה
Alberta	קטגוריה:אלברטה
Albinism	לבקנות
Albite	אלביט (מינרל)
Album	אלבום מוזיקה
Albuquerque	אלבקרקי
Alchemy	אלכימיה
Alchemy	קטגוריה:אלכימיה
Alcohol	כוהל
Alcoholic beverage	משקה חריף
Alcoholism	אלכוהוליזם
Aldehyde	אלדהיד
Aldous Huxley	אלדוס האקסלי
Alec Guinness	אלק גינס
Aleksandr Solzhenitsyn	אלכסנדר סולז'ניצין
Aleppo	חאלב
Alexander	אלכסנדר (פירושונים)
Alexander Fleming	אלכסנדר פלמינג
Alexander Graham Bell	אלכסנדר גרהם בל
Alexander Hamilton	אלכסנדר המילטון
Alexander Pope	אלכסנדר פופ
Alexander Pushkin	אלכסנדר פושקין
Alexander the Great	אלכסנדר הגדול
Alexandre Dumas	אלכסנדר דיומא האב
Alexandre Dumas	אלכסנדר דיומא הבן
Alexandria	אלכסנדריה
Alexis de Tocqueville	אלכסיס דה טוקוויל
Alfred Dreyfus	אלפרד דרייפוס
Alfred Hitchcock	אלפרד היצ'קוק
Alfred Nobel	אלפרד נובל
Alfred North Whitehead	אלפרד נורת' וייטהד
Alfred Russel Wallace	אלפרד ראסל וולאס
Alfred the Great	אלפרד הגדול
Algae	אצות
Algebra	אלגברה
Algebra	קטגוריה:אלגברה
Algebraic number	מספר אלגברי
Algeria	אלג'יריה
Algeria	קטגוריה:אלג'יריה
Algiers	אלג'יר
Algorithm	אלגוריתם
Alhambra	אלהמברה
Ali	עלי בן אבי טאלב
Alkali metal	מתכת אלקלית
Alkaloid	אלקלואיד
Alkane	אלקאן
Alkene	אלקן
Alkyne	אלקין
Allah	אללה
Allegory	אלגוריה
Allele	אלל
Allen Ginsberg	אלן גינסברג
Allergy	אלרגיה
Alliteration	אליטרציה
Allophone	אלופון
Allosaurus	אלוזאור
Allotropy	אלוטרופיה
Alloy	סגסוגת
Almanac	אלמנך (ספרות)
Almaty	אלמטי
Almond	שקד מצוי
Alpha (letter)	אלפא
Alpha Centauri	אלפא קנטאורי
Alphabet	אלפבית
Alps	הרי האלפים
Alps	קטגוריה:הרי האלפים
Alsace	אלזס
Altair	אלטאיר
Altar	מזבח
Alternating current	זרם חילופין
Alternative medicine	קטגוריה:רפואה אלטרנטיבית
Alternative medicine	רפואה אלטרנטיבית
Altruism	זולתנות
Aluminium	אלומיניום
Aluminium oxide	אלומינה
Alvar Aalto	אלבר אלטו
Alzheimer's disease	אלצהיימר
Amanita phalloides	אמנית המוות
Amaryllidaceae	נרקיסיים
Amazon River	אמזונאס (נהר)
Ambassador	שגריר
Amber	ענבר
Ambrose	אמברוזיוס
Amedeo Avogadro	אמדאו אבוגדרו
Amelia Earhart	אמיליה ארהארט
American Bison	ביזון אמריקאי
American Black Bear	דוב שחור אמריקני
American Civil War	מלחמת האזרחים האמריקנית
American Revolutionary War	מלחמת העצמאות של ארצות הברית
American Samoa	סמואה האמריקנית
American Standard Code for Information Interchange	ASCII
American football	פוטבול
American football	קטגוריה:פוטבול
Americium	אמריציום
Amerigo Vespucci	אמריגו וספוצ'י
Amethyst	אחלמה
Amharic	אמהרית
Amide	אמיד
Amine	אמין
Amino acid	חומצת אמינו
Amish	אמיש
Amman	עמאן
Ammeter	מד זרם
Ammonia	אמוניה
Amnesia	אמנזיה
Ampere	אמפר
Amphetamine	אמפטמין
Amphibian	דו-חיים
Amphitheatre	אמפיתיאטרון
Amphora	אמפורה
Amplitude	משרעת
Amsterdam	אמסטרדם
Amsterdam	קטגוריה:אמסטרדם
Amur	אמור (נהר)
Anabaptist	אנבפטיזם
Anagram	אנגרמה
Anaheim	אנהיים
Analytic geometry	גאומטריה אנליטית
Anarchism	אנרכיזם
Anarchism	קטגוריה:אנרכיזם
Anarchy	אנרכיה
Anatidae	ברווזיים
Anatole France	אנטול פרנס
Anatomy	קטגוריה:אנטומיה
Anatomy	אנטומיה
Anaxagoras	אנכסגורס
Anaximander	אנכסימנדרוס
Anchor	עוגן
Anchorage	אנקורג'
Ancient history	קטגוריה:העת העתיקה
Andalusia	אנדלוסיה
Andaman Sea	ים אנדמן
Anders Celsius	אנדרס צלזיוס
Andes	הרי האנדים
Andhra Pradesh	אנדרה פראדש
Andorra	אנדורה
Andorra	קטגוריה:אנדורה
Andrea Palladio	אנדראה פלדיו
Andrei Sakharov	אנדריי סחרוב
Andrei Tarkovsky	אנדריי טרקובסקי
Andrew Jackson	אנדרו ג'קסון
Andrew Johnson	אנדרו ג'ונסון
Andrew Lloyd Webber	אנדרו לויד ובר
Android	אנדרואיד
Andromeda	אנדרומדה (פירושונים)
Andromeda (constellation)	אנדרומדה (קבוצת כוכבים)
Andromeda (mythology)	אנדרומדה
Andromeda Galaxy	גלקסיית אנדרומדה
Andy Warhol	אנדי וורהול
Anemia	אנמיה
Anemometer	מד מהירות רוח
Anesthesia	הרדמה
Angara River	אנגרה (נהר)
Angel	מלאך
Angel Falls	מפל אנחל
Angle	זווית
Angola	אנגולה
Angola	קטגוריה:אנגולה
Anguilla	אנגווילה
Angular momentum	תנע זוויתי
Angular velocity	מהירות זוויתית
Anicius Manlius Severinus Boethius	בואתיוס
Animal	בעלי חיים
Animal husbandry	גידול בעלי חיים
Animation	הנפשה
Anime	אנימה (הנפשה)
Anime	קטגוריה:אנימה
Animism	אנימיזם
Anise	אניס
Ankara	אנקרה
Annapolis	אנאפוליס
Annapurna	אנאפורנה
Anne Boleyn	אן בוליין
Anno Domini	ספירת הנוצרים
Annunciation	הבשורה למרים
Anorexia nervosa	אנורקסיה נרבוזה
Anseriformes	אווזאים
Anseriformes	קטגוריה:אווזאים
Ant	נמליים
Antakya	אנטיוכיה
Antalya	אנטליה
Antananarivo	אנטננריבו
Antarctica	אנטארקטיקה
Antarctica	קטגוריה:אנטארקטיקה
Antares	אנטארס
Antenna (radio)	אנטנה
Anthony Hopkins	אנתוני הופקינס
Anthrax	גחלת
Anthropology	אנתרופולוגיה
Anthropology	קטגוריה:אנתרופולוגיה
Anthroposophy	אנתרופוסופיה
Antibiotic	אנטיביוטיקה
Antibody	נוגדן
Antichrist	אנטיכריסט
Anticyclone	אנטי ציקלון
Antigen	אנטיגן
Antigone	אנטיגונה
Antigua and Barbuda	אנטיגואה וברבודה
Antigua and Barbuda	קטגוריה:אנטיגואה וברבודה
Antimatter	אנטי-חומר
Antimony	אנטימון
Antioxidant	נוגד חמצון
Antipope	אנטי-אפיפיור
Antisemitism	אנטישמיות
Antisemitism	קטגוריה:אנטישמיות
Antoine Lavoisier	אנטואן לבואזיה
Anton Bruckner	אנטון ברוקנר
Anton Chekhov	אנטון צ'כוב
Antonio Stradivari	אנטוניו סטרדיווארי
Antonio Vivaldi	אנטוניו ויוואלדי
Antwerp	אנטוורפן
Anubis	אנוביס
Anus	פי הטבעת
Aorta	אב העורקים
Apache	אפאצ'י (שבט)
Apatite	אפטיט
Ape	הומינואידים
Aphasia	אפאזיה
Aphrodite	אפרודיטה
Apia	אפיה (עיר)
Apiaceae	סוככיים
Apodiformes	סיסאים
Apollo	אפולו
Apollo program	תוכנית אפולו
Apollo program	קטגוריה:תוכנית אפולו
Apoptosis	אפופטוזה
Appalachian Mountains	הרי האפלצ'ים
Appendicitis	דלקת התוספתן
Apple	תפוח
Applied mathematics	מתמטיקה שימושית
Apricot	משמש
April	אפריל
April 14	14 באפריל
April Fools' Day	אחד באפריל
Apse	אפסיס
Apulia	פוליה
Aqaba	עקבה
Aqua regia	מי מלך
Aquamarine	אקוומרין
Aquarium	אקווריום
Aquarius (constellation)	דלי (קבוצת כוכבים)
Aqueduct	אמת מים
Aquila (constellation)	נשר (קבוצת כוכבים)
Aquitaine	אקיטן
Ara (constellation)	מזבח (קבוצת כוכבים)
Arab	ערבים
Arab League	הליגה הערבית
Arabian Peninsula	חצי האי ערב
Arabian Sea	הים הערבי
Arabic alphabet	אלפבית ערבי
Arabic language	ערבית
Arachnid	עכבישניים
Arafura Sea	ים אראפורה
Aragon	אראגון
Aral Sea	ימת אראל
Aram Khachaturian	אראם חאצ'טוריאן
Arcadia	ארקאדיה
Arcangelo Corelli	ארכאנג'לו קורלי
Arch	קשת (מבנה)
Archaeology	ארכאולוגיה
Archaeology	קטגוריה:ארכיאולוגיה
Archaeopteryx	ארכיאופטריקס
Archbishop	ארכיבישוף
Archean	ארכאיקון
Archetype	ארכיטיפ
Archimedes	ארכימדס
Archipelago	ארכיפלג
Architect	אדריכל
Architecture	אדריכלות
Architecture	קטגוריה:אדריכלות
Archive	ארכיון
Archosaur	ארכוזאוריה
Arctic	האזור הארקטי
Arctic Circle	החוג הארקטי
Arctic Ocean	אוקיינוס הקרח הצפוני
Arctic fox	שועל שלג
Ardennes	ארדנים
Area	שטח
Arecaceae	דקליים
Ares	ארס (מיתולוגיה)
Argentina	ארגנטינה
Argentina	קטגוריה:ארגנטינה
Argon	ארגון (יסוד)
Argos	ארגוס
Aria	אריה (מוזיקה)
Ariadne	אריאדנה
Arianism	האריאניות
Aries (constellation)	טלה (קבוצת כוכבים)
Aristarchus of Samos	אריסטרכוס מסמוס
Aristocracy	אריסטוקרטיה
Aristophanes	אריסטופאנס
Aristotle	אריסטו
Arithmetic	אריתמטיקה
Arithmetic	קטגוריה:אריתמטיקה
Arithmetic progression	סדרה חשבונית
Arizona	אריזונה
Arizona	קטגוריה:אריזונה
Ark of the Covenant	ארון הברית
Arkansas	ארקנסו
Arkansas	קטגוריה:ארקנסו
Arles	ארל
Armadillo	ארמדיליים
Armenia	ארמניה
Armenia	קטגוריה:ארמניה
Armenian language	ארמנית
Arminius	ארמיניוס
Armour	שריון
Army	צבא
Arnhem	ארנהם
Arno River	ארנו
Arnold Schoenberg	ארנולד שנברג
Aromatic hydrocarbon	ארומטיות
Arras	אראס
Arrow	חץ
Arsenic	ארסן
Art	אמנות
Art Deco	אר דקו
Art Nouveau	אר נובו
Art history	תולדות האמנות
Artemis	ארטמיס
Artemisia (plant)	לענה
Artery	עורק
Arthritis	דלקת פרקים
Arthropod	פרוקי רגליים
Arthur Compton	ארתור קומפטון
Arthur Conan Doyle	ארתור קונאן דויל
Arthur Miller	ארתור מילר
Arthur Rimbaud	ארתור רמבו
Arthur Schopenhauer	ארתור שופנהאואר
Arthur Wellesley	ארתור ולסלי, הדוכס הראשון מוולינגטון
Artificial intelligence	בינה מלאכותית
Artillery	ארטילריה
Artillery	קטגוריה:ארטילריה
Artist	אמן (אמנות)
Arts	קטגוריה:אמנות
Arturo Toscanini	ארטורו טוסקניני
Aruba	ארובה (טריטוריה)
Aruba	קטגוריה:ארובה
Asbestos	אזבסט
Asclepius	אסקלפיוס
Asexuality	א-מיניות
Asgard	אסגארד
Ash Wednesday	יום רביעי של האפר
Ashurbanipal	אשורבניפל
Asia	אסיה
Asia	קטגוריה:אסיה
Asmara	אסמרה
Aspartame	אספרטם
Asphalt	אספלט
Aspirin	אספירין
Assam	אסאם
Assassination	התנקשות
Assembly language	שפת סף
Association of Southeast Asian Nations	איגוד מדינות דרום-מזרח אסיה
Assyria	אשור
Assyria	קטגוריה:אשור
Astana	אסטנה
Astatine	אסטטין
Asteraceae	מורכבים
Asteraceae	קטגוריה:מורכבים
Asteroid	אסטרואיד
Asteroid belt	חגורת האסטרואידים
Asthma	אסתמה
Astigmatism (eye)	אסטיגמציה
Astrakhan	אסטרחן
Astrobiology	אסטרוביולוגיה
Astrolabe	אצטרולב
Astrology	אסטרולוגיה
Astrology	קטגוריה:אסטרולוגיה
Astronaut	טייס חלל
Astronomer	אסטרונום
Astronomical unit	יחידה אסטרונומית
Astronomy	אסטרונומיה
Astronomy	קטגוריה:אסטרונומיה
Astronomy	פורטל:מדעי החלל
Astrophysics	אסטרופיזיקה
Astrophysics	קטגוריה:אסטרופיזיקה
Aswan	אסואן
Asymptote	אסימפטוטה
Asynchronous Transfer Mode	ATM
Atacama Desert	מדבר אטקמה
Athena	אתנה
Athens	אתונה
Athletics	קטגוריה:אתלטיקה
Athletics (track and field)	אתלטיקה
Atlanta	אטלנטה
Atlantic Ocean	האוקיינוס האטלנטי
Atlantic Ocean	קטגוריה:האוקיינוס האטלנטי
Atlantis	אטלנטיס
Atlas (disambiguation)	אטלס
Atlas (mythology)	אטלס (מיתולוגיה)
Atlas Mountains	הרי האטלס
Atmosphere (unit)	אטמוספירה (מידה)
Atmospheric pressure	לחץ אטמוספירי
Atoll	אטול
Atom	אטום
Atomic clock	שעון אטומי
Atomic mass	משקל אטומי
Atomic mass unit	דלטון
Atomic number	מספר אטומי
Atomic physics	קטגוריה:פיזיקה אטומית
Atomic physics	פיזיקה אטומית
Atreus	אטראוס
Atropine	אטרופין
Attica	אטיקה
Attila the Hun	אטילה ההוני
Auckland	אוקלנד (ניו זילנד)
Auction	מכירה פומבית
August	אוגוסט
August 1	1 באוגוסט
August 15	15 באוגוסט
August 6	6 באוגוסט
August Strindberg	יוהן אוגוסט סטרינדברג
Augusta	אוגוסטה (מיין)
Auguste Comte	אוגוסט קונט
Auguste Rodin	אוגוסט רודן
Augustine of Hippo	אוגוסטינוס
Augustus	אוגוסטוס קיסר
Auriga (constellation)	עגלון (קבוצת כוכבים)
Aurora	אורורה
Aurora (astronomy)	זוהר הקוטב
Austin	אוסטין
Australia	אוסטרליה
Australia	קטגוריה:אוסטרליה
Australian dollar	דולר אוסטרלי
Australopithecus	אוסטרלופיתקוס
Austria	אוסטריה
Austria	קטגוריה:אוסטריה
Austria-Hungary	האימפריה האוסטרו-הונגרית
Author	סופר
Authority	סמכות
Autism	אוטיזם
Autobiography	אוטוביוגרפיה
Automated teller machine	כספומט
Automobile	מכונית
Autonomic nervous system	מערכת העצבים האוטונומית
Autotroph	אוטוטרוף
Autumn	סתיו
Auvergne (region)	אוברן
Avalanche	מפולת שלגים
Avant-garde	אוונגרד
Avatar	אוואטר
Avena	שיבולת שועל
Averroes	אבן רושד
Aviation	קטגוריה:תעופה
Aviation	תעופה
Avicenna	אבן סינא
Avignon	אביניון
Avocado	אבוקדו
Axe	גרזן
Axiom	אקסיומה
Axon	אקסון (סיב עצבי)
Ayatollah	אייתוללה
Ayn Rand	איין ראנד
Azerbaijan	אזרבייג'ן
Azerbaijan	קטגוריה:אזרבייג'ן
Azimuth	אזימוט
Azores	האיים האזוריים
Aztec	אצטקים
Azurite	אזוריט
B	B
BASIC	BASIC
Baal	בעל (אל)
Baboon	בבון
Babylon	בבל
Backgammon	שש בש
Bacteria	חיידקים
Bacteria	קטגוריה:חיידקים אמיתיים
Bacteriophage	בקטריופאג'
Bactrian Camel	גמל דו דבשתי
Badminton	בדמינטון
Baffin Bay	מפרץ באפין
Baghdad	בגדאד
Bahrain	בחריין
Bahrain	קטגוריה:בחריין
Baja California	באחה קליפורניה
Baklava	בקלווה
Baku	באקו
Balalaika	בללייקה (כלי נגינה)
Balance sheet	מאזן
Baldr	בלדר
Balearic Islands	האיים הבלאריים
Baleen whale	לווייתני מזיפות
Bali	באלי
Balkan Mountains	הרי הבלקן
Balkans	חבל הבלקן
Ball	כדור משחק
Ballet	בלט
Ballet	קטגוריה:בלט
Ballistic missile	טיל בליסטי
Baltic Sea	הים הבלטי
Baltimore	בולטימור
Bamako	במקו
Bamboo	חזרן
Banana	בננה
Banana republic	רפובליקת בננות
Bangalore	בנגלור
Bangkok	בנגקוק
Bangladesh	בנגלדש
Bangladesh	קטגוריה:בנגלדש
Bangui	בנגי
Banjul	בנג'ול
Bank	בנק
Banknote	שטר כסף
Banks	קטגוריה:בנקים
Baptism	טבילה לנצרות
Baptist	בפטיזם
Bar (unit)	בר (מידה)
Barbados	ברבדוס
Barbados	קטגוריה:ברבדוס
Barbarian	ברברים (מונח)
Barbra Streisand	ברברה סטרייסנד
Barcelona	ברצלונה
Barcelona	קטגוריה:ברצלונה
Barents Sea	ים ברנץ
Bari	בארי (עיר)
Barium	בריום
Barley	שעורה
Barn Owl	תנשמת לבנה
Barn Swallow	סנונית הרפתות
Barometer	ברומטר
Baron	ברון
Baroque	בארוק
Barranquilla	ברנקייה
Barrel (unit)	חבית (יחידת מידה)
Baryon	באריון
Basalt	בזלת
Base (chemistry)	בסיס (כימיה)
Baseball	כדור בסיס
Baseball	קטגוריה:בייסבול
Basel	באזל
Bash	Bourne-again shell
Basidiomycota	פטריות בסיסה
Basil	ריחן (צמח)
Basil of Caesarea	בזיליוס הגדול
Basilica	בזיליקה
Basilicata	בזיליקטה
Basilisk	בסיליסק
Basketball	כדורסל
Basketball	קטגוריה:כדורסל
Basra	בצרה
Bass guitar	גיטרה בס
Basse-Normandie	נורמנדי תחתית
Basseterre	באסטר
Bassoon	בסון
Bastille	בסטיליה
Bat	עטלפים
Bath	באת'
Batman	באטמן
Baton Rouge	באטון רוז'
Bats	קטגוריה:עטלפים
Battalion	גדוד
Battery (electricity)	סוללה חשמלית
Battle of Austerlitz	קרב אוסטרליץ
Battle of Britain	הקרב על בריטניה
Battle of Hastings	קרב הייסטינגס
Battle of Lepanto (1571)	קרב לפנטו
Battle of Marathon	קרב מרתון
Battle of Midway	קרב מידוויי
Battle of Thermopylae	קרב תרמופילאי
Battle of Trafalgar	קרב טרפלגר
Battle of Verdun	קרב ורדן
Battle of Waterloo	קרב ווטרלו
Battle of the Bulge	קרב הארדנים
Battle of the Somme	הקרב על הסום
Battleship	אוניית מערכה
Bauhaus	באוהאוס
Bauxite	בוקסיט
Bavaria	בוואריה
Bavaria	קטגוריה:בוואריה
Bay Laurel	ער אציל
Bay of Bengal	מפרץ בנגל
Bay of Biscay	מפרץ ביסקאיה
Bayonet	כידון רובה
Bayonne	ביון (עיר)
Beach	חוף
Beagle	ביגל
Beak	מקור
Bear	דוביים
Beaufort scale	סולם בופור
Beaver	בונה (בעל חיים)
Bebop	בי בופ
Becquerel	בקרל
Bed	מיטה
Bede	בדה ונרביליס
Bedouin	בדואים
Bee	דבורה (חרק)
Beech	אשור (עץ)
Beer	בירה
Beer	קטגוריה:בירה
Beetle	חיפושיות
Behaviorism	ביהביוריזם
Beijing	בייג'ינג
Beirut	ביירות
Belarus	בלארוס
Belarus	קטגוריה:בלארוס
Belfast	בלפאסט
Belgium	בלגיה
Belgium	קטגוריה:בלגיה
Belgrade	בלגרד
Belisarius	בליזריוס
Belize	בליז
Belize	קטגוריה:בליז
Bell (instrument)	פעמון
Bellerophon	בלרופון
Belly dance	מחול מזרחי
Belo Horizonte	בלו הוריזונטה
Beluga	לבנתן לבן
Benelux	בנלוקס
Bengal	בנגל
Benghazi	בנגאזי
Benin	בנין
Benin	קטגוריה:בנין
Benito Mussolini	בניטו מוסוליני
Benjamin Britten	בנג'מין בריטן
Benjamin Disraeli	בנימין ד'יזראלי
Benjamin Franklin	בנג'מין פרנקלין
Benjamin Harrison	בנג'מין הריסון
Benny Goodman	בני גודמן
Beowulf	ביאוולף
Bergen	ברגן
Bering Sea	ים ברינג
Bering Strait	מצר ברינג
Berkelium	ברקליום
Berkshire	ברקשייר
Berlin	ברלין
Berlin	קטגוריה:ברלין
Bermuda	ברמודה
Bermuda	קטגוריה:ברמודה
Bermuda Triangle	משולש ברמודה
Bernardo Bertolucci	ברנרדו ברטולוצ'י
Berne	ברן
Bernhard Riemann	ברנרד רימן
Berry	פירות יער
Bertolt Brecht	ברטולט ברכט
Bertrand Russell	ברטראנד ראסל
Beryl	בריל
Beryllium	בריליום
Beta (letter)	בטא
Beta decay	קרינת בטא
Betelgeuse	ביטלג'וז
Bethlehem	בית לחם
Bette Davis	בטי דייוויס
Beverly Hills	בוורלי הילס
Bey	ביי
Bhutan	בהוטן
Bhutan	קטגוריה:בהוטן
Bible	ביבליה
Bibliography	ביבליוגרפיה
Bicycle	אופניים
Big Bang	המפץ הגדול
Bihar	ביהר
Bikini	ביקיני
Bill Clinton	ביל קלינטון
Bill Gates	ביל גייטס
Billy Wilder	בילי ויילדר
Binary star	כוכב כפול
Binoculars	משקפת
Biochemistry	ביוכימיה
Biochemistry	קטגוריה:ביוכימיה
Biodiversity	מגוון ביולוגי
Biography	ביוגרפיה
Biography	פורטל:אישים
Biological warfare	לוחמה ביולוגית
Biology	ביולוגיה
Biology	קטגוריה:ביולוגיה
Biology	פורטל:ביולוגיה
Biomass	ביומסה
Biome	ביומה
Biometrics	ביומטריה
Biophysics	ביופיזיקה
Biopsy	ביופסיה
Biosphere	אקולוגיה#.D7.94.D7.91.D7.99.D7.95.D7.A1.D7.A4.D7.A8.D7.94
Biotechnology	ביוטכנולוגיה
Biotechnology	קטגוריה:ביוטכנולוגיה
Biotin	ביוטין
Bipolar disorder	הפרעה דו-קוטבית
Birch	שדר
Bird	עופות
Birmingham	ברמינגהאם (אלבמה)
Birth control	פיקוח ילודה
Bisexuality	ביסקסואליות
