English	Slovenian
CD-ROM search service	storitev iskanja na zgoščenkah
CFC ; chlorofluorocarbon	CFC ; klorofluoroogljikovodik
CFC and halons prohibition	prepoved uporabe CFC in halonov
Cambodia ; Kingdom of Cambodia	Kambodža
Cameroon ; Republic of Cameroon	Kamerun
Canada	Kanada
Cape Verde ; Republic of Cape Verde	Kapverdski otoki
Caribbean Area ; Caribbean	karibsko območje
Caribbean Sea	Karibsko morje
Caspian Sea	Kaspijsko morje
Catalan ; Catalan	katalonščina
Cayman Islands	Kajmanski otoki
Central Africa	Osrednja Afrika
Central America	Srednja Amerika
Central Asia	Osrednja Azija
Chad ; Republic of Chad	Čad
Chihuahua ; chihuahua	čivava
Chile ; Republic of Chile	Čile
Christmas	Božič
Christmas tree	božično drevo
Colombia ; Republic of Colombia	Kolumbija
Community act	akt Skupnosti
Community budget	proračun EU
Community finance	denarna sredstva Evropske unije
Community law	zakonodaja Skupnosti
Community legal system	pravni sistem Skupnosti
Community ruling	odločitev Skupnosti
Comoros ; Union of the Comoros	Komori
Copenhagen	Kobenhaven
Court of Justice of the European Communities	Sodišče Evropskih skupnosti, Evropsko sodišče
Croatia ; Republic of Croatia	Hrvaška
Croatian ; Croation	hrvaščina
Cuba ; Republic of Cuba	Kuba
Cyprus ; Republic of Cyprus	Ciper
Czech ; Czech	češčina
Czech Republic ; Czechia	Češka
DDT ; dichloro-diphenyl-trichloroethane	DDT ; dikloro-difenil-trikloretan
DNA ; deoxyribonucleic acid	DNK
December	december
Democratic Republic of the Congo ; Congo-Kinshasa	:Demokratična republika Kongo ; Demokratična republika Kongo
Denmark ; Kingdom of Denmark	Danska
Down syndrome ; Down’s syndrome	Downov sindrom
Dutch	nizozemščina
EC Council of Ministers	Svet ministrov Evropske unije
EC Treaty	Pogodba o Evropski skupnosti
EC directive	smernica/direktiva EU
EC directive on biocides	smernica/direktiva EU o biocidih
EC directive on waste disposal	smernica/direktiva EU o odlaganju odpadkov
EC directive on water protection	smernica/direktiva EU o varstvu vode
EC ecolabel	ekološka oznaka EU
EC policy	politika EU
EC regulation	predpis EU
EC regulation on eco-management and audit	predpis EU o okoljskem upravljanju in pregledih v podjetjih
EC regulation on existing chemicals	predpis EU o obstoječih kemikalijah
EIA (local)	presoja vplivov na okolje
EIA ; environmental impact assessment	presoja vplivov na okolje ; PVO
EIA directive	smernica o PVO (presojah vplivov na okolje)
EIA law	zakon o PVO (presojah vplivov na okolje)
EU ; European Union	Evropska unija
EU Council	Svet Evropske unije
Earth-Sun relationship	razmerje med Zemljo in Soncem
East Africa	Vzhodna Afrika
East Timor ; Democratic Republic of Timor-Leste	Vzhodni Timor
East-West relations	odnosi med Vzhodom in Zahodom
East-West trade	trgovina med Vzhodom in Zahodom
Eastern Asia ; East Asia	Vzhodna Azija
Eastern Europe	Vzhodna Evropa
Egypt ; Arab Republic of Egypt	Egipt
El Salvador ; Republic of El Salvador	Salvadoria
England	Anglija
English garden	angleški vrt
Equatorial Guinea ; Republic of Equatorial Guinea	Ekvatorialna Gvineja
Erevan ; Yerevan	Erevan ; Erivan ; Erebuni
Eritrea	Eritreja
Estonia ; Republic of Estonia	Estonija
Ethiopia ; Federal Democratic Republic of Ethiopia	Etiopija
Euratom	Evropska skupnost za jedrsko energijo
Europe	Evropa
European Commission	Evropska komisija
European Communities	Evropske skupnosti
European Court of Justice	Evropsko sodišče pravice
European Environment Agency	EEA ; Evropska agencija za okolje
European Environmental Council	Evropski svet za okolje
European Monetary Fund	Evropski denarni sklad
European Monetary System ; EMS	Evropski denarni sistem
European Parliament	Evropski parlament
European nature reserve	evropski naravni rezervat
European standard	evropski standard/normativ
Faroe Islands	Ferski otoki
Fiji ; Republic of the Fiji Islands	Fidži
Finland ; Republic of Finland	Finska
Finnish	finščina
Flanders ; Flemish region	Flandrija
France	Francija
French ; French	francoščina
French Guiana	Francoska Gvajana
French Southern Territories ; French Southern and Antarctic LandsA ; French Southern and Antarctic Lands ; Territory of the French Southern and Antarctic Lands	Francoske južne in antarktične dežele
French formal garden	francoski vrt
Frenchman	Francoz
GDP ; gross domestic product	bruto domači proizvod
GDR ; German Democratic Republic	NDR ; Nemška demokratična republika
GIS digital format	digitalni GIS format
GIS digital system	digitalni GIS sistem
GIS digital technique	digitalna tehnika GIS
GIS laboratory	laboratorij za GIS
Gabon ; Gabonese Republic	Gabon
Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia	Gambija
Georgia	Gruzija
Georgia	Georgia
German	nemščina
German (Austria)	nemščina (Avstrija)
German (Switzerland)	nemščina (Švica)
Germany ; Federal Republic of Germany	Nemčija
Ghana ; Republic of Ghana	Gana
Gibraltar	Gibraltar
Global Environment Facility ; GEF	Svetovni sklad za okolje
Great Britain ; Britain	Velika Britanija
Greece ; Hellenic Republic	Grčija
Greenland	Grenlandija
Grenada	Grenada
Guadeloupe	Guadeloupe
Guam ; Guam ; Guam	Guam
Hanover	Hannover
Happy New Year	Srečno novo leto
Hebrew	Hebrejščina
Hindi ; Hindi	hindijščina
Holland ; Kingdom of the Netherlands ; The Netherlands	Nizozemska
Honduras ; Republic of Honduras	Honduras
Hungary ; Republic of Hungary	Madžarska
IMCO code	kodeks Medvladne svetovalne organizacije za pomorstvo
IMF ; International Monetary Fund	Mednarodni denarni sklad
ISO standard	ISO standard
Iceland ; Republic of Iceland	Islandija
Iliad	Iliada
India ; Republic of India	Indija
Indian Ocean	Indijski ocean
Indonesia ; Republic of Indonesia	Indonezija
Indre	Indre
International Court of Justice	mednarodno sodišče
Internet	medmrežje, internet ; internet
Iran ; Islamic Republic of Iran	Iran
Iraq ; Republic of Iraq	Irak
Ireland ; Republic of Ireland	Irska
Irish ; Irish ; Irish Gaelic ; Irish	irščina
Islam	islam
Isle of Man ; Isle of Mann ; Mann	Man ; Otok Man
Israel ; State of Israel	Izrael
Italian ; Italian	italijanščina
Italian Republic ; Italy	Italija
Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire	Slonokoščena obala
Jamaica	Jamajka
Japan ; State of Japan	Japonska
Jersey ; Bailiwick of Jersey	Jersey
Jordan ; Hashemite Kingdom of Jordan	Jordanija
Judaism	judaízem ; judovstvo ; žídovstvo
June	júnij
Jupiter	Jupiter
Kazakhstan ; Republic of Kazakhstan	Kazahstan
Kenya ; Republic of Kenya	Kenija
Kiribati ; Republic of Kiribati	Kiribati
Krakow ; Cracow	Krakov
Kyoto	Kjoto
Kyrgyzstan ; Kyrgyz Republic	Kirgizistan
Latin ; Latin	latinščina
Latvia ; Republic of Latvia	Latvija
Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg	Sankt Peterburg
Lesotho ; Kingdom of Lesotho	Lesoto
Liberia ; Republic of Liberia	Liberija
Libya ; Great Socialist People's Libyan Arab Jamahiriya	Libija
Liechtenstein ; Principality of Liechtenstein	Lihtenštajn ; Kneževina Líhtenštajn
Lithuania ; Republic of Lithuania	Litva
Lithuanian ; Lithuanian	litovščina
Lower House	spodnji dom, poslanska zbornica
Macedonia ; Republic of Macedonia	Makedonija
Macedonian ; Macedonian	makedonščina
Malawi ; Republic of Malaŵi	Malavi
Malayalam ; Malayalam	malajalščina
Malaysia	Malezija
Maldives ; Republic of the Maldives	Maldivi
Mali ; Republic of Mali	Mali
Malta ; Republic of Malta	Malta
March	márec
Marshall Islands ; Republic of the Marshall Islands	Marshallovi otoki
Martinique	Martinik
Mauritania ; Islamic Republic of Mauritania	Mavretanija
May	máj
Mecca	Meka
Mediterranean Area	Sredozemlje
Mediterranean Sea	Sredozemsko morje
Mediterranean climate	sredozemsko podnebje
Mediterranean forest	sredozemski gozd
Mediterranean wood	sredozemski gozd, makija
Mercury	Merkur
Mexico ; United Mexican States	Mehika
Milan	Milano
Milky Way ; Galaxy	Naša Galaksija ; Mlečna pot ; Mlečna cesta ; Rimska cesta
Moldova	Moldavija
Monaco	Monako
Montenegro	Črna gora
Montserrat	Montserrat
Morocco ; Kingdom of Morocco	Maroko
Moscow	Moskva
Mozambique	Mozambik
Munich	Monakovo ; München
Myanmar	Mjanmar
NIMBY aptitude ; NIMBY attitude	odnos "ne na mojem dvorišču"
NOEL	Kratica za "raven brez opaznih vplivov"
Nairobi	Nairobi
Namibia	Namibija
Naples	Neapelj
Nepali ; Nepali	nepalščina
Neptune	Neptun
New Caledonia	Nova Kaledonija
New York	New York
New Zealand	Nova Zelandija
Nicaragua	Nikaragva
Nigeria	Nigerija
Niue	Niue
North Africa	Severna Afrika
North America	Severna Amerika
North Atlantic Ocean	Severni Atlantski ocean
North-South relationship	odnos med Severom in Jugom
Northern Ireland	Severna Irska
Norway ; Kingdom of Norway	Norveška
Novial	novial
Oceania	Oceanija
Oslo	Oslo
Pakistan ; Islamic Republic of Pakistan	Pakistan
Papua New Guinea	Papua Nova Gvineja
Parliament	parlament, skupščina
People's Republic of China ; China	Kitajska
Philippines	Filipini
Phobos	Fobos
Poland	Poljska
Polish ; Polish	poljščina
Portugal	Portugalska
Puerto Rico	Portoriko ; Порторико
Pyrrhic victory	pirova zmaga
Qatar	Katar
Republic of the Congo ; Congo-Brazzaville	Republika Kongo
Romania	Romunija
Romanian ; Romanaian	romunščina
Russia ; Russian Federation	Rusija ; Ruska federacija
Russian ; Russian	ruščina
San Marino	San Marino
Saudi Arabia ; Kingdom of Saudi Arabia	Savdska Arabija
Scotland	Škotska
Seine	Sena
Senegal	Senegal
September	septêmber
Serbia	Srbija
Serbia and Montenegro	Srbija in Črna gora
Serbian ; Serbian	srbščina
Seychelles ; Republic of Seychelles	Sejšeli
Slovakia	Slovaška
Slovene ; Slovenian ; Slovenian	slovenščina
Slovenia	Slovenija
Solomon Islands	Salomonovi otoki
South Africa	Južna Afrika ; Južnoafriška republika
South America	Južna Amerika
Southeast Asia	Jugovzhodna Azija
Southern Asia ; South Asia	Južna Azija
Spain	Španija
Sri Lanka	Šrilanka
Sudan	Sudan
Sun King	Sončni kralj
Suriname	Surinam
Sweden	Švedska
Swedish	švedščina
Switzerland	Švica
Syria ; Syrian Arab Republic	Sirija
Tanzania	Tanzanija
Tehran	Teherán
Tennessee	Tennessee
Thailand	Tajska
The Hague	Haag
Togo	Togo
Tokyo	Tokio
Tunisia	Tunizija
Turkey	Turčija
Turkish ; Turkish	Turščina
UN ; United Nations	Združeni narodi
Uganda ; Republic of Uganda	Uganda
Ukraine	Ukrajina
United Arab Emirates	Združeni arabski emirati
United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK	Združeno kraljestvo Velike Britanije in Severne Irske
United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States	Združene države Amerike ; Združene države ; ZDA
Uranus	Uran
Utah	Utah
Vaduz	Vaduz
Vatican City ; The Holy See ; State of the Vatican City	Vatikan
Venezuela	Venezuela
Venice	Benetke
Venus	Venera
Vienna	Dunaj
Volapük	volapik
Wales	Wales
Western Asia ; Southwest Asia	Zahodna Azija
Western Europe	Zahodna Evropa
Wiktionary	Wikislovar
World Wide Web ; WWW	svetovni splet
Wyoming	Wyoming
Yemen ; Republic of Yemen	Jemen
Yugoslavia	Jugoslavija
Zambia ; Republic of Zambia	Zambija
Zanzibar	Zanzibar
Zimbabwe ; Republic of Zimbabwe	Zimbabve
aAmplitude ; amplitude	amplituda
aback	osupel
abandoned industrial site	opuščena industrijska lokacija
abandoned vehicle ; car wreck	zapuščeno vozilo
abiotic environment	neživo okolje
abiotic factor	abiotski dejavnik
abortive	neuspešen
absorption	absorpcija
acceleration	pospešek
acceptable daily intake	dopustna dnevna doza
acceptable risk level	sprejemljiva raven tveganja
acceptance ; credence	sprejemanje
access road	dovoz, dovozna cesta/pot
access to administrative documents	dostop do upravnih dokumentov
access to culture	dostop do sredstev javnega obveščanja
access to information	dostop do informacij, dostop do podatkov ; dostop do informacij ; dostop do podatkov
access to the courts	dostop do sodišč, dostop do sodnega varstva
accident	nesreča ; nezgoda, nesreča ; nezgoda
accident source ; cause of the accident	vzrok nesreče
accidental release of organisms	naključno sproščanje GS organizmov
accordion ; squeeze box ; piano accordion	harmonika
accounting	računovodstvo
accounting system	računovodski sistem
accumulator	akumulator ; baterija
acid	kislina
acid deposition	kisle padavine
acid rain	kisel dež
acidification	zakisovanje
acidity	kislost
acidity degree	stopnja kislosti
acoustic comfort	zvočno ugodje
acoustic filter ; audio filter	zvočni filter
acoustic insulation	zvočna izolacija
acoustic level ; sound pressure level	raven zvoka
acoustic property	zvočne lastnosti
acoustical quality	akustična kakovost
acoustics	akustika
acquisition	pridobitev
act ; deed	dejanje ; ravnanje
actinide	aktinidi
actinium	aktinij
action group ; action committee	delovna skupina
activated carbon	aktivno oglje
activated sludge	aktivno blato
active participation	aktivna udeležba
active population	aktivno prebivalstvo
adaptation period	obdobje prilagajanja
addition	seštevanje
additional packaging	dodatna embalaža
additive	aditiv, dodatek živilom
adequate food supply	ustrezna oskrba s hrano
adhesive	adheziv, lepilo ; lepilo ; adheziv
adjective ; describing word	pridevnik
adjust	prilagoditi
administration ; direction ; management	uprava ; upravljanje, vodenje, uprava, administracija ; upravljanje ; vodenje ; administracija
administrative body ; administrative organ	upravni organ
administrative boundary	administrativna meja
administrative competence ; administrative ability	upravna pristojnost ; upravna usposobljenost, upravna pristojnost ; upravna usposobljenost
administrative deed	dokument ; upravni akt/dokument/listina ; upravni akt ; listina
administrative fiat	upravna odredba
administrative instructions	upravni napotki
administrative law	upravno pravo
administrative occupation	upravna dejavnost
administrative organisation	upravna organizacija/organiziranost
administrative procedure	upravni postopek
administrative sanction	kazenski ukrep
adoption	posvojitev
adsorption	adsorpcija
adult	odrasla oseba
adult education	izobraževanje odraslih
advertisement ; promotion	oglas ; reklama
advice	nasvet, obvestilo/sporočilo ; obvestilo ; nasvet ; sporočilo
aeration	zračenje
aerial	antena
aerial photograph	letalski posnetek
aerial photography	letalska fotografija
aerobic process	aerobni proces
aerobic treatment	aerobno čiščenje
aerobiology	aerobiologija
aerodynamic noise	aerodinamični hrup
aerosol	aerosol
aesthetics	estetika
afforestation ; tree planting ; afforestment	pogozdovanje
afterburning ; afterburning ; afterburner	naknadno zgorevanje
age	starost
aggressive	nasilen
aggressor ; assailant ; attacker ; assaulter	napadalec
agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia	agorafobija
agreement	pogodba
agreement	dogovor, sporazum, pogodba
agreement	dogovor, sporazum ; sporazum ; dogovor
agri-foodstuff	živilskopredelovalna industrija
agricultural biotechnology	biotehnologija v kmetijstvu
agricultural building	kmečko poslopje
agricultural disaster	katastrofa v kmetijstvu
agricultural ecology ; agroecology	ekologija kmetijstva
agricultural economics	agrarna ekonomika
agricultural effluent	odpadek iz kmetijstva
agricultural engineering	kmetijsko inženirstvo
agricultural equipment	kmetijska oprema, kmetijska mehanizacija
agricultural equipment ; agricultural machinery ; farm machinery	kmetijska mehanizacija, kmetijski stroji ; kmetijska mehanizacija ; kmetijski stroji ; kmetijska oprema
agricultural exploitation	kmetijska raba (površin)
agricultural hydraulics	hidromelioracije
agricultural land	kmetijska površina
agricultural landscape	kmetijska pokrajina
agricultural legislation	kmetijska zakonodaja
agricultural management	kmetijsko gospodarjenje
agricultural method	metoda kmetijske pridelave
agricultural pest	kmetijski škodljivci
agricultural planning	kmetijsko načrtovanje
agricultural policy	kmetijska politika
agricultural pollution	onesnaženje iz kmetijstva
agricultural product	kmetijski pridelek/proizvod
agricultural production ; farm production ; agricultural output	kmetijska pridelava
agricultural real estate	kmetijske nepremičnine
agricultural storage	skladiščenje kmetijskih pridelkov
agricultural structure	kmetijska oprema in poslopja
agricultural undervaluation	podcenjevanje kmetijstva
agricultural waste	kmetijski odpadki, odpadki iz kmetijstva ; kmetijski odpadki ; odpadki iz kmetijstva
agriculture	kmetijstvo
agriculture ; agriculture	kmetijstvo ; kmetijstvo
agriculture and cattle industry	veliki kmetijski obrati
agriculture framework plan	okvirni kmetijski načrt
agritourism	turizem na kmetiji
agrochemical	agrokemično sredstvo
agroforestry	gozdno kmetijstvo
agroindustry	agroživilska industrija
agrometeorology	agrometeorologija
agronomic value	agronomska vrednost
agronomy	agronomija
agrosystem	agrosistem
aid policy	politika nudenja pomoči
air	zrak
air conditioning ; AC ; air-conditioning	klimatizacija
air movement	gibanje zraka
air pollutant	onesnaževalo zraka
air pollution	onesnaženje zraka
air quality	kakovost zraka
air quality control	spremljanje kakovosti zraka
air quality management	ukrepi za varstvo zraka
air quality monitoring	monitoring kakovosti zraka
air sac ; alveolus	alveol, pljučni mešiček ; alveol ; pljučni mešiček
air safety	ukrepi za varnost v zraku
air temperature	temperatura zraka
air traffic	zračni promet
air traffic law	zakon o zračnem prometu
air transportation	zračni prevoz/transport ; zračni prevoz ; zračni transport
air-water interaction	interakcija zrak-voda
airborne noise	hrup gibanja zraka
aircraft	zračno plovilo
aircraft noise	letalski hrup
airmail	letalska pošta
airport	letališče
airspace planning	načrtovanje zračnega prometa
alarm ; alert ; warning	preplah, alarm ; preplah ; alarm
albinism	albinizem
alchemist	alkimist
alchemy	alkimija
alcohol	alkohol
alcoholism	alkoholizem
alga	alga
algal bloom	cvetenje alg
algicide ; algaecide	algicid ; uničevalec alg
alibi	alibi
alicyclic compound	aliciklična spojina
alicyclic hydrocarbon	aliciklični ogljikovodik
alignment	trasa
aliphatic compound	alifatska spojina
aliphatic hydrocarbon	alifatski ogljikovodik
alkali soil	alkalna tla
alkaline ; element of group I ; alkaline metal ; alkali metal	alkalijske kovine ; element 1. skupine
alkaline battery	alkalna baterija
alkane ; paraffin ; methane series ; alkane series	alkan
alkyl compound	alkilna spojina
all-terrain vehicle	terensko vozilo
allergen	alergen ; dražilo
allergy	alergija
allocation ; allotment ; resource allotment	dodelitev, razporeditev, razporejanje ; dodelitev ; razporeditev ; razporejanje
allocation plan	načrt uravnoteženosti potreb in naravnih virov, bilanca
allotropy	alotropia
allowance	dodatek/nadomestilo za stroške
alloy	zlitina
alluvial plain	aluvialna ravnica
alluvion ; flood ; overflowing ; inundation	poplava
almanac	almanah
almost	skoraj
alpha radiation	sevanje alfa
alphabet	abecéda
alternative material	alternativni/nadomestni material
alternative technology	alternativna/nadomestna tehnologija
altitude	nadmorska višina
alumina	aluminijev oksid, boksit
aluminium	aluminij
aluminium container	aluminijast zabojnik
aluminium content	vsebnost aluminija
aluminium industry	industrija aluminija
amalgam	amalgam
amber	jantar
americium	americij
amethyst	ametist
amine	amin
amino acid	aminokislina
ammonia	amoniak
ammonification	amonifikacija
ammonium	amonij
amphibian	dvoživke (Amphibia) ; dvoživke
amphitheatre	amfiteater
amusement park	zabaviščni park
anaerobic process	anaerobni proces
anaerobic treatment	anaerobno čiščenje
anagram	anagram
analogy	analogija
analysis	analiza
analysis programme	program analize
analytical chemistry	analitična kemija
analytical equipment	analitična oprema
analytical method	analitična metoda
anarchism	anarhizem
anatomy	anatomija
angiosperm ; flowering plant	cvetnica ; kritosemenke (Angiospermae) ; kritosemenke
angling ; fishing ; line-fishing	ribarjenje (na trnek) ; ribarjenje na trnek ; ribarjenje
animal	žival
animal behaviour	vedenje živali
animal biology	biologija živali
animal conservatory	živalski rezervat
animal corridor	živalski koridor
animal damage	škoda, ki jo povzročijo živali
animal disease	bolezen živali
animal displacement	gibanje živali
animal ecology	ekologija živali
animal excrement	živalski iztrebek
animal experiment	poskus na živali
animal foodstuff	živalska hrana, krmilo
animal for slaughter	klavna živina
animal habitat	živalski habitat
animal heritage	živalska dediščina
animal husbandry	vzreja živali
animal manure	hlevski gnoj
animal migration	selitev/migracija živali
animal noise	hrup živali
animal nutrition	prehrana/prehranjevanje živali
animal physiology	fiziologija živali
animal population	živalska populacija
animal product	proizvod živalskega izvora
animal production	živinorejska proizvodnja
animal protection	varstvo živali
animal reproduction	razmnoževanje živali
animal resource	živalski vir
animal rights	pravice živali
animal shelter	zavetišče za živali
animal species	živalska vrsta
animal species reintroduction	ponovna naselitev živalskih vrst
animal trade	trgovina z živalmi
animal waste	živalski odpadki
anime	anime
anion	anion
anise	janež
ankle ; talocrural joint	gleženj
annelid	kolobarniki (Annelida) ; kolobarniki
anniversary	obletnica
ant	mravlja
antagonism	antagonizem (nasprotno delovanje) ; antagonizem
antelope	antilopa
anthropic activity	človekova dejavnost
anthropologic reserve	antropološki rezervat ; antropološko zavarovano območje
antibiotic	antibiotik
antibody	protitelo
anticipation of danger	varstvo pred nesrečami
antifouling agent	sredstvo proti obraščanju
antimony	antimon
antipollution incentive	finančni inštrumenti za zmanjševanje onesnaževanja
antiquated plant	zastarel obrat
antiseismic regulation	protipotresni predpis
antonym	antonim
anytime	vedno ; zmeraj
apartheid	apartheid
apartment block	stanovanjski blok
apiculture ; beekeeping	čebelarstvo
apoptosis	apoptoza
appeal	pritožba, priziv ; pritožba ; priziv
appeal procedure	pritožbeni/prizivni postopek
applied ecology	aplikativna/uporabna ekologija
applied nutrition	aplikativna/uporabna prehrana
applied research	aplikativna raziskava
applied science	aplikativna/uporabna znanost
appraisal	ocenitev, ocena, cenitev
approach	dostop ; pristop ; vstop
appropriate technology	ustrezna tehnologija
approval ; approbation	odobritev ; odobritev, potrditev ; potrditev
approval of installations	gradbeno dovoljenje
apricot	marelica
aquaculture	akvakultura
aquamarine	akvamarinas
aquarium	akvarij
aquatic animal	vodna žival
aquatic ecology	vodna ekologija
aquatic ecosystem	vodni ekosistem
aquatic environment	vodno okolje
aquatic mammal	vodni sesalec
aquatic organism	vodni organizem
aquatic plant	vodna rastlina
aqueduct	akvedukt
aquifer	vodonosnik
arable farming	poljedelstvo
arboretum	arboretum
arboriculture	arborikultura, gojenje dreves ; arborikultura ; gojenje dreves
archaeological	arheološki
archaeological site	arheološko najdišče
archaeology ; archeology ; archæology	arheologija
archipelago	otočje, arhipelag ; otočje ; arhipelag
architecture	arhitektura
area of potential pollution	potencialno onesnaženo območje
area under stress	preobremenjeno območje
argon	argon
arid land	sušno območje
aristocracy	aristokracija
armament	oborožitev ; vojna oprema
armament conversion	sprememba oborožitve/vojaške opreme
armed forces	oborožene sile
armoury	orožarna
armpit	pazduha
aromatic compound	aromatična spojina
aromatic hydrocarbon	aromatični ogljikovodik
aromatic substance	aromatična snov
arrange ; adapt ; adjust ; conform ; accommodate ; suit	prilagajati ; adaptirati
arrangement for a deposit on packaging	plačilo za rabljeno embalažo
arrowhead	konica puščice
arsenic	arzen
arson	požig
art	umetnost
artery	arterija
artful	prekanjen
arthropod	členonožci (Arthropoda) ; členonožci
artificial lake	umetno jezero
artificial reproductive technique	postopek umetne reprodukcije
artificial satellite	umetni satelit
asbestos	azbest
asbestos cement	azbestna malta
asbestosis	azbestoza
ascendancy	vpliv
ascent	vzpon
ascertain	ugotoviti
ascetic	askéta
ash	pepel
ashamed	sram
ashen	prsten
ashore	na obalo
ashtray	pepelnik
asleep	speč
asphalt	asfalt
aspiration	stremljenje
assassin ; assassinator	vrah ; morilec
assay	določitev kemične sestave snovi
assemble ; get together ; gather	zbrati
assent	privolitev
assent	odobriti
assert	trditi
assert	terjati
assertive	samozavesten
assignment	naloga
assimilate	vsrkati
assimilation	asimilacija
assist	asistirati
association	zveza, združenje
assorted	raznovrsten
astatine	astat
asterisk	zvezdica
asteroid	asteroid
asthenosphere	astenosfera
astonish	presenetiti
astonishing	presenetljiv
astonishment	začudenje
astound	osupniti
astride	okobal
astride	v razkoraku
astrology ; star divination	astrologija
astrometry	astrometrija
astronautics	astronavtika
astronomy	astronomija
asymmetric ; asymmetrical	asimetrično
asymptote	asimptota
atheist	ateist
atlas	atlas
atmosphere	ozračje, atmosfera ; ozračje ; atmosfera
atmospheric aerosol	atmosferski aerosol
atmospheric chemistry	atmosferska kemija
atmospheric circulation	kroženje zraka
atmospheric component	sestavina zraka
atmospheric composition	kemična sestava zraka
atmospheric correction	atmosferski popravek
atmospheric emission	emisije v zrak
atmospheric fallout	usedanje prašnih delcev
atmospheric layering	plasti ozračja
atmospheric monitoring	monitoring ozračja, spremljanje stanja v ozračju
atmospheric ozone	atmosferski ozon
atmospheric particulate	lebdeči delci
atmospheric physics	atmosferska fizika
atmospheric pollution	onesnaženje zraka
atmospheric precipitation ; precipitation	padavine
atmospheric process	proces v ozračju
atmospheric science	vede o ozračju (meteorologija, klimatologija)
atmospheric structure	plasti ozračja
atoll	atol
atractive	privlačen
atrazine	atrazin
atrocity	grozota
attached	navezan
attachment	navezanost
attachment	priključek
attack	napad
attain	doseči
attend	skrbeti za
attend	udeležiti se
attend	prisluhniti
attend	ukvarjati se
attendant	čuvaj
attentive	pozoren
attic	podstrešje
attire	obleka
attire	obleči
attitude	poza
attract	privlačiti
attribute	lastnost, atribut ; lastnost ; atribut
audacious	drzen
audio-visual presentation	avdio-vizualna predstavitev
audiovisual equipment	avdiovizualna oprema
audiovisual media	avdiovizualna sredstva
audit	pregled (finančnega poslovanja), revizija
augment	povečati
auspicious	obetaven
authorisation	odobritev ; pooblastilo
authoritarian	avtoritaren
authoritative	pooblaščen
authority body	organ oblasti, vladni organ
authorship	avtorstvo
autocracy	samodrštvo
autoecology	ekologija vrst
automobile industry	avtomobilska industrija
autopsy	obdukcija
available	prost
avalanche	plaz
avalanche protection	zaščita pred plazovi
avert	preprečiti
avert	odvrniti
