Dutch	﻿English
wortel	carrot
komkommer	cucumber
knoflook	garlic
olijf	olive
ui	onion
pastinaak	parsnip
[de] aardappel	potato
radijs	radish
[de] tomaat	tomato
[het] adres	address
[de] badkamer	bathroom
[de] slaapkamer	bedroom
[de] baksteen	brick
[de] deur	door
[de] vloer	floor
[de] verdieping	floor
[de] garage	garage
[de] tuin	garden
[het] hek	gate
[de] hal	hall
[het] thuis	home
[het] huis	house
[de] keuken	kitchen
[het] dak	roof
[de] kamer, [de] ruimte	room
[de] douche	shower
[de] trap	step
[het] toilet, [de] WC	toilet
[de] muur	wall
[de] bron, [de] put	well
[het] venster, [het] raam	window
[het] bed	bed
[het] tapijt	carpet
[de] stoel, [de] zetel (.be)	chair
[de] kast, [de] wandkast	cupboard
[het] gordijn	curtain
[de] schrijftafel	desk
[het] meubilair	furniture
[de] zetel	seat
[het] schap, [de] plank	shelf
[de] gootsteen	sink
[de] tafel	table
[de] handtas, [de] tas	bag
[de] laars	boot
[het] materiaal	cloth
[het] kledingstuk	clothing
[de] mantel, [de] jas	coat
[de] kraag, [de] boord	collar
[de] hoed	hat
[de] jas, [het] jasje (diminutive)	jacket
[het] juweel	jewel
[de] ring	ring
[het] hemd	shirt
[de] schoen	shoe
[de] rok	skirt
[de] sok	sock
[de] koffer, [het] valies (.be)	suitcase
[de] stropdas	tie
[de] acteur	actor
[de] actrice	actress
[de] zakenman	businessman
[de] vakman, [de] specialist	expert
[de] generaal	general
[de] journalist	journalist
[de] rechter	judge
[de] leider, [de] leidster {f}	leader
[de] minister	minister
[de] muzikant	musician
[de] fotograaf	photographer
[de] piloot	pilot
[de] politieagent	policeman
[de] politicus	politician
[de] president	president
[de] professional, [de] vakman	professional
[de] plaatsvervanger	representative
[de] zeeman, [de] matroos	sailor
[de] wetenschapper	scientist
[de] secretaresse	secretary
[de] dienstmeid	servant
[de] soldaat	soldier
[de] schrijver, [de] schrijfster {f}	writer
[de] luchthaven, [het] vliegveld	airport
[de] bank	bank
[de] brug	bridge
[het] gebouw	building
[de] hoofdstad	capital
[het] kasteel, [het] fort	castle
[de] kerk	church
[de] bioscoop	cinema
[de] stad	city
[de] fabriek	factory
[de] flat	flat
[het] ziekenhuis, [het] hospitaal	hospital
[het] hotel	hotel
[de] bibliotheek	library
[het] park	park
[de] gevangenis	prison
[het] restaurant	restaurant
[de] weg, [de] straat	road
[de] school	school
[het] station	station
[de] straat	street
[de] constructie	structure
[de] metro	subway
[de] supermarkt	supermarket
[de] schouwburg, [het] theater	theater
[de] stad, [de] gemeente	town
[de] universiteit	university
[het] dorp	village
[het] ongeluk, [het] ongeval	accident
[de] boot	boat
[de] bus, [de] autobus	bus
[de] auto, [de] wagen	car
[de] bocht	curve
[de] expres	express
[de] vlucht	flight
[de] tocht	journey
[de] passagier	passenger
[het] vliegtuig	plane
[het] schip	ship
slippen	skid
[de] rail	track
[de] trein	train
[het] vervoer, [het] transport	transport
[de] lucht	air
[het] dier, [het] beest	animal
[de] tak	branch
[de] evolutie	evolution
[de] boerderij	farm
[het] veld (crops), [de] wei (animals)	field
[de] brand	fire
[de] bloem	flower
[het] bos	forest
[het] gras	grass
[het] blad	leaf
[het] leven	life
bliksem	lightning
[het] vocht, [de] vochtigheid	moisture
[de] natuur	nature
[de] plant	plant
[de] wortel	root
[de] sekse	sex
[de] hemel	sky
[de] slaap	sleep
[de] geur, [de] reuk	smell
[de] damp	smoke
[de] bron	spring
[de] stengel	stem
[de] stroom	stream
[de] boom	tree
[de] golf	wave
[het] weer	weather
[de] wereld	world
[de] oever	bank
[het] strand	beach
[de] stroom	current
[de] richting	direction
[de] aarde	Earth
[het] oosten	east
[de] hoogte	height
[de] heuvel	hill
[het] eiland	island
[het] meer	lake
[het] land	land
[de] kaart	map
[de] maan	Moon
[het] noorden	north
[de] vlakte	plain
[de] streek	region
[de] rivier	river
[de] zee	sea
[het] zuiden	south
[de] ruimte	space
[de] ster	star
[de] sun	sun
[het] westen	west
[het] zuur	acid
[de] chemicaliën	chemical
element [het] element	chemical
[de] steenkool	coal
[het] katoen	cotton
[het] stof	dust
[de] aarde	earth
[het] vet	fat
[het] glas	glass
[de] lijm	glue
[het] graan	grain
[het] ijs	ice
[het] ijzer	iron
[het] leder, [het] leer	leather
[de] vloeistof	liquid
[de] materie	matter
element [het] metaal	metallic
[de] aardolie	oil
[het] vergif	poison
[het] buskruit	powder
[het] zand	sand
[het] zijde	silk
[de] zeep	soap
[het] staal	steel
[het] hout	wood
[de] wol	wool
[de] zak, [de] tas	bag
[de] mand, [de] korf	basket
[de] fles	bottle
[de] doos	box
[het] blik	can
[de] kop	cup
[de] la	drawer
[de] envelop, [de] enveloppe	envelope
[het] glas	glass
[het] bord, [het] dienblad	plate
[de] [de] camera, [de] videocamera	camera
[de] fotocamera, [het] fototoestel	camera
phone [de] mobiele telefoon, [het] mobieltje	cellular
[de] klok	clock
[de] computer	computer
[de] lift	elevator
[de] motor	engine
[het] instrument, [het] muziekinstrument	instrument
[de] machine	machine
[de] oven	oven
[de] televisie, [de] tv	television
[het] horloge	watch
[de] sommering, [de] optelling	addition
[de] hoek	angle
[de] oppervlakte	area
[het] middelpunt	center
[de] cirkel	circle
[de] curve, [de] kromme lijn	curve
[de] graad	degree
[het] niveau, [de] graad	degree
verschil	difference
[de] afstand	distance
[de] deling	division
[de] kant	edge
[het] element	element
[de] functie	function
[de] helft	half
[de] limiet	limit
[de] lijn	line
[het] net	net
[de] volgorde	order
[de] buitenkant	outside
[het] procent	percent
[de] punt	point
[de] functie, [het] nut	purpose
[het] resultaat	result
[de] wortel	root
[het] voorschrift	rule
[de] collectie	set
[de] zijde	side
[het] vierkant	square
[het] kwadraat, [de] tweede macht	square
vervanging	substitution
[de] oppervlakte	surface
[de] som, [de] sommering	total
[het] vermogen	ability
[de] daad	act
[de] handeling, [de] actie	action
[de] actie	activity
[de] toevoeging	addition
[de] hoeveelheid	amount
[de] aanval	attack
[de] poging	attempt
[het] gedrag, [de] attitude	attitude
[de] achterkant	back
gedrag, gedragingen	behavior
[het] stuk	bit
[de] slag	blow
ontspanning	break
[de] campagne	campaign
[de] casus, [het] voorbeeld	case
kans, mogelijkheid	chance
verandering, aanpassing	change
keuze	choice
status	condition
0	connection
verbinding	connection
barst	crack
0	crush
snee	cut
[de] schade	damage
gevaar	danger
dood	death
[de] decoratie	decoration
weer	defense
vernietiging	destruction
[de] bijzonderheid	detail
0	dominance
[de] druppel	drop
plicht	duty
inspanning	effort
val	fall
eigenschap	feature
gevecht	fight
front	front
slag	hit
holte, put	hole
groei	increase
toename	increase
[het] internet	internet
[de] ruk	jolt
schop	kick
soort	kind
[de] knoop	knot
lijst	list
meerderheid	majority
aangelegenheid	matter
[het] verstand, [de] geest	mind
[de] werking	operation
tegendeel	opposite
uitbarsting	outburst
deel, onderdeel	part
[het] deel	part
karakter	personality
[het] onderdeel, [het] stuk	piece
plaats	place
[de] plaats, [de] positie	position
macht, kracht	power
[de] praktijk	practice
opgave	project
eigendom	property
kwaliteit	quality
sereniteit	quiet
0	reach
rapport	report
verantwoordelijkheid	responsibility
rust	rest
terugkomst	return
ontsteking	rise
[het] risico	risk
plaats	seat
0	serial
[de] set	set
stilte	silence
situatie	situation
0	slice
[de] status	state
[de] stap, [de] voetstap	step
stoppen	stop
[de] smaak	taste
[het] ding	thing
[het] toppunt	top
aanraking	touch
behandeling	treatment
beving	tremble
kneep	trick
soort	type
[het] gebruik	use
manier	way
slijtage	wear
hele	whole
wil	will
wens	wish
[de] middag, [de] namiddag	afternoon
[de] ouderdom, [de] leeftijd	age
[de] april	April
augustus	August
[de] herfst	autumn
[het] begin	beginning
[de] eeuw	century
[de] datum	date
[de] dag	day
[de] december	December
einde	end
[de] avond	evening
[de] februari	February
[de] vrijdag	Friday
[de] toekomst	future
[het] uur	hour
[de] januari	January
[de] juli	July
[de] juni	June
mei	May
[de] middernacht	midnight
[de] minuut	minute
[het] moment	moment
[het] ogenblik	moment
[de] maandag	Monday
[de] maand	month
[de] ochtend	morning
[de] nacht	night
[de] november	November
[het] nu	now
[de] oktober	October
[het] verleden	past
[de] pauze	pause
[de] periode	period
tegenwoordig	present
[de] zaterdag	Saturday
[het] seizoen	season
[de] seconde	second
september	September
[het] voorjaar	spring
[de] zomer	summer
[de] zondag	Sunday
[de] donderdag	Thursday
vandaag	today
morgen	tomorrow
dinsdag	Tuesday
[de] woensdag	Wednesday
[de] week	week
[het] weekend, [het] weekeinde	weekend
[de] poos	while
[de] winter	winter
[het] jaar	year
[de] kunst	art
[de] artiest	artist
[de] band	band
[de] borstel	brush
[de] kleur	color
[het] concert	concert
schets	design
[de] verscheidenheid	diversity
[het] amusement, [het] vertier	entertainment
[de] hit	hit
[het] imago	image
[de] inkt	ink
[de] uitvinding	invention
[de] wijze, [de] manier	manner
[de] film	movie
[het] museum	museum
[de] muziek	music
[de] noot, [de] muzieknoot	note
[het] orkest	orchestra
[de] verf	paint
[het] schilderij, [de] afbeelding	painting
[het] papier	paper
[de] pen	pen
[het] potlood	pencil
[het] beeld, [de] beeltenis	picture
[het] gedicht	poem
[de] poëzie	poetry
[het] ritme	rhythm
[de] vorm	shape
[de] zanger {m}, [de] zangeres {f}	singer
[het] lied, [het] liedje (diminutive)	song
[het] toneel	stage
[de] stijl	style
mode	vogue
[de] zakenrelatie	account
[het] voordeel	advantage
[de] advertentie, [de] commercial	advertisement
[de] raad, [het] advies	advice
[de] overeenstemming	agreement
[de] attentie	attention
[de] autoriteit	authority
[het] bankbiljet	banknote
[de] overeenkomst	bargain
[het] merk	brand
[het] bedrijf, [de] zaak	business
[de] zakenvrouw	businesswoman
[de] hoofdstad	capital
[het] wisselgeld	change
[de] cheque	cheque
[het] comité	committee
[het] bedrijf, [de] zaak	company
[de] concurrentie	competition
[de] aanklacht	complaint
[het] contract	contract
[de] kopie	copy
[de] kosten	cost
[de] adviesraad, [het] raadgevend lichaam	council
[de] cursus	course
[de] klant	customer
nodig hebben	demand
[het] departement	department
strubbeling	difficulty
[de] [de] directeur, [de] directrice {f}	director
[de] economie	economy
[de] omgeving, [het] mileu	environment
[de] ervaring	experience
[het] bedrijf, [de] zaak	firm
[het] formulier	form
groep	group
[de] hulp	help
[de] vakantie	holiday
[het] inkomsten	income
[de] industrie	industry
[de] verzekering	insurance
[de] rente	interest
[de] rekening, [de] factuur	invoice
[het] werk	job
[de] wet	law
[het] verlof	leave
[het] verlies	loss
[het] management, [de] directie	management
markering, aanduiding	mark
[de] markt, [de] marktplaats	market
[het] materieel	material
[het] gemiddelde	mean
[de] samenkomst, [de] bijeenkomst	meeting
[het] kleingeld	money
[het] werk	occupation
aanbod	offer
[het] kantoor	office
[de] ambtenaar	officer
operatie, bewerking	operation
[de] bezitter	owner
[het] pakket	package
[de] betaling	payment
plan	plan
[de] prijs	price
[het] probleem	problem
[het] product	product
[de] winst	profit
[het] eigendom, [het] bezit	property
[het] tarief	rate
[de] rest	rest
[de] beloning	reward
[het] recht	right
[de] verkoop	sale
[het] deel	section
[de] sectie, [het] gedeelte	section
[de] service	service
[de] aandeel	share
[de] winkel	shop
0	show
0	skill
[het] personeel	staff
[de] structuur	structure
[het] succes	success
steun	support
[de] tabel	table
[de] belasting	tax
[de] ploeg, [het] team	team
[de] handel	trade
[de] waarde	value
werk	work
[de] werker, [de] arbeider	worker
[de] bekendmaking	announcement
[het] antwoord	answer
[de] instemming, [de] goedkeuring	approval
[het] argument	argument
[het] boek	book
[de] oproep	call
[het] teken, [het] symbool	character
[de] ruzie	controversy
[de] schreeuw	cry
[de] gegevens, [de] informatie	data
[de] beslissing, [het] besluit	decision
[het] woordenboek	dictionary
[de] discussie	discussion
[de] twijfel	doubt
[de] ervaring	experience
[het] gevoel	feeling
[de] humor	humor
[het] idee, [de] gedachte	idea
[de] informatie	information
[de] interesse	interest
[het] interview	interview
[de] taal	language
[de] taal	language
[de] letter, [het] karakter	letter
[de] brief	letter
[de] leugen	lie
[de] blik, [de] gezichtsuitdrukking	look
[het] tijdschrift, [het] magazine	magazine
[de] post	mail
[het] geheugen	memory
[de] herinnering	memory
[de] fout, [de] vergissing	mistake
[de] naam	name
[de] krant, [het] dagblad	newspaper
[de] [de] aantekening, [de] notitie	note
[het] getal	number
[de] mening, [de] opinie	opinion
[de] bladzijde, [de] pagina	page
[de] uitspraak	pronunciation
aanbieding	proposal
[het] protest	protest
[de] vraag	question
reactie	reaction
[de] reden, [de] motivatie	reason
[de] relatie	relation
[het] verzoek	request
[het] geheim	secret
[de] zin	sentence
[het] teken	sign
[de] taal	speech
[de] spelling	spelling
[het] criterium	standard
[de] verklaring	statement
[het] onderwerp, [het] thema	subject
voorstel	suggestion
[de] stem	voice
[het] woord	word
[het] schrift	writing
day goedendag, goeiedag	good
luck veel geluk, succes	good
morning goedemorgen	good
hallo, hoi	hello
are you hoe gaat het, alles goed	how
nee, neen	no
you very much dank u wel, dank je wel	thank
ja	yes
[het] Verenigd Koninkrijk, [het] Groot-Brittannië	Britain
[het] China	China
Republic [het] Tsjechië	Czech
[het] Frankrijk	France
[het] Duitsland	Germany
[het] India	India
[het] Italië	Italy
[het] Japan	Japan
[het] Spanje	Spain
States of America [de] Verenigde Staten van Amerika, [de] VS	United
[de] klas	class
[de] opleiding	education
[de] opleiding	education
[het] onderwijs	education
[het] examen	examination
[het] cijfer	grade
[de] kennis	knowledge
[de] student, [de] studente {f}	student
[de] leraar, [de] docent	teacher
training	training
[de] vrees, [de] angst	fear
[de] haat	hate
[de] liefde	love
plezier, genoegen	pleasure
[de] hoop	promise
schok	shock
[de] zorg	care
[de] verkoudheid	cold
[de] hoest	cough
[de] ziekte	disease
[de] dokter, [de] arts	doctor
[de] gezondheid, [het] welzijn	health
[de] menstruatie	menstruation
[de] verpleegster	nurse
[de] operatie	operation
[de] pijn	pain
[de] patiënt	patient
[de] steek	stitch
[de] kling, [het] lemmet	blade
0	board
[de] kaart	card
[de] ketting	chain
[de] knuppel	club
[de] deksel	cover
[de] pluim, [de] veer	feather
[de] vlag	flag
[het] montuur	frame
[de] greep, [de] handgreep	handle
[de] kaart	menu
[de] moer	nut
[de] speld	pin
[de] buis	pipe
[de] postzegel	postage
[het] cadeau	present
[het] zeil	sail
0	scroll
[het] zaad	seed
[de] stok	stick
[de] steen	stone
[het] ticket, [het] kaartje	ticket
[het] wiel	wheel
[de] draad	wire
[het] evenwicht, [de] balans	balance
[de] massa	bulk
[de] lading	charge
[de] energie	energy
[het] licht	light
[de] massa	mass
[de] meting	measurement
[de] spiegel	mirror
[de] verplaatsing	movement
[de] druk	pressure
[het] proces	process
[de] maat	size
[het] geluid	sound
[de] stoom	steam
doordrukken, kracht	strength
[de] tijd	time
[de] eenheid	unit
[het] gewicht	weight
[de] vriend	boyfriend
[de] afspraak	date
[de] vriendin	girlfriend
[de] gast, [de] bezoeker	guest
[de] geliefde, [de] beminde	honey
[de] kus	kiss
[het] feest	party
[de] seks, [de] geslachtsdaad	sex
glimlach	smile
verrassing	surprise
bezoek, visite	visit
alternatief	alternative
[de] biologie	biology
teweegbrengen, reden	cause
[de] scheikunde, [de] chemie	chemistry
vergelijking	comparison
[het] gevolg	consequence
controle	control
[de] discipline	discipline
[de] ontdekking	discovery
0	discovery
evenement, gebeurtenis	event
bewijs	evidence
[het] voorbeeld	example
feit	fact
[de] kwestie	issue
kern	kernel
[de] methode	method
[het] model, [het] type	model
[de] fase	phase
[de] werkwijze, [het] proces	procedure
productie	production
programma	program
project	project
bereik	range
onderzoek, speurwerk	research
0	research
[de] wetenschap	science
[de] gemeenschap	society
[het] systeem	system
[de] technologie	technology
[de] theorie	theory
neiging	trend
kwestie, strubbeling	trouble
[de] gebruiker, [de] gebruikster {f}	user
[het] leger	army
[de] basis, [de] kazerne	base
[de] club	club
[het] gezelschap	company
[de] strijd	contest
[het] land	country
[de] gerechtshof	court
[de] misdaad	crime
[de] cultuur	culture
[de] republiek, [de] democratie	democracy
dominion	dominion
[de] verkiezing	election
[het] bestaan	existence
[de] vrouw	female
[de] regering	government
[de] geschiedenis	history
[het] individu	individual
[de] instelling	institution
[de] koning, [de] heer	king
[de] man	male
[het] lid	member
[de] natie	nation
[het] nieuws	news
[het] lawaai	noise
[het] bevel	order
[de] [de] organisatie, [het] samenwerkingsverband	organization
[de] pas	pass
[het] paspoort	passport
vrede	peace
[de] mensen	people
[de] politie	police
[het] beleid	policy
[de] bevolking	population
[de] bevolking, [het] publiek	public
[de] straf	punishment
[de] religie	religion
[de] religie	religion
[de] staat	state
[de] titel	title
[de] unie	union
[de] oorlog	war
[de] wens	will
[het] testament, [de] laatste wilsbeschikking	will
[de] onderscheiding	award
[de] bal	ball
[het] honkbal	baseball
[de] fiets, [de] velo (.be)	bike
[het] kampioenschap	championship
[de] rivaal	competitor
[de] beker, [de] wedstrijdbeker	cup
[het] rugby, [het] voetbal	football
[het] spel	game
[het] doel	goal
bestemming	goal
[het] goud	gold
[de] golf	golf
sprong	jump
[de] competitie	match
[de] speler	player
record	record
[het] zilver	silver
[het] tennis	tennis
[de] worp, [de] gooi	throw
[de] overwinning	win
[de] bel	bell
[de] knop	button
[het] geweer, [het] pistool	gun
[de] hamer	hammer
[de] haak	hook
[de] sleutel	key
[het] slot	lock
[de] lucifer	match
[de] spijker, [de] nagel	nail
[de] naald	needle
[de] pomp	pump
[het] touw	rope
[de] schaar	scissors
[de] springveer	spring
[de] stempel	stamp
[de] zweep	whip
[de] wolk	cloud
dauw	dew
mist	fog
rijp	frost
[de] regen	rain
regenboog	rainbow
[de] sneeuw	snow
storm	storm
donder	thunder
