English	Slovak
peach	broskyňa
pear	hruška
pineapple	ananás
plum	slivka
raspberry	malina
strawberry	jahoda
bean	fazuľa
cabbage	kapusta
carrot	mrkva
cucumber	uhorka
garlic	cesnak
olive	oliva
onion	cibuľa
potato	zemiak
radish	reďkovka
tomato	paradajka
baby	nemluvňa
birth	narodenie
birthday	narodeniny
boy	chlapec
brother	brat
child	dieťa
daughter	dcéra
death	smrť
family	séria
father	otec
friend	priateľ
girl	dievča
grandfather	dedko
human	človek
husband	manžel
life	život
man	muž
marriage	manželstvo
mother	matka
neighbor	sused
person	osoba
relationship	vzťah
sister	sestra
son	syn
wedding	svadba
wedding	svadba
wife	manželka
woman	žena
address	adresa
bathroom	kúpel
bedroom	spálna
brick	tehla
door	dvere
floor	dlážka
floor	poschodie
garage	garáž
garden	záhrada
gate	brána
hall	hala
home	domov
house	dom
kitchen	kuchyňa
roof	strecha
room	izba
shower	sprcha
step	schod
toilet	záchod
wall	múr
well	studňa
window	okno
bed	posteľ
carpet	koberec
chair	stolička
cupboard	skriňa
curtain	záclona
desk	písací stôl
furniture	nábytok
shelf	polica
sink	umývadlo
table	stôl
bag	taška
boot	topánka
cloth	látka
clothing	odev
coat	plášť
collar	golier
hat	klobúk
jacket	sako
jewel	drahokam
ring	prsteň
shirt	košeľa
shoe	topánka
skirt	sukňa
sock	ponožka
suitcase	kufor
tie	kravata
air	vzduch
animal	živočích
branch	vetva
evolution	vývoj
farm	farma
field	pole
fire	plameň
flower	kvet
forest	les
grass	tráva
leaf	list
life	život
lightning	blesk
moisture	vlhkosť
nature	príroda
plant	rastlina
root	koreň
sex	pohlavie
sky	obloha
sleep	spánok
smell	vôňa
smoke	dym
spring	prameň
stem	stopka
stream	prúd
tree	strom
wave	vlna
weather	počasie
world	svet
airport	letisko
bank	banka
bridge	most
building	budova
capital	hlavné mesto
castle	hrad
church	kostol
cinema	kino
city	metropola
factory	továreň
flat	byt
hospital	nemocnica
hotel	hotel
library	knižnica
park	park
prison	väzenie
restaurant	reštaurácia
road	cesta
school	škola
station	stanica
street	ulica
structure	stavba
subway	metro
supermarket	supermarket
theater	divadlo
town	mesto
university	univerzita
village	obec
accident	nehoda
boat	čln
bus	autobus
car	automobil
curve	ohyb
express	rýchlik
flight	let
journey	cesta
passenger	cestujúci
plane	lietadlo
ship	loď
track	koľaj
train	vlak
transport	preprava
actor	herec
actress	herečka
businessman	obchodník
expert	odborník
general	generál
journalist	novinár
judge	sudca
leader	vodca
minister	minister
musician	hudobník
photographer	fotograf
pilot	pilot
policeman	policajt
politician	politik
president	prezident
professional	profesionál
representative	obchodný zástupca
sailor	námorník
scientist	vedec
secretary	sekretár
servant	sluha
soldier	vojak
writer	spisovateľ
bank	breh
beach	pláž
current	prúd
direction	smer
Earth	Zem
east	východ
height	výška
hill	kopec
island	ostrov
lake	jazero
land	pevnina
map	mapa
Moon	mesiac
north	sever
plain	planina
region	sféra
river	rieka
sea	more
south	juh
space	vesmír
star	hviezda
sun	slnko
west	západ
cloud	oblak
dew	rosa
fog	hmla
frost	inovať
rain	dážď
rainbow	dúha
snow	sneh
storm	búrka
thunder	hrom
wind	vietor
acid	kyselina
chemical	chemikália
chemical element	prvok
coal	uhlie
cotton	bavlna
dust	prach
earth	zem
fat	tuk
glass	sklo
glue	lepidlo
grain	zrnko
ice	ľad
iron	železo
leather	koža
liquid	tekutina
matter	hmota
metallic element	kov
oil	ropa
poison	jed
powder	prášok
sand	piesok
silk	hodváb
soap	mydlo
steel	oceľ
wood	drevo
bag	vrecko
basket	kôš
bottle	fľaša
box	škatuľa
can	plechovka
cup	šálka
drawer	zásuvka
envelope	obálka
glass	pohár
plate	tanier
bell	zvon
button	gombík
gun	zbraň
hammer	kladivko
hook	háčik
key	kľúč
lock	zámok
match	zápalka
nail	klinec
needle	ihla
pump	pumpa
rope	lano
scissors	nožnice
spring	pero
stamp	pečiatka
whip	bič
addition	sčítanie
angle	uhol
area	rozloha
center	stred
circle	kruh
curve	krivka
degree	stupeň
degree	úroveň
difference	rozdiel
distance	vzdialenosť
division	rozdelenie
edge	okraj
element	prvok
function	funkcia
half	polovica
limit	hranica
line	čiara
net	sieť
outside	vonkajšok
percent	percento
point	bodka
purpose	účel
result	výsledok
rule	predpis
set	súprava
side	strana
square	štvorec
square	kvadrát
substitution	výmena
surface	povrch
total	suma
ability	schopnosť
act	čin
action	čin
activity	činnosť
addition	prídavok
amount	množstvo
attack	prepad
attempt	pokus
attitude	stanovisko
behavior	správanie
bit	kúsok
blow	úder
break	pauza
campaign	ťaženie
case	proces
chance	príležitosť
change	zmena
choice	voľba
condition	stav
connection	konektor
crack	puklina
cut	rez
damage	škoda
danger	nebezpečenstvo
death	smrť
decoration	výzdoba
defense	obrana
destruction	skaza
detail	podrobnosť
dominance	ovládanie
drop	kvapka
duty	povinnosť
effort	úsilie
fall	pád
feature	znak
fight	boj
front	priečelie
hit	zásah
hole	diera
increase	rast
increase	prírastok
internet	internet
jolt	otras
kick	kopnutie
kind	typ
knot	uzol
list	zoznam
majority	väčšina
matter	záležitosť
mind	myslenie
operation	chod
opposite	opak
outburst	výbuch
part	časť
part	časť
personality	osobnosť
piece	kus
place	miesto
position	miesto
power	sila
practice	prax
project	úloha
property	vlastnosť
quality	akosť
quiet	pokoj
reach	dosah
report	zostava
responsibility	zodpovednosť
rest	odpočinok
return	návrat
rise	výstup
risk	riziko
seat	miesto
set	súbor
silence	ticho
situation	situácia
slice	kus
state	stav
step	krok
stop	zastavenie
taste	chuť
thing	vec
top	vrchol
touch	dotyk
treatment	zaobchádzanie
tremble	triaška
trick	lesť
type	druh
use	použitie
way	spôsob
wear	opotrebovanie
whole	celok
will	vôľa
wish	prianie
art	umenie
artist	umelec
band	kapela
brush	kefa
color	farba
concert	koncert
design	strih
diversity	rozmanitosť
entertainment	zábava
hit	hit
image	dojem
ink	atrament
invention	vynález
manner	spôsob
movie	povlak
museum	múzeum
music	hudba
note	zvuk
orchestra	orchester
paint	farba
painting	maľba
paper	papier
pen	pero
pencil	ceruzka
picture	obraz
poem	báseň
poetry	poézia
rhythm	rytmus
shape	forma
singer	spevák
song	pieseň
stage	javisko
style	štýl
vogue	móda
account	účet
advantage	výhoda
advertisement	reklama
advice	rada
agreement	zmluva
attention	pozor
authority	právomoc
banknote	bankovka
bargain	dohoda
brand	značka
business	obchod
capital	kapitál
change	drobné
cheque	šek
committee	výbor
company	spoločnosť
competition	konkurencia
complaint	obvinenie
contract	zmluva
copy	kópia
cost	náklady
council	rada
course	hodina
customer	zákazník
demand	potreba
department	oddelenie
difficulty	ťažkosť
director	riaditeľ
economy	ekonómia
environment	prostredie
experience	skúsenosť
firm	firma
form	formulár
group	skupina
help	pomoc
holiday	prázdniny
income	príjem
industry	priemysel
insurance	poistka
interest	úrok
invoice	účet
job	zamestnanie
law	právo
leave	dovolenka
loss	strata
management	vedenie
mark	značka
market	trh
material	materiál
mean	stred
meeting	stretnutie
money	peniaze
occupation	zamestnanie
offer	ponuka
office	kancelária
officer	policajt
operation	operácia
owner	majiteľ
package	balík
payment	odmena
plan	plán
price	cena
problem	problém
product	výrobok
profit	zisk
property	vlastníctvo
rate	tarifa
rest	zvyšok
reward	odmena
right	právo
sale	predaj
section	úsek
section	sekcia
service	obsluha
share	akcia
shop	obchod
show	prehliadka
skill	obratnosť
staff	zbor
structure	štruktúra
success	úspech
support	podpora
table	tabuľka
tax	daň
team	družstvo
trade	obchod
value	význam
work	práca
worker	robotník
announcement	oznámenie
answer	odpoveď
approval	schválenie
argument	argument
book	kniha
call	hovor
character	písmeno
controversy	spor
cry	volanie
data	údaje
decision	rozhodnutie
dictionary	slovník
discussion	diskusia
doubt	pochybnosť
experience	zážitok
feeling	sympatia
humor	humor
idea	myšlienka
information	informácia
interest	záujem
interview	pohovor
language	reč
language	jazyk
letter	písmeno
letter	list
lie	lož
look	pohľad
magazine	časopis
mail	pošta
memory	pamäť
memory	spomienka
mistake	omyl
name	meno
newspaper	noviny
note	poznámka
number	číslo
opinion	názor
page	strana
pronunciation	výslovnosť
proposal	návrh
protest	protest
question	otázka
reaction	reakcia
reason	príčina
relation	vzťah
request	prosba
secret	tajomstvo
sentence	veta
sign	znak
speech	reč
spelling	hláskovanie
standard	kritérium
statement	vyhlásenie
subject	téma
suggestion	návrh
voice	hlas
word	slovo
writing	písmo
good day	dobrý deň
good luck	veľa šťastia
hello	nazdar
how are you	ako sa máš? (informal or singular), ako sa máte? (formal or plural)
many thanks	ďakujem veľmi
no	nie
yes	áno
Britain	Británia
China	Čína
Czech Republic	Česká republika
France	Francúzska republika
Germany	Nemecká spolková republika
India	Indická republika
Italy	Taliansko
Japan	Japonsko
Spain	Španielske kráľovstvo
United States of America	Spojené štáty americké
camera	fotoaparát
camera	kamera
cellular phone	mobilný telefón
clock	hodiny
computer	počítač
elevator	výťah
engine	motor
instrument	nástroj
machine	stroj
oven	rúra
television	televízor
watch	hodinky
class	trieda
education	vzdelávanie
education	vzdelanie
education	vzdelanie
examination	skúška
grade	známka
knowledge	správa
student	študent
teacher	učiteľ
training	tréning
fear	strach
hate	nenávisť
love	láska
pleasure	potešenie
promise	nádej
shock	šok
care	opatera
cold	nádcha
cough	kašeľ
disease	choroba
doctor	lekár
health	zdravie
menstruation	menštruácia
operation	operácia
pain	bolesť
patient	pacient
stitch	steh
blade	čepeľ
board	doska
card	karta
chain	reťaz
club	kyjak
cover	obálka
feather	pero
flag	zástava
frame	rám
handle	rukoväť
menu	menu
nut	matica
pin	špendlík
pipe	rúra
postage	poštová známka
present	dar
sail	plachta
scroll	závit
seed	semeno
stick	palica
stone	kameň
ticket	lístok
wheel	koleso
wire	drôt
balance	vyrovnanosť
bulk	veľkosť
charge	náboj
energy	energia
light	svetlo
mass	masa
measurement	meranie
mirror	zrkadlo
movement	pohyb
pressure	ťarcha
process	proces
size	veľkosť
sound	zvuk
steam	para
strength	sila
time	čas
unit	jednotka
weight	váha
boyfriend	priateľ
date	schôdzka
girlfriend	priateľka
guest	hosť
honey	drahý
kiss	bozk
party	večierok
sex	sex
smile	úsmev
surprise	prekvapenie
visit	návšteva
alternative	alternatíva
biology	biológia
cause	príčina
chemistry	chémia
comparison	porovnanie
consequence	následok
control	kontrola
discipline	disciplína
discovery	objav
event	udalosť
evidence	dôkaz
example	ukážka
fact	fakt
issue	problém
kernel	podstata
method	metóda
model	model
phase	fáza
procedure	procedúra
production	výroba
program	program
project	projekt
range	okruh
research	výskum
research	vyšetrovanie
science	veda
society	spoločnosť
system	systém
technology	technológia
theory	teória
trend	sklon
trouble	ťažkosť
user	užívateľ
army	armáda
base	základ
club	klub
company	spoločnosť
contest	súťaž
country	krajina
court	súd
crime	trestný čin
culture	kultúra
democracy	republika
dominion	nadvláda
election	voľby
existence	existencia
female	žena
government	vláda
history	história
individual	jednotlivec
institution	inštitúcia
king	kráľ
male	samec
member	člen
nation	národ
news	správa
noise	hluk
order	rozkaz
organization	organizácia
pass	priepustka
passport	pas
peace	mier
people	ľudia
police	polícia
policy	politika
population	obyvateľstvo
public	obyvateľstvo
punishment	trest
religion	viera
religion	náboženstvo
state	štát
title	názov
union	spojenie
war	vojna
will	vôľa
will	závet
award	vyznamenanie
ball	lopta
baseball	bejzbal
bike	bicykel
championship	majstrovstvo
competitor	súper
cup	pohár
football	futbal
game	hra
goal	gól
goal	miesto určenia
gold	zlato
golf	golf
jump	skok
match	zápas
player	hráč
record	rekord
silver	striebro
tennis	tenis
throw	hod
win	víťazstvo