English	Vietnamese
kiss	nụ hôn
party	bữa tiệc
smile	nụ cười
surprise	sự ngạc nhiên
visit	sự viếng thăm
alternative	sự lựa chọn
biology	sinh vật học
cause	nguyên nhân
chemistry	hóa học
comparison	sự so sánh
consequence	hậu quả
control	sự quản lý
discipline	sự rèn luyện
discovery	khám phá
event	sự kiện
evidence	bằng chứng
example	mẫu
fact	sự việc
issue	vấn đề
kernel	bản chất
method	phương pháp
phase	thời kỳ
procedure	thủ tục
production	sản xuất
program	chương trình
project	dự án
range	phạm vi
research	cuộc nghiên cứu
research	cuộc điều tra
science	khoa học
society	xã hội
system	hệ thống
technology	công nghệ
theory	lý thuyết
trend	khuynh hướng
trouble	điều rắc rối
user	người sử dụng
alternative	sự lựa chọn
biology	sinh vật học
cause	nguyên nhân
chemistry	hóa học
comparison	sự so sánh
consequence	hậu quả
control	sự quản lý
discipline	sự rèn luyện
discovery	khám phá
event	sự kiện
evidence	bằng chứng
example	mẫu
fact	sự việc
issue	vấn đề
kernel	bản chất
method	phương pháp
phase	thời kỳ
procedure	thủ tục
production	sản xuất
program	chương trình
project	dự án
range	phạm vi
research	cuộc nghiên cứu
research	cuộc điều tra
science	khoa học
society	xã hội
system	hệ thống
technology	công nghệ
theory	lý thuyết
trend	khuynh hướng
trouble	điều rắc rối
user	người sử dụng
award	bằng danh dự
ball	quả bóng
baseball	bóng chày
bike	xe đạp
championship	danh hiệu quán quân
competitor	đối thủ cạnh tranh
cup	cúp
football	môn bóng đá
game	trò chơi
goal	bàn thắng
goal	nơi đến
gold	vàng
golf	môn đánh gôn
jump	bước nhảy
player	người chơi
record	kỷ lục
silver	bạc
tennis	quần vợt
throw	sự ném
win	sự chiến thắng