French	﻿English
vague	wave
temps	weather
monde	world
rive	bank
plage	beach
courant	current
direction	direction
Terre	Earth
est	east
altitude	height
colline	hill
île	island
lac	lake
terre	land
carte	map
lune	Moon
nord	north
plaine	plain
région	region
fleuve	river
mer	sea
sud	south
espace	space
étoile	star
soleil	sun
ouest	west
acide	acid
produit chimique	chemical
element élément chimique	chemical
charbon	coal
coton	cotton
poussière	dust
terre	earth
gras	fat
verre	glass
colle	glue
grain	grain
glace	ice
fer	iron
cuir	leather
liquide	liquid
matière	matter
element métal	metallic
pétrole	oil
poison	poison
poudre	powder
sable	sand
soie	silk
savon	soap
acier	steel
bois	wood
laine	wool
poche	bag
panier	basket
bouteille	bottle
boîte	box
boîte	can
tasse	cup
tiroir	drawer
enveloppe	envelope
verre	glass
assiette	plate
caméra	camera
appareil photographique	camera
phone téléphone mobile	cellular
horloge	clock
ordinateur	computer
ascenseur	elevator
moteur	engine
instrument	instrument
machine	machine
four	oven
téléviseur	television
montre	watch
addition	addition
angle	angle
aire	area
centre	center
cercle	circle
courbe	curve
degré	degree
niveau	degree
différence	difference
distance	distance
partage	division
bord	edge
corps simple	element
fonction	function
moitié	half
limite	limit
ligne	line
réseau	net
ordre	order
extérieur	outside
pourcentage	percent
point	point
but	purpose
résultat	result
racine	root
règlement	rule
série	set
côté	side
carré	square
carré	square
échange	substitution
surface	surface
somme	total
capacité	ability
acte	act
action	action
activité	activity
nouveau venu	addition
quantité	amount
attaque	attack
tentative	attempt
attitude	attitude
arrière	back
conduite	behavior
copeau	bit
coup	blow
pause	break
campagne	campaign
affaire	case
occasion	chance
changement	change
choix	choice
condition	condition
connecteur	connection
lézarde	crack
coupure	cut
dommage	damage
danger	danger
déces	death
décoration	decoration
défense	defense
destruction	destruction
détail	detail
pouvoir	dominance
goutte	drop
devoir	duty
effort	effort
chute	fall
caractéristique	feature
combat	fight
devant	front
coup	hit
trou	hole
croissance	increase
augmentation	increase
internet	internet
secousse	jolt
coup de pied	kick
genre	kind
noeud	knot
liste	list
majorité	majority
sujet	matter
esprit	mind
marche	operation
contraire	opposite
salve	outburst
partie	part
partie	part
caractère	personality
morceau	piece
endroit	place
emplacement	position
puissance	power
pratique	practice
tâche	project
propriété	property
qualité	quality
sérénité	quiet
rapport	report
responsabilité	responsibility
repos	rest
retour	return
ascension	rise
danger	risk
place	seat
feuilleton	serial
ensemble	set
silence	silence
situation	situation
morceau	slice
état	state
pas	step
arrêt	stop
goût	taste
chose	thing
sommet	top
toucher	touch
traitement	treatment
frisson	tremble
ruse	trick
type	type
usage	use
manière	way
usure	wear
tout	whole
volonté	will
demande	wish
après-midi	afternoon
âge	age
avril	April
août	August
automne	autumn
commencement	beginning
siècle	century
date	date
journée	day
décembre	December
fin	end
soir	evening
février	February
vendredi	Friday
futur	future
heure	hour
janvier	January
juillet	July
juin	June
mai	May
minuit	midnight
minute	minute
moment	moment
instant	moment
lundi	Monday
mois	month
matin	morning
nuit	night
novembre	November
maintenant	now
octobre	October
passé	past
pause	pause
période	period
présent	present
samedi	Saturday
saison	season
seconde	second
septembre	September
printemps	spring
été	summer
dimanche	Sunday
jeudi	Thursday
demain	tomorrow
mardi	Tuesday
mercredi	Wednesday
semaine	week
weekend	weekend
quelque temps	while
hiver	winter
an	year
beaux-arts	art
artiste	artist
orchestre	band
brosse	brush
couleur	color
concert	concert
dessin	design
diversité	diversity
distraction	entertainment
succès	hit
image	image
encre	ink
invention	invention
façon	manner
pellicule	movie
musée	museum
musique	music
note	note
orchestre	orchestra
peinture	paint
peinture	painting
papier	paper
plume	pen
crayon	pencil
image	picture
poème	poem
poésie	poetry
rythme	rhythm
forme	shape
chanteur	singer
chanson	song
scène	stage
style	style
mode	vogue
compte	account
avantage	advantage
réclame	advertisement
conseil	advice
arrangement	agreement
attention	attention
autorité	authority
billet	banknote
marché	bargain
marque	brand
affaire	business
capital	capital
monnaie	change
chèque	cheque
comité	committee
société	company
concurrence	competition
accusation	complaint
contrat	contract
copie	copy
frais	cost
conseil	council
cours	course
commettant	customer
besoin	demand
service	department
difficulté	difficulty
directeur	director
économie	economy
milieu	environment
expérience	experience
firme	firm
formulaire	form
groupe	group
aide	help
vacances	holiday
revenu	income
industrie	industry
assurance	insurance
intérêt	interest
comptes	invoice
travail	job
législation	law
permission	leave
perte	loss
direction	management
marque	mark
marché	market
matériau	material
milieu	mean
rencontre	meeting
argent	money
métier	occupation
offre	offer
bureau	office
fonctionnaire	officer
opération	operation
propriétaire	owner
paquet	package
paiement	payment
plan	plan
prix	price
problème	problem
produit	product
profit	profit
propriété	property
tarif	rate
reste	rest
récompense	reward
droit	right
vente	sale
secteur	section
rayon	section
service	service
action	share
magasin	shop
show	show
adresse	skill
personnel	staff
succès	success
soutien	support
table	table
taxe	tax
équipe	team
commerce	trade
valeur	value
travail	work
employé	worker
annonce	announcement
réponse	answer
approbation	approval
argument	argument
livre	book
coup de fil	call
caractère	character
querelle	controversy
appel	cry
données	data
décision	decision
dictionnaire	dictionary
discussion	discussion
doute	doubt
épreuve	experience
sentiment	feeling
humour	humor
pensée	idea
information	information
intérêt	interest
entrevue	interview
langage	language
langue	language
lettre	letter
lettre	letter
mensonge	lie
oeil	look
magazine	magazine
courrier	mail
mémoire	memory
souvenir	memory
erreur	mistake
nom	name
journal	newspaper
note	note
nombre	number
opinion	opinion
page	page
prononciation	pronunciation
proposition	proposal
objection	protest
question	question
réaction	reaction
raison	reason
relation	relation
demande	request
secret	secret
phrase	sentence
signe	sign
langage	speech
orthographe	spelling
critère	standard
déclaration	statement
sujet	subject
proposition	suggestion
voix	voice
mot	word
écriture	writing
day bonjour	good
luck bonne chance	good
salut	hello
are you comment allez-vous, comment ça va	how
thanks merci beaucoup, merci bien	many
non	no
you very much merci beaucoup, merci mille fois	thank
oui	yes
Britain	Britain
Chine	China
Republic République tchèque	Czech
République française	France
République fédérale d'Allemagne	Germany
République de l'Inde	India
Italie	Italy
Japon	Japan
Royaume d'Espagne	Spain
States of America États-Unis	United
classe	class
formation	education
éducation	education
études	education
examen	examination
note	grade
connaissance	knowledge
étudiant	student
maître	teacher
formation	training
peur	fear
haine	hate
amour	love
plaisir	pleasure
espoir	promise
choc	shock
sous la garde de	care
rhume	cold
toux	cough
maladie	disease
médecin	doctor
santé	health
menstruation	menstruation
infirmière	nurse
opération	operation
douleur	pain
patient	patient
point	stitch
lame	blade
panneau	board
carte	card
chaîne	chain
gourdin	club
couvercle	cover
plume	feather
drapeau	flag
cadre	frame
anse	handle
menu	menu
écrou	nut
épingle	pin
tuyau	pipe
tarif postal	postage
cadeau	present
voile	sail
rouleau	scroll
graine	seed
canne	stick
pierre	stone
billet	ticket
roue	wheel
grillage	wire
équilibre	balance
masse	bulk
charge	charge
énergie	energy
lumière	light
amas	mass
mesurage	measurement
miroir	mirror
mouvement	movement
pression	pressure
processus	process
taille	size
son	sound
vapeur	steam
force	strength
temps	time
unité	unit
poids	weight
amant	boyfriend
rendez-vous	date
copine	girlfriend
invité	guest
chérie	honey
baiser	kiss
partie	party
sexe	sex
sourire	smile
surprise	surprise
visite	visit
alternative	alternative
biologie	biology
cause	cause
chimie	chemistry
comparaison	comparison
conséquence	consequence
contrôle	control
discipline	discipline
découverte	discovery
événement	event
évidence	evidence
spécimen	example
fait	fact
question	issue
essence	kernel
méthode	method
patron	model
phase	phase
procédure	procedure
production	production
programme	program
projet	project
portée	range
recherche	research
investigation	research
science	science
société	society
système	system
technologie	technology
théorie	theory
tendance	trend
problème	trouble
utilisateur	user
armée	army
base	base
club	club
compagnie	company
concours	contest
pays	country
tribunal	court
infraction	crime
culture	culture
république	democracy
domination	dominion
élection	election
existence	existence
femme	female
gouvernement	government
histoire	history
individu	individual
établissement	institution
roi	king
mâle	male
membre	member
nation	nation
nouvelles	news
bruit	noise
ordre	order
organisation	organization
passeport	passport
paix	peace
gens	people
police	police
politique	policy
population	population
peuple	public
punition	punishment
foi	religion
religion	religion
état	state
titre	title
union	union
guerre	war
volonté	will
testament	will
distinction	award
balle	ball
base-ball	baseball
bicyclette	bike
championnat	championship
concurrent	competitor
coupe	cup
football	football
jeu	game
but	goal
destination	goal
or	gold
golf	golf
bond	jump
partie	match
joueur	player
record	record
argent	silver
tennis	tennis
lancer	throw
victoire	win
cloche	bell
bouton	button
fusil	gun
marteau	hammer
crochet	hook
clef	key
serrure	lock
allumette	match
clou	nail
aiguille	needle
pompe	pump
corde	rope
ciseaux	scissors
ressort	spring
tampon	stamp
fouet	whip
nuage	cloud
rosée	dew
brouillard	fog
givre	frost
pluie	rain
arc-en-ciel	rainbow
neige	snow
orage	storm
tonnerre	thunder
