German	﻿English
Rückkehr, Wiederkehr	return
Aufstieg	rise
Gefahr, Risiko	risk
Platz	seat
Serie	serial
Satz, Set	set
Stille	silence
Lage	situation
Stück	slice
Zustand	state
Schritt	step
Halt	stop
Geschmack	taste
Ding, Sache	thing
Gipfel, Höhepunkt	top
Berührung	touch
Behandlung	treatment
Zittern	tremble
Kniff, List	trick
Art, Gattung	type
Anwendung, Nutzung	use
Art und Weise	way
die Abnutzung	wear
Ganze	whole
Wille	will
Wunsch	wish
Nachmittag	afternoon
Alter	age
April	April
der August	August
Herbst	autumn
Anfang, Beginn	beginning
Jahrhundert	century
Datum	date
tag, Tag	day
Dezember	December
Eind, Ende	end
Abend	evening
Februar	February
Freitag	Friday
Zukunft	future
Stunde	hour
Januar	January
Juli	July
Juni	June
Mai	May
Mitternacht	midnight
Minute	minute
Moment	moment
Augenblick	moment
Montag	Monday
Monat	month
Morgen, Vormittag	morning
Nacht, Nachtzeit	night
November	November
jetzt, nun	now
Oktober	October
Vergangenheit	past
Pause, Unterbrechung	pause
Periode	period
Gegenwart	present
Samstag	Saturday
Saison	season
Sekunde	second
September	September
Frühjahr, Frühling	spring
Sommer, Sommerzeit	summer
Sonntag	Sunday
Donnerstag	Thursday
Heute	today
Morgen	tomorrow
Dienstag	Tuesday
Mittwoch	Wednesday
Woche	week
Wochenende	weekend
Weile	while
Winter	winter
Jahr	year
Kunst, Arte	art
Artist	artist
Kapelle	band
Bürste	brush
Farbe	color
Konzert	concert
Entwurf	design
Diversität, Verschiedenheit	diversity
Unterhaltung, Belustigung	entertainment
Schlager	hit
das Image	image
Tinte	ink
Erfindung	invention
Art, Weise	manner
Film	movie
Museum	museum
Musik	music
Note	note
Orchester	orchestra
Farbe	paint
Gemälde	painting
Papier	paper
Füller	pen
Bleistift	pencil
Bild	picture
Poem	poem
Poesie	poetry
Rhythmus	rhythm
Form	shape
Sänger	singer
Song	song
Bühne	stage
Stil	style
Mode	vogue
Konto	account
Vorteil	advantage
Inserat, Reklame	advertisement
Rat	advice
Abkommen, Vertrag	agreement
Aufmerksamkeit	attention
Autorität, Berechtigung	authority
Banknote	banknote
Handel	bargain
Ausführung, Marke	brand
Geschäft	business
Geschäftsfrau, Kauffrau	businesswoman
Kapital	capital
Kleingeld, Wechselgeld	change
Scheck	cheque
Ausschuss, Komitee	committee
Firma	company
Konkurrenzkampf	competition
Anklage, Beanstandung	complaint
Vertrag, Kontrakt	contract
Kopie	copy
Kosten	cost
Kollegium, Rat	council
Lehrgang, Kurs	course
Kunde	customer
Bedarf, Bedürfnis	demand
Abteilung	department
Schwierigkeit	difficulty
Direktor, Verwalter	director
Wirtschaft, Wirtschaftssystem	economy
Milieu, Umgebung	environment
Erfahrung	experience
Firma, Betrieb	firm
Formblatt, Formular	form
Gruppe, Gruppierung	group
Hilfe, Mithilfe	help
Urlaub, Ferien	holiday
Einkommen	income
Industrie	industry
Versicherung	insurance
Zins	interest
Faktur, Nota	invoice
Arbeit, Aufgabe	job
Gesetz	law
Urlaub	leave
Verlust	loss
Führung, Management	management
Marke, Zeichen	mark
Markt	market
Material, materiell	material
Mittel, Mittelwert	mean
Treffen	meeting
Geld	money
Arbeit, Beruf	occupation
Angebot, Antrag	offer
Büro	office
Beamter	officer
Operation	operation
Besitzer	owner
Bündel, Packung	package
Bezahlung, Zahlung	payment
Plan	plan
Preis	price
Problem	problem
Produkt, Erzeugnis	product
Gewinn, Verdienst	profit
Eigentum, Besitz	property
Satz, Tarif	rate
Rest, Relikt	rest
Belohnung	reward
Recht	right
Verkauf, Vertrieb	sale
Abteilung	section
Abteilung, Sektion	section
Dienst, Bedienung	service
Aktie	share
Geschäft	shop
Show	show
das Geschick	skill
Belegschaft, Personal	staff
Struktur	structure
Erfolg	success
Hilfe, Stütze	support
Tabelle	table
Besteuerung, Steuer	tax
Mannschaft	team
Handel	trade
Wert	value
Arbeit	work
Arbeiter	worker
Ankündigung, Bekanntmachung	announcement
Antwort	answer
Genehmigung, Billigung	approval
Argument	argument
Buch	book
der Anruf	call
Schriftzeichen, Zeichen	character
Streit, Kontroverse	controversy
Aufschrei, Geschrei	cry
Angaben	data
Beschluss, Entscheidung	decision
Lexikon, Wörterbuch	dictionary
Diskussion	discussion
Ungewissheit, Zweifel	doubt
Erlebnis	experience
Gefühl	feeling
der Humor	humor
Gedanke, Idee	idea
Information, Auskunft	information
Interesse	interest
Interview	interview
Sprache	language
die Sprache	language
Schriftzeichen	letter
Brief	letter
Lüge	lie
Blick	look
Zeitschrift	magazine
Post	mail
das Gedächtnis	memory
Andenken, Erinnerung	memory
Fehler, Irrtum	mistake
Name	name
Zeitung	newspaper
Anmerkung, Note	note
Nummer, Zahl	number
Meinung, Ansicht	opinion
Seite	page
Aussprache	pronunciation
Vorschlag	proposal
Einspruch	protest
Abfrage, Erkundigung	question
Reaktion	reaction
Grund	reason
Verhältnis	relation
Anforderung, Bitte	request
Geheimnis	secret
Satz	sentence
Zeichen	sign
Sprache, Rede	speech
Orthographie, Rechtschreibung	spelling
Kriterium, Maß	standard
Aussage, Behauptung	statement
Subjekt, Thema	subject
Vorschlag	suggestion
Stimme	voice
Wort	word
die Schrift	writing
day guten Tag	good
luck viel Glück	good
hallo, tschüss	hello
are you wie geht es dir, wie geht es Ihnen	how
thanks vielen Dank, besten Dank	many
Nein, nein	no
you very much danke schön, danke sehr	thank
ja	yes
Britannien	Britain
China	China
Republic Tschechische Republik	Czech
Frankreich	France
Deutschland	Germany
Indien	India
Italien	Italy
Japan	Japan
Spanien	Spain
States of America Vereinigte Staaten	United
Klasse	class
Ausbildung, Bildung	education
Erziehung	education
Bildung, Unterrichtswesen	education
Examen, Prüfung	examination
Note, Zensur	grade
Kenntnis	knowledge
Schüler, Student	student
Instrukteur, Lehrer	teacher
Ausbildung	training
Angst, Furcht	fear
Hass	hate
Liebe	love
Vergnügen	pleasure
Hoffnung	promise
Schock	shock
Sorge, Pflege	care
Erkältung	cold
Husten	cough
Krankheit	disease
Arzt, Doktor	doctor
Gesundheit	health
Menorrhö, Menstruation	menstruation
Krankenschwester	nurse
Operation	operation
Schmerz	pain
Patient	patient
Nadelstich	stitch
Blatt, Klinge	blade
Brett	board
Karte	card
Kette	chain
Keule, Knüppel	club
Deckel, Hülle	cover
Feder	feather
Flagge	flag
Rahmen	frame
Henkel, Stiel	handle
Menü, Speisekarte	menu
Schraubenmutter	nut
Nadel, Stecknadel	pin
Rohre, Rohrleitung	pipe
Porto	postage
Geschenk	present
Segel	sail
Rolle	scroll
Same, Samen	seed
Stock	stick
Gestein, Stein	stone
Fahrkarte, Fahrschein	ticket
Rad	wheel
Draht	wire
Gleichgewicht	balance
Masse	bulk
die Ladung	charge
Energie	energy
Licht	light
Masse	mass
Messen, Messung	measurement
Spiegel	mirror
Bewegung	movement
Druck	pressure
Verfahren	process
Größe	size
Ton	sound
Dampf	steam
Kraft, Gewalt	strength
die Zeit	time
Einheit	unit
Gewicht	weight
Freund	boyfriend
Verabredung	date
Freundin	girlfriend
Gast	guest
Liebling	honey
Kuß	kiss
Party	party
Sex	sex
Lächeln, Grinsen	smile
Überraschung	surprise
Visite	visit
Alternative, Mehrfachmöglichkeit	alternative
Biologie	biology
Grund, Ursache	cause
Chemie	chemistry
Vergleich	comparison
Effekt, Ergebnis	consequence
Kontrolle	control
Disziplin	discipline
Entdeckung	discovery
Ereignis, Begebenheit	event
Beweis	evidence
Beispiel	example
Tatsache	fact
Problem	issue
Essenz, Kern	kernel
Methode	method
Modell	model
Phase, Stufe	phase
Verfahren, Prozess	procedure
Produktion	production
Programm	program
Projekt	project
Reichweite, Rahmen	range
Forschung	research
Erhebung	research
Wissenschaft	science
Gesellschaft	society
system, System	system
Technologie	technology
Theorie	theory
Tendenz, Trend	trend
Problem, Schwierigkeit	trouble
Benutzer	user
Armee	army
Basis, Stützpunkt	base
Club, Klub	club
Gesellschaft	company
Wettbewerb, Wettkampf	contest
Land	country
Gericht	court
Kriminalität, Verbrechen	crime
Kultur	culture
Demokratie, Republik	democracy
Oberherrschaft	dominion
Wahl	election
Dasein, Existenz	existence
Frau	female
Regierung, Regime	government
Geschichte	history
das Individuum	individual
Institution, Niederlassung	institution
König	king
Mann	male
Mitglied	member
Nation	nation
Nachrichten	news
Geräusch, Lärm	noise
Auftrag, Befehl	order
Gesellschaft	organization
Ausweis	pass
Reisepass	passport
Frieden	peace
Leute	people
Polizei	police
Politik	policy
Bevölkerung	population
Volk, Leute	public
Bestrafung, Strafe	punishment
Glaube, Religion	religion
Religion	religion
Staat	state
Titel	title
Verein, Bund	union
Krieg	war
Wille	will
Testament	will
Auszeichnung	award
Ball	ball
Baseball	baseball
Fahrrad	bike
Meisterschaft, Titel	championship
Gegenspieler, Gegner	competitor
Pokal	cup
Fußball	football
Spiel	game
Tor	goal
Bestimmung	goal
Gold	gold
Golf	golf
Sprung	jump
Spiel	match
Spieler	player
Rekord	record
Silber	silver
Tennis	tennis
Wurf	throw
Gewinn, Sieg	win
Glocke	bell
Knopf, Taste	button
Gewehr	gun
Hammer	hammer
Haken	hook
Schlüssel	key
Schloss, Schloß	lock
Zündholz	match
Nagel	nail
Nadel	needle
Pumpe	pump
Seil, Tau	rope
Schere	scissors
Feder	spring
Stempel	stamp
Peitsche	whip
Wolke	cloud
Tau	dew
der Nebel	fog
Raureif, Reif	frost
Regen	rain
Regenbogen	rainbow
der Schnee	snow
Sturm	storm
Donner	thunder
