Portuguese	﻿English
distância	distance
divisão	division
orla	edge
elemento	element
função	function
metade	half
limite	limit
linha	line
malha	net
exterior	outside
percentagem	percent
ponto	point
propósito	purpose
resultado	result
regulamento	rule
conjunto	set
lado	side
quadrado	square
quadrado	square
troca	substitution
superfície	surface
quantia	total
capacidade	ability
acto	act
acção	action
actividade	activity
acréscimo	addition
quantidade	amount
ataque	attack
tentativa	attempt
atitude	attitude
traseiras	back
comportamento	behavior
pedaço	bit
pancada	blow
quebra	break
campanha	campaign
caso	case
oportunidade	chance
mudança	change
escolha	choice
condição	condition
conector	connection
racha	crack
corte	cut
dano	damage
perigo	danger
morte	death
enfeite	decoration
defesa	defense
destruição	destruction
pormenor	detail
controle	dominance
gota	drop
dever	duty
esforço	effort
queda	fall
característica	feature
combate	fight
frente	front
golpe	hit
buraco	hole
crescimento	increase
aumento	increase
internet	internet
choque	jolt
pontapé	kick
tipo	kind
nó	knot
lista	list
maioria	majority
assunto	matter
espírito	mind
operação	operation
contrário	opposite
explosão	outburst
parte	part
parte	part
parte	piece
no local	place
posição	position
energia	power
prática	practice
tarefa	project
propriedade	property
qualidade	quality
serenidade	quiet
relatório	report
responsabilidade	responsibility
repouso	rest
regresso	return
subida	rise
risco	risk
local	seat
colecção	set
calma	silence
situação	situation
pedaço	slice
estado	state
passo	step
paragem	stop
gosto	taste
coisa	thing
ponto culminante	top
toque	touch
tratamento	treatment
arrepio	tremble
truque	trick
tipo	type
uso	use
modo	way
desgaste	wear
todo	whole
vontade	will
desejo	wish
arte	art
artista	artist
banda	band
escova	brush
cor	color
concerto	concert
desenho	design
diversidade	diversity
divertimento	entertainment
sucesso	hit
imagem	image
tinta	ink
modo	manner
película	movie
museu	museum
música	music
nota	note
orquestra	orchestra
tinta	paint
pintura	painting
papel	paper
caneta	pen
lápis	pencil
reflexo	picture
poema	poem
poesia	poetry
ritmo	rhythm
forma	shape
cantor	singer
canção	song
estrado	stage
estilo	style
estilo	vogue
conta	account
vantagem	advantage
anúncio	advertisement
conselho	advice
contrato	agreement
atenção	attention
autoridade	authority
nota	banknote
acordo	bargain
marca	brand
negócio	business
capital	capital
trocado	change
cheque	cheque
delegação	committee
companhia	company
concorrência	competition
acusação	complaint
contrato	contract
cópia	copy
preço	cost
conselho	council
aula	course
cliente	customer
necessidade	demand
departamento	department
dificuldade	difficulty
director	director
economia	economy
ambiente	environment
experiência	experience
firma	firm
formulário	form
grupo	group
ajuda	help
férias	holiday
salário	income
indústria	industry
seguro	insurance
juro	interest
contas	invoice
emprego	job
lei	law
licença	leave
perda	loss
administração	management
marcador	mark
mercado	market
material	material
encontro	meeting
dinheiro	money
emprego	occupation
oferta	offer
escritório	office
oficial	officer
operação	operation
possuidor	owner
pacote	package
pagamento	payment
plano	plan
custo	price
problema	problem
produto	product
lucro	profit
propriedade	property
tarifa	rate
resto	rest
recompensa	reward
direito	right
venda	sale
secção	section
divisão	section
serviço	service
acção	share
loja	shop
espectáculos	show
perícia	skill
pessoal	staff
estrutura	structure
êxito	success
apoio	support
quadro	table
imposto	tax
equipa	team
comércio	trade
valor	value
trabalho	work
trabalhador	worker
anúncio	announcement
resposta	answer
aprovação	approval
argumento	argument
livro	book
chamada	call
carácter	character
disputa	controversy
grito	cry
dados	data
decisão	decision
dicionário	dictionary
discussão	discussion
incerteza	doubt
experiência	experience
sentimento	feeling
humor	humor
pensamento	idea
informação	information
interesse	interest
entrevista	interview
linguagem	language
língua	language
letra	letter
carta	letter
mentira	lie
olhadela	look
revista	magazine
correio	mail
memória	memory
memória	memory
erro	mistake
nome	name
jornal	newspaper
nota	note
número	number
opinião	opinion
página	page
pronúncia	pronunciation
proposta	proposal
protesto	protest
pergunta	question
reação	reaction
terreno	reason
pedido	request
segredo	secret
frase	sentence
sinal	sign
linguagem	speech
ortografia	spelling
critério	standard
afirmação	statement
assunto	subject
proposta	suggestion
voz	voice
palavra	word
escrita	writing
day bom dia	good
luck boa sorte	good
olá	hello
are you como vai, como estás	how
thanks muito obrigado	many
não	no
you very much muito obrigado (said by a male), muito obrigada (said by a female)	thank
sim	yes
Reino Unido	Britain
China	China
Republic República Checa	Czech
República Francesa	France
República Federal da Alemanha	Germany
República da Índia	India
Itália	Italy
Japão	Japan
Reino de Espanha	Spain
States of America Estados Unidos	United
máquina fotográfica	camera
câmara	camera
phone telemóvel	cellular
relógio	clock
computador	computer
elevador	elevator
motor	engine
instrumento	instrument
máquina	machine
forno	oven
televisor	television
relógio	watch
categoria	class
instrução	education
educação	education
ensino	education
exame	examination
nota	grade
conhecimento	knowledge
estudante	student
professor	teacher
treinamento	training
medo	fear
ódio	hate
amor	love
prazer	pleasure
esperança	promise
choque	shock
cuidado	care
constipação	cold
tosse	cough
doença	disease
médico	doctor
saúde	health
menstruação	menstruation
enfermeira	nurse
operação	operation
dor	pain
doente	patient
ponto	stitch
lâmina	blade
tabuleiro	board
carta	card
corrente	chain
maça	club
pena	feather
bandeira	flag
moldura	frame
asa	handle
menu	menu
porca	nut
pino	pin
cano	pipe
porte	postage
presente	present
vela	sail
rolo	scroll
semente	seed
pau	stick
pedra	stone
bilhete	ticket
roda	wheel
fio de arame	wire
equilíbrio	balance
vulto	bulk
carga	charge
energia	energy
luz	light
monte	mass
medição	measurement
espelho	mirror
movimento	movement
pressão	pressure
processo	process
tamanho	size
som	sound
vapor	steam
força	strength
tempo	time
unidade	unit
peso	weight
namorado	boyfriend
encontro	date
namorada	girlfriend
convidado	guest
querido	honey
beijo	kiss
festa	party
sexo	sex
sorriso	smile
surpresa	surprise
visita	visit
alternativa	alternative
biologia	biology
causa	cause
química	chemistry
comparação	comparison
efeito	consequence
domínio	control
disciplina	discipline
descoberta	discovery
acontecimento	event
evidência	evidence
exemplo	example
facto	fact
assunto	issue
essência	kernel
método	method
modelo	model
fase	phase
procedimento	procedure
produção	production
programa	program
projecto	project
alcance	range
pesquisa	research
inquérito	research
ciência	science
sociedade	society
sistema	system
tecnologia	technology
teoria	theory
corrente	trend
problema	trouble
usuário	user
exército	army
base	base
clube	club
companhia	company
competição	contest
país	country
tribunal	court
crime	crime
cultura	culture
república	democracy
autoridade	dominion
eleição	election
existência	existence
governo	government
história	history
indivíduo	individual
instituição	institution
rei	king
membro	member
nação	nation
barulho	noise
ordem	order
organização	organization
passe	pass
passaporte	passport
paz	peace
as pessoas	people
polícia	police
política	policy
população	population
população	public
castigo	punishment
fé	religion
religião	religion
estado	state
título	title
união	union
guerra	war
vontade	will
testamento	will
honraria	award
bola	ball
basebol	baseball
bicicleta	bike
campeonato	championship
competidor	competitor
taça	cup
futebol	football
jogo	game
meta	goal
destino	goal
ouro	gold
golfe	golf
salto	jump
jogador	player
recorde	record
prata	silver
ténis	tennis
