English	Portuguese
cinema	cinema
city	cidade
factory	fábrica
flat	apartamento
hospital	hospital
hotel	hotel
library	biblioteca
park	parque
prison	prisão
restaurant	restaurante
road	estrada
school	escola
station	estação
street	rua
structure	construção
subway	metropolitano
supermarket	supermercado
theater	teatro
town	vila
university	universidade
village	aldeia
accident	acidente
boat	barco
bus	autocarro
car	automóvel
curve	curva
express	rápido
flight	vôo
journey	viagem
passenger	passageiro
plane	avião
ship	navio
skid	derrapagem
track	carril
train	comboio
transport	transporte
actor	actor
actress	atriz
businessman	comerciante
expert	perito
general	general
journalist	jornalista
judge	juiz
leader	líder
minister	ministro
musician	músico
photographer	fotógrafo
pilot	piloto
policeman	polícia
politician	político
president	presidente
professional	profissional
representative	representante
sailor	marinheiro
scientist	cientista
secretary	secretária
servant	criado
soldier	soldado
writer	escritor
bank	margem
beach	praia
current	corrente
direction	direcção
Earth	Terra
east	leste
height	altitude
hill	monte
island	ilha
lake	lago
land	terra
map	mapa
Moon	lua
north	norte
plain	planície
region	zona
river	rio
sea	mar
south	sul
space	espaço
star	estrela
sun	sol
west	oeste
cloud	nuvem
dew	orvalho
fog	nevoeiro
frost	geada
rain	chuva
rainbow	arco-íris
snow	neve
storm	tempestade
thunder	trovão
wind	vento
acid	ácido
chemical	produto químico
chemical element	elemento
coal	carvão
cotton	algodão
dust	pó
earth	terra
fat	gordura
glass	vidro
glue	cola
grain	grão
ice	gelo
iron	ferro
leather	couro
liquid	líquido
matter	matéria
metallic element	metal
oil	petróleo
poison	veneno
powder	pó
sand	areia
silk	seda
soap	sabão
steel	aço
wood	madeira
wool	lã
bag	saco
basket	cesto
bottle	garrafa
box	caixa
can	lata
cup	chávena
drawer	gaveta
envelope	envelope
glass	copo
plate	prato
bell	sino
button	botão
gun	arma
hammer	martelo
hook	gancho
key	chave
lock	fechadura
match	fósforo
nail	prego
needle	agulha
pump	bomba
rope	corda
scissors	tesoura
spring	mola
stamp	carimbo
whip	chicote
addition	adição
angle	ângulo
area	área
circle	círculo
curve	curva
degree	grau
degree	nível
difference	diferença
distance	distância
division	divisão
edge	orla
element	elemento
function	função
half	metade
limit	limite
line	linha
net	malha
outside	exterior
percent	percentagem
point	ponto
purpose	propósito
result	resultado
rule	regulamento
set	conjunto
side	lado
square	quadrado
square	quadrado
substitution	troca
surface	superfície
total	quantia
ability	capacidade
act	acto
action	acção
activity	actividade
addition	acréscimo
amount	quantidade
attack	ataque
attempt	tentativa
attitude	atitude
back	traseiras
behavior	comportamento
bit	pedaço
blow	pancada
break	quebra
campaign	campanha
case	caso
chance	oportunidade
change	mudança
choice	escolha
condition	condição
connection	conector
crack	racha
cut	corte
damage	dano
danger	perigo
death	morte
decoration	enfeite
defense	defesa
destruction	destruição
detail	pormenor
dominance	controle
drop	gota
duty	dever
effort	esforço
fall	queda
feature	característica
fight	combate
front	frente
hit	golpe
hole	buraco
increase	crescimento
increase	aumento
internet	internet
jolt	choque
kick	pontapé
kind	tipo
knot	nó
list	lista
majority	maioria
matter	assunto
mind	espírito
operation	operação
opposite	contrário
outburst	explosão
part	parte
part	parte
piece	parte
place	no local
position	posição
power	energia
practice	prática
project	tarefa
property	propriedade
quality	qualidade
quiet	serenidade
report	relatório
responsibility	responsabilidade
rest	repouso
return	regresso
rise	subida
risk	risco
seat	local
set	colecção
silence	calma
situation	situação
slice	pedaço
state	estado
step	passo
stop	paragem
taste	gosto
thing	coisa
top	ponto culminante
touch	toque
treatment	tratamento
tremble	arrepio
trick	truque
type	tipo
use	uso
way	modo
wear	desgaste
whole	todo
will	vontade
wish	desejo
art	arte
artist	artista
band	banda
brush	escova
color	cor
concert	concerto
design	desenho
diversity	diversidade
entertainment	divertimento
hit	sucesso
image	imagem
ink	tinta
manner	modo
movie	película
museum	museu
music	música
note	nota
orchestra	orquestra
paint	tinta
painting	pintura
paper	papel
pen	caneta
pencil	lápis
picture	reflexo
poem	poema
poetry	poesia
rhythm	ritmo
shape	forma
singer	cantor
song	canção
stage	estrado
style	estilo
vogue	estilo
account	conta
advantage	vantagem
advertisement	anúncio
advice	conselho
agreement	contrato
attention	atenção
authority	autoridade
banknote	nota
bargain	acordo
brand	marca
business	negócio
capital	capital
change	trocado
cheque	cheque
committee	delegação
company	companhia
competition	concorrência
complaint	acusação
contract	contrato
copy	cópia
cost	preço
council	conselho
course	aula
customer	cliente
demand	necessidade
department	departamento
difficulty	dificuldade
director	director
economy	economia
environment	ambiente
experience	experiência
firm	firma
form	formulário
group	grupo
help	ajuda
holiday	férias
income	salário
industry	indústria
insurance	seguro
interest	juro
invoice	contas
job	emprego
law	lei
leave	licença
loss	perda
management	administração
mark	marcador
market	mercado
material	material
meeting	encontro
money	dinheiro
occupation	emprego
offer	oferta
office	escritório
officer	oficial
operation	operação
owner	possuidor
package	pacote
payment	pagamento
plan	plano
price	custo
problem	problema
product	produto
profit	lucro
property	propriedade
rate	tarifa
rest	resto
reward	recompensa
right	direito
sale	venda
section	secção
section	divisão
service	serviço
share	acção
shop	loja
show	espectáculos
skill	perícia
staff	pessoal
structure	estrutura
success	êxito
support	apoio
table	quadro
tax	imposto
team	equipa
trade	comércio
value	valor
work	trabalho
worker	trabalhador
announcement	anúncio
answer	resposta
approval	aprovação
argument	argumento
book	livro
call	chamada
character	carácter
controversy	disputa
cry	grito
data	dados
decision	decisão
dictionary	dicionário
discussion	discussão
doubt	incerteza
experience	experiência
feeling	sentimento
humor	humor
idea	pensamento
information	informação
interest	interesse
interview	entrevista
language	linguagem
language	língua
letter	letra
letter	carta
lie	mentira
look	olhadela
magazine	revista
mail	correio
memory	memória
memory	memória
mistake	erro
name	nome
newspaper	jornal
note	nota
number	número
opinion	opinião
page	página
pronunciation	pronúncia
proposal	proposta
protest	protesto
question	pergunta
reaction	reação
reason	terreno
request	pedido
secret	segredo
sentence	frase
sign	sinal
speech	linguagem
spelling	ortografia
standard	critério
statement	afirmação
subject	assunto
suggestion	proposta
voice	voz
word	palavra
writing	escrita
good day	bom dia
good luck	boa sorte
hello	olá
how are you	como vai, como estás
many thanks	muito obrigado
no	não
thank you very much	muito obrigado (said by a male), muito obrigada (said by a female)
yes	sim
Britain	Reino Unido
China	China
Czech Republic	República Checa
France	República Francesa
Germany	República Federal da Alemanha
India	República da Índia
Italy	Itália
Japan	Japão
Spain	Reino de Espanha
United	States of America Estados Unidos
camera	máquina fotográfica
camera	câmara
cellular phone	telemóvel
clock	relógio
computer	computador
elevator	elevador
engine	motor
instrument	instrumento
machine	máquina
oven	forno
television	televisor
watch	relógio
class	categoria
education	instrução
education	educação
education	ensino
examination	exame
grade	nota
knowledge	conhecimento
student	estudante
teacher	professor
training	treinamento
fear	medo
hate	ódio
love	amor
pleasure	prazer
promise	esperança
shock	choque
care	cuidado
cold	constipação
cough	tosse
disease	doença
doctor	médico
health	saúde
menstruation	menstruação
nurse	enfermeira
operation	operação
pain	dor
patient	doente
stitch	ponto
blade	lâmina
board	tabuleiro
card	carta
chain	corrente
club	maça
feather	pena
flag	bandeira
frame	moldura
handle	asa
menu	menu
nut	porca
pin	pino
pipe	cano
postage	porte
present	presente
sail	vela
scroll	rolo
seed	semente
stick	pau
stone	pedra
ticket	bilhete
wheel	roda
wire	fio de arame
balance	equilíbrio
bulk	vulto
charge	carga
energy	energia
light	luz
mass	monte
measurement	medição
mirror	espelho
movement	movimento
pressure	pressão
process	processo
size	tamanho
sound	som
steam	vapor
strength	força
time	tempo
unit	unidade
weight	peso
boyfriend	namorado
date	encontro
girlfriend	namorada
guest	convidado
honey	querido
kiss	beijo
party	festa
sex	sexo
smile	sorriso
surprise	surpresa
visit	visita
alternative	alternativa
biology	biologia
cause	causa
chemistry	química
comparison	comparação
consequence	efeito
control	domínio
discipline	disciplina
discovery	descoberta
event	acontecimento
evidence	evidência
example	exemplo
fact	facto
issue	assunto
kernel	essência
method	método
model	modelo
phase	fase
procedure	procedimento
production	produção
program	programa
project	projecto
range	alcance
research	pesquisa
research	inquérito
science	ciência
society	sociedade
system	sistema
technology	tecnologia
theory	teoria
trend	corrente
trouble	problema
user	usuário
army	exército
base	base
club	clube
company	companhia
contest	competição
country	país
court	tribunal
crime	crime
culture	cultura
democracy	república
dominion	autoridade
election	eleição
existence	existência
government	governo
history	história
individual	indivíduo
institution	instituição
king	rei
member	membro
nation	nação
noise	barulho
order	ordem
organization	organização
pass	passe
passport	passaporte
peace	paz
people	as pessoas
police	polícia
policy	política
population	população
public	população
punishment	castigo
religion	fé
religion	religião
state	estado
title	título
union	união
war	guerra
will	vontade
will	testamento
award	honraria
ball	bola
baseball	basebol
bike	bicicleta
championship	campeonato
competitor	competidor
cup	taça
football	futebol
game	jogo
goal	meta
goal	destino
gold	ouro
golf	golfe
jump	salto
player	jogador
record	recorde
silver	prata
tennis	ténis
throw	arremesso