English	Greek
wall	τοίχος
well	πηγάδι
window	παράθυρο
bed	κρεβάτι
carpet	χαλί
chair	καρέκλα
cupboard	ντουλάπι
curtain	κουρτίνα, αυλαία
desk	γραφείο
furniture	έπιπλο
seat	έδρα
shelf	ράφι
sink	νεροχύτης
table	τραπέζι
bag	τσάντα
boot	μπότα
cloth	ύφασμα
clothing	ρούχα
coat	παλτό
collar	γιακάς
hat	καπέλο
jacket	σακάκι
jewel	κόσμημα
ring	δαχτυλίδι
shirt	πουκάμισο
shoe	παπούτσι
skirt	φούστα
sock	κάλτσα
suitcase	βαλίτσα
tie	γραβάτα
actor	ηθοποιός
actress	ηθοποιός
businessman	επιχειρηματίας
expert	ειδικός
general	στρατηγός
journalist	δημοσιογράφος
judge	δικαστής
leader	ηγέτης
minister	υπουργός
musician	μουσικός
photographer	φωτογράφος
pilot	πιλότος
policeman	αστυνομικός
politician	πολιτικός
president	πρόεδρος
professional	επαγγελματίας
representative	αντιπρόσωπος
sailor	ναύτης
scientist	επιστήμονας
secretary	γραμματέας
servant	υπηρέτης
soldier	στρατιώτης
writer	συγγραφέας
airport	αεροδρόμιο
bank	τράπεζα
bridge	γέφυρα
building	κτήριο
capital	πρωτεύουσα
castle	πύργος
church	ναός
cinema	κινηματογράφος
city	πόλη
factory	εργοστάσιο
flat	διαμέρισμα
hospital	νοσοκομείο
hotel	ξενοδοχείο
library	βιβλιοθήκη
park	πάρκο
prison	φυλακή
restaurant	εστιατόριο
road	δρόμος
school	σχολείο
station	σταθμός
street	δρόμος
structure	κατασκευή
subway	υπόγειος σιδηρόδρομος
supermarket	σούπερ μάρκετ
theater	θέατρο
town	πόλη
university	πανεπιστήμιο
village	χωριό
accident	ατύχημα
boat	βάρκα
bus	λεωφορείο
car	αυτοκίνητο
curve	στροφή
express	τρένο εξπρές
flight	πέταγμα
journey	διαδρομή
passenger	επιβάτης
plane	αεροπλάνο
ship	πλοίο
skid	γλίστρημα
track	σιδηροτροχιά
train	τρένο
transport	μεταφορά
air	αέρας
animal	ζώο
branch	κλαδί
evolution	εξέλιξη
farm	αγρόκτημα
field	αγρός
fire	φλόγα
flower	λουλούδι
forest	δάσος
grass	γρασίδι
leaf	φύλλωμα
life	ζωή
lightning	κεραυνός
moisture	υγρασία
nature	φύση
plant	φυτό
root	ρίζα
sex	φύλο
sky	ουρανός
sleep	ύπνος
smell	άρωμα
smoke	καπνός
spring	πηγή
stem	μίσχος, κοτσάνι
stream	ρεύμα
tree	δέντρο
wave	κύμα
weather	καιρός
world	κόσμος
bank	όχθη
beach	παραλία
current	ρεύμα
direction	κατεύθυνση
Earth	Γη
east	ανατολή
height	υψόμετρο
hill	λόφος
island	νησί
lake	λίμνη
land	ξηρά
map	χάρτης
Moon	φεγγάρι
north	βοριάς, βορράς
plain	πεδιάδα
region	διοικητική περιφέρεια
river	ποταμός
sea	θάλασσα
south	νότος
space	διάστημα
star	αστέρι
sun	ήλιος
west	δύση
acid	οξύ
chemical	χημική ουσία
chemical element	στοιχείο
coal	κάρβουνο
cotton	βαμβάκι
dust	σκόνη
earth	γη
fat	λίπος
glass	γυαλί
glue	κόλλα
grain	κόκκος
ice	πάγος
iron	σίδερο
leather	δέρμα
liquid	υγρό
matter	ύλη
metallic element	μέταλλο
oil	πετρέλαιο
poison	δηλητήριο
powder	σκόνη
sand	άμμος
silk	μετάξι
soap	σαπούνι
steel	ατσάλι
wood	ξύλο
wool	μαλλί
bag	τσάντα
basket	καλάθι
bottle	μπουκάλι, φιάλη
box	κουτί
can	κονσέρβα
cup	φλιτζάνι
drawer	συρτάρι
envelope	φάκελος
glass	ποτήρι
plate	πιάτο
camera	κάμερα
camera	φωτογραφική μηχανή
cellular phone	κινητό τηλέφωνο
clock	ρολόι
computer	ηλεκτρονικός υπολογιστής
elevator	ασανσέρ
engine	κινητήρας
instrument	όργανο
machine	μηχάνημα
oven	φούρνος
television	τηλεόραση
watch	ρολόι
addition	πρόσθεση
angle	γωνία
area	έκταση
center	μέση
circle	κύκλος
curve	τόξο
degree	βαθμός
degree	επίπεδο
difference	διαφορά
distance	απόσταση
division	διαίρεση
edge	άκρη
element	στοιχείο
function	λειτουργία
half	μισό
limit	όριο
line	γραμμή
net	δίχτυ
order	σειρά
outside	εξωτερική εμφάνιση
percent	ποσοστό
point	τελεία
purpose	σκοπός
result	αποτέλεσμα
root	ρίζα
rule	κανονισμός
set	σύνολο
side	πλευρό
square	τετράγωνο
square	τετράγωνο
substitution	ανταλλαγή
surface	επιφάνεια
total	ποσό
ability	ικανότητα
act	πράξη
action	δράση
activity	απασχόληση
addition	συμπλήρωμα
amount	αριθμός
attack	επίθεση
attempt	κόπος, προσπάθεια
attitude	στάση
back	πίσω πλευρά
behavior	συμπεριφορά
bit	κομματάκι
blow	χτύπημα
break	διάλειμμα
campaign	εκστρατεία
case	περίπτωση
chance	ευκαιρία
change	αλλαγή
choice	επιλογή
condition	κατάσταση
connection	λογισμικό σύνδεσης
connection	σύνδεση
crack	ράγισμα
crush	ζούπισμα
cut	κόψιμο
damage	βλάβη
danger	κίνδυνος
death	θάνατος, νεκρός
decoration	στολίδι
defense	άμυνα
destruction	καταστροφή
detail	λεπτομέρια
dominance	κυριαρχία
drop	σταγόνα
duty	καθήκον
effort	κόπος
fall	πέσιμο
feature	χαρακτηριστικό
fight	μάχη
front	πρόσοψη
hit	χτύπημα
hole	τρύπα
increase	ανάπτυξη
increase	αύξηση
internet	διαδίκτυο
jolt	δόνηση
kick	κλωτσιά
kind	είδος
knot	κόμβος
list	κατάλογος
majority	πλειοψηφία, πλειονότημα
matter	πράγμα
mind	πνεύμα
operation	λειτουργία
opposite	αντίθετο
outburst	ξέσπασμα
part	μέρος
part	μέρος
personality	χαρακτήρας
piece	κομμάτι
place	μέρος
position	τοποθεσία
power	ενέργεια
practice	ιατρείο
project	καθήκον, εργασία
property	ιδιότητα
quality	ποιότητα
quiet	ήσυχη
reach	εμβέλεια
report	έκθεση, δελτίο
responsibility	ευθύνη
rest	ανάπαυση
return	επιστροφή
rise	ανατολή
risk	κίνδυνος
seat	θέση
serial	σειρά
set	σειρά
silence	σιωπή
situation	κατάσταση
slice	κομμάτι
state	κατάσταση
step	βήμα
stop	στάση
taste	γεύση
thing	πράγμα
top	ακμή
touch	άγγιγμα
treatment	μεταχείριση
tremble	τρεμούλα
trick	κόλπο
type	είδος
use	χρήση
way	τρόπος
wear	φθορά
whole	όλος
will	θέληση
wish	επιθυμία
afternoon	απόγευμα
age	ηλικία
April	Απρίλιος
August	Αύγουστος
autumn	φθινόπωρο
beginning	έναρξη
century	αιώνας
date	ημερομηνία
day	ημέρα
December	Δεκέμβριος
end	τέλος
evening	βράδυ
February	Φεβρουάριος
Friday	Παρασκευή
future	μέλλον
hour	ώρα
January	Ιανουάριος
July	Ιούλιος
June	Ιούνιος
May	Μάιος
midnight	μεσάνυχτα
minute	λεπτό
moment	στιγμή
moment	στιγμή
Monday	Δευτέρα
month	μήνας
morning	πρωί
night	νύχτα
November	Νοέμβριος
now	τώρα
October	Οκτώβριος
past	παρελθόν
pause	παύση
period	περίοδος
present	παρόν
Saturday	Σάββατο
season	εποχή
second	δευτερόλεπτο
September	Σεπτέμβριος
spring	άνοιξη
summer	καλοκαίρι
Sunday	Κυριακή
Thursday	Πέμπτη
today	σήμερα
tomorrow	αύριο
Tuesday	Τρίτη
Wednesday	Τετάρτη
week	εβδομάδα
weekend	σαββατοκύριακο
while	λίγη ώρα
winter	χειμώνας
year	χρόνος
art	τέχνη
artist	καλλιτέχνης
band	ορχήστρα
brush	βούρτσα
color	χρώμα
concert	συναυλία
design	σχέδιο
diversity	διαφορετικότητα
entertainment	διασκέδαση
hit	σουξέ
image	εικόνα
ink	μελάνι
invention	εφεύρεση
manner	τρόπος
movie	ταινία, έργο
museum	μουσείο
music	μουσική
note	νότα
orchestra	ορχήστρα
paint	μπογιά
painting	πινακάς
paper	χαρτί
pen	στυλό
pencil	μολύβι
picture	εικόνα
poem	ποίημα
poetry	ποίηση
rhythm	ρυθμός
shape	μορφή
singer	τραγουδιστής
song	τραγούδι
stage	σκηνή
style	ύφος, στιλ
vogue	μόδα
account	λογαριασμός
advantage	πλεονέκτημα
advertisement	αγγελία
advice	συμβουλή
agreement	συμφωνία
attention	προσοχή
authority	αυθεντία
banknote	χαρτονόμισμα
bargain	εμπόριο
brand	μάρκα
business	επιχείρηση
businesswoman	επιχειρηματίας
capital	κεφάλαιο
change	ψιλά
cheque	επιταγή
committee	επιτροπή
company	εταιρεία
competition	συναγωνισμός
complaint	κατηγορία
contract	συμβόλαιο
copy	αντιγραφή
cost	κόστος
council	συμβούλιο
course	τμήμα
customer	πελάτης
demand	ανάγκη
department	τμήμα
difficulty	δυσκολία
director	διευθυντής
economy	οικονομία
environment	περιβάλλον
experience	εμπειρία
firm	επιχείρηση
form	έντυπο
group	ομάδα
help	βοήθεια
holiday	διακοπές
income	εισόδημα
industry	βιομηχανία
insurance	ασφάλεια
interest	τόκος
invoice	τιμολόγιο
job	δουλειά
law	νόμος
leave	άδεια
loss	απώλεια
management	διαχείριση
mark	σήμα, έμβλημα
market	αγορά
material	υλικό
mean	μέσος
meeting	συνάντηση
money	χρήμα
occupation	εργασία
offer	προσφορά
office	γραφείο
officer	δημόσιος υπάλληλος
operation	λειτουργία
owner	ιδιοκτήτης
package	δέμα
payment	πληρωμή
plan	σχέδιο, πλάνο
price	τιμή
problem	πρόβλημα
product	προϊόν
profit	κέρδος
property	ιδιοκτησία
rate	ταρίφα
rest	κατάλοιπο
reward	αμοιβή
right	δικαίωμα
sale	πώληση
section	μέρος, τμήμα
section	τμήμα
service	υπηρεσία
share	μετοχή
shop	μαγαζί
show	παράσταση
skill	επιδεξιότητα
staff	προσωπικό
structure	δομή, διάρθρωση
success	επιτυχία
support	βοήθεια
table	πίνακας
tax	φόρος
team	ομάδα
trade	εμπόριο
value	αξία
work	δουλειά
worker	εργάτης
announcement	ανακοίνωση
answer	απάντηση
approval	έγκριση
argument	επιχείρημα
book	βιβλίο
call	κλήση
character	χαρακτήρας
controversy	λογομαχία
cry	κραυγή
data	στοιχεία, δεδομένα
decision	απόφαση
dictionary	λεξικό
discussion	συζήτηση
doubt	αβεβαιότητα
experience	εμπειρία
feeling	αίσθημα
humor	χιούμορ
idea	σκέψη
information	πληροφορία
interest	ενδιαφέρον
interview	συνέντευξη
language	γλώσσα
language	γλώσσα
letter	γράμμα
letter	γράμμα
lie	ψέμα
look	ματιά
magazine	περιοδικό
mail	ταχυδρομείο
memory	μνήμη
memory	ανάμνηση
mistake	λάθος
name	όνομα
newspaper	εφημερίδα
note	σημείωση
number	αριθμός
opinion	γνώμη
page	σελίδα
pronunciation	προφορά
proposal	πρόταση
protest	διαμαρτυρία
question	ερώτημα
reaction	αντίδραση
reason	αιτία
relation	σχέση
request	αίτημα
secret	μυστικό
sentence	πρόταση
sign	σημείο
speech	λόγος
spelling	ορθογραφία
standard	κριτήριο
statement	δήλωση
subject	θέμα
suggestion	πρόταση
voice	φωνή
word	λέξη
writing	γραφή
good day	καλημέρα (kaliméra)
good luck	καλή τύχη (kalí týchi!)
good morning	καλημέρα
hello	για σας, για σου
how are you	τι κάνεις, (ti káneis?)
many thanks	ευχαριστώ πολύ (efxaristó polí)
no	όχι
thank you very much	ευχαριστώ πολύ
yes	ναι
Britain	Βρετανία
China	Κίνα
Czech Republic	Τσεχία, Δημοκρατία της Τσεχίας
France	Γαλλία
Germany	Γερμανία, Ομοσπονδιακή δημοκρατία της Γερμανίας
India	Ινδία
Italy	Ιταλία
Japan	Ιαπωνία
Spain	Βασίλειο της Ισπανίας
United States of America	Ηνωμένες Πολιτείες της Αμερικής
class	τάξη
education	παιδεία
education	ανατροφή
education	εκπαίδευση
examination	διαγώνισμα
grade	βαθμός
knowledge	γνώση
student	σπουδαστής, μαθητής
teacher	δάσκαλος
training	εκπαίδευση
fear	φόβος
hate	μίσος
love	αγάπη
pleasure	ευχαρίστηση
promise	ελπίδα
shock	σοκ
care	φροντίδα
cold	κρυολόγημα
cough	βήχας
disease	ασθένεια
doctor	γιατρός
health	υγεία
menstruation	έμμηνος ρήση
nurse	νοσοκόμα
operation	εγχείρηση
pain	πόνος
patient	ασθενής
stitch	βελονιά
blade	λεπίδα
board	σανίδα
card	κάρτα
chain	αλυσίδα
club	ρόπαλο
cover	καπάκι
feather	φτερό, πούπουλο
flag	σημαία
frame	κορνίζα
handle	χερούλι, λαβή
menu	κατάλογος
nut	παξιμάδι
pin	καρφίτσα
pipe	σωλήνας
postage	ταχυδρομικά τέλη
present	δώρο
sail	ιστίο
scroll	ρολό
seed	σπόρος
stick	ραβδί
stone	πέτρα
ticket	εισιτήριο
wheel	ρόδα
wire	καλώδιο
balance	ισορροπία
bulk	πλήθος
charge	ηλεκτρικό φορτίο
energy	ενέργεια
light	φως
mass	μάζα
measurement	μέτρηση
mirror	καθρέφτης
movement	κίνηση
pressure	πίεση
process	διαδικασία
size	μέγεθος
sound	ήχος
steam	ατμός
strength	δύναμη, σθένος
time	χρόνος
unit	μονάδα
weight	βάρος
boyfriend	φίλος
date	ραντεβού
girlfriend	φίλη
guest	καλεσμένος
honey	καρδούλα
kiss	φιλί
party	πάρτι
sex	σεξ
smile	χαμόγελο
surprise	έκπληξη
visit	επίσκεψη
alternative	εναλλακτική λύση
biology	βιολογία
cause	αιτία
chemistry	χημεία
comparison	σύγκριση
consequence	συνέπεια, αποτέλεσμα
control	έλεγχος
discipline	πειθαρχία
discovery	ανακάλυψη
discovery	επιτυχία
event	γεγονός
evidence	απόδειξη
example	παράδειγμα
fact	γεγονός
issue	ζήτημα
kernel	ουσία
method	μέθοδος
model	μοντέλο
phase	φάση
procedure	διαδικασία
production	παραγωγή
program	πρόγραμμα
project	πρόγραμμα
range	εμβέλια
research	έρευνα
research	είσπραξη % εισβολή % έρευνα
science	επιστήμη
society	κοινωνία
system	σύστημα
technology	τεχνολογία
theory	θεωρία
trend	τάση
trouble	πρόβλημα
user	χρήστης
army	στρατός
base	βάση
club	λέσχη
company	εταιρία, συντροφιά
contest	διαγωνισμός
country	χώρα
court	δικαστήριο
crime	έγκλημα
culture	πολιτισμός
democracy	δημοκρατία
dominion	κυριαρχία
election	εκλογή
existence	ύπαρξη
female	γυναίκα
government	κυβέρνηση
history	ιστορία
individual	άτομο
institution	ίδρυμα
king	βασιλιάς
male	άνδρας % άντρας
member	μέλος
nation	έθνος
news	ειδήσεις
noise	θόρυβος, σαματάς
order	επιταγή
organization	οργάνωση
pass	ταυτότητα
passport	διαβατήριο
peace	ειρήνη
people	άνθρωποι, κόσμος
police	αστυνομία
policy	πολιτική
population	πληθυσμός
public	κοινό
punishment	τιμωρία
religion	πίστη
religion	θρησκεία
state	κράτος
title	τίτλος
union	ένωση
war	πόλεμος
will	βουλή
will	διαθήκη
award	διάκριση
ball	μπάλα
baseball	μπέιζμπολ
bike	ποδήλατο
championship	πρωτάθλημα
competitor	ανταγωνιστής
cup	κύπελλο
football	ποδόσφαιρο
game	παιχνίδι
goal	γκολ
goal	προορισμός
gold	χρυσάφι
golf	γκολφ
jump	πήδημα
match	αγώνας
player	παίχτης
record	ρεκόρ
silver	άργυρος
tennis	τένις
throw	βολή, ρίψη
win	νίκη
bell	καμπάνα
button	κουμπί
gun	τουφέκι
hammer	σφυρί
hook	γάντζος
key	κλειδί
lock	κλειδαριά
match	σπίρτο
nail	καρφί
needle	βελόνα
pump	αντλία
rope	σκοινί
scissors	ψαλίδι
spring	φτερό
stamp	σφραγίδα
whip	μάστιγα, μαστίγιο
cloud	σύννεφο
dew	δροσιά
fog	ομίχλη
frost	παγωνιά
rain	βροχή
rainbow	ουράνιο τόξο
snow	χιόνι
storm	θύελλα
thunder	βροντή
wind	άνεμος