Greek	﻿English
αγόρι	boy
αδελφός	brother
παιδί	child
κόρη	daughter
θάνατος	death
οικογένεια	family
πατέρας	father
φίλος	friend
κοπέλα	girl
παππούς	grandfather
άνθρωπος	human
σύζυγος	husband
βίος	life
άνδρας	man
γάμος	marriage
μητέρα	mother
γείτονας	neighbor
γονιός	parent
άτομο	person
σχέση	relationship
αδερφή	sister
γιος	son
τελετή γάμου	wedding
γάμος	wedding
σύζυγος	wife
γυναίκα	woman
μπίρα	beer
καφές	coffee
ποτό	drink
γάλα	milk
τσάι	tea
νερό	water
κρασί	wine
ψωμί	bread
πρωινό	breakfast
βούτυρο	butter
κέικ	cake
τυρί	cheese
σοκολάτα	chocolate
αυγό	egg
τροφή	food
καρπός	fruit
μεσημεριανό	lunch
γεύμα	meal
κρέας	meat
λάδι	oil
ρύζι	rice
σαλάτα	salad
αλάτι	salt
σάντουιτς	sandwich
σάλτσα	sauce
σούπα	soup
ζάχαρη	sugar
γλυκό % γλυκά	sweet
μήλο	apple
βερίκοκο	apricot
μπανάνα	banana
βατόμουρο	blackberry
κεράσι	cherry
λεμόνι	lemon
καρύδι	nut
πορτοκάλι	orange
ροδάκινο	peach
αχλάδι	pear
ανανάς	pineapple
δαμάσκηνο	plum
σμέουρο	raspberry
φράουλα	strawberry
φασόλι	bean
λάχανο	cabbage
καρότο	carrot
αγγούρι	cucumber
σκόρδο	garlic
ελιά	olive
κρεμμύδι	onion
παστινάκι	parsnip
μπιζέλι	pea
πατάτα	potato
ραπάνι	radish
ντομάτα	tomato
διεύθυνση	address
μπάνιο	bathroom
υπνοδωμάτιο	bedroom
τούβλο	brick
πόρτα	door
πάτωμα	floor
όροφος	floor
γκαράζ	garage
κήπος	garden
αυλόπορτα	gate
χολ	hall
σπίτι	home
σπίτι	house
κουζίνα	kitchen
στέγη	roof
δωμάτιο	room
ντους	shower
σκαλοπάτι	step
τουαλέτα	toilet
τοίχος	wall
πηγάδι	well
παράθυρο	window
κρεβάτι	bed
χαλί	carpet
καρέκλα	chair
ντουλάπι	cupboard
κουρτίνα, αυλαία	curtain
γραφείο	desk
έπιπλο	furniture
έδρα	seat
ράφι	shelf
νεροχύτης	sink
τραπέζι	table
τσάντα	bag
μπότα	boot
ύφασμα	cloth
ρούχα	clothing
παλτό	coat
γιακάς	collar
καπέλο	hat
σακάκι	jacket
κόσμημα	jewel
δαχτυλίδι	ring
πουκάμισο	shirt
παπούτσι	shoe
φούστα	skirt
κάλτσα	sock
βαλίτσα	suitcase
γραβάτα	tie
ηθοποιός	actor
ηθοποιός	actress
επιχειρηματίας	businessman
ειδικός	expert
στρατηγός	general
δημοσιογράφος	journalist
δικαστής	judge
ηγέτης	leader
υπουργός	minister
μουσικός	musician
φωτογράφος	photographer
πιλότος	pilot
αστυνομικός	policeman
πολιτικός	politician
πρόεδρος	president
επαγγελματίας	professional
αντιπρόσωπος	representative
ναύτης	sailor
επιστήμονας	scientist
γραμματέας	secretary
υπηρέτης	servant
στρατιώτης	soldier
συγγραφέας	writer
αεροδρόμιο	airport
τράπεζα	bank
γέφυρα	bridge
κτήριο	building
πρωτεύουσα	capital
πύργος	castle
ναός	church
κινηματογράφος	cinema
πόλη	city
εργοστάσιο	factory
διαμέρισμα	flat
νοσοκομείο	hospital
ξενοδοχείο	hotel
βιβλιοθήκη	library
πάρκο	park
φυλακή	prison
εστιατόριο	restaurant
δρόμος	road
σχολείο	school
σταθμός	station
δρόμος	street
κατασκευή	structure
υπόγειος σιδηρόδρομος	subway
σούπερ μάρκετ	supermarket
θέατρο	theater
πόλη	town
πανεπιστήμιο	university
χωριό	village
ατύχημα	accident
βάρκα	boat
λεωφορείο	bus
αυτοκίνητο	car
στροφή	curve
τρένο εξπρές	express
πέταγμα	flight
διαδρομή	journey
επιβάτης	passenger
αεροπλάνο	plane
πλοίο	ship
γλίστρημα	skid
σιδηροτροχιά	track
τρένο	train
μεταφορά	transport
αέρας	air
ζώο	animal
κλαδί	branch
εξέλιξη	evolution
αγρόκτημα	farm
αγρός	field
φλόγα	fire
λουλούδι	flower
δάσος	forest
γρασίδι	grass
φύλλωμα	leaf
ζωή	life
κεραυνός	lightning
υγρασία	moisture
φύση	nature
φυτό	plant
ρίζα	root
φύλο	sex
ουρανός	sky
ύπνος	sleep
άρωμα	smell
καπνός	smoke
πηγή	spring
μίσχος, κοτσάνι	stem
ρεύμα	stream
δέντρο	tree
κύμα	wave
καιρός	weather
κόσμος	world
όχθη	bank
παραλία	beach
ρεύμα	current
κατεύθυνση	direction
Γη	Earth
ανατολή	east
υψόμετρο	height
λόφος	hill
νησί	island
λίμνη	lake
ξηρά	land
χάρτης	map
φεγγάρι	Moon
βοριάς, βορράς	north
πεδιάδα	plain
διοικητική περιφέρεια	region
ποταμός	river
θάλασσα	sea
νότος	south
διάστημα	space
αστέρι	star
ήλιος	sun
δύση	west
οξύ	acid
χημική ουσία	chemical
element στοιχείο	chemical
κάρβουνο	coal
βαμβάκι	cotton
σκόνη	dust
γη	earth
λίπος	fat
γυαλί	glass
κόλλα	glue
κόκκος	grain
πάγος	ice
σίδερο	iron
δέρμα	leather
υγρό	liquid
ύλη	matter
element μέταλλο	metallic
πετρέλαιο	oil
δηλητήριο	poison
σκόνη	powder
άμμος	sand
μετάξι	silk
σαπούνι	soap
ατσάλι	steel
ξύλο	wood
μαλλί	wool
τσάντα	bag
καλάθι	basket
μπουκάλι, φιάλη	bottle
κουτί	box
κονσέρβα	can
φλιτζάνι	cup
συρτάρι	drawer
φάκελος	envelope
ποτήρι	glass
πιάτο	plate
κάμερα	camera
φωτογραφική μηχανή	camera
phone κινητό τηλέφωνο	cellular
ρολόι	clock
ηλεκτρονικός υπολογιστής	computer
ασανσέρ	elevator
κινητήρας	engine
όργανο	instrument
μηχάνημα	machine
φούρνος	oven
τηλεόραση	television
ρολόι	watch
πρόσθεση	addition
γωνία	angle
έκταση	area
μέση	center
κύκλος	circle
τόξο	curve
βαθμός	degree
επίπεδο	degree
διαφορά	difference
απόσταση	distance
διαίρεση	division
άκρη	edge
στοιχείο	element
λειτουργία	function
μισό	half
όριο	limit
γραμμή	line
δίχτυ	net
σειρά	order
εξωτερική εμφάνιση	outside
ποσοστό	percent
τελεία	point
σκοπός	purpose
αποτέλεσμα	result
ρίζα	root
κανονισμός	rule
σύνολο	set
πλευρό	side
τετράγωνο	square
τετράγωνο	square
ανταλλαγή	substitution
επιφάνεια	surface
ποσό	total
ικανότητα	ability
πράξη	act
δράση	action
απασχόληση	activity
συμπλήρωμα	addition
αριθμός	amount
επίθεση	attack
κόπος, προσπάθεια	attempt
στάση	attitude
πίσω πλευρά	back
συμπεριφορά	behavior
κομματάκι	bit
χτύπημα	blow
διάλειμμα	break
εκστρατεία	campaign
περίπτωση	case
ευκαιρία	chance
αλλαγή	change
επιλογή	choice
κατάσταση	condition
λογισμικό σύνδεσης	connection
σύνδεση	connection
ράγισμα	crack
ζούπισμα	crush
κόψιμο	cut
βλάβη	damage
κίνδυνος	danger
θάνατος, νεκρός	death
στολίδι	decoration
άμυνα	defense
καταστροφή	destruction
λεπτομέρια	detail
κυριαρχία	dominance
σταγόνα	drop
καθήκον	duty
κόπος	effort
πέσιμο	fall
χαρακτηριστικό	feature
μάχη	fight
πρόσοψη	front
χτύπημα	hit
τρύπα	hole
ανάπτυξη	increase
αύξηση	increase
διαδίκτυο	internet
δόνηση	jolt
κλωτσιά	kick
είδος	kind
κόμβος	knot
κατάλογος	list
πλειοψηφία, πλειονότημα	majority
πράγμα	matter
πνεύμα	mind
λειτουργία	operation
αντίθετο	opposite
ξέσπασμα	outburst
μέρος	part
μέρος	part
χαρακτήρας	personality
κομμάτι	piece
μέρος	place
τοποθεσία	position
ενέργεια	power
ιατρείο	practice
καθήκον, εργασία	project
ιδιότητα	property
ποιότητα	quality
ήσυχη	quiet
εμβέλεια	reach
έκθεση, δελτίο	report
ευθύνη	responsibility
ανάπαυση	rest
επιστροφή	return
ανατολή	rise
κίνδυνος	risk
θέση	seat
σειρά	serial
σειρά	set
σιωπή	silence
κατάσταση	situation
κομμάτι	slice
κατάσταση	state
βήμα	step
στάση	stop
γεύση	taste
πράγμα	thing
ακμή	top
άγγιγμα	touch
μεταχείριση	treatment
τρεμούλα	tremble
κόλπο	trick
είδος	type
χρήση	use
τρόπος	way
φθορά	wear
όλος	whole
θέληση	will
επιθυμία	wish
απόγευμα	afternoon
ηλικία	age
Απρίλιος	April
Αύγουστος	August
φθινόπωρο	autumn
έναρξη	beginning
αιώνας	century
ημερομηνία	date
ημέρα	day
Δεκέμβριος	December
τέλος	end
βράδυ	evening
Φεβρουάριος	February
Παρασκευή	Friday
μέλλον	future
ώρα	hour
Ιανουάριος	January
Ιούλιος	July
Ιούνιος	June
Μάιος	May
μεσάνυχτα	midnight
λεπτό	minute
στιγμή	moment
στιγμή	moment
Δευτέρα	Monday
μήνας	month
πρωί	morning
νύχτα	night
Νοέμβριος	November
τώρα	now
Οκτώβριος	October
παρελθόν	past
παύση	pause
περίοδος	period
παρόν	present
Σάββατο	Saturday
εποχή	season
δευτερόλεπτο	second
Σεπτέμβριος	September
άνοιξη	spring
καλοκαίρι	summer
Κυριακή	Sunday
Πέμπτη	Thursday
σήμερα	today
αύριο	tomorrow
Τρίτη	Tuesday
Τετάρτη	Wednesday
εβδομάδα	week
σαββατοκύριακο	weekend
λίγη ώρα	while
χειμώνας	winter
χρόνος	year
τέχνη	art
καλλιτέχνης	artist
ορχήστρα	band
βούρτσα	brush
χρώμα	color
συναυλία	concert
σχέδιο	design
διαφορετικότητα	diversity
διασκέδαση	entertainment
σουξέ	hit
εικόνα	image
μελάνι	ink
εφεύρεση	invention
τρόπος	manner
ταινία, έργο	movie
μουσείο	museum
μουσική	music
νότα	note
ορχήστρα	orchestra
μπογιά	paint
πινακάς	painting
χαρτί	paper
στυλό	pen
μολύβι	pencil
εικόνα	picture
ποίημα	poem
ποίηση	poetry
ρυθμός	rhythm
μορφή	shape
τραγουδιστής	singer
τραγούδι	song
σκηνή	stage
ύφος, στιλ	style
μόδα	vogue
λογαριασμός	account
πλεονέκτημα	advantage
αγγελία	advertisement
συμβουλή	advice
συμφωνία	agreement
προσοχή	attention
αυθεντία	authority
χαρτονόμισμα	banknote
εμπόριο	bargain
μάρκα	brand
επιχείρηση	business
επιχειρηματίας	businesswoman
κεφάλαιο	capital
ψιλά	change
επιταγή	cheque
επιτροπή	committee
εταιρεία	company
συναγωνισμός	competition
κατηγορία	complaint
συμβόλαιο	contract
αντιγραφή	copy
κόστος	cost
συμβούλιο	council
τμήμα	course
πελάτης	customer
ανάγκη	demand
τμήμα	department
δυσκολία	difficulty
διευθυντής	director
οικονομία	economy
περιβάλλον	environment
εμπειρία	experience
επιχείρηση	firm
έντυπο	form
ομάδα	group
βοήθεια	help
διακοπές	holiday
εισόδημα	income
βιομηχανία	industry
ασφάλεια	insurance
τόκος	interest
τιμολόγιο	invoice
δουλειά	job
νόμος	law
άδεια	leave
απώλεια	loss
διαχείριση	management
σήμα, έμβλημα	mark
αγορά	market
υλικό	material
μέσος	mean
συνάντηση	meeting
χρήμα	money
εργασία	occupation
προσφορά	offer
γραφείο	office
δημόσιος υπάλληλος	officer
λειτουργία	operation
ιδιοκτήτης	owner
δέμα	package
πληρωμή	payment
σχέδιο, πλάνο	plan
τιμή	price
πρόβλημα	problem
προϊόν	product
κέρδος	profit
ιδιοκτησία	property
ταρίφα	rate
κατάλοιπο	rest
αμοιβή	reward
δικαίωμα	right
πώληση	sale
μέρος, τμήμα	section
τμήμα	section
υπηρεσία	service
μετοχή	share
μαγαζί	shop
παράσταση	show
επιδεξιότητα	skill
προσωπικό	staff
δομή, διάρθρωση	structure
επιτυχία	success
βοήθεια	support
πίνακας	table
φόρος	tax
ομάδα	team
εμπόριο	trade
αξία	value
δουλειά	work
εργάτης	worker
ανακοίνωση	announcement
απάντηση	answer
έγκριση	approval
επιχείρημα	argument
βιβλίο	book
κλήση	call
χαρακτήρας	character
λογομαχία	controversy
κραυγή	cry
στοιχεία, δεδομένα	data
απόφαση	decision
λεξικό	dictionary
συζήτηση	discussion
αβεβαιότητα	doubt
εμπειρία	experience
αίσθημα	feeling
χιούμορ	humor
σκέψη	idea
πληροφορία	information
ενδιαφέρον	interest
συνέντευξη	interview
γλώσσα	language
γλώσσα	language
γράμμα	letter
γράμμα	letter
ψέμα	lie
ματιά	look
περιοδικό	magazine
ταχυδρομείο	mail
μνήμη	memory
ανάμνηση	memory
λάθος	mistake
όνομα	name
εφημερίδα	newspaper
σημείωση	note
αριθμός	number
γνώμη	opinion
σελίδα	page
προφορά	pronunciation
πρόταση	proposal
διαμαρτυρία	protest
ερώτημα	question
αντίδραση	reaction
αιτία	reason
σχέση	relation
αίτημα	request
μυστικό	secret
πρόταση	sentence
σημείο	sign
λόγος	speech
ορθογραφία	spelling
κριτήριο	standard
δήλωση	statement
θέμα	subject
πρόταση	suggestion
φωνή	voice
λέξη	word
γραφή	writing
day καλημέρα (kaliméra)	good
luck καλή τύχη (kalí týchi!)	good
morning καλημέρα	good
για σας, για σου	hello
are you τι κάνεις, (ti káneis?)	how
thanks ευχαριστώ πολύ (efxaristó polí)	many
όχι	no
you very much ευχαριστώ πολύ	thank
ναι	yes
Βρετανία	Britain
Κίνα	China
Republic Τσεχία, Δημοκρατία της Τσεχίας	Czech
Γαλλία	France
Γερμανία, Ομοσπονδιακή δημοκρατία της Γερμανίας	Germany
Ινδία	India
Ιταλία	Italy
Ιαπωνία	Japan
Βασίλειο της Ισπανίας	Spain
States of America Ηνωμένες Πολιτείες της Αμερικής	United
τάξη	class
παιδεία	education
ανατροφή	education
εκπαίδευση	education
διαγώνισμα	examination
βαθμός	grade
γνώση	knowledge
σπουδαστής, μαθητής	student
δάσκαλος	teacher
εκπαίδευση	training
φόβος	fear
μίσος	hate
αγάπη	love
ευχαρίστηση	pleasure
ελπίδα	promise
σοκ	shock
φροντίδα	care
κρυολόγημα	cold
βήχας	cough
ασθένεια	disease
γιατρός	doctor
υγεία	health
έμμηνος ρήση	menstruation
νοσοκόμα	nurse
εγχείρηση	operation
πόνος	pain
ασθενής	patient
βελονιά	stitch
λεπίδα	blade
σανίδα	board
κάρτα	card
αλυσίδα	chain
ρόπαλο	club
καπάκι	cover
φτερό, πούπουλο	feather
σημαία	flag
κορνίζα	frame
χερούλι, λαβή	handle
κατάλογος	menu
παξιμάδι	nut
καρφίτσα	pin
σωλήνας	pipe
ταχυδρομικά τέλη	postage
δώρο	present
ιστίο	sail
ρολό	scroll
σπόρος	seed
ραβδί	stick
πέτρα	stone
εισιτήριο	ticket
ρόδα	wheel
καλώδιο	wire
ισορροπία	balance
πλήθος	bulk
ηλεκτρικό φορτίο	charge
ενέργεια	energy
φως	light
μάζα	mass
μέτρηση	measurement
καθρέφτης	mirror
κίνηση	movement
πίεση	pressure
διαδικασία	process
μέγεθος	size
ήχος	sound
ατμός	steam
δύναμη, σθένος	strength
χρόνος	time
μονάδα	unit
βάρος	weight
φίλος	boyfriend
ραντεβού	date
φίλη	girlfriend
καλεσμένος	guest
καρδούλα	honey
φιλί	kiss
πάρτι	party
σεξ	sex
χαμόγελο	smile
έκπληξη	surprise
επίσκεψη	visit
εναλλακτική λύση	alternative
βιολογία	biology
αιτία	cause
χημεία	chemistry
σύγκριση	comparison
συνέπεια, αποτέλεσμα	consequence
έλεγχος	control
πειθαρχία	discipline
ανακάλυψη	discovery
επιτυχία	discovery
γεγονός	event
απόδειξη	evidence
παράδειγμα	example
γεγονός	fact
ζήτημα	issue
ουσία	kernel
μέθοδος	method
μοντέλο	model
φάση	phase
διαδικασία	procedure
παραγωγή	production
πρόγραμμα	program
πρόγραμμα	project
εμβέλια	range
έρευνα	research
είσπραξη % εισβολή % έρευνα	research
επιστήμη	science
κοινωνία	society
σύστημα	system
τεχνολογία	technology
θεωρία	theory
τάση	trend
πρόβλημα	trouble
χρήστης	user
στρατός	army
βάση	base
λέσχη	club
εταιρία, συντροφιά	company
διαγωνισμός	contest
χώρα	country
δικαστήριο	court
έγκλημα	crime
πολιτισμός	culture
δημοκρατία	democracy
κυριαρχία	dominion
εκλογή	election
ύπαρξη	existence
γυναίκα	female
κυβέρνηση	government
ιστορία	history
άτομο	individual
ίδρυμα	institution
βασιλιάς	king
άνδρας % άντρας	male
μέλος	member
έθνος	nation
ειδήσεις	news
θόρυβος, σαματάς	noise
επιταγή	order
οργάνωση	organization
ταυτότητα	pass
διαβατήριο	passport
ειρήνη	peace
άνθρωποι, κόσμος	people
αστυνομία	police
πολιτική	policy
πληθυσμός	population
κοινό	public
τιμωρία	punishment
πίστη	religion
θρησκεία	religion
κράτος	state
τίτλος	title
ένωση	union
πόλεμος	war
βουλή	will
διαθήκη	will
διάκριση	award
μπάλα	ball
μπέιζμπολ	baseball
ποδήλατο	bike
πρωτάθλημα	championship
ανταγωνιστής	competitor
κύπελλο	cup
ποδόσφαιρο	football
παιχνίδι	game
γκολ	goal
προορισμός	goal
χρυσάφι	gold
γκολφ	golf
πήδημα	jump
αγώνας	match
παίχτης	player
ρεκόρ	record
άργυρος	silver
τένις	tennis
βολή, ρίψη	throw
νίκη	win
καμπάνα	bell
κουμπί	button
τουφέκι	gun
σφυρί	hammer
γάντζος	hook
κλειδί	key
κλειδαριά	lock
σπίρτο	match
καρφί	nail
βελόνα	needle
αντλία	pump
σκοινί	rope
ψαλίδι	scissors
φτερό	spring
σφραγίδα	stamp
μάστιγα, μαστίγιο	whip
σύννεφο	cloud
δροσιά	dew
ομίχλη	fog
παγωνιά	frost
βροχή	rain
ουράνιο τόξο	rainbow
χιόνι	snow
θύελλα	storm
βροντή	thunder
