English	Croatian
curve	krivina
express	brzi vlak
flight	let
journey	putovanje
passenger	putnik
plane	zrakoplov
ship	brod
track	šine
train	vlak
air	zrak
animal	životinja
branch	grana
evolution	razvoj
farm	farma
field	polje
fire	plamen
flower	cvijet
forest	šuma
grass	trava
leaf	list
life	život
lightning	munja
moisture	vlažnost
nature	priroda
plant	biljka
root	korijen
sex	seks
sky	nebo
sleep	spavanje
smell	miris
smoke	isparina
spring	izvor
stem	stabljika
stream	tok
tree	stablo
weather	vrijeme
world	svijet
bank	nasip
beach	plaža
direction	smjer
Earth	Zemlja
east	istok
height	nadmorska visina
island	otok
lake	jezero
land	tlo
map	zemljovid
Moon	prirodni satelit
north	sjeverni
plain	ravnica
region	oblast
river	rijeka
sea	more
south	jug
space	svemir
star	zvijezda
sun	zvijezda sa satelitima
west	zapad
acid	kiselina
chemical	kemija
chemical element	kemijski element
coal	ugljen
dust	prašina
earth	zemlja
fat	mast
glass	staklo
glue	ljepilo
ice	led
iron	željezo
leather	koža
liquid	tekućina
matter	tvar
metallic element	metal
oil	nafta
poison	otrov
powder	prašak
sand	pijesak
silk	svila
soap	sapun
steel	čelik
wood	drvo
wool	vuna
basket	košara
bottle	boca
box	kutija
cup	šalica
drawer	ladica
envelope	omotnica
glass	čaša
plate	tanjur
camera	kamera
camera	fotoaparat
cellular phone	mobilni telefon
clock	sat
computer	računalo
elevator	dizalo
engine	motor
instrument	alat
machine	stroj
oven	pećnica
television	televizor
watch	ručni sat
addition	dodavanje
angle	kut
area	površina
circle	krug
curve	zavoj
degree	stupanj
degree	razina
difference	razlika
distance	udaljenost
edge	rub
element	element
function	funkcija
half	polovica
limit	granica
line	crta
net	zamka
percent	posto
point	točka
purpose	funkcija
result	ishod
rule	propisan
set	skup
side	strana
square	kvadrat
surface	površina
total	iznos
ability	sposobnost
act	čin
activity	aktivnost
addition	dodatak
amount	količina
attack	napad
attempt	pokušaj
attitude	stav
back	stražnji dio
behavior	način ponašanja
bit	komadić
blow	udarac
break	predah
campaign	ratni pohod
case	okolnost
chance	prilika
change	promjena
choice	izbor
condition	stanje
connection	poveznik
crack	pukotina
cut	sječa
damage	šteta
danger	opasnost
death	smrt
decoration	ukras
defense	obrana
destruction	uništavanje
dominance	moć
drop	kap
duty	dužnost
effort	trud
fall	politički
feature	značajka
fight	borba
front	naslovnica
hit	udarac
hole	rupa
increase	rast
internet	internet
kick	udarac nogom
kind	vrsta
knot	čvor
list	popis
majority	većina
matter	sadržaj
mind	pamet
operation	u tijeku
opposite	suprotnost
outburst	provala
part	komad
part	dijeliti
piece	dio
place	stanovito mjesto
position	mjesto
power	moć
practice	praksa
project	zadatak
property	svojstvo
quality	kakvoća
quiet	vedrina
report	izvješće
responsibility	dužnost
rest	mirnoća
return	povratak
rise	uspon
risk	opasnost
seat	mjesto
set	komplet
silence	tišina
situation	stanje
slice	komadić
state	stanje
step	jeka koraka
taste	naklonost
thing	predmet
top	vrhunac
touch	dodir
treatment	liječenje
trick	lukavština
type	tip
use	korištenje
way	način
whole	cjelina
wish	želja
afternoon	poslije podne
age	starost
April	Travanj
August	kolovoz
autumn	jesen
beginning	početak
century	stoljeće
date	datum
day	dan
December	Prosinac
evening	večer
February	Veljača
Friday	Petak
future	budućnost
hour	sat
January	Siječanj
July	Srpanj
June	Lipanj
May	svibanj
midnight	ponoć
minute	minuta
moment	moment
moment	trenutak
Monday	Ponedjeljak
month	mjesec
morning	jutro
night	noc
November	Studeni
now	sada
October	Listopad
past	prošlost
pause	prekid
period	doba
Saturday	Subota
season	sezona
second	sekunda
September	Rujan
spring	proljeće
summer	ljeto
Sunday	Nedjelja
Thursday	Četvrtak
tomorrow	sutra
Tuesday	Utorak
Wednesday	Srijeda
week	tjedan
weekend	vikend
while	neko vrijeme
winter	zima
year	godina
art	umjetnost
artist	umjetnik
band	glazbena skupina
brush	četka
color	boje
concert	koncert
design	nacrt
diversity	raznovrsnost
entertainment	zabava
hit	pogodak
image	glas
ink	tinta
invention	pronalazak
manner	držanje
movie	tanki sloj
museum	muzej
music	glazba
note	tipka
orchestra	orkestar
paint	nalič
painting	slika
paper	papir
pen	nalivpero
pencil	olovka
picture	odraz
poetry	poezija
rhythm	ritam
shape	oblik
singer	pjevač
song	pjesma
stage	pozornica
style	stil
vogue	moda
account	račun
advantage	prednost
advertisement	oglas
advice	savjet
agreement	ugovor
attention	pozor
authority	ovlaštenje
banknote	novčanica
bargain	pogodba
brand	marka proizvoda
business	firma
capital	kapital
change	sitniš
cheque	ček
committee	odbor
company	trgovačko društvo
competition	natjecanje
complaint	teret
contract	utanačenje
council	vijeće
course	razred
customer	kupac
demand	potrebe
department	odsjek
difficulty	poteškoća
director	upravitelj
economy	gospodarstvo
environment	okoliš
experience	iskustvo
firm	tvrtka
form	formular
group	skupina
help	pomoć
holiday	godišnji odmor
income	prihod
industry	industrija
interest	korist
invoice	izvješće
job	posao
law	zakon
leave	dopust
loss	gubitak
management	vodstvo
mark	oznaka
market	tržište
material	materijal
mean	sredina
meeting	sastanak
money	novac
occupation	zanimanje
offer	ponuda
office	kancelarija
officer	javni službenik
owner	posjednik
package	paket
payment	isplata
plan	nacrt
price	cijena
problem	poteškoća
profit	profit
property	svojstvo
rate	stopa
rest	ostatak
reward	nagrada
right	pravo na
sale	prodaja
section	divizija
section	odjeljenje
service	usluga
share	udio
shop	dućan
show	predstava
skill	spretnost
staff	osoblje
structure	struktura
success	uspjeh
support	potpora
table	tablica
tax	porez
team	momčad
trade	trgovina
value	vrijednost
work	rad
worker	manualni radnik
announcement	najava
answer	odgovor
approval	odobrenje
argument	argument
book	tekst
call	poziv
character	slovo
controversy	svađa
cry	zov
data	podaci
decision	odluka
dictionary	rječnik
discussion	diskusija
doubt	nesigurnost
experience	iskustvo
feeling	osjećaj
humor	raspoloženje
idea	misao
information	informacija
interest	interes
interview	intervju
language	jezik
language	jezik
letter	slovo
letter	pismo
lie	laž
look	pogled
magazine	časopis
mail	pošta
memory	pamćenje
memory	uspomena
mistake	pogriješiti
name	ime
newspaper	novine
note	bilješka
number	broj
opinion	mišljenje
page	stranica
pronunciation	izgovor
proposal	natječaj
protest	prosvjed
question	upit
reaction	reakcija
reason	razlog
relation	odnosi
request	molba
secret	tajnost
sentence	rečenica
speech	govor
spelling	sricanje
standard	kriterij
subject	tema
voice	glas
word	riječ
writing	pisanje
good day	dobar dan
hello	zdravo
how are you	kako si? (informal or singular), kako ste? (formal or plural)
many thanks	puno hvala
no	ne
thank you very much	hvala lijepa
yes	da
Britain	Britanija
China	Kina
Czech Republic	Češka Republika
France	Francuska Republika
Germany	Savezna Republika Njemačka
India	Republika Indija
Italy	Italija
Japan	Japan
Spain	Kraljevina Španjolska
United States of America	SAD
class	razred
education	obrazovanje
education	obrazovanje
education	obrazovanje
grade	ocjena
knowledge	znanje
student	student
teacher	učitelj
training	obuka
fear	strah
hate	mržnja
love	ljubav
pleasure	zadovoljstvo
shock	šok
care	briga
cold	prehlada
cough	kašalj
disease	bolest
doctor	liječnik
health	zdravlje
menstruation	mjesečnica
nurse	medicinska sestra
operation	operacija
pain	bol
patient	bolesnik
stitch	šav
blade	oštrica
chain	lanac
club	kijača
cover	kapak
feather	pero
flag	nacionalna zastava
frame	okvir
handle	kvaka
menu	meni
nut	matica vijka
pin	igla
pipe	cijev
postage	poštarina
sail	jedro
scroll	navoj
seed	sjeme
stick	štap
stone	kamenac
ticket	ulaznica
wheel	kotač
wire	žica
balance	uravnoteženost
bulk	mnoštvo
charge	naboj
energy	energija
light	svjetlost
mass	masa
measurement	mjerenje
mirror	zrcalo
movement	kretanje
pressure	pritisak
process	proces
size	veličina
sound	zvuk
steam	para
strength	snaga
time	vrijeme
unit	jedinična vrijednost
weight	težina
boyfriend	dečko
date	termin
girlfriend	djevojka
guest	gost
honey	dragi
kiss	ljubljenje
party	priredba
smile	osmijeh
surprise	iznenađenje
visit	posjet
alternative	alternativa
biology	biologija
cause	uzrok
chemistry	kemija
comparison	usporedba
consequence	posljedica
control	nadzor
discipline	disciplina
discovery	pronaći
event	događaj
evidence	dokaz
example	primjer
fact	činjenica
issue	predmet
kernel	bit
method	metoda
phase	faza
procedure	postupak
production	proizvodnja
program	program
project	projekt
range	opseg
research	znanstveno istraživanje
research	istraga
science	znanje
society	društvo
system	sustav
technology	tehnologija
theory	teorija
trend	sklonost
trouble	poteškoća
user	korisnik
army	vojska
base	osnova
club	klub
company	pratnja
contest	natjecanje
country	zemlja
court	sud
crime	kazneno
culture	kultura
democracy	republika
dominion	vlast
election	izbor
existence	postojanje
female	žena
government	vlada
history	povijest
individual	pojedinac
institution	institucija
king	kralj
male	muškarac
member	član
nation	narod
noise	buka
order	naredba
organization	organizacija
passport	putovnica
peace	mir
people	ljudi
police	redarstveni
policy	politika
population	stanovništvo
public	javnost
punishment	kazna
religion	vjera
religion	vjera
state	država
union	savez
war	rat
will	volja
will	oporuka
award	odlikovanje
ball	lopta
baseball	bejzbol
bike	bicikl
championship	prvenstvo
competitor	natjecatelj
cup	pehar
football	nogomet
game	igra
goal	gol
goal	odredište
gold	zlato
golf	golf
jump	skok
record	rekord
silver	srebro
tennis	tenis
throw	bacanje
win	pobjeda
bell	zvono
button	dugme
gun	puška
hammer	malj
hook	kvaka
key	ključ
match	žigica
nail	čavao
needle	igla za šivanje
pump	sisaljka
rope	konop
spring	opruga
stamp	sprava za žigosanje
whip	bič
cloud	oblak
dew	rosa
fog	magla
frost	mraz
rain	kiša
rainbow	duga
snow	snijeg
storm	oluja
thunder	grmljavina
wind	vjetar