Croatian	﻿English
kupina	blackberry
trešnja	cherry
limun	lemon
orah	nut
naranča	orange
breskva	peach
kruške	pear
ananas	pineapple
šljiva	plum
malina	raspberry
jagoda	strawberry
grah	bean
kupus	cabbage
mrkva	carrot
krastavac	cucumber
češnjak	garlic
maslina	olive
luk	onion
korijen	parsnip
krumpir	potato
rotkvica	radish
rajčica	tomato
adresa	address
kupaonica	bathroom
spavaća soba	bedroom
cigla	brick
vrata	door
pod	floor
kat	floor
garaža	garage
vrt	garden
ograda	gate
predvorje hotela	hall
kuca	home
kuca	house
kuhinja	kitchen
krov	roof
soba	room
tuš	shower
stepenica	step
toalet	toilet
zid	wall
bunar	well
prozor	window
krevet	bed
sag	carpet
stolac	chair
sobica	cupboard
zavjesa	curtain
pisaći stol	desk
pokućstvo	furniture
slivnik	sink
stol	table
torba	bag
čizma	boot
sukno	cloth
odjeća	clothing
kaput	coat
ovratnik	collar
šešir	hat
jakna	jacket
dragulj	jewel
prsten	ring
košulja	shirt
cipela	shoe
suknja	skirt
čarapa	sock
ručni kovčeg	suitcase
kravata	tie
glumac	actor
glumica	actress
poslovan čovjek	businessman
stručnjak	expert
general	general
novinar	journalist
sudac	judge
vođa	leader
ministar	minister
glazbenik	musician
fotograf	photographer
pilot	pilot
političar	politician
predsjednik	president
profesionalac	professional
trgovački putnik	representative
mornar	sailor
znanstvenik	scientist
tajnik	secretary
sluga	servant
vojnika	soldier
pisac	writer
uzletište	airport
banka	bank
most	bridge
građevina	building
glavni grad	capital
tvrđava	castle
crkva	church
kino	cinema
grad	city
tvornica	factory
stan	flat
bolnica	hospital
hotel	hotel
biblioteka	library
park	park
zatvor	prison
restoran	restaurant
cesta	road
škola	school
baza	station
ulica	street
sastav	structure
podzemna željeznica	subway
velika samoposluga	supermarket
kazalište	theater
grad	town
sveučilište	university
selo	village
nesreća	accident
čamac	boat
autobus	bus
automobil	car
krivina	curve
brzi vlak	express
let	flight
putovanje	journey
putnik	passenger
zrakoplov	plane
brod	ship
šine	track
vlak	train
zrak	air
životinja	animal
grana	branch
razvoj	evolution
farma	farm
polje	field
plamen	fire
cvijet	flower
šuma	forest
trava	grass
list	leaf
život	life
munja	lightning
vlažnost	moisture
priroda	nature
biljka	plant
korijen	root
seks	sex
nebo	sky
spavanje	sleep
miris	smell
isparina	smoke
izvor	spring
stabljika	stem
tok	stream
stablo	tree
vrijeme	weather
svijet	world
nasip	bank
plaža	beach
smjer	direction
Zemlja	Earth
istok	east
nadmorska visina	height
otok	island
jezero	lake
tlo	land
zemljovid	map
prirodni satelit	Moon
sjeverni	north
ravnica	plain
oblast	region
rijeka	river
more	sea
jug	south
svemir	space
zvijezda	star
zvijezda sa satelitima	sun
zapad	west
kiselina	acid
kemija	chemical
element kemijski element	chemical
ugljen	coal
prašina	dust
zemlja	earth
mast	fat
staklo	glass
ljepilo	glue
led	ice
željezo	iron
koža	leather
tekućina	liquid
tvar	matter
element metal	metallic
nafta	oil
otrov	poison
prašak	powder
pijesak	sand
svila	silk
sapun	soap
čelik	steel
drvo	wood
vuna	wool
košara	basket
boca	bottle
kutija	box
šalica	cup
ladica	drawer
omotnica	envelope
čaša	glass
tanjur	plate
kamera	camera
fotoaparat	camera
phone mobilni telefon	cellular
sat	clock
računalo	computer
dizalo	elevator
motor	engine
alat	instrument
stroj	machine
pećnica	oven
televizor	television
ručni sat	watch
dodavanje	addition
kut	angle
površina	area
krug	circle
zavoj	curve
stupanj	degree
razina	degree
razlika	difference
udaljenost	distance
rub	edge
element	element
funkcija	function
polovica	half
granica	limit
crta	line
zamka	net
posto	percent
točka	point
funkcija	purpose
ishod	result
propisan	rule
skup	set
strana	side
kvadrat	square
površina	surface
iznos	total
sposobnost	ability
čin	act
aktivnost	activity
dodatak	addition
količina	amount
napad	attack
pokušaj	attempt
stav	attitude
stražnji dio	back
način ponašanja	behavior
komadić	bit
udarac	blow
predah	break
ratni pohod	campaign
okolnost	case
prilika	chance
promjena	change
izbor	choice
stanje	condition
poveznik	connection
pukotina	crack
sječa	cut
šteta	damage
opasnost	danger
smrt	death
ukras	decoration
obrana	defense
uništavanje	destruction
moć	dominance
kap	drop
dužnost	duty
trud	effort
politički	fall
značajka	feature
borba	fight
naslovnica	front
udarac	hit
rupa	hole
rast	increase
internet	internet
udarac nogom	kick
vrsta	kind
čvor	knot
popis	list
većina	majority
sadržaj	matter
pamet	mind
u tijeku	operation
suprotnost	opposite
provala	outburst
komad	part
dijeliti	part
dio	piece
stanovito mjesto	place
mjesto	position
moć	power
praksa	practice
zadatak	project
svojstvo	property
kakvoća	quality
vedrina	quiet
izvješće	report
dužnost	responsibility
mirnoća	rest
povratak	return
uspon	rise
opasnost	risk
mjesto	seat
komplet	set
tišina	silence
stanje	situation
komadić	slice
stanje	state
jeka koraka	step
naklonost	taste
predmet	thing
vrhunac	top
dodir	touch
liječenje	treatment
lukavština	trick
tip	type
korištenje	use
način	way
cjelina	whole
želja	wish
poslije podne	afternoon
starost	age
Travanj	April
kolovoz	August
jesen	autumn
početak	beginning
stoljeće	century
datum	date
dan	day
Prosinac	December
večer	evening
Veljača	February
Petak	Friday
budućnost	future
sat	hour
Siječanj	January
Srpanj	July
Lipanj	June
svibanj	May
ponoć	midnight
minuta	minute
moment	moment
trenutak	moment
Ponedjeljak	Monday
mjesec	month
jutro	morning
noc	night
Studeni	November
sada	now
Listopad	October
prošlost	past
prekid	pause
doba	period
Subota	Saturday
sezona	season
sekunda	second
Rujan	September
proljeće	spring
ljeto	summer
Nedjelja	Sunday
Četvrtak	Thursday
sutra	tomorrow
Utorak	Tuesday
Srijeda	Wednesday
tjedan	week
vikend	weekend
neko vrijeme	while
zima	winter
godina	year
umjetnost	art
umjetnik	artist
glazbena skupina	band
četka	brush
boje	color
koncert	concert
nacrt	design
raznovrsnost	diversity
zabava	entertainment
pogodak	hit
glas	image
tinta	ink
pronalazak	invention
držanje	manner
tanki sloj	movie
muzej	museum
glazba	music
tipka	note
orkestar	orchestra
nalič	paint
slika	painting
papir	paper
nalivpero	pen
olovka	pencil
odraz	picture
poezija	poetry
ritam	rhythm
oblik	shape
pjevač	singer
pjesma	song
pozornica	stage
stil	style
moda	vogue
račun	account
prednost	advantage
oglas	advertisement
savjet	advice
ugovor	agreement
pozor	attention
ovlaštenje	authority
novčanica	banknote
pogodba	bargain
marka proizvoda	brand
firma	business
kapital	capital
sitniš	change
ček	cheque
odbor	committee
trgovačko društvo	company
natjecanje	competition
teret	complaint
utanačenje	contract
vijeće	council
razred	course
kupac	customer
potrebe	demand
odsjek	department
poteškoća	difficulty
upravitelj	director
gospodarstvo	economy
okoliš	environment
iskustvo	experience
tvrtka	firm
formular	form
skupina	group
pomoć	help
godišnji odmor	holiday
prihod	income
industrija	industry
korist	interest
izvješće	invoice
posao	job
zakon	law
dopust	leave
gubitak	loss
vodstvo	management
oznaka	mark
tržište	market
materijal	material
sredina	mean
sastanak	meeting
novac	money
zanimanje	occupation
ponuda	offer
kancelarija	office
javni službenik	officer
posjednik	owner
paket	package
isplata	payment
nacrt	plan
cijena	price
poteškoća	problem
profit	profit
svojstvo	property
stopa	rate
ostatak	rest
nagrada	reward
pravo na	right
prodaja	sale
divizija	section
odjeljenje	section
usluga	service
udio	share
dućan	shop
predstava	show
spretnost	skill
osoblje	staff
struktura	structure
uspjeh	success
potpora	support
tablica	table
porez	tax
momčad	team
trgovina	trade
vrijednost	value
rad	work
manualni radnik	worker
najava	announcement
odgovor	answer
odobrenje	approval
argument	argument
tekst	book
poziv	call
slovo	character
svađa	controversy
zov	cry
podaci	data
odluka	decision
rječnik	dictionary
diskusija	discussion
nesigurnost	doubt
iskustvo	experience
osjećaj	feeling
raspoloženje	humor
misao	idea
informacija	information
interes	interest
intervju	interview
jezik	language
jezik	language
slovo	letter
pismo	letter
laž	lie
pogled	look
časopis	magazine
pošta	mail
pamćenje	memory
uspomena	memory
pogriješiti	mistake
ime	name
novine	newspaper
bilješka	note
broj	number
mišljenje	opinion
stranica	page
izgovor	pronunciation
natječaj	proposal
prosvjed	protest
upit	question
reakcija	reaction
razlog	reason
odnosi	relation
molba	request
tajnost	secret
rečenica	sentence
govor	speech
sricanje	spelling
kriterij	standard
tema	subject
glas	voice
riječ	word
pisanje	writing
day dobar dan	good
zdravo	hello
are you kako si? (informal or singular), kako ste? (formal or plural)	how
thanks puno hvala	many
ne	no
you very much hvala lijepa	thank
da	yes
Britanija	Britain
Kina	China
Republic Češka Republika	Czech
Francuska Republika	France
Savezna Republika Njemačka	Germany
Republika Indija	India
Italija	Italy
Japan	Japan
Kraljevina Španjolska	Spain
States of America SAD	United
razred	class
obrazovanje	education
obrazovanje	education
obrazovanje	education
ocjena	grade
znanje	knowledge
student	student
učitelj	teacher
obuka	training
strah	fear
mržnja	hate
ljubav	love
zadovoljstvo	pleasure
šok	shock
briga	care
prehlada	cold
kašalj	cough
bolest	disease
liječnik	doctor
zdravlje	health
mjesečnica	menstruation
medicinska sestra	nurse
operacija	operation
bol	pain
bolesnik	patient
šav	stitch
oštrica	blade
lanac	chain
kijača	club
kapak	cover
pero	feather
nacionalna zastava	flag
okvir	frame
kvaka	handle
meni	menu
matica vijka	nut
igla	pin
cijev	pipe
poštarina	postage
jedro	sail
navoj	scroll
sjeme	seed
štap	stick
kamenac	stone
ulaznica	ticket
kotač	wheel
žica	wire
uravnoteženost	balance
mnoštvo	bulk
naboj	charge
energija	energy
svjetlost	light
masa	mass
mjerenje	measurement
zrcalo	mirror
kretanje	movement
pritisak	pressure
proces	process
veličina	size
zvuk	sound
para	steam
snaga	strength
vrijeme	time
jedinična vrijednost	unit
težina	weight
dečko	boyfriend
termin	date
djevojka	girlfriend
gost	guest
dragi	honey
ljubljenje	kiss
priredba	party
osmijeh	smile
iznenađenje	surprise
posjet	visit
alternativa	alternative
biologija	biology
uzrok	cause
kemija	chemistry
usporedba	comparison
posljedica	consequence
nadzor	control
disciplina	discipline
pronaći	discovery
događaj	event
dokaz	evidence
primjer	example
činjenica	fact
predmet	issue
bit	kernel
metoda	method
faza	phase
postupak	procedure
proizvodnja	production
program	program
projekt	project
opseg	range
znanstveno istraživanje	research
istraga	research
znanje	science
društvo	society
sustav	system
tehnologija	technology
teorija	theory
sklonost	trend
poteškoća	trouble
korisnik	user
vojska	army
osnova	base
klub	club
pratnja	company
natjecanje	contest
zemlja	country
sud	court
kazneno	crime
kultura	culture
republika	democracy
vlast	dominion
izbor	election
postojanje	existence
žena	female
vlada	government
povijest	history
pojedinac	individual
institucija	institution
kralj	king
muškarac	male
član	member
narod	nation
buka	noise
naredba	order
organizacija	organization
putovnica	passport
mir	peace
ljudi	people
redarstveni	police
politika	policy
stanovništvo	population
javnost	public
kazna	punishment
vjera	religion
vjera	religion
država	state
savez	union
rat	war
volja	will
oporuka	will
odlikovanje	award
lopta	ball
bejzbol	baseball
bicikl	bike
prvenstvo	championship
natjecatelj	competitor
pehar	cup
nogomet	football
igra	game
gol	goal
odredište	goal
zlato	gold
golf	golf
skok	jump
rekord	record
srebro	silver
tenis	tennis
bacanje	throw
pobjeda	win
zvono	bell
dugme	button
puška	gun
malj	hammer
kvaka	hook
ključ	key
žigica	match
čavao	nail
igla za šivanje	needle
sisaljka	pump
konop	rope
opruga	spring
sprava za žigosanje	stamp
bič	whip
oblak	cloud
rosa	dew
magla	fog
mraz	frost
kiša	rain
duga	rainbow
snijeg	snow
oluja	storm
grmljavina	thunder
