Hindi	﻿English
मेज [mej]	desk
फर्नीचर [pharneechar]	furniture
ताक [taak]	shelf
हौदी [haudee]	sink
मेज [mej]	table
थैला [thailaa]	bag
जूता [jootaa]	boot
कपड़ा [kapadaa]	cloth
वस्त्र [vastr]	clothing
कोट [kot]	coat
कालर [kaalar]	collar
टोपी [topee]	hat
जाकेट [jaaket]	jacket
मणि [mani]	jewel
अंगूठी [angoothee]	ring
कमीज	shirt
जूता [jootaa]	shoe
घाघरा [ghaagharaa]	skirt
मोजा [mojaa]	sock
सूटकेस [sootakes]	suitcase
टाई [taaee]	tie
वायु [vaayu]	air
प्राणी [praanee]	animal
शाखा [shaakhaa]	branch
क्रम विकास	evolution
खेत [khet]	farm
मैदान [maidaan]	field
लपट [lapat]	fire
फूल [phool]	flower
जंगल [jangal]	forest
घास [ghaas]	grass
पत्ता [pattaa]	leaf
जीवन [jeevan]	life
बिजली [bijalee]	lightning
नमी [namee]	moisture
प्रकृति	nature
वनस्पति [vanaspati]	plant
जड़ [jad]	root
आसमान [aasamaan]	sky
सोना [sonaa]	sleep
गन्ध [gandh]	smell
सोता	spring
डंठल [danthal]	stem
धारा [dhaaraa]	stream
पेड़ [ped]	tree
लहर [lahar]	wave
मौसम [mausam]	weather
धरती [dharatee]	world
हवाई अड्डा [havaaee addaa]	airport
बैंक [baink]	bank
सेतु [setu]	bridge
निर्माण [nirmaan]	building
राजधानी [raajadhaanee]	capital
दुर्ग [durg]	castle
गिरजाघर [girajaaghar]	church
चलचित्र [chalachitr]	cinema
शहर [shahar]	city
कारखाना [kaarakhaanaa]	factory
फ्लैट	flat
चिकित्सालय [chikitsaalay]	hospital
होटल	hotel
लायब्रेरी	library
उद्यान [udyaan]	park
कारागार [kaaraagaar]	prison
रेस्त्रां	restaurant
सड़क [sadak]	road
विद्यालय [vidyaalay]	school
केन्द्र [kendr]	station
स्ट्रीट का संक्षेप	street
निर्माण [nirmaan]	structure
सुरंग-रेल [surang-rel]	subway
रंगशाला [rangashaalaa]	theater
नगर [nagar]	town
विश्वविद्यालय [vishvavidyaalay]	university
दुर्घटना [durghatanaa]	accident
नाव [naav]	boat
बस [bas]	bus
मोटर-गाड़ी [motar-gaadee]	car
घुमाव [ghumaav]	curve
एक्सप्रेस गाड़ी	express
उड़ान [udaan]	flight
यात्रा [yaatraa]	journey
यात्री [yaatree]	passenger
वायुयान	plane
जहाज	ship
पटरी [pataree]	track
रेलगाड़ी [relagaadee]	train
यातायात [yaataayaat]	transport
अभिनेता [abhinetaa]	actor
अभिनेत्री [abhinetree]	actress
व्यापारी [vyaapaaree]	businessman
निपुण [nipun]	expert
सेनापति [senaapati]	general
पत्रकार [patrakaar]	journalist
निर्णायक [nirnaayak]	judge
पथ-प्रदर्शक	leader
शिक्षा मंत्री	minister
संगीतकार [sangeetakaar]	musician
छाया चित्रकार	photographer
विमान चालक [vimaan chaalak]	pilot
पुलिसमैन [pulisamain]	policeman
राजनीतिज्ञ [raajaneetigya]	politician
राष्ट्रपति [raashtrapati]	president
व्यवसायी [vyavasaayee]	professional
प्रतिनिधि [pratinidhi]	representative
नाविक [naavik]	sailor
वैज्ञानिक [vaigyaanik]	scientist
मुंशी	secretary
नौकर [naukar]	servant
सैनिक [sainik]	soldier
लेखक [lekhak]	writer
किनारा [kinaaraa]	bank
समुद्र तट [samudr tat]	beach
दिशा [dishaa]	direction
पृथ्वी [pruthvee]	Earth
पूर्व दिशा [poorv dishaa]	east
द्वीप [dveep]	island
झील [jheel]	lake
जमीन [jameen]	land
मानचित्र	map
चन्द्रमा [chandramaa]	Moon
उत्तर [uttar]	north
मैदानी इलाका	plain
नदी [nadee]	river
समुद्र [samudr]	sea
दक्षिण [dakshin]	south
तारा [taaraa]	star
सूरज [sooraj]	sun
पश्चिम [pashchim]	west
बादल [baadal]	cloud
ओस [os]	dew
कोहरा [koharaa]	fog
पाला [paalaa]	frost
मेह	rain
इन्द्रधनुष [indradhanush]	rainbow
बर्फ [barph]	snow
तूफान [toophaan]	storm
गड़गड़ाहट बिजली की	thunder
हवा [havaa]	wind
अम्ल [aml]	acid
रसायन [rasaayan]	chemical
element रासायनिक तत्व	chemical
कोयला [koyalaa]	coal
धूल [dhool]	dust
पृथ्वी [pruthvee]	earth
चर्बी [charbee]	fat
कांच [kaanch]	glass
सरेस [sares]	glue
बरफ़ (baraf)	ice
लोहा [lohaa]	iron
खाल [khaal]	leather
द्रव [drav]	liquid
विषय [vishay]	matter
element धातु [dhaatu]	metallic
पेट्रोलियम [petroliyam]	oil
विष [vish]	poison
चूर्ण [choorn]	powder
रेत [ret]	sand
रेशम [resham]	silk
साबुन	soap
इस्पात [ispaat]	steel
लकड़ी [lakadee]	wood
ऊन	wool
झोली	bag
डलिया [daliyaa]	basket
बोतल [botal]	bottle
सन्दूक [sandook]	box
प्याले के रूप देना	cup
दराज [daraaj]	drawer
लिफ़ाफ़ा [lifaafaa]	envelope
पीने का बर्तन	glass
प्लेट [plet]	plate
घंटा [ghantaa]	bell
बटन [batan]	button
तोप [top]	gun
घोड़ा [ghodaa]	hammer
कुंजी [kunjee]	key
तालयन्त्र	lock
दियासलाई [diyaasalaaee]	match
कील [keel]	nail
सुई [suee]	needle
पम्प [pamp]	pump
रस्सी [rassee]	rope
कैंची	scissors
स्प्रिंग [spring]	spring
मोहर [mohar]	stamp
कोड़ा [kodaa]	whip
जोड़ [jod]	addition
कोण [kon]	angle
क्षेत्रफल [kshetraphal]	area
केंद्र [kendr]	center
वृत्त [vrutt]	circle
वक्र रेखा [vakr rekhaa]	curve
स्तर [star]	degree
दूरी [dooree]	distance
बंटवारा	division
किनारा [kinaaraa]	edge
किसी वस्तु का प्रमुख भाग	element
सामाजिक सम्मेलन	function
आधा [aadhaa]	half
सीमा [seemaa]	limit
रेखा [rekhaa]	line
जाल [jaal]	net
हिस्सा [hissaa]	percent
बिन्दु [bindu]	point
उद्देश्य [uddeshy]	purpose
परिणाम [parinaam]	result
नियमावली [niyamaavalee]	rule
तरफ [taraph]	side
वर्ग [varg]	square
ऊपरी तल	surface
रकम [rakam]	total
योग्यता [yogyataa]	ability
कार्य [kaary]	act
सक्रियता [sakriyataa]	activity
राशि [raashi]	amount
आक्रमण [aakraman]	attack
प्रयास [prayaas]	attempt
अभिवृत्ति	attitude
पिछला हिस्सा [pichhalaa hissaa]	back
बर्ताव [bartaav]	behavior
टुकड़ा [tukadaa]	bit
चोट [chot]	blow
चुप्पी [chuppee]	break
अभियान [abhiyaan]	campaign
कानूनी मामला	case
मौका [maukaa]	chance
परिवर्तन होने की प्रक्रिया	change
चुनने का अधिकार [chunane kaa adhikaar]	choice
हालत [haalat]	condition
कनेक्टर	connection
दरार [daraar]	crack
कटाव [kataav]	cut
हानि [haani]	damage
खतरा [khataraa]	danger
सजावट [sajaavat]	decoration
तोड़-फोड़ [toda-phod]	destruction
नियंत्रण [niyantran]	dominance
बूंद [boond]	drop
कर्त्तव्य	duty
कोशिश [koshish]	effort
कब्जा [kabjaa]	fall
विशिष्ट लक्षण	feature
युद्ध [yuddh]	fight
आगे [aage]	front
प्रहार [prahaar]	hit
छेद [chhed]	hole
वृद्धि [vruddhi]	increase
बढ़ती	increase
अंतरजाल	internet
लात [laat]	kick
शब्द रूप [shabd roop]	kind
गांठ [gaanth]	knot
सूची [soochee]	list
अधिकतर [adhikatar]	majority
द्रव्य [dravy]	matter
मन [man]	mind
संचालन [sanchaalan]	operation
विरोधी [virodhee]	opposite
अचानक बौछार	outburst
भाग [bhaag]	part
व्यक्तित्व	personality
कोई एक एकल चीज या उदाहरण	piece
स्थान [sthaan]	place
स्थिति [sthiti]	position
शक्ति [shakti]	power
व्यवहार [vyavahaar]	practice
काम [kaam]	project
गुण [gun]	quality
शांति [shaanti]	quiet
उत्तरदायित्व [uttaradaayitv]	responsibility
आराम [aaraam]	rest
वापसी [vaapasee]	return
चढ़ाई [chadhaaee]	rise
खतरा [khataraa]	risk
समूह [samooh]	set
शांति [shaanti]	silence
स्थिति [sthiti]	situation
अवस्था [avasthaa]	state
कदम [kadam]	step
स्वाद [svaad]	taste
वस्तू (vastū), चीज़ (chīz)	thing
दूरी [dooree]	top
स्पर्श [sparsh]	touch
बर्ताव [bartaav]	treatment
ट्रिक	trick
प्रकार [prakaar]	type
प्रयोग [prayog]	use
कमजोरी [kamajoree]	wear
सम्पूर्ण [sampoorn]	whole
आवश्यकता [aavashyakataa]	wish
कला [kalaa]	art
कलाकार [kalaakaar]	artist
संगीत सभा	concert
रूप [roop]	design
भिन्नता [bhinnataa]	diversity
मनोरंजन [manoranjan]	entertainment
लोकप्रिय [lokapriy]	hit
छवि [chhavi]	image
स्याही [syaahee]	ink
विशेष प्रकार की आकृति प्रदान करना	manner
झिल्ली [jhillee]	movie
संग्रहालय [sangrahaalay]	museum
संगीत [sangeet]	music
स्वर [svar]	note
वादक समूह	orchestra
रंग [rang]	paint
चित्र [chitr]	painting
कागज [kaagaj]	paper
कलम [kalam]	pen
पेंसिल [pensil]	pencil
प्रतिबिंब [pratibimb]	picture
कविता [kavitaa]	poem
कविता [kavitaa]	poetry
धड़कन [dhadakan]	rhythm
गायक [gaayak]	singer
गाना [gaanaa]	song
मंच [manch]	stage
ढंग [dhang]	style
फैशन [phaishan]	vogue
खाता [khaataa]	account
बढ़त [badhat]	advantage
विज्ञापन [vigyaapan]	advertisement
सलाह [salaah]	advice
क़रार	agreement
ध्यान [dhyaan]	attention
अधिकार [adhikaar]	authority
बीजक	banknote
समझौता [samajhautaa]	bargain
व्यापार [vyaapaar]	business
पूंजी	capital
छुट्टा पैसा [chhuttaa paisaa]	change
चेक [chek]	cheque
समिति [samiti]	committee
कम्पनी [kampanee]	company
प्रतियोगिता में भाग लेना [pratiyogitaa men bhaag lenaa]	competition
आरोप [aarop]	complaint
मोल [mol]	cost
परिषद [parishad]	council
सबक [sabak]	course
ग्राहक [graahak]	customer
विभाग [vibhaag]	department
कठिनाई [kathinaaee]	difficulty
प्रबंधक [prabandhak]	director
अर्थव्यवस्था [arthavyavasthaa]	economy
पर्यावरण [paryaavaran]	environment
अनुभव [anubhav]	experience
व्यापारिक कंपनी	firm
प्रारूप [praaroop]	form
झुण्ड [jhund]	group
मदद [madad]	help
अवकाश के दिन	holiday
आय [aay]	income
व्यवसाय [vyavasaay]	industry
बीमा [beemaa]	insurance
हित [hit]	interest
विवरण [vivaran]	invoice
काम [kaam]	job
कानून [kaanoon]	law
छुट्टी [chhuttee]	leave
अभाव [abhaav]	loss
निर्देशन [nirdeshan]	management
मार्कर	mark
बाज़ार [baazaar]	market
सामग्री [saamagree]	material
पैसा [paisaa]	mean
मीटिंग [meeting]	meeting
मुद्रा [mudraa]	money
व्यवसाय [vyavasaay]	occupation
प्रस्ताव [prastaav]	offer
अफ़सर [afasar]	officer
प्रक्रिया [prakriyaa]	operation
स्वामी [svaamee]	owner
पार्सल [paarsal]	package
शोधन [shodhan]	payment
योजना [yojanaa]	plan
मूल्य [mooly]	price
समस्या [samasyaa]	problem
लाभ [laabh]	profit
सम्पत्ति [sampatti]	property
दर [dar]	rate
बाकी [baakee]	rest
पारितोषिक [paaritoshik]	reward
अधिकार [adhikaar]	right
बिक्री [bikree]	sale
अंग [ang]	section
कार्य सेवा	service
साझेदार [saajhedaar]	share
दुकान [dukaan]	shop
कौशल [kaushal]	skill
स्टाफ [staaph]	staff
आधार [aadhaar]	support
सारणी [saaranee]	table
कर [kar]	tax
टीम [teem]	team
व्यापार [vyaapaar]	trade
मूल्य [mooly]	value
काम [kaam]	work
मजदूर [majadoor]	worker
घोषणा [ghoshanaa]	announcement
उत्तर [uttar]	answer
अनुमोदन [anumodan]	approval
दलील [daleel]	argument
किताब [kitaab]	book
फोन करने की क्रिया	call
चिह्न [chihn]	character
तकरार [takaraar]	controversy
पुकार [pukaar]	cry
डेटा [detaa]	data
निर्णय [nirnay]	decision
शब्दकोश [shabdakosh]	dictionary
चर्चा [charchaa]	discussion
संदिग्धता [sandigdhataa]	doubt
अनुभव [anubhav]	experience
संवेदनशीलता [sanvedanasheelataa]	feeling
विचार [vichaar]	idea
सूचना [soochanaa]	information
रस [ras]	interest
भेंट [bhent]	interview
भाषा [bhaashaa]	language
भाषा [bhaashaa]	language
अक्षर [akshar]	letter
पत्र [patr]	letter
झूठ [jhooth]	lie
दृष्टि [drushti]	look
पत्रिका [patrikaa]	magazine
डाक [daak]	mail
स्मृति [smruti]	memory
याद [yaad]	memory
गलती [galatee]	mistake
नाम [naam]	name
समाचार पत्र	newspaper
नोट [not]	note
संख्या [sankhyaa]	number
विचार [vichaar]	opinion
पृष्ठ [prushth]	page
उच्चारण [uchchaaran]	pronunciation
प्रस्ताव [prastaav]	proposal
नकार पत्र	protest
प्रश्न [prashn]	question
कारण [kaaran]	reason
लोगों और देशों के बीच में संपर्क एवं संवाद	relation
अनुरोध [anurodh]	request
भेद [bhed]	secret
वाक्य [vaaky]	sentence
भाषा [bhaashaa]	speech
वर्तनी [vartanee]	spelling
कसौटी [kasautee]	standard
(varnana)	statement
प्रजा [prajaa]	subject
प्रस्ताव [prastaav]	suggestion
आवाज [aavaaj]	voice
शब्द [shabd]	word
लेखन [lekhan]	writing
day नमस्त (namaste)	good
luck शुभ कामना (shubh kamna!),	good
morning नमस्ते ((to one person), नमस्कार ((to several persons))	good
स्वागत [svaagat]	hello
are you आप कैसे हैं (āp kaise h͠ai?), कैसे हो (kaise ho?)	how
नहीं [naheen]	no
you very much बहुत बहुत धन्यवाद (bahut bahut dhan'yavād)	thank
हां [haan]	yes
संयुक्त राजशाही	Britain
चीन [cheen]	China
Republic चेक गणराज्य	Czech
फ़्रांस गणराज्य	France
जर्मनी संघीय गणराज्य	Germany
भारत गणराज्य	India
इटली	Italy
जापान [jaapaan]	Japan
किंगडम ऑफ़ स्पेन	Spain
States of America संयुक्त राज्य अमेरिका	United
कैमरा [kaimaraa]	camera
कैमरा [kaimaraa]	camera
phone मोबाइल फोन	cellular
घड़ी [ghadee]	clock
कम्प्यूटर	computer
लिफ्ट [lipht]	elevator
इंजन [injan]	engine
उपकरण [upakaran]	instrument
मशीन [masheen]	machine
भट्टी [bhattee]	oven
टेलीविजन	television
घड़ी [ghadee]	watch
वर्ग [varg]	class
शिक्षा [shikshaa]	education
शिक्षा [shikshaa]	education
परीक्षा [pareekshaa]	examination
परीक्षा आदि में स्थान	grade
जानकारी [jaanakaaree]	knowledge
छात्र [chhaatr]	student
शिक्षक [shikshak]	teacher
प्रशिक्षण [prashikshan]	training
भय [bhay]	fear
नापसंद	hate
प्रेम [prem]	love
आनन्द [aanand]	pleasure
सदमा [sadamaa]	shock
देख-रेख [dekh-rekh]	care
जुकाम [jukaam]	cold
खांसी	cough
बीमारी [beemaaree]	disease
डाक्टर [daaktar]	doctor
नर्स [nars]	nurse
अभियान [abhiyaan]	operation
दर्द [dard]	pain
मरीज़ [mareez]	patient
टांका	stitch
पत्ती [pattee]	blade
श्रृंखला [shrrunkhalaa]	chain
डंडा [dandaa]	club
पंख [pankh]	feather
झंडा	flag
चौखट [chaukhat]	frame
मूठ [mooth]	handle
लोहे की ढिबरी	nut
पिन [pin]	pin
नलिका [nalikaa]	pipe
डाक शुल्क	postage
पेश करना [pesh karanaa]	present
पाल [paal]	sail
लपेट	scroll
बीज [beej]	seed
लकड़ी [lakadee]	stick
पत्थर [patthar]	stone
टिकट [tikat]	ticket
पहिया [pahiyaa]	wheel
तार [taar]	wire
संतुलन [santulan]	balance
विशाल [vishaal]	bulk
बिजली [bijalee]	charge
ऊर्जा [oorjaa]	energy
प्रकाश [prakaash]	light
परिमाण [parimaan]	mass
माप करना	measurement
दर्पण [darpan]	mirror
गति [gati]	movement
दबाव या दाब का बोझ या मात्रा या भार	pressure
प्रक्रिया [prakriyaa]	process
आकार [aakaar]	size
घोष [ghosh]	sound
भाप [bhaap]	steam
बल [bal]	strength
कुछ समय तक	time
इकाई [ikaaee]	unit
भार [bhaar]	weight
युवा मित्र	boyfriend
नियुक्ति [niyukti]	date
अतिथि [atithi]	guest
संकाय अध्यक्ष	honey
चुम्बन [chumban]	kiss
दावत [daavat]	party
मुस्कान [muskaan]	smile
आश्चर्य [aashchary]	surprise
मुलाकात [mulaakaat]	visit
विकल्प [vikalp]	alternative
जीवविज्ञान	biology
कारण [kaaran]	cause
रसायन शास्त्र	chemistry
तुलना [tulanaa]	comparison
परिणाम [parinaam]	consequence
संचालन करना [sanchaalan karanaa]	control
अनुशासन [anushaasan]	discipline
खोज [khoj]	discovery
घटना [ghatanaa]	event
साक्ष्य [saakshy]	evidence
उदाहरण [udaaharan]	example
तथ्य [tathy]	fact
तत्व [tatv]	kernel
प्रणाली [pranaalee]	method
नमूना [namoonaa]	model
चरण [charan]	phase
कार्यविधि [kaaryavidhi]	procedure
उत्पादन [utpaadan]	production
योजना [yojanaa]	program
परियोजना [pariyojanaa]	project
दायरा [daayaraa]	range
शोध [shodh]	research
पूछताछ [poochhataachh]	research
विज्ञान [vigyaan]	science
समाज [samaaj]	society
निकाय [nikaay]	system
प्रौद्योगिकी [praudyogikee]	technology
सिद्धांत [siddhaant]	theory
प्रवृति [pravruti]	trend
परेशानी [pareshaanee]	trouble
उपभोक्ता [upabhoktaa]	user
सेना [senaa]	army
आधार [aadhaar]	base
खेल इत्यादि का क्लब	club
संगति [sangati]	company
प्रतियोगिता [pratiyogitaa]	contest
देश [desh]	country
अदालत [adaalat]	court
अनुचित कार्य	crime
सभ्यता [sabhyataa]	culture
गणतंत्र	democracy
प्रभुत्व [prabhutv]	dominion
चुनाव [chunaav]	election
अस्तित्व [astitv]	existence
शासन [shaasan]	government
इतिहास [itihaas]	history
विशिष्ट [vishisht]	individual
संस्था भवन	institution
राजा [raajaa]	king
सदस्य [sadasy]	member
राष्ट्र [raashtr]	nation
आदेश [aadesh]	order
संगठन [sangathan]	organization
पास [paas]	pass
पासपोर्ट [paasaport]	passport
अमन [aman]	peace
जनता [janataa]	people
सिपाहियों का दल	police
नीति [neeti]	policy
आबादी [aabaadee]	population
जन साधारण [jan saadhaaran]	public
दण्ड का तरीका	punishment
धर्म [dharm]	religion
धर्म [dharm]	religion
सार्वभौमिक राष्ट्र	state
मेल [mel]	union
इच्छा [ichchhaa]	will
विधान [vidhaan]	will
पुरस्कार [puraskaar]	award
गेंद [gend]	ball
बेसबॉल	baseball
साइकिल [saaikil]	bike
प्रतियोगिता [pratiyogitaa]	championship
प्रतियोगी [pratiyogee]	competitor
कप [kap]	cup
गेम	game
गोल [gol]	goal
मंज़िल [manzil]	goal
सोना [sonaa]	gold
गोल्फ [golph]	golf
कूद [kood]	jump
मैच [maich]	match
किसी वस्तु या व्यक्ति के सम्बन्धित अतीत का ज्ञान	record
चांदी	silver
टेनिस [tenis]	tennis
फेंकना [phenkanaa]	throw
