English	Polish
library	biblioteka
park	park
prison	więzienie
restaurant	restauracja
road	droga
school	szkoła
station	posterunek
street	ulica
structure	budowa
subway	metro
supermarket	supersam
theater	teatr
town	miasto
university	uniwersytet
village	wieś
accident	wypadek
boat	łódź
bus	autobus
car	samochód
curve	zakole
express	ekspres
flight	lot
journey	podróż
passenger	pasażer
plane	samolot
ship	statek
track	szyna
train	pociąg
transport	przewóz
actor	aktor
actress	aktorka
businessman	człowiek interesu
expert	znawca
general	generał
journalist	dziennikarz
judge	sędzia
leader	przywódca
minister	minister
musician	muzyk
photographer	fotograf
pilot	pilot
policeman	policjant
politician	polityk
president	prezydent
professional	zawodowiec
representative	przedstawiciel
sailor	marynarz
scientist	uczony
secretary	sekretarka
servant	służący
soldier	żołnierz
writer	pisarz
bank	brzeg
beach	plaża
current	prąd
direction	kierunek
Earth	Ziemia
east	wschód
height	wysokość
hill	wzgórze
island	wyspa
lake	jezioro
land	ląd
map	mapa
Moon	księżyc
north	północ
plain	równina
river	rzeka
sea	morze
south	południe
space	kosmos
star	gwiazda
sun	słońce
west	zachód
cloud	chmura
dew	rosa
fog	mgła
frost	szron
rain	deszcz
rainbow	tęcza
snow	śnieg
storm	burza
thunder	grzmot
wind	wiatr
acid	kwas
chemical	substancja chemiczna
chemical element	pierwiastek
coal	węgiel
cotton	bawełna
dust	kurz
earth	ziemia
fat	tłuszcz
glass	kieliszek
glue	klej
grain	ziarnko
ice	lód
iron	żelazo
leather	skóra
liquid	płyn
matter	materia
metallic element	stop
oil	ropa naftowa
poison	trucizna
powder	proszek
sand	piasek
silk	jedwab
soap	mydło
steel	stal
wood	drewno
wool	wełna
bag	torba
basket	kosz
bottle	butelka
box	pudełko
can	słój
cup	filiżanka
drawer	szuflada
envelope	koperta
glass	lustro
plate	talerz
bell	dzwon
button	przycisk
gun	rewolwer
hammer	młoteczek
hook	hak
key	klucz
lock	zamek
match	zapałka
nail	gwóźdź
needle	igła
pump	pompa
rope	sznur
scissors	nożyczki
spring	sprężyna
stamp	pieczątka
whip	bat
addition	dodawanie
angle	kąt
area	powierzchnia
center	środek
circle	koło
curve	krzywa
degree	stopień
degree	poziom
difference	różnica
distance	odległość
division	rozbiór
edge	brzeg
element	pierwiastek
function	funkcja
half	połowa
limit	kres
line	linia
net	sieć
percent	procent
point	kropka
purpose	cel
result	wynik
root	root
rule	przepis
set	zestaw
side	strona
square	kwadrat
square	kwadrat
substitution	wymiana
surface	powierzchnia
total	ilość
ability	umiejętność
act	akt
action	działanie
activity	aktywność
addition	dodatek
amount	ilość
attack	atak
attempt	próba
attitude	stosunek
back	tył
behavior	zachowanie
bit	kawałek
blow	cios
break	przerwa
campaign	kampania
case	proces
chance	okazja
change	zmiana
choice	wybór
condition	stan
connection	łącznik
crack	pęknięcie
cut	cięcie
damage	zniszczenie
danger	zagrożenie
decoration	ozdoba
defense	obrona
destruction	zniszczenie
detail	szczegół
dominance	władza
drop	kropla
duty	obowiązek
effort	starania
fall	upadek
feature	cecha
fight	walka
front	przód
hit	uderzenie
hole	dziura
increase	wzrost
increase	powiększenie
internet	sieć
jolt	podskok
kick	kopnięcie
kind	typ
knot	węzeł
list	lista
majority	większość
matter	sprawa
mind	umysł
operation	działanie
opposite	przeciwieństwo
outburst	wybuch
part	część
part	część
personality	charakter
piece	kawałek
place	miejsce
position	lokalizacja
power	siła
practice	praktyka
project	zadanie
property	właściwość
quality	gatunek
quiet	łagodne usposobienie
report	reportaż
responsibility	obowiązek
rest	spoczynek
return	powrót
rise	wejście
risk	ryzyko
seat	plac
set	zestaw
silence	cisza
situation	położenie
slice	kawałek
state	stan
step	krok
stop	przerwa
taste	smak
thing	rzecz
top	zenit
touch	dotknięcie
treatment	traktowanie
tremble	dreszcz
trick	podstęp
type	typ
use	użycie
way	sposób
wear	zużycie
whole	całość
will	wola
wish	pragnienie
art	sztuka
artist	artysta
band	orkiestra
brush	szczotka
color	farba
concert	koncert
design	projekt
diversity	odmienność
entertainment	rozrywka
hit	przebój
image	wyobrażenie
ink	atrament
manner	sposób
movie	warstwa
museum	muzeum
music	muzyka
note	nuta
orchestra	orkiestra
paint	farba
painting	malowidło
paper	papier
pen	pióro
pencil	ołówek
picture	odbicie
poem	wiersz
poetry	poezja
rhythm	uderzenie
shape	forma
singer	śpiewak
song	pieśń
stage	scena
style	styl
vogue	moda
account	rachunek
advantage	korzyść
advertisement	reklama
advice	porada
agreement	naprawienie
attention	uwaga
authority	pełnomocnictwo
banknote	banknot
bargain	transakcja
brand	znak firmowy
business	interes
capital	kapitał
change	drobne
cheque	czek
committee	komisja
company	spółka
competition	konkurencja
complaint	zarzut
contract	kontrakt
copy	kopia
council	rada
course	lekcja
customer	klient
demand	potrzeba
department	dział
difficulty	trudność
director	zarządzający
economy	gospodarka
environment	środowisko
experience	doświadczenie
firm	firma
form	formularz
group	grupa
help	pomoc
holiday	wakacje
income	dochody
industry	przemysł
insurance	ubezpieczenie
interest	procent
invoice	rachunek
job	praca
law	prawo
leave	urlop
loss	strata
management	kierownictwo
mark	znak
market	rynek
material	materiał
mean	średnia
meeting	spotkanie
money	pieniądze
occupation	zajęcie
offer	propozycja
office	biuro
officer	funkcjonariusz
operation	uruchomienie
owner	posiadacz
package	paczka
payment	zapłata
plan	plan
price	cena
problem	kłopot
product	produkt
profit	zysk
property	własność
rate	stawka
rest	reszta
reward	nagroda
right	prawo
sale	sprzedaż
section	sekcja
section	sekcja
service	obsługa
share	udział
shop	sklep
show	widowisko
skill	umiejętność
staff	personel
success	powodzenie
support	utrzymanie
table	tabela
tax	podatek
team	drużyna
trade	handel
value	wartość
work	praca
worker	robotnik
announcement	komunikat
answer	odpowiedź
approval	zgoda
argument	argument
book	książka
call	telefon
character	znak
controversy	spór
cry	wołanie
data	dane
decision	decyzja
dictionary	słownik
discussion	dyskusja
doubt	niepewność
experience	przeżycie
feeling	uczucie
humor	humor
idea	myśl
information	informacja
interest	zainteresowanie
interview	wywiad
language	mowa
language	język
letter	litera
letter	list
lie	kłamstwo
look	spojrzenie
magazine	czasopismo
mail	poczta
memory	pamięć
memory	wspomnienie
mistake	błąd
name	imię
newspaper	gazeta
note	notatka
number	numer
opinion	pogląd
page	strona
pronunciation	wymowa
proposal	propozycja
protest	protest
question	zapytanie
reaction	reakcja
reason	powód
relation	stosunki
request	prośba
secret	sekret
sentence	zdanie
sign	znak
speech	mowa
spelling	ortografia
standard	kryterium
statement	oświadczenie
subject	temat
suggestion	wniosek
voice	głos
word	słowo
writing	pismo
best regards	załączam pozdrowienia
do you speak English	czy mówisz po angielsku
good day	dzień dobry
good luck	powodzenia
happy birthday	wszystkiego najlepszego z okazji urodzin
hello	halo
how are you	Jak się masz
many thanks	dziękuję bardzo
no	nie
sorry	przepraszam
sorry	przepraszam
thank you very much	dziękuję bardzo
what is your name	Jak się nazywasz
yes	tak
you're welcome	proszę
Britain	Brytania
China	Chiny
Czech Republic	Czechy, Republika Czeska
France	Republika Francuska
Germany	Republika Federalna Niemiec
India	Republika Indii
Italy	Włochy
Japan	Japonia
Spain	Królestwo Hiszpanii
United States of America	Stany Zjednoczone
camera	aparat fotograficzny
camera	aparat fotograficzny
cellular phone	telefon komórkowy
clock	zegar
computer	komputer
elevator	winda
engine	silnik
instrument	narzędzie
machine	maszyna
oven	piekarnik
television	telewizor
watch	zegarek
class	klasa
education	kształtowanie
education	edukacja
education	wykształcenie
examination	egzamin
grade	stopień
knowledge	wiedza
student	student
teacher	nauczyciel
training	szkolenie
fear	strach
hate	nienawiść
love	zamiłowanie
pleasure	przyjemność
promise	nadzieja
shock	szok
care	opieka
cold	przeziębienie
cough	kaszel
disease	choroba
doctor	lekarz
health	zdrowie
menstruation	menstruacja
nurse	pielęgniarka
operation	operacja
pain	ból
patient	pacjent
stitch	ścieg
blade	ostrze
board	tablica
card	karta
chain	łańcuch
club	maczuga
cover	okładka
feather	pióro
flag	flaga
frame	rama
handle	rączka
menu	menu
nut	nakrętka
pin	szpilka
pipe	rura
postage	opłata pocztowa
present	prezent
sail	żagiel
scroll	zwój
seed	nasienie
stick	kij
stone	kamień
ticket	bilet
wheel	koło
wire	drut
balance	równowaga
bulk	rozmiar
charge	ładunek
energy	energia
light	światło
mass	masa
measurement	mierzenie
mirror	lustro
movement	ruch
pressure	presja
process	proces
size	wielkość
sound	dźwięk
steam	para
strength	siła
time	czas
unit	jedność
weight	waga
boyfriend	sympatia
date	umówione spotkanie
girlfriend	narzeczona
guest	gość
honey	kochany
kiss	pocałunek
party	przyjęcie
smile	uśmiech
surprise	zaskoczenie
visit	pobyt
alternative	alternatywa
biology	biologia
cause	powód
chemistry	chemia
comparison	porównanie
consequence	następstwo
control	opanowanie
discipline	dyscyplina
discovery	odkrycie
event	wydarzenie
evidence	dowody
example	przykład
fact	fakt
issue	temat
kernel	istota
method	metoda
model	model
phase	faza
procedure	sposób postępowania
production	produkcja
program	program
project	plan
range	zasięg
research	praca badawcza
research	dochodzenie
science	nauka
society	społeczeństwo
system	sieć
technology	technologia
theory	teoria
trend	tendencja
trouble	zmartwienie
user	użytkownik
army	armia
base	główny składnik
club	klub
company	towarzystwo
contest	konkurs
country	kraj
court	sąd
crime	przestępstwo
culture	kultura
democracy	republika
dominion	panowanie
election	wybory
existence	istnienie
government	rząd
history	historia
individual	jednostka
institution	instytucja
king	król
member	członek
nation	naród
news	wiadomości
noise	hałas
order	rozkaz
organization	organizacja
pass	przepustka
passport	paszport
peace	pokój
people	ludzie
police	policja
policy	polityka
population	ludność
public	lud
punishment	kara
religion	wiara
religion	religia
state	państwo
title	tytuł
union	unia
will	wola
will	testament
award	zaszczyt
ball	piłka
baseball	baseball
bike	rower
championship	mistrzostwa
competitor	przeciwnik
cup	puchar
football	piłka nożna
game	zabawa
goal	gol
goal	miejsce przeznaczenia
gold	złoto
golf	golf
jump	skok
match	mecz
player	gracz
record	rekord
silver	srebro
tennis	tenis
throw	rzut
win	zwycięstwo