Polish	﻿English
zwój	scroll
nasienie	seed
kij	stick
kamień	stone
bilet	ticket
koło	wheel
drut	wire
równowaga	balance
rozmiar	bulk
ładunek	charge
energia	energy
światło	light
masa	mass
mierzenie	measurement
lustro	mirror
ruch	movement
presja	pressure
proces	process
wielkość	size
dźwięk	sound
para	steam
siła	strength
czas	time
jedność	unit
waga	weight
sympatia	boyfriend
umówione spotkanie	date
narzeczona	girlfriend
gość	guest
kochany	honey
pocałunek	kiss
przyjęcie	party
uśmiech	smile
zaskoczenie	surprise
pobyt	visit
alternatywa	alternative
biologia	biology
powód	cause
chemia	chemistry
porównanie	comparison
następstwo	consequence
opanowanie	control
dyscyplina	discipline
odkrycie	discovery
wydarzenie	event
dowody	evidence
przykład	example
fakt	fact
temat	issue
istota	kernel
metoda	method
model	model
faza	phase
sposób postępowania	procedure
produkcja	production
program	program
plan	project
zasięg	range
praca badawcza	research
dochodzenie	research
nauka	science
społeczeństwo	society
sieć	system
technologia	technology
teoria	theory
tendencja	trend
zmartwienie	trouble
użytkownik	user
armia	army
główny składnik	base
klub	club
towarzystwo	company
konkurs	contest
kraj	country
sąd	court
przestępstwo	crime
kultura	culture
republika	democracy
panowanie	dominion
wybory	election
istnienie	existence
rząd	government
historia	history
jednostka	individual
instytucja	institution
król	king
członek	member
naród	nation
wiadomości	news
hałas	noise
rozkaz	order
organizacja	organization
przepustka	pass
paszport	passport
pokój	peace
ludzie	people
policja	police
polityka	policy
ludność	population
lud	public
kara	punishment
wiara	religion
religia	religion
państwo	state
tytuł	title
unia	union
wola	will
testament	will
zaszczyt	award
piłka	ball
baseball	baseball
rower	bike
mistrzostwa	championship
przeciwnik	competitor
puchar	cup
piłka nożna	football
zabawa	game
gol	goal
miejsce przeznaczenia	goal
złoto	gold
golf	golf
skok	jump
mecz	match
gracz	player
rekord	record
srebro	silver
tenis	tennis
rzut	throw
