Russian	﻿English
воскресенье	Sunday
четверг	Thursday
сегодняшний день, сегодня	today
завтрашний день, завтра	tomorrow
вторник	Tuesday
среда	Wednesday
неделя	week
выходных	weekend
момент	while
зима	winter
год	year
хлеб	bread
завтрак	breakfast
масло	butter
сладкое, пирожное	cake
сыр	cheese
шоколад	chocolate
яйцо	egg
блюдо, питание	food
фрукты	fruit
обед	lunch
блюдо, еда	meal
мясо	meat
масло	oil
рис	rice
салат	salad
соль	salt
сандвич, бутерброд	sandwich
соус	sauce
суп	soup
сахар	sugar
сладость	sweet
пиво	beer
кофе	coffee
напиток	drink
молоко	milk
коктейль	milkshake
чай	tea
вода	water
вино	wine
яблоко	apple
абрикос	apricot
банан	banana
ежевика	blackberry
вишня	cherry
лимон	lemon
орех	nut
апельсин	orange
персик	peach
груша	pear
ананас	pineapple
слива	plum
малина	raspberry
земляника	strawberry
боб	bean
капуста	cabbage
морковь	carrot
огурец	cucumber
чеснок	garlic
маслина	olive
лук	onion
пастернак	parsnip
горох	pea
картофелина	potato
редиска	radish
помидор, томат	tomato
ребёнок	baby
рождение	birth
день рождения	birthday
мальчик, парень	boy
брат	brother
ребёнок	child
дочь	daughter
смерть	death
семья	family
папа, отец	father
друг	friend
девушка, девочка	girl
дедушка	grandfather
лицо, человек	human
муж	husband
жизнь	life
мужчина, человек	man
брак	marriage
мамочка	mother
сосед	neighbor
родитель	parent
лицо, человек	person
родство	relationship
сестра	sister
сын	son
брак	wedding
брак	wedding
жена	wife
женщина	woman
адрес	address
ванная	bathroom
спальня	bedroom
кирпич	brick
дверь, створка	door
настил, пол	floor
этаж	floor
гараж	garage
сад	garden
ворота, калитка	gate
прихожая, вестибюль	hall
жилище, дом	home
дом	house
кухня	kitchen
крыша	roof
комната	room
душ	shower
ступень	step
уборная, туалет	toilet
стена	wall
колодец	well
окно	window
кровать, постель	bed
ковёр	carpet
стул	chair
шкаф	cupboard
занавеска	curtain
письменный стол	desk
мебель	furniture
кресло	seat
полка	shelf
лохань	sink
стол	table
сумка, сумочка	bag
ботинок	boot
ткань	cloth
одежда	clothing
пальто, пиджак	coat
воротник, туфля	collar
шляпа	hat
куртка, пиджак	jacket
драгоценность	jewel
кольцо	ring
рубашка	shirt
ботинок	shoe
юбка	skirt
носок, гольфы = чулки до колен	sock
чемодан	suitcase
галстук	tie
воздух	air
животное	animal
ветвь	branch
эволюция, развитие	evolution
ферма	farm
поле	field
огонь, пламя	fire
цветок	flower
лес	forest
трава	grass
листва	leaf
жизнь	life
молния	lightning
влажность	moisture
природа	nature
растение	plant
корень	root
пол	sex
небо	sky
сон	sleep
запах	smell
дым	smoke
источник	spring
стебель	stem
поток	stream
дерево	tree
волна	wave
погода	weather
свет, мир	world
аэродром, аэропорт	airport
банк	bank
мост	bridge
здание	building
столица	capital
замок, кремль	castle
церковь, храм	church
кино, кинотеатр	cinema
мегаполис	city
завод	factory
квартира	flat
больница	hospital
гостиница, отель	hotel
библиотека	library
парк, сад	park
тюрьма, заточение	prison
ресторан	restaurant
дорога, путь	road
школа	school
станция	station
улица	street
стройка	structure
метро	subway
супермаркет, универсам	supermarket
театр	theater
город	town
университет, вуз	university
деревня	village
несчастный случай, авария	accident
лодка	boat
автобус	bus
автомобиль, машина	car
povorod	curve
экспресс	express
летание, полёт	flight
поездка	journey
пассажир	passenger
самолёт	plane
судно, корабль	ship
буксовка	skid
рельс	track
поезд	train
перевозка, транспорт	transport
актёр	actor
актриса	actress
бизнесмен	businessman
специалист	expert
генерал	general
журналист, газетный сотрудник	journalist
судья	judge
лидер	leader
министр	minister
музыкант	musician
фотограф	photographer
пилот	pilot
милиционер	policeman
политик	politician
президент	president
профессионал	professional
заместитель	representative
матрос, моряк	sailor
учёный	scientist
секретарь, секретарша	secretary
слуга	servant
солдат	soldier
писатель	writer
берег	bank
пляж	beach
течение, поток	current
направление	direction
Земля	Earth
выход	east
высота	height
взгорье, холм	hill
остров	island
озеро	lake
земля, почва	land
карта	map
месяц	Moon
север	north
равнина	plain
район	region
река	river
море	sea
юг	south
космос	space
звезда	star
солнце	sun
запад	west
облако	cloud
роса	dew
туман	fog
иней	frost
дождь	rain
радуга	rainbow
снег	snow
буря	storm
гром	thunder
ветер	wind
кислота	acid
химикат	chemical
element элемент	chemical
уголь	coal
хлопок	cotton
пыль	dust
земля	earth
жир	fat
стекло	glass
клей	glue
зерно	grain
лёд	ice
железо	iron
кожа	leather
жидкость	liquid
вещество	matter
element металл	metallic
нефть	oil
яд, отрава	poison
порошок	powder
песок	sand
шёлк, шелк	silk
мыло	soap
сталь	steel
дерево	wood
волна, шерсть	wool
мешок	bag
корзина	basket
бутылка	bottle
коробка	box
консерва	can
чашка	cup
ящик	drawer
конверт	envelope
стакан	glass
тарелка	plate
колокол	bell
кнопка	button
оружие	gun
молоток	hammer
крючок	hook
ключ	key
замок	lock
спичка	match
гвоздь	nail
иголка, игла	needle
насос	pump
канат	rope
ножницы	scissors
пружина	spring
печать, штемпель	stamp
бич	whip
сложение	addition
угол	angle
пространство	area
центр	center
круг	circle
кривая, дуга	curve
степень	degree
уровень	degree
разница	difference
расстояние	distance
разделение	division
кромка, край	edge
элемент	element
функция	function
половина	half
граница, лимит	limit
черта, линия	line
сплетение	net
порядок	order
наружность, внешность	outside
процент	percent
точка	point
намерение, цель	purpose
результат	result
корень	root
правило, предписание	rule
множество	set
сторона	side
квадрат	square
вторая степень	square
замена	substitution
поверхность	surface
итог, сумма	total
способность	ability
дело	act
поступок, действие	action
деятельность	activity
дополнение	addition
количество	amount
набег	attack
надсада	attempt
точка зрения	attitude
задняя страница	back
поведения	behavior
кусок	bit
удар	blow
пауза, перерыв	break
кампания	campaign
случай	case
возможность	chance
перемена	change
выбор	choice
состояние	condition
подключение	connection
соединение	connection
брешь	crack
раздробление	crush
срез	cut
поломка	damage
опасность	danger
смерть	death
декорация	decoration
оборона	defense
разрушение	destruction
подробность, деталь	detail
перевес	dominance
капля	drop
повинность	duty
старание	effort
падение	fall
способность	feature
борьба	fight
передняя часть	front
удар	hit
дыра	hole
рост	increase
прирост	increase
интернет	internet
удар	jolt
пинок	kick
вид	kind
узел	knot
перечень	list
большинство	majority
дело	matter
ум, мысль	mind
действие	operation
противоположность	opposite
извержение	outburst
часть	part
часть	part
характер	personality
кусок	piece
место	place
позиция, положение	position
сила	power
практика	practice
проект	project
способность	property
качество	quality
спокойствие	quiet
досягаемость	reach
рапорт	report
ответственность	responsibility
отдых	rest
возврат	return
подъём	rise
риск	risk
место	seat
сериал, многосерийный фильм	serial
комплект	set
тишина	silence
ситуация	situation
кусок	slice
состояние	state
шаг, поступь	step
остановить	stop
вкус	taste
предмет, вещь	thing
верхушка	top
прикосновение	touch
обхождение	treatment
дрожание	tremble
трюк	trick
тип	type
употребление	use
способ	way
износ	wear
целое	whole
воля	will
желание	wish
искусство	art
художник	artist
оркестр	band
щётка	brush
краска	color
концерт	concert
проект	design
разнообразность, разнообразие	diversity
веселье, развлечение	entertainment
хит	hit
имидж	image
чернила	ink
изобретение, измышление	invention
способ, метод	manner
фильм, кинокартина	movie
музей	museum
музыка	music
нота	note
оркестр	orchestra
краска	paint
картина	painting
бумага	paper
ручка	pen
карандаш	pencil
изображение	picture
стихотворение, поэма	poem
поэзия	poetry
ритм	rhythm
конфигурация, форма	shape
певец	singer
песня	song
сцена	stage
стиль	style
мода	vogue
счёт	account
преимущество	advantage
пропаганда, реклама	advertisement
совет	advice
соглашение, договор	agreement
внимание	attention
авторитет	authority
банкнот, кредитный билет	banknote
сделка	bargain
марка	brand
коммерция, бизнес	business
предприниматель	businesswoman
капитал	capital
мелочь	change
чек	cheque
комитет, комиссия	committee
предприятие	company
конкуренция, соревнование	competition
нарекание	complaint
контракт	contract
копия	copy
расход	cost
совет	council
курс	course
покупатель, заказчик	customer
потребность	demand
отделение	department
трудность	difficulty
директор	director
хозяйство, экономика	economy
окружение	environment
опыт	experience
фирма, торговый дом	firm
формуляр	form
группа	group
помощь, содействие	help
каникулы	holiday
оклад, заработок	income
промышленность	industry
страховка	insurance
процент	interest
фактура, счёт	invoice
дело, труда	job
закон	law
отпуск	leave
утрата, пропадание	loss
руководство, предводительство	management
марка	mark
рынок, базар	market
материал	material
среднее	mean
встреча	meeting
деньги	money
профессия, работа	occupation
предложение	offer
офис, контора	office
чиновник	officer
операция	operation
собственник, владелец	owner
пакет	package
плата, платёж	payment
план	plan
стоимость, цена	price
проблема	problem
продукт	product
прибыль, нажива	profit
имущество	property
расценка, тариф	rate
остаток	rest
оплата	reward
право	right
продажа, сбыт	sale
секция, отделение	section
секция, участок	section
услуга	service
акция	share
лавка, магазин	shop
шоу	show
искусство	skill
персонал	staff
структура	structure
успех	success
поддержка, опора	support
таблица	table
налогообложение, налог	tax
команда	team
занятие, торговля	trade
ценность	value
работа	work
рабочий	worker
провозглашение, объявление	announcement
ответ	answer
одобрение, согласие	approval
аргумент	argument
книга	book
звонок, зов	call
знак	character
спор	controversy
крик, возглас	cry
сведениe, информация	data
заключение, решение	decision
словарь	dictionary
диспут, прения	discussion
сомнение, неуверенность	doubt
впечатление	experience
ощущение	feeling
юмор	humor
мысль	idea
сведениe, информация	information
интерес	interest
разговор, беседа	interview
язык	language
язык	language
буква	letter
письмо	letter
ложь	lie
вид, взгляд	look
журнал	magazine
почта	mail
память	memory
воспоминание	memory
ошибка	mistake
имя	name
газета	newspaper
заметка	note
количество, число	number
мнение, суждение	opinion
страница	page
произношение	pronunciation
предложение	proposal
протест	protest
вопрос	question
реакция	reaction
основание, мотив	reason
соотношение	relation
просьба	request
секрет, тайна	secret
предложение	sentence
знак	sign
язык	speech
правописание, орфография	spelling
критерий	standard
утверждения	statement
сюжет, тема	subject
проект	suggestion
голос	voice
слово	word
почерк	writing
day добрый день (dóbryj den’)	good
luck удачи (udáči!), желаю удачи (želáju udáči!)	good
привет	hello
are you как дела (kak delá?), как поживаешь (kak poživáješ?)	how
thanks большое спасибо (bol’šóje spasíbo)	many
нет	no
you very much большое спасибо (bol’šóje spasíbo!), благодарю (blagodarjú!)	thank
да	yes
Англия, Великобритания	Britain
китай	China
Republic Чехия, Чешская Республика	Czech
Франция	France
Германия	Germany
Индия	India
Италия	Italy
Япония	Japan
Испания	Spain
States of America США, Соединенные Штаты Америки	United
камера	camera
фотоаппарат	camera
phone мобильный телефон, мобильник	cellular
часы	clock
компьютер	computer
лифт	elevator
двигатель	engine
инструмент, орудие	instrument
станок	machine
печь	oven
телевизор	television
часы	watch
ранг, класс	class
образование	education
воспитание	education
образование	education
экзамен	examination
отметка	grade
знание	knowledge
студент, ученик	student
учитель	teacher
обучение	training
страх	fear
ненависть	hate
любовь	love
удовольствие	pleasure
надежда	promise
шок	shock
попечение	care
простуда, насморк	cold
кашель	cough
болезнь	disease
врач, доктор	doctor
здоровье	health
менструация	menstruation
медсестра, няня	nurse
операция	operation
боль	pain
пациент, больной	patient
стежок	stitch
лезвие	blade
доска	board
карточка	card
цепь	chain
дубинка	club
крышка	cover
перо	feather
флаг	flag
рамка	frame
ручка	handle
меню	menu
гайка	nut
булавка	pin
труба	pipe
почтовая марка	postage
подарок	present
парус	sail
круг	scroll
зерно, семя	seed
палка	stick
скала	stone
билет	ticket
колесо	wheel
провод	wire
баланц	balance
количество	bulk
заряд	charge
энергия	energy
свет	light
масса	mass
измерение	measurement
зеркало	mirror
движение	movement
давление	pressure
процесс	process
размер	size
звук	sound
пар	steam
сила	strength
время	time
единица	unit
вес	weight
поклонник	boyfriend
встреча, свидание	date
девочка, поклонница	girlfriend
гость	guest
дорогой, дорогая	honey
поцелуй	kiss
вечеринка	party
секс	sex
улыбка	smile
сюрприз	surprise
визит	visit
альтернатива	alternative
биология	biology
причина	cause
химия	chemistry
сравнение	comparison
последствие	consequence
проверка	control
дисциплина	discipline
находка	discovery
находка	discovery
событие	event
улика	evidence
пример	example
факт	fact
проблема	issue
суть	kernel
способ, метод	method
модель, макет	model
фаза	phase
процесс, процедура	procedure
производство	production
программа	program
проект	project
диапазон	range
исследование	research
обследование	research
наука	science
общество	society
система	system
технология	technology
теория	theory
тенденция	trend
проблема	trouble
пользователь	user
армия	army
военная база	base
клуб	club
общество	company
соревнование, состязание	contest
страна	country
суд	court
преступление	crime
культура	culture
демократия, республика	democracy
господство	dominion
выборы	election
существование	existence
женщина	female
правительство	government
история	history
индивидуум	individual
учреждение	institution
король	king
самец	male
член	member
народ, нация	nation
новость	news
шум, гам	noise
приказ, команда	order
организация	organization
удоствоверение	pass
паспорт	passport
мир	peace
люди, народ	people
полиция	police
политика	policy
население	population
общественность	public
наказание	punishment
вероисповедание	religion
религия	religion
страна	state
надпись, заголовок	title
союз	union
война	war
воля	will
завещание	will
награда	award
мяч	ball
бейсбол	baseball
велосипед	bike
чемпионат	championship
соперник	competitor
кубок	cup
футбол	football
игра	game
гол	goal
цель	goal
золото	gold
гольф	golf
скачок, прыжок	jump
матч	match
игрок	player
рекорд	record
серебро	silver
теннис	tennis
бросание	throw
