English	Finnish
track	kisko
train	juna
transport	kuljetus
air	ilma
animal	eläin
branch	oksa
evolution	kehittyminen
farm	maatila
field	pelto
fire	liekki
flower	kukka
forest	metsä
grass	ruoho
leaf	lehti
life	elämä
lightning	salama
moisture	kosteus
nature	luonto
plant	kasvi
root	juuri
sex	sukupuoli
sky	taivas
sleep	uni
smell	tuoksu
smoke	katku
spring	lähde
stem	varsi
stream	virta
tree	puu
wave	aalto
weather	sää
world	maailma
bank	äyräs
beach	uimaranta
current	virta
direction	johto
Earth	Maa
east	itä
height	korkeus
hill	kukkula
island	saari
lake	järvi
land	maa
map	kartta
Moon	kuu
north	pohjoinen
plain	tasanko
region	alue
river	joki
sea	meri
south	etelä
space	avaruus
star	tähti
sun	aurinko
west	länsi
acid	happo
chemical	kemikaali
chemical element	alkuaine
coal	kivihiili
cotton	puuvilla
dust	pöly
earth	maa
fat	rasva
glass	lasi
glue	liima
grain	jyvänen
ice	jää
iron	rauta
leather	nahka
liquid	neste
matter	aine
metallic element	metalli
oil	raakaöljy
poison	myrkky
powder	jauhe
sand	hiekka
silk	silkki
soap	saippua
steel	teräs
wood	puu
wool	villa
bag	laukku
basket	kori
bottle	pullo
box	laatikko
can	purkki
cup	kuppi
drawer	laatikko
envelope	kirjekuori
glass	lasi
plate	lautanen
camera	kamera
camera	kamera
cellular phone	matkapuhelin
clock	kello
computer	tietokone
elevator	hissi
engine	moottori
instrument	soitin
machine	kone
oven	uuni
television	televisiovastaanotin
watch	kello
addition	yhteenlasku
angle	kulma
area	pinta-ala
center	keskipiste
circle	ympyrä
curve	käyrä
degree	aste
degree	pinta
difference	ero
distance	matka
division	jako
edge	reuna
element	alkuaine
function	tehtävä
half	puolikas
limit	raja
line	viiva
net	silmukka
outside	ulkopuoli
percent	osuus
point	pilkku
purpose	tarkoitus
result	lopputulos
rule	sääntö
set	joukko
side	puoli
square	neliö
square	neliö
substitution	vaihto
surface	pinta
total	määrä
ability	kyky
act	teko
action	toiminta
activity	toiminta
addition	lisäys
amount	erä
attack	hyökkäys
attempt	yritys
attitude	asenne
back	takaosa
behavior	käyttäytyminen
bit	pala
blow	isku
break	katko
campaign	sotaretki
case	tapaus
chance	tilaisuus
change	muutos
choice	valinnanvara
condition	kunto
connection	liitin
crack	särö
cut	haava
damage	vahinko
danger	vaara
death	surma
decoration	koriste
destruction	hävitys
detail	detalji
dominance	valta
drop	pisara
duty	velvollisuus
effort	ponnistus
fall	kukistuminen
feature	piirre
fight	taistelu
front	etupuoli
hit	isku
hole	kolo
increase	kasvu
increase	lisäys
internet	internet
jolt	tärähdys
kind	laatu
knot	solmu
list	lista
majority	valtaosa
matter	asia
mind	mieli
operation	toiminta
opposite	vastakohta
outburst	puuska
part	osa
part	osa
piece	pala
place	paikka
position	sijainti
power	voima
practice	käytäntö
project	tehtävä
property	ominaisuus
quality	laatu
quiet	tyyneys
report	kertomus
responsibility	vastuu
rest	lepo
return	paluu
rise	nousu
risk	vaara
seat	paikka
set	sarja
silence	hiljaisuus
situation	tilanne
slice	pala
state	tila
step	askel
stop	pysähdys
taste	makuaisti
thing	esine
top	huippu
touch	kosketus
treatment	kohtelu
tremble	puistatus
trick	juoni
type	tyyppi
use	käyttö
way	tapa
whole	kokonaisuus
will	tahto
wish	toive
afternoon	iltapäivä
age	ikä
April	Huhtikuu
August	elokuu
autumn	syksy
beginning	alku
century	vuosisata
date	päivämäärä
day	päivä
December	Joulukuu
end	loppu
evening	ilta
February	Helmikuu
Friday	Perjantai
future	tulevaisuus
hour	tunti
January	Tammikuu
July	Heinäkuu
June	Kesäkuu
May	toukokuu
midnight	keskiyö
minute	minuutti
moment	ajankohta
moment	silmänräpäys
Monday	Maanantai
month	kuukausi
morning	aamu
night	yö
November	Marraskuu
now	nyt
October	Lokakuu
past	menneisyys
pause	väliaika
period	aika
present	nykyhetki
Saturday	Lauantai
season	kausi
second	sekunti
September	Syyskuu
spring	kevät
summer	kesä
Sunday	Sunnuntai
Thursday	Torstai
tomorrow	huomenna
Tuesday	Tiistai
Wednesday	Keskiviikko
week	viikko
weekend	viikonloppu
while	aika
winter	talvi
year	vuosi
art	taide
artist	taiteilija
band	orkesteri
brush	harja
color	väri
concert	konsertti
design	malli
diversity	erilaisuus
entertainment	huvitus
ink	muste
invention	keksiminen
manner	tapa
movie	kalvo
museum	museo
music	musiikki
note	sävel
orchestra	orkesteri
paint	maali
painting	maalaus
paper	paperi
pen	kynä
pencil	lyijykynä
picture	kuva
poem	runo
poetry	runous
rhythm	rytmi
shape	muoto
singer	laulaja
song	laulu
stage	lava
style	tyyli
vogue	tyyli
account	tili
advantage	etu
advertisement	ilmoitus
agreement	sopimus
attention	huomio
authority	auktoriteetti
banknote	seteli
bargain	sopimus
brand	merkki
business	asia
capital	pääoma
change	vaihtoraha
cheque	sekki
committee	komitea
company	yhtiö
competition	kilpailu
complaint	syyte
contract	sopimus
copy	jäljitelmä
cost	kustannus
council	neuvosto
course	oppitunti
customer	asiakas
demand	tarve
department	ministeriö
difficulty	hankaluus
director	johtaja
economy	talous
environment	ympäristö
experience	kokemus
firm	yritys
form	lomake
group	yhtye
help	apu
holiday	loma
income	tulot
industry	teollisuus
insurance	vakuutus
interest	korko
invoice	lasku
job	työ
law	laki
leave	loma
loss	tappio
management	opastus
mark	merkki
market	menekki
material	materiaali
mean	keskiväli
meeting	tapaaminen
money	raha
occupation	ammatti
offer	tarjous
office	työhuone
officer	virkamies
operation	toiminto
owner	omistaja
package	paketti
payment	maksu
plan	suunnitelma
price	hinta
problem	ongelma
product	tuote
profit	voitto
property	omaisuus
rate	taso
rest	jakojäännös
reward	palkinto
right	oikeus
sale	huutokauppa
section	divisioona
section	osasto
service	palvelu
share	osake
shop	kauppa
show	näytelmä
skill	taito
staff	henkilökunta
success	menestys
support	avustus
table	taulukko
tax	vero
team	joukkue
trade	kaupankäynti
value	arvo
work	työ
worker	työläinen
announcement	ilmoitus
answer	vastakaiku
approval	hyväksyntä
argument	perustelu
book	kirja
call	puhelu
character	merkki
controversy	kiista
cry	huuto
data	tieto
decision	päätös
dictionary	sanakirja
discussion	keskustelu
doubt	epävarmuus
experience	kokemus
feeling	tunne
humor	huumori
idea	ajatus
information	tieto
interest	mielenkiinto
interview	haastattelu
language	kieli
language	kieli
letter	kirjain
letter	kirje
lie	valehtelu
look	ilme
magazine	aikakauslehti
mail	posti
memory	muisti
memory	muisto
mistake	virhe
name	nimi
newspaper	sanomalehti
note	muistiinpano
number	luku
opinion	mielipide
page	sivu
pronunciation	ääntämys
proposal	esitys
protest	protesti
question	kysymys
reaction	reaktio
reason	syy
relation	suhteet
request	pyyntö
secret	salaisuus
sentence	virke
sign	merkki
speech	kieli
spelling	oikeinkirjoitus
standard	kriteeri
statement	lausunto
subject	aihe
suggestion	suggestio
voice	ääni
word	sana
writing	kirjoitus
good day	hyvää päivää, päivää
good luck	onnea, tsemppiä
hello	terve
how are you	kuinka voitte? (formal), kuinka voit? (less formal), miten menee? (informal), mitä kuuluu?
many thanks	paljon kiitoksia, kiitos paljon
no	ei
thank you very much	suurkiitos, suurkiitokset, paljon kiitoksia, kiitos paljon
yes	kyllä
Britain	Gb
China	Kiina
Czech Republic	Tšekin tasavalta
France	Ranskan tasavalta
Germany	Saksan liittotasavalta
India	Intian tasavalta
Italy	Italia
Japan	Japani
Spain	Espanjan kuningaskunta
United States of America	Yhdysvallat
class	luokka
education	sivistys
education	kasvatus
education	opettaminen
examination	tentti
grade	arvosana
knowledge	tieto
student	opiskelija
teacher	opettaja
training	valmennus
fear	pelko
hate	viha
love	rakkaus
pleasure	nautinto
promise	toive
shock	šokki
care	hoito
cold	vilustuminen
cough	yskä
disease	sairaus
doctor	lääkäri
health	terveys
menstruation	kuukautiskierto
nurse	sairaanhoitaja
operation	operaatio
pain	kipu
patient	potilas
stitch	pisto
blade	terä
board	taulu
card	kortti
chain	ketju
club	nuija
cover	kansi
feather	höyhen
flag	lippu
frame	kehys
handle	kahva
menu	ruokalista
nut	mutteri
pin	nuppineula
pipe	putki
postage	postimaksu
present	lahja
sail	purje
scroll	kerä
seed	siemen
stick	keppi
stone	kivi
ticket	lippu
wheel	pyörä
wire	metallilanka
balance	henkinen tasapaino
bulk	koko
charge	lataus
energy	energia
light	valo
mass	massa
measurement	mittaaminen
mirror	peili
movement	liike
pressure	paine
process	kehitys
size	koko
sound	ääni
steam	huuru
strength	voima
time	aika
unit	ykkönen
weight	paino
boyfriend	poikaystävä
date	tapaaminen
guest	vieras
honey	rakas
kiss	suudelma
party	juhla
smile	hymy
surprise	yllätys
visit	käynti
alternative	vaihtoehto
biology	biologia
cause	syy
chemistry	kemia
comparison	vertailu
consequence	seuraus
control	säännöstely
discipline	kuri
discovery	löytäminen
event	tapaus
evidence	näyttö
example	näyte
fact	tosiasia
issue	asia
kernel	ydin
method	menetelmä
model	malli
phase	vaihe
procedure	toimintosarja
production	tuotanto
program	ohjelma
project	projekti
range	piiri
research	tutkimus
research	tutkimus
science	tiede
society	yhteiskunta
system	järjestelmä
technology	teknologia
theory	teoria
trend	taipumus
trouble	tehtävä
user	käyttäjä
army	armeija
base	pohja
club	kerho
company	seura
contest	kilpailu
country	maa
court	oikeus
crime	rikos
culture	kulttuuri
democracy	tasavalta
dominion	valta
election	valinta
existence	olemassaolo
government	hallitus
history	historia
individual	yksilö
institution	laitos
king	kuningas
male	koiras
member	jäsen
nation	kansakunta
noise	hälinä
order	määräys
organization	organisaatio
pass	lippu
passport	passi
peace	rauha
people	ihmiset
police	poliisi
policy	politiikka, menettelytapa
population	väestö
public	kansa
punishment	rangaistus
religion	uskonto
religion	uskonto
state	valtio
title	nimi
union	liitto
war	sota
will	tahto
will	testamentti
award	kunnianosoitus
ball	pallo
baseball	baseball
bike	pyörä
championship	mestaruus
competitor	kilpailija
cup	pokaali
football	jalkapallo
game	leikki
goal	maali
goal	määränpää
gold	kulta
golf	golf
jump	hyppy
match	peli
player	pelaaja
record	ennätys
silver	hopea
tennis	tennis
throw	heitto
win	voitto
bell	kello
button	nappi
gun	ampuma-ase
hammer	vasara
hook	hakanen
key	avain
lock	lukko
match	tulitikku
nail	naula
needle	neula
pump	vesipumppu
rope	köysi
scissors	sakset
spring	jousi
stamp	leimasin
whip	ruoska
cloud	pilvi
dew	kaste
fog	sumu
frost	huurre
rain	sade
rainbow	sateenkaari
snow	lumi
storm	myrsky
thunder	ukkonen
wind	tuuli