Finnish	﻿English
kurkku	cucumber
valkosipuli	garlic
oliivi	olive
sipuli	onion
palsternakka	parsnip
peruna	potato
retiisi	radish
tomaatti	tomato
osoite	address
kylpyhuone	bathroom
makuuhuone	bedroom
tiili	brick
ovi	door
lattia	floor
kerros	floor
autotalli	garage
puutarha	garden
portti	gate
eteishalli	hall
koti	home
talo	house
keittiö	kitchen
katto	roof
huone	room
suihku	shower
porras	step
käymälä	toilet
muuri	wall
lähde	well
ikkuna	window
sänky	bed
matto	carpet
tuoli	chair
kaappi	cupboard
verho	curtain
kirjoituspöytä	desk
huonekalut	furniture
paikka	seat
hylly	shelf
pesuallas	sink
pöytä	table
laukku	bag
saapas	boot
kangas	cloth
puku	clothing
takki	coat
kaulus	collar
hattu	hat
pikkutakki	jacket
jalokivi	jewel
sormus	ring
paita	shirt
kenkä	shoe
hame	skirt
sukka	sock
matkalaukku	suitcase
kravatti	tie
näyttelijä	actor
näyttelijä	actress
liikemies	businessman
asiantuntija	expert
kenraali	general
journalisti	journalist
tuomari	judge
johtaja	leader
ministeri	minister
muusikko	musician
valokuvaaja	photographer
luotsi	pilot
poliisi	policeman
poliitikko	politician
ammattilainen	professional
edustaja	representative
merimies	sailor
tiedemies	scientist
sihteeri	secretary
palvelija	servant
sotilas	soldier
kirjailija	writer
lentoasema	airport
pankki	bank
silta	bridge
rakennus	building
pääkaupunki	capital
linna	castle
kirkko	church
elokuvateatteri	cinema
kaupunki	city
tehdas	factory
huoneisto	flat
sairaala	hospital
hotelli	hotel
kirjasto	library
puisto	park
vankila	prison
ravintola	restaurant
tie	road
koulu	school
asema	station
katu	street
rakentaminen	structure
maanalainen	subway
valintamyymälä	supermarket
teatteri	theater
kaupunki	town
yliopisto	university
kylä	village
onnettomuus	accident
vene	boat
bussi	bus
auto	car
mutka	curve
pikajuna	express
lento	flight
matka	journey
matkustaja	passenger
lentokone	plane
laiva	ship
kisko	track
juna	train
kuljetus	transport
ilma	air
eläin	animal
oksa	branch
kehittyminen	evolution
maatila	farm
pelto	field
liekki	fire
kukka	flower
metsä	forest
ruoho	grass
lehti	leaf
elämä	life
salama	lightning
kosteus	moisture
luonto	nature
kasvi	plant
juuri	root
sukupuoli	sex
taivas	sky
uni	sleep
tuoksu	smell
katku	smoke
lähde	spring
varsi	stem
virta	stream
puu	tree
aalto	wave
sää	weather
maailma	world
äyräs	bank
uimaranta	beach
virta	current
johto	direction
Maa	Earth
itä	east
korkeus	height
kukkula	hill
saari	island
järvi	lake
maa	land
kartta	map
kuu	Moon
pohjoinen	north
tasanko	plain
alue	region
joki	river
meri	sea
etelä	south
avaruus	space
tähti	star
aurinko	sun
länsi	west
happo	acid
kemikaali	chemical
element alkuaine	chemical
kivihiili	coal
puuvilla	cotton
pöly	dust
maa	earth
rasva	fat
lasi	glass
liima	glue
jyvänen	grain
jää	ice
rauta	iron
nahka	leather
neste	liquid
aine	matter
element metalli	metallic
raakaöljy	oil
myrkky	poison
jauhe	powder
hiekka	sand
silkki	silk
saippua	soap
teräs	steel
puu	wood
villa	wool
laukku	bag
kori	basket
pullo	bottle
laatikko	box
purkki	can
kuppi	cup
laatikko	drawer
kirjekuori	envelope
lasi	glass
lautanen	plate
kamera	camera
kamera	camera
phone matkapuhelin	cellular
kello	clock
tietokone	computer
hissi	elevator
moottori	engine
soitin	instrument
kone	machine
uuni	oven
televisiovastaanotin	television
kello	watch
yhteenlasku	addition
kulma	angle
pinta-ala	area
keskipiste	center
ympyrä	circle
käyrä	curve
aste	degree
pinta	degree
ero	difference
matka	distance
jako	division
reuna	edge
alkuaine	element
tehtävä	function
puolikas	half
raja	limit
viiva	line
silmukka	net
ulkopuoli	outside
osuus	percent
pilkku	point
tarkoitus	purpose
lopputulos	result
sääntö	rule
joukko	set
puoli	side
neliö	square
neliö	square
vaihto	substitution
pinta	surface
määrä	total
kyky	ability
teko	act
toiminta	action
toiminta	activity
lisäys	addition
erä	amount
hyökkäys	attack
yritys	attempt
asenne	attitude
takaosa	back
käyttäytyminen	behavior
pala	bit
isku	blow
katko	break
sotaretki	campaign
tapaus	case
tilaisuus	chance
muutos	change
valinnanvara	choice
kunto	condition
liitin	connection
särö	crack
haava	cut
vahinko	damage
vaara	danger
surma	death
koriste	decoration
hävitys	destruction
detalji	detail
valta	dominance
pisara	drop
velvollisuus	duty
ponnistus	effort
kukistuminen	fall
piirre	feature
taistelu	fight
etupuoli	front
isku	hit
kolo	hole
kasvu	increase
lisäys	increase
internet	internet
tärähdys	jolt
laatu	kind
solmu	knot
lista	list
valtaosa	majority
asia	matter
mieli	mind
toiminta	operation
vastakohta	opposite
puuska	outburst
osa	part
osa	part
pala	piece
paikka	place
sijainti	position
voima	power
käytäntö	practice
tehtävä	project
ominaisuus	property
laatu	quality
tyyneys	quiet
kertomus	report
vastuu	responsibility
lepo	rest
paluu	return
nousu	rise
vaara	risk
paikka	seat
sarja	set
hiljaisuus	silence
tilanne	situation
pala	slice
tila	state
askel	step
pysähdys	stop
makuaisti	taste
esine	thing
huippu	top
kosketus	touch
kohtelu	treatment
puistatus	tremble
juoni	trick
tyyppi	type
käyttö	use
tapa	way
kokonaisuus	whole
tahto	will
toive	wish
iltapäivä	afternoon
ikä	age
Huhtikuu	April
elokuu	August
syksy	autumn
alku	beginning
vuosisata	century
päivämäärä	date
päivä	day
Joulukuu	December
loppu	end
ilta	evening
Helmikuu	February
Perjantai	Friday
tulevaisuus	future
tunti	hour
Tammikuu	January
Heinäkuu	July
Kesäkuu	June
toukokuu	May
keskiyö	midnight
minuutti	minute
ajankohta	moment
silmänräpäys	moment
Maanantai	Monday
kuukausi	month
aamu	morning
yö	night
Marraskuu	November
nyt	now
Lokakuu	October
menneisyys	past
väliaika	pause
aika	period
nykyhetki	present
Lauantai	Saturday
kausi	season
sekunti	second
Syyskuu	September
kevät	spring
kesä	summer
Sunnuntai	Sunday
Torstai	Thursday
huomenna	tomorrow
Tiistai	Tuesday
Keskiviikko	Wednesday
viikko	week
viikonloppu	weekend
aika	while
talvi	winter
vuosi	year
taide	art
taiteilija	artist
orkesteri	band
harja	brush
väri	color
konsertti	concert
malli	design
erilaisuus	diversity
huvitus	entertainment
muste	ink
keksiminen	invention
tapa	manner
kalvo	movie
museo	museum
musiikki	music
sävel	note
orkesteri	orchestra
maali	paint
maalaus	painting
paperi	paper
kynä	pen
lyijykynä	pencil
kuva	picture
runo	poem
runous	poetry
rytmi	rhythm
muoto	shape
laulaja	singer
laulu	song
lava	stage
tyyli	style
tyyli	vogue
tili	account
etu	advantage
ilmoitus	advertisement
sopimus	agreement
huomio	attention
auktoriteetti	authority
seteli	banknote
sopimus	bargain
merkki	brand
asia	business
pääoma	capital
vaihtoraha	change
sekki	cheque
komitea	committee
yhtiö	company
kilpailu	competition
syyte	complaint
sopimus	contract
jäljitelmä	copy
kustannus	cost
neuvosto	council
oppitunti	course
asiakas	customer
tarve	demand
ministeriö	department
hankaluus	difficulty
johtaja	director
talous	economy
ympäristö	environment
kokemus	experience
yritys	firm
lomake	form
yhtye	group
apu	help
loma	holiday
tulot	income
teollisuus	industry
vakuutus	insurance
korko	interest
lasku	invoice
työ	job
laki	law
loma	leave
tappio	loss
opastus	management
merkki	mark
menekki	market
materiaali	material
keskiväli	mean
tapaaminen	meeting
raha	money
ammatti	occupation
tarjous	offer
työhuone	office
virkamies	officer
toiminto	operation
omistaja	owner
paketti	package
maksu	payment
suunnitelma	plan
hinta	price
ongelma	problem
tuote	product
voitto	profit
omaisuus	property
taso	rate
jakojäännös	rest
palkinto	reward
oikeus	right
huutokauppa	sale
divisioona	section
osasto	section
palvelu	service
osake	share
kauppa	shop
näytelmä	show
taito	skill
henkilökunta	staff
menestys	success
avustus	support
taulukko	table
vero	tax
joukkue	team
kaupankäynti	trade
arvo	value
työ	work
työläinen	worker
ilmoitus	announcement
vastakaiku	answer
hyväksyntä	approval
perustelu	argument
kirja	book
puhelu	call
merkki	character
kiista	controversy
huuto	cry
tieto	data
päätös	decision
sanakirja	dictionary
keskustelu	discussion
epävarmuus	doubt
kokemus	experience
tunne	feeling
huumori	humor
ajatus	idea
tieto	information
mielenkiinto	interest
haastattelu	interview
kieli	language
kieli	language
kirjain	letter
kirje	letter
valehtelu	lie
ilme	look
aikakauslehti	magazine
posti	mail
muisti	memory
muisto	memory
virhe	mistake
nimi	name
sanomalehti	newspaper
muistiinpano	note
luku	number
mielipide	opinion
sivu	page
ääntämys	pronunciation
esitys	proposal
protesti	protest
kysymys	question
reaktio	reaction
syy	reason
suhteet	relation
pyyntö	request
salaisuus	secret
virke	sentence
merkki	sign
kieli	speech
oikeinkirjoitus	spelling
kriteeri	standard
lausunto	statement
aihe	subject
suggestio	suggestion
ääni	voice
sana	word
kirjoitus	writing
day hyvää päivää, päivää	good
luck onnea, tsemppiä	good
terve	hello
are you kuinka voitte? (formal), kuinka voit? (less formal), miten menee? (informal), mitä kuuluu?	how
thanks paljon kiitoksia, kiitos paljon	many
ei	no
you very much suurkiitos, suurkiitokset, paljon kiitoksia, kiitos paljon	thank
kyllä	yes
Gb	Britain
Kiina	China
Republic Tšekin tasavalta	Czech
Ranskan tasavalta	France
Saksan liittotasavalta	Germany
Intian tasavalta	India
Italia	Italy
Japani	Japan
Espanjan kuningaskunta	Spain
States of America Yhdysvallat	United
luokka	class
sivistys	education
kasvatus	education
opettaminen	education
tentti	examination
arvosana	grade
tieto	knowledge
opiskelija	student
opettaja	teacher
valmennus	training
pelko	fear
viha	hate
rakkaus	love
nautinto	pleasure
toive	promise
šokki	shock
hoito	care
vilustuminen	cold
yskä	cough
sairaus	disease
lääkäri	doctor
terveys	health
kuukautiskierto	menstruation
sairaanhoitaja	nurse
operaatio	operation
kipu	pain
potilas	patient
pisto	stitch
terä	blade
taulu	board
kortti	card
ketju	chain
nuija	club
kansi	cover
höyhen	feather
lippu	flag
kehys	frame
kahva	handle
ruokalista	menu
mutteri	nut
nuppineula	pin
putki	pipe
postimaksu	postage
lahja	present
purje	sail
kerä	scroll
siemen	seed
keppi	stick
kivi	stone
lippu	ticket
pyörä	wheel
metallilanka	wire
henkinen tasapaino	balance
koko	bulk
lataus	charge
energia	energy
valo	light
massa	mass
mittaaminen	measurement
peili	mirror
liike	movement
paine	pressure
kehitys	process
koko	size
ääni	sound
huuru	steam
voima	strength
aika	time
ykkönen	unit
paino	weight
poikaystävä	boyfriend
tapaaminen	date
vieras	guest
rakas	honey
suudelma	kiss
juhla	party
hymy	smile
yllätys	surprise
käynti	visit
vaihtoehto	alternative
biologia	biology
syy	cause
kemia	chemistry
vertailu	comparison
seuraus	consequence
säännöstely	control
kuri	discipline
löytäminen	discovery
tapaus	event
näyttö	evidence
näyte	example
tosiasia	fact
asia	issue
ydin	kernel
menetelmä	method
malli	model
vaihe	phase
toimintosarja	procedure
tuotanto	production
ohjelma	program
projekti	project
piiri	range
tutkimus	research
tutkimus	research
tiede	science
yhteiskunta	society
järjestelmä	system
teknologia	technology
teoria	theory
taipumus	trend
tehtävä	trouble
käyttäjä	user
armeija	army
pohja	base
kerho	club
seura	company
kilpailu	contest
maa	country
oikeus	court
rikos	crime
kulttuuri	culture
tasavalta	democracy
valta	dominion
valinta	election
olemassaolo	existence
hallitus	government
historia	history
yksilö	individual
laitos	institution
kuningas	king
koiras	male
jäsen	member
kansakunta	nation
hälinä	noise
määräys	order
organisaatio	organization
lippu	pass
passi	passport
rauha	peace
ihmiset	people
poliisi	police
politiikka, menettelytapa	policy
väestö	population
kansa	public
rangaistus	punishment
uskonto	religion
uskonto	religion
valtio	state
nimi	title
liitto	union
sota	war
tahto	will
testamentti	will
kunnianosoitus	award
pallo	ball
baseball	baseball
pyörä	bike
mestaruus	championship
kilpailija	competitor
pokaali	cup
jalkapallo	football
leikki	game
maali	goal
määränpää	goal
kulta	gold
golf	golf
hyppy	jump
peli	match
pelaaja	player
ennätys	record
hopea	silver
tennis	tennis
heitto	throw
voitto	win
kello	bell
nappi	button
ampuma-ase	gun
vasara	hammer
hakanen	hook
avain	key
lukko	lock
tulitikku	match
naula	nail
neula	needle
vesipumppu	pump
köysi	rope
sakset	scissors
jousi	spring
leimasin	stamp
ruoska	whip
pilvi	cloud
kaste	dew
sumu	fog
huurre	frost
sade	rain
sateenkaari	rainbow
lumi	snow
myrsky	storm
ukkonen	thunder
