Bulgarian	﻿English
рекорд	record
сребро	silver
тенис	tennis
хвърляне	throw
победа	win
камбана	bell
бутон	button
оръжие	gun
чук	hammer
кука	hook
ключ	key
замък	lock
кибрит	match
гвоздей	nail
игла	needle
помпа	pump
въже	rope
ножици	scissors
пружина	spring
клеймо	stamp
камшик	whip
облак	cloud
роса	dew
мъгла	fog
слана	frost
Дъжд	rain
дъга	rainbow
сняг	snow
ураган	storm
гръм	thunder
