English	Bulgarian
home	дом
house	къща
kitchen	кухня
roof	покрив
room	стая
shower	душ
step	праг
toilet	умивалня
wall	стена
well	кладенец
window	прозорец
bed	легло
carpet	килим
chair	стол
cupboard	килер
curtain	завеса
desk	писалище
furniture	мебели
shelf	полица
sink	мивка
table	маса
bag	торба
boot	ботуш
cloth	плат
clothing	облекло
coat	връхна дреха
collar	яка
hat	шапка
jacket	жакет
jewel	скъпоценен камък
ring	пръстен
shirt	риза
shoe	обувка
skirt	пола
sock	чорап
suitcase	куфар
tie	вратовръзка
actor	актьор
businessman	бизнесмен
expert	експерт
general	генерал
journalist	журналист
judge	съдия
leader	лидер
minister	министър
musician	човек добър в музиката
photographer	фотограф
pilot	пилот
policeman	полицай
politician	политик
president	президент
professional	професионалист
representative	представител
sailor	моряк
scientist	учен
servant	прислужник
soldier	войник
writer	писател
airport	летище
bank	банка
bridge	мост
building	сграда
capital	столица
castle	замък
church	църква
cinema	кино
city	голям град
factory	работилница
flat	апартамент
hospital	болница
hotel	хотел
library	библиотека
park	парк
prison	затвор
restaurant	ресторант
road	път
school	училище
station	пункт
street	улица
structure	строителство
subway	метро
supermarket	супермаркет
theater	театър
town	град
university	университет
village	Село
accident	нещастен случай
boat	лодка
bus	автобус
car	автомобил
express	експресен влак
flight	летене
journey	пътуване
passenger	пътник
plane	самолет
ship	кораб
track	релси
train	влак
air	въздух
animal	животно
branch	клон
evolution	произход
farm	стопанство
field	ливада
fire	пламък
flower	цвете
forest	гора
grass	трева
leaf	листо
life	живот
lightning	мълния
moisture	влага
nature	природа
plant	растение
root	корен
sex	пол
sky	небе
sleep	сън
smell	миризма
smoke	изпарение
spring	източник
stem	стъбло
stream	струя
tree	дърво
weather	време
world	свят
bank	бряг
beach	плаж
direction	посока
Earth	Земя
east	изток
height	височина
hill	хълм
island	остров
lake	езеро
land	земя
map	карта
Moon	спътник
north	север
plain	равнина
river	река
sea	океан
south	южна част
star	звезда
sun	слънце
west	запад
acid	киселина
chemical	химикал
chemical element	химичен елемент
coal	въглен
cotton	Памук
dust	пясък
earth	земя
fat	мазнина
glass	стъкло
glue	лепило
grain	зърно (n), зрънце (n) (2)
ice	Лед
iron	желязо
leather	кожа
liquid	течност
matter	материя
metallic element	метал
oil	нефт
poison	отрова
powder	прах
sand	пясък
silk	коприна
soap	сапун
steel	стомана
wood	дърво
wool	вълна
bag	сак (sak) (m), чанта (čanta) (f)
basket	кошница
bottle	бутилка
box	кутия
can	консерва
cup	чашка
drawer	чекмедже
envelope	плик
glass	чаша
plate	блюдо
camera	фотоапарат
camera	камера
cellular phone	клетъчен телефон
clock	часовник
computer	компютър
elevator	асансьор
engine	двигател
instrument	инструмент
machine	машина
oven	фурна
television	телевизор
watch	часовник
addition	събиране
angle	ъгъл
area	площ
circle	окръжност
curve	извивка
degree	градус
degree	ниво
distance	разстояние
division	разделяне
edge	ръб
element	химичен елемент
function	функция
half	половина (polovína) (f)
limit	граница
line	линия
net	мрежа
percent	количество
point	точка
purpose	причина
result	изход
rule	правило
set	множество
side	край
square	квадрат
surface	повърхност
total	количество
ability	способност
act	действие
activity	оживление
addition	допълнение
attack	атака
attempt	опит
attitude	нагласа
back	задна част
behavior	държание
bit	късче
blow	удар
break	пауза
campaign	военни операции
case	дело
chance	случай
change	промяна
choice	право на избор
condition	състояние
connection	конектор
crack	пукване
cut	разрез
damage	щета
danger	опасност
decoration	украса
destruction	разрушаване
dominance	власт
drop	капка
effort	усилие
fall	капитулация
feature	отличителна черта
fight	сражение
front	фасада
hit	удар
hole	дупка
increase	растеж
internet	интернет
kick	ритник
kind	вид
knot	възел
list	списък
majority	мнозинство
matter	тема
mind	разсъдък
operation	в действие
opposite	противоположност
outburst	изблик
part	част
piece	откъслек
place	място
position	местоположение
power	сила
practice	практика
project	задача
property	свойство
quality	качество
quiet	безоблачност
report	отчет
responsibility	отговорност
rest	спокойствие
return	връщане
rise	изкачване
risk	опасност
set	комплект
silence	тишина
situation	ситуация
slice	парче
state	положение
step	стъпка
taste	вкус
top	ръст
touch	докосване
trick	хитрост
type	вид
use	употреба
wear	износване
whole	цяло
will	воля
wish	желания
afternoon	следобед
age	старост
April	Април
August	август
autumn	есен
beginning	започване
century	век
date	дата
day	ден
December	Декември
end	край (kraj) (m)
evening	вечер
February	Февруари
Friday	Петък
future	бъдеще
hour	час
January	Януари
July	Юли
June	Юни
May	май
midnight	полунощ
minute	минута
moment	миг
Monday	Понеделник
month	месец (mésets) (m), месеци (mésetsi) (p)
morning	сутрин
night	нощ
November	Ноември
now	в момента
October	Октомври
past	минало
pause	прекъсване
period	период
present	настояще
Saturday	Събота
season	сезон
second	секунда
September	Септември
spring	пролет
summer	лято
Sunday	Неделя
Thursday	Четвъртък
Tuesday	Вторник
Wednesday	Сряда
week	седмица
weekend	края на седмицата
while	време
winter	зима
year	година
art	изкуство
artist	художник
band	банда
brush	четка
concert	концерт
design	план
diversity	разнообразност
entertainment	забавление
hit	хит
ink	мастило
manner	начин
movie	покритие
museum	музей
music	музика
note	тон
orchestra	оркестър
paint	боя
painting	картина
paper	хартия
pen	перо
pencil	молив
picture	отражение
poem	стихотворение
poetry	поезия
rhythm	ритъм
shape	форма
singer	певец
song	песен
stage	сцена
style	вид
vogue	стил
account	сметка
advantage	преимущество
advertisement	реклама
advice	съвет
attention	внимание
authority	власт
banknote	банкнота
bargain	сделка
brand	марка
business	бизнес
capital	капитал
change	дребни пари
cheque	чек
committee	комисия
company	дружество
competition	конкуренция
complaint	обвинение
contract	договор
cost	Себестойност, цена
council	съвет
course	учебен час
customer	клиент
demand	потребност
department	отдел
difficulty	трудност
director	мениджър
economy	икономика
environment	околна среда
experience	опит
firm	фирма
form	формуляр
group	група
help	помощ
holiday	празник
income	приход
industry	промишленост
insurance	застраховане
interest	лихва
invoice	отчет
job	работа
law	закон
leave	отпуска
loss	загуба
management	насока
mark	маркер
market	пазар
material	суровина
mean	среда
meeting	събрание
money	пари
occupation	работа
offer	предлагане
office	Офис (канцелария)
officer	чиновник
owner	притежател
package	пакет
payment	плащане
plan	план
price	цена
problem	проблем
product	Продукт
profit	печалба
property	притежание
rate	стойност
rest	остатък
reward	награда
right	право
sale	продажба
service	обслужване
share	дял
shop	магазин
show	Представление, шоу
skill	умение
staff	персонал
success	успех
support	финансова помощ
table	таблица
tax	данък
team	отбор
trade	търговия
value	ценност
work	работа
worker	работник
announcement	съобщение
answer	отговор
approval	одобрение
argument	аргумент
book	книга
call	обаждане
character	буква
controversy	спор
cry	вик
data	информация
decision	решение
dictionary	речник
discussion	разискване
doubt	съмнение
experience	преживяване
feeling	чувства
humor	хумор
idea	идея
information	информация (f)
interest	интерес
interview	интервю
language	език
language	език
letter	буква
letter	писмо
lie	лъжа
look	поглеждане
magazine	списание
mail	поща
memory	памет
memory	спомен
mistake	грешка
name	име
newspaper	вестник
note	забележка
number	число
opinion	мнение
page	страница
pronunciation	произношение
proposal	предложение
protest	възражение
question	въпрос
reaction	реакция
reason	причина
relation	отношения
request	искане
secret	тайна (tajna) (f)
sentence	изречение
speech	реч
spelling	правопис
standard	критерий
statement	излагане (izlagane) (n)
subject	тема
suggestion	предложение
voice	глас
word	дума
writing	писане
good day	добър ден (dóbar dén)
good morning	добро утро (dóbro útro)
hello	здрасти
how are you	как си (kak si?), как сте (kak ste?)
many thanks	много благодаря, много ви благодаря
thank you very much	благодаря много (blagodarjá mnógo)
yes	да
Britain	GB
China	Китай
Czech Republic	Чешка република
France	Република Франция
Germany	Федерална република Германия
India	Република Индия
Italy	Италия
Japan	Япония
Spain	Кралство Испания
United States of America	САЩ
class	категория
education	образование
education	обучение
grade	бележка за успех
knowledge	знание
student	студент
teacher	учител
training	обучение
fear	страх
hate	омраза
love	любов
pleasure	удоволствие
shock	шок
care	надзор
cold	настинка
cough	кашляне
disease	болест
doctor	лекар
health	здраве
menstruation	менструация
operation	операция
pain	болка
patient	пациент
stitch	бримка
blade	острие
card	карта
chain	синджир
club	прът
feather	перо
flag	знаме
frame	рамка
handle	дръжка
menu	меню
nut	гайка
pipe	тръба
postage	пощенска марка
present	подарък
sail	платно
scroll	намотка
seed	семе
stick	бастун
stone	камък
ticket	билет
wheel	колело
wire	жица
balance	баланс
bulk	големина
charge	заряд
energy	сила
light	светлина
mass	голямо доза
measurement	измерване
mirror	огледало
movement	движение
pressure	натиск
process	процес
size	големина
sound	Звук
steam	изпарение
strength	сила
time	време
unit	цифра
weight	тегло
boyfriend	приятел
date	определям среща
guest	гост
honey	любими
kiss	целувка
party	прием
sex	пол
smile	усмивка
surprise	изненада
visit	посещение
alternative	избор
biology	биология
cause	причина
chemistry	химия
comparison	сравнение
consequence	последица
control	контрол
discipline	дисциплина
discovery	откривам
event	събитие
evidence	доказателство
example	мостра
fact	факт
issue	въпрос
kernel	същност
method	метод
phase	фаза
procedure	процедура
program	план
project	проект
range	диапазон
research	проучване
research	разследване
science	наука
society	общественост
system	система
technology	техническа наука
theory	теория
trend	склонност
trouble	грижа
user	потребител
army	войска
base	основа
club	кръжок
company	дружба
contest	състезание
country	страна
court	съд
crime	нарушение
culture	култура
democracy	република
dominion	власт
election	избори
existence	съществуване
government	правителство
history	история
individual	индивид
institution	институция
king	крал
member	член
nation	нация
noise	Шум
order	заповед
organization	организация
pass	пропуск
passport	паспорт
peace	мир
people	хора
police	полиция
policy	политика
population	население
public	население
punishment	наказание
religion	вяра
religion	вяра
state	държава
union	съюз
war	Война
will	воля
will	завещание
award	почести
ball	топка
baseball	бейзбол
bike	велосипед
championship	шампионат
competitor	състезател
cup	купа
football	футбол
game	игра
goal	гол
goal	предназначение
gold	злато
golf	голф
jump	подскачане
player	играч
record	рекорд
silver	сребро
tennis	тенис
throw	хвърляне
win	победа
bell	камбана
button	бутон
gun	оръжие
hammer	чук
hook	кука
key	ключ
lock	замък
match	кибрит
nail	гвоздей
needle	игла
pump	помпа
rope	въже
scissors	ножици
spring	пружина
stamp	клеймо
whip	камшик
cloud	облак
dew	роса
fog	мъгла
frost	слана
rain	Дъжд
rainbow	дъга
snow	сняг
storm	ураган
thunder	гръм
wind	вятър